"country","face","unit","year","type","grade","exchange","value","cost","worth","source","comments"
"cuba","1","centavo","1946","coin","f","0.0108003&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$0.00","$0.01","bruce broker","star"
"cuba","1","centavo","2000","coin","xf","0.0108003&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$0.00","$0.01","bruce broker","revolution square"
"cuba","2","centavo","1915","coin","vf","0.0108003&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.02","$0.00","$0.02","bruce broker","star"
"cuba","40","centavo","1915","coin","NULL","0.0108003&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.43","$0.00","$0.43","rashmi srinivasa","star"
"cuba","5","peso","1998","note","NULL","0.04500125&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.23","$0.00","$0.23","bruce broker","antonio maceo non-convertible"
"cuba","peso","5","2004","note","vg","1.08003&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$5.40","$5.65","$5.65","fernando fernandez","monument to antonio maceo"
"curaao","0.25","guilder","1944","coin","vf","0.639830105&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.16","$0.00","$0.16","bruce broker","wilhelmina"
"curaao","1","guilder","1942","note","NULL","0.639830105&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.64","$0.75","$0.75","charlottesville coin store","mercury"
"cyprus","250","mil","1979","note","f","0.00185185&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.46","$1.82","$1.82","ebay: dimitry bouznik","fruit"
"cyprus","25","cent","1955","coin","NULL","0.0185185&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.46","$0.00","$0.46","ebay: tom yancey","elizabeth ii"
"cyprus","1","pound","1992","coin","NULL","1.85185&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$1.85","$0.20","$1.85","charlottesville teachers store"
"cyprus","pound","1","2001","note","1.85185&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$1.85","$3.99","$3.99","ebay: richard sutherland","girl"
"cyprus","pound","5","2001","note","1.85185&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","ebay: richard sutherland","$9.26","$14.99","$14.99","bust"
"czech republic","10","haleru","1995","coin","NULL","0.000445621&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","friend at conference","lion"
"czech republic","20","haleru","1999","coin","NULL","0.000445621&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$0.00","$0.01","lisa & nick bottka"
"czech republic","50","haleru","2002","coin","NULL","0.000445621&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.02","$0.02","$0.02","eli daniel"
"czech republic","1","koruna","1994","coin","NULL","0.0445621&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.04","$0.00","$0.04","friend at conference"
"czech republic","koruna","2","1995","coin","0.0445621&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.09","$0.00","friend at conference","$0.09","lion"
"czech republic","koruna","5","1995","coin","0.0445621&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.22","$0.00","friend at conference","$0.22"
"czech republic","koruna","10","1993","coin","0.0445621&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","g","$0.45","$0.00","friend at conference","$0.45","brno cathedral"
"czech republic","koruna","10","2000","coin","0.0445621&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","g","$0.45","$0.45","$0.45","travel to czech republic","gears"
"czech republic","koruna","20","2004","coin","0.0445621&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","vg","$0.89","$0.00","$0.89","friend at conference","rider with pennant"
"czech republic","koruna","50","2000","coin","0.0445621&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","vg","$2.23","$2.27","$2.27","travel to czech republic","prague skyline"
"czech republic","koruna","50","1997","note","0.0445621&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","vg","$2.23","$1.00","$2.23","kathy ryall","anezka ceska"
"czech republic","koruna","100","1997","note","0.0445621&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","vg","kathy ryall","$4.46","$3.00","$4.46","karel iv"
"czech republic","koruna","200","1996","note","0.0445621&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","f","kathy ryall","$8.91","$6.00","$8.91","jan amos komensky"
"czech republic","koruna","500","NULL","note","0.0445621&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","f","$22.28","$22.71","$22.71","travel to czech republic","bozena nemcova"
"czech republic","koruna","1000","1993","note","0.0445621&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","f","$44.56","$30.00","$44.56","kathy ryall","frantisek palacky"
"czech republic","koruna","2000","1999","note","0.0445621&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","f","$89.12","$90.85","$90.85","travel to czech republic","ema destinnova"
"czechoslovakia","1","haler","1962","coin","NULL","0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","susan harris","lion"
"czechoslovakia","3","haler","1953","coin","NULL","0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","john karro"
"czechoslovakia","10","haler","1962","coin","NULL","0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","oleg nabrovenko"
"czechoslovakia","10","haler","1976","coin","NULL","0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","joyce calvin"
"czechoslovakia","50","haler","1951","coin","NULL","0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","ebay: randall leis","ribbon"
"czechoslovakia","50","haler","1964","coin","NULL","0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","joyce calvin"
"czechoslovakia","1","koruna","1963","coin","NULL","0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","glenn wasson","girl planting tree"
"czechoslovakia","koruna","2","1974","coin","NULL","0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","constantin reif"
"czechoslovakia","koruna","5","1968","coin","NULL","0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","john karro"
"czechoslovakia","koruna","10","1960","note","NULL","0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.22","$0.22","ebay: michael cartz","girls plucking flowers"
"czechoslovakia","koruna","10","1988","note","NULL","0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","john karro"
"czechoslovakia","koruna","20","1970","note","NULL","0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.22","$0.22","ebay: michael cartz","one-eyed sculpture"
"czechoslovakia","koruna","20","1986","note","NULL","0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","john karro"
"czechoslovakia","koruna","50","1964","note","NULL","0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.22","$0.22","ebay: michael cartz","soldiers"
"czechoslovakia","koruna","50","1987","note","NULL","0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","ebay: michael cartz","$0.00","$0.22","$0.22","ludovit stur"
"czechoslovakia","koruna","100","1961","note","NULL","0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","ebay: michael cartz","$0.00","$0.22","$0.22","farmers"
"denmark","1","cent","1883","coin","NULL","0.00178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","ebay: tom yancey","west indies"
"denmark","5","ore","1963","coin","NULL","0.00178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$0.00","$0.01","ebay: tom yancey"
"denmark","ore","5","1965","coin","NULL","0.00178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$0.00","$0.01"
"denmark","ore","5","1981","coin","NULL","0.00178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$0.20","$0.20","charlottesville teachers store"
"denmark","ore","10","1955","coin","NULL","0.00178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.02","$0.00","$0.02","ebay: randall leis"
"denmark","ore","10","1967","coin","NULL","0.00178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.02","$0.00","$0.02","ebay: tom yancey"
"denmark","ore","10","1975","coin","NULL","0.00178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.02","$0.00","$0.02","glenn wasson"
"denmark","ore","25","1966","coin","NULL","0.00178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.04","$0.00","$0.04","¯rjan austvold","hole"
"denmark","ore","25","1996","coin","NULL","0.00178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.04","$0.20","$0.20","charlottesville teachers store"
"denmark","ore","50","1995","coin","NULL","0.00178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","charlottesville teachers store","$0.09","$0.20","$0.20"
"denmark","1","krone","1989","coin","NULL","0.178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.18","$0.00","$0.18","john wasson","margrethe ii"
"denmark","krone","1","1992","coin","0.178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.18","$0.00","$0.18","venkataraman pallassana"
"denmark","krone","2","1955","coin","0.178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.36","$1.00","$1.00","charlottesville coin store"
"denmark","krone","2","1992","coin","0.178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.36","$0.00","$0.36","venkataraman pallassana","hole"
"denmark","krone","5","1960","coin","0.178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.89","$1.00","$1.00","charlottesville coin store"
"denmark","krone","5","1990","coin","0.178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.89","$0.00","$0.89","venkataraman pallassana"
"denmark","krone","10","1979","coin","0.178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$1.79","$0.00","$1.79","john wasson","margrethe ii"
"denmark","krone","10","1989","coin","0.178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$1.79","$0.00","$1.79","venkataraman pallassana","margrethe ii"
"denmark","krone","50","1972","note","0.178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","vf","$8.95","$8.27","$8.95","ebay: dimitry bouznik","young woman"
"denmark","krone","100","1972","note","0.178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$17.90","$15.00","$17.90","venkataraman pallassana"
"denmark","krone","100","NULL","note","0.178955&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","g","$17.90","$20.00","$20.00","ali keskin","carl nielsen"
"dominican republic","10","centavo","1984","coin","NULL","0.000302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","bruce broker","fruits and vegetables"
"dominican republic","10","centavo","1989","coin","NULL","0.000302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.00","$0.00","bruce broker","juan pablo duarte"
"dominican republic","25","centavo","1981","coin","NULL","0.000302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$0.00","$0.01","ebay: randall leis","6.25 grams"
"dominican republic","25","centavo","1984","coin","NULL","0.000302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$0.20","$0.20","charlottesville teachers store","mirabal sisters"
"dominican republic","25","centavo","1987","coin","NULL","0.000302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$0.00","$0.01","ebay: randall leis","mirabal sisters upside down"
"dominican republic","25","centavo","1989","coin","NULL","0.000302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$0.10","$0.10","charlottesville coin store","oxen pulling cart"
"dominican republic","0.5","peso","1989","coin","NULL","0.0302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.02","$0.00","$0.02","bruce broker","pyramid"
"dominican republic","peso","1","1992","coin","0.0302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.03","$0.20","$0.20","charlottesville teachers store","padre de la patria"
"dominican republic","peso","1","NULL","note","0.0302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.03","$0.50","$0.50","charlottesville coin store","juan pablo duarte"
"dominican republic","peso","5","1995","note","0.0302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.15","$0.00","$0.15","NULL","sanchez"
"dominican republic","peso","5","1997","coin","0.0302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$0.15","$0.00","$0.15","jim prentiss","sanchez"
"dominican republic","peso","10","1990","note","0.0302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","p","$0.30","$0.00","$0.30","NULL","matias ramon mella"
"dominican republic","peso","10","2003","note","0.0302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","vf","$0.30","$0.00","$0.30","barry shaul","matias ramon mella"
"dominican republic","peso","20","2003","note","0.0302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","vf","$0.60","$0.50","$0.60","mariano kocalka","gregorio luperon"
"dominican republic","peso","50","2003","note","0.0302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","vf","mariano kocalka","$1.51","$1.50","$1.51","gregorio luperon"
"dominican republic","peso","100","2003","note","0.0302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","vf","mariano kocalka","$3.02","$4.00","$4.00","gregorio luperon"
"dominican republic","peso","500","2003","note","0.0302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","vf","mariano kocalka","$15.12","$16.00","$16.00","gregorio luperon"
"dominican republic","peso","1000","2003","note","0.0302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","vf","mariano kocalka","$30.23","$33.00","$33.00","gregorio luperon"
"dominican republic","peso","2000","2003","note","0.0302345&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","f","mariano kocalka","$60.47","$65.00","$65.00","gregorio luperon"
"east africa","1","shilling","1941","coin","NULL","0&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$2.00","$2.00","charlottesville coin store","george vi"
"east caribbean states","1","cent","1957","coin","NULL","0.003703704&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.00","$0.20","$0.20","ebay: tom yancey","elizabeth ii"
"east caribbean states","2","cent","1993","coin","NULL","0.003703704&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.01","$0.20","$0.20","charlottesville teachers store","elizabeth ii"
"east caribbean states","5","cent","1965","coin","NULL","0.003703704&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.02","$0.75","$0.75","fashion square mall","elizabeth ii"
"east caribbean states","25","cent","1955","coin","NULL","0.003703704&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.09","$0.00","$0.09","ebay: tom yancey","elizabeth ii"
"east caribbean states","25","cent","1989","coin","g","0.003703704&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.09","$0.00","$0.09","barry shaul","sailboat"
"east caribbean states","50","cent","1955","coin","NULL","0.003703704&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.19","$0.00","$0.19","ebay: randall leis","elizabeth ii"
"east caribbean states","1","dollar","1989","coin","g","0.37037037&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","$0.37","$0.00","$0.37","barry shaul","sailboat"
"east caribbean states","dollar","1","1965","note","0.37037037&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","unc","$0.37","$4.50","$4.50","ebay: michael maceyko","antigua young elizabeth ii"
"east caribbean states","dollar","2","NULL","note","0.37037037&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","vf","$0.74","$3.00","$3.00","ebay: jane white","young elizabeth ii british caribbean territories"
"east caribbean states","dollar","5","1965","note","0.37037037&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","unc","$1.85","$7.06","$7.06","ebay: michael maceyko","antigua young elizabeth ii"
"east caribbean states","dollar","5","NULL","note","0.37037037&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","xf","$1.85","$3.00","$3.00","ebay: jane white","elizabeth ii beach"
"east caribbean states","dollar","5","NULL","note","0.37037037&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","$1.85","$0.00","$1.85","mike walker","admiral's house antigua and barbuda & trafalgar falls dominica"
"east caribbean states","dollar","10","NULL","note","0.37037037&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","NULL","mike walker","$3.70","$0.00","$3.70","admiralty bay st. vincent and the grenadines & the warspite anguilla"
