"species name","tropical","not tropical","comments"
"lophira procera","x","n/a","n/a"
"lophostemon confertus","n/a","x","n/a"
"lovoa trichilioides","x","n/a","n/a"
"loxopterygium lorentzii","n/a","x","n/a"
"lucuma campechiana","n/a","x","n/a"
"lucuma mammosa","n/a","x","n/a"
"lucuma nervosa","n/a","x","n/a"
"lucuma rivicoa","n/a","x","n/a"
"lucuma salicifolia","n/a","x","n/a"
"luehea seemanii","x","n/a","n/a"
"lysiloma bahamense","n/a","x","n/a"
"lysiloma latisiliquum","n/a","x","n/a"
"macarisia klaineana","x","n/a","n/a"
"machaerium scleroxylon","n/a","x","n/a"
"machaerium tipu","n/a","x","n/a"
"machaerium villosum","n/a","x","n/a"
"maclura tinctoria","n/a","x","n/a"
"macrolobium chrysophylloides","x","n/a","n/a"
"macrolobium fragrans","x","n/a","n/a"
"macrolobium pendulum","x","n/a","n/a"
"macrolobium racemigerum","x","n/a","n/a"
"maesopsis eminii","x","n/a","n/a"
"mammea africana","x","n/a","n/a"
"mangifera indica","n/a","x","n/a"
"manilkara achras","n/a","x","n/a"
"manilkara bidentata","x","n/a","n/a"
"manilkara chicle","x","n/a","n/a"
"manilkara huberi","x","n/a","n/a"
"manilkara surinamensis","x","n/a","n/a"
"manilkara zapota","n/a","x","n/a"
"manilkara zapotilla","n/a","x","n/a"
"mansonia altissima","x","n/a","n/a"
"martiodendron parviflorum","x","n/a","n/a"
"martiusia parviflora","x","n/a","n/a"
"melanoxylon brauna","x","n/a","n/a"
"&#167; melastomatrichotomum","x","n/a","n/a"
"melia americana","n/a","x","n/a"
"melicocca oliviformis","x","n/a","n/a"
"metasequoia glyptostroboides","n/a","x","n/a"
"metopium browneii","x","n/a","n/a"
"mezilaurus itauba","x","n/a","n/a"
"&#167; miconiaguianensis","x","n/a","n/a"
"&#167; miconiamirabilis","x","n/a","n/a"
"&#167; miconiatrichotoma","x","n/a","n/a"
"{microberlinia|spp.}","x","n/a","n/a"
"micropholis melinoniana","x","n/a","n/a"
"micropholis mexicana","x","n/a","n/a"
"micropholius gardnerianum","x","n/a","n/a"
"mildbraediodendron excelsum","x","n/a","n/a"
"milicia excelsa","x","n/a","n/a"
"milicia regia","x","n/a","n/a"
"millettia laurentii","x","n/a","n/a"
"millettia stuhlmannii","n/a","x","n/a"
"mimosa adstringens","n/a","x","n/a"
"mimosa arabica","n/a","x","n/a"
"mimosa buceragenia","x","n/a","n/a"
"mimosa dulcis","n/a","x","n/a"
"mimosa incurialis","n/a","x","n/a"
"&#167; mimosaingoides","x","n/a","n/a"
"mimosa latisiliqua","n/a","x","n/a"
"mimosa lebbeck","n/a","x","n/a"
"mimosa nilotica","n/a","x","n/a"
"mimosa rosea","x","n/a","n/a"
"mimosa scorpioides","n/a","x","n/a"
"mimosa sirissa","n/a","x","n/a"
"mimosa speciosa","n/a","x","n/a"
"mimosa wilsonii","x","n/a","n/a"
"mimusops djave","x","n/a","n/a"
"mimusops heckelii","x","n/a","n/a"
"mimusops huberi","x","n/a","n/a"
"mitragyna stipulosa","x","n/a","n/a"
"monopetalanthus heitzii","x","n/a","n/a"
"mora excelsa","x","n/a","n/a"
"mora gonggrijpii","x","n/a","n/a"
"{moringa|spp.}","n/a","x","n/a"
"moronobea esculenta","x","n/a","n/a"
"morus excelsa","x","n/a","n/a"
"{morus|spp.}","n/a","x","n/a"
"morus tinctoria","n/a","x","n/a"
"myristica castaneifolia","x","n/a","n/a"
"myristica chartacea","x","n/a","n/a"
"myristica fragrans","n/a","x","n/a"
"myristica gillespieana","x","n/a","n/a"
"myristica officinalis","n/a","x","n/a"
"myrocarpus fastigiatus","x","n/a","n/a"
"myrocarpus frondosus","n/a","x","n/a"
"myrospermum pereirae","n/a","x","n/a"
"myroxylon balsamum","n/a","x","n/a"
"myroxylon pereirae","n/a","x","n/a"
"myrtus dioica","n/a","x","n/a"
"myrtus pimenta","n/a","x","n/a"
"nageia vitiensis","x","n/a","n/a"
"nauclea diderrichii","x","n/a","n/a"
"nauclea stipulosa","x","n/a","n/a"
"nectandra elaiophora","x","n/a","n/a"
"nectandra grandis","x","n/a","n/a"
"nectandra mollis","n/a","x","n/a"
"nectandra pittieri","n/a","x","n/a"
"nectandra reticulata","n/a","x","n/a"
"nectandra rodiei","x","n/a","n/a"
"nectandra villosa","n/a","x","n/a"
"neorites kevediana","x","n/a","n/a"
"nephelium oleifolium","n/a","x","n/a"
"nesogordonia papaverifera","x","n/a","n/a"
"newtonia psilostachya","x","n/a","n/a"
"newtonia suaveolens","x","n/a","n/a"
"nothofagus betuloides","n/a","x","n/a"
"nothofagus cunninghamii","n/a","x","n/a"
"nothofagus pumilio","n/a","x","n/a"
"ochroma bicolor","n/a","x","n/a"
"ochroma concolor","n/a","x","n/a"
"ochroma lagopus","n/a","x","n/a"
"ochroma obtusum","n/a","x","n/a"
"ochroma pyramidale","n/a","x","n/a"
"ocotea cymbarum","x","n/a","n/a"
"ocotea glomerata","x","n/a","n/a"
"ocotea lenticellata","n/a","x","n/a"
"ocotea leucoxylon","n/a","x","n/a"
"ocotea mollis","n/a","x","n/a"
"ocotea porosa","n/a","x","n/a"
"ocotea rodiei","x","n/a","n/a"
"ocotea rubra","x","n/a","n/a"
"ocotea subsericea","n/a","x","n/a"
"ocotea venenosa","x","n/a","n/a"
"octomeles moluccana","x","n/a","n/a"
"octomeles sumatrana","x","n/a","n/a"
"octomeles sumatranum","x","n/a","n/a"
"oenocarpus bataua","x","n/a","n/a"
"olea africana","n/a","x","n/a"
"olea capensis","n/a","x","n/a"
"olea chrysophylla","n/a","x","n/a"
"olea cuspidata","n/a","x","n/a"
"olea europaea","n/a","x","n/a"
"olea ferruginea","n/a","x","n/a"
"olea maroccana","n/a","x","n/a"
"olea oleaster","n/a","x","n/a"
"{olea sativa|var.|verrucosa}","n/a","x","n/a"
"olea sylvestris","n/a","x","n/a"
"olea verrucosa","n/a","x","n/a"
"olneya tesota","n/a","x","n/a"
"oreodaphne glomerata","x","n/a","n/a"
"oreodaphne porosa","n/a","x","n/a"
"ormosia dasycarpa","x","n/a","n/a"
"ormosia macrocalyx","n/a","x","n/a"
"ormosia monosperma","x","n/a","n/a"
"ormosia nobilis","n/a","x","n/a"
"ormosia pacimonensis","x","n/a","n/a"
"oxystigma oxyphyllum","x","n/a","n/a"
"pachira aquatica","n/a","x","n/a"
"pachira macrocarpa","n/a","x","n/a"
"pachira quinata","x","n/a","n/a"
"pahudia attenuata","n/a","x","n/a"
"pahudia quanzensis","n/a","x","n/a"
"{palaquium|spp.}","x","n/a","under review"
"panax morototoni","n/a","x","n/a"
"panzera falcata","x","n/a","n/a"
"paraberlinia bifoliolata","x","n/a","n/a"
"parahancornia amapa","x","n/a","n/a"
"parapiptadenia rigida","n/a","x","n/a"
"{paraserianthes|spp.}","x","n/a","under review"
"{parashorea|spp.}","x","n/a","under review"
"parinari excelsa","x","n/a","n/a"
"{peltogyne|spp.}","x","n/a","n/a"
"pentaptera tomentosa","n/a","x","n/a"
"pericopsis elata","x","n/a","cites"
"persea americana","n/a","x","n/a"
"persea drymifolia","n/a","x","n/a"
"persea floccosa","n/a","x","n/a"
"persea gigantea","n/a","x","n/a"
"persea gratissima","n/a","x","n/a"
"persea incana","n/a","x","n/a"
"persea leiogyna","n/a","x","n/a"
"persea lingue","n/a","x","n/a"
"persea mollis","n/a","x","n/a"
"persea nubigena","n/a","x","n/a"
"persea perglauca","n/a","x","n/a"
"persea persea","n/a","x","n/a"
"persea steyermarkii","n/a","x","n/a"
"persea tolimanensis","n/a","x","n/a"
"persea zentmyeri","n/a","x","n/a"
"persoonia guareoides","x","n/a","n/a"
"petersia africana","x","n/a","n/a"
"petersianthus macrocarpus","x","n/a","n/a"
"phoebe porosa","n/a","x","n/a"
"pholidia mitchellii","n/a","x","n/a"
"phyllostachys","n/a","x","n/a"
"phytelephas macrocarpa","x","n/a","n/a"
"pilgerodendron uviferum","n/a","x","n/a"
"pimenta dioica","n/a","x","n/a"
"pimenta officinalis","n/a","x","n/a"
"pimenta pimenta","n/a","x","n/a"
"pimenta vulgaris","n/a","x","n/a"
"pinus caribaea","n/a","x","n/a"
"pinus koraiensis","n/a","x","n/a"
"pinus lanceolata","n/a","x","n/a"
"pinus radiata","n/a","x","n/a"
"piptadenia africana","x","n/a","n/a"
"piptadenia cateniformis","x","n/a","n/a"
"piptadenia cebil","n/a","x","n/a"
"piptadenia flava","x","n/a","n/a"
"piptadenia leptocarpa","x","n/a","n/a"
"piptadenia macrocarpa","n/a","x","n/a"
"piptadenia psilostachya","x","n/a","n/a"
"piptadenia rigida","n/a","x","n/a"
"piptadenia suaveolens","x","n/a","n/a"
"piptadeniastrum africanum","x","n/a","n/a"
"piratinera guianensis","x","n/a","n/a"
"piscidia acuminata","x","n/a","n/a"
"piscidia americana","x","n/a","n/a"
"piscidia carthagenensis","x","n/a","n/a"
"piscidia communis","x","n/a","n/a"
"piscidia erythrina","n/a","x","n/a"
"piscidia guaricensis","x","n/a","n/a"
"piscidia piscipula","n/a","x","n/a"
"pistacia simaruba","n/a","x","n/a"
"pithecellobium dulce","n/a","x","n/a"
"pithecellobium guaricense","x","n/a","n/a"
"pithecellobium incuriale","n/a","x","n/a"
"pithecellobium longipedatum","x","n/a","n/a"
"pithecellobium martianum","n/a","x","n/a"
"pithecellobium pubescens","x","n/a","n/a"
"pithecellobium racemosum","x","n/a","n/a"
"pithecellobium roseum","x","n/a","n/a"
"pithecellobium schomburgkii","x","n/a","n/a"
"pithecellobium tortum","x","n/a","n/a"
"pityrocarpa flava","x","n/a","n/a"
"planchonia papuana","x","n/a","n/a"
"platanus hybrida","n/a","x","n/a"
"platanus x acerifolia","n/a","x","n/a"
"platonia esculenta","x","n/a","n/a"
"platonia insignis","x","n/a","n/a"
"platymiscium dimorphandrum","x","n/a","n/a"
"platymiscium duckei","x","n/a","n/a"
"platymiscium paraense","x","n/a","n/a"
"platymiscium pinnatum","x","n/a","n/a"
"platymiscium polystachyum","x","n/a","n/a"
"platymiscium trinitatis","x","n/a","n/a"
"platymiscium ulei","x","n/a","n/a"
"platymiscium yucatanum","x","n/a","n/a"
"podocarpus falcatus","n/a","x","n/a"
"podocarpus latifolius","n/a","x","n/a"
"poga oleosa","x","n/a","n/a"
"pometia pinnata","x","n/a","n/a"
"pometia tomentosa","x","n/a","n/a"
"pouteria campechiana","n/a","x","n/a"
"pouteria procera","x","n/a","n/a"
"prioria balsamiferum","x","n/a","n/a"
"prosopis nigra","n/a","x","n/a"
"{protium|spp.}","x","n/a","under review"
"pseudocedrela cylindrica","x","n/a","n/a"
"pseudocedrela utilis","x","n/a","n/a"
"{pseudocinchona|spp.}","x","n/a","under review"
"pseudocopaiva chodatiana","n/a","x","n/a"
"pseudocopaiva hymenaefolia","n/a","x","n/a"
"pseudopiptadenia psilostachya","x","n/a","n/a"
"pseudopiptadenia suaveolens","x","n/a","n/a"
"pseudosamanea guachapele","x","n/a","n/a"
"pseudosindora palustris","x","n/a","n/a"
"pterocarpus acapulcensis","x","n/a","n/a"
"pterocarpus angolensis","n/a","x","n/a"
"pterocarpus dalbergioides","n/a","x","n/a"
"pterocarpus dekindtianus","n/a","x","n/a"
"pterocarpus erinaceus","x","n/a","n/a"
"pterocarpus heterophyllus","x","n/a","n/a"
"pterocarpus indicus","n/a","x","n/a"
"pterocarpus macrocarpus","n/a","x","n/a"
"pterocarpus marsupium","n/a","x","n/a"
"pterocarpus minimus","x","n/a","n/a"
"pterocarpus podocarpus","x","n/a","n/a"
"pterocarpus rohrii","n/a","x","n/a"
"pterocarpus rupestris","x","n/a","n/a"
"pterocarpus santalinus","n/a","x","cites"
"pterocarpus soyauxii","x","n/a","n/a"
"pterocarpus vernalis","x","n/a","n/a"
"pterogyne nitens","n/a","x","n/a"
"pterygopodium balsamiferum","x","n/a","n/a"
"pterygopodium oxyphyllum","x","n/a","n/a"
"{pterygota|spp.}","x","n/a","under review"
"pycnanthus angolensis","x","n/a","n/a"
"qualea albiflora","x","n/a","n/a"
"qualea coerulea","x","n/a","n/a"
"qualea paraensis","x","n/a","n/a"
"qualea rosea","x","n/a","n/a"
"quassia simarouba","x","n/a","n/a"
"quebrachia lorentzii","n/a","x","n/a"
"racosperma aneurum","n/a","x","n/a"
"racosperma cambagei","n/a","x","n/a"
"racosperma coriaceum","n/a","x","n/a"
"racosperma excelsum","n/a","x","n/a"
"racosperma harpophyllum","n/a","x","n/a"
"racosperma koa","n/a","x","n/a"
"racosperma melanoxylon","n/a","x","n/a"
"racosperma microspermum","n/a","x","n/a"
"racosperma omalophyllum","n/a","x","n/a"
"racosperma pendulum","n/a","x","n/a"
"racosperma salicinum","n/a","x","n/a"
"racosperma shirleyi","n/a","x","n/a"
"racosperma tephrina","n/a","x","n/a"
"recordoxylon","x","n/a","n/a"
"rhodostemonodaphne grandis","x","n/a","n/a"
"&#167; richeriagrandis","n/a","x","n/a"
"ricinodendron heudelotii","x","n/a","n/a"
"rinorea paniculata","x","n/a","n/a"
"roseodendron donnell-smithii","n/a","x","n/a"
"roupala brasiliensis","n/a","x","n/a"
"roupala cataractarum","n/a","x","n/a"
"{roupala gardneri|var.|integrifolia}","n/a","x","n/a"
"roupala montana","n/a","x","n/a"
"roupala pinnata","x","n/a","n/a"
"roupala pohlii","n/a","x","n/a"
"ruizterania albiflora","x","n/a","n/a"
"{sabal|spp.}","x","n/a","under review"
"salvadora persica","n/a","x","n/a"
"samanea saman","n/a","x","n/a"
"santalum album","n/a","x","n/a"
"santalum spicatum","n/a","x","n/a"
"saouari villosa","x","n/a","n/a"
"&#167; sapiumaucuparium","n/a","x","n/a"
"&#167; sapiumcaribaeum","n/a","x","n/a"
"sapium ellipticum","x","n/a","n/a"
"&#167; sapiumglandulosum","n/a","x","n/a"
"sapota zapotilla","n/a","x","n/a"
"sarcocephalus diderrichii","x","n/a","n/a"
"saxegothaea conspicua","n/a","x","n/a"
"schefflera morototoni","n/a","x","n/a"
"schinopsis lorentzii","n/a","x","n/a"
"schinopsis quebracho-colorado","n/a","x","n/a"
"schizolobium amazonicum","n/a","x","n/a"
"schizolobium excelsum","n/a","x","n/a"
"schizolobium parahyba","n/a","x","n/a"
"schrebera arborea","x","n/a","n/a"
"sclerolobium micropetalum","x","n/a","n/a"
"scorodocarpus borneensis","x","n/a","n/a"
"scyphocephalium ochocoa","x","n/a","n/a"
"{serenoa|spp.}","x","n/a","under review"
"seretoberlinia seretii","x","n/a","n/a"
"serianthes melanesica","x","n/a","n/a"
"serianthes myriadenia sensu","x","n/a","n/a"
"sextonia pubescens","x","n/a","n/a"
"sextonia rubra","x","n/a","n/a"
"{shorea|spp.}","x","n/a","under review"
"sickingia salvadorensis","x","n/a","n/a"
"sideroxylon gardnerianum","x","n/a","n/a"
"simarouba amara","x","n/a","n/a"
"simarouba versicolor","x","n/a","n/a"
"simira salvadorensis","x","n/a","n/a"
"siphonia brasiliensis","n/a","x","n/a"
"&#167; sloaneacaribaea","x","n/a","n/a"
"sophora monosperma","x","n/a","n/a"
"spirostachys africana","n/a","x","n/a"
"spondias lutea","n/a","x","n/a"
"spondias mombin","n/a","x","n/a"
"staudtia kamerunensis","x","n/a","n/a"
"stemmadenia donnell-smithii","x","n/a","n/a"
"sterculia apetala","x","n/a","n/a"
"sterculia caribaea","x","n/a","n/a"
"sterculia oblonga","x","n/a","n/a"
"sterculia pruriens","x","n/a","n/a"
"sterculia rhinopetala","x","n/a","n/a"
"sterculia rugosa","x","n/a","n/a"
"sterculia tragacantha","n/a","x","n/a"
"{swartzia|spp.}","x","n/a","n/a"
"sweetia panamensis","x","n/a","n/a"
"swietenia candollei","n/a","x","cites"
"swietenia chloroxylon","x","n/a","n/a"
"swietenia macrophylla","n/a","x","cites"
"swietenia senegalensis","x","n/a","n/a"
"symphonia globulifera","x","n/a","n/a"
"{syzygium|spp.}","n/a","x","n/a"
"{tabebuia|spp.}","x","n/a","n/a"
"tabernaemontana donnell-smithii","x","n/a","n/a"
"tachigali micropetala","x","n/a","n/a"
"tachigali purpurea","x","n/a","n/a"
"tachigalia purpurea","x","n/a","n/a"
"talisia oliviformis","x","n/a","n/a"
"tamarindus indica","n/a","x","n/a"
"&#167; tamoneaguianensis","x","n/a","n/a"
"&#167; tapuralatifolia","x","n/a","n/a"
"tarrietia utilis","x","n/a","n/a"
"taxodium mexicanum","n/a","x","n/a"
"taxodium mucronatum","n/a","x","n/a"
"tecoma guayacan","n/a","x","n/a"
"tecoma impetiginosa","n/a","x","n/a"
"tecoma ipe","n/a","x","n/a"
"tecoma rosea","n/a","x","n/a"
"tecoma serratifolia","n/a","x","n/a"
"tectona grandis","n/a","x","n/a"
"terminalia alata","n/a","x","n/a"
"terminalia amazonia","x","n/a","n/a"
"terminalia eliptica","n/a","x","n/a"
"terminalia hayesii","x","n/a","n/a"
"terminalia ivorensis","x","n/a","n/a"
"terminalia obovata","n/a","x","n/a"
"terminalia pterocarpa","x","n/a","n/a"
"terminalia superba","n/a","x","n/a"
"terminalia tomentosa","n/a","x","n/a"
"tessmannia africana","x","n/a","n/a"
"testulea gabonensis","x","n/a","n/a"
"tetraclinis articula","n/a","x","n/a"
"thespesia macrophylla","n/a","x","n/a"
"thespesia populnea","n/a","x","n/a"
"thouinia hemiglauca","n/a","x","n/a"
"thuja chilensis","n/a","x","n/a"
"thuja gigantea","n/a","x","n/a"
"thuja plicata","n/a","x","n/a"
"tieghemella africana","x","n/a","n/a"
"tieghemella heckelii","x","n/a","n/a"
"tipuana speciosa","n/a","x","n/a"
"tipuana tipu","n/a","x","n/a"
"toluifera balsamum","n/a","x","n/a"
"tolyifera pereirae","n/a","x","n/a"
"toona australis","n/a","x","n/a"
"toona ciliata","n/a","x","n/a"
"toona microcarpa","n/a","x","n/a"
"toona ternatensis","n/a","x","n/a"
"torresea cearensis","x","n/a","n/a"
"{trattinickia|spp.}","x","n/a","n/a"
"trema guineensis","n/a","x","n/a"
"trema orientalis","n/a","x","n/a"
"trichilia albiflora","n/a","x","n/a"
"trichilia americana","n/a","x","n/a"
"trichilia anisopleura","n/a","x","n/a"
"trichilia colimana","n/a","x","n/a"
"trichilia langlassei","n/a","x","n/a"
"trichilia minutiflora","n/a","x","n/a"
"trichilia pavoniana","n/a","x","n/a"
"trichilia pringlei","n/a","x","n/a"
"trichilia procera","x","n/a","n/a"
"trichilia spondiodes","n/a","x","n/a"
"triplaris surinamensis","n/a","x","n/a"
"triplaris weigeltiana","n/a","x","n/a"
"triplochiton scleroxylon","x","n/a","n/a"
"triplochiton utile","x","n/a","n/a"
"tristania conferta","n/a","x","n/a"
"turreanthus africanus","x","n/a","n/a"
"uapaca guineensis","x","n/a","n/a"
"vatairea guianensis","x","n/a","n/a"
"vatairea lundellii","x","n/a","n/a"
"vatairea surinamensis","x","n/a","n/a"
"{virola|spp.}","x","n/a","n/a"
"vitex vitiensis","x","n/a","n/a"
"vochysia guianensis","x","n/a","n/a"
"{vochysia|spp.}","x","n/a","n/a"
"vochysia tomentosa","x","n/a","n/a"
"vouacapoua americana","x","n/a","n/a"
"vouapa pendula","x","n/a","n/a"
"vouapa racemigera","x","n/a","n/a"
"vuacapua amazonum","x","n/a","n/a"
"weinmannia trichosperma","n/a","x","n/a"
"ximenia borneensis","x","n/a","n/a"
"xylia xylocarpa","x","n/a","n/a"
"xylocarpus carapa","x","n/a","n/a"
"zanthoxylum flavum","n/a","x","n/a"
"zanthoxylum heitzii","x","n/a","n/a"
"zygia racemosa","x","n/a","n/a"
