"country","city","airport","3lett","4lett"
"canada","stewart british columbia","stewart","zst","czst"
"canada","st-hubert quebec","montreal - st-hubert","yhu","cyhu"
"canada","st-jean quebec","st-jean","yjn","cyjn"
"canada","st-leonard new brunswick","st-leonard","ysl","cysl"
"canada","stony rapids saskatchewan","stony rapids","ysf","cysf"
"canada","sudbury ontario","sudbury","ysb","cysb"
"canada","suffield alberta","suffield","ysd","cysd"
"canada","summer beaver ontario","summer beaver","sur","cjv7"
"canada","summerside prince edward isla","summerside","ysu","cysu"
"canada","swan river manitoba","swan river","zjn","czjn"
"canada","swift current saskatchewan","swift current","yyn","cyyn"
"canada","sydney nova scotia","sydney","yqy","cyqy"
"canada","tadoule lake manitoba","tadoule lake","xtl","cybq"
"canada","taloyoak northwest territorie","taloyoak","yyh","cyyh"
"canada","tasiujaq quebec","tasiujaq","ytq","cytq"
"canada","telegraph creek british colum","telegraph creek","ytx","cbm5"
"canada","terrace bay ontario","terrace bay","ytj","cytj"
"canada","terrace british columbia","terrace","yxt","cyxt"
"canada","teslin yukon territory","teslin","yzw","cyzw"
"canada","texada british columbia","gillies bay","ygb","cygb"
"canada","the pas manitoba","the pas","yqd","cyqd"
"canada","thicket portage manitoba","thicket portage","ytd","czlq"
"canada","thompson manitoba","thompson","yth","cyth"
"canada","thunder bay ontario","thunder bay","yqt","cyqt"
"canada","timmins ontario","timmins","yts","cyts"
"canada","tisdale saskatchewan","tisdale","ytt","cjy3"
"canada","tofino british columbia","tofino","yaz","cyaz"
"canada","toronto ontario","toronto - buttonville mun","ykz","cykz"
"canada","toronto ontario","toronto - city centre","ytz","cytz"
"canada","toronto ontario","toronto - pearson intl","yyz","cyyz"
"canada","trenton ontario","trenton","ytr","cytr"
"canada","trois-rivieres quebec","trois-rivieres","yrq","cyrq"
"canada","tuktoyaktuk northwest territo","tuktoyaktuk","yub","cyub"
"canada","tumbler ridge british columbi","tumbler ridge","tux","cbx7"
"canada","tungsten northwest territorie","cantung","tns","cbx5"
"canada","umiujaq quebec","umiujaq","yud","cymu"
"canada","uranium city saskatchewan","uranium city","ybe","cybe"
"canada","val-d'or quebec","val-d'or","yvo","cyvo"
"canada","vancouver british columbia","vancouver intl","yvr","cyvr"
"canada","vermilion alberta","vermilion","yvg","cyvg"
"canada","vernon british columbia","vernon","yve","cyvk"
"canada","victoria british columbia","victoria intl","yyj","cyyj"
"canada","wabush newfoundland","wabush","ywk","cywk"
"canada","waskaganish quebec","waskaganish","ykq","cykq"
"canada","watson lake yukon territory","watson lake","yqh","cyqh"
"canada","wawa ontario","wawa","yxz","cyxz"
"canada","webequie ontario","webequie","ywp","cywp"
"canada","wekweti northwest territories","wekweti","yfj","cfj2"
"canada","wemindji quebec","wemindji","ync","cync"
"canada","whale cove northwest territor","whale cove","yxn","cyxn"
"canada","whitecourt alberta","whitecourt","yzu","cyzu"
"canada","whitehorse yukon territory","whitehorse intl","yxy","cyxy"
"canada","wiarton ontario","wiarton","yvv","cyvv"
"canada","williams harbour newfoundland","williams harbour","ywm","cca6"
"canada","williams lake british columbi","williams lake","ywl","cywl"
"canada","windsor ontario","windsor","yqg","cyqg"
"canada","winnipeg manitoba","winnipeg intl","ywg","cywg"
"canada","wollaston lake saskatchewan","wollaston lake","zwl","czwl"
"canada","wrigley northwest territories","wrigley","ywy","cywy"
"canada","wunnumin lake ontario","wunnumin lake","wnn","ckl3"
"canada","yarmouth nova scotia","yarmouth","yqi","cyqi"
"canada","yellowknife northwest territo","yellowknife","yzf","cyzf"
"canada","york landing manitoba","york landing","zac","czac"
"canada","yorkton saskatchewan","yorkton","yqv","cyqv"
"cape verde","francisco mendes","francisco mendes","rai","gvfm"
"cape verde","maio","maio","mmo","gvma"
"cape verde","preguica","preguica","sne","gvsn"
"cape verde","rabil","rabil","bvc","gvba"
"cape verde","s. pedro","s. pedro","vxe","gvsv"
"cape verde","sal","amilcar cabral","sid","gvac"
"cayman islands","cayman brac","gerrard-smith intl","cyb","mwcb"
"cayman islands","grand cayman","roberts intl","gcm","mwcr"
"central africa","bambari","bambari","bby","fefm"
"central africa","bangassou","bangassou","bgu","fefg"
"central africa","bangui","m'poko","bgf","feff"
"central africa","berberati","berberati","bbt","feft"
"central africa","birao","birao","iro","fefi"
"central africa","bossangoa","bossangoa","bsn","fefs"
"central africa","bouar","bouar","bop","fefo"
"central africa","bozoum","bozoum","boz","fegz"
"central africa","bria","bria","biv","fefr"
"central africa","n'dele","n'dele","ndl","fefn"
"central africa","obo","m'boki","mki","fefb"
"central africa","yalinga","yalinga","aig","fefy"
"central africa","zemio","zemio","imo","fefz"
"chad","abeche","abeche","aeh","fttc"
"chad","am-timan","am-timan","amc","fttn"
"chad","ati","ati","atv","ftti"
"chad","bokoro","bokoro","bkr","fttk"
"chad","bol","berim","otc","fttl"
"chad","bongor","bongor","ogr","fttb"
"chad","bousso","bousso","out","ftts"
"chad","faya largeau","faya largeau","fyt","ftty"
"chad","lai","lai","ltc","ftth"
"chad","mao","mao","amo","fttu"
"chad","mongo","mongo","mvo","fttm"
"chad","moundou","moundou","mqq","fttd"
"chad","n'djamena","n'djamena","ndj","fttj"
"chad","pala","pala","plf","fttp"
"chad","sarh","sarh","srh","ftta"
"chile","ancud","pupelde","zud","scac"
"chile","antofagasta","cerro moreno intl","anf","scfa"
"chile","arica","chacalluta intl","ari","scar"
"chile","balmaceda","balmaceda","bba","scba"
"chile","calama","el loa","cjc","sccf"
"chile","cerro sombrero","franco bianco","smb","scsb"
"chile","chaiten","chaiten","wch","sctn"
"chile","chanaral","chanaral","cnr","scra"
"chile","chile chico","chile chico","cch","sccc"
"chile","chillan","gen. bernardo o'higgins","yai","scch"
"chile","cochrane","cochrane","lgr","schr"
"chile","concepcion","carriel sur intl","ccp","scie"
"chile","copiapo","chamonate","cpo","scha"
"chile","coyhaique","teniente vidal","gxq","sccy"
"chile","el salvador","el salvador bajo","esr","sces"
"chile","futaleufu","futaleufu","ffu","scft"
"chile","iquique","diego aracena intl","iqq","scda"
"chile","la serena","la florida","lsc","scse"
"chile","linares","linares","zlr","scln"
"chile","los andes","san rafael","lob","scan"
"chile","los angeles","maria dolores","lsq","scge"
"chile","osorno","canal bajo/carlos h siebert","zos","scjo"
"chile","porvenir","capitan fuentes martinez","wpr","scfm"
"chile","pucon","pucon","zpc","scpc"
"chile","puerto aysen","cabo juan roman","wpa","scas"
"chile","puerto montt","el tepual intl","pmc","scte"
"chile","puerto natales","teniente julio gallardo","pnt","scnt"
"chile","puerto williams","guardiamarina zanartu","wpu","scgz"
"chile","punta arenas","carlos ibanez del campo intl","puq","scci"
"chile","rancagua","de la independencia","qrc","scrg"
"chile","san felipe","victor lafon","ssd","scsf"
"chile","santiago","arturo merino benitez intl","scl","scel"
"chile","santiago","los cerrillos","ulc","scti"
"chile","talca","panguilemo","tlx","sctl"
"chile","taltal","las breas","ttc","sctt"
"chile","temuco","maquehue","zco","sctc"
"chile","tocopilla","barriles","toq","scbe"
"chile","valdivia","pichoy","zal","scvd"
"chile","vallenar","vallenar","vlr","scll"
"chile","victoria","victoria","zic","scto"
"chile","vina del mar","vina del mar","kna","scvm"
"china - peoples republic","aksu","aksu airport","aku","zwak"
"china - peoples republic","altay","altay airport","aat","zwat"
"china - peoples republic","anqing","anqing airport","aqg","zsaq"
"china - peoples republic","anshan","anshan airport","aog","zyas"
"china - peoples republic","anyang","anyang airport","ayn","zhay"
"china - peoples republic","baoshan","baoshan airport","bsd","zpbs"
"china - peoples republic","baotou","baotou airport","bav","zbow"
"china - peoples republic","beihai","beihai airport","bhy","zgbh"
"china - peoples republic","beijing","beijing capital intl airport","pek","zbaa"
"china - peoples republic","beijing","beijing nanyuan airport","nay","zbbb"
"china - peoples republic","bengbu","bengbu airport","bfu","zsbb"
"china - peoples republic","changchun","changchun longjia intl airport","cgq","zycc"
"china - peoples republic","changsha","changsha huanghua intl airport","csx","zgha"
"china - peoples republic","changzhi","changzhi airport","cih","zbcz"
"china - peoples republic","changzhou","changzhou airport","czx","zscg"
"china - peoples republic","chengdu","chengdu shuangliu intl airport","ctu","zuuu"
"china - peoples republic","chifeng","chifeng airport","cif","zbcf"
"china - peoples republic","chongqing","chongqing jiangbei intl airpor","ckg","zuck"
"china - peoples republic","dalian","dalian zhoushuizi intl airport","dlc","zytl"
"china - peoples republic","dandong","dandong airport","ddg","zydd"
"china - peoples republic","datong","datong airport","dat","zbdt"
"china - peoples republic","dunhuang","dunhuang airport","dnh","zldh"
"china - peoples republic","fuyang","fuyang airport","fug","zsfy"
"china - peoples republic","fuyun","fuyun airport","fyn","zwfy"
"china - peoples republic","fuzhou","fuzhou chengle intl airport","foc","zsfz"
"china - peoples republic","ganzhou","ganzhou airport","kow","zsgz"
"china - peoples republic","golmud","golmud airport","goq","zlgm"
"china - peoples republic","guangzhou","guangzhou baiyun intl airport","can","zggg"
"china - peoples republic","guilin","guilin liangjiang intl airport","kwl","zgkl"
"china - peoples republic","guiyang","guiyang longdongbao airport","kwe","zugy"
"china - peoples republic","haikou","haikou meilan intl airport","hak","zjhk"
"china - peoples republic","hailar","hailar dongshan airport","hld","zbla"
"china - peoples republic","hami","hami airport","hmi","zwhm"
"china - peoples republic","hangzhou","hangzhou xiaoshan intl airport","hgh","zshc"
"china - peoples republic","hanzhong","hanzhong airport","hzg","zlhz"
"china - peoples republic","harbin","harbin taiping intl airport","hrb","zyhb"
"china - peoples republic","hefei","hefei luogang intl airport","hfe","zsof"
"china - peoples republic","heihe","heihe airport","hek","zyhe"
"china - peoples republic","hengyang","hengyang airport","hny","zghy"
"china - peoples republic","hohhot","hohhot baita intl airport","het","zbhh"
"china - peoples republic","hotan","hotan airport","htn","zwtn"
"china - peoples republic","huangshan","huangshan tunxi intl airport","txn","zstx"
"china - peoples republic","huangyan","huangyan luqiao airport","hyn","zslq"
"china - peoples republic","jiamusi","jiamusi airport","jmu","zyjm"
"china - peoples republic","jilin","jilin airport","jil","zyjl"
"china - peoples republic","jinan","jinan yaoqiang airport","tna","zsjn"
"china - peoples republic","jingdezhen","jingdezhen airport","jdz","zsjd"
"china - peoples republic","jinghong","jinghong gasa airport","jhg","zpjh"
"china - peoples republic","jining","jining airport","jng","zljn"
"china - peoples republic","jinzhou","jinzhou airport","jnz","zyjz"
"china - peoples republic","jiujiang","jiujiang lushan airport","jiu","zsjj"
"china - peoples republic","jiuquan","jiuquan airport","chw","zljq"
"china - peoples republic","karamay","karamay airport","kry","zwkm"
"china - peoples republic","kashgar (kashi)","kashgar airport (kashi airport","khg","zwsh"
"china - peoples republic","korla","korla airport","krl","zwkl"
"china - peoples republic","kunming","kunming wujiaba intl airport","kmg","zppp"
"china - peoples republic","kuqa","kuqa airport","kca","zwkc"
"china - peoples republic","lanzhou","lanzhou airport","lhw","zlan"
"china - peoples republic","lanzhou","lanzhou zhongchuan airport","zgc","zlll"
"china - peoples republic","lhasa","lhasa gonggar airport","lxa","zuls"
"china - peoples republic","lianyungang","lianyungang airport","lyg","zslg"
"china - peoples republic","lijiang","lijiang airport","ljg","zplj"
"china - peoples republic","liuzhou","liuzhou airport","lzh","zgzh"
"china - peoples republic","luoyang","luoyang airport","lya","zhly"
"china - peoples republic","luxi","luxi mangshi airport","yum","zplx"
"china - peoples republic","mudanjiang","mudanjiang airport","mdg","zymd"
"china - peoples republic","nanchang","nanchang intl airport","khn","zscn"
"china - peoples republic","nanchong","nanchong airport","nao","zunc"
"china - peoples republic","nanjing","nanjing lukou intl airport","nkg","zsnj"
"china - peoples republic","nanning","nanning wuxu intl airport","nng","zgnn"
"china - peoples republic","nanyang","nanyang airport","nny","zhny"
"china - peoples republic","ningbo","ningbo lishe intl airport","ngb","zsnb"
"china - peoples republic","qingdao","qingdao liuting intl airport","tao","zsqd"
"china - peoples republic","qingyang","qingyang airport","iqn","zlqy"
"china - peoples republic","qinhuangdao","qinhuangdao shanhaiguan airpor","shp","zbsh"
"china - peoples republic","qiqihar","qiqihar airport","ndg","zyqq"
"china - peoples republic","quanzhou","quanzhou jinjiang airport","jjn","zsqz"
"china - peoples republic","sanya","sanya fenghuang intl airport","syx","zgsy"
"china - peoples republic","shanghai","shanghai hongqiao airport","sha","zsss"
"china - peoples republic","shanghai","shanghai pudong intl airport","pvg","zspd"
"china - peoples republic","shantou","shantou airport","swa","zgow"
"china - peoples republic","shashi","shashi airport","shs","zhss"
"china - peoples republic","shenyang","shenyang taoxian intl airport","she","zytx"
"china - peoples republic","shenzhen","shenzhen bao'an intl airport","szx","zgsz"
"china - peoples republic","shijiazhuang","shijiazhuang daguocun intl air","sjw","zbsj"
"china - peoples republic","simao","simao airport","sym","zpsm"
"china - peoples republic","suzhou","suzhou guangfu airport","szv","zssz"
"china - peoples republic","taiyuan","taiyuan wusu airport","tyn","zbyn"
"china - peoples republic","tianjin","tianjin binhai intl airport","tsn","zbtj"
"china - peoples republic","tonghua","tonghua liuhe airport","tnh","zytn"
"china - peoples republic","tongliao","tongliao airport","tgo","zbtl"
"china - peoples republic","ulanhot","ulanhot airport","hlh","zbul"
"china - peoples republic","urumqi","diwopu airport","urc","zwww"
"china - peoples republic","weifang","weifang airport","wef","zswf"
"china - peoples republic","wenzhou","wenzhou intl airport","wnz","zswz"
"china - peoples republic","wuhan","wuhan tianhe airport","wuh","zhhh"
"china - peoples republic","wuxi","wuxi airport","wux","zswx"
"china - peoples republic","wuyishan nanping","nanping wuyishan airport","wus","zswy"
"china - peoples republic","wuzhou","wuzhou changzhoudao airport","wuz","zgwz"
"china - peoples republic","xiamen","xiamen gaoqi intl airport","xmn","zsam"
"china - peoples republic","xi'an","xi'an xianyang intl airport","xiy","zlxy"
"china - peoples republic","xiangfan","xiangfan airport","xfn","zhxf"
"china - peoples republic","xichang","xichang qingshan airport","xic","zuxc"
"china - peoples republic","xingtai","xingtai airport","xnt","zbxt"
"china - peoples republic","xining","xining airport","xnn","zlxn"
"china - peoples republic","xuzhou","xuzhou airport","xuz","zsxz"
"china - peoples republic","yan'an","yan'an airport","eny","zlya"
"china - peoples republic","yanji","yanji airport","ynj","zyyj"
"china - peoples republic","yantai","yantai laishan airport","ynt","zsyt"
"china - peoples republic","yibin","yibin airport","ybp","zuyb"
"china - peoples republic","yichang","yichang airport","yih","zhyc"
"china - peoples republic","yinchuan","yinchuan helanshan airport","inc","zlic"
"china - peoples republic","yining","yining airport","yin","zwyn"
"china - peoples republic","yiwu","yiwu airport","yiw","zsyw"
"china - peoples republic","yulin","yulin airport","uyn","zlyl"
"china - peoples republic","zhanjiang","zhanjiang airport","zha","zgzj"
"china - peoples republic","zhaotong","zhaotong airport","zat","zpzt"
"china - peoples republic","zhengzhou","zhengzhou xinzheng intl airpor","cgo","zhcc"
"china - peoples republic","zhoushan","zhoushan airport","hsn","zszs"
"china - peoples republic","zhuhai","zhuhai intl airport","zuh","zgsd"
"china - peoples republic","zunyi","zunyi airport","zyi","zuzy"
"colombia","araracuara","araracuara","acr","skac"
"colombia","arauca","santiago perez","auc","skuc"
"colombia","armenia","el eden","axm","skar"
"colombia","bahia solano","jose celestino mutis","bsc","skbs"
"colombia","barrancabermeja","yariguies","eja","skej"
"colombia","barranquilla","ernesto cortissoz","baq","skbq"
"colombia","bucaramanga","palonegro","bga","skbg"
"colombia","buenaventura","buenaventura","bun","skbu"
"colombia","cali","alfonso bonilla aragon intl","clo","skcl"
"colombia","cartagena","rafael nunez","ctg","skcg"
"colombia","cartago","santa ana","crc","skgo"
"colombia","caruru","caruru","cuo","skcr"
"colombia","caucasia","caucasia","caq","skcu"
"colombia","chaparral","gen navas pardo","cpl","skha"
"colombia","chigorodo","chigorodo","igo","skig"
"colombia","cimitarra","cimitarra","cim","skcm"
"colombia","condoto","mandinga","cog","skcd"
"colombia","corozal","las brujas","czu","skcz"
"colombia","covenas","covenas","cve","skcv"
"colombia","cravo norte","cravo norte","rav","skcn"
"colombia","cucuta","camilo daza intl","cuc","skcc"
"colombia","el bagre","el bagre","ebg","skeb"
"colombia","el banco","el banco apt.","elb","skbc"
"colombia","el yopal","el yopal","eyp","skyp"
"colombia","florencia","gustavo artunduaga p","fla","skfl"
"colombia","girardot","santiago vila","gir","skgi"
"colombia","guapi","guapi","gpi","skgp"
"colombia","hato corozal","hato corozal","htz","skhc"
"colombia","ibague","perales","ibe","skib"
"colombia","ipiales","san luis","ipi","skip"
"colombia","isla providencia","providencia","pva","skpv"
"colombia","la pedrera","la pedrera","lpd","sklp"
"colombia","leticia","alfredo vasquez cobo","let","sklt"
"colombia","magangue","baracoa","mgn","skmg"
"colombia","maicao","san jose de maicao","mcj","skao"
"colombia","mariquita","mariquita","mqu","skqu"
"colombia","medellin","olaya herrera","eoh","skmd"
"colombia","miraflores","miraflores","mfs","skmf"
"colombia","mitu","fabio a leon bentley","mvp","skmu"
"colombia","mompos","san bernardo","mmp","skmp"
"colombia","monteria","los garzones","mtr","skmr"
"colombia","neiva","benito salas","nva","sknv"
"colombia","ocana","aguas claras","ocv","skoc"
"colombia","palanquero","german olano ab","pal","skpq"
"colombia","pasto","antonio narino","pso","skps"
"colombia","paz de ariporo","paz de ariporo","pza","skpz"
"colombia","pereira","matecana","pei","skpe"
"colombia","pitalito","pitalito","ptx","skpi"
"colombia","popayan","guillermo leon valencia","ppn","skpp"
"colombia","puerto asis","tres de mayo","puu","skas"
"colombia","puerto berrio","puerto berrio","pbe","skpr"
"colombia","puerto carreno","puerto carreno","pcr","skpc"
"colombia","puerto inirida","obando","pda","skpd"
"colombia","puerto leguizamo","caucaya","lqm","sklg"
"colombia","quibdo","el carano","uib","skui"
"colombia","remedios","otu","otu","skot"
"colombia","riohacha","almirante padilla","rch","skrh"
"colombia","rionegro","jose maria cordova","mde","skrg"
"colombia","san jose del guaviare","jorge e gonzalez","sje","sksj"
"colombia","san vicente del caguan","san vicente del caguan","svi","sksv"
"colombia","santa marta","simon bolivar","smr","sksm"
"colombia","santafe de bogota","eldorado intl","bog","skbo"
"colombia","saravena","los colonizadores","rve","sksa"
"colombia","sogamoso","alberto lieras camargo","sox","skso"
"colombia","tame","tame","tme","sktm"
"colombia","tibu","tibu","tib","sktb"
"colombia","tres esquinas","tres esquinas","tqs","sktq"
"colombia","trinidad","trinidad","tda","sktd"
"colombia","tulua","farfan","ulq","skul"
"colombia","tumaco","la florida","tco","skco"
"colombia","turbo","gonzalo mejia","trb","sktu"
"colombia","valledupar","alfonso lopez","vup","skvp"
"colombia","villagarzon","villagarzon","vgz","skvg"
"colombia","villavicencio","vanguardia","vvc","skvv"
"comoros","anjouan","ouani","ajn","fmcv"
"comoros","moheli","moheli","nwa","fmci"
"comoros","moroni","iconi","yva","fmcn"
"comoros","moroni","prince said ibrahim","hah","fmch"
"congo democratic republic of","bandundu","bandundu","fdu","fzbo"
"congo democratic republic of","basankusu","basankusu","bsu","fzen"
"congo democratic republic of","basongo","basongo","ban","fzvr"
"congo democratic republic of","beni","beni","bnc","fznp"
"congo democratic republic of","boende","boende","bnb","fzgn"
"congo democratic republic of","boma","boma","boa","fzaj"
"congo democratic republic of","bukavu","kavumu","bky","fzma"
"congo democratic republic of","bumba","bumba","bmb","fzfu"
"congo democratic republic of","bunia","bunia","bux","fzka"
"congo democratic republic of","buta-zega","buta-zega","bzu","fzkj"
"congo democratic republic of","gandajika","gandajika","gdj","fzwc"
"congo democratic republic of","gbadolite","gbadolite","bdt","fzfd"
"congo democratic republic of","gemena","gemena","gma","fzfk"
"congo democratic republic of","goma","goma intl","gom","fzna"
"congo democratic republic of","idiofa","idiofa","idf","fzcb"
"congo democratic republic of","ikela","ikela","ikl","fzgv"
"congo democratic republic of","ilebo","ilebo","pfr","fzvs"
"congo democratic republic of","inongo","inongo","ino","fzba"
"congo democratic republic of","isiro-matari","isiro-matari","irp","fzjh"
"congo democratic republic of","kabalo","kabalo","kbo","fzrm"
"congo democratic republic of","kabinda","tunta","kbn","fzwt"
"congo democratic republic of","kalemie","kalemie","fmi","fzrf"
"congo democratic republic of","kalima","kalima","kly","fzod"
"congo democratic republic of","kamina","kamina base","kmn","fzsa"
"congo democratic republic of","kananga","kananga","kga","fzua"
"congo democratic republic of","kaniama","kaniama","knm","fztk"
"congo democratic republic of","kapanga","kapanga","kap","fzsk"
"congo democratic republic of","kasenga","kasenga","kec","fzqg"
"congo democratic republic of","kasongo","kasongo","kgn","fzok"
"congo democratic republic of","kikwit","kikwit","kkw","fzca"
"congo democratic republic of","kindu","kindu","knd","fzoa"
"congo democratic republic of","kinshasa","n'djili intl","fih","fzaa"
"congo democratic republic of","kinshasa","n'dolo","nlo","fzab"
"congo democratic republic of","kisangani","bangoka intl","fki","fzic"
"congo democratic republic of","kolwezi","kolwezi","kwz","fzqm"
"congo democratic republic of","kongolo","kongolo","koo","fzrq"
"congo democratic republic of","kotakoli","kotakoli","kli","fzfp"
"congo democratic republic of","libenge","libenge","lie","fzfa"
"congo democratic republic of","lisala","lisala","liq","fzga"
"congo democratic republic of","lodja","lodja","lja","fzva"
"congo democratic republic of","lubumbashi","lubumbashi intl","fbm","fzqa"
"congo democratic republic of","luiza","luiza","lza","fzug"
"congo democratic republic of","luozi","luozi","lzi","fzal"
"congo democratic republic of","lusambo","lusambo","lbo","fzvi"
"congo democratic republic of","lusanga","lusanga","lus","fzce"
"congo democratic republic of","manono","manono","mno","fzra"
"congo democratic republic of","masi-manimba","masi-manimba","msm","fzcv"
"congo democratic republic of","matadi-tshimpi","matadi-tshimpi","mat","fzam"
"congo democratic republic of","mbandaka","mbandaka","mdk","fzea"
"congo democratic republic of","mbuji-mayi","mbuji-mayi","mjm","fzwa"
"congo democratic republic of","moba","moba","bdv","fzrb"
"congo democratic republic of","mweka","mweka","mew","fzvm"
"congo democratic republic of","nioki","nioki","nio","fzbi"
"congo democratic republic of","punia","punia","pun","fzop"
"congo democratic republic of","pweto","pweto","pwo","fzqc"
"congo democratic republic of","tshikapa","tshikapa","tsh","fzuk"
"congo republic of","betou","betou","btb","fcot"
"congo republic of","boundji","boundji","boe","fcob"
"congo republic of","brazzaville","maya-maya","bzv","fcbb"
"congo republic of","djambala","djambala","djm","fcbd"
"congo republic of","dolisie","dolisie","dis","fcpl"
"congo republic of","ewo","ewo","ewo","fcoe"
"congo republic of","impfondo","impfondo","ion","fcoi"
"congo republic of","kelle","kelle","kee","fcok"
"congo republic of","kindamba","kindamba","knj","fcbk"
"congo republic of","lague","lague","lco","fcbl"
"congo republic of","makabana","makabana","kmk","fcpa"
"congo republic of","makoua","makoua","mkj","fcom"
"congo republic of","mossendjo","mossendjo","msx","fcmm"
"congo republic of","mouyondzi","mouyondzi","muy","fcbm"
"congo republic of","n'kayi","yokangassi","nky","fcby"
"congo republic of","ouesso","ouesso","oue","fcou"
"congo republic of","owando","owando","ftx","fcoo"
"congo republic of","pointe noire","a. neto","pnr","fcpp"
"congo republic of","sibiti","sibiti","sib","fcbs"
"congo republic of","souanke","souanke","soe","fcos"
"congo republic of","zanaga","zanaga","anj","fcbz"
"cook islands","aitutaki","avarua","ait","ncai"
"cook islands","mauke","akatoka manava","muk","ncmk"
"cook islands","penrhyn island","tongareva","pye","ncpy"
"cook islands","rarotonga","rarotonga intl","rar","ncrg"
"costa rica","barra del colorado","barra del colorado airport","bcl","mrbc"
"costa rica","buenos aires","buenos aires airport","bai","mrba"
"costa rica","carrillo","carrillo airport","rik","mrcr"
"costa rica","coto 47","coto 47 airport","otr","mrcc"
"costa rica","drake bay","drake bay airport","drk","mrdk"
"costa rica","golfito","golfito airport","glf","mrgf"
"costa rica","guapiles","guapiles airport","gpl","mrgp"
"costa rica","la fortuna","la fortuna airport","fon","mran"
"costa rica","liberia","daniel oduber intl airport","lir","mrlb"
"costa rica","limon","limon intl airport","lio","mrlm"
"costa rica","los chiles","los chiles airport","lsl","mrlc"
"costa rica","nosara beach","nosara airport","nom","mrns"
"costa rica","palmar sur","palmar sur airport","pmz","mrpm"
"costa rica","puerto jimenez","puerto jimenez airport","pjm","mrpj"
"costa rica","punta islita","punta islita airport","pbp","mria"
"costa rica","quepos","la managua airport","xqp","mrqp"
"costa rica","san jose","juan santamaria intl airport","sjo","mroc"
"costa rica","san jose","tobias bolanos intl airport","syq","mrpv"
"costa rica","tamarindo","tamarindo airport","tno","mrtm"
"costa rica","tambor","tambor airport","tmu","mrtr"
"costa rica","tortuguero","tortuguero airport","ttq","mrao"
"costa rica","upala","upala airport","upl","mrup"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"country","location","airport","iata","icao"
"croatia","brac","airport brac","bwk","ldsb"
"croatia","dubrovnik","dubrovnik airport","dbv","lddu"
"croatia","osijek","osijek airport","osi","ldos"
"croatia","pula","pula airport","puy","ldpl"
"croatia","rijeka","rijeka airport","rjk","ldri"
"croatia","split (trogir)","airport split-kastela","spu","ldsp"
"croatia","zadar","zadar airport","zad","ldzd"
"croatia","zagreb","zagreb airport","zag","ldza"
"cuba","baracoa","gustavo rizo airport","bca","muba"
"cuba","bayamo","carlos manuel de cespedes airp","bym","muby"
"cuba","camaguey","ignacio agramonte intl airport","cmw","mucm"
"cuba","cayo coco","cayo coco airport","ccc","muoc"
"cuba","cayo largo del sur","vilo acuna airport","cyo","mucl"
"cuba","ciego de avila","maximo gomez intl airport","avi","muca"
"cuba","cienfuegos","jaime gonzalez airport","cfg","mucf"
"cuba","guantanamo","mariana grajales airport","gao","mugt"
"cuba","havana","jose marti intl airport","hav","muha"
"cuba","holguin","frank pais airport","hog","muhg"
"cuba","isla de la juventud","siguanea airport","szj","musn"
"cuba","kawama","kawama airport","vro","mukw"
"cuba","las tunas","hermanos ameijeiras airport","vtu","muvt"
"cuba","manzanillo","sierra maestra airport","mzo","mumz"
"cuba","moa","orestes acosta airport","moa","mumo"
"cuba","nicaro","nicaro airport","icr","munc"
"cuba","nueva gerona","rafael cabrera airport","ger","mung"
"cuba","pinar del rio","la coloma airport","lcl","mulm"
"cuba","pinar del rio norte","pinar del r","qpd","mupr"
"cuba","san nicolas de bari","san nicolas de bari airport","qsn","munb"
"cuba","santa clara","abel santa maria airport","snu","musc"
"cuba","santiago","antonio maceo intl airport","scu","mucu"
"cuba","trinidad","alberto delgado airport","tnd","mutd"
"cuba","varadero","juan gualberto gomez intl airp","vra","muvr"
"cyprus","larnaca","larnaca intl airport","lca","lclk"
"cyprus","nicosia","ercan intl airport","ecn","lcen"
"cyprus","paphos","paphos intl airport","pfo","lcph"
"czech republic","brno","brno turany airport","brq","lktb"
"czech republic","karlovy vary","karlovy vary intl airport","klv","lkkv"
"czech republic","ostrava","ostrava-mosnov intl airport","osr","lkmt"
"czech republic","pardubice","pardubice airport","ped","lkpd"
"czech republic","prague","prague ruzyne intl airport","prg","lkpr"
"czech republic","uherske hradiste","kunovice airport","uhe","lkku"
"denmark","aalborg","aalborg airport","aal","ekyt"
"denmark","aarhus","aarhus airport","aar","ekah"
"denmark","billund","billund airport","bll","ekbi"
"denmark","copenhagen","copenhagen kastrup intl airpor","cph","ekch"
"denmark","copenhagen","copenhagen roskilde airport","rke","ekrk"
"denmark","esbjerg","esbjerg airport","ebj","ekeb"
"denmark","karup","karup airport (civil/mil.)","krp","ekka"
