"scientific name","family name","common name","synonyms"
"koelreuteria paniculata","sapindaceae","golden rain tree","NULL"
"krigia biflora","asteraceae","two flower dwarf dandelion","orange dwarf dandelion two flowered cynthia"
"krigia dandelion","asteraceae","potato dwarf dandelion","potato dandelion"
"lachnocaulon sp.","eriocaulaceae","bogbutton","NULL"
"lactuca canadensis","asteraceae","wild lettuce","canada lettuce"
"lactuca floridana","asteraceae","tall blue lettuce","woodland lettuce florida blue lettuce"
"lactuca serriola","asteraceae","prickly lettuce","NULL"
"lagerstroemia indica","lythraceae","crapemyrtle","NULL"
"lamium amplexicaule","lamiaceae","henbit deadnettle","NULL"
"lamium purpureum","lamiaceae","purple deadnettle","NULL"
"laportea canadensis","urticaceae","canadian woodnettle","NULL"
"larix occidentalis","pinaceae","western larch","NULL"
"larrea tridentata","zygophyllaceae","creosote bush","hediondilla little stinker gobernadora"
"lathyrus latifolius","fabaceae","everlasting pea","lathyrus latifolia perennial pea"
"leavenworthia exigua var. exigua","brassicaceae","tennessee gladecress","NULL"
"leavenworthia stylosa","brassicaceae","long styled glade cress","cedar glade cress nashville mustard"
"lemna sp.","lemnaceae","duckweed","NULL"
"lepidium campestre","brassicaceae","field pepperweed","NULL"
"lepidium virginicum","brassicaceae","poor man's pepper","peppergrass virginia pepperweed"
"lespedeza bicolor","fabaceae","shrubby lespedeza","bicolor lespediza"
"lespedeza cuneata","fabaceae","chinese lespedeza","sericea lespedeza"
"lesquerella densipila","brassicaceae","duck river bladderpod","NULL"
"lesquerella globosa","brassicaceae","short's bladderpod","NULL"
"lesquerella lescurii","brassicaceae","nashville mustard","lescur's bladderpod"
"leucospora multifida","scrophulariaceae","narrowleaf paleseed","NULL"
"lesquerella perforata","brassicaceae","spring creek bladderpod","NULL"
"lesquerella stonensis","brassicaceae","stone river bladderpod","NULL"
"leavenworthia uniflora","brassicaceae","michaux's gladecress","NULL"
"leucanthemum vulgare","asteraceae","oxeye daisy","chrysanthemum leucanthemum"
"leucothoe fontanesiana","ericaceae","dog hobble","highland doghobble"
"liatris aspera","asteraceae","rough blazing star","tall blazing star"
"liparis loeselii","orchidaceae","fen orchid","yellow widelip orchid"
"licania michauxii","chrysobalanaceae","gopher apple","NULL"
"liatris spicata","asteraceae","dense blazing star","NULL"
"liatris squarrosa","asteraceae","scaly blazing star","NULL"
"ligustrum vulgare","oleaceae","european privet","NULL"
"lilium superbum","liliaceae","turk's cap lily","NULL"
"linum sulcatum","linaceae","grooved flax","NULL"
"lindera benzoin","lauraceae","spicebush","NULL"
"linum usitatissimum","linaceae","common flax","NULL"
"liquidambar styraciflua","hamamelidaceae","sweetgum","NULL"
"liriodendron tulipifera","magnoliaceae","tuliptree","tulip poplar"
"lithocarpus densiflorus","fagaceae","tanoak","NULL"
"lithospermum canescens","boraginaceae","hoary puccoon","NULL"
"lithospermum tuberosum","boraginaceae","southern stoneseed","tuberous stoneseed"
"lobelia appendiculata var. gattingeri","campanulaceae","gattinger's lobelia","NULL"
"lobelia cardinalis","campanulaceae","cardinal flower","NULL"
"lobelia inflata","campanulaceae","indian tobacco","NULL"
"lobelia puberula","campanulaceae","downy lobelia","NULL"
"lobelia siphilitica","campanulaceae","great blue lobelia","NULL"
"lobelia spicata","campanulaceae","palespike lobelia","NULL"
"lonicera fragrantissima","caprifoliaceae","winter honeysuckle","sweet breath of spring"
"lonicera involucrata","caprifoliaceae","twinberry","twinberry honeysuckle"
"lonicera japonica","caprifoliaceae","japanese honeysuckle","NULL"
"lonicera maackii","caprifoliaceae","amur honeysuckle","NULL"
"lonicera morrowii","caprifoliaceae","morrow's honeysuckle","NULL"
"lonicera sempervirens","caprifoliaceae","coral honeysuckle","trumpet honeysuckle"
"luzula bulbosa","juncaceae","bulbous woodrush","NULL"
"lycopodiella alopecuroides","lycopodiaceae","foxtail clubmoss","lycopodium alopecuroides"
"lycopodium digitatum","lycopodiaceae","fan clubmoss","NULL"
"lyonia ferruginea","ericaceae","rusty staggerbush","NULL"
"lyonia fruticosa","ericaceae","coastal plain staggerbush","NULL"
"lygodium palmatum","lygodiaceae","american climbing fern","NULL"
"lysimachia quadrifolia","primulaceae","whorled yellow loosestrife","NULL"
"lythrum salicaria","lythraceae","purple loosestrife","NULL"
"maclura pomifera","moraceae","osage orange","hedge apple"
"magnolia �soulangiana","magnoliaceae","saucer magnolia","chinese magnolia"
"magnolia acuminata","magnoliaceae","cucumber-tree","cucumber magnolia"
"magnolia fraseri","magnoliaceae","mountain magnolia","fraser magnolia"
"magnolia grandiflora","magnoliaceae","southern magnolia","NULL"
"magnolia macrophylla","magnoliaceae","bigleaf magnolia","NULL"
"magnolia tripetala","magnoliaceae","umbrella magnolia","NULL"
"magnolia virginiana","magnoliaceae","sweetbay","sweetbay magnolia"
"mahonia aquifolium","berberidaceae","mahonia","oregon grape"
"mahonia haematocarpa","berberidaceae","red barberry","berberis haematocarpa"
"mahonia nervosa","berberidaceae","cascade oregon grape","berberis nervosa cascade barberry"
"maianthemum racemosum ssp. racemosum","liliaceae","false solomon's seal","smilacina racemosa feathery false lily of the valley"
"malus sylvestris","rosaceae","apple","european crabapple"
"manfreda virginica","agavaceae","false aloe","NULL"
"matelea carolinensis","asclepiadaceae","maroon carolina milkvine","spinypod"
"matelea gonocarpos","asclepiadaceae","common anglepod","angularfruit milkvine"
"matelea obliqua","asclepiadaceae","climbing milkvine","NULL"
"melilotus alba","fabaceae","white sweet clover","NULL"
"melilotus officinalis","fabaceae","yellow sweet clover","NULL"
"melothria pendula","cucurbitaceae","creeping cucumber","guadeloupe cucumber"
"menispermum canadense","menispermaceae","common moonseed","NULL"
"mentha piperita","lamiaceae","peppermint","NULL"
"mertensia virginica","boraginaceae","virginia bluebells","NULL"
"metasequoia glyptostroboides","taxodiaceae","dawn redwood","NULL"
"metrosideros sp.","myrtaceae","o'hia lehua","NULL"
"minuartia patula","caryophyllaceae","glade sandwort","arenaria patula pitcher's stitchwort"
"mitchella repens","rubiaceae","partridgeberry","NULL"
"mitella diphylla","saxifragaceae","two leaf miterwort","bishop's cap"
"monarda bradburiana","lamiaceae","eastern beebalm","NULL"
"monarda citriodora","lamiaceae","lemon beebalm","NULL"
"monarda didyma","lamiaceae","scarlet beebalm","NULL"
"monarda fistulosa","lamiaceae","wild bergamot","NULL"
"monotropa hypopithys","ericaceae","pinesap","NULL"
"monotropa uniflora","ericaceae","indian pipe","NULL"
"morus rubra","moraceae","red mulberry","NULL"
"muscari botryoides","liliaceae","common grape hyacinth","NULL"
"myosotis macrosperma","boraginaceae","large seed forget-me-not","NULL"
"narcissus pseudonarcissus","liliaceae","daffodil","NULL"
"nelumbo lutea","nelumbonaceae","american lotus","NULL"
"nemophila aphylla","hydrophyllaceae","smallflower baby blue eyes","nemophila triloba"
"nepeta cataria","lamiaceae","catnip","NULL"
"nolina microcarpa","liliaceae","beargrass","sacahuista basketgrass nolina"
"nothoscordum bivalve","liliaceae","false garlic","crow poison"
"nymphaea odorata","nymphaeaceae","fragrant water lily","american white waterlily"
"nyssa aquatica","nyssaceae","water tupelo","NULL"
"nyssa biflora","nyssaceae","swamp tupelo","NULL"
"nyssa sylvatica","nyssaceae","blackgum","NULL"
"obolaria virginica","gentianaceae","virginia pennywort","NULL"
"oenothera biennis","onagraceae","common evening primrose","NULL"
"oenothera macrocarpa ssp. macrocarpa","onagraceae","missouri evening primrose","oenothera missouriensis bigfruit evening primrose"
"oenothera speciosa","onagraceae","pinkladies","NULL"
"oenothera triloba","onagraceae","stemless evening primrose","NULL"
"olneya tesota","fabaceae","desert ironwood","palo de hierro tesota palo fierro arizona ironwood"
"onosmodium molle","boraginaceae","false gromwell","soft hair marble seed"
"ophioglossum engelmannii","ophioglossaceae","limestone adderstongue","NULL"
"oplopanax horridus","araliaceae","devil's club","NULL"
"opuntia acanthocarpa","cactaceae","buckhorn cholla","yellow flowered cane cactus"
"opuntia arbuscula","cactaceae","pencil cholla","arizona pencil cholla"
"opuntia bigelovii","cactaceae","teddy bear cholla","silver cholla teddy bear cactus"
"opuntia clavata","cactaceae","club cholla","NULL"
"opuntia engelmannii","cactaceae","englemann's prickly pear","cactus apple tuna nopal purple fruit prickly pear opuntia phaeacantha var. discata"
"opuntia engelmannii var. linguiformis","cactaceae","cow's tongue cactus","NULL"
"opuntia fulgida","cactaceae","chain fruit cholla","jumping cholla chain cholla"
"opuntia humifusa","cactaceae","eastern prickly pear","devil's-tongue"
"opuntia leptocaulis","cactaceae","desert christmas cactus","tesajo christmas cholla pencil joint cholla holycross cholla diamond cactus darning needle cactus"
"opuntia santa-rita","cactaceae","santa rita prickly pear","NULL"
"opuntia spinosior","cactaceae","cane cholla","NULL"
"ornithogalum umbellatum","liliaceae","star of bethlehem","sleepydick"
"osmorhiza claytonii","apiaceae","clayton's sweet cicely","clayton's sweetroot"
"osmorhiza longistylis","apiaceae","long style sweetroot","NULL"
"ostrya virginiana","betulaceae","hophornbeam","NULL"
"oxalis grandis","oxalidaceae","great yellow woodsorrel","NULL"
"oxalis montana","oxalidaceae","northern wood sorrel","mountain wood sorrel oxalis acetosella"
"oxalis oregana","oxalidaceae","redwood sorrel","oregon oxalis"
"oxalis priceae","oxalidaceae","price's woodsorrel","oxalis macrantha tufted yellow woodsorrel"
"oxalis stricta","oxalidaceae","yellow wood-sorrel","common yellow oxalis"
"oxalis violacea","oxalidaceae","violet wood-sorrel","NULL"
"oxydendrum arboreum","ericaceae","sourwood","NULL"
"pachycereus pringlei","cactaceae","cardon","NULL"
"pachysandra procumbens","buxaceae","allegheny spurge","NULL"
"parnassia asarifolia","saxifragaceae","kidneyleaf grass of parnassus","NULL"
"packera anonyma","asteraceae","southern ragwort","small's ragwort senecio anonymus senecio smallii"
"packera aurea","asteraceae","golden ragwort","senecio aureus"
"packera glabella","asteraceae","butterweed","senecio glabellus golden ragwort"
"packera obovata","asteraceae","roundleaf ragwort","senecio obovatus"
"papaver rhoeas","papaveraceae","corn poppy","NULL"
"parkinsonia aculeata","fabaceae","mexican paloverde","jerusalem thorn horse bean"
"parkinsonia florida","fabaceae","blue paloverde","cercidium floridum"
"parkinsonia microphylla","fabaceae","yellow paloverde","cercidium microphyllum foothill paloverde littleleaf paloverde"
"parthenium integrifolium","asteraceae","wild quinine","NULL"
"panax quinquefolius","araliaceae","american ginseng","NULL"
"parthenocissus quinquefolia","vitaceae","virginia creeper","NULL"
"passiflora incarnata","passifloraceae","purple passionflower","NULL"
"passiflora lutea","passifloraceae","yellow passion flower","NULL"
"paulownia tomentosa","bignoniaceae","princess-tree","empress-tree"
"pedicularis canadensis","scrophulariaceae","wood betony","forest lousewort"
"pediomelum subacaule","fabaceae","glade potato","whiterim scurfpea nashville breadroot psoralea subacaulis"
"peniocereus greggii","cactaceae","desert night blooming cereus","cereus greggii arizona queen of the night"
"penstemon calycosus","scrophulariaceae","small beardtongue","NULL"
"penthorum sedoides","saxifragaceae","ditch stonecrop","NULL"
"penstemon smallii","scrophulariaceae","small's beardtongue","NULL"
"penstemon tenuiflorus","scrophulariaceae","eastern whiteflower beardtongue","NULL"
"perilla frutescens","lamiaceae","beefsteak plant","NULL"
"phacelia bipinnatifida","hydrophyllaceae","fernleaf phacelia","purple phacelia"
"phacelia dubia ssp. interior","hydrophyllaceae","glade phacelia","smallflower phacelia"
"phacelia purshii","hydrophyllaceae","miami mist","NULL"
"phegopteris hexagonoptera","thelypteridaceae","broad beechfern","NULL"
"philadelphus inodorus","hydrangeaceae","scentless mock orange","NULL"
"phleum pratense","poaceae","timothy","NULL"
"phlox amoena","polemoniaceae","hairy phlox","NULL"
"phlox bifida ssp. stellaria","polemoniaceae","glade phlox","NULL"
"phlox divaricata","polemoniaceae","blue phlox","wild blue phlox"
"phlox paniculata","polemoniaceae","garden phlox","fall phlox"
"phlox pilosa","polemoniaceae","downy phlox","NULL"
"phoradendron juniperinum","viscaceae","juniper mistletoe","NULL"
"phoradendron leucarpum","viscaceae","oak mistletoe","phoradendron flavescens phoradendron serotinum"
"photinia pyrifolia","rosaceae","red chokeberry","aronia arbutifolia pyrus arbutifolia sorbus arbutifolia"
"phragmites australis","poaceae","common reed","NULL"
"phryma leptostachya","verbenaceae","american lopseed","NULL"
"phyla lanceolata","verbenaceae","lance leaf fogfruit","NULL"
"phytolacca americana","phytolaccaceae","american pokeweed","NULL"
"pinus clausa","pinaceae","sand pine","NULL"
"pinus elliottii","pinaceae","slash pine","NULL"
"picea engelmannii","pinaceae","engelmann spruce","NULL"
"pinus flexilis","pinaceae","limber pine","NULL"
"picea glauca","pinaceae","white spruce","NULL"
"picea mariana","pinaceae","black spruce","NULL"
"picea pungens","pinaceae","blue spruce","NULL"
"picea rubens","pinaceae","red spruce","NULL"
"picea sitchensis","pinaceae","sitka spruce","NULL"
"pilea pumila","urticaceae","clearweed","NULL"
"pilosocereus alensis","cactaceae","sonoran old man cactus","cephalocereus alensis"
"pinus albicaulis","pinaceae","whitebark pine","NULL"
"pinus aristata","pinaceae","bristlecone pine","NULL"
"pinus arizonica var. arizonica","pinaceae","arizona pine","NULL"
"pinus cembroides","pinaceae","mexican pinyon","NULL"
"pinus contorta","pinaceae","lodgepole pine","NULL"
"pinus coulteri","pinaceae","coulter pine","NULL"
"pinus echinata","pinaceae","shortleaf pine","NULL"
"pinus edulis","pinaceae","pinyon pine","two needle pinyon nut pine pinyon colorado pinyon pine two leaf pinyon"
"pinus engelmannii","pinaceae","apache pine","arizona longleaf pine englemann pine"
"pinus leiophylla var. chihuahuana","pinaceae","chihuahuan pine","NULL"
"pinus monticola","pinaceae","western white pine","NULL"
"pinus palustris","pinaceae","longleaf pine","NULL"
"pinus ponderosa","pinaceae","ponderosa pine","western yellow pine bull pine blackjack pine"
"pinus pungens","pinaceae","table mountain pine","NULL"
"pinus resinosa","pinaceae","red pine","norway pine"
"pinus rigida","pinaceae","pitch pine","NULL"
"pinus strobiformis","pinaceae","southwestern white pine","pinus flexilis var. reflexa"
"pinus strobus","pinaceae","eastern white pine","NULL"
"pinus taeda","pinaceae","loblolly pine","NULL"
"pinus virginiana","pinaceae","virginia pine","NULL"
"pityopsis graminifolia","asteraceae","narrowleaf silkgrass","NULL"
"plantago aristata","plantaginaceae","large bracted plantain","NULL"
"platanthera ciliaris","orchidaceae","yellow fringed orchid","NULL"
"platanthera cristata","orchidaceae","crested yellow orchid","NULL"
"platanthera integrilabia","orchidaceae","monkeyface","white fringeless orchid"
"plantago lanceolata","plantaginaceae","narrowleaf plantain","NULL"
"platanthera nivea","orchidaceae","snowy orchid","NULL"
"platanthera peramoena","orchidaceae","purple fringeless orchid","NULL"
"plantago rugelii","plantaginaceae","blackseed plantain","NULL"
"plantago virginica","plantaginaceae","dwarf plantain","virginia plantain"
"platanus occidentalis","platanaceae","american sycamore","NULL"
"platanus wrightii","platanaceae","arizona sycamore","plane tree button wood"
"pleopeltis polypodioides ssp. michauxiana","polypodiaceae","resurrection fern","polypodium polypodioides"
"pleurochaete squarrosa","pottiaceae","square pleurochaete moss","NULL"
"poa annua","poaceae","annual bluegrass","NULL"
"poa pratensis","poaceae","kentucky bluegrass","NULL"
"podophyllum peltatum","berberidaceae","mayapple","NULL"
"polemonium reptans","polemoniaceae","jacob's ladder","greek valerian"
"polygala sanguinea","polygalaceae","field milkwort","purple milkwort"
"polygonatum biflorum","liliaceae","smooth solomon's seal","NULL"
"polygonum bistortoides","polygonaceae","american bistort","NULL"
"polygonum virginianum","polygonaceae","jumpseed","virginia knotweed"
"polymnia canadensis","asteraceae","pale flowered leafcup","white bear's foot white flower leafcup"
"polystichum acrostichoides","dryopteridaceae","christmas fern","NULL"
"polytrichum juniperinum","polytrichaceae","juniper polytrichum moss","NULL"
"pontederia cordata","pontederiaceae","pickerelweed","blue pickerelweed"
"populus balsamifera ssp. trichocarpa","salicaceae","black cottonwood","NULL"
"populus deltoides","salicaceae","cottonwood","NULL"
"populus grandidentata","salicaceae","bigtooth aspen","NULL"
"populus tremuloides","salicaceae","quaking aspen","golden aspen trembling poplar"
"polygonum scandens","polygonaceae","climbing false buckwheat","NULL"
"porteranthus stipulatus","rosaceae","indian physic","NULL"
"potentilla recta","rosaceae","sulfur cinquefoil","rough fruited cinquefoilsulphur cinquefoil"
"potentilla simplex","rosaceae","common cinquefoil","NULL"
"prosopis glandulosa ssp. torreyana","fabaceae","western honey mesquite","NULL"
"prosopis velutina","fabaceae","velvet mesquite","NULL"
"prunella vulgaris","lamiaceae","common self heal","heal all"
"prunus americana","rosaceae","american plum","NULL"
"prunus angustifolia","rosaceae","chickasaw plum","NULL"
"prunus munsoniana","rosaceae","munson's plum","wild goose plum"
"prunus pensylvanica","rosaceae","pin cherry","NULL"
"prunus persica","rosaceae","peach","NULL"
"prunus serotina","rosaceae","black cherry","NULL"
"prunus virginiana","rosaceae","chokecherry","NULL"
"pseudognaphalium obtusifolium ssp. obtusifolium","asteraceae","rabbittobacco","gnaphalium obtusifolium"
"pseudoroegneria spicata ssp. spicata","poaceae","bluebunch wheatgrass","agropyron spicatum"
"pseudotsuga menziesii","pinaceae","douglas fir","NULL"
"psilotum nudum","psilotaceae","whisk fern","NULL"
"pteridium aquilinum","dennstaedtiaceae","western brackenfern","NULL"
"pueraria montana","fabaceae","kudzu","NULL"
"purshia stansburiana","rosaceae","cliff rose","stansbury cliff rose"
"pycnanthemum pycnanthemoides","lamiaceae","southern mountain mint","pycnanthemum incanum ssp. pycnanthemoides"
"pyrrhopappus carolinianus","asteraceae","false dandelion","carolina desert chicory"
"pyrus calleryana","rosaceae","bradford pear","callery pear"
"pyrus communis","rosaceae","common pear","NULL"
"quercus alba","fagaceae","white oak","NULL"
"quercus bicolor","fagaceae","swamp white oak","NULL"
"quercus coccinea","fagaceae","scarlet oak","NULL"
"quercus falcata","fagaceae","southern red oak","NULL"
"quercus gambelii","fagaceae","gambel oak","rocky mountain white oak utah white oak"
"quercus garryana","fagaceae","oregon white oak","garry oak"
"quercus hypoleucoides","fagaceae","silverleaf oak","white leaf oak"
"quercus imbricaria","fagaceae","shingle oak","NULL"
"quercus laevis","fagaceae","turkey oak","NULL"
"quercus lyrata","fagaceae","overcup oak","NULL"
"quercus macrocarpa","fagaceae","bur oak","NULL"
"quercus marilandica","fagaceae","blackjack oak","NULL"
"quercus michauxii","fagaceae","swamp chestnut oak","basket oak"
"quercus muehlenbergii","fagaceae","chinkapin oak","NULL"
"quercus myrtifolia","fagaceae","myrtle oak","NULL"
"quercus nigra","fagaceae","water oak","NULL"
"quercus pagoda","fagaceae","cherrybark oak","quercus falcata var. pagodifolia"
"quercus palustris","fagaceae","pin oak","NULL"
"quercus phellos","fagaceae","willow oak","NULL"
"quercus prinus","fagaceae","chestnut oak","quercus montana"
"quercus rubra","fagaceae","northern red oak","NULL"
"quercus shumardii","fagaceae","shumard's oak","NULL"
"quercus stellata","fagaceae","post oak","NULL"
"quercus velutina","fagaceae","black oak","NULL"
"quercus virginiana","fagaceae","live oak","NULL"
"ranunculus abortivus","ranunculaceae","kidney-leaf buttercup","littleleaf buttercup"
"ranunculus bulbosus","ranunculaceae","bulbosus buttercup","st. anthony's turnip"
"ranunculus sardous","ranunculaceae","hairy buttercup","ranunculus parvulus"
"ratibida pinnata","asteraceae","gray coneflower","pinnate prairie coneflower"
"rhexia mariana","melastomataceae","maryland meadow beauty","NULL"
"rhizophora mangle","rhizophoraceae","american mangrove","NULL"
"rhododendron alabamense","ericaceae","alabama azalea","NULL"
"rhododendron albiflorum","ericaceae","cascade azalea","NULL"
"rhododendron calendulaceum","ericaceae","flame azalea","NULL"
"rhododendron catawbiense","ericaceae","catawba rhododendron","catawba rosebay mountain rosebay purple laurel"
"rhododendron macrophyllum","ericaceae","pacific rhododendron","NULL"
"rhododendron maximum","ericaceae","rosebay rhododendron","great rhododendron rosebay great laurel"
"rhododendron periclymenoides","ericaceae","pink azalea","NULL"
"rhododendron prinophyllum","ericaceae","early azalea","rhododendron roseum rose azalea"
"rhus aromatica","anacardiaceae","fragrant sumac","NULL"
"rhus copallinum","anacardiaceae","winged sumac","rhus copallina shining sumac"
"rhus glabra","anacardiaceae","smooth sumac","NULL"
"rhus hirta","anacardiaceae","staghorn sumac","rhus typhina"
"rhus trilobata","anacardiaceae","skunk bush","skunk bush sumac squaw bush lemonade sumac limonita lemonade berry lemita three leaf sumac"
"robinia  pseudoacacia","fabaceae","black locust",""
"rosa carolina","rosaceae","carolina rose","pasture rose"
"rosa multiflora","rosaceae","multiflora rose","NULL"
"rosa setigera","rosaceae","prarie rose","climbing rose"
"rubus allegheniensis","rosaceae","allegheny blackberry","NULL"
"rubus argutus","rosaceae","southern blackberry","sawtooth blackberry"
"rubus flagellaris","rosaceae","northern dewberry","NULL"
"rubus occidentalis","rosaceae","black raspberry","NULL"
"rubus odoratus","rosaceae","purpleflowering raspberry","NULL"
"rubus parviflorus","rosaceae","thimbleberry","NULL"
"rubus sp.","rosaceae","blackberry","NULL"
"rudbeckia fulgida","asteraceae","orange coneflower","NULL"
"rudbeckia hirta","asteraceae","black eyed susan","NULL"
"rudbeckia laciniata","asteraceae","cutleaf coneflower","green headed coneflower"
"rudbeckia triloba","asteraceae","brown eyed susan","thin leaf coneflower"
"ruellia caroliniensis","acanthaceae","carolina wild petunia","NULL"
"ruellia humilis","acanthaceae","fringeleaf wild petunia","NULL"
"ruellia strepens","acanthaceae","limestone wild petunia","NULL"
"rumex acetosella","polygonaceae","sheep sorrel","NULL"
"rumex crispus","polygonaceae","curly dock","NULL"
"rumex obtusifolius","polygonaceae","broadleaf dock","bitter dock"
"sabatia angularis","gentianaceae","rose pink","NULL"
"sabatia quadrangula","gentianaceae","fourangle rose gentian","NULL"
"salix babylonica","salicaceae","weeping willow","NULL"
"salix caroliniana","salicaceae","carolina willow","coastal plain willow"
"salix nigra","salicaceae","black willow","NULL"
"salvia lyrata","lamiaceae","lyreleaf sage","NULL"
"sambucus nigra ssp. canadensis","caprifoliaceae","common elder","sambucus canadensis elderberry"
"sambucus racemosa ssp. racemosa","caprifoliaceae","red elderberry","sambucus racemosa ssp. pubens"
"sanguinaria canadensis","papaveraceae","bloodroot","NULL"
"sanicula canadensis","apiaceae","canada black snakeroot","NULL"
"sapindus saponaria ssp. drummondii","sapindaceae","western soapberry","jaboncillo cherioni"
"saponaria officinalis","caryophyllaceae","bouncing bet","soapwort"
"sarracenia flava","sarraceniaceae","yellow pitcherplant","NULL"
"sarracenia purpurea","sarraceniaceae","purple pitcherplant","NULL"
"sassafras albidum","lauraceae","sassafras","NULL"
"saururus cernuus","saururaceae","lizard�s tail","NULL"
"salvia urticifolia","lamiaceae","nettleleaf sage","NULL"
"saxifraga virginiensis","saxifragaceae","early saxifrage","NULL"
"schoenolirion croceum","liliaceae","yellow sunnybell","NULL"
"schizachyrium scoparium","poaceae","little bluestem","NULL"
"scutellaria elliptica","lamiaceae","hairy skullcap","NULL"
"scutellaria ovata","lamiaceae","heart leaf skullcap","NULL"
"scutellaria parvula","lamiaceae","small skullcap","NULL"
"sedum pulchellum","crassulaceae","pink stonecrop","sedum widow's cross"
"serenoa repens","arecaceae","saw palmetto","NULL"
"sedum sarmentosum","crassulaceae","stringy stonecrop","NULL"
"sedum ternatum","crassulaceae","white stonecrop","woodland stonecrop mountain stonecrop rock cress sedum"
"selaginella apoda","selaginellaceae","meadow spikemoss","NULL"
"selaginella oregana","selaginellaceae","oregon spikemoss","NULL"
"senna marilandica","fabaceae","southern wild senna","maryland senna"
"sequoia sempervirens","taxodiaceae","redwood","NULL"
"sequoiadendron giganteum","taxodiaceae","giant sequoia","NULL"
"sherardia arvensis","rubiaceae","blue field madder","NULL"
"sideroxylon lycioides","sapotaceae","buckthorn bully","bumelia lycioides smooth southern buckthorn"
"silene latifolia","caryophyllaceae","white campion","NULL"
"silene latifolia ssp. alba","caryophyllaceae","snowy campion","silene alba"
"silphium mohrii","asteraceae","shaggy rosinweed","mohr's rosinweed"
"silene regia","caryophyllaceae","royal catchfly","NULL"
"silene virginica","caryophyllaceae","fire pink","NULL"
"silene vulgaris","caryophyllaceae","bladder campion","maidenstears"
"silphium laciniatum","asteraceae","compass plant","NULL"
"silphium perfoliatum","asteraceae","cup plant","NULL"
"silphium pinnatifidum","asteraceae","cutleaf praire dock","{silphium terebinthinaceum|pinnatifidum}"
"silphium terebinthinaceum","asteraceae","prairie rosinweed","NULL"
"simmondsia chinensis","simmondsiaceae","jojoba","coffee bush gray box bush goatnut deernut wild hazel quinine plant coffeeberry"
"sisyrinchium albidum","iridaceae","pale blue-eyed grass","white blue-eyed grass"
"sisyrinchium angustifolium","iridaceae","narrow leaf blue eyed grass","stout blue eyed grass"
"silene stellata","caryophyllaceae","starry campion","widow's frill"
"smallanthus uvedalius","asteraceae","yellow leafcup","polymnia uvedalia hairy leafcup large flowered leafcup bear's foot"
"smilax bona-nox","smilacaceae","saw greenbrier","NULL"
"smilax glauca","smilacaceae","cat greenbrier","NULL"
"smilax rotundifolia","smilacaceae","common greenbrier","round leaf greenbrier cat brier"
"solanum carolinense","solanaceae","carolina horsenettle","NULL"
"solanum ptychanthum","solanaceae","eastern black nightshade","west indian nightshade"
"solidago canadensis","asteraceae","canada goldenrod","common goldenrod"
"solidago gigantea","asteraceae","great goldenrod","giant goldenrod late goldenrod"
"sonchus asper","asteraceae","spiny sow thistle","prickly sow thistle"
"sorbus americana","rosaceae","mountain ash","NULL"
"sorghum halepense","poaceae","johnsongrass","NULL"
"spigelia marilandica","loganiaceae","indian pink","woodland pinkroot"
"spiraea japonica","rosaceae","japanese meadowsweet","NULL"
"spiraea prunifolia","rosaceae","bridalwreath spirea","NULL"
"spiranthes cernua","orchidaceae","nodding ladies'-tresses","NULL"
"spiranthes ovalis","orchidaceae","october ladies'-tresses","NULL"
"sporobolus vaginiflorus","poaceae","poverty dropseed","NULL"
"spiranthes vernalis","orchidaceae","spring lady's tresses","NULL"
"stachys clingmanii","lamiaceae","clingman's hedge nettle","NULL"
"stenanthium gramineum","liliaceae","eastern featherbells","NULL"
"stapelia hirsuta","asclepiadaceae","carrion flower","NULL"
"staphylea trifolia","staphyleaceae","american bladdernut","NULL"
"stellaria media","caryophyllaceae","common chickweed","NULL"
"stellaria pubera","caryophyllaceae","giant chickweed","star chickweed"
"stenocereus eruca","cactaceae","creeping devil cactus","chirinole cereus eruca machaerocereus eruca lemaireocereus eruca rathbunia eruca"
"stenocereus thurberi","cactaceae","organpipe cactus","cereus thurberi lemaireocereus thurberi pitahaya dulce"
"streptopus amplexifolius","liliaceae","twisted stalk","claspleaf twisted stalk"
"stylosanthes biflora","fabaceae","sidebeak pencilflower","NULL"
"stylophorum diphyllum","papaveraceae","celandine poppy","NULL"
"streptopus roseus","liliaceae","twisted stalk","{streptopus lanceolatus|roseus}"
"symphoricarpos orbiculatus","caprifoliaceae","coralberry","NULL"
"symphyotrichum novae-angliae","asteraceae","new england aster","aster novae-angliae"
"symphyotrichum pilosum","asteraceae","white heath aster","hairy white oldfield aster aster pilosus awl aster"
"syngonanthus flavidulus","eriocaulaceae","hatpins","NULL"
"talinum calcaricum","portulacaceae","limestone fameflower","NULL"
"taraxacum officinale","asteraceae","common dandelion","NULL"
"taxodium  distichum","taxodiaceae","bald cypress","NULL"
"taxus brevifolia","taxaceae","pacific yew","NULL"
"taxus sp.","taxaceae","yew","NULL"
"thaspium barbinode","apiaceae","hairyjoint meadow parsnip","NULL"
"thalictrum clavatum","ranunculaceae","cliff meadow rue","mountain meadow rue"
"thalictrum revolutum","ranunculaceae","skunk meadow rue","waxyleaf meadow rue"
"thalictrum thalictroides","ranunculaceae","rue anemone","anemonella thalictroides"
"thaspium trifoliatum var. trifoliatum","apiaceae","purple meadowparsnip","NULL"
