"aou number","listed common name","current common name","code","listed scientific name","current scientific name"
"52","vega gull","herring gull","herg","larus vega","larus argentatus"
"53","california gull","california gull","cagu","larus californicus","larus californicus"
"54","ring-billed gull","ring-billed gull","rbgu","larus delawarensis","larus delawarensis"
"54.1","black-tailed gull","black-tailed gull","btgu","larus crassirostris","larus crassirostris"
"550","mew gull","mew gull","megu","larus canus","larus canus"
"55","black-headed gull","black-headed gull","bhgu","larus ridibundus","larus ridibundus"
"58","laughing gull","laughing gull","lagu","larus atricilla","larus atricilla"
"59","franklin's gull","franklin's gull","frgu","larus pipixcan","larus pipixcan"
"60","bonaparte's gull","bonaparte's gull","bogu","larus philadephia","larus philadephia"
"60.1","little gull","little gull","ligu","larus minutus","larus minutus"
"57","heermann's gull","heermann's gull","heeg","larus heermanni","larus heermanni"
"39","ivory gull","ivory gull","ivgu","pagophila eburnea","pagophila eburnea"
"40","black-legged kittiwake","black-legged kittiwake","blki","rissa tridactyla","rissa tridactyla"
"41","red-legged kittiwake","red-legged kittiwake","rlki","rissa brevirostris","rissa brevirostris"
"61","ross' gull","ross' gull","rogu","rhodostethia rosea","rhodostethia rosea"
"62","sabine's gull","sabine's gull","sagu","xema sabini","xema sabini"
"&nbsp;","swallow-tailed gull","swallow-tailed gull","stgu","creagrus furcatus","creagrus furcatus"
"63","gull-billed tern","gull-billed tern","gbte","gelochelidon nilotica","sterna nilotica"
"68","trudeau's tern","snowy-crowned tern","scte","sterna trudeaui","sterna trudeaui"
"69","forster's tern","forster's tern","fote","sterna forsteri","sterna forsteri"
"70","common tern","common tern","cote","sterna hirundo","sterna hirundo"
"71","arctic tern","arctic tern","arte","sterna paradisaea","sterna paradisaea"
"72","roseate tern","roseate tern","rost","sterna dougallii","sterna dougallii"
"73","aleutian tern","aleutian tern","alte","sterna aleutica","sterna aleutica"
"75","sooty tern","sooty tern","sote","sterna fuscata","sterna fuscata"
"74","least tern","least tern","lete","sterna albifrons","sterna antillarum"
"76","bridled tern","bridled tern","brte","sterna anathetus","sterna anathetus"
"65","royal tern","royal tern","royt","thalasseus maximus","sterna maxima"
"66","elegant tern","elegant tern","elte","thalasseus elegans","sterna elegans"
"67","sandwich tern","sandwich tern","sate","thalasseus sandvicensis","sterna sandvicensis"
"64","caspian tern","caspian tern","cate","hydroprogne caspia","sterna caspia"
"77","black tern","black tern","blte","chlidonias niger","chlidonias niger"
"78","white-wing black tern","white-winged tern","wwte","chlidonias leucopterus","chlidonias leucopterus"
"80","black skimmer","black skimmer","blsk","rynchops niger","rynchops niger"
"79","noddy tern","brown noddy","brno","anous stolidus","anous stolidus"
"33","great auk","great auk","grau","pinguinus impennis","pinguinus impennis"
"32","razorbill","razorbill","razo","alca torda","alca torda"
"n/a","uria snowi","kurile guillemot","kugu","uria snowi","uria columba snowi"
"30","common murre","common murre","comu","uria aalge","uria aalge"
"30","california murre","common murre","comu","uria troilie","uria aalge"
"31","thick-billed murre","thick-billed murre","tbmu","uria lomvia","uria lomvia"
"34","dovekie","dovekie","dove","plautus alle","alle alle"
"27","black guillemot","black guillemot","blgu","cepphus grylle","cepphus grylle"
"27","mandt's guillemot","black guillemot","blgu","cepphus mandti","cepphus grylle"
"290","pigeoned guillemot","pigeon guillemot","pigu","cepphus columba","cepphus columba"
"23","marbled murrelet","marbled murrelet","mamu","brachyramphus marmoratum","brachyramphus marmoratus"
"24","kittlitz's murrelet","kittlitz's murrelet","kimu","brachyramphus brevirostris","brachyramphus brevirostris"
"25","xantus's murrelet","xantus' murrelet","xamu","endomychura hypoleuca","synthliboramphus hypoleucus"
"26","craveri's murrelet","craveri's murrelet","crmu","endomychura craveri","synthliboramphus craveri"
"210","ancient murrelet","ancient murrelet","anmu","synthliboramphus antiquum","synthliboramphus antiquus"
"16","cassin's auklet","cassin's auklet","caau","ptychoramphus aleuticus","ptychoramphus aleuticus"
"17","parakeet auklet","parakeet auklet","paau","cyclorrhynchus psittacula","aethia psittacula"
"18","crested auklet","crested auklet","crau","aethia cristatella","aethia cristatella"
"20","least auklet","least auklet","leau","aethia pusilla","aethia pusilla"
"19","whiskered auklet","whiskered auklet","whau","aethia pygmaea","aethia pygmaea"
"15","rhinoceros auklet","rhinoceros auklet","rhau","cerorhinca monocerata","cerorhinca monocerata"
"13","common puffin","atlantic puffin","atpu","fratercula artica","fratercula artica"
"14","horned puffin","horned puffin","hopu","fratercula corniculata","fratercula corniculata"
"12","tufted puffin","tufted puffin","tupu","lunda cirrhata","fratercula cirrhata"
"314","white-crowned pigeon","white-crowned pigeon","wcpi","columba leucocephala","columba leucocephala"
"312","band-tailed pigeon","band-tailed pigeon","btpi","columba fasciata","columba fasciata"
"313","red-billed pigeon","red-billed pigeon","rbpi","columba flavirostris","columba flavirostris"
"313.1","rock dove","rock dove","rodo","columba livia","columba livia"
"317","zenaida dove","zenaida dove","zend","zenaida aurita","zenaida aurita"
"319","white-winged dove","white-winged dove","wwdo","zenaida asiatica","zenaida asiatica"
"316","mourning dove","mourning dove","modo","zenaidura macroura","zenaida macroura"
"315","passenger pigeon","passenger pigeon","papi","ectopistes migratorius","ectopistes migratorius"
"315.1","spotted dove","spotted dove","spdo","sterptopelia chinensis","sterptopelia chinensis"
"315.2","ringed turtle dove","ringed-turtle dove","ritd","streptopelia risoria","streptopelia risoria"
"320","ground dove","common ground dove","cogd","chaemepelia passerina","columbina passerina"
"321","inca dove","inca dove","indo","scardafella inca","columbina inca"
"318","white-fronted dove","white-tipped dove","wtdo","leptotila verreauxi","leptotila verreauxi"
"322","key west quail-dove","key west quail-dove","kwqd","geotrygon chrysia","geotrygon chrysia"
"381.4","carolina parakeet","carolina parakeet","capa","conuropsis carolinensis","conuropsis carolinensis"
"382.1","thick-billed parrot","thick-billed parrot","tbpa","rhynchopsitta pachyrhyncha","rhynchopsitta pachyrhyncha"
"388.2","kamchatka cuckoo","common cuckoo","cocu","cuculus canorus","cuculus canorus"
"386","mangrove cuckoo","mangrove cuckoo","macu","coccyzus minor","coccyzus minor"
"387","yellow-billed cuckoo","yellow-billed cuckoo","ybcu","coccyzus americanus","coccyzus americanus"
"388","black-billed cuckoo","black-billed cuckoo","bbcu","coccyzus erythropthalmus","coccyzus erythropthalmus"
"385","roadrunner","greater roadrunner","grro","geococcyx califronianus","geococcyx califronianus"
"383","smooth-billed ani","smooth-billed ani","sban","crotophaga ani","crotophaga ani"
"384","groove-billed ani","groove-billed ani","gban","crotophaga sulcirostris","crotophaga sulcirostris"
"365","barn owl","barn owl","bano","tyto alba","tyto alba"
"&nbsp;","screech owl","eastern/western                 screech owl","easo weso?","&nbsp;","&nbsp;"
"373.1","whiskered owl","whiskered screech-owl","whso","otus trichopsis","otus trichopsis"
"374","flammulated owl","flammulated owl","flow","otus flammeolus","otus flammeolus"
"375","great horned owl","great horned owl","ghow","bubo viginianus","bubo viginianus"
"376","snowy owl","snowy owl","snow","nyctea scandiaca","nyctea scandiaca"
"377","hawk owl","northern hawk owl","nhow","surnia ulula","surnia ulula"
"379","pygmy owl","northern pygmy-owl","nopo","glaucidium gnoma","glaucidium gnoma"
"380","ferruginous owl","ferruginous pygmy-owl","fepo","glaucidium brasilianum","glaucidium brasilianum"
"381","elf owl","elf owl","elow","micrathene whitneyi","micrathene whitneyi"
"378","burrowing owl","burrowing owl","buow","speotyto cunicularia","athene cunicularia"
"368","barred owl","barred owl","bado","strix varia","strix varia"
"369","spotted owl","spotted owl","spow","strix occidentalis","strix occidentalis"
"370","great gray owl","great gray owl","ggow","strix nebulosa","strix nebulosa"
"366","long-eared owl","long-eared owl","leow","asio otus","asio otus"
"367","short-eared owl","short-eared owl","seow","asio flammeus","asio flammeus"
"371","boreal owl","boreal owl","boow","aegolius funereus","aegolius funereus"
"372","saw-whet owl","northern saw-whet owl","nswo","aegolius acadicus","aegolius acadicus"
"416","chuck will's widow","chuck-will's-widow","cwwi","caprimulgus carolinensis","caprimulgus carolinensis"
"417","whipoorwill","whip-poor-will","wpwi","caprimulgus vociferus","caprimulgus vociferus"
"146.1","poor will","common poorwill","copo","phalaenoptilus nuttallii","phalaenoptilus nuttallii"
"419","pauraque","common pauraque","copa","nyctidromus albicollis","nyctidromus albicollis"
"420","common nighthawk","common nighthawk","coni","chordeiles minor","chordeiles minor"
"421","lesser nighthawk","lesser nighthawk","leni","chordeiles acutipennis","chordeiles acutipennis"
"422","black swift","black swift","blsw","cypseloides niger","cypseloides niger"
"423","chimney swift","chimney swift","chsw","chaetura pelagica","chaetura pelagica"
"424","vaux's swift","vaux's swift","vasw","chaetura vauxi","chaetura vauxi"
"424.1","white-rumped swift","fork-tailed swift","ftsw","apus pacificus","apus pacificus"
"424.2","common swift","common swift","cosw","apus apus","apus apus"
"425","white-throated swift","white-throated swift","wtsw","aeronautes saxatalis","aeronautes saxatalis"
"n/a","cuban emerald (hummingbird)","cuban emerald (hummingbird)","cuem","riccordia ricordii","chlorostilbon ricordii"
"437","lucifer hummingbird","lucifer hummingbird","luhu","calothorax lucifer","calothorax lucifer"
"428","ruby-throated hummingbird","ruby-throated hummingbird","rthu","archilochus colubirs","archilochus colubirs"
"429","black-chinned hummingbird","black-chinned hummingbird","bchu","archilochus alexandri","archilochus alexandri"
"430","costa's hummingbird","costa's hummingbird","cohu","calypte costae","calypte costae"
"431","anna's hummingbird","anna's hummingbird","anhu","calypte anna","calypte anna"
"312","broad-tailed hummingbird","broad-tailed hummingbird","bthu","selasphorus platycercus","selasphorus platycercus"
"433","rufous hummingbird","rufous hummingbird","ruhu","selasphorus rufus","selasphorus rufus"
"434","allen's hummingbird","allen's hummingbird","alhu","selasphorus sasin","selasphorus sasin"
"435","heloise's hummingbird","bumblebee hummingbird","buhu","trochilus heloisa","atthis heloisa"
"436","calliope hummingbird","calliope hummingbird","cahu","stellula calliope","stellula calliope"
"426","rivoli's hummingbird","magnificent hummingbird","mahu","eugenes fulgens","eugenes fulgens"
"427","blue-throated hummingbird","blue-throated hummingbird","bluh","lampornis clemenciae","lampornis clemenciae"
"438","rieffer's hummingbird","rufous-tailed hummingbird","rufh","amazilia tzactl","amazilia tzactl"
"439","buff-bellied hummingbird","buff-bellied hummingbird","bufh","amazilia yucatanensis","amazilia yucatanensis"
"439.1","violet-crowned hummingbird","violet-crowned hummingbird","vchu","amazilia verticalis","amazilia violiceps"
"440","xantus' hummingbird","xantus's hummingbird","xahu","hylocharis xantusii","hylocharis xantiusii"
"440.1","white-eared hummingbird","white-eared hummingbird","wehu","hylocharis leucotis","hylocharis leucotis"
"441","broad-billed hummingbird","broad-billed hummingbird","bblh","cynanthus latirostris","cynanthus latirostris"
"389","coppery-tailed trogon","elegant trogon","eltr","trogon ambiguus","trogon elegans"
"390","belted kingfisher","belted kingfisher","beki","megaceryle alcyon","ceryle alcyon"
"390.1","ringed kingfisher","ringed kingfisher","riki","megaceryle torquata","ceryle torquata"
"391","green kingfisher","green kingfisher","gkin","chloroceryle americana","chloroceryle americana"
"415.1","wryneck","eurasian wryneck","euwr","jynx torquilla","jynx torquilla"
"412.5","hybrid flicker","flicker hybrid (red-sh. x                 yellow-sh.)","flin","n/a","n/a"
"412","yellow-shafted flicker","northern flicker/                 yellow-shafted flicker","ysfl","colaptes auratus","colaptes auratus"
"413","red-shafted flicker","red-shafted flicker","rsfl","colaptes cafer","colaptes cafer"
"412","guadalupe flicker","northern flicker/                 yellow-shafted flicker","ysfl","colaptes rufipileus","colaptes auratus"
"414","gilded flicker","gilded flicker","gifl","colaptes chrysoides","colaptes chrysoides"
"405","pileated woodpecker","pileated woodpecker","piwo","dryocopus pileatus","dryocopus pileatus"
"409","red-bellied woodpecker","red-bellied woodpecker","rbwo","centurus carolinus","melanerpes caolinus"
"410","golden-fronted woodpecker","golden-fronted woodpecker","gfwo","centurus aurifrons","melanerpes aurifrons"
"411","gila woodpecker","gila woodpecker","giwo","centurus uropygialis","melanerpes uropygialis"
"406","red-headed woodpecker","red-headed woodpecker","rhwo","melanerpes erythrocephalus","melanerpes erythrocephalus"
"407","acorn woodpecker","acorn woodpecker","acwo","melanerpes formicivorus","melanerpes formicivorus"
"408","lewis woodpecker","lewis's woodpecker","lewo","asyndesmus lewis","melanerpes lewis"
"402","yellow-bellied sapsucker","yellow-bellied sapsucker","ybsa","sphyrapicus varius","sphyrapicus varius"
"404","williamson's sapsucker","williamson's sapsucker","wisa","sphyrapicus thyroideus","sphyrapicus thyroideus"
"393","hairy woodpecker","hairy woodpecker","hawo","dendrocopos villosus","picoides villosus"
"394","downy woodpecker","downy woodpecker","dowo","dendrocopos pubescens","picoides pubscens"
"396","ladder-backed woodpecker","ladder-backed woodpecker","lbwo","dendrocopos scalaris","picoides scalaris"
"397","nuttall's woodpecker","nuttall's woodpecker","nuwo","dendrocopos nuttallii","picoides nuttallii"
"397.5","arizona woodpecker","arizona woodpecker","arwo","dendrocopos arizonae","picoides arizonae"
"395","red-cockaded woodpecker","red-cockaded woodpecker","rcwo","dendrocopos borealis","picoides borealis"
"399","white-headed woodpecker","white-headed woodpecker","whwo","dendrocopos albolarvatus","picoides albolarvatus"
"400","black-backed three-toed    woodpecker","black-backed woodpecker","bbwo","picoides arcticus","picoides arcticus"
"401","northern three-toed woodpecker","american three-toed                 woodpecker","attw","picoides tridactylus","picoides tridactylus"
"392","ivory-billed woodpecker","ivory-billed woodpecker","ibwo","campephilus principalis","campephilus principalis"
"441.1","rose-throated becard","rose-throated becard","rtbe","platypsaris aglaiae","pachyramphus aglaiae"
"444","eastern kingbird","eastern kingbird","eaki","tyrannus tyrannus","tyrannus tyrannus"
"445","gray kingbird","gray kingbird","grak","tyrannus dominicensis","tyrannus dominicensis"
"446","tropical kingbird","tropical kingbird","trki","tyrannus melancholicus","tyrannus melancholicus"
"447","western kingbird","western kingbird","weki","tyrannus verticalis","tyrannus verticalis"
"448","cassin's kingbird","cassin's kingbird","caki","tyrannus vociferans","tyrannus vociferans"
"445.1","thick-billed kingbird","thick-billed kingbird","tbki","tyrannus crassirostris","tyrannus crassirostris"
"422","fork-tailed flycatcher","fork-tailed flycatcher","ftfl","muscivora tyrannus","tyrannus savana"
"443","scissor-tailed flycatcher","scissor-tailed flycatcher","stfl","muscivora forficata","tyrannus fortficatus"
"449","kiskadee flycatcher","great kiskadee","gkis","pitangus sulphuratus","pitangus sulphuratus"
"450","social flycatcher","social flycatcher","sofl","myiozetetes similis","myiozetetes similis"
"451","sulfur-bellied flycatcher","sulphur-bellied flycatcher","sbfl","myiodynastes luteiventris","myiodynastes luteiventris"
"452","great crested flycatcher","great crested flycatcher","gcfl","myiarchus crinitus","myiarchus crinitus"
"453","wied's crested flycatcher","brown-crested flycatcher","bcfl","myiarchus tyrannulus","myiarchus tyrannulus"
"454","ash-throated flycatcher","ash-throated flycatcher","atfl","myiarchus cinerascens","myiarchus cinerascens"
"455","olivaceous flycatcher","dusky-capped flycatcher","dcfl","myiarchus lawrencei","myiarchus tuberculifer"
"453.1","nutting's flycatcher","nutting's flycatcher","nufl","myiarchus nuttingi","myiarchus nuttingi"
"456","eastern phoebe","eastern phoebe","eaph","sayornis phoebe","sayornis phoebe"
"458","black phoebe","black phoebe","blph","sayornis nigricans","sayornis nigricans"
"457","say's phoebe","say's phoebe","saph","sayornis saya","sayornis saya"
"463","yellow-bellied flycatcher","yellow-bellied flycatcher","ybfl","empidonax flaviventris","empidonax flaviventris"
"465","acadian flycatcher","acadian flycatcher","acfl","empidonax virescens","empidonax virescens"
"466.5","traill's flycatcher","traill's flycatcher","trfl","empidonax traillii","empidonax traillii"
"467","least flycatcher","least flycatcher","lefl","empidonax minimus","empidonax minimus"
"468","hammond's flycatcher","hammond's flycatcher","hafl","empidonax hammondii","empidonax hammondii"
"469","dusky flycatcher","dusky flycatcher","dufl","empidonax oberholseri","empidonax oberholseri"
"461.9","gray flycatcher","gray flycatcher","grfl","empidonax wrightii","empidonax wrightii"
"464.9","western flycatcher","western flycatcher","wefl","empidonax difficilis","empidonax difficilis"
"470","buff-breasted flycatcher","buff-breasted flycatcher","bbfl","empidonax fulvifrons","empidonax fulvifrons"
"460","coues' flycatcher","greater pewee","grpe","contopus pertinax","contopus pertinax"
"461","eastern wood pewee","eastern wood-pewee","eawp","contopus virens","contopus virens"
"462","western wood pewee","western wood-pewee","wewp","contopus sordidulus","contopus sordidulus"
"459","olive-sided flycatcher","olive-sided flycatcher","osfl","contopus borealis","contopus cooperi"
"471","vermilion flycatcher","vermilion flycatcher","vefl","pyrocephalus rubinus","pyrocephalus rubinus"
"472","beardless flycatcher","northern beardless                 tyrannulet","nobt","camptostoma imberbe","camptostoma imberbe"
"473","skylark","sky lark","skla","alauda arvensis","alauda arvensis"
"474","horned lark","horned lark","hola","eremophila alpestris","eremophila alpestris"
"615.1","bahama swallow","bahama swallow","bahs","callichelidon cyaneoviridis","tachycineta cyaneoviridis"
"615","violet-green swallow","violet-green swallow","vgsw","tachycineta thalassina","tachycineta thalassina"
"614","tree swallow","tree swallow","tres","iridoprocne bicolor","tachycineta bicolor"
"616","bank swallow","bank swallow","bans","riparia riparia","riparia riparia"
"617","rough-winged swallow","northern rough-winged swallow","nrws","stelgidopteryx ruficollis","stelgidopteryx serripennis"
"615.2","house martin","common house martin","cohm","delichon urbica","delichon urbica"
"612.2","hybrid swallow","cave x cliff swallow","ccsw","&nbsp;","&nbsp;"
"613","european swallow","barn swallow","bars","hirundo rustica","hirundo rustica"
"613","barn swallow","barn swallow","bars","hirundo erythrogaster","hirundo rustica"
"612","cliff swallow","cliff swallow","clsw","petrochelidon pyrrhonota","petrochelidon pyrrhonota"
"612.1","cave swallow","cave swallow","casw","petrochelidon fulva","petrochelidon fulva"
"611.1","cuban martin","cuban martin","cuma","progne cryptoleuca","progne cryptoleuca"
"611.2","gray-breasted martin","gray-breasted martin","gybm","progne chalybea","progne chalybea"
"611","purple martin","purple martin","puma","progne subis","progne subis"
"611.3","caribbean martin","caribbean martin","cama","progne dominicensis","progne dominicensis"
"484","gray jay","gray jay","graj","perisoreus canadensis","perisoreus canadensis"
"477","blue jay","blue jay","blja","cyanocitta cristata","cyanocitta cristata"
"478","steller's jay","steller's jay","stja","cyanocitta stelleri","cyanocitta stelleri"
"481","western scrub jay","western scrub jay","wesj","aphelocoma californica","aphelocoma californica"
"479","florida scrub jay","florida scrub jay","flsj","aphelocoma coerulescens","aphelocoma coerulescens"
"481.1","island scrub jay","island scrub jay","issj","aphelocoma insularis","aphelocoma insularis"
"482","mexican jay","mexican jay","meja","aphelocoma ultramarina","aphelocoma ultramarina"
"483","green jay","green jay","grej","cyanocorax yncas","cyanocorax yncas"
"483.1","san blas jay","san blas jay","sbja","cissilopha san-blasiana","cyanocorax sanblasianus"
"475","black-billed magpie","black-billed magpie","bbma","pica pica","pica hudsonia"
"476","yellow-billed magpie","yellow-billed magpie","ybma","pica nuttalli","pica nuttalli"
"n/a","spectacled jay-thrush","chinese hwamei","hwam","trochalopterum canorum","leucodioptron canorum"
"486","common raven","common raven","cora","corvus corax","corvus corax"
"487","white-necked raven","chihuahuan raven","chra","corvus cryptoleucus","corvus cryptoleucus"
"488","common crow","american crow","amcr","corvus brachyrhynchos","corvus brachyrhynchos"
"489","northwestern crow","northwestern crow","nocr","corvus caurinus","corvus caurinus"
"490","fish crow","fish crow","ficr","corvus ossifragus","corvus ossifragus"
"490.1","rook","rook","rook","corvus frugilegus","corvus frugilegus"
"490.2","hooded crow","carrion crow","cacr","corvus cornix","corvus corone"
"492","pinon jay","pinyon jay","pija","gymnorhinus cyanocephalus","gymnorhinus cyanocephalus"
"491","clark's nutcracker","clark's nutcracker","clnu","nucifraga columbiana","nucifraga columbiana"
"735","black-capped chickadee","black-capped chickadee","bcch","parus atricapillus","poecile atricapilla"
"736","carolina chickadee","carolina chickadee","cach","parus carolinensis","poecile carolinensis"
"737","mexican chickadee","mexican chickadee","mech","parus sclateri","poecile sclateri"
"738","mountain chickadee","mountain chickadee","moch","parus gambeli","poecile gambeli"
"740","boreal chickadee","boreal chickadee","boch","parus hudsonicus","poecile hudsonica"
"741","chestnut-backed chickadee","chestnut-backed chickadee","cbch","parus rufescens","poecile rufescens"
"731","tufted titmouse","tufted titmouse","tuti","parus bicolor","baeolophus bicolor"
"732","black-crested titmouse","black-crested titmouse","bcti","baeolophus atricristatus","parus atricristatus"
"733.9","plain titmouse","plain titmouse","plti","parus inornatus","parus inornatus"
"734","bridled titmouse","bridled titmouse","brti","parus wollweberi","baeolophus wollweberi"
"746","verdin","verdin","verd","auriparus flaviceps","auriparus flaviceps"
"743","black-eared bushtit","common bushtit","cobu","psaltriparus minimus","psaltriparus minimus"
"743","common bushtit","common bushtit","cobu","psaltriparus minimus","psaltriparus minimus"
"727","white-breasted nuthatch","white-breasted nuthatch","wbnu","sitta carolinensis","sitta carolinensis"
"728","red-breasted nuthatch","red-breasted nuthatch","rbnu","sitta canadensis","sitta canadensis"
"729","brown-headed nuthatch","brown-headed nuthatch","bhnu","sitta pusilla","sitta pusilla"
"730","pigmy nuthatch","pigmy nuthatch","pynu","sitta pygmea","sitta pygmea"
"726","brown creeper","brown creeper","brcr","certhia familiaris","certhia americana"
"742","wrentit","wrentit","wren","chamaea fasciata","chamaea fasciata"
"701","dipper","american dipper","amdi","cinclus mexicanus","cinclus mexicanus"
"721","house wren","house wren","howr","troglodytes aedon","troglodytes aedon"
"721","brown-throated wren","house wren","howr","troglodytes brunneicollis","troglodytes aedon"
"722","winter wren","winter wren","wiwr","troglodytes troglodytes","troglodytes troglodytes"
"719","bewick's wren","bewick's wren","bewr","thryothorus bewickii","thryothorus bewickii"
"718","carolina wren","carolina wren","carw","thryothorus ludovicianus","thryothorus ludovicianus"
"713","cactus wren","cactus wren","cacw","telmatodytes palustris","campylorhynchus brunneicapillus"
"725","long-billed marsh wren","marsh wren","mawr","cistothorus palustris","cistothorus palustris"
"724","short-billed marsh wren","sedge wren","sewr","cistothorus platensis","cistothorus platensis"
"717","white-throated wren","canyon wren","canw","catherpes mexicanus","catherpes mexicanus"
"715","rock wren","rock wren","rowr","salpinctes obsoletus","salpinctes obsoletus"
"703","mockingbird","northern mockingbird","nomo","mimus polyglottos","mimus polyglottos"
"704","catbird","gray catbird","grca","dumetella carolinensis","dumetella carolinensis"
"705","brown thrasher","brown thrasher","brth","toxostoma rufum","toxostoma rufum"
"706","long-billed thrasher","long-billed thrasher","lbth","toxostoma longirostre","toxostoma longirostre"
"76.1","san lucas thrasher","gray thrasher","grat","toxostoma cinereum","toxostoma cinereum"
"708","bendire's thrasher","bendire's thrasher","beth","toxostoma bendirei","toxostoma bendirei"
"707","curve-billed thrasher","curve-billed thrasher","cbth","toxostoma curvirostre","toxostoma curvirostre"
"710","california thrasher","california thrasher","cath","toxostoma redivivum","toxostoma redivivum"
"711","le conte's thrasher","le conte's thrasher","lcth","toxostoma lecontei","toxostoma lecontei"
"712","crissal thrasher","crissal thrasher","crth","toxostoma dorsale","toxostoma crissale"
"702","sage thrasher","sage thrasher","sath","oreoscptes montanus","oreoscptes montanus"
"760","red-wing","red-wing","redw","turdus musicus","turdus iliacus"
"762.1","tamaulipas thrush","clay-colored robin","ccro","turdus grayi","turdus grayi"
"761","robin","american robin","amro","turdus migratorius","turdus migratorius"
"761.1","european blackbird","eurasian blackbird","eubl","turdus merula","turdus merula"
"761","san lucas robin","american robin","amro","turdus confinis","turdus migratorius"
"761.2","fieldfare","fieldfare","fiel","turdus pilaris","turdus pilaris"
"763","varied thrush","varied thrush","vath","ixoreus naevius","ixoreus naevius"
"755","wood thrush","wood thrush","woth","hylocichla mustelina","hylocichla mustelina"
"759","hermit thrush","hermit thrush","heth","hylocichla guttata","catharus guttatus"
"758","swainson's thrush","swainson's thrush","swth","hylocichla ustulata","cathartus ustulatus"
"757","gray-cheeked thrush","gray-cheeked thrush/                 bicknell's thursh","gcbt","hylocichla minima","cathartes minimus"
"756","veery","veery","veer","hylocichla fuscescens","catharus fuscescens"
"766","eastern bluebird","eastern bluebird","eabl","sialia sialia","sialia sialis"
"767","western bluebird","western bluebird","webl","sialia mexicana","sialia mexicana"
"768","mountain bluebird","mountain bluebird","mobl","silalia currucoides","silalia currucoides"
"765","wheatear","northern wheatear","nowh","saxicola oenanthe","oenanthe oenanthe"
"764","bluethroat","bluethroat","blue","cyanosylvia suecica","luscinia svecica"
"764.1","siberian rubythroat","siberian rubythroat","siru","calliope calliope","luscinia calliope"
"754","townsend's solitaire","townsend's solitaire","toso","myadestes townsendi","myadestes townsendi"
"747","arctic warbler","arctic warbler","arwa","acacanthopneuste borealis","phylloscopus borealis"
"747.1","middendorff's grasshopper    warbler","middendorff's                 grasshopper-warbler","migw","locustella ochotensis","locustella ochotensis"
"749.1","mountain accentor","siberian accentor","siac","prunella montanella","prunella montanella"
"751","blue-gray gnatcatcher","blue-gray gnatcatcher","bggn","polioptila caerulea","polioptila caerulea"
"752","black-tailed gnatcatcher","black-tailed gnatcatcher","btgn","polioptila melanura","polioptila melanura"
"748","golden-crowned kinglet","golden-crowned kinglet","gcki","regulus satrapa","regulus satrapa"
"749","ruby-crowned kinglet","ruby-crowned kinglet","rcki","regulus calendula","regulus calendula"
"749.1","mountain accentor","siberian accentor","siac","prunella montanella","prunella montanella"
"694","white wagtail","white wagtail","whwa","motacilla alba","motacilla alba"
"694","swinhoe's wagtail","white wagtail","whwa","motacilla ocularis","motacilla alba"
"696","yellow wagtail","yellow wagtail","ywag","budytes flavus","motacilla flava"
"697","water pipit","american pipit","ampi","anthus rubescens","anthus rubescens"
"698.1","pechora pipit","pechora pipit","pepi","anthus gustavi","anthus gustavi"
"698","meadow pipit","meadow pipit","mepi","anthus pratensis","anthus pratensis"
"699","red-throated pipit","red-throated pipit","rtpi","anthus cervinus","anthus cervinus"
"700","sprague's pipit","sprague's pipit","sppi","anthus spraguei","anthus spragueii"
"618","bohemian waxwing","bohemian waxwing","bowa","bombycilla garrula","bombycilla garrulus"
"619","cedar waxwing","cedar waxwing","cedw","bombycilla cedrorum","bombycilla cedrorum"
"620","phainopepla","phainopepla","phai","phainopepla nitens","phainopepla nitens"
"621","northern shrike","northern shrike","nshr","lanius borealis","lanius excubitor"
"622","loggerhead shrike","loggerhead shrike","losh","lanius ludovicianus","lanius ludovicianus"
"493","starling","european starling","eust","sturnus vulgaris","sturnus vulgaris"
"493.1","crested myna","crested myna","crmy","acridotheres tristis","acridotheres cristatellus"
"630","black-capped vireo","black-capped vireo","bcvi","vireo atricapillus","vireo atrcapillus"
"631","white-eyed vireo","white-eyed vireo","wevi","vireo griseus","vireo griseus"
"632","hutton's vireo","hutton's vireo","huvi","vireo huttoni","vireo huttoni"
"633","bell's vireo","bell's vireo","bevi","vireo bellii","vireo bellii"
"634","gray vireo","gray vireo","grvi","vireo vicinior","vireo vicinior"
"628","yellow-throated vireo","yellow-throated vireo","ytvi","lanivireo flavifrons","vireo flavifrons"
"629","solitary vireo","blue-headed vireo","bhvi","lanivireo solitarius","vireo solitarius"
"623","black-whiskered vireo","black-whiskered vireo","bwvi","vireosylva calidris","vireo altiloquus"
"625","yellow-green vireo","yellow-green vireo","ygvi","vireosylva flavoviridis","vireo flavoviridis"
"624","red-eyed vireo","red-eyed vireo","revi","vireo olivaceus","vireo olivaceus"
"626","philadelphia vireo","philadelphia vireo","phvi","vireosylva philadelphica","vireo philadelphicus"
"627","warbling vireo","warbling vireo","wavi","vireosylva gilva","vireo gilvus"
"635","bahama honeycreeper","bananaquit","bana","certhiola bahamensis","coereba flaveola"
"636","black-and-white warbler","black-and-white warbler","baww","mniotilta varia","mniotilta varia"
"637","prothonotary","prothonotary warbler","prow","protonotaria citrea","protonotaria citrea"
"638","swainson's warbler","swainson's warbler","swwa","helinaia swainsoni","limnothlypis swainsonii"
