"inverted common name","scientific name","where listed","lead region","listing status"
"deer formosan sika","cervus nippon taiouanus","entire","foreign","e"
"deer hilton head white-tailed","odocoileus virginianus hiltonensis","entire","4","not listed"
"deer hunting island white-tailed","odocoileus virginianus venatoria","entire","4","not listed"
"deer indochina hog","axis porcinus annamiticus","entire","foreign","e"
"deer key","odocoileus virginianus clavium","entire","4","e"
"deer kuhl's (=bawean)","axis porcinus kuhli","entire","foreign","e"
"deer marsh","blastocerus dichotomus","entire","foreign","e"
"deer mcneill's","cervus elaphus macneilii","entire","foreign","e"
"deer musk","moschus spp. (all species)","afghanistan bhutan burma china (tibet yunnan) india nepal pakistan sikkim","foreign","e"
"deer north china sika","cervus nippon mandarinus","entire","foreign","e"
"deer pampas","ozotoceros bezoarticus","entire","foreign","e"
"deer persian fallow","dama mesopotamica (=dama m.)","entire","foreign","e"
"deer ryukyu sika","cervus nippon keramae","entire","foreign","e"
"deer shansi sika","cervus nippon grassianus","entire","foreign","e"
"deer south china sika","cervus nippon kopschi","entire","foreign","e"
"deer swamp","cervus duvauceli","entire","foreign","e"
"deer visayan","cervus alfredi","entire","foreign","e"
"deer yarkand","cervus elaphus yarkandensis","entire","foreign","e"
"delphinium hutchinson's","delphinium hutchinsonae","NULL","1","not listed"
"desert beauty","linanthus bellus","NULL","1","not listed"
"desert-mallow rusby's","sphaeralcea rusbyi eremicola","NULL","1","not listed"
"desert-parsley adobe","lomatium concinnum","NULL","6","not listed"
"desert-parsley bradshaw's","lomatium bradshawii","NULL","1","e"
"desert-parsley day valley","lomatium minus","NULL","1","not listed"
"desert-parsley greenman's","lomatium greenmanii","NULL","1","not listed"
"desert-parsley hoover's","lomatium tuberosum","NULL","1","not listed"
"desert-parsley lassen","lomatium ravenii","NULL","1","not listed"
"desert-parsley red-fruited","lomatium erythrocarpum","NULL","1","not listed"
"desert-parsley slickrock","lomatium latilobum","NULL","6","not listed"
"desert-parsley suksdorf's","lomatium suksdorfii","NULL","1","not listed"
"desert-parsley [unnamed]","lomatium graveolens clarkii","NULL","6","not listed"
"desert pink dolores","lygodesmia doloresensis","NULL","6","not listed"
"desert-poppy [unnamed]","arctomecon californica","NULL","1","not listed"
"desert-poppy white bear","arctomecon merriamii","NULL","1","not listed"
"desertsnail morongo","eremarionta morogoana","entire","1","not listed"
"desertsnail thousand palms","eremarionta millepalmarum","entire","1","not listed"
"desertsnail white","eremarionta immaculata","entire","1","not listed"
"desert-thorn san nicolas island","lycium verrucosum","NULL","1","not listed"
"desert-thorn santa catalina island","lycium hassei","NULL","1","not listed"
"dewberry [unnamed]","rubus duplaris","NULL","2","not listed"
"dewberry wharton's","rubus whartoniae","NULL","4","not listed"
"dhole","cuon alpinus","entire","foreign","e"
"diacyclops carolina well","diacyclops jeannelli putei","entire","4","not listed"
"diamondflowers [unnamed]","hedyotis nigricans pulvinata","NULL","4","not listed"
"dibbler","antechinus apicalis","entire","foreign","e"
"dichondra california","dichondra donnelliana","NULL","1","not listed"
"dichondra western","dichondra occidentalis","NULL","1","not listed"
"diellia asplenium-leaved","diellia erecta","NULL","1","e"
"dipper american","cinclus mexicanus unicolor","entire","6","not listed"
"disc cockerell's striate","discus shemeki cockerelli","entire","6","not listed"
"disciplina","lycopodium phlegmaria var.","NULL","6","not listed"
"disc lake","discus brunsoni","entire","6","not listed"
"disc marbled","discus marmorensis","entire","1","not listed"
"dissanthelium california","dissanthelium californicum","NULL","1","not listed"
"ditaxis california","ditaxis californica","NULL","1","not listed"
"diving beetle bonita","deronectes neomexicana","entire","2","not listed"
"diving beetle curved-foot hygrotus","hygrotus curvipes","entire","1","not listed"
"diving beetle elusive hydroporus","hydroporus elusivus","entire","5","not listed"
"diving beetle fig seed","desmopachria cenchramis","entire","4","not listed"
"diving beetle folkerts' hydroporus","hydroporus folkertsi","entire","4","not listed"
"diving beetle leech's skyline","hydroporus leechi","entire","1","not listed"
"diving beetle mono lake hygrotus","hygrotus artus","entire","1","not listed"
"diving beetle narrow-foot hygrotus","hygrotus diversipes","entire","6","not listed"
"diving beetle schwarz'","laccophilus schwarzi","entire","5","not listed"
"diving beetle simple hydroporus","hydroporus simplex","entire","1","not listed"
"diving beetle spangler's hydroporus","hydroporus spangleri","entire","6","not listed"
"diving beetle sulphur springs hydroporus","hydroporus sulphurius","entire","4","not listed"
"diving beetle sylvan hygrotus","hygrotus sylvanus","entire","3","not listed"
"diving beetle texas cave","haideoporus texanus","entire","2","not listed"
"diving beetle travertine band-thigh","hygrotus fontinalis","entire","1","not listed"
"diving beetle utah hydroporus","hydroporus utahensis","entire","6","not listed"
"diving beetle wooly hydroporus","hydroporus hirsutus","entire","1","not listed"
"dock chiricahua","rumex orthoneurus","NULL","2","not listed"
"dodder bogg's lake","cuscuta howelliana","NULL","1","not listed"
"dodder harper's","cuscuta harperi","NULL","4","not listed"
"dodder slender","cuscuta attenuata","NULL","2","not listed"
"dodder warner's","cuscuta warneri","NULL","6","not listed"
"dodder wyoming","cuscuta plattensis","NULL","6","not listed"
"dog african wild","lycaon pictus","entire","foreign","e"
"dogbane jones'","apocynum jonesii","NULL","2","not listed"
"dogweed ashy","thymophylla tephroleuca","NULL","2","e"
"dolly varden","salvelinus malma","entire","1","psat"
"dolphin chinese river","lipotes vexillifer","entire","foreign","e"
"dolphin indus river","platanista minor","entire","foreign","e"
"dove cloven-feathered","drepanoptila holosericea","entire","foreign","e"
"dove grenada gray-fronted","leptotila rufaxilla wellsi","entire","foreign","e"
"dovekie","alle alle","entire","na","not listed"
"dove mariana fruit","ptilinopus roseicapillus","entire","1","not listed"
"dove palau ground","gallicolumba canifrons","entire","foreign","dm"
"downingia cuyamac lake","downingia concolor brevior","NULL","1","not listed"
"downingia dwarf","downingia humilis","NULL","1","not listed"
"draba bodie hills","cusickiella quadricostata","NULL","1","not listed"
"draba branched","draba stenoloba ramosa","NULL","1","not listed"
"draba crocker's","draba douglasii crockeri","NULL","1","not listed"
"draba cup lake","draba asterophora macrocarpa","NULL","1","not listed"
"draba dolomite","draba crassifolia nevadensis","NULL","1","not listed"
"draba douglas'","draba douglasii douglasii","NULL","1","not listed"
"draba mineral king","draba cruciata cruciata","NULL","1","not listed"
"draba mt. eddy","draba carnosula","NULL","1","not listed"
"draba mt. whitney","draba cruciata integrifolia","NULL","1","not listed"
"draba snow little","draba nivalis brevicula","NULL","6","not listed"
"draba sweetwater mountains","draba lemmonii incrassata","NULL","1","not listed"
"draba tahoe","draba asterophora asterophora","NULL","1","not listed"
"draba wasatch","draba brachystylis","NULL","6","not listed"
"dragonfly big thicket emerald","somatochlora margarita","entire","2","not listed"
"dragonfly hine's emerald","somatochlora hineana","entire","3","e"
"dragonfly hudson clubtail","gomphus adelphus","entire","5","not listed"
"drill","mandrillus (=papio) leucophaeus","entire","foreign","e"
"dropseed [unnamed]","sporobolus patens","NULL","2","not listed"
"dropseed wireleaf","sporobolus teretifolius","NULL","4","not listed"
"dropwort canby's","oxypolis canbyi","NULL","4","e"
"dubautia knudsen","dubautia knudsenii knudsenii","NULL","1","not listed"
"duck fulvous whistling","dendrocygna bicolor","entire","1","not listed"
"duck harlequin","histrionicus histrionicus","entire","6","not listed"
"duck hawaiian (=koloa)","anas wyvilliana","entire","1","e"
"duck laysan","anas laysanensis","entire","1","e"
"duck long-tailed","clangula hyemalis","entire","7","not listed"
"duck mexican","anas diazi","u.s. only","2","dr"
"duck pink-headed","rhodonessa caryophyllacea","entire","foreign","e"
"duck west indian ruddy","oxyura jamaicensis jamaicensis","puerto rico","4","not listed"
"duck west indian whistling","dendrocygna arborea","puerto rico","4","not listed"
"duck white-winged wood","cairina scutulata","entire","foreign","e"
"dudleya candleholder","dudleya candelabrum","NULL","1","not listed"
"dudleya conejo","dudleya abramsii ssp. parva","NULL","8","t"
"dudleya island green","dudleya virens ssp. insularis","NULL","1","not listed"
"dudleya marcescent","dudleya cymosa ssp. marcescens","NULL","8","t"
"dudleya mouse-leaved","dudleya abramsii murina","NULL","1","not listed"
"dudleya orcutt's","dudleya attentuata orcuttii","NULL","1","not listed"
"dudleya panamint","dudleya saxosa saxosa","NULL","1","not listed"
"dudleya san bernardino mountains","dudleya abramsii affinis","NULL","1","not listed"
"dudleya san gabriel mountains","dudleya densiflora","NULL","1","not listed"
"dudleya san gabriel river","dudleya cymosa crebrifolia","NULL","1","not listed"
"dudleya san luis serpentine","dudleya abramsii bettinae","NULL","1","not listed"
"dudleya santa clara valley","dudleya setchellii","NULL","8","e"
"dudleya santa cruz island","dudleya nesiotica","NULL","8","t"
"dudleya santa rosa island","dudleya blochmaniae insularis","NULL","1","not listed"
"dudleya short-leaved","dudleya blochmaniae blochmaniae","NULL","1","not listed"
"dudleya short-leaved","dudleya blochmaniae brevifolia","NULL","1","not listed"
"dudleya sp. nov. ined. (munchkin)","dudleya sp.","NULL","1","not listed"
"dudleya variegated","dudleya variegata","NULL","1","not listed"
"dudleya verity's","dudleya verityi","NULL","8","t"
"dudleyea santa monica mountains","dudleya cymosa ssp. ovatifolia","NULL","8","t"
"dugong","dugong dugon","entire except palau","foreign","e"
"dugong","dugong dugon","palau","foreign","e"
"duiker jentink's","cephalophus jentinki","entire","foreign","e"
"dung beetle big pine key ataenius","ataenius superficialis","entire","4","not listed"
"dung beetle woodruff's ataenius","ataenius woodruffi","entire","4","not listed"
"duskysnail canary","lyogyrus spc","entire","8","ur"
"duskysnail columbia","lyogyrus sp","entire","1","ur"
"duskysnail masked","lyogyrus spb","entire","1","ur"
"dwarf-flax brewer's","hesperolinon breweri","NULL","1","not listed"
"dwarf-flax drymaria","hesperolinon drymarioides","NULL","1","not listed"
"dwarf-flax glandular","hesperolinon adenophyllum","NULL","1","not listed"
"dwarf-flax lake county","hesperolinon didymocarpum","NULL","1","not listed"
"dwarf-flax marin","hesperolinon congestum","NULL","8","t"
"dwarf-flax tehama","hesperolinon tehamense","NULL","1","not listed"
"dwarf-flax two carpeled","hesperolinon bicarpellatum","NULL","1","not listed"
"eagle bald","haliaeetus leucocephalus","u.s.a. conterminous (lower 48) states.","3","dm"
"eagle golden","aquila chrysaetos","entire","7","not listed"
"eagle greenland white-tailed","haliaeetus albicilla groenlandicus","entire","foreign","e"
"eagle harpy","harpia harpyja","entire","foreign","e"
"eagle madagascar sea","haliaeetus vociferoides","entire","foreign","e"
"eagle madagascar serpent","eutriorchis astur","entire","foreign","e"
"eagle philippine","pithecophaga jefferyi","entire","foreign","e"
"eagle spanish imperial","aquila heliaca adalberti","entire","foreign","e"
"earthworm giant palouse","driloleirus americanus","NULL","1","not listed"
"earthworm oregon giant","megascolides macelfreshi","NULL","1","not listed"
"ebonyshell round","fusconaia rotulata","entire","4","pe"
"eel american","anguilla rostrata","entire","5","ur"
"egg-vetch clokey's","astragalus oophorus clokeyanus","NULL","1","not listed"
"egret chinese","egretta eulophotes","entire","foreign","e"
"egret reddish","egretta rufescens","entire","4","not listed"
"eider spectacled","somateria fischeri","entire","7","t"
"eider steller's","polysticta stelleri","u.s.a. (ak breeding population only)","7","t"
"eland western giant","taurotragus derbianus derbianus","entire","foreign","e"
"elepaio oahu","chasiempis sandwichensis ibidis","entire","1","e"
"elephant african","loxodonta africana","entire","foreign","t"
"elephant asian","elephas maximus","entire","foreign","e"
"elephantear fluted","elliptio mcmichaeli","entire","4","not listed"
"elephantear st. johns","elliptio monroensis","entire","4","not listed"
"elfin marin","incisalia mossii ssp.","marin","1","not listed"
"elfin san gabriel mountains","incisalia mossii ssp.","san gabriel","1","not listed"
"elima black-crest","elimia albanyensis","entire","4","not listed"
"elimia acute","elimia acuta","entire","4","not listed"
"elimia ample","elimia ampla","entire","4","not listed"
"elimia banded","elimia fascinans","entire","4","not listed"
"elimia brook","elimia strigosa","entire","4","not listed"
"elimia cahaba","elimia cahawbensis","entire","4","not listed"
"elimia caper","elimia olivula","entire","4","not listed"
"elimia coal","elimia aterina","entire","4","not listed"
"elimia cobble","elimia vanuxemiana","entire","4","not listed"
"elimia coldwater","elimia gerhardti","entire","4","not listed"
"elimia compact","elimia showalteri","entire","4","not listed"
"elimia constricted","elimia impressa","entire","4","not listed"
"elimia elegant","elimia teres","entire","4","not listed"
"elimia engraved","elimia prestriata","entire","4","not listed"
"elimia flaxen","elimia boykiniana","entire","4","not listed"
"elimia fusiform","elimia fusiformis","entire","4","not listed"
"elimia gladiator","elimia hydei","entire","4","not listed"
"elimia hearty","elimia jonesi","entire","4","not listed"
"elimia high-spired","elimia hartmaniana","entire","4","not listed"
"elimia knotty","elimia interrupta","entire","4","not listed"
"elimia lacy (snail)","elimia crenatella","entire","4","t"
"elimia lily shoals","elimia annettae","entire","4","not listed"
"elimia mossy","elimia troostiana","entire","4","not listed"
"elimia mud","elimia alabamensis","entire","4","not listed"
"elimia nymph","elimia porreta","entire","4","not listed"
"elimia pupa","elimia pupaeformis","entire","4","not listed"
"elimia puzzle","elimia varians","entire","4","not listed"
"elimia pygmy","elimia pygmaea","entire","4","not listed"
"elimia ribbed","elimia laeta","entire","4","not listed"
"elimia rough-lined","elimia pilsbryi","entire","4","not listed"
"elimia round-rib","elimia nassula","entire","4","not listed"
"elimia short-spire","elimia brevis","entire","4","not listed"
"elimia silt","elimia haysiana","entire","4","not listed"
"elimia slowwater","elimia interveniens","entire","4","not listed"
"elimia spindle","elimia capillaris","entire","4","not listed"
"elimia spring","elimia pybasi","entire","4","not listed"
"elimia squat","elimia variata","entire","4","not listed"
"elimia walnut","elimia bellula","entire","4","not listed"
"elktoe appalachian","alasmidonta raveneliana","entire","4","e"
"elktoe carolina","alasmidonta robusta","entire","4","not listed"
"elktoe coosa","alasmidonta maccordi","entire","4","not listed"
"elktoe cumberland","alasmidonta atropurpurea","entire","4","e"
"elktoe [unnamed]","alasmidonta marginata","entire","6","not listed"
"`ena`ena","pseudognaphalium (=gnaphalium) sandwicensium var. molokaiense","NULL","1","c"
"`ena`ena whip","gnaphalium sandwicensium flagellare","NULL","1","not listed"
"ensatina large-blotched","ensatina eschscholtzii klauberi","entire","1","not listed"
"ensatina yellow-blotched","ensatina eschscholtzii croceator","entire","1","not listed"
"ephedra funeral","ephedra funerea","NULL","1","not listed"
"eriastrum brandegee","eriastrum brandegeae","NULL","1","not listed"
"erigeron sp. nov. ined.","erigeron sp.","NULL","6","not listed"
"ermine moth chestnut","argyresthia castaneela","entire","5","not listed"
"erubia","solanum drymophilum","NULL","4","e"
"eryngo spinysepaled","eryngium spinosepalum","NULL","1","not listed"
"ethmiid moth lost","ethmia monachella","entire","6","not listed"
"eucnemid beetle dohrn's elegant","paleoxenus dohrni","entire","1","not listed"
"eulachon pacific","thaleichthys pacificus","southern dps�populations spawning from the skeena river in british columbia (inclusive) south to the mad river in northern california (inclusive) wherever found.","nmfs","t"
"eulophia","pteroglossaspis ecristata","NULL","4","not listed"
"eupatorium shasta","eupatorium shastense","NULL","1","not listed"
"evening-primrose antioch dunes","oenothera deltoides ssp. howellii","NULL","8","e"
"evening-primrose eureka valley","oenothera avita ssp. eurekensis","NULL","8","e"
"evening-primrose hardham's","camissonia hardhamiae","NULL","1","not listed"
"evening-primrose klein's","oenothera kleinii","NULL","6","not listed"
"evening-primrose mono hot springs","camissonia sierrae alticola","NULL","1","not listed"
"evening-primrose narrowleaf","oenothera acutissima","NULL","6","not listed"
"evening-primrose organ mountain","oenothera organensis","NULL","2","not listed"
"evening-primrose san benito","camissonia benitensis","NULL","8","t"
"evening-primrose san clemente island","camissonia guadalupensis clementina","NULL","1","not listed"
"evening-primrose sierra valley","camissonia tanacetifolia quadriperforata","NULL","1","not listed"
"evening-primrose [unnamed]","camissonia confertiflora","NULL","2","not listed"
"evening-primrose [unnamed]","camissonia exilis","NULL","2","not listed"
"evening-primrose [unnamed]","camissonia gouldii","NULL","6","not listed"
"evening-primrose [unnamed]","camissonia megalantha","NULL","1","not listed"
"evening-primrose [unnamed]","camissonia nevadensis","NULL","1","not listed"
"evening-primrose [unnamed]","camissonia parryi","NULL","6","not listed"
"evening-primrose [unnamed]","camissonia specuicola hesperia","NULL","2","not listed"
"evening-primrose [unnamed]","camissonia specuicola specuicola","NULL","2","not listed"
"evening-primrose [unnamed]","oenothera pilosella sessilis","NULL","4","not listed"
"evening-primrose [unnamed]","oenothera psammophila","NULL","1","not listed"
"evening-primrose wolf's","oenothera wolfii","NULL","1","not listed"
"evening-star white-stemmed","mentzelia albicaulis","NULL","na","not listed"
"everlasting evergreen","antennaria suffrutescens","NULL","1","not listed"
"fairypoppy white","meconella oregana","NULL","1","not listed"
"fairy shrimp conservancy","branchinecta conservatio","entire","8","e"
"fairy shrimp longhorn","branchinecta longiantenna","entire","8","e"
"fairy shrimp riverside","streptocephalus woottoni","entire","8","e"
"fairy shrimp san diego","branchinecta sandiegonensis","entire","8","e"
"fairy shrimp stone mountain","branchinella lithaca","entire","4","not listed"
"fairy shrimp vernal pool","branchinecta lynchi","entire","8","t"
"falcon american peregrine","falco peregrinus anatum","entire","8","dm"
"falcon arctic peregrine","falco peregrinus tundrius","entire","7","dm"
"falcon eurasian peregrine","falco peregrinus peregrinus","entire","foreign","e"
"falcon northern aplomado","falco femoralis septentrionalis","entire except where listed as an experimental population","2","e"
"falcon northern aplomado","falco femoralis septentrionalis","southwestern population","2","expn"
"falcon peregrine","falco peregrinus","entire","1","not listed"
"falcon prairie","falco mexicanus","entire","2","not listed"
"false dragon-head","physostegia veroniciformis","NULL","4","not listed"
"false dragon-head correll's","physostegia correllii","NULL","2","not listed"
"false-foxglove auriculate","tomanthera auriculata","NULL","3","not listed"
"false-foxglove caddo purple","tomanthera caddoensis","NULL","4","not listed"
"false-foxglove purple","tomanthera skinneriana","NULL","3","not listed"
"false-foxglove shinner's","tomanthera pseudaphylla","NULL","4","not listed"
"false foxglove [unnamed]","agalinis stenophylla","NULL","4","not listed"
"false-hellebore fringed","veratrum fimbriatum","NULL","1","not listed"
"false indian-mallow","anoda abutiloides","NULL","2","not listed"
"false indigo [unnamed]","amorpha ouachitensis","NULL","2","not listed"
"false-lupine santa barbara","thermopsis macrophylla agnina","NULL","1","not listed"
"false-lupine velvety","thermopsis macrophylla semota","NULL","1","not listed"
"false pimpernel [unnamed]","lindernia saxicola","NULL","4","not listed"
"false sagebrush laramie","sphaeromeria simplex","NULL","6","not listed"
"false water penny beer's","acneus beeri","entire","1","not listed"
"false water penny burnell's","acneus burnelli","entire","1","not listed"
"false water penny stark's","alabameubria starki","entire","4","not listed"
"false water penny variegated","dicranopselaphus variegatus","entire","3","not listed"
"fameflower goodding","talinum gooddingii","NULL","2","not listed"
"fameflower limestone","talinum calcaricum","NULL","4","not listed"
"fameflower pinos altos","talinum humile","NULL","2","not listed"
"fameflower rough-seeded","talinum rugospermum","NULL","3","not listed"
"fameflower tepic","talinum marginatum","NULL","2","not listed"
"fameflower tusayan","talinum validulum","NULL","2","not listed"
"fameflower [unnamed]","talinum appalachianum","NULL","4","not listed"
"fameflower [unnamed]","talinum mengesii","NULL","4","not listed"
"fameflower [unnamed]","talinum okanoganense","NULL","1","not listed"
"fameflower [unnamed]","talinum thompsonii","NULL","6","not listed"
"fanshell","cyprogenia stegaria","entire","4","e"
"fanshell","cyprogenia stegaria","u.s.a. (tn - specified portions of the french broad and holston rivers; see 17.85(b)(1))","4","expn"
"fanshell western","cyprogenia aberti","entire","4","not listed"
"fantail guam rufous-fronted","rhipidura rufifrons uraniae","entire","1","not listed"
"fatmucket arkansas","lampsilis powellii","entire","4","t"
"fatmucket texas","lampsilis bracteata","entire","2","c"
"fatmucket waccamaw","lampsilis fullerkati","entire","4","not listed"
"fawn-lily howell's","erythronium howellii","NULL","1","not listed"
"fawn-lily kaweah lakes","erythronium grandiflorum pusateri","NULL","1","not listed"
"fawn-lily lemon colored","erythronium citrinum rodrickii","NULL","1","not listed"
"fawn-lily tuolumne","erythronium tuolumnense","NULL","1","not listed"
"fawnsfoot mexican","truncilla cognata","entire","2","ur"
"fawnsfoot texas","truncilla macrodon","entire","2","c"
"feathergrass porter's","ptilagrostis porteri","NULL","6","ur"
"fern alabama streak-sorus","thelypteris pilosa var. alabamensis","NULL","4","t"
"fern aleutian shield","polystichum aleuticum","NULL","7","e"
"fern american hart's-tongue","asplenium scolopendrium var. americanum","NULL","4","t"
"fernbird codfish island","bowdleria punctata wilsoni","entire","foreign","ur"
"fern canyon lip","cheilanthes arizonica californicum","NULL","2","not listed"
"fern cloak lemmon","notholaena lemmonii","NULL","2","not listed"
"fern curly-grass","schizaea germanii","NULL","4","not listed"
"fern curly-grass","schizaea pusilla","NULL","5","not listed"
"fern elfin tree","cyathea dryopteroides","NULL","4","e"
"fern florida bristle","trichomanes punctatum ssp. floridanum","NULL","4","c"
"fern hairy halberd","tectaria coriandrifolia","NULL","4","not listed"
"fern maui","microlepia strigosa var. mauiensis","NULL","1","c"
"fern pendant kihi","adenophorus periens","NULL","1","e"
"fern pringle lip","cheilanthes pringlei insulare","NULL","2","not listed"
"fern tunbridge","hymenophyllum tunbrigense","NULL","4","not listed"
"ferret black-footed","mustela nigripes","entire except where listed as an experimental population below","6","e"
"ferret black-footed","mustela nigripes","u.s.a. (specific portions of az co mt sd ut and wy see 17.84(g))","6","expn"
"fescue guadalupe","festuca ligulata","NULL","2","c"
"fescue sedge","festuca dasyclada","NULL","6","not listed"
"fetid-marigold rusby's","pectis rusbyi","NULL","2","not listed"
"feverfew arkansas river","parthenium tetraneuris","NULL","6","not listed"
"feverfew [unnamed]","parthenium ligulatum","NULL","6","not listed"
"fiddleneck forked","amsinckia vernicosa furcata","NULL","1","not listed"
"fiddleneck green","amsinckia vernicosa","NULL","1","not listed"
"fiddleneck large-flowered","amsinckia grandiflora","NULL","8","e"
"fiddleneck malheur valley","amsinckia carinata","NULL","1","not listed"
"fieldslug evening","deroceras hesperium","entire","1","ur"
"figwort black-flowered","scrophularia atrata","NULL","1","not listed"
"figwort organ mountain","scrophularia laevis","NULL","2","not listed"
"figwort santa catalina","scrophularia villosa","NULL","1","not listed"
"figwort [unnamed]","scrophularia macrantha","NULL","2","not listed"
"filaree large-leaved","erodium macrophyllum","NULL","6","not listed"
"fimbristylis harper's","fimbristylis perpusilla","NULL","5","not listed"
"fimbristylis hot springs","fimbristylis spadicea","NULL","1","not listed"
"finch laysan (honeycreeper)","telespyza cantans","entire","1","e"
"finch nihoa (honeycreeper)","telespyza ultima","entire","1","e"
"fire-eye fringe-backed","pyriglena atra","entire","9","e"
"firefly everglades brownwing","photuris brunnipennis floridana","entire","4","not listed"
"firefly florida intertidal","micronaspis floridana","entire","4","not listed"
"firefly turtle mound","photuris sp.","entire","4","not listed"
"fireweed oregon","epilobium oreganum","NULL","1","not listed"
"fir fraser","abies fraseri","NULL","4","not listed"
"fir guatemalan (=pinabete)","abies guatemalensis","NULL","foreign","t"
"fisher","martes pennanti","northern rocky mountains dps","6","not listed"
"fisher","martes pennanti","west coast dps","8","c"
"fishhook cactus blaine's","sclerocactus blainei","NULL","1","not listed"
"fishhook cactus great basin","sclerocactus pubispinus","NULL","6","not listed"
"fishhook cactus mojave","sclerocactus polyancistrus","NULL","1","not listed"
"fishhook cactus schleser's","sclerocactus schleseri","NULL","1","not listed"
"flamingo andean","phoenicoparrus andinus","entire","foreign","e"
"flannelbush mexican","fremontodendron mexicanum","NULL","8","e"
"flannelbush pine hill","fremontodendron californicum ssp. decumbens","NULL","8","e"
"flatsedge fragrant","cyperus odoratus","NULL","1","not listed"
"flatworm (sphalloplana mohri)","sphalloplana mohri","NULL","6","not listed"
"flax carter's small-flowered","linum carteri carteri","NULL","4","c"
"flax sand","linum arenicola","NULL","4","c"
"flax [unnamed]","linum carteri smallii","NULL","4","not listed"
"flax [unnamed]","linum macrocarpum","NULL","4","not listed"
"flax west's","linum westii","NULL","4","not listed"
"fleabane acoma","erigeron acomanus","NULL","2","not listed"
"fleabane branched","erigeron allocotus","NULL","6","not listed"
"fleabane chiricahua","erigeron kuschei","NULL","2","not listed"
"fleabane clear creek","erigeron religiosus","NULL","6","not listed"
"fleabane del norte","erigeron delicatus","NULL","1","not listed"
"fleabane fish creek","erigeron piscaticus","NULL","2","not listed"
"fleabane gorge","erigeron oreganus","NULL","1","not listed"
"fleabane hess's","erigeron hessii","NULL","2","not listed"
"fleabane howell's","erigeron howellii","NULL","1","not listed"
"fleabane lemmon","erigeron lemmonii","NULL","2","c"
"fleabane mogollon","erigeron anchana","NULL","2","not listed"
"fleabane pinalenos","erigeron heligraphicus","NULL","2","not listed"
"fleabane sonora","erigeron mimegletes","NULL","2","not listed"
"fleabane [unnamed]","erigeron calvus","NULL","1","not listed"
"fleabane [unnamed]","erigeron eriophyllus","NULL","2","not listed"
"fleabane [unnamed]","erigeron latus","NULL","1","not listed"
"fleabane zuni","erigeron rhizomatus","NULL","2","t"
"flicker gilded","colaptes chrysoides","entire","6","not listed"
"floater brook","alasmidonta varicosa","entire","5","not listed"
"floater california","anodonta californiensis","entire","2","not listed"
"floater green","lasmigona subviridis","entire","5","not listed"
"flower fly delong's mixogaster","mixogaster delongi","entire","4","not listed"
"flower stonecrop gily","gilia sedifolia","NULL","6","not listed"
"fly belkin's dune tabanid","brennania belkini","entire","1","not listed"
"flycatcher brown-crested","myiarchus tyrannulus","entire","6","not listed"
"flycatcher buff-breasted","empidonax fulvifrons pygmaeus","entire","2","ur"
"flycatcher caerulean paradise","eutrichomyias rowleyi","entire","foreign","e"
"flycatcher euler's","empidonax euleri johnstonei","entire","foreign","e"
"flycatcher little willow","empidonax traillii brewsteri","entire","1","not listed"
"flycatcher olive-sided","contopus cooperi","entire","7","not listed"
"flycatcher palau fantail","rhipidura lepida","entire","foreign","dm"
"flycatcher seychelles paradise","terpsiphone corvina","entire","foreign","e"
"flycatcher southwestern willow","empidonax traillii extimus","entire","2","e"
"flycatcher tahiti","pomarea nigra","entire","foreign","e"
"flycatcher vermillion","pyrocephalus rubinus","entire","6","not listed"
"flycatcher willow","empidonax traillii","entire","7","not listed"
"fly delhi sands flower-loving","rhaphiomidas terminatus abdominalis","entire","8","e"
"fly el segundo flower-loving","rhaphiomidas terminatus terminatus","entire","1","not listed"
"fly hawaiian picture-wing","drosophila digressa","entire","1","c"
"fly hawaiian picture-wing","drosophila sharpi","entire","1","e"
"fly valley mydas","drosophila alsophila","entire","1","not listed"
"fly valley mydas","drosophila psilotarsalis","entire","1","not listed"
"fly valley mydas","drosophila toxochaeta","entire","1","not listed"
"fly valley mydas","rhaphiomidas trochilus","entire","1","not listed"
"fody mauritius","foudia rubra","entire","foreign","e"
"fody rodrigues","foudia flavicans","entire","foreign","e"
"fody seychelles (weaver-finch)","foudia sechellarum","entire","foreign","e"
"footsteps of spring","sanicula arctopoides","NULL","1","not listed"
"forkshell","epioblasma lewisi","entire","4","not listed"
"forsellesia clokey's","forsellesia clokeyi","NULL","1","not listed"
"forsellesia smooth pungent","glossopetalon pungens glabra","NULL","1","not listed"
"four-o'clock macfarlane's","mirabilis macfarlanei","NULL","1","t"
"four-o'clock roundleaf","mirabilis rotundifolia","NULL","6","not listed"
"four-o'clock sandhill","mirabilis collina","NULL","2","not listed"
"four-o'clock [unnamed]","mirabilis pudica","NULL","1","not listed"
"fox island","urocyon littoralis","entire","1","not listed"
"fox northern swift","vulpes velox hebes","canada","foreign","e"
"fox san clemente island","urocyon littoralis clementae","entire","1","not listed"
"fox san joaquin kit","vulpes macrotis mutica","entire","8","e"
"fox san miguel island","urocyon littoralis littoralis","entire","8","e"
"fox san nicolas island","urocyon littoralis dickeyi","entire","1","not listed"
"fox santa catalina island","urocyon littoralis catalinae","entire","8","e"
"fox santa cruz island","urocyon littoralis santacruzae","entire","8","e"
"fox santa rosa island","urocyon littoralis santarosae","entire","8","e"
"fox sierra nevada red","vulpes vulpes necator","entire","8","ur"
