"english","french","romanian","german","latin"
"tree pipit","pipit des arbres","f&acirc;să de pădure","baumpieper","anthus trivialis"
"meadow pipit","pipit farlouse","f&acirc;să de luncă","wiesenpieper","anthus pratensis"
"red-throated pipit","pipit a gorge rousse","f&acirc;să roşiatică","rotkehlpieper","anthus cervinus"
"water pipit","pipit spioncelle","f&acirc;să de munte","bergpieper","anthus spinoletta"
"passeriformes: regulidae","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"goldcrest","roitelet hupp&eacute;","auşel cu cap galben","wintergoldh&auml;hnchen","regulus regulus"
"firecrest","roitelet a triple bandeau","auşel spr&acirc;ncenat","sommergoldh&auml;hnchen","regulus ignicapillus"
"passeriformes: bombycillidae","passeriformes: bombycillidae","&nbsp;","&nbsp;","&nbsp;"
"bohemian waxwing","jaseur bor&eacute;al","mătăsar","seidenschwanz","bombycilla garrulus"
"passeriformes: cinclidae","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"white-throated dipper","cincle plongeur","pescărel negru","wasseramsel","cinclus cinclus"
"passeriformes: troglodytidae","passeriformes: troglodytidae","&nbsp;","&nbsp;","&nbsp;"
"winter wren","troglodyte mignon","ochiuboului","zaunk&ouml;nig","troglodytes troglodytes"
"passeriformes: prunellidae","passeriformes: prunellidae","&nbsp;","&nbsp;","&nbsp;"
"alpine accentor","accenteur alpin","brumăriţă de st&acirc;ncă","alpenbraunelle","prunella collaris"
"dunnock","accenteur mouchet","brumăriţă de pădure","heckenbraunelle","prunella modularis"
"passeriformes: turdidae","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"rufous-tailed rock-thrush","monticole merle-de-roche","mierlă de piatră","steinr&ouml;tel","monticola saxatilis"
"blue rock-thrush","monticole merle-bleu","mierlă albastră","blaumerle","monticola solitarius"
"scaly thrush","grive dor&eacute;e","&nbsp;","erddrossel","zoothera dauma"
"ring ouzel","merle a plastron","mierlă gulerată","ringdrossel","turdus torquatus"
"eurasian blackbird","merle noir","mierlă","amsel","turdus merula"
"dark-throated thrush","grive a gorge rousse","&nbsp;","bechsteindrossel","turdus ruficollis"
"fieldfare","grive litorne","cocoşar","wacholderdrossel","turdus pilaris"
"redwing","grive mauvis","sturzul viilor","rotdrossel","turdus iliacus"
"song thrush","grive musicienne","sturz c&acirc;ntător","singdrossel","turdus philomelos"
"mistle thrush","grive draine","sturz de v&acirc;sc","misteldrossel","turdus viscivorus"
"passeriformes: sylviidae","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"cetti s warbler","bouscarle de cetti","stufărică","seidens&auml;nger","cettia cetti"
"grasshopper warbler","locustelle tachet&eacute;e","greluşel pătat","feldschwirl","locustella naevia"
"eurasian river warbler","locustelle fluviatile","greluşel de zăvoi","schlagschwirl","locustella fluviatilis"
"savi s warbler","locustelle luscinio&iuml;de","greluşel de zăvoi","rohrschwirl","locustella luscinioides"
"moustached warbler","lusciniole a moustaches","privighetoare de baltă","mariskens&auml;nger","acrocephalus melanopogon"
"aquatic warbler","phragmite aquatique","lăcar de pipirig","seggenrohrs&auml;nger","acrocephalus paludicola"
"sedge warbler","phragmite des joncs","lăcar mic","schilfrohrs&auml;nger","acrocephalus schoenobaenus"
"paddyfield warbler","rousserolle isabelle","lăcar cafeniu","feldrohrs&auml;nger","acrocephalus agricola"
"eurasian reed-warbler","rousserolle effarvatte","lăcar de stuf","teichrohrs&auml;nger","acrocephalus scirpaceus"
"blyth s reed-warbler","rousserolle des buissons","lăcar nordic","buschrohrs&auml;nger","acrocephalus dumetorum"
"marsh warbler","rousserolle verderolle","lăcar de mlaştină","sumpfrohrs&auml;nger","acrocephalus palustris"
"great reed-warbler","rousserolle turdo&iuml;de","lăcar mare","drosselrohrs&auml;nger","acrocephalus arundinaceus"
"eastern olivaceous warbler","hypola&iuml;s p&acirc;le","frunzăriţă cenuşie","bla&szlig;sp&ouml;tter","hippolais pallida"
"olive-tree warbler","hypola&iuml;s des oliviers","frunzăriţă balcanică","olivensp&ouml;tter","hippolais olivetorum"
"icterine warbler","hypola&iuml;s ict&eacute;rine","frunzăriţă galbenă","gelbsp&ouml;tter","hippolais icterina"
"willow warbler","pouillot fitis","pitulice fluierătoare","fitis","phylloscopus trochilus"
"common chiffchaff","pouillot v&eacute;loce","pitulice mică","zilpzalp","phylloscopus collybita"
"western bonelli s warbler","pouillot de bonelli","&nbsp;","berglaubs&auml;nger","phylloscopus bonelli"
"eastern bonelli s warbler","pouillot oriental","pitulice balcanică","berg-laubs&auml;nger-orientalis","phylloscopus orientalis"
"wood warbler","pouillot siffleur","pitulice sf&acirc;r&acirc;itoare","waldlaubs&auml;nger","phylloscopus sibilatrix"
"greenish warbler","pouillot verd&acirc;tre","pitulice verzuie","gr&uuml;nlaubs&auml;nger","phylloscopus trochiloides"
"blackcap","fauvette a tete noire","silvie cu cap negru","m&ouml;nchsgrasm&uuml;cke","sylvia atricapilla"
"garden warbler","fauvette des jardins","silvie de zăvoi","gartengrasm&uuml;cke","sylvia borin"
"greater whitethroat","fauvette grisette","silvie de c&acirc;mp","dorngrasm&uuml;cke","sylvia communis"
"lesser whitethroat","fauvette babillarde","silvie mică","klappergrasm&uuml;cke","sylvia curruca"
"barred warbler","fauvette &eacute;perviere","silvie porumbacă","sperbergrasm&uuml;cke","sylvia nisoria"
"rueppell s warbler","fauvette de r&uuml;ppell","silvie cu g&acirc;t negru","maskengrasm&uuml;cke","sylvia rueppelli"
"subalpine warbler","fauvette passerinette","silvie roşcată","wei&szlig;bart-grasm&uuml;cke","sylvia cantillans"
"sardinian warbler","fauvette m&eacute;lanoc&eacute;phale","silvie mediteraneană","samtkopf-grasm&uuml;cke","sylvia melanocephala"
"passeriformes: muscicapidae","passeriformes: muscicapidae","&nbsp;","&nbsp;","&nbsp;"
"spotted flycatcher","gobemouche gris","muscar sur","grauschn&auml;pper","muscicapa striata"
"european pied flycatcher","gobemouche noir","muscar negru","trauerschn&auml;pper","ficedula hypoleuca"
"collared flycatcher","gobemouche a collier","muscar gulerat","halsbandschn&auml;pper","ficedula albicollis"
"red-breasted flycatcher","gobemouche nain","muscar mic","zwergschn&auml;pper-parva","ficedula parva"
"european robin","rougegorge familier","pietrusel","rotkehlchen","erithacus rubecula"
"thrush nightingale","rossignol progn&eacute;","privighetoare de zăvoi","sprosser","luscinia luscinia"
"common nightingale","rossignol philomele","privighetoare roşcată","nachtigall","luscinia megarhynchos"
"bluethroat","gorgebleue a miroir","guşă v&acirc;nătă","blaukehlchen","luscinia svecica"
"rufous-tailed scrub-robin","agrobate roux","măcăleandru roşcat","heckens&auml;nger","cercotrichas galactotes"
"black redstart","rougequeue noir","codroş de munte","hausrotschwanz","phoenicurus ochruros"
"common redstart","rougequeue a front blanc","codroş de pădure","gartenrotschwanz","phoenicurus phoenicurus"
"whinchat","tarier des pr&eacute;s","mărăcinar mare","braunkehlchen","saxicola rubetra"
"european stonechat","tarier p&acirc;tre","mărăcinar negru","schwarzkehlchen-rubicola","saxicola rubicola"
"northern wheatear","traquet motteux","pietrar sur","steinschm&auml;tzer","oenanthe oenanthe"
"pied wheatear","traquet pie","pietrar negru","nonnenschm&auml;tzer","oenanthe pleschanka"
"black-eared wheatear","traquet oreillard","pietrar mediteranean","mittelmeerschm&auml;tzer","oenanthe hispanica"
"isabelline wheatear","traquet isabelle","pietrar răsăritean","isabellschm&auml;tzer","oenanthe isabellina"
"passeriformes: paradoxornithidae","passeriformes: paradoxornithidae","&nbsp;","&nbsp;","&nbsp;"
"bearded reedling","panure a moustaches","piţigoi de stuf","bartmeise","panurus biarmicus"
"passeriformes: aegithalidae","passeriformes: aegithalidae","&nbsp;","&nbsp;","&nbsp;"
"long-tailed tit","m&eacute;sange a longue queue","piţigoi codat","schwanzmeise","aegithalos caudatus"
"passeriformes: paridae","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"sombre tit","m&eacute;sange lugubre","piţigoi de livadă","trauermeise","poecile lugubris"
"marsh tit","m&eacute;sange nonnette","piţigoi sur","sumpfmeise","poecile palustris"
"willow tit","m&eacute;sange bor&eacute;ale","piţigoi de munte","weidenmeise","poecile montana"
"coal tit","m&eacute;sange noire","piţigoi de brădet","tannenmeise","periparus ater"
"crested tit","m&eacute;sange hupp&eacute;e","piţigoi moţat","haubenmeise","lophophanes cristatus"
"great tit","m&eacute;sange charbonniere","piţigoi mare","kohlmeise","parus major"
"blue tit","m&eacute;sange bleue","piţigoi albastru","blaumeise","cyanistes caeruleus"
"azure tit","m&eacute;sange azur&eacute;e","piţigoi azuriu","lasurmeise","cyanistes cyanus"
"passeriformes: sittidae","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"eurasian nuthatch","sittelle torchepot","ţiclean","kleiber","sitta europaea"
"passeriformes: tichodromidae","passeriformes: tichodromidae","&nbsp;","&nbsp;","&nbsp;"
"wallcreeper","tichodrome &eacute;chelette","fluturaş de st&acirc;ncă","mauerl&auml;ufer","tichodroma muraria"
"passeriformes: certhiidae","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"eurasian treecreeper","grimpereau des bois","cojoaică de pădure","waldbauml&auml;ufer","certhia familiaris"
"short-toed treecreeper","grimpereau des jardins","cojoaică cu degete scurte","gartenbauml&auml;ufer","certhia brachydactyla"
"passeriformes: remizidae","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"eurasian penduline-tit","r&eacute;miz penduline","boicuş","beutelmeise","remiz pendulinus"
"passeriformes: oriolidae","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"eurasian golden oriole","loriot d europe","grangur","pirol","oriolus oriolus"
"passeriformes: laniidae","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"red-backed shrike","pie-grieche &eacute;corcheur","sfr&acirc;ncioc roşiatic","neunt&ouml;ter","lanius collurio"
"northern shrike","pie-grieche grise","sfr&acirc;ncioc mare","raubw&uuml;rger","lanius excubitor"
"lesser gray shrike","pie-grieche a poitrine rose","sfr&acirc;ncioc cu frunte neagră","schwarzstirnw&uuml;rger","lanius minor"
"woodchat shrike","pie-grieche a tete rousse","sfr&acirc;ncioc cu cap roşu","rotkopfw&uuml;rger","lanius senator"
"passeriformes: corvidae","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"eurasian jay","geai des chenes","gaiţă","eichelh&auml;her","garrulus glandarius"
"eurasian magpie","pie bavarde","coţofană","elster","pica pica"
"eurasian nutcracker","cassenoix mouchet&eacute;","alunar","tannenh&auml;her","nucifraga caryocatactes"
"eurasian jackdaw","choucas des tours","st&acirc;ncuţă","dohle","corvus monedula"
"rook","corbeau freux","cioară de semănătură","saatkr&auml;he","corvus frugilegus"
"carrion crow","corneille noire","cioară neagră","aaskr&auml;he","corvus corone"
"common raven","grand corbeau","corb","kolkrabe","corvus corax"
"hooded crow","corneille mantel&eacute;e","cioară grivă","nebelkr&auml;he","corvus cornix"
"passeriformes: sturnidae","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"rosy starling","&eacute;tourneau roselin","lăcustar","rosenstar","sturnus roseus"
"european starling","&eacute;tourneau sansonnet","graur","star","sturnus vulgaris"
"passeriformes: emberizidae","passeriformes: emberizidae","&nbsp;","&nbsp;","&nbsp;"
"yellowhammer","bruant jaune","presură galbenă","goldammer","emberiza citrinella"
"cirl bunting","bruant zizi","presură bărboasă","zaunammer","emberiza cirlus"
"rock bunting","bruant fou","presură de munte","zippammer","emberiza cia"
"ortolan bunting","bruant ortolan","presură de grădină","ortolan","emberiza hortulana"
"black-headed bunting","bruant m&eacute;lanoc&eacute;phale","presură cu cap negru","kappenammer","emberiza melanocephala"
"reed bunting","bruant des roseaux","presură de stuf","rohrammer","emberiza schoeniclus"
"corn bunting","bruant proyer","presură sură","grauammer","emberiza calandra"
"lapland longspur","bruant lapon","presură de tundră","spornammer","calcarius lapponicus"
"snow bunting","bruant des neiges","pasărea omătului","schneeammer","plectrophenax nivalis"
"passeriformes: fringillidae","passeriformes: fringillidae","&nbsp;","&nbsp;","&nbsp;"
"chaffinch","pinson des arbres","cinteză","buchfink","fringilla coelebs"
"brambling","pinson du nord","cinteză de iarnă","bergfink","fringilla montifringilla"
"common rosefinch","roselin cramoisi","mugurar roşu","karmingimpel","carpodacus erythrinus"
"parrot crossbill","bec-crois&eacute; perroquet","forfecar","kiefernkreuzschnabel","loxia pytyopsittacus"
"red crossbill","bec-crois&eacute; des sapins","forfecuţă","fichtenkreuzschnabel","loxia curvirostra"
"white-winged crossbill","bec-crois&eacute; bifasci&eacute;","forfecuţă bălţată","bindenkreuzschnabel","loxia leucoptera"
"european greenfinch","verdier d europe","florinte","gr&uuml;nling","carduelis chloris"
"common redpoll","sizerin flamm&eacute;","inăriţă","birkenzeisig","carduelis flammea"
"hoary redpoll","sizerin blanch&acirc;tre","inăriţă de tundră","polar-birkenzeisig","carduelis hornemanni"
"eurasian siskin","tarin des aulnes","scatiu","erlenzeisig","carduelis spinus"
"european goldfinch","chardonneret &eacute;l&eacute;gant","sticlete","stieglitz","carduelis carduelis"
"twite","linotte a bec jaune","inăriţă cu cioc galben","bergh&auml;nfling","carduelis flavirostris"
"eurasian linnet","linotte m&eacute;lodieuse","c&acirc;nepar","bluth&auml;nfling","carduelis cannabina"
"european serin","serin cini","cănăraş","girlitz","serinus serinus"
"eurasian bullfinch","bouvreuil pivoine","mugurar","gimpel","pyrrhula pyrrhula"
"hawfinch","gros-bec casse-noyaux","botgros","kernbeisser","coccothraustes coccothraustes"
"passeriformes: passeridae","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"house sparrow","moineau domestique","vrăbie de casă","haussperling","passer domesticus"
"spanish sparrow","moineau espagnol","vrăbie negricioasă","weidensperling","passer hispaniolensis"
"eurasian tree sparrow","moineau friquet","vrăbie de c&acirc;mp","feldsperling","passer montanus"
"rock petronia","moineau soulcie","vrăbie de st&acirc;ncă","steinsperling","petronia petronia"
"white-winged snowfinch","niverolle alpine","cinghiţă alpină","schneefink","montifringilla nivalis"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"plants","plantes","plante","pflanzen","plantae"
"corn poppy","pavot coquelicot","mac rosu","klatschmohn","papaver rhoeas"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
