"institution","location","degrees"
"university of southern california (geography)","los angeles","certificate ba ms phd online"
"university of southern california (oceanography)","los angeles","ms phd"
"university of southern indiana (geology)","evansville","bs"
"university of southern maine (geology)","gorham","ba bs"
"university of southern maine (geography)","gorham","certificate ba"
"university of southern mississippi (geology)","hattiesburg","certificate bs ms"
"university of southern mississippi (oceanography)","hattiesburg","bs ms phd"
"university of st. thomas (geology)","st. paul","ba bs"
"university of st. thomas (geography)","st. paul","ba"
"university of tennessee - chattanooga (geology)","chattanooga","bs"
"university of tennessee - chattanooga (geography)","chattanooga","ba bs"
"university of tennessee - knoxville (geology)","knoxville","bs ms phd"
"university of tennessee - knoxville (geography)","knoxville","ba bs ms phd"
"university of tennessee - martin (geology)","martin","certificate bs"
"university of texas - arlington (geology)","arlington","certificate ba bs ms"
"university of texas - austin (geology)","austin","ba bs ma ms phd"
"university of texas - austin (geography)","austin","ba ma phd"
"university of texas - austin (oceanography)","austin","bs ms phd"
"university of texas - dallas (geology)","dallas","certificate ba bs ms phd"
"university of texas - dallas (geography)","dallas","certificate ba ms phd"
"university of texas - el paso (geology)","el paso","ba bs ms phd"
"university of texas - san antonio (geology)","san antonio","certificate ba bs ms"
"university of texas - san antonio (geography)","san antonio","ba"
"university of texas of the permian basin (geology)","odessa","bs"
"university of the pacific (geology)","stockton","ba bs"
"university of toledo (geology)","toledo","bs ms"
"university of toledo (geography)","toledo","certificate ba ma phd"
"university of utah (geology)","salt lake city","bs ms phd"
"university of utah (geography)","salt lake city","certificate ba bs ma ms phd"
"university of vermont (geology)","burlington","ba bs ms"
"university of vermont (geography)","burlington","ba"
"university of washington (geology)","seattle","ba bs ms phd"
"university of washington (geography)","seattle","ba ma phd"
"university of washington (oceanography)","seattle","bs ms phd"
"university of west florida (oceanography)","pensacola","bs"
"university of west georgia (geology)","carrollton","certificate ba bs"
"university of western florida (geography)","pensacola","certificate online"
"university of wisconsin - madison (geology)","madison","ba bs ms phd"
"university of wisconsin - madison (geography)","madison","certificate ba bs ms phd"
"university of wisconsin - milwaukee (geology)","milwaukee","ba bs ms phd"
"university of wisconsin - milwaukee (geography)","milwaukee","certificate ba bs ma ms phd"
"university of wisconsin - platteville (geography)","platteville","ba bs"
"university of wisconsin - river falls (geology)","river falls","bs"
"university of wisconsin - river falls (geography)","river falls","ba"
"university of wisconsin - stevens point (geology)","stevens point","ba bs"
"university of wisconsin - whitewater (geography)","whitewater","certificate ba bs"
"university of wisconsin – eau claire (geology)","eau claire","ba bs"
"university of wisconsin – eau claire (geography)","eau claire","ba bs"
"university of wisconsin – green bay (geology)","green bay","bs"
"university of wisconsin – la crosse (geography)","la crosse","certificate ba bs"
"university of wisconsin – oshkosh (geology)","oshkosh","bs"
"university of wisconsin – oshkosh (geography)","oshkosh","bs"
"university of wisconsin – parkside (geology)","kenosha","bs"
"university of wisconsin – parkside (geography)","kenosha","certificate ba"
"university of wyoming (geology)","laramie","ba bs ms phd"
"university of wyoming (geography)","laramie","ba bs ma"
"utah state university (geology)","logan","bs ms phd"
"utah state university (geography)","logan","bs ms"
"utah valley university (geology)","orem","certificate bs"
"utica college (geology)","utica","ba bs"
"valparaiso university (geology)","valparaiso","ba bs"
"vanderbilt university (geology)","nashville","ba ms phd"
"vassar college (geology)","poughkeepsie","ba"
"villanova university (geography)","villanova","ba"
"virginia polytechnic institute and state university (geology)","blacksburg","bs ms phd"
"virginia polytechnic institute and state university (geography)","blacksburg","certificate ba ms phd"
"washington and lee university (geology)","lexington","ba bs"
"washington state university (geology)","pullman","bs ms phd"
"washington university in saint louis (geology)","st. louis","ba ma phd"
"wayland baptist university (geology)","plainview","ba bs"
"wayne state college (geography)","wayne","ba bs"
"wayne state university (geology)","detroit","ba bs ms"
"weber state university (geology)","ogden","certificate bs"
"weber state university (geography)","ogden","ba bs"
"wellesley college (geology)","wellesley","ba"
"wesleyan university (geology)","middletown","ba ma"
"west chester university of pennsylvania (geology)","west chester","bs ma"
"west chester university of pennsylvania (geography)","west chester","ba"
"west texas a&m university (geology)","canyon","ba bs"
"west virginia university (geology)","morgantown","ba bs ms phd"
"western carolina university (geology)","cullowhee","bs"
"western illinois university (geology)","macomb","bs"
"western illinois university (geography)","macomb","certificate bs ma"
"western kentucky university (geology)","bowling green","certificate ba bs ms"
"western michigan university (geology)","kalamazoo","ba bs ma ms phd"
"western michigan university (geography)","kalamazoo","ba bs ma"
"western oregon university (geology)","monmouth","ba bs"
"western oregon university (geography)","monmouth","ba bs"
"western state college of colorado (array)","gunnison","ba"
"western washington university (geography)","bellingham","ba ms"
"western washington university (geology)","bellingham","ba bs ms"
"westfield state university (geography)","westfield","bs"
"wheaton college (geology)","wheaton","ba bs"
"whitman college (geology)","walla walla","ba"
"wichita state university (geology)","wichita","ba bs ms"
"william paterson university (geography)","wayne","ba"
"williams college (geology)","williamstown","ba"
"winona state university (geology)","winona","ba bs"
"wittenberg university (geology)","springfield","ba bs"
"wittenberg university (geography)","springfield","ba"
"worcester state university (geography)","worcester","bs"
"wright state university (geology)","dayton","ba bs ms"
"wright state university (geography)","dayton","certificate ba bs"
"yale university (geology)","new haven","ba bs phd"
"york college - cuny (geology)","jamaica","bs"
"youngstown state university (geology)","youngstown","certificate ba bs"
"youngstown state university (geography)","youngstown","certificate ba"
