"name","h&ouml;he","schartenh&ouml;he","dominanz","x-koordinate","y-koordinate","region","karte","mapplus","bericht"
"cima da l&auml;gh","3083","434","2.3","NULL","NULL","NULL","1275 campodolcino","NULL","NULL"
"piz predarossa","3083","96","0.4","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"piz corviglia","3083","40","0.4","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz minger","3081","20","0.05","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"corn boval","3080","40","0.05","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"logia","3079","141","1.3","NULL","NULL","NULL","1253 olivone","NULL","NULL"
"creista da fedoz","3079","90","0.95","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"piz porchabella","3079","143","1","NULL","NULL","NULL","1237 albulapass","NULL","NULL"
"breite krone","3079","121","0.9","NULL","NULL","NULL","1179 samnaun","NULL","NULL"
"piz surpare","3078","250","1.6","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"zahnturm","3078","30","0.1","NULL","NULL","NULL","1179 samnaun","NULL","NULL"
"piz val lunga","3078","84","0.55","NULL","NULL","NULL","1236 savognin","NULL","NULL"
"ch&uuml;ealphorn","3077","471","3.9","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"chli t&ouml;di / crap glaruna","3076","84","1.2","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"piz starlex","3075","779","4.85","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"crispalt","3075","132","1.45","NULL","NULL","NULL","1212 amsteg","NULL","NULL"
"piz sena","3075","344","5.2","NULL","NULL","NULL","1277 la r&ouml;sa","NULL","NULL"
"piz posta biala","3074","260","1.9","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"crasta jenatsch","3073","15","0.15","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"corn suvretta","3072","127","1.7","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"piz chaschauna","3070","254","4.45","NULL","NULL","NULL","1238 piz quattervals","NULL","NULL"
"piz minschun","3068","269","3.2","NULL","NULL","NULL","1199 scuol","NULL","NULL"
"piz tantermozza","3068","83","0.9","NULL","NULL","NULL","1238 piz quattervals","NULL","NULL"
"scalettahorn","3068","88","0.95","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"piz rims","3067","32","0.55","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"sass queder","3066","62","0.55","NULL","NULL","NULL","1277 piz bernina","NULL","NULL"
"piz rad&ouml;nt","3065","182","1.9","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"cresta da caral","3065","10","0.05","NULL","NULL","NULL","1278 la r&ouml;sa","NULL","NULL"
"piz urezzas","3065","12","0.05","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"piz viroula","3064","102","0.85","NULL","NULL","NULL","1237 albulapass","NULL","NULL"
"piz cazarauls","3063","63","0.9","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"hoch ducan","3063","324","4.15","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"fil liung","3062","62","1.5","NULL","NULL","NULL","1233 greina","NULL","NULL"
"cima dei cogn","3062","101","1.3","NULL","NULL","NULL","1274 mesocco","NULL","NULL"
"piz dal diavel","3062","176","1.3","NULL","NULL","NULL","1238 piz quattervals","NULL","NULL"
"giuvst&ouml;ckli","3061","104","0.95","NULL","NULL","NULL","1212 amsteg","NULL","NULL"
"piz bial","3061","112","2.4","NULL","NULL","NULL","1237 albulapass","NULL","NULL"
"piz grisch","3060","545","7.25","NULL","NULL","NULL","1255 sp&uuml;genpass","NULL","NULL"
"piz nair","3059","229","1.3","NULL","NULL","NULL","1212 amsteg","NULL","NULL"
"piz lavirun","3058","216","2","NULL","NULL","NULL","1258 la stretta","NULL","NULL"
"verstanclach&ouml;pf","3058","61","1.05","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"piz fier","3058","152","1.6","NULL","NULL","NULL","1238 piz quattervals","NULL","NULL"
"piz nair","3057","184","1.25","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz dals cotschens","3057","60","0.65","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"westliches pan&auml;rahorn","3057","92","0.55","NULL","NULL","NULL","1175 v&auml;ttis","NULL","NULL"
"bruschghorn","3056","570","13.85","NULL","NULL","NULL","1235 andeer","NULL","NULL"
"cima di fornee","3056","54","0.9","NULL","NULL","NULL","1253 olivone","NULL","NULL"
"&uuml;sser wissberg","3053","236","3.3","NULL","NULL","NULL","1255 sp&uuml;genpass","NULL","NULL"
"piz piot","3053","125","2.3","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"piz d&#8217;alp val","3053","83","0.95","NULL","NULL","NULL","1236 savognin","NULL","NULL"
"pizzo rosso","3052","51","0.4","NULL","NULL","NULL","1275 campodolcino","NULL","NULL"
"piz forun","3052","458","3.2","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"piz cucarnegl","3051","42","0.4","NULL","NULL","NULL","NULL","NULL","NULL"
"piz val nova","3051","26","0.4","NULL","NULL","NULL","1233 greina","NULL","NULL"
"piz tiatscha","3051","20","0.2","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"piz minor","3049","573","3.1","NULL","NULL","NULL","1258 la stretta","NULL","NULL"
"piz dal teo","3049","208","2.2","NULL","NULL","NULL","1277 la r&ouml;sa","NULL","NULL"
"lorenzhorn","3048","179","2.35","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"piz san jon dadora","3048","42","0.55","NULL","NULL","NULL","1199 scuol","NULL","NULL"
"piz saliente","3048","186","1.45","NULL","NULL","NULL","1238 piz quattervals","NULL","NULL"
"piz faschalba","3048","68","1.05","NULL","NULL","NULL","1179 samnaun","NULL","NULL"
"cima da spl&uuml;ga","3046","89","0.6","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"piz laschadurella","3046","232","2.5","NULL","NULL","NULL","1218 zernez","NULL","NULL"
"piz cotschen","3046","85","1.4","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"piz mungiroi","3046","42","0.45","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"piz magliavachas","3044","34","0.5","NULL","NULL","NULL","1239 sta maria","NULL","NULL"
"piz bles","3044","160","2","NULL","NULL","NULL","1275 campodolcino","NULL","NULL"
"las set r&ouml;sa","3044","87","0.7","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"bocktenhorn","3044","196","2.4","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"t&auml;ligrat","3043","112","1.1","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"furggeltihorn","3043","180","2.1","NULL","NULL","NULL","1253 olivone","NULL","NULL"
"piz triazza","3043","46","1","NULL","NULL","NULL","1199 scuol","NULL","NULL"
"piz zavretta","3043","20","1.4","NULL","NULL","NULL","1237 albulapass","NULL","NULL"
"piz murtera","3043","458","3.5","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"vernokh&ouml;rner","3043","175","2.65","NULL","NULL","NULL","1233 greina","NULL","NULL"
"piz clemgia","3042","85","0.45","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"piz viluoch","3042","141","1.5","NULL","NULL","NULL","1237 albulapass","NULL","NULL"
"piz dals lejs","3041","108","0.7","NULL","NULL","NULL","1258 la stretta","NULL","NULL"
"plattenberg","3041","121","2.6","NULL","NULL","NULL","1253 olivone","NULL","NULL"
"chilchalphorn","3039","191","2.1","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"alpersch&auml;llihorn","3039","425","4.9","NULL","NULL","NULL","1235 andeer","NULL","NULL"
"piz gannaretsch","3039","930","5.55","NULL","NULL","NULL","1232 oberalppass","NULL","NULL"
"chli ruchi","3039","38","0.5","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"piz piot (westgipfel)","3038","40","0.5","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"piz malmurainza","3038","229","1.45","NULL","NULL","NULL","1179 samnaun","NULL","NULL"
"piz baratin","3037","40","0.55","NULL","NULL","NULL","1253 olivone","NULL","NULL"
"piz bianch","3036","55","1.1","NULL","NULL","NULL","1274 mesocco","NULL","NULL"
"gelbhorn / piz mellen","3035","90","1.05","NULL","NULL","NULL","1235 andeer","NULL","NULL"
"piz da l&#8217;aua","3035","89","0.7","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"caciadur","3034","93","0.6","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"sulnerspitz","3034","39","0.65","NULL","NULL","NULL","1179 samnaun","NULL","NULL"
"corn margun","3034","62","0.85","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"cima di val bona","3033","66","1.15","NULL","NULL","NULL","1296 sciora","NULL","NULL"
"piz umbrail","3033","294","5.95","NULL","NULL","NULL","1239 sta maria","NULL","NULL"
"b&uuml;rkelchopf","3033","494","7.4","NULL","NULL","NULL","1159 ischgl","NULL","NULL"
"piz d&#8217;immez","3033","164","1.8","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"schwarzhorn","3032","35","0.5","NULL","NULL","NULL","1235 andeer","NULL","NULL"
"piz ursera","3032","59","2.25","NULL","NULL","NULL","1277 la r&ouml;sa","NULL","NULL"
"crasta d&#8217;albris","3032","10","0.1","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz arpschella","3032","109","1.85","NULL","NULL","NULL","1218 zernez","NULL","NULL"
"chlein seehorn","3031","169","0.65","NULL","NULL","NULL","1178 gross litzner","NULL","NULL"
"piz plattas (west)","3031","99","1.5","NULL","NULL","NULL","1218 zernez","NULL","NULL"
"piz s-chalambert dadaint","3031","722","5.4","NULL","NULL","NULL","1199 scuol","NULL","NULL"
"sassal mason","3031","200","1.75","NULL","NULL","NULL","1277 la r&ouml;sa","NULL","NULL"
"monte garone","3030","128","1.3","NULL","NULL","NULL","1258 la stretta","NULL","NULL"
"piz cotschen","3030","295","4.15","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"frunthorn","3030","291","2.7","NULL","NULL","NULL","1234 vals","NULL","NULL"
"breitstock","3030","60","1.25","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"bischofsspitze","3029","32","0.35","NULL","NULL","NULL","1179 samnaun","NULL","NULL"
"b&uuml;ndner vorab","3028","401","6.9","NULL","NULL","NULL","1194 flims","NULL","NULL"
"piz por","3028","739","5.05","NULL","NULL","NULL","1255 sp&uuml;genpass","NULL","NULL"
"trinserhorn / piz dolf","3028","252","2.05","NULL","NULL","NULL","1174 elm","NULL","NULL"
"piz dal ras","3028","252","2.8","NULL","NULL","NULL","1218 zernez","NULL","NULL"
"surettahorn","3027","180","1.6","NULL","NULL","NULL","1255 sp&uuml;genpass","NULL","NULL"
"piz d&#8217;arpiglias","3027","188","2.5","NULL","NULL","NULL","1218 zernez","NULL","NULL"
"muot da la pischa","3027","51","0.8","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz ault","3027","186","1","NULL","NULL","NULL","1212 amsteg","NULL","NULL"
"augstenh&uuml;reli","3027","162","0.7","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"piz davo lais","3026","219","2.15","NULL","NULL","NULL","1179 samnaun","NULL","NULL"
"pizzi dei rossi","3026","10","0.8","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"schwarzhorn","3025","71","1.3","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"punta rosa / r&ouml;tlspitz","3025","268","3.3","NULL","NULL","NULL","1239 bis m&uuml;stair","NULL","NULL"
"piz corbet / piz sevino","3025","670","7.9","NULL","NULL","NULL","1274 mesocco","NULL","NULL"
"piz gavirolas","3025","20","0.6","NULL","NULL","NULL","1193 t&ouml;di","NULL","NULL"
"r&ouml;stihorn","3024","64","0.4","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"piz sampuoir","3023","148","1.55","NULL","NULL","NULL","1218 zernez","NULL","NULL"
"piz dalla siala","3023","40","0.5","NULL","NULL","NULL","1233 greina","NULL","NULL"
"rad&uuml;ner rothorn","3022","138","0.9","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"faltschonhorn","3022","249","1.4","NULL","NULL","NULL","1234 vals","NULL","NULL"
"piz ftur","3022","126","0.75","NULL","NULL","NULL","1218 zernez","NULL","NULL"
"munt platta naira","3022","66","0.7","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"piz vallatscha","3021","173","1.8","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"monte san lorenzo","3021","30","0.6","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"piz castalegns","3021","49","0.45","NULL","NULL","NULL","1236 savognin","NULL","NULL"
"surettahorn","3020","15","0.15","NULL","NULL","NULL","1255 sp&uuml;genpass","NULL","NULL"
"rad&uuml;ner ch&ouml;pf","3020","50","0.35","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"piz fless","3020","128","1.3","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"tscheischhorn","3019","239","5.05","NULL","NULL","NULL","1275 campodolcino","NULL","NULL"
"piz murtelet","3019","188","1.7","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"gletscher ducan","3019","181","2.3","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"piz punt ota","3019","97","1","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"piz turba","3018","252","1.65","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"glarner vorab","3018","85","0.7","NULL","NULL","NULL","1194 flims","NULL","NULL"
"piz dei ross","3018","30","0.4","NULL","NULL","NULL","1274 mesocco","NULL","NULL"
"piz blas","3018","312","5.9","NULL","NULL","NULL","1232 oberalppass","NULL","NULL"
"piz nair","3018","45","0.7","NULL","NULL","NULL","1179 samnaun","NULL","NULL"
"torrone di garzora","3017","223","2.85","NULL","NULL","NULL","1233 greina","NULL","NULL"
"igl compass","3016","126","0.95","NULL","NULL","NULL","1237 albulapass","NULL","NULL"
"corn chamuotsch","3016","93","0.75","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"cima della sovrana","3016","56","1","NULL","NULL","NULL","1275 campodolcino","NULL","NULL"
"witenalpstock","3016","266","1.8","NULL","NULL","NULL","1212 amsteg","NULL","NULL"
"piz rondadura","3015","265","1.75","NULL","NULL","NULL","1232 oberalppass","NULL","NULL"
"cima di pian guarnei","3015","110","0.8","NULL","NULL","NULL","1274 mesocco","NULL","NULL"
"gemspleisspitze","3014","327","4.55","NULL","NULL","NULL","1179 samnaun","NULL","NULL"
"piz polaschin","3013","215","2.5","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz uffiern","3013","196","0.8","NULL","NULL","NULL","1232 oberalppass","NULL","NULL"
"plattenflue","3013","127","0.85","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"piz urschai (dadaoura)","3013","38","0.25","NULL","NULL","NULL","1198 silvretta","NULL","NULL"
"rotgr&auml;tli","3012","123","0.85","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"piz murters","3012","135","1.1","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"grauh&ouml;rner","3012","190","1.05","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"brichligplanggenstock","3011","20","0.25","NULL","NULL","NULL","1212 amsteg","NULL","NULL"
"piz nair","3009","237","2.6","NULL","NULL","NULL","1219 s-charl","NULL","NULL"
"piz larain","3009","156","1.7","NULL","NULL","NULL","1179 samnaun","NULL","NULL"
"las sours","3008","63","0.8","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"piz ravetsch","3007","292","2.3","NULL","NULL","NULL","1232 oberalppass","NULL","NULL"
"punta casana","3007","111","1","NULL","NULL","NULL","1238 piz quattervals","NULL","NULL"
"piz chazfora","3006","103","0.65","NULL","NULL","NULL","1239 sta maria","NULL","NULL"
"&auml;lpihorn","3005","425","4","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"h&ouml;hberghorn","3004","181","1.4","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"cima de val loga","3004","83","1.5","NULL","NULL","NULL","1254 hinterrhein","NULL","NULL"
"piz costainas","3004","199","2.6","NULL","NULL","NULL","1239 bis m&uuml;stair","NULL","NULL"
"piz schlattain","3004","47","0.5","NULL","NULL","NULL","1257 st. moritz","NULL","NULL"
"chlein ducan","3004","53","1.1","NULL","NULL","NULL","1217 scalettapass","NULL","NULL"
"mittler wissberg","3002","89","1","NULL","NULL","NULL","1256 bivio","NULL","NULL"
"pizzas d&#8217;anarosa","3002","366","1.5","NULL","NULL","NULL","1235 andeer","NULL","NULL"
"piz pala gronda","3002","106","1.05","NULL","NULL","NULL","1239 sta maria","NULL","NULL"
"piz da peder bucs","3002","40","0.35","NULL","NULL","NULL","1236 savognin","NULL","NULL"
"piz m&auml;der","3001","131","0.7","NULL","NULL","NULL","1276 val bregaglia","NULL","NULL"
"spi da laschadura","3001","66","1.4","NULL","NULL","NULL","1218 zernez","NULL","NULL"
"piz mezzaun","3000","214","5.3","NULL","NULL","NULL","NULL","NULL","NULL"
"crutschar&ouml;ls","3000","38","0.4","NULL","NULL","NULL","1256 bivio","NULL","NULL"
