"university name","country","state / province"
"university college utrecht","netherlands","NULL"
"erasmus university rotterdam","netherlands","NULL"
"stenden university emmen","netherlands","NULL"
"stenden university leeuwarden","netherlands","NULL"
"university of groningen","netherlands","NULL"
"utrecht university","netherlands","NULL"
"vu university amsterdam","netherlands","NULL"
"wageningen university and research centre","netherlands","NULL"
"university of amsterdam","netherlands","1012 wx"
"leiden university","netherlands","2300 ra"
"tilburg university","netherlands","5000 le"
"massey university: palmerston north campus","new zealand","NULL"
"auckland university of technology","new zealand","NULL"
"the university of waikato","new zealand","NULL"
"adekunle ajasin university","nigeria","NULL"
"ajayi crowther university","nigeria","NULL"
"american university of nigeria","nigeria","NULL"
"babcock university","nigeria","NULL"
"benue state university","nigeria","NULL"
"federal polytechnic mubi","nigeria","NULL"
"federal polytechnic oko","nigeria","NULL"
"federal university of technology akure","nigeria","NULL"
"niger delta university","nigeria","NULL"
"university of benin","nigeria","NULL"
"university of calabar","nigeria","NULL"
"university of ilorin","nigeria","NULL"
"university of jos","nigeria","NULL"
"usmanu danfodiyo university sokoto","nigeria","NULL"
"yaba college of technology","nigeria","NULL"
"university of ibadan","nigeria","NULL"
"abia state university","nigeria","abia"
"university of uyo","nigeria","akwa ibom state"
"nnamdi azikiwe university","nigeria","anambra"
"university of agriculture makurdi","nigeria","benue state"
"university of ado-ekiti","nigeria","ekiti state"
"enugu state university of science and technology","nigeria","enugu state"
"university of nigeria enugu campus","nigeria","enugu state"
"university of nigeria nsukka","nigeria","enugu state"
"university of abuja","nigeria","federal capital territory"
"federal polytechnic nekede","nigeria","imo state"
"federal university of technology owerri","nigeria","imo state"
"kaduna polytechnic","nigeria","kaduna state"
"bayero university","nigeria","kano state"
"federal polytechnic idah","nigeria","kogi state"
"kogi state university","nigeria","kogi state"
"federal polytechnic offa","nigeria","kwara state"
"university of lagos","nigeria","lagos state"
"olabisi onabanjo university","nigeria","ogun"
"tai solarin university of education","nigeria","ogun"
"ahmadu bello university","nigeria","ondo state state"
"obafemi awolowo university","nigeria","osun state"
"university of port harcourt","nigeria","rivers state"
"adamson university manila","philippines","NULL"
"nueva vizcaya state university","philippines","NULL"
"saint michael college of laguna","philippines","NULL"
"aklan state university: ibajay campus","philippines","NULL"
"philippine women university","philippines","NULL"
"polytechnic university of the philippines","philippines","NULL"
"sultan kudarat  state university: access campus","philippines","NULL"
"sultan kudarat state university: isulan","philippines","NULL"
"sultan kudarat state university: tacurong campus","philippines","NULL"
"university of antique","philippines","antique"
"sti college tanauan","philippines","batangas"
"baliuag university","philippines","bulacan"
"de la salle university - dasmarinas (dlsu-d)","philippines","cavite"
"university of san carlos","philippines","cebu"
"mariano marcos state university","philippines","ilocos norte"
"saint louis college of san fernando city","philippines","la union"
"university of santo tomas","philippines","manila"
"la consolacion college manila","philippines","metro manila"
"technological institute of the philippines quezon city","philippines","metro manila"
"central luzon state university","philippines","nueva ecija"
"divine word college of calapan","philippines","oriental mindoro"
"lyceum northwestern university dagupan","philippines","pangasinan"
"pangasinan state university bayambang","philippines","pangasinan"
"university of luzon dagupan","philippines","pangasinan"
"sultan kudarat state university: glan campus","philippines","sarangani"
"holy trinity college of general santos city","philippines","south cotabato"
"de la salle university lipa","philippines","southern tagalo"
"columban college olongapo city","philippines","zambales"
"agh university of science and technology","poland","NULL"
"jagiellonian university in krakow","poland","NULL"
"lodz university","poland","NULL"
"technical university of lodz","poland","NULL"
"warsaw university of life sciences","poland","NULL"
"wyzsza szkola biznesu - national louis university w nowym saczu","poland","NULL"
"poznan university of mangement and banking","poland","NULL"
"poznan university of technology","poland","NULL"
"university of gdansk","poland","NULL"
"warsaw university","poland","NULL"
"polytechnic university of puerto rico","puerto rico","NULL"
"pontifical catholic university of puerto rico","puerto rico","NULL"
"humacao community college","puerto rico","puerto rico"
"interamerican university fajardo campus","puerto rico","puerto rico"
"national university college","puerto rico","puerto rico"
"sacred heart university","puerto rico","puerto rico"
"university of puerto rico carolina campus","puerto rico","puerto rico"
"university of puerto rico ponce campus","puerto rico","puerto rico"
"university of puerto rico bayamon","puerto rico","puerto rico"
"university of puerto rico: humacao campus","puerto rico","puerto rico"
"university of puerto rico: mayaguez campus","puerto rico","puerto rico"
"university of the east","puerto rico","puerto rico"
"sterlitamak pedagogical college","russia","NULL"
"academy of labor and social relations krasnoyarsk affiliate","russia","NULL"
"bashkir state agrarian university","russia","NULL"
"bashkir state agrarian university zauralsky affiliate","russia","NULL"
"bashkir state pedagogical  university","russia","NULL"
"bashkir state university","russia","NULL"
"bashkir state university  neftekamsk affiliate","russia","NULL"
"bashkir state university sterlitamak institute","russia","NULL"
"bashkir state university uchaly affiliate","russia","NULL"
"blagoveshchensk pedagogical college","russia","NULL"
"budget and treasury academy of the ministry of finance of the russian federation omsk affiliate","russia","NULL"
"cheboksary electrotechnical school of communication","russia","NULL"
"chelyabinsk institute of economics and law by m.v. ladoshin","russia","NULL"
"chelyabinsk state academy of culture and art","russia","NULL"
"chuvashian state pedagogical university by yakovlev","russia","NULL"
"college of professional technologies","russia","NULL"
"college of trade economy and service","russia","NULL"
"eastern  humanitarian academy of economics and law","russia","NULL"
"french russian institute of business administration","russia","NULL"
"higher school of economy affiliate perm","russia","NULL"
"institute of economics and finance","russia","NULL"
"krasnodar state university of technology","russia","NULL"
"krasnoyarsk  state agrarian university","russia","NULL"
"krasnoyarsk state aerospace university","russia","NULL"
"krasnoyarsk state institute of trade and economics","russia","NULL"
"krasnoyarsk state pedagogical university by v.p. astafyev","russia","NULL"
"kuban state university","russia","NULL"
"kuban state university of physical training sport and tourism","russia","NULL"
"kumertau mining college","russia","NULL"
"kursk institute of management economics and business","russia","NULL"
"kursk state agricultural academy","russia","NULL"
"kursk technical school of economy and law","russia","NULL"
"kuzbass state technical university novokuznetsk affiliate","russia","NULL"
"maykop state technological university","russia","NULL"
"moscow state region social humanitarian institute","russia","NULL"
"moscow state university of economics statistics and information krasnoyarsk affiliate","russia","NULL"
"moscow state university of technology and management meleuz affiliate","russia","NULL"
"nizhniy tagil mining and metallurgical college","russia","NULL"
"novosibirsk  state agrarian university","russia","NULL"
"novosibirsk state university","russia","NULL"
"omsk art-industrial college","russia","NULL"
"omsk institute of water transport (branch) fsei hpe  novosibirsk state academy of water transport","russia","NULL"
"omsk motor transportation college","russia","NULL"
"omsk state agrarian university tara affiliate","russia","NULL"
"omsk state institute of service","russia","NULL"
"omsk state pedagogical university","russia","NULL"
"omsk state technical university","russia","NULL"
"omsk state university by f.m. dostoevsky","russia","NULL"
"orenburg state university kumertay affiliate","russia","NULL"
"perm state medical academy","russia","NULL"
"perm state pedagogical university","russia","NULL"
"perm state pharmaceutical academy","russia","NULL"
"perm state technical institute","russia","NULL"
"perm state university","russia","NULL"
"rostov institute of the administration business and law","russia","NULL"
"russian customs academy saint-peterburg branch named after v.b.bobkov","russia","NULL"
"russian state social university affiliate cheboksary","russia","NULL"
"russian state social university affiliate ufa","russia","NULL"
"russian state university of tourism and service affiliate perm","russia","NULL"
"saint petersburg state agrarian university","russia","NULL"
"saint petersburg state engineering institute","russia","NULL"
"saint petersburg state university of film and television","russia","NULL"
"saint-petersburg state university of economics and finance","russia","NULL"
"sibaisky institute of bashkirian state university","russia","NULL"
"siberian academy of public administration","russia","NULL"
"siberian academy of state service","russia","NULL"
"siberian federal architecture and building institute","russia","NULL"
"siberian federal university","russia","NULL"
"siberian professional-pedagogical college","russia","NULL"
"siberian regional business school","russia","NULL"
"siberian state automobile and highway academy","russia","NULL"
"siberian state industrial university","russia","NULL"
"siberian state technological  university","russia","NULL"
"siberian state university of telecommunication and information","russia","NULL"
"siberian state university achinsk affiliate","russia","NULL"
"south ural state technical college","russia","NULL"
"southern federal university","russia","NULL"
"state university of management","russia","NULL"
"state university of management obninsk affiliate","russia","NULL"
"tomsk institute of business","russia","NULL"
"tomsk polytechnic university","russia","NULL"
"tomsk state pedagogical university","russia","NULL"
"tomsk state university","russia","NULL"
"tula state university","russia","NULL"
"ufa college of dress design and technology","russia","NULL"
"ufa state academy of service","russia","NULL"
"ufa trade and economic college","russia","NULL"
"ural academy of state service chelyabinsk affiliate","russia","NULL"
"ural institute of the economy of management and law","russia","NULL"
"ural state university of economics","russia","NULL"
"ural state university of economics kamensk- ural affiliate","russia","NULL"
"kemerovo state university novokuznetsk affiliate","russia","kemerovo region"
"kuzbass state pedagogical academy","russia","kemerovskaja oblast"
"afi/university of enterprise","senegal","NULL"
"african center of higher studies in management","senegal","NULL"
"dakar bourguiba university","senegal","NULL"
"free university of dakar","senegal","NULL"
"higher school of commerce and management","senegal","NULL"
"school of the foreign trade communication and business (eticca)","senegal","NULL"
"technical institute of commerce","senegal","NULL"
"university of bambey","senegal","NULL"
"university of thiès","senegal","NULL"
"african institute of management","senegal","NULL"
"business school of management dakar (sup de co)","senegal","NULL"
"suffolk university dakar","senegal","NULL"
"university cheikh anta diop (ucad)","senegal","NULL"
"university of ziguinchor","senegal","NULL"
"nanyang technological university","singapore","NULL"
"national university of singapore","singapore","NULL"
"ngee ann polytechnic","singapore","NULL"
"republic polytechnic","singapore","NULL"
"singapore management university","singapore","NULL"
"singapore polytechnic","singapore","NULL"
"temasek polytechnic","singapore","NULL"
"durban university of technology","south africa","NULL"
"monash south africa","south africa","NULL"
"tsiba education","south africa","NULL"
"university of pretoria","south africa","NULL"
"university of zululand","south africa","NULL"
"mangosuthu university of technology","south africa","NULL"
"rhodes university","south africa","NULL"
"stenden university south africa","south africa","NULL"
"tshwane university of technology","south africa","NULL"
"university of cape town","south africa","NULL"
"university of venda","south africa","NULL"
"walter sisulu university","south africa","NULL"
"university of fort hare","south africa","eastern cape"
"central university of technology","south africa","free state"
"university of the free state","south africa","free state"
"cida city campus","south africa","gauteng"
"university of johannesburg","south africa","gauteng"
"university of the witwatersrand","south africa","gauteng"
"vaal university of technology","south africa","gauteng"
"university of kwazulu-natal","south africa","kwazulu natal"
"north-west university","south africa","north west"
"university of limpopo","south africa","sovenga"
"nelson mandela metropolitan university","south africa","summerstrand"
"cape peninsula university of technology","south africa","western cape"
"university of stellenbosch","south africa","western cape"
"university of the western cape","south africa","western cape"
"ngwane teacher training college","swaziland","NULL"
"william pitcher teacher training college","swaziland","NULL"
"gwamile vocational and commercial training institute (voctim)","swaziland","NULL"
"nazarene college of education","swaziland","NULL"
"university of swaziland - kwaluseni","swaziland","NULL"
"university of swaziland - luyengo","swaziland","NULL"
"technological university of tajikistan dushanbe","tajikistan","NULL"
"the branch of moscow state university","tajikistan","NULL"
"institute of economy and trade of tajik state university of commerce","tajikistan","NULL"
"institute of entrepreneurship and service","tajikistan","NULL"
"khujand state university named after b. gafurov","tajikistan","NULL"
"tajik state national university","tajikistan","NULL"
"tajik state university of commerce dushanbe","tajikistan","NULL"
"tajik state university of law business and policy","tajikistan","NULL"
"tajik technical university named after m. osimi dushanbe","tajikistan","NULL"
"chaiyaphum rajabhat university","thailand","NULL"
"christian college","thailand","NULL"
"kasetsart university chalermphrakiat sakon nakhon campus","thailand","NULL"
"king mongkut's institute of technology ladkrabang","thailand","NULL"
"lampang inter-tech college","thailand","NULL"
"mahidol university salaya campus","thailand","NULL"
"nakhon si thammarat rajabhat university","thailand","NULL"
"naresuan university","thailand","NULL"
"nation university","thailand","NULL"
"north chiang mai university","thailand","NULL"
"prince of sonkla university: trang campus","thailand","NULL"
"rajamangala university of technology isan sakon nakhon campus","thailand","NULL"
"rajamangala university of technology lanna chiang mai","thailand","NULL"
"rajamangala university of technology thanyaburi","thailand","NULL"
"rajamangkala university of technology phra nakorn","thailand","NULL"
"rajaphat suratthani university","thailand","NULL"
"rangsit university","thailand","NULL"
"ratchapruek college","thailand","NULL"
"royal police cadet academy","thailand","NULL"
"sakon nakhon rajabhat university","thailand","NULL"
"siam university","thailand","NULL"
"sisaket rajabhat university","thailand","NULL"
"vongchavalitkul university","thailand","NULL"
"yala islamic university","thailand","NULL"
"yala rajabhat university","thailand","NULL"
"assumption university","thailand","NULL"
"chiang mai university","thailand","NULL"
"chulachomklao royal military academy","thailand","NULL"
"chulalongkorn university","thailand","NULL"
"hat yai university city college","thailand","NULL"
"kasetsart university","thailand","NULL"
"khon kaen university","thailand","NULL"
"king mongkut's university of technology thonburi","thailand","NULL"
"mae fah luang university","thailand","NULL"
"mahasarakham university","thailand","NULL"
"prince of songkla university: hat yai campus","thailand","NULL"
"prince of songkla university: surat thani campus","thailand","NULL"
"rajamangala university of technology isarn","thailand","NULL"
"srinakharinwirot university prasarnmit campus","thailand","NULL"
"thammasat university","thailand","NULL"
"the far eastern university","thailand","NULL"
"ubon ratchathani university","thailand","NULL"
"walailak university","thailand","NULL"
"maejo university","thailand","chiang mai"
"higher institute of commerce and accountancy of bizerte","tunisia","NULL"
"higher institute of computer science of el manar","tunisia","NULL"
"higher school of commerce of tunis","tunisia","NULL"
"higher school of communication of tunis","tunisia","NULL"
"higher school of economic and business sciences of tunis","tunisia","NULL"
"higher school of enterprise administration and accountancy","tunisia","NULL"
"higher school of fine arts of tunis","tunisia","NULL"
"higher school of sciences and technic of tunis","tunisia","NULL"
"institute of higher commercial studies of carthage","tunisia","NULL"
"mediterranean school of business","tunisia","NULL"
"national engineering school of monastir","tunisia","NULL"
"national institute of applied sciences and technology","tunisia","NULL"
"time university","tunisia","NULL"
"tunisia polytechnic school","tunisia","NULL"
"black sea state university named after petro mohyla","ukraine","NULL"
"donetsk national technical university","ukraine","NULL"
"kharkiv national university named after v.karazin","ukraine","NULL"
"khmelnytsky national university","ukraine","NULL"
"national aviation university","ukraine","NULL"
"national university of kyiv-mohyla academy","ukraine","NULL"
"national university of pharmacy","ukraine","NULL"
"university krok","ukraine","NULL"
"chernivtsi national university named after yury fedkovich","ukraine","NULL"
"donetsk state academy of management","ukraine","NULL"
"ivan franko national university of lviv","ukraine","NULL"
"kharkiv institute of banking of the university of banking of the national bank of ukraine","ukraine","NULL"
"kyiv national economic university named after vadim getman","ukraine","NULL"
"kyiv national university named after taras shevchenko","ukraine","NULL"
"odessa national economic university","ukraine","NULL"
"odessa national university named after i.mechnikov","ukraine","NULL"
"sevastopol national technical university","ukraine","NULL"
"ukrainian engineering and pedagogical academy","ukraine","NULL"
"vinnytsya national technical university","ukraine","NULL"
"chernivtsi trade economics institute of the kyiv national trade economics university","ukraine","chernivtsi"
"bpp university college","united kingdom","NULL"
"leeds metroplitan university","united kingdom","NULL"
"london school of economics and political science u. of london","united kingdom","NULL"
"nottingham trent university","united kingdom","NULL"
"queen mary university of london","united kingdom","NULL"
"queens university belfast","united kingdom","NULL"
"school of oriental and african studies","united kingdom","NULL"
"university college london","united kingdom","NULL"
"university of bedfordshire","united kingdom","NULL"
"university of durham","united kingdom","NULL"
"university of essex","united kingdom","NULL"
"university of kent","united kingdom","NULL"
"university of leicester","united kingdom","NULL"
"university of oxford","united kingdom","NULL"
"university of plymouth","united kingdom","NULL"
"university of southampton","united kingdom","NULL"
"university of york","united kingdom","NULL"
"aston university birmingham","united kingdom","NULL"
"cardiff university","united kingdom","NULL"
"city university london","united kingdom","NULL"
"imperial college of science technology and medicine - university of london","united kingdom","NULL"
"king's college london","united kingdom","NULL"
"lancaster university","united kingdom","NULL"
"london metropolitan university","united kingdom","NULL"
"loughborough university","united kingdom","NULL"
"newcastle university","united kingdom","NULL"
"oxford brookes university","united kingdom","NULL"
"regent's college london","united kingdom","NULL"
"royal holloway university of london","united kingdom","NULL"
"southampton solent university","united kingdom","NULL"
"swansea university","united kingdom","NULL"
"university of bath","united kingdom","NULL"
"university of birmingham","united kingdom","NULL"
"university of bristol","united kingdom","NULL"
"university of cambridge","united kingdom","NULL"
"university of exeter","united kingdom","NULL"
"university of leeds","united kingdom","NULL"
"university of liverpool","united kingdom","NULL"
"university of manchester","united kingdom","NULL"
"university of nottingham","united kingdom","NULL"
"university of reading","united kingdom","NULL"
"university of salford","united kingdom","NULL"
"university of sheffield","united kingdom","NULL"
"university of strathclyde","united kingdom","NULL"
"university of surrey","united kingdom","NULL"
"university of sussex","united kingdom","NULL"
"university of the west of england (uwe)","united kingdom","NULL"
"university of warwick","united kingdom","NULL"
"university of alaska fairbanks","united states","ak"
"university of alaska southeast","united states","ak"
"alabama agricultural and mechanical university","united states","al"
"alabama state university","united states","al"
"auburn university","united states","al"
"bishop state community college","united states","al"
"jacksonville state university","united states","al"
"jefferson state community college","united states","al"
"lawson state community college","united states","al"
"miles college","united states","al"
"oakwood university","united states","al"
"samford university","united states","al"
"stillman college","united states","al"
"the university of alabama","united states","al"
"the university of west alabama","united states","al"
"university of mobile","united states","al"
"arkansas tech university","united states","ar"
"harding university main campus","united states","ar"
"john brown university","united states","ar"
"north arkansas college","united states","ar"
"northwest arkansas community college","united states","ar"
"ouachita baptist university","united states","ar"
"southern arkansas university","united states","ar"
"university of arkansas","united states","ar"
"university of central arkansas","united states","ar"
"university of the ozarks","united states","ar"
"arizona state university main","united states","az"
"arizona western college","united states","az"
"university of arizona","united states","az"
"azusa pacific university","united states","ca"
"bakersfield college","united states","ca"
"butte college","united states","ca"
"cal poly - pomona","united states","ca"
"cal poly - san luis obispo","united states","ca"
"california state university-bakersfield","united states","ca"
"california state university-chico","united states","ca"
"california state university-east bay","united states","ca"
"chapman university","united states","ca"
"concordia university - irvine","united states","ca"
"cosumnes river college","united states","ca"
"diablo valley college","united states","ca"
"feather river college","united states","ca"
"folsom lake college","united states","ca"
"hartnell college","united states","ca"
"la sierra university","united states","ca"
"mt. san antonio college","united states","ca"
"pacific union college","united states","ca"
"pepperdine university","united states","ca"
"reedley college","united states","ca"
"riverside community college - norco campus","united states","ca"
"san diego city college","united states","ca"
"san diego state university","united states","ca"
"san joaquin valley college inc.","united states","ca"
"santa barbara city college","united states","ca"
"university of california-davis","united states","ca"
"university of california-los angeles","united states","ca"
"university of california-merced","united states","ca"
"university of la verne","united states","ca"
"university of southern california","united states","ca"
"vanguard university of southern california","united states","ca"
"west hills community college-lemoore campus","united states","ca"
"whittier college","united states","ca"
"collegeamerica denver","united states","co"
"northeastern junior college","united states","co"
"university of northern colorado","united states","co"
"gateway community college - new haven ct","united states","ct"
"quinnipiac university","united states","ct"
"sacred heart university","united states","ct"
"george washington university","united states","dc"
"delaware state university","united states","de"
"wesley college","united states","de"
"bethune cookman university","united states","fl"
"eckerd college","united states","fl"
"flagler college","united states","fl"
"florida international university","united states","fl"
"florida state university","united states","fl"
"hillsborough community college","united states","fl"
"miami dade college","united states","fl"
"palm beach atlantic university","united states","fl"
"southeastern university - lakeland fl","united states","fl"
"university of central florida","united states","fl"
"university of florida","united states","fl"
"university of north florida","united states","fl"
"university of south florida","united states","fl"
"albany state university","united states","ga"
"atlanta metropolitan college","united states","ga"
"brenau university","united states","ga"
"columbus state university","united states","ga"
"emmanuel college - franklin springs ga","united states","ga"
"fort valley state university","united states","ga"
"gainesville state college","united states","ga"
"georgia southern university","united states","ga"
"georgia southwestern state university","united states","ga"
"georgia tech","united states","ga"
"kennesaw state university","united states","ga"
"lagrange college","united states","ga"
"north georgia college and state university","united states","ga"
"paine college","united states","ga"
"piedmont college","united states","ga"
"reinhardt university","united states","ga"
"savannah state university","united states","ga"
"shorter university","united states","ga"
"southern polytechnic state university","united states","ga"
"university of georgia","united states","ga"
"university of west georgia","united states","ga"
"valdosta state university","united states","ga"
"brigham young university - hawaii","united states","hi"
"chaminade university of honolulu","united states","hi"
"hawaii pacific university","united states","hi"
"remington college-hi","united states","hi"
"university of hawaii leeward community college","united states","hi"
"university of hawaii west o`ahu","united states","hi"
"aib college of business","united states","ia"
"briar cliff university","united states","ia"
"cornell college","united states","ia"
"drake university","united states","ia"
"graceland university","united states","ia"
"iowa state university","united states","ia"
"kirkwood community college","united states","ia"
"mount mercy university","united states","ia"
"simpson college","united states","ia"
"southwestern community college-ia","united states","ia"
"university of dubuque","united states","ia"
"university of iowa","united states","ia"
"university of northern iowa","united states","ia"
"northwest nazarene university","united states","id"
"bradley university","united states","il"
"carl sandburg college","united states","il"
"chicago state university","united states","il"
"illinois college","united states","il"
"loyola university chicago","united states","il"
"north central college","united states","il"
"olivet nazarene university","united states","il"
"quincy university","united states","il"
"robert morris university-il","united states","il"
"rock valley college","united states","il"
"university of chicago","united states","il"
"university of illinois at chicago","united states","il"
"university of illinois at urbana-champaign","united states","il"
"wilbur wright college","united states","il"
"anderson university - in","united states","in"
"bethel college - in","united states","in"
"indiana university at bloomington","united states","in"
"indiana university at south bend","united states","in"
"indiana university east","united states","in"
"indiana university kokomo","united states","in"
"indiana wesleyan university","united states","in"
"martin university","united states","in"
"saint joseph's college - in","united states","in"
"taylor university","united states","in"
"university of notre dame","united states","in"
"university of saint francis-in","united states","in"
"valparaiso university","united states","in"
"benedictine college","united states","ks"
"johnson county community college","united states","ks"
"kansas city kansas community college","united states","ks"
"kansas state university-manhattan","united states","ks"
"kansas state university-salina","united states","ks"
"pittsburg state university","united states","ks"
"seward county community college","united states","ks"
"university of kansas main campus","united states","ks"
"berea college","united states","ky"
"elizabethtown community and technical college","united states","ky"
"kentucky state university","united states","ky"
"lindsey wilson college","united states","ky"
"midway college","united states","ky"
"morehead state university","united states","ky"
"murray state university","united states","ky"
"northern kentucky university","united states","ky"
"western kentucky university","united states","ky"
"delgado community college","united states","la"
"dillard university","united states","la"
"louisiana state university and agricultural and mechanical college","united states","la"
"louisiana state university at eunice","united states","la"
"loyola university new orleans","united states","la"
"southern university at new orleans","united states","la"
"xavier university of louisiana","united states","la"
"boston college","united states","ma"
"merrimack college","united states","ma"
"stonehill college","united states","ma"
"university of massachusetts dartmouth","united states","ma"
"western new england university","united states","ma"
"worcester state university","united states","ma"
"loyola university maryland","united states","md"
"montgomery college - md","united states","md"
"mount st. mary's university","united states","md"
"stratford university - baltimore campus","united states","md"
"the community college of baltimore county","united states","md"
"towson university","united states","md"
"university of baltimore","united states","md"
"washington adventist university","united states","md"
"washington college","united states","md"
"maine maritime academy","united states","me"
"university of southern maine","united states","me"
"alma college","united states","mi"
"andrews university","united states","mi"
"aquinas college","united states","mi"
"baker college of flint","united states","mi"
"central michigan university","united states","mi"
"cornerstone university","united states","mi"
"hillsdale college","united states","mi"
"lake superior state university","united states","mi"
"northern michigan university","united states","mi"
"spring arbor university","united states","mi"
"university of michigan-dearborn","united states","mi"
"college of st. benedict and st. john's university","united states","mn"
"concordia college - moorhead mn","united states","mn"
"north central university","united states","mn"
"southwest minnesota state university","united states","mn"
"st. olaf college","united states","mn"
"university of minnesota crookston","united states","mn"
"university of st. thomas","united states","mn"
"central methodist university","united states","mo"
"college of the ozarks","united states","mo"
"columbia college - mo","united states","mo"
"crowder college","united states","mo"
"culver-stockton college","united states","mo"
"drury university","united states","mo"
"east central college","united states","mo"
"evangel university","united states","mo"
"harris-stowe state university","united states","mo"
"lincoln university - mo","united states","mo"
"missouri baptist university","united states","mo"
"missouri state university","united states","mo"
"missouri state university - west plains","united states","mo"
"missouri valley college","united states","mo"
"missouri western state university","united states","mo"
"northwest missouri state university","united states","mo"
"ozarks technical community college","united states","mo"
"rockhurst university","united states","mo"
"southwest baptist university","united states","mo"
"truman state university","united states","mo"
"university of central missouri","united states","mo"
"university of missouri-kansas city","united states","mo"
"webster university","united states","mo"
"william jewell college","united states","mo"
"alcorn state university","united states","ms"
"belhaven university","united states","ms"
"coahoma community college","united states","ms"
"itawamba community college","united states","ms"
"jackson state university","united states","ms"
"millsaps college","united states","ms"
"university of southern mississippi","united states","ms"
"carroll college","united states","mt"
"montana state university","united states","mt"
"montana state university-northern","united states","mt"
"rocky mountain college","united states","mt"
"university of great falls","united states","mt"
"barton college","united states","nc"
"bennett college","united states","nc"
"catawba valley community college","united states","nc"
"central piedmont community college","united states","nc"
"elizabeth city state university","united states","nc"
"elon university","united states","nc"
"fayetteville state university","united states","nc"
"gardner-webb university","united states","nc"
"greensboro college","united states","nc"
"high point university","united states","nc"
"livingstone college","united states","nc"
"methodist university","united states","nc"
"north carolina central university","united states","nc"
"saint augustine's college","united states","nc"
"university of north carolina at charlotte","united states","nc"
"university of north carolina at pembroke","united states","nc"
"wilkes community college","united states","nc"
"dickinson state university","united states","nd"
"concordia university - nebraska","united states","ne"
"southeast community college-ne","united states","ne"
"university of nebraska at kearney","united states","ne"
"university of nebraska-lincoln","united states","ne"
"wayne state college","united states","ne"
"colby-sawyer college","united states","nh"
"keene state college","united states","nh"
"university of new hampshire manchester","united states","nh"
"centenary college","united states","nj"
"monmouth university","united states","nj"
"ramapo college of new jersey","united states","nj"
"raritan valley community college","united states","nj"
"seton hall university","united states","nj"
"william paterson university of new jersey","united states","nj"
"new mexico state university dona ana community college","united states","nm"
"university of the southwest","united states","nm"
"truckee meadows community college","united states","nv"
"university of nevada reno","united states","nv"
"university of nevada-las vegas","united states","nv"
"binghamton university - suny","united states","ny"
"canisius college","united states","ny"
"college of saint rose","united states","ny"
"cuny borough of manhattan community college","united states","ny"
"cuny brooklyn college","united states","ny"
"d'youville college","united states","ny"
"elmira college","united states","ny"
"hilbert college","united states","ny"
"keuka college","united states","ny"
"medaille college","united states","ny"
"monroe college","united states","ny"
"pace university","united states","ny"
"roberts wesleyan college","united states","ny"
"siena college","united states","ny"
"st. bonaventure university","united states","ny"
"stony brook university","united states","ny"
"suny at fredonia","united states","ny"
"suny at new paltz","united states","ny"
"suny college at geneseo","united states","ny"
"suny college at plattsburgh","united states","ny"
"suny oswego","united states","ny"
"syracuse university","united states","ny"
"ashland university","united states","oh"
"baldwin-wallace college","united states","oh"
"brown mackie college - akron","united states","oh"
"cedarville university","united states","oh"
"college of mount saint joseph","united states","oh"
"defiance college","united states","oh"
"franciscan university of steubenville","united states","oh"
"franklin university","united states","oh"
"kent state university trumbull campus","united states","oh"
"lake erie college","united states","oh"
"lakeland community college","united states","oh"
"lorain county community college","united states","oh"
"malone university","united states","oh"
"mount vernon nazarene university","united states","oh"
"ohio northern university","united states","oh"
"the university of akron","united states","oh"
"the university of findlay","united states","oh"
"university of rio grande","united states","oh"
"university of toledo","united states","oh"
"youngstown state university","united states","oh"
"cameron university","united states","ok"
"carl albert state college","united states","ok"
"east central university","united states","ok"
"langston university","united states","ok"
"oklahoma baptist university","united states","ok"
"oklahoma city community college","united states","ok"
"oklahoma state university main campus","united states","ok"
"oral roberts university","united states","ok"
"redlands community college","united states","ok"
"rogers state university","united states","ok"
"southern nazarene university","united states","ok"
"st. gregory's university","united states","ok"
"university of central oklahoma","united states","ok"
"eastern oregon university","united states","or"
"oregon state university","united states","or"
"warner pacific college","united states","or"
"albright college","united states","pa"
"bloomsburg university of pennsylvania","united states","pa"
"bucks county community college","united states","pa"
"cabrini college","united states","pa"
"carnegie mellon university","united states","pa"
"delaware valley college","united states","pa"
"east stroudsburg university of pennsylvania","united states","pa"
"eastern university","united states","pa"
"elizabethtown college","united states","pa"
"immaculata university","united states","pa"
"keystone college","united states","pa"
"kutztown university of pennsylvania","united states","pa"
"la salle university","united states","pa"
"lincoln university - pa","united states","pa"
"mansfield university of pennsylvania","united states","pa"
"messiah college","united states","pa"
"millersville university of pennsylvania","united states","pa"
"mount aloysius college","united states","pa"
"neumann university","united states","pa"
"peirce college","united states","pa"
"penn state abington","united states","pa"
"penn state altoona","united states","pa"
"pennsylvania college of technology","united states","pa"
"philadelphia biblical university","united states","pa"
"saint francis university","united states","pa"
"seton hill university","united states","pa"
"shippensburg university of pennsylvania","united states","pa"
"susquehanna university","united states","pa"
"the university of scranton","united states","pa"
"university of pittsburgh at bradford","united states","pa"
"university of pittsburgh at titusville","united states","pa"
"university of pittsburgh pittsburgh campus","united states","pa"
"ursinus college","united states","pa"
"westminster college - pa","united states","pa"
"wilkes university","united states","pa"
"york college of pennsylvania","united states","pa"
"bryant university","united states","ri"
"anderson university - sc","united states","sc"
"charleston southern university","united states","sc"
