"title","publisher","north america","europe","japan","cost","size"
"ninety-nine nights ii","konami","2011-11-08november 8 2011","NULL","NULL","$29.99us","3.79 gb"
"ninja blade","from software","NULL","NULL","2011-05-24may 24 2011","¥2600jp","3.98 gb"
"no fate! only the power of will","alchemist","NULL","NULL","2011-02-08february 8 2011","¥3990jp","1.7 gb"
"onechanbara: bikini samurai squad","d3 publisher","NULL","NULL","2010-11-08november 8 2010","¥2600jp","3.71 gb"
"open season","ubisoft","2011-03-01march 1 2011","2011-03-01march 1 2011","NULL","$19.99us","3.9 gb"
"operation darkness","atlus (na)success (jp)","2010-08-17august 17 2010","NULL","2010-03-23march 23 2010","$19.99us","4.30 gb"
"operation flashpoint: dragon rising","codemasters","2011-05-10may 10 2011","2011-05-10may 10 2011","2011-05-10may 10 2011","$19.99us","6.28 gb"
"otomedius g","konami","NULL","NULL","2010-10-05october 5 2010","¥2600jp","3.33 gb"
"{outfit the|the outfit}","thq","2010-08-17august 17 2010","NULL","NULL","$19.99us","6 gb"
"overlord ii","codemasters","2011-05-31may 31 2011","2011-05-31may 31 2011","NULL","$24.99us","3.21 gb"
"perfect dark zero","microsoft game studios","2009-08-11august 11 2009","2010-03-02march 2 2010","2009-08-11august 11 2009","$19.99us","5 gb"
"pes 2011","konami","2011-06-14june 14 2011","2011-06-14june 14 2011","2011-06-14june 14 2011","$29.99us","5.89 gb"
"phantasy star universe","sega","2010-08-03august 3 2010","2010-08-03august 3 2010","2010-08-17august 17 2010","$19.99us","6 gb"
"prey","2k games","2009-08-11august 11 2009","2009-08-11august 11 2009","NULL","$19.99us","4 gb"
"prince of persia","ubisoft","2010-05-04may 4 2010","2010-05-04may 4 2010","NULL","$19.99us","5.24 gb"
"prince of persia: the forgotten sands","ubisoft","2010-12-21december 21 2010","2010-12-21december 21 2010","NULL","$19.99us","4.59 gb"
"prison break","deep silver","2011-07-26july 26 2011","2011-07-26july 26 2011","NULL","$19.99us","2.64 gb"
"project sylpheed","square enix","NULL","NULL","2010-07-13july 13 2010","¥1900jp","5.03 gb"
"prototype","activision","2010-12-07december 7 2010","2010-12-07december 7 2010","NULL","$29.99us","6.75 gb"
"pure","disney interactive studios","2010-02-23february 23 2010","2010-02-23february 23 2010","NULL","$19.99us","4 gb"
"pure futbol","ubisoft","2011-08-02august 2 2011","2011-08-02august 2 2011","2011-08-02august 2 2011","$19.99us","2.22 gb"
"quantum of solace","activision","2011-10-11october 11 2011","2011-10-11october 11 2011","NULL","$29.99us","6.72 gb"
"raiden iv","moss","2011-04-05april 5 2011","NULL","2010-01-13january 13 2010","$39.99us","377.96 mb"
"raiden fighters aces","valcon games (na)success (jp)","2010-05-11may 11 2010","NULL","2009-11-17november 17 2009","$19.99us","484.34 mb"
"rapala fishing frenzy","activision","2011-03-15march 15 2011","NULL","NULL","$19.99us","2.92 gb"
"rapala tournament fishing","activision","2011-02-15february 15 2011","NULL","NULL","$19.99us","3.72 gb"
"raven squad","evolved games","2011-04-12april 12 2011","2011-04-12april 12 2011","NULL","$19.99us","1.89 gb"
"rayman raving rabbids","ubisoft","2010-11-09november 9 2010","2010-11-09november 9 2010","NULL","$19.99us","4.5 gb"
"record of agarest war","aksys games (na)compile heart (jp)","2011-08-09august 9 2011","NULL","2010-03-30march 30 2010","$29.99us","6.64 gb"
"record of agarest war zero","idea factory","2012-01-03january 3 2012","NULL","2011-07-05july 5 2011","¥3600jp","6.38 gb"
"red dead redemption","rockstar games","2010-12-21december 21 2010","2010-12-21december 21 2010","NULL","$39.99us","6.73 gb"
"red faction: guerrilla","thq","2010-06-08june 8 2010","2010-06-08june 8 2010","NULL","$19.99us","6 gb"
"red faction: armageddon","thq","2011-12-13december 13 2011","2011-12-13december 13 2011","NULL","$39.99us","5.91 gb"
"resident evil code: veronica x","capcom","2011-09-27september 27 2011","2011-09-27september 27 2011","NULL","$19.99us","1.83 gb"
"resident evil 4","capcom","2011-09-20september 20 2011","2011-09-20september 20 2011","NULL","$19.99us","3.59 gb"
"resident evil 5","capcom","2010-02-16february 16 2010","2010-02-23february 23 2010","2010-11-02november 2 2010","$29.99us","6.75 gb"
"resonance of fate","sega","2011-12-27december 27 2011","2011-12-27december 27 2011","NULL","$24.99us","6.69 gb"
"ridge racer 6","namco","2009-08-11august 11 2009","NULL","2009-10-21october 21 2009","$19.99us","6 gb"
"rio","thq","2011-10-25october 25 2011","2011-10-25october 25 2011","NULL","$59.99us","1.84 gb"
"risen","deep silver","2011-07-05july 5 2011","2011-07-05july 5 2011","NULL","$19.99us","2.52 gb"
"rock band 3","mad catz","2011-12-20december 20 2011","2011-12-20december 20 2011","NULL","$19.99us","5.51 gb"
"rockstar games presents table tennis","rockstar games","2009-08-11august 11 2009","2010-05-03may 3 2010","2009-08-18august 18 2009","$19.99us","3 gb"
"r.u.s.e.","ubisoft","2011-07-19july 19 2011","2011-07-19july 19 2011","2011-07-19july 19 2011","$29.99us","4.05 gb"
"sacred 2: fallen angel","deep silver","2010-09-14september 14 2010","2011-07-05july 5 2011","NULL","$29.99us","6.34 gb"
"saints row","thq","NULL","2009-08-18august 18 2009","NULL","NULL","7 gb"
"saints row 2","thq","2009-11-24november 24 2009","2009-11-24november 24 2009","NULL","$19.99us","6.76 gb"
"samurai shodown: sen","snk playmore","2011-09-20september 20 2011","2012-01-10january 10 2012","2011-09-20september 20 2011","$19.99us","5.54 gb"
"saw","konami","2011-09-06september 6 2011","NULL","NULL","$19.99us","1.93 gb"
"saw ii: flesh &amp; blood","konami","2011-10-25october 25 2011","NULL","NULL","$39.99us","2.14 gb"
"sbk x","leader s.p.a.","NULL","2011-11-15november 15 2011","NULL","£17.99uk","1.63 gb"
"section 8","southpeak interactive","2012-01-31january 31 2012","2012-01-31january 31 2012","NULL","$29.99us","2.22 gb"
"sega rally revo","sega","2010-06-22june 22 2010","2009-08-11august 11 2009","NULL","$19.99us","4 gb"
"sega superstars tennis","sega","2010-03-23march 23 2010","NULL","NULL","$19.99us","3 gb"
"senko no ronde: duo","g.rev","NULL","NULL","2011-04-26april 26 2011","¥2940jp","2.3 gb"
"shadowrun","microsoft game studios","2010-09-10september 10 2010","2010-09-10september 10 2010","2010-09-07september 7 2010","$29.99us","3.10 gb"
"shaun white skateboarding","ubisoft","2011-07-26july 26 2011","2011-07-26july 26 2011","NULL","$19.99us","6.22 gb"
"shaun white snowboarding","ubisoft","2009-09-22september 22 2009","2009-09-22september 22 2009","2009-09-22september 22 2009","$19.99us","4.35 gb"
"sherlock holmes","focus home interactive","2011-09-06september 6 2011","NULL","NULL","$19.99us","5.39 gb"
"shift 2: unleashed","electronic arts","2011-10-04october 4 2011","2011-10-04october 4 2011","NULL","$29.99us","5.59 gb"
"shooting love 200x","triangle service","NULL","NULL","2010-02-09february 9 2010","¥2940jp","2.96 gb"
"shrek the third","activision","2010-04-27april 27 2010","2010-04-27april 27 2010","NULL","$29.99us","6.01 gb"
"silent hill homecoming","konami","2011-12-06december 6 2011","NULL","NULL","$19.99us","4.77 gb"
"skate.","electronic arts","2010-01-19january 19 2010","2010-01-19january 19 2010","NULL","$19.99us","5.00 gb"
"skate 2","electronic arts","2010-05-04may 4 2010","2010-05-04may 4 2010","2010-11-23november 23 2010","$19.99us","6.64 gb"
"ski-doo: snowmobile challenge","valcon games","2010-07-06july 6 2010","NULL","NULL","$19.99us","3 gb"
"sniper: ghost warrior","city interactive","2011-08-30august 30 2011","2011-08-30august 30 2011","NULL","$29.99us","2.86 gb"
"sonic &amp; sega all-stars racing","sega","2011-04-12april 12 2011","2011-04-12april 12 2011","NULL","$19.99us","3.82 gb"
"sonic free riders","sega","2011-05-24may 24 2011","2011-05-24may 24 2011","NULL","$24.99us","1.71 gb"
"sonic unleashed","sega","2009-10-20october 20 2009","2010-04-06april 6 2010","2010-02-23february 23 2010","$19.99us","5.74 gb"
"soulcalibur iv","namco bandai games","2010-06-01june 1 2010","2010-06-01june 1 2010","2010-06-01june 1 2010","$19.99us","4.28 gb"
"split/second","disney interactive studios","2011-03-29march 29 2011","2011-11-29november 29 2011","NULL","$29.99us","6.61 gb"
"star wars: the force unleashed","lucasarts","2010-05-18may 18 2010","2010-05-18may 18 2010","NULL","$29.99us","6.36 gb"
"star wars: the force unleashed ii","lucasarts","2011-09-20september 20 2011","NULL","NULL","$19.99us","5.62 gb"
"street fighter iv","capcom","2010-02-09february 9 2010","2010-02-09february 9 2010","NULL","$19.99us","4.61 gb"
"stuntman: ignition","thq","2010-07-20july 20 2010","2010-07-20july 20 2010","NULL","$19.99us","6 gb"
"super street fighter iv","capcom","2012-01-03january 3 2012","2012-01-03january 3 2012","NULL","$29.99us","6.54 gb"
"supreme commander","thq","2010-03-02march 2 2010","NULL","NULL","$19.99us","3.61 gb"
"supreme commander 2","square enix","2011-03-22march 22 2011","2011-03-22march 22 2011","NULL","$29.99us","2.02 gb"
"surf's up","ubisoft","2011-03-08march 8 2011","2011-03-08march 8 2011","NULL","$19.99us","4.89 gb"
"tales of vesperia","namco bandai games","2011-04-05april 5 2011","2011-04-05april 5 2011","NULL","$29.99us","5.40 gb"
"tekken 6","namco bandai games","2011-04-26april 26 2011","2011-04-26april 26 2011","NULL","$19.99us","6.63 gb"
"tenchu z","from software","NULL","NULL","2009-09-22september 22 2009","¥2600jp","3.19 gb"
"tengai makyou ziria: haruka naru jipang","hudson soft","NULL","NULL","2009-10-27october 27 2009","¥3990jp","5.93 gb"
"terminator salvation","evolved games","2010-12-14december 14 2010","2010-12-14december 14 2010","NULL","$19.99us","6.2 gb"
"test drive unlimited","atari","2009-12-15december 15 2009","2009-12-15december 15 2009","2009-12-15december 15 2009","$19.99us","3 gb"
"test drive unlimited 2","atari","2011-10-11october 11 2011","2011-10-11october 11 2011","NULL","$19.99us","6.55 gb"
"timeshift","sierra entertainment","2010-11-23november 23 2010","2010-11-23november 23 2010","NULL","$29.99us","4.4 gb"
"time leap","prototype","NULL","NULL","2011-01-25january 25 2011","¥3990jp","2.56 gb"
"tom clancy's endwar","ubisoft","2010-05-11may 11 2010","2010-05-11may 11 2010","NULL","$19.99us","4.85 gb"
"tom clancy's ghost recon advanced warfighter (graw)","ubisoft","2009-09-01september 1 2009","2009-09-01september 1 2009","2009-09-01september 1 2009","$19.99us","4.78 gb"
"tom clancy's ghost recon advanced warfighter 2 (graw 2)","ubisoft","2010-01-12january 12 2010","2010-01-12january 12 2010","NULL","$19.99us","6.77 gb"
"tom clancy's h.a.w.x","ubisoft","2010-08-10august 10 2010","2010-08-10august 10 2010","NULL","$29.99us","5.93 gb"
"tom clancy's h.a.w.x 2","ubisoft","2011-03-29march 29 2011","2011-03-29march 29 2011","NULL","$19.99us","5.99 gb"
"tom clancy's rainbow six: vegas","ubisoft","2009-08-11august 11 2009","2009-08-11august 11 2009","2009-08-11august 11 2009","$19.99us","6.60 gb"
"tom clancy's rainbow six: vegas 2","ubisoft","2009-10-08october 8 2009","2009-10-06october 6 2009","2009-10-06october 6 2009","$19.99us","6.43 gb"
"tom clancy's splinter cell: conviction","ubisoft","2010-10-26october 26 2010","2010-11-09november 9 2010","NULL","$19.99us","5.92 gb"
"tom clancy's splinter cell: double agent","ubisoft","NULL","2009-09-01september 1 2009","NULL","£14.99uk","6.7 gb"
"tomb raider: anniversary","eidos interactive","2010-09-21september 21 2010","2010-09-21september 21 2010","NULL","$19.99us","3.01 gb"
"tomb raider: legend","eidos interactive","2010-04-13april 13 2010","2010-08-11august 11 2010","NULL","$29.99us","6.55 gb"
"tomb raider: underworld","eidos interactive","2010-06-29june 29 2010","2010-06-29june 29 2010","NULL","$19.99us","6.62 gb"
"tomoyo after: it's a wonderful life","prototype","NULL","NULL","2011-10-11october 11 2011","¥3600jp","2.32 gb"
"too human","microsoft game studios","2010-08-03august 3 2010","2010-08-03august 3 2010","2010-05-18may 18 2010","$19.99us","6 gb"
"top spin 3","2k sports","2010-05-18may 18 2010","2010-05-18may 18 2010","NULL","$19.99us","4 gb"
"top spin 4","2k sports","2011-10-18october 18 2011","2011-10-18october 18 2011","NULL","$39.99us","5.38 gb"
"tornado outbreak","konami","2011-12-06december 6 2011","NULL","NULL","$19.99us","4.06 gb"
"tour de france","focus home interactive","NULL","2012-01-10january 10 2012","NULL","£19.99uk","4.1 gb"
"toy story 3: the video game","disney interactive studios","2011-04-12april 12 2011","2011-12-13december 13 2011","NULL","$29.99us","4.83 gb"
"transformers: dark of the moon","activision","2011-12-27december 27 2011","2011-12-27december 27 2011","NULL","$59.99us","5.82 gb"
"transformers: revenge of the fallen","activision","2011-01-18january 18 2011","2011-01-18january 18 2011","NULL","$29.99us","6.55 gb"
"transformers: the game","activision","2011-01-18january 18 2011","2011-01-18january 18 2011","NULL","$29.99us","4.55 gb"
"transformers: war for cybertron","activision","2010-12-28december 28 2010","2010-12-28december 28 2010","NULL","$39.99us","6.57 gb"
"trivial pursuit","electronic arts","2009-12-08december 8 2009","NULL","NULL","$19.99us","1.5 gb"
"tron: evolution","disney interactive studios","2011-06-21june 21 2011","2011-06-21june 21 2011","NULL","$39.99us","5.86 gb"
"tropico 3","kalypso media","2011-06-21june 21 2011","2011-06-21june 21 2011","2011-11-08november 8 2011","$19.99us","2.3 gb"
"two worlds","southpeak interactive","2011-07-05july 5 2011","NULL","NULL","$19.99us","2.86 gb"
"ufc personal trainer","thq","2011-12-20december 20 2011","2011-12-20december 20 2011","NULL","$59.99us","6.12 gb"
"ufc 2009 undisputed","thq","2010-03-30march 30 2010","2010-03-30march 30 2010","NULL","$29.99us","6.64 gb"
"ufc undisputed 2010","thq","NULL","2010-11-30november 30 2010","NULL","NULL","6.1 gb"
"vanquish","sega","2011-05-10may 10 2011","2011-05-10may 10 2011","NULL","$19.99us","6.54 gb"
"velvet assassin","southpeak games","2011-05-10may 10 2011","NULL","NULL","$19.99us","4.67 gb"
"venetica","evolved games","2012-01-10january 10 2012","2012-01-10january 10 2012","NULL","$19.99us","4.71 gb"
"virtua fighter 5","sega","2010-10-26october 26 2010","2010-10-26october 26 2010","2009-09-15september 15 2009","$19.99us","3.4 gb"
"virtua tennis 2009","sega","2010-10-08october 8 2010","2010-10-08october 8 2010","NULL","$19.99us","4 gb"
"viva piñata","microsoft game studios","2009-08-06august 6 2009","2010-03-02march 2 2010","2009-08-06august 6 2009","$19.99us","4.89 gb"
"viva piñata: party animals","microsoft game studios","2009-12-15december 15 2009","2010-03-02march 2 2010","2010-02-16february 16 2010","$19.99us","4.27 gb"
"viva piñata: trouble in paradise","microsoft game studios","2009-08-11august 11 2009","2009-08-11august 11 2009","2010-07-27july 27 2010","$19.99us","4.94 gb"
"warriors orochi","koei","NULL","NULL","2011-10-25october 25 2011","¥2940jp","4.48 gb"
"warriors orochi 2","koei","NULL","NULL","2011-11-29november 29 2011","¥3600jp","5.67 gb"
"wartech: senko no ronde","g.rev","NULL","NULL","2009-09-08september 8 2009","¥2600jp","1.14 gb"
"way of the samurai 3","spike","2011-09-06september 6 2011","2011-09-06september 6 2011","2010-05-04may 4 2010","$19.99us","2.79 gb"
"wheelman","midway gamesubisoft","2011-08-30august 30 2011","2011-08-30august 30 2011","NULL","$19.99us","6.42 gb"
"where the wild things are","warner bros i.e","2010-12-14december 14 2010","2010-12-14december 14 2010","NULL","$19.99us","6.73 gb"
"winter sports 2011","dtp entertainment","NULL","2011-11-22november 22 2011","NULL","£14.99uk","2.27 gb"
"wipeout: in the zone","activision","2011-12-27december 27 2011","NULL","NULL","$49.99us","848.37 mb"
"world of outlaws: sprint cars","thq","2011-08-09august 9 2011","2011-08-09august 9 2011","NULL","$19.99us","2.05 gb"
"wrc 2010","black bean games","NULL","2011-09-06september 6 2011","NULL","£14.99uk","2.54 gb"
"wwe all stars","thq","2011-10-11october 11 2011","2011-10-11october 11 2011","NULL","$49.99us","5.91 gb"
"wwe legends of wrestlemania","thq","2011-05-17may 17 2011","2011-05-17may 17 2011","NULL","$39.99us","6.5 gb"
"wwe smackdown vs. raw 2009","thq","2010-07-27july 27 2010","NULL","NULL","$29.99us","6.53 gb"
"wwe smackdown vs. raw 2011","thq","NULL","2011-08-23august 23 2011","NULL","NULL","5.3 gb"
"you don't know jack","thq","2011-08-09august 9 2011","NULL","NULL","$29.99us","2.02 gb"
"your shape: fitness evolved","ubisoft","2011-05-24may 24 2011","2011-05-24may 24 2011","NULL","$39.99us","2.72 gb"
