"palm      tree list","5gal","15gal","24&quot;box"
"phoenix      loureirii","&nbsp;","&nbsp;","&nbsp;"
"phoenix      reclinata","$45.00","$115.00","$185.00"
"phoenix      roebelenii","$48.00","&nbsp;","&nbsp;"
"phoenix      rupicola","$68.00","$155.00","&nbsp;"
"pholidocarpus      macrocarpus","&nbsp;","&nbsp;","&nbsp;"
"pholidostachys      pulchra","&nbsp;","&nbsp;","&nbsp;"
"physokentia      dennisii","$68.00","&nbsp;","&nbsp;"
"pigafeta      filaris","&nbsp;","&nbsp;","&nbsp;"
"pinanga      barbadensis","&nbsp;","&nbsp;","&nbsp;"
"pinanga      bicolana","$55.00","&nbsp;","&nbsp;"
"pinanga      ceasia","&nbsp;","&nbsp;","&nbsp;"
"pinanga      conchinchinensis","&nbsp;","&nbsp;","$385.00"
"pinanga      copelandii","&nbsp;","&nbsp;","&nbsp;"
"pinanga      coronata","$55.00","$155.00","$385.00"
"pinanga      crassipes","$65.00","&nbsp;","&nbsp;"
"pinanga      disticha","&nbsp;","&nbsp;","&nbsp;"
"pinanga      elmeri","$82.00","&nbsp;","&nbsp;"
"pinanga      gracilis","&nbsp;","&nbsp;","&nbsp;"
"pinanga      insignis","&nbsp;","&nbsp;","&nbsp;"
"pinanga      isabelensis","&nbsp;","&nbsp;","&nbsp;"
"pinanga      javana","$82.00","&nbsp;","&nbsp;"
"pinanga      kuhlii","$65.00","&nbsp;","&nbsp;"
"pinanga      lastelliana","&nbsp;","&nbsp;","&nbsp;"
"pinanga      maculata","$55.00","&nbsp;","&nbsp;"
"pinanga      patula","&nbsp;","&nbsp;","&nbsp;"
"pinanga      perakensis","&nbsp;","&nbsp;","&nbsp;"
"pinanga      phillippinensis","&nbsp;","$215.00","&nbsp;"
"pinanga      polymorpha","&nbsp;","&nbsp;","&nbsp;"
"pinanga      scortchinii","$65.00","&nbsp;","&nbsp;"
"pinanga      simplicifrons","&nbsp;","&nbsp;","&nbsp;"
"pinanga      speciosa","$55.00","&nbsp;","&nbsp;"
"pinanga      tomentella","&nbsp;","&nbsp;","&nbsp;"
"pinanga      sp. mottled leaf","&nbsp;","&nbsp;","&nbsp;"
"plectocomia      himalayiana","$65.00","&nbsp;","&nbsp;"
"polyandrococos      caudescens","$82.00","$215.00","&nbsp;"
"prestoea      acuminata","&nbsp;","&nbsp;","&nbsp;"
"prestoea      acuminata","$55.00","$235.00","$525.00"
"prestoea      acuminata","&nbsp;","&nbsp;","&nbsp;"
"pritchardia      affinis","$55.00","&nbsp;","&nbsp;"
"pritchardia      arecina","$85.00","&nbsp;","&nbsp;"
"pritchardia      aylmer-robinsonii","&nbsp;","&nbsp;","&nbsp;"
"pritchardia      beccariana","&nbsp;","&nbsp;","&nbsp;"
"pritchardia      forbesiana","$55.00","&nbsp;","&nbsp;"
"pritchardia      glabrata","&nbsp;","&nbsp;","&nbsp;"
"pritchardia      hillebrandii","&nbsp;","&nbsp;","&nbsp;"
"pritchardia      hillebrandii dw blu","$55.00","$155.00","&nbsp;"
"pritchardia      lanigera","$85.00","&nbsp;","&nbsp;"
"pritchardia      martii","$85.00","&nbsp;","&nbsp;"
"pritchardia      minor","&nbsp;","$155.00","&nbsp;"
"pritchardia      napaliensis","&nbsp;","&nbsp;","&nbsp;"
"pritchardia      pacifica","$45.00","&nbsp;","&nbsp;"
"pritchardia      schattaueri","&nbsp;","&nbsp;","&nbsp;"
"pritchardia      viscosa","$185.00","&nbsp;","&nbsp;"
"pritchardia      vuylstekeana","&nbsp;","&nbsp;","&nbsp;"
"pritchardia      waialealeana","&nbsp;","&nbsp;","&nbsp;"
"pritchardia      weissichiana","&nbsp;","&nbsp;","&nbsp;"
"pseudophoenix      lediniana","$85.00","&nbsp;","&nbsp;"
"pseudophoenix      sargentii","$85.00","&nbsp;","&nbsp;"
"pseudophoenix      vinifera","&nbsp;","&nbsp;","&nbsp;"
"ptychococcus      lepidotus","&nbsp;","&nbsp;","&nbsp;"
"ptychococcus      paradoxus","&nbsp;","&nbsp;","&nbsp;"
"ptychosperma      burretianum","&nbsp;","&nbsp;","&nbsp;"
"ptychosperma      carytoides","&nbsp;","&nbsp;","&nbsp;"
"ptychosperma      elegans","$55.00","$155.00","&nbsp;"
"ptychosperma      nicolai","&nbsp;","&nbsp;","$525.00"
"ptychosperma      pullenii","$55.00","&nbsp;","&nbsp;"
"ptychosperma      schefferi","&nbsp;","&nbsp;","&nbsp;"
"ptychosperma      sanderianum","$55.00","$155.00","&nbsp;"
"ptychosperma      sp. hentyii","&nbsp;","&nbsp;","&nbsp;"
"ptychosperma      waitianum","$85.00","&nbsp;","&nbsp;"
"raphia      australis","&nbsp;","&nbsp;","&nbsp;"
"raphia      fairinifera","$85.00","&nbsp;","&nbsp;"
"ravenea      albicans","&nbsp;","&nbsp;","&nbsp;"
"ravenea      dransfieldii","&nbsp;","&nbsp;","&nbsp;"
"ravenea      glauca","$65.00","$155.00","&nbsp;"
"ravenea      hildebrandtii","$98.00","$215.00","&nbsp;"
"ravenea      julietiae","$98.00","&nbsp;","&nbsp;"
"ravenea      krociana","&nbsp;","&nbsp;","&nbsp;"
"ravenea      lakatra","&nbsp;","&nbsp;","&nbsp;"
"ravenea      louvelli","&nbsp;","&nbsp;","&nbsp;"
"ravenea      madagascariensis","$85.00","$215.00","&nbsp;"
"ravenea      musicalis","&nbsp;","&nbsp;","&nbsp;"
"ravenea      rivularis","$35.00","&nbsp;","&nbsp;"
"ravenea      robustior","&nbsp;","$155.00","$400.00"
"ravenea      sambiranensis","&nbsp;","&nbsp;","30g$350"
"ravenea      sp. aujouan","$98.00","$235.00","&nbsp;"
"ravenea      sp. asokafana","$85.00","$155.00","&nbsp;"
"ravenea      sp. fierenana","$85.00","$225.00","&nbsp;"
"ravenea      sp. manompana","$85.00","$225.00","&nbsp;"
"ravenea      sp. mayotte","$98.00","$235.00","&nbsp;"
"ravenea      sp. marinjo","$85.00","$155.00","&nbsp;"
"ravenea      xerophila","$85.00","$155.00","&nbsp;"
"reinhardtia      latisecta","&nbsp;","&nbsp;","&nbsp;"
"reinhardtia      paiewonskiana","$85.00","&nbsp;","&nbsp;"
"reinhardtia      simplex","&nbsp;","&nbsp;","&nbsp;"
"rhapis      excelsa","$55.00","$435.00","&nbsp;"
"rhapis      humilis","&nbsp;","&nbsp;","&nbsp;"
"rhapis      multifida","$65.00","&nbsp;","&nbsp;"
"rhapis      subtilis","$65.00","&nbsp;","&nbsp;"
"rhopaloblaste      augusta","&nbsp;","&nbsp;","&nbsp;"
"rhopaloblaste      ceramica","&nbsp;","$335.00","&nbsp;"
"rhopalostylis      baueri","$55.00","$185.00","$375.-$600."
"rhopalostylis      baueri","$55.00","&nbsp;","&nbsp;"
"rhopalostylis      sapida","$55.00","$215.00","$350.-$600."
"rhopalostylis      sp.","&nbsp;","&nbsp;","&nbsp;"
"roscheria      melanochaetes","&nbsp;","$215.00","&nbsp;"
"roystonea      borinquena","$55.00","$285.00","$250.00"
"roystonea      oleracea","$55.00","$285.00","&nbsp;"
"roystonea      regia","$55.00","$285.00","$250.00"
"roystonia      violacea","$55.00","$285.00","$250.00"
"sabal      bahamensis","$55.00","&nbsp;","&nbsp;"
"sabal      bermudana","$55.00","$215.00","&nbsp;"
"sabal      causiarum","&nbsp;","&nbsp;","&nbsp;"
"sabal      dominguensis","$55.00","&nbsp;","&nbsp;"
"sabal      mauritiiformis","$55.00","$215.00","&nbsp;"
"sabal      minor","&nbsp;","&nbsp;","&nbsp;"
"sabal      palmeto","$55.00","$95.00","$225.00"
"sabal      princeps","&nbsp;","&nbsp;","&nbsp;"
"sabal      rosei","$45.00","$155.00","&nbsp;"
"sabal      uresana","&nbsp;","$145.00","&nbsp;"
"sabal      yapa","$55.00","$145.00","&nbsp;"
"sabal      sp. riverside","&nbsp;","&nbsp;","&nbsp;"
"salacca      magnifica","&nbsp;","&nbsp;","&nbsp;"
"salacca      zalacca","&nbsp;","&nbsp;","&nbsp;"
"satakentia      liukiuensis","&nbsp;","&nbsp;","&nbsp;"
"serenoa      repens","$55.00","$210.00","&nbsp;"
"socratea      exerizum","&nbsp;","&nbsp;","&nbsp;"
"syagrus      amara","$55.00","&nbsp;","&nbsp;"
"syagrus      botryophora","$135.00","$341.00","&nbsp;"
"syagrus      cearensis","&nbsp;","&nbsp;","&nbsp;"
"syagrus      coronata","$65.00","&nbsp;","&nbsp;"
"syagrus      flexuosa","$85.00","&nbsp;","&nbsp;"
"syagrus      glaucescens","&nbsp;","&nbsp;","&nbsp;"
"syagrus      oleracea","$55.00","&nbsp;","&nbsp;"
"syagrus      petraea","&nbsp;","&nbsp;","&nbsp;"
"syagrus      pseudococos","&nbsp;","&nbsp;","&nbsp;"
"syagrus      picrophylla","$55.00","&nbsp;","&nbsp;"
"syagrus      romanzoffianum","$32.00","$215.00","$150.+"
"syagrus      sancona","$55.00","&nbsp;","&nbsp;"
"syagrus      schizophilla","$65.00","&nbsp;","&nbsp;"
"syagrus      yungasensis","&nbsp;","&nbsp;","&nbsp;"
"syagrus      vagens","&nbsp;","&nbsp;","&nbsp;"
"synechantuus      fibrosus","$55.00","&nbsp;","&nbsp;"
"synechanthus      warscewiczianus","&nbsp;","&nbsp;","&nbsp;"
"thrinax      morrisii","$85.00","&nbsp;","&nbsp;"
"thrinax      parviflora","&nbsp;","$115.00","&nbsp;"
"thrinax      radiata","$45.00","&nbsp;","&nbsp;"
"trachycarpus      fortunei","$45.00","&nbsp;","&nbsp;"
"trachycarpus      latisectus","$55.00","&nbsp;","&nbsp;"
"trachycarpus      mampur","&nbsp;","&nbsp;","&nbsp;"
"trachycarpus      martianus","$55.00","&nbsp;","$450.00"
"trachycarpus      nanus","&nbsp;","&nbsp;","&nbsp;"
"trachycarpus      princeps","&nbsp;","&nbsp;","&nbsp;"
"trachycarpus      takil","single","&nbsp;","375.00"
"trachycarpus      takil","double","114.00","&nbsp;"
"trachycarpus      takil","triple","114.00","&nbsp;"
"trachycarpus      wagnerianus","&nbsp;","$185.00","&nbsp;"
"trachycarpus      sp. naga hills","&nbsp;","&nbsp;","&nbsp;"
"trachycarpus      sp.","&nbsp;","&nbsp;","&nbsp;"
"trithrinax      acanthocoma","&nbsp;","$115.00","$185.00"
"trithrinax      campestris","&nbsp;","&nbsp;","&nbsp;"
"trithrinax      schizophylla","&nbsp;","&nbsp;","&nbsp;"
"veillonia      alba","&nbsp;","&nbsp;","&nbsp;"
"veitchia      arecina","$55.00","$155.00","&nbsp;"
"veitchia      joannis","$55.00","$155.00","&nbsp;"
"veitchia      mcdanielsii","$55.00","&nbsp;","$215.00"
"veitchia      metiti","&nbsp;","&nbsp;","&nbsp;"
"veitchia      montgomeryana","&nbsp;","&nbsp;","&nbsp;"
"veitchia      sessilifolia","&nbsp;","$155.00","&nbsp;"
"verschaffellltia      splendida","&nbsp;","&nbsp;","&nbsp;"
"wallichia      caryotoides","&nbsp;","&nbsp;","&nbsp;"
"wallichia      densiflora","$65.00","&nbsp;","&nbsp;"
"wallichia      disticha","$98.00","&nbsp;","&nbsp;"
"wallichia      oblongifoilia","&nbsp;","&nbsp;","&nbsp;"
"wettinia      maynensis","&nbsp;","&nbsp;","&nbsp;"
"washingtonia      filifera","26.00","65.00","185.00 +"
"washingtonia      robusta","18.00","48.00","165.00 +"
"wodyetia      bifurcata","$55.00","$155.00","335.00"
"zombia      antillarum","&nbsp;","&nbsp;","&nbsp;"
"NULL","&nbsp;","&nbsp;","&nbsp;"
