"photo link","photo id","geographic name","features"
"NULL","sts074-734-8","germany","rhein river strip mines"
"NULL","nm23-777-722","germany","rhine river"
"NULL","nm23-742-193","germany","rhine river mannheim"
"NULL","sts047-74-27","germany","starnberger lake alps"
"NULL","sts068-246-61","germany","strip mines agr. forest"
"NULL","sts056-90-79","ghana","volta res. sunglint"
"NULL","sts060-73-11","greece","aegean seacoast area"
"NULL","sts066-101-39","greece","amvrakikos bay mts.is."
"NULL","sts090-759-49","greece","athens aiyina island"
"NULL","sts078-732-49","greece","b. of alkionidhon mts."
"NULL","sts040-610-49","greece","cyclades aegean sea"
"NULL","sts036-151-95","greece","evvoia isl/gulfathens"
"NULL","sts073-739-33","greece","kefallinia & ithaki islands"
"NULL","sts056-79-38","greece","khalkidhiki pen.lakes"
"NULL","sts078-740-66","greece","khalkisparnis mts.agr."
"NULL","sts078-732-53","greece","khios islandturkeycst."
"NULL","sts073-722-51","greece","lesvos i.salt pansmts."
"NULL","sts062-90-50","greece","patrai area"
"NULL","sts034-86-96","greece","peloponnesus peninsula"
"NULL","sts056-78-32","greece","thasos i.soft focus"
"NULL","sts079-810-33","greece","thessaloniki"
"NULL","sts056-151-163","greece","thessalonikiaegean sea"
"NULL","sts078-743-76","greece","zakinthos i. cityroads"
"NULL","sts045-152-105","greenland","cape farewell fjords"
"NULL","sts085-713-74","greenland","icebergs"
"NULL","sts085-729-53","greenland","prins christians sound"
"NULL","sts081-728-55","guatemala","guatemala city volcano"
"NULL","sts51c-38-31","guatemala","quezaltenango"
"NULL","sts41c-40-2130","gulf of mexico","clouds frontal system"
"NULL","sts51i-44-52","gulf of mexico","hurricane elena"
"NULL","sts069-737-51","guyana","essequibo river delta"
"NULL","sts51i-31-93","guyana","georgetown"
"NULL","sts094-728-24","haiti","gulf of la gonave"
"NULL","sts060-84-56","haiti","gulfisland of gonave"
"NULL","sts51g-36-63","haiti","port-au-prince bay"
"NULL","sts051-72-83","haiti","port-au-prince res. mt"
"NULL","sts094-723-83","honduras","gulf of fonseca"
"NULL","sts51a-45-27","honduras","isla de roatan"
"NULL","sts080-748-75","india","brahmaputra r.deforest."
"NULL","nm23-735-942","india","brahmaputra river"
"NULL","sts038-82-21","india","brahmaputra river basin"
"NULL","sts066-85-80","india","braided r hanumannag"
"NULL","sts087-757-70","india","chilka lakemahandadi r."
"NULL","sts055-76-21","india","delhi new delhi"
"NULL","sts034-77-29","india","deltas-godavari/krishna"
"NULL","sts066-85-76","india","ganges r jamalpur area"
"NULL","sts027-39-27","india","ganges river"
"NULL","sts055-74-t","india","godavari river delta"
"NULL","sts066-127-79","india","himalayas pir panjal ra"
"NULL","sts032-72-61","india","krishna r/delta coast"
"NULL","sts087-707-60","india","mahandi river"
"NULL","sts61b-50-7","india","mouths of the ganges"
"NULL","sts059-l22-154","india","rann of kutch"
"NULL","sts094-712-21","india","sambhar salt lake"
"NULL","sts052-72-43","india","w coast pune"
"NULL","nasa7-711-51","india","western ghatsreservoirs"
"NULL","sts044-79-77","indian ocean","ocean features clouds"
"NULL","sts056-85-66","indian ocean","rowley shoals"
"NULL","sts61a-44-90","indonesia","borneo"
"NULL","sts065-94-43","indonesia","flores i. vol."
"NULL","sts008-50-1840","indonesia","ili boleng volcano plume"
"NULL","sts049-97-50","indonesia","java raung volcano"
"NULL","sts049-97-51","indonesia","lombok whole island"
"NULL","sts094-718-7","indonesia","sangeang island smoke"
"NULL","sts037-152-227","indonesia","sumatera-bangka i."
"NULL","sts069-721-91","indonesia","sumbawa komodo island"
"NULL","sts049-97-54","indonesia","sumbawa tamboro volcano"
"NULL","sts033-71-52","indonesia","sungai river delta"
"NULL","sts033-82-71","indonesia","timor"
"NULL","sts078-727-21","indonesia-b","barito river sed. plume"
"NULL","sts078-727-22","indonesia-b","cape selatan sed. plume"
"NULL","sts078-743-44","indonesia-b","cst.djulai & airhitam r"
"NULL","sts078-750-13","indonesia-j","coastmanuk r.sedtanks"
"NULL","sts059-214-60","indonesia-j","surabaja area coast"
"NULL","sts065-112-43","indonesia-wng","coast bian river road"
"NULL","sts068-202-32","indonesia-wng","near nabire"
"NULL","sts074-708-30","iran","delta caspian sea"
"NULL","iss008-e-16328","iran","dust storm kerman desert"
"NULL","sts056-79-25","iran","elburz mts.caspian cst"
"NULL","sts001-8-230","iran","euphrates/tigris r delta"
"NULL","sts055-92-84","iran","kharg island tankers"
"NULL","sts040-75-d","iran","kuwait firespersian g."
"NULL","sts41g-37-84","iran","lake orumiyeh"
"NULL","sts064-80-87","iran","mt ararat lava bedsvol"
"NULL","sts091-704-92","iran","namak salt waste"
"NULL","sts091-704-82","iran","namake sirian desert"
"NULL","sts078-732-88","iran","northern end persian g."
"NULL","sts040-73-85","iran","persian ghormuz str."
"NULL","sts036-74-75","iran","persian gulf"
"NULL","sts075-702-49","iran","qeshm i.riverssed.is."
"NULL","sts091-719-53","iran","rashtcoastsend r.delta"
"NULL","sts091-719-59","iran","tehran shahr rey karaj"
"NULL","sts047-151-35","iran","zagros mts."
"NULL","sts059-211-58","iraq","baghdad"
"NULL","sts078-740-87","iraq","baghdad tigris r. agr."
"NULL","sts078-732-82","iraq","lake razazah desert"
"NULL","nm23-762-192","ireland","bantry bay"
"NULL","nm23-762-198","ireland","lake neagh"
"NULL","sts059-l13-5","ireland","limerickgalway baymts."
"NULL","sts084-728-99","israel","gaza strip"
"NULL","sts079-810-49","israel","haifa lake tiberias"
"NULL","nm23-755-505","israel","jordan river valley coast"
"NULL","sts41g-120-56","israel","lebanon/syria/jordan"
"NULL","sts079-810-48","israel","tel aviv gaza strip"
"NULL","nm23-707-417","italy","appennines"
"NULL","nm23-707-418","italy","appennines napoli"
"NULL","nasa6-709-7","italy","boot of italy"
"NULL","sts060-90-15","italy","coast near pisa"
"NULL","sts047-94-23","italy","cstnaplesmt.vesuvius"
"NULL","sts060-90-17","italy","elba island"
"NULL","nasa6-709-9","italy","gulf of taranto"
"NULL","nasa7-722-46h","italy","gulf of trieste trieste"
"NULL","sts081-717-73","italy","l. bolsena l. bracciano"
"NULL","sts081-717-66","italy","lake garda mountains"
"NULL","nm23-743-51","italy","lake maggiore alps"
"NULL","sts081-717-72","italy","lake trasimeno"
"NULL","nm23-776-834","italy","milan lakes"
"NULL","nm21-771-75","italy","naples mt. vesuviusbay"
"NULL","nasa6-703-44","italy","po river valley smog"
"NULL","sts058-109-39","italy","point stilo"
"NULL","sts060-90-28","italy","rome tiber river"
"NULL","sts090-715-60","italy","strait of messina wakes"
"NULL","sts094-744-57","jamaica","west coast"
"NULL","sts058-110-33","japan","cities of osaka & kobe"
"NULL","sts068-200-23","japan","coast near kushiro"
"NULL","sts058-111-32","japan","coast near sendal"
"NULL","sts068-205-64","japan","e hokaido island"
"NULL","sts039-609-10","japan","hiroshima kure"
"NULL","sts068-245-92","japan","hokkaido mts.lakes cy"
"NULL","sts068-244-70","japan","hokkaido obihiro agric"
"NULL","sts058-103-80","japan","honshu itoky0 yokohama"
"NULL","sts040-72-54","japan","honshuw.cstakitaagr."
"NULL","sts043-608-37","japan","iriomote island"
"NULL","sts043-608-38","japan","ishigaki island"
"NULL","sts068-214-67","japan","kokkaido nemuro bayagr"
"NULL","sts034-84-36","japan","kyushu"
"NULL","sts059-l16-bb","japan","kyushu bays mtsrivers"
"NULL","sts068-253-8","japan","kyushu kita-kyushu area"
"NULL","sts068-253-7","japan","kyushu radial drainage"
"NULL","sts61a-44-100","japan","mount fuji"
"NULL","sts058-110-36","japan","mt. fuji volcano"
"NULL","sts040-610-30","japan","n. honshu sendai"
"NULL","sts040-610-28","japan","n. honshu tsugarn str."
"NULL","sts61a-44-97","japan","nagoya"
"NULL","sts090-743-28","japan","nagoya kuwana ise bay"
"NULL","sts043-608-46","japan","okinawa izena/iheya is."
"NULL","sts043-608-45","japan","okinawa kadena"
"NULL","sts51b-44-54","japan","osaka bay"
"NULL","sts059-71-27","japan","osaka osaka bay ships"
"NULL","sts059-218-44","japan","pan- shikoku s honshu"
"NULL","sts066-117-34","japan","sado island island wake"
"NULL","sts043-608-39","japan","sakishima islands"
"NULL","sts058-111-84","japan","sakura-jima volcano"
"NULL","sts51b-44-52","japan","shikoku"
"NULL","sts034-83-30","japan","shikoku honshu"
"NULL","sts058-99-83","japan","shikoku nihama islands"
"NULL","sts047-151-318","jordan","dead s. ammanjerusalem"
"NULL","sts085-755-38","kazakhstan","alakol' lake"
"NULL","sts51f-36-59","kazakhstan","aral sea"
"NULL","sts068-163-123","kazakhstan","aral sea bayssalt pans"
"NULL","nm21-735-46","kazakhstan","aral sea paskevicha bay"
"NULL","sts068-157-135","kazakhstan","area east of dzhambul"
"NULL","sts028-87-61","kazakhstan","caspian sea"
"NULL","sts079-781-100","kazakhstan","karatal riverl.balkhash"
"NULL","nm23-751-347","kazakhstan","lake balkhash"
"NULL","sts039-85-e","kazakhstan","lake balkhash steppes"
"NULL","sts028-91-b","kazakhstan","lake sasykkol"
"NULL","sts073-701-33","kazakhstan","lakesalt panscaspian s"
"NULL","sts059-223-42","kazakhstan","ozero issyk-kul mts. l"
"NULL","sts085-711-78","kazakhstan","pan-aral sea"
"NULL","sts085-503-119","kazakhstan","pan-aral sea dust"
"NULL","nm23-751-355","kazakhstan","sasykkol lake"
"NULL","sts112-e-6013","kazakhstan","surface mines agriculture arkalyk"
"NULL","sts091-714-66","kazakhstan","syrdar riveragriculture"
"NULL","sts059-75-30","kazakhstan","troitsk factory smoke"
"NULL","sts059-223-71","kazakhstan","tyub-karagan pen. sea"
"NULL","sts51f-44-18","kazakhstan","tyuratam syr river"
"NULL","nm23-751-353","kazakhstan","zhideli river delta"
"NULL","sts007-24-1323","kenya","lake rudolf"
"NULL","sts069-713-91","kenya","lake rudolf mts. des."
"NULL","sts51i-39-8","kenya","lake rudolf omo river"
"NULL","sts067-726-94","kiribati","christmas ib. of wrecks"
"NULL","sts041-79-97","kiribati","fanning island"
"NULL","sts039-609-62","kuwait","burqan wafrah fires"
"NULL","sts037-152-91","kuwait","faylaka i.-kuwait fires"
"NULL","sts080-733-21","kuwait","kuwait city oil field"
"NULL","sts044-75-27","kuwait","oil fields/persian gulf"
"NULL","sts039-72-60","kuwait","oil well fires/plumes"
"NULL","sts028-80-30","kyrgyzstan","kayrakkumskoye reservoir"
"NULL","sts047-77-82","kyrgyzstan","lake issyk-kul"
"NULL","sts091-715-5","kyrgyzstan","lake issykkul"
"NULL","sts61a-48-4","laos","mekong river"
"NULL","sts060-107-23","lebanon","beirutlebanon mtscoast"
"NULL","sts078-742-74","lebanon","litani r. agr.damascus"
"NULL","sts064-76-bb","lesser antilles","antigua i. sunglint"
"NULL","sts090-716-x","lesser antilles","aruba smoke granjestad"
"NULL","sts075-706-41","lesser antilles","bonaire island"
"NULL","sts064-84-83","lesser antilles","guadeloupe mts. cities"
"NULL","iss024-e-12920","lesser antilles","pan-hurricane earl eye spiral bands sea surface iss"
"NULL","sts054-74-49","lesser antilles","st. croix"
"NULL","sts036-151-16","libya","awbaripivot irrig ss"
"NULL","sts026-46-5","libya","jabal auenat j. arkenu"
"NULL","sts026-45-5","libya","kufra oasis pivot irrig"
"NULL","sts052-75-17","libya","uau ennamus volcano"
"NULL","sts038-74-87","loyalty islands","lifou islandweafld"
"NULL","sts038-74-86","loyalty islands","ouvea atollbeautemps i."
"NULL","sts007-3-58","madagascar","betsiboka river delta"
"NULL","sts056-86-15","madagascar","cape ambre diego suarez"
"NULL","sts033-71-94","madagascar","mangoky riverlac ihotry"
"NULL","sts061-98-5","madagascar","southern central areas"
"NULL","sts056-78-91","madeira islands","madiera island"
"NULL","sts061-75-48","malawi","l. nyasa smoke river"
"NULL","sts059-76-17","malaysia","batang r. delta sed."
"NULL","sts087-724-43","malaysia","bintulu"
"NULL","sts075-733-95","malaysia","kelantan r. coast tail"
"NULL","sts066-80-11","malaysia","peninsulafield patterns"
"NULL","sts087-721-11","malaysia","rajang river coast"
"NULL","sts61a-37-76","malaysia","telok brunei"
"NULL","sts056-152-160","maldives","nilandu atoll area"
"NULL","sts081-749-87","mali","inland delta niger river"
"NULL","sts037-77-15","mali","lake faguibine"
"NULL","sts61a-43-78","mali","niger deltal. faguibine"
"NULL","sts052-100-34","mali","niger river"
"NULL","sts085-750-57","malta","malta valletta"
"NULL","sts041-79-70","marshall islands","wake island"
"NULL","sts031-151-16","mauritania","baie de leverier"
"NULL","sts037-84-21","mauritania","near village of atar"
"NULL","sts058-88-17","mauritania","richat structure"
"NULL","sts057-73-75","mediterranean sea","pan-nile delta turkey"
"NULL","sts090-732-76","mexico","acapulco"
"NULL","sts056-77-57","mexico","agr.falcon res.mts."
"NULL","sts080-702-94","mexico","aguascalientesagr.res."
"NULL","sts068-273-56","mexico","alvara obragon res."
"NULL","sts068-260-31","mexico","baja cstsglintcurrents"
"NULL","sts081-724-24","mexico","baja magdalena island"
"NULL","sts059-91-29","mexico","chapala l. occidental"
"NULL","sts61c-31-35","mexico","colima volcano plume"
"NULL","sts077-704-12","mexico","cozumel i. coast roads"
"NULL","sts040-73-54","mexico","g.califcol.r/deltaagr."
"NULL","sts61b-40-64","mexico","guadalajara"
"NULL","sts043-76-61","mexico","guadalupe i.cloud wake"
"NULL","sts075-759-21","mexico","lag. de terminossed.is"
"NULL","sts081-724-22","mexico","lagoon san ignacio"
"NULL","sts090-740-69","mexico","mazatlan coast"
"NULL","sts056-77-58","mexico","mcallenagr.falcon res."
"NULL","sts61b-40-65","mexico","mexico city"
"NULL","sts61c-32-2","mexico","mexico city basin"
"NULL","nm22-741-54b","mexico","mexico city roads vol."
"NULL","sts062-151-377","mexico","monterrey"
"NULL","sts060-101-53","mexico","ohvira bay agriculture"
"NULL","sts091-713-24","mexico","point frontera smoke"
"NULL","sts51b-34-80","mexico","popocatepetl puebla"
"NULL","sts034-74-101","mexico","rio grandeamistad res."
"NULL","sts080-702-95","mexico","san luis potosi agr."
"NULL","sts087-706-5","mexico","sierra madre oriental"
"NULL","sts078-735-20","mexico","sierra madremine runoff"
"NULL","sts080-706-8","mexico","sierra santa claracoast"
"NULL","sts091-701-74","mexico","smoke coast muerto sea"
"NULL","nm23-743-83","mexico","tampico"
"NULL","sts038-86-6","mexico","torreongomez pal acio"
"NULL","sts073-744-57","mexico","usa border mts. res."
"NULL","sts094-731-17","mexico","veracruz"
"NULL","sts039-603-12","mongolia","altai mts. v. of lakes"
"NULL","sts068-218-42","mongolia","altai mts.drainage r."
"NULL","sts068-154-87","mongolia","l. hovsgol mountains"
"NULL","sts059-l17-31","mongolia","pan-valley of the lakes"
"NULL","nm23-751-366","mongolia","uvs lake"
"NULL","sts056-153-182","morocco","cstcasablancainterior"
"NULL","sts059-l03-2","morocco","great atlas mts."
"NULL","sts032-74-24","mozambique","baia de maputo"
"NULL","sts036-73-56","mozambique","ilha do bazaruto"
"NULL","sts054-151-23","mozambique","lourenco marques bay"
"NULL","sts61c-37-42","mozambique","rio pungoe rio buzicst"
"NULL","sts51i-42-40","mozambique channel","current boundary"
"NULL","sts095-721-at","myanmar (burma)","chindwin r.arakan hills"
"NULL","sts030-151-62","myanmar (burma)","chindwin/irrawaddy riv."
"NULL","sts076-704-35","myanmar (burma)","irrawaddy deltasunglint"
"NULL","sts087-722-76","myanmar (burma)","irrawaddy river"
"NULL","sts059-l13-88","myanmar (burma)","irrawaddy river delta"
"NULL","sts075-709-5","myanmar (burma)","mandalayirrawaddy river"
"NULL","sts033-92-72","myanmar (burma)","mayu river-mountains"
"NULL","sts61b-49-101","myanmar (burma)","mouths of the irrawaddy"
"NULL","sts068-253-72","myanmar (burma)","salween river delta"
"NULL","sts048-77-46","namibia","brandberg mtn."
"NULL","sts51g-46-78","namibia","etosha pan ovamboland"
"NULL","sts51i-35-3","namibia","namib desert"
"NULL","sts055-152a-104","nepal","himalaya ramarshes"
"NULL","sts056-152-52","nepal","jhawani areafoothills"
"NULL","sts066-208-25","nepal","mount everest"
"NULL","sts076-727-80","nepal","tibet mt. everestindia"
"NULL","sts085-506-98","netherlands","rotterdam amsterdam"
"NULL","sts089-743-5","new zealand","auckland islands wakes"
"NULL","sts008-36-1403","new zealand","kermadec islands"
"NULL","sl4-142-4592","new zealand","north icook strl.taupo"
"NULL","sts056-98-80","new zealand-ni","north island"
"NULL","sts056-98-78","new zealand-ni","north island lake taupo"
"NULL","sts110-726-10","new zealand-ni","rotorua geothermal"
"NULL","sts064-98-75","new zealand-si","banks peninsula"
"NULL","sts079-835-68","new zealand-si","canterbury plains southern alps"
"NULL","sts056-101-64","new zealand-si","lake tekapo lake pukaki"
"NULL","sts079-835-65","new zealand-si","s. alps waitaki river"
"NULL","sts081-728-58","nicaragua","gulf of fonseca"
"NULL","sts61c-31-51","nicaragua","l.managua volmanagua"
"NULL","sts081-742-23","nicaragua","lake managua"
"NULL","sts081-742-25","nicaragua","lake nicaragua"
"NULL","sts034-88-8","nicaragua","managua"
"NULL","sts51a-32-64","nicaragua","masaya volcano plume"
"NULL","sts030-87-42","niger","air mountains"
"NULL","sts052-82-7","niger","grand erg of bilma"
"NULL","sts049-92-71","niger","pan-dust storm air mountains"
"NULL","sts041-86-91","niger","plateau du djado"
"NULL","sts054-152-189","niger","tchigai plat. marzuq d."
"NULL","sts061-75-23","nigeria","l. chad river desert"
"NULL","sts052-80-66","nigeria","lake chad"
"NULL","sts61c-42-72","nigeria","niger r. delta coast"
"NULL","sts058-84-29","north korea","yalu river mountains"
"NULL","sts038-82-68","oman","city of salalah"
"NULL","sts056-154-74","oman","oman mts. wahiba sands"
"NULL","sts085-501-14","oman","wahibah sands oman mts."
"NULL","sts068-244-93","pacific ocean","cloud formationssunglnt"
"NULL","sts032-97-6","pacific ocean","clouds"
"NULL","sts51i-37-83","pacific ocean","eye--typhoon odessa"
"NULL","iss029-e-6020","pacific ocean","pan-southern ocean aurora australisairglow solar panels iss hardware"
"NULL","iss028-e-18218","pacific ocean","space shuttle plasma plumeairglowlimbstation hardware"
"NULL","sts044-93-80","pacific ocean","typhoon yuri eye"
"NULL","sts059-210-33","pacific ocean i(s).","iwo jima"
"NULL","sts055-80-63","pacific ocean i(s).","wake island"
"NULL","sts055-77-69","pakistan","coastline makran range"
"NULL","sts087-715-70","pakistan","karachi"
"NULL","sts036-76-75","pakistan","mountains indus river"
"NULL","sts075-706-82","pakistan","mouths of the indussed."
"NULL","sts062-86-21","pakistan","pan-indus river delta"
"NULL","sts087-702-23","pakistan","salt flat"
"NULL","sts062-85-95","panama","panama canal & citylake"
"NULL","iss006-e-23743","panama","panama canal panama city"
"NULL","sts064-116-47","papua new guinea","rabaul vol. plume dust"
"NULL","sts064-40-10","papua new guinea","rabaul volcano eruption"
"NULL","sts058-112-28","paraguay","concepion paraguay r."
"NULL","nm22-737-63","paraguay","r. parana res.huzaingo"
"NULL","sts41b-42-2483","paraguay","rio parana"
"NULL","nm23-773-56","paraguay","rio parana smoke"
"NULL","nm23-716-395","paraguay","rio yguazu reservoir"
"NULL","sts046-74-94","persian gulf","kuwait cityfire scars"
"NULL","sts084-708-28","peru","chachani & el misti vol."
"NULL","sts056-75-35","peru","coast riversagr.andes"
"NULL","sts084-727-46","peru","coast chimbote"
"NULL","sts084-727-49","peru","coast huacho"
"NULL","sts084-727-53","peru","coast lima/callao"
"NULL","sts077-728-57","peru","coastal plainandes mts."
"NULL","sts084-708-25","peru","coropuna volcano"
"NULL","iss021-e-8370","peru","el misti volcano arequipa chili river"
"NULL","sts057-106-56","peru","junin lake"
"NULL","sts078-733-30","peru","lake titicaca drainage"
"NULL","sts057-75-46","peru","lake titicacavols.mts."
"NULL","sts026-40-56","peru","nev. chachani volcanoes"
"NULL","sts026-40-55","peru","nevada ampato"
"NULL","sts056-75-15","peru","sechura desertlakes"
"NULL","sts045-152-274","philippines","manila bay taal volcano"
"NULL","sts080-706-45","philippines","mt. pinatubolaharscst."
"NULL","sts046-75-79a","philippines","mt.pinatubo area"
"NULL","sts047-85-95","portugal","lisbon area"
"NULL","sts090-748-93","portugal","lisbon tagus river"
"NULL","sts094-748-2","puerto rico","arecibo"
"NULL","sts034-76-88","puerto rico","entire issan juanponce"
"NULL","sts094-721-52","puerto rico","san juan"
"NULL","sts078-748-15","qatar","ad dawhah roads docks"
"NULL","sts049-77-77","red sea","currents wake sunglint"
"NULL","sts063-704-73","republic south africa","cape town smokesunglnt"
"NULL","sts056-151-253","republic south africa","drakensberg"
"NULL","sts056-154-165","republic south africa","drakensberg c. seal"
"NULL","sts038-84-72","republic south africa","elandsriver"
"NULL","sts061-103-32","republic south africa","great karooorange river"
"NULL","sts41d-44-30","republic south africa","hartswater irrigation"
"NULL","sts035-80-32","republic south africa","johannesburg"
"NULL","sts049-71-58","republic south africa","phalaborwa mining"
"NULL","sts054-151-19","republic south africa","transvaal drakensberg"
"NULL","sts049-94-23","reunion","whole island"
"NULL","sts068-211-80","romania","carpathian mts. rivers"
"NULL","sts059-98-114","romania","constanta abblox ragr."
"NULL","sts084-712-99","romania","constanta danube river"
"NULL","nasa7-720-6","romania","danube deltakiliyaagr."
"NULL","sts085-704-22","romania","danube river delta lake razelm"
"NULL","sts066-157-134","russian federation","angara river valley"
"NULL","iss008-e-9603","russian federation","argudan agriculture forest snow"
"NULL","sts045-153-ad","russian federation","beringa island"
"NULL","sts068-153-17","russian federation","chany lake area"
"NULL","sts068-269-7","russian federation","city of kurgantobol r."
"NULL","sts068-269-4","russian federation","city of sverdlovsklakes"
"NULL","sts066-110-64","russian federation","irtysh ragriculture rr"
"NULL","sts068-273-33","russian federation","kamchatka pen. volcanoes"
"NULL","sts053-96-83","russian federation","kamchatka pen. snow"
"NULL","nm23-735-994","russian federation","kamchatka pen.volcanoes"
"NULL","sts045-79-n","russian federation","kamchatka sea ice"
"NULL","sts039-81-x","russian federation","kamchatka-c.shipunskiy"
"NULL","sts068-150-45","russian federation","klyuchevskaya erupting"
"NULL","sts068-258-26","russian federation","klyuchevskaya volcano"
"NULL","sts068-225-10","russian federation","kulundinskoye l. agric."
"NULL","sts047-90-85","russian federation","kuril ikharimkotan i."
"NULL","sts047-75-82","russian federation","kuril i.atlasova island"
"NULL","sts068-231-54","russian federation","kuril is. onekotan i."
"NULL","sts068-231-74","russian federation","l. baikal selenga delta"
"NULL","sts084-721-29","russian federation","l. baikal selenga r. d."
"NULL","sts066-155-152","russian federation","l.baikal angara river"
"NULL","sts066-155-154","russian federation","l.baikal selenga r. del"
"NULL","sts059-90-86","russian federation","lake baikal"
"NULL","sts039-77-73","russian federation","lake baikal-svyatoynos p"
"NULL","sts61a-45-98","russian federation","lake kronotskoye"
"NULL","sts028-76-84","russian federation","lake kulundinskoye"
"NULL","sts068-200-32","russian federation","moscow"
"NULL","sts066-82-11","russian federation","mouth of don river"
"NULL","iss008-e-9610","russian federation","nalchik forest airport agriculture"
"NULL","sts059-210-11","russian federation","omsk"
"NULL","sts068-172-81","russian federation","pan-caspian seacaucasus"
"NULL","sts068-214-43","russian federation","pan-vol. dust plume cl."
"NULL","sts066-82-17","russian federation","res proletarsk area"
"NULL","sts064-215-28","russian federation","res. don r. agr. city"
"NULL","sts068-161-106","russian federation","rostov-na-donu area"
"NULL","sts047-90-93","russian federation","s.end of kamchatka"
"NULL","sts068-206-40","russian federation","selenga river delta"
"NULL","sts068-200-106","russian federation","tobol river valley"
"NULL","sts068-254-44","russian federation","tsimlyansk reservoir"
"NULL","sts068-239-30","russian federation","tulun iya r. quarries"
"NULL","sts066-157-72","russian federation","uda river udskaya bay"
"NULL","sts61a-45-72","russian federation","vladivostok"
"NULL","sts039-80-48","russian federation","volga r. del.-astrakhan"
"NULL","sts059-214-71","russian federation","volga r. near astrakhan"
"NULL","nasa7-720-23","russian federation","volga r. saratov ice"
"NULL","sts039-151-7","russian federation","volga river delta"
"NULL","sts059-217-8","russian federation","volgograd volga river"
"NULL","sts059-225-44","saudi arabia","ad dahna arriyad"
"NULL","sts078-748-7","saudi arabia","al jubayl roads jettys"
"NULL","sts062-110-aa","saudi arabia","an nafud pivot agric."
"NULL","sts032-96-32","saudi arabia","irrigated agriculture"
"NULL","sts037-82-91","saudi arabia","jiddah mecca coast"
"NULL","sts066-118-98","saudi arabia","lava flows medina"
"NULL","sts084-724-76","saudi arabia","nafud desert"
"NULL","sts078-754-47","saudi arabia","pivot agriculture"
"NULL","nm22-726-22","saudi arabia","pivot irrigation dunes"
"NULL","sts069-702-91","saudi arabia","red sea coast jedda"
"NULL","sts040-78-91","saudi arabia","red sea-pan to northeast"
"NULL","iss008-e-16355","saudi arabia","sand storm front persian gulf coast"
"NULL","sts060-97-38","saudi arabia","tuwayq pivot irrigation"
"NULL","sts037-84-67","senegal","caheu casamance rivers"
"NULL","sts037-84-61","senegal","dakar"
"NULL","sts037-153-cf","senegal","dakar sadoum river"
"NULL","sts044-82-57","seychelles","aldabra islands"
"NULL","sts084-702-33","sicily","mount etna volcano"
"NULL","sts078-755-39","sicily","mount etnaplumecatania"
"NULL","sts078-737-50","sicily","mount etnasmokecatania"
"NULL","sts040-78-20","sicily","mt. etna plumesed.plume"
"NULL","sts090-705-58","sicily","palermo streets docks"
"NULL","sts080-711-5","singapore","streetsdocksship wakes"
"NULL","sts068-258-42","society islands","uturoabora-bora islands"
"NULL","sts037-151-236","socotra","entire island-sunglint"
"NULL","sts066-85-18","solomon islands","choiseul island"
"NULL","sts069-711-ag","somalia","hafun coast sunglint"
"NULL","sts049-87-35","somalia","hafunwater dynamics"
"NULL","sts055-151a-120","somalia","horn of africa coast"
"NULL","sts040-72-43","south korea","pohang afld coast"
"NULL","sts058-89-97","spain","alicante coastal area"
"NULL","sts060-90-65","spain","almeria plains"
"NULL","sts058-86-23","spain","baetic mountains"
"NULL","sts036-152-248","spain","biscay cstcantabrica mt"
"NULL","sts081-746-65","spain","cantabrian mts. coast"
"NULL","sts062-90-41","spain","ebro r.delta area"
"NULL","sts090-714-47","spain","guadalquivir deltadunes"
"NULL","nm23-757-24","spain","guadalquivir river delta"
"NULL","sts058-89-94","spain","lorca area"
"NULL","sts085-750-7","spain","madrid"
"NULL","sts059-238-74","spain","pan-strait of gibraltar"
"NULL","nm23-757-43","spain","pyrenees mountains"
"NULL","nm23-776-760","spain","rio ebro delta"
"NULL","sts078-732-9","spain","rio ebro deltaagr.cst."
"NULL","sts028-74-78","spain","rota cadiz"
"NULL","sts039-151-193a","spain","strait of gibraltar"
"NULL","sts078-732-7","spain","valenciaagriculturecst"
"NULL","sts51g-46-1","sudan","al bahr al abyad nile r"
"NULL","sts026-42-23","sudan","jebel marra"
"NULL","sts055-85-3","sudan","sudd swamp white nile"
"NULL","sts052-78-80","sudan","sungala wadi reservoir"
"NULL","sts059-223-65","sweden","north sea baltic sea"
"NULL","sts131-e-11693","sweden","norway jutland peninsulapanspace shuttle discovery"
"NULL","nasa6-710-12","switzerland","alps constance lake"
"NULL","sts068-168-133","switzerland","jura mtsl. geneva alps"
"NULL","nm23-743-47","switzerland","lake geneva jura mts."
"NULL","sts036-152-229","switzerland","pan-alps rhine river"
"NULL","sts078-740-83","syria","assad res.euphratesagr"
"NULL","sts059-l06-77","syria","mts res. agric.desert"
"NULL","sts090-730-66","taiwan","entire islandbashi str."
"NULL","sts066-89-69","taiwan","mts.riverscitieshaze"
"NULL","sts068-239-90","taiwan","t'ai-pei river mts.sed"
"NULL","sts095-712-22","taiwan","tainan taitung haze"
"NULL","sts41b-46-2957","tanzania","kilimanjaro"
"NULL","sts066-117-63","tanzania","kilimanjaro agriculture"
"NULL","sts055-93-38","tanzania","lake eyasi very shallow"
"NULL","sts029-92-38","tanzania","lake natron"
"NULL","sts046-89-20","tanzania","lake natron algae bloom"
"NULL","sts026-42-81","tanzania","ngorongoro crater"
"NULL","sts059-235-31","thailand","bangkok"
