"species","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"grasshopper sparrow","6/10","5/24","6/9","NULL","7/15","6/4","6/4","6/13","NULL","NULL","NULL","NULL"
"nelson's sparrow","NULL","NULL","NULL","10/7","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"fox sparrow","3/28","3/20","1/9","2/3","1/1","3/20","1/4","3/26","3/16","2/10","3/4","3/14"
"song sparrow","1/1","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"lincoln's sparrow","9/5","9/22","5/6","9/12","5/16","5/11","5/12","5/13","5/5","9/22","5/5","5/16"
"swamp sparrow","yes","1/31","1/2","1/8","1/1","1/1","4/17","4/6","3/23","1/6","1/4","1/27"
"white-throated sparrow","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"white-crowned sparrow","9/29","1/1","9/30","5/3","2/12","5/12","5/7","9/27","5/7","9/30","1/2","1/4"
"golden-crowned sparrow","4/13","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"dark-eyed junco","1/1","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"lapland longspur","11/8","NULL","11/24","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"snow bunting","2/1","NULL","11/2","2/22","NULL","11/8","NULL","NULL","NULL","NULL","1/12","10/24"
"summer tanager","NULL","NULL","NULL","5/26","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5/11"
"scarlet tanager","5/6","5/9","5/6","5/3","5/9","5/8","5/3","5/12","5/6","5/9","5/6","4/30"
"western tanager","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","5/10","NULL"
"northern cardinal","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"rose-breasted grosbeak","5/4","5/7","5/4","5/7","5/5","5/5","5/1","5/10","4/30","5/3","5/5","4/27"
"blue grosbeak","NULL","NULL","10/14","NULL","NULL","6/5","5/14","NULL","10/1","10/10","10/17","NULL"
"indigo bunting","5/28","5/9","5/14","5/5","5/9","5/11","5/4","5/13","5/7","5/10","5/7","4/30"
"dickcissel","11/13","10/5","10/5","9/30","10/19","10/1","10/8","10/10","9/1","9/12","9/7","9/28"
"bobolink","7/16","5/23","5/7","5/4","5/7","5/9","5/12","5/6","5/15","5/13","5/5","5/13"
"red-winged blackbird","1/27","1/13","2/9","1/20","1/7","3/9","2/20","3/9","1/11","3/3","1/4","1/4"
"eastern meadowlark","4/4","4/9","4/2","3/31","4/13","4/12","4/7","5/1","4/17","10/8","4/15","4/20"
"yellow-headed blackbird","NULL","NULL","NULL","9/5","NULL","NULL","NULL","NULL","NULL","NULL","NULL","8/14"
"rusty blackbird","3/16","4/9","3/2","1/27","3/30","4/2","4/7","4/6","4/2","3/17","10/13","4/28"
"common grackle","yes","1/18","2/26","1/20","2/16","3/9","2/23","2/16","2/5","1/5","1/1","2/14"
"brown-headed cowbird","yes","1/13","1/22","1/23","1/2","3/19","2/23","3/9","3/12","1/5","3/25","2/19"
"orchard oriole","5/24","5/2","5/4","5/1","4/26","4/30","5/2","5/6","5/4","4/30","4/30","4/28"
"baltimore oriole","4/30","5/1","4/30","5/1","5/1","4/30","4/30","5/3","5/3","5/1","4/30","4/26"
"common chaffinch","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","12/2"
"pine grosbeak","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","3/7","NULL"
"purple finch","4/22","4/23","4/29","4/1","5/8","10/4","1/21","3/30","4/30","9/7","4/17","3/21"
"house finch","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/3","1/1","1/1"
"white-winged crossbill","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","11/15","1/22"
"common redpoll","4/26","10/30","1/20","10/31","1/1","12/14","1/1","1/1","2/4","11/11","1/1","1/4"
"pine siskin","5/15","10/19","1/3","10/22","NULL","NULL","2/12","NULL","NULL","10/19","10/11","1/1"
"american goldfinch","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/3","1/1","1/1"
"evening grosbeak","NULL","11/4","NULL","10/27","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"house sparrow","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
