"bsbi no","latin name","english name"
"1903","senecio sylvaticus","heath groundsel"
"1904","senecio viscosus","sticky groundsel"
"1905","senecio vulgaris","common groundsel"
"1906","serratula tinctoria","saw-wort"
"1912","sherardia arvensis","field madder"
"1916","silaum silaus","pepper saxifrage"
"1259","silene dioica","red campion"
"1258","silene latifolia","white campion"
"1261","silene noctiflora","night-flowering catchfly"
"1923","silene vulgaris","bladder campion"
"1932","sinapis alba","white mustard"
"1933","sinapis arvensis","charlock"
"1938","sisymbrium officinalis","hedge mustard"
"1947","solanum dulcamara","bittersweet"
"1949","solanum nigrum","black nightshade"
"2251","solidago canadensis","canadian goldenrod"
"1951","solidago virgaurea","wild goldenrod"
"1952","sonchus arvensis","corn sowthistle"
"1953","sonchus asper","prickly sowthistle"
"1954","sonchus oleracea","smooth sowthistle"
"1957","sorbus aria agg.","whitebeam"
"1960","sorbus aucuparia","rowan"
"1981","sparganium erectum","common bur-reed"
"1987","spergula arvensis","corn spurrey"
"1990","spergularia marina","lesser sea spurrey"
"1992","spergularia rubra","sand spurrey"
"2001","stachys arvensis","field woundwort"
"237","stachys officinalis","betony"
"2003","stachys palustris","marsh woundwort"
"2005","stachys sylvatica","hedge woundwort"
"2007","stellaria alsine","bog stitchwort"
"2009","stellaria graminea","lesser stitchwort"
"2010","stellaria holostea","greater stitchwort"
"2011","stellaria media","chickweed"
"2013","stellaria neglecta","greater chickweed"
"2014","stellaria nemorum","wood stitchwort"
"2015","stellaria palustris","marsh stitchwort"
"2021","succisa pratensis","devilsbit scabious"
"2022","symphoricarpos albus","snowberry"
"2025","symphytum � uplandicum","russian comfrey"
"4397","symphytum grandiflorum","creeping comfrey"
"2024","symphytum officinalis","common comfrey"
"2026","symphytum orientale","white comfrey"
"5273","symphytum sp.","comfrey"
"2028","symphytum tuberosum","tuberous comfrey"
"2032","tamus communis","black bryony"
"503","tanacetum parthenium","feverfew"
"2033","tanacetum vulgare","tansy"
"2034","taraxacum sp.","dandelion"
"2039","taxus baccata","yew"
"2046","teucrium scorodonia","wood sage"
"2048","thalictrum flavum","common meadow rue"
"2058","thlaspi arvense","pennycress"
"2060","thymus polytrichus","thyme"
"2065","tilia � vulgaris","common lime"
"2063","tilia cordata","small-leaved lime"
"2064","tilia platyphyllos","large-leaved lime"
"2069","torilis japonica","upright hedge parsley"
"2074","tragopogon pratensis","goatsbeard"
"1858","trichophorum cespitosum","deergrass"
"2076","trientalis europaea","chickweed wintergreen"
"2077","trifolium arvense","haresfoot clover"
"2080","trifolium campestre","hop trefoil"
"2081","trifolium dubium","lesser trefoil"
"2082","trifolium hybridum","alsike clover"
"2087","trifolium medium","zigzag clover"
"2091","trifolium pratense","red clover"
"2092","trifolium repens","white clover"
"2102","triglochin palustris","marsh arrowgrass"
"1241","triplospermum maritimum","scentless mayweed"
"2105","trisetum flavescens","yellow oat"
"4367","triticum aestivum","bread wheat"
"2106","trollius europaeus","globeflower"
"2109","tussilago farfara","coltsfoot"
"2110","typha angustifolia","lesser reedmace"
"2111","typha latifolia","common reedmace"
"2112","ulex europaeus","gorse"
"2113","ulex gallii","western gorse"
"2114","ulex minor","lesser gorse"
"2119","ulmus glabra","wych elm"
"2122","ulmus procera","english elm"
"2126","urtica dioica","nettle or stinging nettle"
"2128","urtica urens","small nettle"
"2132","utricularia vulgaris agg.","bladderwort"
"2136","vaccinium myrtillus","bilberry"
"1419","vaccinium oxycoccus","cranberry"
"2138","vaccinium vitis-idaea","cowberry"
"2139","valeriana dioica","marsh valerian"
"2140","valeriana officinalis","common valerian"
"2143","valerianella dentata","corn salad"
"2145","valerianella locusta","smooth-fruited corn salad"
"2150","verbascum nigrum","dark mullein"
"2157","verbascum thapsus","great mullein"
"2161","veronica agrestis","green field speedwell"
"2163","veronica angallis-aquatica","water speedwell"
"2165","veronica arvensis","wall speedwell"
"2166","veronica beccabunga","brooklime"
"2167","veronica catenata","pink water speedwell"
"2168","veronica chamaedrys","germander speedwell"
"2169","veronica filiformis","slender speedwell"
"2171","veronica hederifolia","ivy-leaved speedwell"
"2172","veronica montana","wood speedwell"
"2173","veronica officinalis","heath speedwell"
"2175","veronica persica","common field speedwell"
"2176","veronica polita","grey field speedwell"
"2179","veronica scutellata","marsh speedwell"
"2180","veronica serpyllifolia","thyme-leaved speedwell"
"2185","viburnum opulus","guelder rose"
"2189","vicia cracca","tufted vetch"
"2191","vicia hirsuta","hairy tare"
"2194","vicia lathyroides","spring vetch"
"2197","vicia sativa","common vetch"
"2198","vicia sepium","bush vetch"
"2199","vicia sylvatica","wood vetch"
"2202","vicia tetrasperma","smooth tare"
"2204","vinca major","greater periwinkle"
"2205","vinca minor","lesser periwinkle"
"2206","viola arvensis","field pansy"
"2210","viola hirta","hairy violet"
"2214","viola odorata","sweet violet"
"2215","viola palustris","marsh violet"
"2217","viola reichenbachiana","early dog violet"
"2218","viola riviniana","dog violet"
"2220","viola tricolor","wild pansy"
"2226","vulpia bromoides","squirrel-tail fescue"
