"land","stadt","stadion","gr��e","heimatverein"
"deutschland","ingolstadt","audi-sportpark","15.000","fc ingolstadt 04"
"deutschland","ingolstadt","mtv-stadion","10.000","fc ingolstadt 04 ii"
"deutschland","ingolstadt","tuja-stadion","16.500","fr�her fc ingolstadt 04"
"deutschland","iserlohn","schleddestadion","5.000","sf oestrich-iserlohn"
"deutschland","iserlohn","hemberg-stadion","10.000","tus iserlohn 1846"
"deutschland","iserlohn-dr�schede","sportplatz auf der emst","1.500","fc borussia dr�schede"
"deutschland","ismaning","stadion leutschbergstr.","5.000","fc ismaning"
"deutschland","itzehoe","driver & bengsch stadion","8.000","itzehoer sv"
"deutschland","jena","ernst-abbe-sportfeld","15.000","fc carl zeiss jena"
"deutschland","jena","nebenplatz ernst-abbe-sportfeld","1.000","fc carl zeiss jena ii"
"deutschland","jena","universit�tssportzentrum oberaue","2.000","ff usv jena sv schott jenaer glas"
"deutschland","j�lich lich-steinstra�","sportplatz lich-steinstra�","2.000","fc germania lich-steinstra�"
"deutschland","kaiserslautern","fritz-walter-stadion","48.500","1.fc kaiserslautern"
"deutschland","kaiserslautern","fritz-walter-stadion platz 4","3.000","1.fc kaiserslautern am."
"deutschland","kaiserslautern-hohenecken","stadion des tus 04","5.000","tus 04 hohenecken"
"deutschland","kaiserslautern","sportanlage buchenloch","1.500","tsg kaiserslautern"
"deutschland","kalkar-niederm�rmter","sportplatz rheinstra�e","1.000","sv h�nnepel/niederm�rmter"
"deutschland","kamen","jahnstadion","6.000","vfl kamen"
"deutschland","karlsruhe","wildparkstadion","33.550","karlsruher sc"
"deutschland","karlsruhe","wildpark platz 2","5.000","karlsruher sc am."
"deutschland","karlsruhe","stadion telegrafenkaserne","15.000","karlsruher fv"
"deutschland","kassel","auestadion","22.500","ksv hessen kassel"
"deutschland","kassel","g-platz damaschkestra0e","1.000","ksv hessen kassel ii"
"deutschland","kassel","nordstadtstadion","10.000","sv hermannia 06 kassel"
"deutschland","kassel","platz am hochzeitsweg","1.000","vfl kassel"
"deutschland","kassel","hessenkampfbahn","6.000","#non-league#"
"deutschland","kehl","rheinstadion","12.000","kehler fv"
"deutschland","kempten","illerstadion","8.000","fc kempten"
"deutschland","kiel","holstein-stadion","10.000","ksv holstein kiel"
"deutschland","kiel-projensdorf","sinalco-arena","1.500","ksv holstein kiel ii"
"deutschland","klein-karben","g�nter-reutzel-stadion","3.000","ksv klein-karben"
"deutschland","kleve","stadion auf der welbersh�he","6.000","1. fc kleve"
"deutschland","kleve","gustav-hoffmann-stadion","12.000","1. fc kleve iii"
"deutschland","kleve-materborn","siegfried-kampfbahn","2.500","sv siegfried materborn"
"deutschland","koblenz","stadion oberwerth","17.000","tus koblenz"
"deutschland","k�ln","rhein-energie-stadion","50.000","1.fc k�ln"
"deutschland","k�ln","m�ngersdorfer stadion (alt)","47.000","fr�her 1.fc k�ln"
"deutschland","k�ln","s�dstadion","14.000","fortuna k�ln"
"deutschland","k�ln","flughafenstadion","12.000","sc preu�en k�ln"
"deutschland","k�ln","franz-kremer-stadion","10.000","1.fc k�ln jugend"
"deutschland","k�ln-ehrenfeld","pr�lat-wolker-anlage","2.000","fc eintracht italia k�ln"
"deutschland","k�ln","weidenpescher park","5.000","vfl k�ln 99"
"deutschland","k�ln","ostkampfbahn","1.500","fc junkersdorf"
"deutschland","k�ln-chorweiler","bza chorweiler","2.000","psi yurdumspor k�ln"
"deutschland","k�ln-porz","sportplatz brucknerstrasse","2.000","spvg. porz"
"deutschland","k�nigsbrunn","hans-wenninger-stadion","5.000","fc k�nigsbrunn"
"deutschland","korbach","hauerstadion","1.500","sg korbach"
"deutschland","k�tzting","sportplatz am roten steg","6.000","1. fc k�tzting"
"deutschland","krefeld","grotenburg-kampfbahn","34.500","kfc uerdingen"
"deutschland","krefeld","hubert-houben-kampfbahn","7.000","ktsv preussen krefeld"
"deutschland","kropp","stadion kropp","6.000","tsv kropp"
"deutschland","laer","sportanlage an der sportallee","2.500","tus laer 08"
"deutschland","lage","stadion am werreanger","3.000","sus lage"
"deutschland","l�gerdorf","sportplatz breitenburger strasse","4.000","tsv l�gerdorf"
"deutschland","lahnau-waldgirmes","sportplatz waldgirmes","1.500","sc waldgirmes"
"deutschland","langenhagen","walter-bettges-stadion","5.000","sc langenhagen"
"deutschland","langscheid","sportpark langscheid","2.500","sus langscheid/enkhausen"
"deutschland","lauda","tauberstadion","2.000","fv lauda"
"deutschland","leer","stadion hohenellernweg","5.000","vfl germania leer"
"deutschland","leipzig","bruno-plache-stadion","13.000","1.fc lok leipzig"
"deutschland","leipzig","alfred-kunze-sportpark","12.000","fc sachsen leipzig ii"
"deutschland","leipzig","zentralstadion","44.241","fc sachsen leipzig"
"deutschland","leipzig","zentralstadion (alt)","40.000","#non-league#"
"deutschland","leipzig-st�tteritz","s�doststadion","10.260","ssv st�tteritz"
"deutschland","lengerich","stadion m�nsterstr.","3.000","sc preu�en lengerich"
"deutschland","leverkusen","bayarena","25.050","bayer 04 leverkusen"
"deutschland","leverkusen","ulrich-haberland-stadion","5.000","abgerissen; fr�her bayer leverkusen ii"
"deutschland","leverkusen","tannenbergstrasse","2.000","vfl leverkusen"
"deutschland","lich","sportpark lich","2.500","#non-league#"
"deutschland","limbach-gresaubach","schotten-stadion","2.000","sc gresaubach"
"deutschland","lingen","emslandstadion","7.500","tus lingen"
"deutschland","linx","h�lzelstadion","3.000","sv linx"
"deutschland","lippstadt","am waldschl��chen","8.000","spvgg lippstadt"
"deutschland","lohfelden","nordhessenstadion","8.000","fsc lohfelden"
"deutschland","lohne","heinz-dettmer-stadion","6.000","tus blau-wei� lohne"
"deutschland","l�ningen","stockamp-stadion","4.000","vfl l�ningen"
"deutschland","lotte","stadion lotter kreuz","5.000","sf lotte"
"deutschland","l�beck","lohm�hle","18.000","vfb l�beck"
"deutschland","l�beck","nebenplatz lohm�hle","1.000","vfb l�beck ii"
"deutschland","l�beck-moisling","sportplatz am br�der-grimm-ring","3.000","spvg rot-wei� moisling"
"deutschland","luckenwalde","w.-seelenbinder-stadion","5.000","fsv luckenwalde"
"deutschland","l�denscheid","nattenbergstadion","17.000","rot-wei� l�denscheid"
"deutschland","ludwigsburg","ludwig-jahn-stadion","18.000","spvgg 07 ludwigsburg"
"deutschland","ludwigsfelde","waldstadion","5.000","ludwigsfelder fc"
"deutschland","ludwigshafen","s�dweststadion","30.000","fsv oggersheim"
"deutschland","l�neburg","wilschenbruch","8.000","fc hansa l�neburg"
"deutschland","l�nen","kampfbahn schwansbell","10.000","l�ner sv"
"deutschland","l�nen-brambauer","freibadstadion","10.000","bv brambauer"
"deutschland","maaslingen","sportgel�nde","1.000","rw maaslingen"
"deutschland","magdeburg","stadion magdeburg","25.230","1.fc magdeburg"
"deutschland","magdeburg","ernst-grube-stadion","26.400","fr�her 1.fc magdeburg"
"deutschland","magdeburg","heinrich-germer-stadion","8.000","msv preussen magdeburg z.z. 1.fc magdeburg"
"deutschland","magdeburg","guts-muths-stadion","2.000","msv b�rde magdeburg"
"deutschland","mainz","bruchwegstadion","20.300","fsv mainz 05"
"deutschland","malchow","waldsportplatz","2.500","malchower sv"
"deutschland","mannheim","carl-benz-stadion","26.000","waldhof mannheim"
"deutschland","mannheim","rhein-neckar-stadion","12.000","vfr mannheim"
"deutschland","marburg","stadion gisselberger strasse","7.000","vfb marburg"
"deutschland","marburg","georg-gassmann-stadion","12.000","#non-league#"
"deutschland","markranstaedt","stadion am bad","5.500","ssv markranst�dt"
"deutschland","marl","stadion am badeweiher","6.000","vfb h�ls"
"deutschland","marl-h�ls","jahnstadion","25.000","fr�her tsv marl-h�ls"
"deutschland","marsberg","diemelkampfbahn","1.000","vfb marsberg"
"deutschland","maschen","rudolf-sievers-arena","1.500","vfl maschen"
"deutschland","mayen","nettetal-stadion","5.000","tus mayen"
"deutschland","meerbusch-b�derich","stadion am eisenbrand","6.000","fc b�derich"
"deutschland","meinerzhagen","stadion oststrasse","7.000","rsv meinerzhagen"
"deutschland","mei�ner-weidenhausen","chattenloh","1.500","sv adler weidenhausen"
"deutschland","melle","carl-starcke-platz","3.000","tura gr�nenberg-melle"
"deutschland","melsungen","freundschaftsinsel","1.000","melsunger fv 08"
"deutschland","memmingen","st�dtisches stadion","15.000","fc memmingen"
"deutschland","memmingen","bbz-stadion","6.000","ausweichground fc memmingen"
"deutschland","menden/sauerland","huckenohl-stadion","12.000","bsv menden"
"deutschland","meppen","emslandstadion","16.500","sv meppen"
"deutschland","meschede","d�nnefeldstadion","8.000","ssv meschede"
"deutschland","mettlach","stadion am schwimmbad","3.000","sv mettlach"
"deutschland","meuselwitz","bluechip-arena","4.000","zfc meuselwitz"
"deutschland","minden","weserstadion","18.000","union minden"
"deutschland","minden-d�tzen","sportplatz d�tzen","2.500","ft d�tzen"
"deutschland","moers","rheinpreussenstadion","23.000","#non-league#"
"deutschland","m�nchengladbach","stadion im borussia-park","53.148","borussia m�nchengladbach"
"deutschland","m�nchengladbach","b�kelberg","34.500","fr�her borussia m�nchengladbach"
"deutschland","mulfingen-hollenbach","sportplatz im greut","1.500","fsv hollenbach"
"deutschland","m�hlheim/main","anton-dey-strasse","5.000","kv m�hlheim"
"deutschland","m�lheim/ruhr","sportplatz s�dstr.","8.000","tus 09 union m�hlheim"
"deutschland","m�lheim/ruhr","ruhrstadion","20.000","vatanspor m�hlheim"
"deutschland","m�lheim-speldorf","stadion am bl�tter weg","8.000","vfb speldorf"
"deutschland","m�nchen","allianz-arena","69.000","fc bayern m�nchen tsv 1860 m�nchen"
"deutschland","m�nchen","olympiastadion","63.000","fr�her fc bayern m�nchen"
"deutschland","m�nchen","stadion gr�nw�lder stra�e","28.000","tsv 1860 m�nchen ii"
"deutschland","m�nchen","dantestadion","15.000","fr�her bayern m�nchen frauen"
"deutschland","m�nchen","stadion demleitnerstrasse","8.000","ffc wacker m�nchen"
"deutschland","m�nchen","s�bener stra�e","1.500","trainingsgel�nde fc bayern m�nchen"
"deutschland","m�nster","preu�enstadion","21.700","sc preu�en m�nster"
"deutschland","m�nster","sportanlage sentruper h�he","2.000","sc preu�en m�nster ii"
"deutschland","m�nster-gievenbeck","stadion gievenbeck","10.000","1. fc gievenbeck"
"deutschland","m�nster-hiltrup","glasurit-arena","5.000","tus hiltrup"
"deutschland","neheim","stadion binnerfeld","2.500","sc neheim"
"deutschland","neheim-h�sten","stadion gro�e wiese","13.000","#non-league#"
"deutschland","nentershausen","stadion nentershausen","6.000","sportfreunde eisbachtal"
"deutschland","neubeckum","sportzentrum harberg","4.000","sv neubeckum"
"deutschland","neuenkirchen","waldstadion am haarweg","2.000","sus 09 neuenkirchen"
"deutschland","neugersdorf","friedrich-ludwig-jahn-stadion","3.000","fc oberlausitz neugersdorf"
"deutschland","neukirchen","kn�llwaldkampfbahn","3.000","sc neukirchen"
"deutschland","neum�nster","vfr-stadion","15.000","vfr neum�nster"
"deutschland","neunkirchen","ellenfeld-stadion","18.000","borussia neunkirchen"
"deutschland","neuruppin","volksparkstadion","5.000","msv neuruppin"
"deutschland","neuss","stadion an der hammer landstrasse","12.000","vfr neuss"
"deutschland","neustrelitz","parkstadion","5.000","tsg neustrelitz"
"deutschland","niederkirchen","tus-stadion","1.500","tus niederkirchen"
"deutschland","niendorf","sportplatz niendorf","3.000","ausweichplatz ntsv strand 08"
"deutschland","norderstedt","edmund-plambeck-stadion","8.000","fc eintracht norderstedt"
"deutschland","nordhorn","eintracht-stadion","8.000","eintracht nordhorn"
"deutschland","nordhorn","waldstadion","2.500","sv vorw�rts nordhorn"
"deutschland","northeim","gustav-wegner-stadion","3.000","fc eintracht northeim"
"deutschland","n�ttingen","panoramastadion","2.000","fc n�ttingen"
"deutschland","nottuln","baumberge-stadion","2.500","djk gr�n-wei� nottuln"
"deutschland","n�rnberg","frankenstadion","44.800","1.fc n�rnberg"
"deutschland","n�rnberg","sportpark valznerweiher","3.000","1.fc n�rnberg am."
"deutschland","oberhausen","niederrheinstadion","21.000","rw oberhausen"
"deutschland","oberhausen-osterfeld","sportplatz friesenh�gel","2.000","fr�her adler osterfeld"
"deutschland","oberhausen-osterfeld","waldstadion am rothebusch","7.000","adler osterfeld"
"deutschland","oberhausen-sterkrade","stadion am dicken stein","6.000","spvgg sterkrade 06/07"
"deutschland","offenbach","bieberer berg","30.605","kickers offenbach"
"deutschland","offenbach","nebenplatz stadion (platz 4)","1.000","kickers offenbach ii"
"deutschland","oldenburg","marschwegstadion","15.000","vfb oldenburg"
"deutschland","oldenburg","stadion alexanderstra�e","2.500","vfl oldenburg"
"deutschland","olpe","kreuzberg-stadion","5.000","spvg. olpe"
"deutschland","osnabr�ck","piepenbrock-stadion","20.000","vfl osnabr�ck"
"deutschland","osnabr�ck","sportanlage klush�gel","3.000","vfl osnabr�ck ii"
"deutschland","osnabr�ck","stadion illush�he","8.000","gelegentlich vfl osnabr�ck ii"
"deutschland","osterholz-scharmbeck","waldstadion osterholz","3.000","vsk osterholz-scharmbeck"
"deutschland","�stringen","josef-k�ne-waldstadion","3.000","fc �stringen"
"deutschland","ottfingen","stadion am siepen","4.000","sv ottfingen"
"deutschland","paderborn","paragon-arena","15.000","sc paderborn 07"
"deutschland","paderborn","hermann-l�ns-stadion","12.985","fr�her sc paderborn 07"
"deutschland","paderborn-marienloh","sportzentrum breite bruch","1.000","sc paderborn ii"
"deutschland","paderborn","sportplatz goerdeler gymnasium","2.000","fr�her sc paderborn ii"
"deutschland","paderborn-wewer","sportanlage","2.000","sv wewer"
"deutschland","paderborn","sportzentrum merschweg","1.000","fr�her sc paderborn 07 ii"
"deutschland","papendorf","sportplatz an der warnow","3.000","sg warnow papendorf"
"deutschland","passau-heining","sportanlage reuthinger weg","2.500","sv schalding-heining"
"deutschland","pewsum","sportplatz bunter weg","3.000","tus pewsum"
"deutschland","pforzheim","stadion br�tzinger tal (a. richter strasse)","9.000","1. fc pforzheim"
"deutschland","pfullendorf","waldstadion","10.000","sc pfullendorf"
"deutschland","pinneberg","stadion i","8.000","vfl pinneberg"
"deutschland","pipinsried","stadion reichertshausenerstra�e","2.500","fc pipinsried"
"deutschland","pirmasens","st�dtisches stadion husterer h�he","10.000","fk pirmasens"
"deutschland","pirmasens","stadion horeb","10.000","fr�her fk pirmasens"
"deutschland","plauen","vogtlandstadion","12.000","vfc plauen"
"deutschland","plettenberg","stadion elsewiese","4.000","sc plettenberg"
"deutschland","p��neck","sportpark an der warte","3.500","vfb p��neck"
"deutschland","potsdam-babelsberg","karl-liebknecht stadion","12.000","sv babelsberg turbine potsdam"
"deutschland","pulheim","sportzentrum pulheim","3.000","ffc brauweiler-pulheim 2000"
"deutschland","pulheim-brauweiler","abtei-stadion","2.000","fr�her ffc brauweiler-pulheim 2000"
"deutschland","p�ttlingen-k�llerbach","sportanlage an der burg","2.500","sportfreunde k�llerbach"
"deutschland","quakenbr�ck","stadion schengbier","5.000","quakenbr�cker sc"
"deutschland","radolfzell","mettnau-stadion","3.000","fc 03 radolfzell"
"deutschland","rain/lech","georg-weber-stadion","2.500","tsv rain/lech"
"deutschland","ramlingen","waldstadion ehlershausen","2.000","sg ramlingen/ehlershausen"
"deutschland","rastatt","m�nchfeldstadion","18.000","fc rastatt 04"
"deutschland","rathenow","stadion vogelgesang","5.000","fsv optik rathenow"
"deutschland","ratingen","stadion ratingen","10.000","germania ratingen 04/19"
"deutschland","recklinghausen","stadion hohenhorst","10.000","fc 96 recklinghausen"
"deutschland","regensburg","jahnstadion","22.000","ssv jahn regensburg"
"deutschland","regensburg","stadion am kaulbachweg","7.000","ssv jahn regensburg ii"
"deutschland","rehden","waldsportst�tten","3.200","bsv schwarz-wei� rehden"
"deutschland","rehden","sportplatz an der bahn","1.000","fr�her bsv schwarz-wei� rehden"
"deutschland","remagen-bandorf","sportplatz bandorf","2.000","tus oberwinter"
"deutschland","remscheid","r�ntgenstadion","12.500","fc remscheid"
"deutschland","remscheid","stadion reinshagen","15.000","#non-league#"
"deutschland","reutlingen","stadion kreuzeiche","15.000","ssv reutlingen"
"deutschland","rhade","sportanlage dahlenkamp","5.000","fc rhade"
"deutschland","rheda","platz am reinkenweg","5.000","fsc rheda"
"deutschland","rhede","sportzentrum an der b67","10.000","vfl rhede"
"deutschland","rheinbach","stadion freizeitpark","5.000","vfl rheinbach"
"deutschland","rheine","stadion delsen (auto-senger-stadion)","10.000","fc eintracht rheine"
"deutschland","rheine","jahnstadion","10.500","ffc heike rheine"
"deutschland","rheine-mesum","hassenbrockstadion","2.500","sv mesum"
"deutschland","rheydt","grenzlandstadion","13.000","fr�her borussia m�nchengladbach am."
"deutschland","rheydt","rsv-stadion","20.000","rheydter sv"
"deutschland","rhynern","stadion am papenloh","3.000","westfalia rhynern"
"deutschland","riesa","ernst-grube-stadion","14.000","fc stahl riesa"
"deutschland","rietberg-mastholte","sportplatz brandstra�e","1.000","sv rot-wei� mastholte"
"deutschland","richrath","sportplatz an der hildener strasse","3.000","tuspo richrath"
"deutschland","r�dermark-ober-roden","sportplatz frankfurter strasse","3.000","1.fc germania ober-roden"
"deutschland","r�dermark-urberach","viktoria-sportplatz","2.000","fc viktoria 09 urberach"
"deutschland","r�merberg-mechtersheim","an der kirchenallee","2.000","tus mechtersheim"
"deutschland","ro�bach","sportplatz ro�bach","1.500","sv ro�bach/verscheid"
"deutschland","rosenheim","jahnstadion","6.000","tsv 1860 rosenheim"
"deutschland","rostock","dkb-arena","30.000","hansa rostock"
"deutschland","rostock","ostseestadion (alt)","30.000","fr�her fc hansa rostock"
"deutschland","rostock","volksstadion","5.000","hansa rostock am."
"deutschland","rostock","sportplatz damerower weg","2.000","rostocker fc"
"deutschland","rotenburg","ahe-stadion","3.000","rotenburger sv"
"deutschland","r�sselsheim","stadion sommerdamm","10.000","sc opel r�sselsheim"
"deutschland","saarbr�cken","ludwigspark","35.286","1.fc saarbr�cken"
"deutschland","saarbr�cken","fc-sportfeld","12.000","1.fc saarbr�cken am."
"deutschland","saarbr�cken","stadion kieselhumes","13.000","saar 05 saarbr�cken"
"deutschland","saarbr�cken-brebach","stadion an der turnhalle","2.500","sc halberg-brebach"
"deutschland","salmrohr","salmtal-stadion","10.000","fsv salmrohr"
"deutschland","sandersdorf","sport- und freizeitzentrum","7.000","sg union sandersdorf"
"deutschland","sandhausen","hardtwaldstadion","12.000","sv sandhausen"
"deutschland","sch�ftlarn","stadion wangener weg","2.000","fr�her fc bayern m�nchen damen"
"deutschland","schermbeck","waldsportplatz im trog","3.000","sv schermbeck"
"deutschland","sch�nberg","jahnstadion","6.500","fc sch�nberg 95"
"deutschland","sch�neiche","jahn-sportplatz","2.000","sv germania sch�neiche"
"deutschland","sch�ttorf","sportplatz salzberger stra�e","5.000","fc sch�ttorf"
"deutschland","schwabach","s-04-stadion","6.500","sc 04 schwabach"
"deutschland","schw�bisch gm�nd","stadion im schwerzer","6.000","1.fc normannia gm�nd"
"deutschland","schweinfurt","willy-sachs-stadion","11.000","fc schweinfurt"
"deutschland","schwelm","stadion am brunnen","2.000","vfb schwelm"
"deutschland","schwerte","stadion sch�tzenhof","5.000","vfl schwerte"
"deutschland","schwieberdingen","felsenberg-arena","5.000","tsv schwieberdingen"
"deutschland","selm","stadion selm","6.000","djk gw selm"
"deutschland","sexau","stadion am bergmattenhof","3.000","fr�her sc freiburg frauen"
"deutschland","siegen","leimbach-stadion","22.500","sportfreunde siegen"
"deutschland","siegen","nebenplatz leimbach-stadion","2.000","sportfreunde siegen ii"
"deutschland","siegen-geisweid","hofbachstadion","10.000","vfl klafeld-geisweid"
"deutschland","sindelfingen","floschenstadion","4.000","vfl sindelfingen"
"deutschland","sinsheim","rhein-neckar-arena","30.150","tsg 1899 hoffenheim"
"deutschland","soest","jahnstadion","3.000","soester sv"
"deutschland","solingen","stadion am hermann-l�ns-weg","16.000","1. fc union solingen"
"deutschland","sondershausen","am g�ldner","7.000","eintracht sondershausen"
"deutschland","sonneberg","stadion sonneberg","3.000","1. sc 04 sonneberg"
"deutschland","spelle","stadion venhauser strasse","3.000","sc spelle-venhaus"
"deutschland","sprockh�vel","stadion am baumhof","1.500","tsg sprockh�vel"
"deutschland","stadtallendorf","herrenwaldstadion","7.000","tsv eintracht stadtallendorf"
"deutschland","stadthagen","jahnstadion","7.000","#non-league#"
"deutschland","stadtlohn","losbergstadion","8.000","sus stadtlohn"
"deutschland","steinhagen","cronsbachstadion","5.000","spvgg steinhagen"
"deutschland","stendal","w.-helfers-kampfbahn","13.000","1.fc lokomotive stendal"
"deutschland","straelen","sportplatz r�merstadion","5.000","sv straelen"
"deutschland","stuhr-brinkum","sportzentrum brunnenweg","2.000","brinkumer sv"
"deutschland","stukenbrock","sportanlage stukenbrock","2.000","fc stukenbrock"
"deutschland","stuttgart","g.-daimler-stadion","54.228","vfb stuttgart"
"deutschland","stuttgart","waldaustadion","11.557","stuttgarter kickers"
"deutschland","stuttgart","robert-schlienz-stadion","5.000","vfb stuttgart am."
"deutschland","stuttgart","bza waldau","2.000","stuttgarter kickers ii"
"deutschland","st. ingbert","waldstadion im betzental","5.000","tsv st. ingbert"
"deutschland","sundern","r�hrtalstadion","8.000","tus sundern"
"deutschland","telgte","jugendstadion","5.000","sg telgte"
"deutschland","tengern","sportzentrum tengern","3.000","tus tengern"
"deutschland","teningen","friedrich-meyer-stadion","6.000","fc teningen"
"deutschland","teveren","heidestadion","7.000","germania teveren"
"deutschland","thannhausen","mindelstadion","3.000","tsg thannhausen"
"deutschland","tholey-hasborn","waldstadion","8.000","sv rw hasborn-dautweiler"
"deutschland","torgelow","gie�erei-arena","10.000","torgelower sv greif"
"deutschland","trier","moselstadion","16.000","eintracht trier"
"deutschland","troisdorf","argethalstadion","12.000","sf troisdorf"
"deutschland","ulm","donaustadion","22.500","ssv ulm"
"deutschland","unna","stadion am hartinger tor","5.000","rw unna"
"deutschland","unna-m�hlhausen","sportplatz am osterfeld","1.000","ssv m�hlhausen-uelzen"
"deutschland","unterhaching","generali-sportpark","15.000","spvgg unterhaching"
"deutschland","unterhaching","stadion gr�nau","4.000","spvgg unterhaching am."
"deutschland","vaterstetten","stadion sportzentrum","5.500","sc baldham"
"deutschland","vechta-oythe","stadion an der hasenweide","2.500","vfl oythe"
"deutschland","velbert","stadion sonnenblume","6.000","ssvg velbert"
"deutschland","vellmar","sportplatz am schwimmbad","4.000","osc vellmar"
"deutschland","verl","stadion poststra�e","5.000","sc verl"
"deutschland","verl","nebenplatz stadion poststra�e","1.000","sc verl ii"
"deutschland","vestenbergsgreuth","stadion schwalbenberg","6.000","fr�her greuther f�rth am."
"deutschland","viernheim","waldstadion","4.000","tsv amicitia viernheim"
"deutschland","viersen","stadion am hohen busch","5.000","1. fc viersen"
"deutschland","villingen","stadion im friedensgrund","15.000","fc 08 villingen"
"deutschland","vlotho","jahnstadion","5.000","gelegentlich sc vlotho"
"deutschland","v�lpke","platzanlage bahnhofstra�e","1.200","tsv v�lpke"
"deutschland","vreden","hamalandstadion","3.000","spvgg vreden"
"deutschland","wachtberg-berkum","waldstadion berkum","1.000","sv wachtberg"
"deutschland","walaldesheim","sportplatz waldstra�e","5.000","sv alemannia waldalgesheim"
"deutschland","waldbr�l","stadion maibuche","3.000","rs 19 waldbr�l"
"deutschland","wald-michelbach","sportplatz rudi-w�nzer-stra�e","2.000","sv eintracht wald-michelbach"
"deutschland","walldorf","fc-astoria-stadion","3.000","fc astoria walldorf"
"deutschland","walldorf","waldstadion","3.000","fc astoria walldorf ii"
"deutschland","waltrop","sportzentrum nord","6.000","teutonia sus waltrop"
"deutschland","waltrop","waldstadion","4.500","vfb waltrop"
"deutschland","wangen","allg�ustadion","8.000","fc wangen"
"deutschland","wanne-eickel","sportpark wanne-s�d","14.500","dsc wanne-eickel"
"deutschland","waren/m�ritz","m�ritzstadion","5.000","sv waren 09"
"deutschland","warendorf","bundeswehrstadion","10.000","#non-league#"
"deutschland","warendorf","stadtstadion","7.000","warendorfer su"
"deutschland","warendorf-freckenhorst","sportpark am feidiek","1.500","tus freckenhorst"
"deutschland","warnem�nde","friedrich-ludwig-jahn-stadion","5.000","sv warnem�nde"
"deutschland","warstein-suttrop","hardtstadion","2.000","sw suttrop"
"deutschland","wattenbach","sportplatz am brand","2.000","tsg gl�ckauf wattenbach"
"deutschland","wedel","elbe-stadion","5.000","wedeler tsv"
"deutschland","wegberg-beeck","waldstadion","8.000","fc wegberg-beeck"
"deutschland","wehen-taunusstein","halbergstadion","5.000","sv wehen wiesbaden ii"
"deutschland","wehrstedt","sportplatz an der lamme","2.000","fc wehrstedt 65"
"deutschland","weida","sportpark roter h�gel","3.000","fc th�ringen weida"
"deutschland","weiden","wasserwerk-stadion","15.000","spvgg weiden"
"deutschland","weingarten/pfalz","arena weingarten","6.000","sv weingarten"
"deutschland","weinheim","sepp-herberger-stadion","8.000","tsg 62/09 weinheim"
"deutschland","weinheim","waldstadion","5.000","ausweichplatz tsg weinheim"
"deutschland","weismain","waldstadion","18.000","sc weismainz.z. 1. fc bamberg"
"deutschland","werdohl","stadion riesei","8.000","fsv werdohl"
"deutschland","wermelskirchen","eifgenstadion","4.000","sv wermelskirchen"
"deutschland","wesseling","ulrike-mayfarth-stadion","6.000","spvg wesseling-urfeld"
"deutschland","wetzlar","stadion wetzlar","12.000","#non-league#"
"deutschland","weyhe","zentralsportanlage","4.000","sc weyhe"
"deutschland","wiedenbr�ck","sportzentrum am burgweg","4.000","#non-league#"
"deutschland","wiedenbr�ck","jahnplatz","4.000","sc wiedenbr�ck 2000"
"deutschland","wiesbaden","stadion waldstra�e","10.000","sg germania wiesbaden"
"deutschland","wiesbaden","stadion berliner stra�e","12.000","sv wiesbaden"
"deutschland","wiesbaden","brita-arena","13.500","sv wehen wiesbaden"
"deutschland","wiesbaden-biebrich","dyckerhoff-sportfeld","7.800","fv biebrich"
"deutschland","wiesbaden-freudenberg","sportplatz freudenberg","1.000","t�rkischer sv wiesbaden"
"deutschland","wilhelmshaven","jadestadion","6.000","sv wilhelmshaven"
"deutschland","wilhelmshaven","stadion freiligrathstrasse","5.000","fr�her sv wilhelmshaven"
"deutschland","willingen","hoppecketalstadion","2.000","sc willingen"
"deutschland","wirges","theodor-heuss-stadion","5.000","glas-chemie wirges"
"deutschland","wismar","kurt-b�rger-stadion","8.000","fc anker wismar"
"deutschland","witten","wullenstadion","12.000","fsv witten"
"deutschland","witten-herbede","stadion am freibad","1.000","sv herbede"
"deutschland","witten-r�dinghausen","sportzentrum r�dinghausen","4.500","tura r�dinghausen"
"deutschland","wolfen","jahnstadion","4.000","fc gr�n-wei� wolfen"
"deutschland","wolfenb�ttel","meesche-stadion","5.000","mtv wolfenb�ttel"
"deutschland","wolfsburg","volkswagen-arena","30.000","vfl wolfsburg"
"deutschland","wolfsburg","vfl-stadion","20.400","vfl wolfsburg am."
"deutschland","wolfsburg","c-platz","2.000","vfl wolfsburg jugend"
"deutschland","wolfsburg-fallersleben","windm�hlenbergstadion","3.000","vfb fallersleben"
"deutschland","worms","wormatia-stadion","20.000","vfr wormatia worms"
"deutschland","w�lfrath","sportanlage erbacher berg","5.000","1. fc w�lfrath"
"deutschland","wunstorf","barnestadion","4.000","1. fc wunstorf ii"
"deutschland","wuppertal","stadion am zoo","28.000","wuppertaler sv"
"deutschland","wuppertal","am gelben sprung","5.000","wuppertaler sv ii asv wuppertal"
"deutschland","wuppertal","sportplatz nevgieser strasse","3.000","wuppertaler sv jugend"
"deutschland","wuppertal-cronenberg","sportplatz hauptstrasse","3.500","cronenberger sc"
"deutschland","wuppertal","bza uellendahl","3.000","bayer wuppertal"
"deutschland","w�rzburg","kickers-stadion am dallenberg","14.500","fc w�rzburger kickers"
"deutschland","w�rzburg","stadion mainaustrasse","3.000","w�rzburger fv"
