"city","state","airport","airport code"
"sikeston","mo","sikeston mem municipal airport","NULL"
"warrensburg","mo","skyhaven airport","NULL"
"west plains","mo","west plains minicipal airport","NULL"
"baker","mt","baker municipal airport","NULL"
"belgrade","mt","gallatin field airport","bzn"
"billings","mt","logan international airport","bil"
"butte","mt","bert mooney airport","btm"
"cut bank","mt","cut bank municipal airport","NULL"
"glasgow","mt","glasgow international airport","NULL"
"great falls","mt","great falls international airport","gtf"
"hall","mt","drummond airport","NULL"
"helena","mt","helena regional airport","hln"
"landtsheim","mt","dawson community airport","NULL"
"lewistown","mt","lewistown municipal airport","lwt"
"miles city","mt","frank wiley field airport","NULL"
"missoula","mt","missoula international airport","mso"
"pacific junction","mt","havre city-county airport","hvr"
"plentywood","mt","sher wood airport","NULL"
"red lodge","mt","red lodge airport","NULL"
"sidney","mt","sidney richland municipal airport","NULL"
"west yellowstone","mt","yellowstone airport","wys"
"alliance","ne","alliance municipal airport","aia"
"aurora","ne","aurora municipal airport","NULL"
"bassett","ne","rock county airport","NULL"
"beck","ne","lee bird field airport","lbf"
"buda","ne","kearney municipal airport","ear"
"burwell","ne","cram field airport","NULL"
"chappell","ne","billy g ray field airport","NULL"
"cozad","ne","cozad municipal airport","NULL"
"crete","ne","crete municipal airport","NULL"
"dakota junction","ne","chadron municipal airport","cdr"
"gothenburg","ne","quinn field","NULL"
"grand island","ne","central nebraska regional airport","NULL"
"hillerage","ne","william b heilig field airport","bff"
"lincoln","ne","lincoln municipal airport","lnk"
"mccook","ne","mccook municipal airport","mck"
"mynard","ne","plattsmouth municipal airport","NULL"
"norfolk","ne","karl stefan memorial airport","NULL"
"omaha","ne","millard airport","NULL"
"omaha","ne","eppley airfield","oma"
"sidney","ne","sidney municipal airport","NULL"
"tekamah","ne","tekamah municipal airport","NULL"
"thedford","ne","thomas county airport","NULL"
"wahoo","ne","wahoo municipal airport","NULL"
"wayne","ne","wayne municipal airport","NULL"
"camp desert rock","nv","desert rock airport","NULL"
"elko","nv","elko municipal airport-j c harris field","eko"
"indian springs","nv","indian springs air force auxiliary field","NULL"
"las vegas","nv","mccarran international airport","las"
"raglan","nv","winnemucca municipal airport","NULL"
"rosny","nv","lander county airport","NULL"
"sparks","nv","reno-tahoe international airport","rno"
"talapoosa","nv","silver springs airport","NULL"
"lebanon","nh","lebanon municipal airport","leb"
"londonderry","nh","manchester-boston regional airport","mht"
"milan","nh","berlin municipal airport","NULL"
"portsmouth","nh","pease international tradeport airport","NULL"
"swanzey","nh","dillant hopkins airport","NULL"
"atlantic city","nj","atlantic city municipal airport-bader field","NULL"
"atlantic city","nj","steel pier heliport","NULL"
"bedminster","nj","somerset airport","NULL"
"ewing","nj","mercer county airport","NULL"
"fairfield","nj","essex county airport","NULL"
"newark","nj","newark international airport","ewr"
"quinton","nj","salem airfield","NULL"
"teterboro","nj","teterboro airport","NULL"
"alamogordo","nm","alamogordo white sands regional airport","alm"
"albuquerque","nm","albuquerque international airport","abq"
"artesia","nm","artesia municipal airport","NULL"
"black rock","nm","black rock airport","NULL"
"carlsbad","nm","cavern city air terminal airport","cnm"
"columbus","nm","columbus municipal airport","NULL"
"farmington","nm","four corners regional airport","fmn"
"fort stanton","nm","sierra blanca regional airport","NULL"
"gallup","nm","gallup municipal airport","NULL"
"grants","nm","grants-milan municipal airport","NULL"
"hobbs","nm","industrial airpark","NULL"
"lesbia","nm","tucumcari municipal airport","NULL"
"los alamos","nm","los alamos airport","NULL"
"luis lopez","nm","socorro municipal airport","NULL"
"monista","nm","holloman air force base","NULL"
"portair","nm","cannon air force base","NULL"
"rock canyon","nm","truth or consequences municipal airport","NULL"
"roswell","nm","roswell industrial air center","row"
"santa fe","nm","santa fe county municipal airport","NULL"
"silver city","nm","turner ridgeport airport","NULL"
"texico","nm","clovis municipal airport","cvn"
"whitewater","nm","silver city-grant county airport","svc"
"amityville","ny","zahns airport","NULL"
"big flats","ny","elmira corning regional airport","elm"
"cheektowaga","ny","greater buffalo international airport","buf"
"colonie","ny","albany international airport","alb"
"dewitt","ny","hancock international airport","syr"
"ellicott","ny","chautauqua county-jamestown airport","jhw"
"endicott","ny","tri cities airport","NULL"
"gates","ny","greater rochester international airport","roc"
"harrietstown","ny","adirondack regional airport","slk"
"harrison","ny","westchester county airport","hpn"
"hounsfield","ny","watertown international airport","art"
"islip","ny","long island macarthur airport","isp"
"lansing","ny","ithaca tompkins regional airport","ith"
"le ray","ny","wheeler-sack army air field","NULL"
"maine","ny","greater binghamton edwin a link field airport","bgm"
"malone","ny","malone dufort airport","NULL"
"marcellus","ny","marcellus airport","NULL"
"massena","ny","massena international airport","mss"
"new windsor","ny","stewart international airport","swf"
"new york","ny","laguardia airport","lga"
"new york","ny","john f kennedy int'l airport","jfk"
"north elba","ny","lake placid airport","NULL"
"oswegatchie","ny","ogdensburg international airport","ogs"
"oyster bay","ny","grumman bethpage airport","NULL"
"plattsburgh","ny","clinton county airport","NULL"
"potsdam","ny","potsdam municipal airport","NULL"
"riverhead","ny","calverton naval weapons industrial reserve airport","NULL"
"rome","ny","oneida county airport","NULL"
"wappinger","ny","dutchess county airport","NULL"
"westport","ny","westport airport","NULL"
"wheatfield","ny","niagara falls international airport","NULL"
"andrews","nc","andrews murphy airport","NULL"
"aurora","nc","lee creek airport","NULL"
"ausbon","nc","plymouth municipal airport","NULL"
"banner elk","nc","elk river airport","NULL"
"beaufort","nc","michael j smith field airport","NULL"
"boones hill","nc","mt airy-surry county airport","NULL"
"bryson city","nc","sossamon field","NULL"
"burch","nc","elkin municipal airport","NULL"
"cary","nc","durham international airport","rdu"
"cates","nc","person county airport","NULL"
"catherine lake","nc","albert j ellis airport","oaj"
"chapel hill","nc","horace williams airport","NULL"
"charlotte","nc","douglas international airport","clt"
"cherry point","nc","cherry point marine corps air station","NULL"
"concord","nc","mountain air airport","NULL"
"dexter","nc","henderson oxford airport","NULL"
"everetts","nc","martin county airport","NULL"
"fayetteville","nc","fayetteville regional airport","fay"
"fletcher","nc","asheville regional airport","avl"
"friendship","nc","triad international airport","gso"
"greenville","nc","pitt greenville airport","pgv"
"harrelsonville crossroads","nc","columbus county municipal airport","NULL"
"katesville","nc","franklin county airport","NULL"
"kenansville","nc","p b raiford airport","NULL"
"lenoir","nc","lower creek airport","NULL"
"longview","nc","hickory regional airport","NULL"
"louisburg","nc","ball airport","NULL"
"lumberton","nc","lumberton municipal airport","NULL"
"new bern","nc","craven county regional airport","NULL"
"pollocksville","nc","oak grove holf airport","NULL"
"ravenswood","nc","bell strip airport","NULL"
"southern pines","nc","moore county airport","NULL"
"spring lake","nc","pope air force base","NULL"
"star","nc","montgomery county airport","NULL"
"statesville","nc","statesville municipal airport","NULL"
"theta","nc","ashe county airport","NULL"
"wilmington","nc","wilmington international airport","ilm"
"bowman","nd","bowman municipal airport","NULL"
"devils lake","nd","devils lake municipal airport","dvl"
"fargo","nd","hector international airport","far"
"grafton","nd","grafton municipal airport","NULL"
"grand forks","nd","grand forks mark andrews international airport","gfk"
"jamestown","nd","jamestown municipal airport","jms"
"lincoln","nd","bismarck municipal airport","bis"
"minot","nd","minot international airport","mot"
"mohall","nd","mohall municipal airport","NULL"
"rugby","nd","rugby municipal airport","NULL"
"schefield","nd","dickinson municipal airport","dik"
"wahpeton","nd","harry stern airport","NULL"
"williston","nd","sloulin field international airport","isn"
"albany","oh","ohio university airport","NULL"
"beatty","oh","springfield-beckley municipal airport","NULL"
"brown county","oh","brown county airport","NULL"
"carrollton","oh","carroll county-tolson airport","NULL"
"cincinnati","oh","cincinnati municipal airport-lunken field","NULL"
"cleveland","oh","burke lakefront airport","NULL"
"cleveland","oh","hopkins international airport","cle"
"columbus","oh","port columbus international airport","cmh"
"columbus","oh","ohio state university airport","NULL"
"columbus","oh","rickenbacker international airport","NULL"
"gallipolis","oh","gallia meigs regional airport","NULL"
"garden","oh","toledo express airport","tol"
"green","oh","akron canton regional airport","cak"
"hooker","oh","fairfield county airport","NULL"
"huffeysville","oh","wright patterson air force base","NULL"
"jackson special","oh","cambridge municipal airport","NULL"
"logan","oh","marion municipal airport","NULL"
"omega","oh","pike county airport","NULL"
"riblet","oh","galion municipal airport","NULL"
"sandusky","oh","griffing sandusky airport","NULL"
"smithville","oh","wayne county airport","NULL"
"springboro","oh","dayton general south airport","NULL"
"squawtown","oh","pickaway county memorial airport","NULL"
"the bend","oh","defiance memorial airport","NULL"
"tyrrell","oh","youngstown-warren regional airport","yng"
"vandalia","oh","james m cox dayton international airport","day"
"ada","ok","ada municipal airport","NULL"
"antlers","ok","antlers municipal airport","NULL"
"ardmore","ok","downtown executive airport","NULL"
"enid","ok","enid woodring municipal airport","NULL"
"guthrie","ok","guthrie municipal airport","NULL"
"harmony star","ok","claremore municipal airport","NULL"
"lawton","ok","lawton municipal airport","law"
"midwest city","ok","tinker air force base","NULL"
"mooreland","ok","mooreland municipal airport","NULL"
"norman","ok","university of oklahoma airport","NULL"
"oklahoma city","ok","will rogers world airport","okc"
"ponca city","ok","ponca city municipal airport","NULL"
"seminole","ok","seminole municipal airport","NULL"
"summitt","ok","davis field airport","NULL"
"tahlequah","ok","tahlequah municipal airport","NULL"
"tulsa","ok","tulsa international airport","tul"
"watonga","ok","watonga airport","NULL"
"brookings","or","brookings state airport","NULL"
"crescent","or","crescent airport","NULL"
"dry creek","or","corvallis municipal airport","NULL"
"eugene","or","eug","eug"
"gold beach","or","gold beach municipal airport","NULL"
"klamath falls","or","kingsley field","lmt"
"madras","or","city county airport","NULL"
"medford","or","rogue valley international-medford airport","mfr"
"missouri flat","or","baker city municipal airport","NULL"
"north bend","or","north bend municipal airport","oth"
"pendleton","or","eastern oregon regional airport","pdt"
"portland","or","portland international airport","pdx"
"redmond","or","roberts field airport","rdm"
"salem","or","mcnary field airport","sle"
"bedford","pa","bedford county airport","NULL"
"benner","pa","university park airport","sce"
"bern","pa","reading regional airport","NULL"
"buckingham","pa","doylestown airport","NULL"
"chippewa","pa","beaver county airport","NULL"
"cumberland","pa","doersom airport","NULL"
"findlay","pa","greater pittsburgh international airport","pit"
"foster","pa","schuylkill county airport","NULL"
"franklin","pa","chess lamberton airport","fkl"
"hanover","pa","lehigh valley international airport","abe"
"hazleton","pa","hazleton municipal airport","NULL"
"lafayette","pa","bradford regional airport","bfd"
"lower swatara","pa","harrisburg international airport","mdt"
"millcreek","pa","erie international airport","eri"
"monroe","pa","penn valley airport","NULL"
"montoursville","pa","williamsport-lycoming county airport","ipt"
"north woodbury","pa","altoona-blair county airport","aoo"
"oil city","pa","seaplane memorial airport","NULL"
"penn","pa","butler county airport-k w scholter field","NULL"
"philadelphia","pa","philadelphia international airport","phl"
"pittston","pa","wilkes barre scranton international airport","avp"
"richland","pa","johnstown cambria county airport","jst"
"ross","pa","civic arena heliport","NULL"
"rush","pa","mid state airport","NULL"
"south franklin","pa","washington county airport","NULL"
"st. marys","pa","st marys municipal airport","NULL"
"tinicum","pa","philadelphia seaplane base","NULL"
"unity","pa","westmoreland county airport","lbe"
"warwick","pa","lancaster airport","NULL"
"washington","pa","du bois jefferson county airport","duj"
"whitpain","pa","wings field airport","NULL"
"new shoreham","ri","block island state airport","bid"
"warwick","ri","theodore francis green state airport","pvd"
"westerly","ri","westerly state airport","wst"
"academy estates","sc","beaufort county airport","NULL"
"bloomville","sc","clarendon county airport","NULL"
"charleston","sc","charleston executive airport","NULL"
"dillon","sc","dillon county airport","NULL"
"green bay","sc","andrews municipal airport","NULL"
"greenville","sc","greenville downtown airport","NULL"
"greer","sc","greenville spartanburg international airport","gsp"
"hilton head island","sc","hilton head airport","hhh"
"islay","sc","marlboro county airport","NULL"
"kingstree","sc","williamsburg county airport","NULL"
"laurence","sc","dorchester county airport","NULL"
"marion","sc","marion county airport","NULL"
"meeks","sc","florence regional airport","flo"
"moncks corner","sc","berkeley county airport","NULL"
"myrtle beach","sc","myrtle beach international airport","myr"
"north","sc","north air force auxiliary base","NULL"
"north charleston","sc","charleston international airport","chs"
"quinns crossroad","sc","sumter municipal airport","NULL"
"seiglers crossroads","sc","aiken municipal airport","NULL"
"walterboro","sc","walterboro municipal airport","NULL"
"watts mills","sc","laurens county airport","NULL"
"west columbia","sc","columbia metro airport","cae"
"aberdeen","sd","aberdeen regional airport","abr"
"brookings","sd","brookings municipal airport","NULL"
"custer","sd","custer county airport","NULL"
"huron","sd","huron regional airport","NULL"
"lemmon","sd","lemmon municipal airport","NULL"
"madison","sd","madison municipal airport","NULL"
"maverick","sd","hot springs municipal airport","NULL"
"pierre","sd","pierre municipal airport","pir"
"rapid city","sd","rapid city regional airport","rap"
"sioux falls","sd","sioux falls regional airport","fsd"
"st. lawrence","sd","miller municipal airport","NULL"
"watertown","sd","watertown municipal airport","aty"
"alcoa","tn","mcghee tyson airport","tys"
"chattanooga","tn","chattanooga metro airport","cha"
"clarksville","tn","outlaw field airport","NULL"
"dyersburg","tn","dyersburg municipal airport","NULL"
"green field","tn","abernathy field airport","NULL"
"greeneville","tn","greeneville municipal airport","NULL"
"jackson","tn","mckellar sipes regional airport","NULL"
"kingsport","tn","tri-cities regional airport","tri"
"lewisburg","tn","ellington airport","NULL"
"maddox","tn","savannah-hardin county airport","NULL"
"memphis","tn","memphis international airport","mem"
"midway","tn","franklin county airport","NULL"
"morristown","tn","moore-murrell airport","NULL"
"murfreesboro","tn","murfreesboro municipal airport","NULL"
"nashville","tn","john c tune airport","NULL"
"nashville","tn","nashville international airport","bna"
"surgoinsville","tn","hawkins county airport","NULL"
"winchester","tn","winchester municipal airport","NULL"
"abilene","tx","abilene regional airport","abi"
"abilene","tx","dyess air force base","NULL"
"addison","tx","addison airport","NULL"
"amarillo","tx","amarillo international airport","ama"
"austin","tx","austin-bergstrom international airport","aus"
"austin","tx","bergstrom air force base","NULL"
"austin","tx","camp maybry army heliport","NULL"
"bordersville","tx","george bush intercontinental airport","iah"
"bosqueville","tx","waco regional airport","act"
"brownsville","tx","brownsville-south padre island international airport","bro"
"caney","tx","bay city municipal airport","NULL"
"childress","tx","childress municipal airport","NULL"
"coleman","tx","coleman municipal airport","NULL"
"college station","tx","easterwood field airport","cll"
"corpus christi","tx","corpus christi international airport","crp"
"cotulla","tx","cotulla la salle county airport","NULL"
"crane","tx","crane county airport","NULL"
"dalhart","tx","dalhart municipal airport","NULL"
"dallas","tx","dallas love field","dal"
"dallas","tx","dallas-fort worth north park inn heliport","NULL"
"dallas","tx","dallas naval air station","NULL"
"decatur","tx","decatur municipal airport","NULL"
"del rio","tx","del rio international airport","drt"
"early","tx","brownwood municipal airport","NULL"
"el paso","tx","el paso international airport","elp"
"falfurrias","tx","brooks county airport","NULL"
"forest glade","tx","mexia limestone county airport","NULL"
"gainesville","tx","gainesville municipal airport","NULL"
"galveston","tx","scholes field airport","NULL"
"grapevine","tx","dallas-fort worth international airport","dfw"
"harlingen","tx","grande valley international airport","hrl"
"haslet","tx","fort worth alliance airport","NULL"
"houston","tx","william p hobby airport","hou"
"houston","tx","marriott astrodome airport","NULL"
"houston","tx","west houston lakeside airport","NULL"
"kerrville","tx","kerrville municipal airport","NULL"
"killeen","tx","killeen municipal airport","NULL"
"lakeport","tx","gregg county airport","ggg"
"lampasas","tx","lampasas airport","NULL"
"laredo","tx","laredo international airport","lrd"
"league city","tx","houston gulf airport","NULL"
"llano","tx","llano municipal airport","NULL"
"lubbock","tx","lubbock international airport","lbb"
"marfa","tx","marfa municipal airport","NULL"
"mcallen","tx","miller international airport","mfe"
"mckinney","tx","mckinney municipal airport","NULL"
"midland","tx","midland international airport","maf"
"mineral wells","tx","mineral wells airport","NULL"
"mount pleasant","tx","mount pleasant municipal airport","NULL"
"odessa","tx","odessa schlemeyer field airport","NULL"
"orange","tx","orange county airport","NULL"
"palacios","tx","palacios municipal airport","NULL"
"palestine","tx","palestine municipal airport","NULL"
"pecos","tx","pecos municipal airport","NULL"
"port arthur","tx","jefferson county airport","bpt"
"port o'connor","tx","port oconnor airport","NULL"
"san angelo","tx","mathis field airport","sjt"
"san antonio","tx","san antonio international airport","sat"
"seguin","tx","randolph air force base aux","NULL"
"sherman","tx","sherman municipal airport","NULL"
"sunnyvale","tx","mesquite metro airport","NULL"
"tyler","tx","tyler pounds field airport","tyr"
"victoria","tx","victoria regional airport","vct"
"wichita falls","tx","kickapoo downtown airpark","NULL"
"wichita falls","tx","sheppard air force base","sps"
"wichita falls","tx","wichita falls municipal airport","NULL"
"wink","tx","winkler county airport","NULL"
"cedar city","ut","cedar city municipal airport","cdc"
"erda","ut","bolinder field-tooele valley airport","NULL"
"kanab","ut","kanab municipal airport","NULL"
"logan","ut","logan cache airport","NULL"
"ogden","ut","ogden hinckley airport","NULL"
"salt lake city","ut","salt lake city international airport","slc"
"st. george","ut","st george municipal airport","sgu"
"thompson springs","ut","canyonlands field airport","cny"
"ticaboo","ut","bullfrog basin airport","NULL"
"vernal","ut","vernal airport","vel"
"clarendon","vt","rutland state airport","rut"
"south burlington","vt","burlington international airport","btv"
"arlington","va","washington national airport","dca"
"bridgewater","va","bridgewater air park","NULL"
"chesapeake","va","hampton roads executive airport","NULL"
"corinth","va","twin county airport","NULL"
"craig","va","blue ridge airport","NULL"
"highland","va","new river valley airport","NULL"
"hollymead","va","charlottesville albemarle airport","cho"
"hurricane","va","lonesome pine airport","NULL"
"lewis gardens","va","richmond international airport","ric"
"newport news","va","newport news-williamsburg international airport","phf"
"norfolk","va","norfolk international airport","orf"
"norfolk","va","norfolk naval air station","NULL"
"oak grove","va","dulles international airport","iad"
"ribbon","va","louisa county-freeman field airport","NULL"
"roanoke","va","roanoke regional airport-woodrum field","roa"
"suffolk","va","suffolk municipal airport","NULL"
"vansant","va","grundy municipal airport","NULL"
"wakefield","va","wakefield municipal airport","NULL"
"weyers cave","va","shenandoah valley regional airport","shd"
"williamsburg","va","williamsburg-jamestown airport","NULL"
"woodberry forest","va","orange county airport","NULL"
"airway heights","wa","spokane international airport","geg"
"anacortes","wa","anacortes airport","NULL"
"bellingham","wa","bellingham international airport","bli"
"camp orkila","wa","orcas island airport","NULL"
"dallesport","wa","columbia gorge regional-the dalles municipal airport","NULL"
"doe bay","wa","rosario seaplane base","rsj"
"east wenatchee","wa","pangborn memorial airport","eat"
"fairchild","wa","fairchild air force base","NULL"
"hoquiam","wa","bowerman airport","NULL"
"kelso","wa","kelso longview airport","NULL"
"moses lake north","wa","grant county international airport","NULL"
"orting","wa","pierce county airport-thun field","NULL"
"pasco","wa","tri cities airport","psc"
"penn cove park","wa","oak harbor airpark","NULL"
"port angeles","wa","william r fairchild international airport","clm"
"pullman","wa","pullman-moscow regional airport","puw"
"quillayute","wa","quillayute state airport","NULL"
"richardson","wa","center island airport","NULL"
"richardson","wa","lopez island airport","lps"
"roche harbor","wa","roche harbor airport","rce"
"seatac","wa","tacoma international airport","sea"
"seattle","wa","lake union seaplane base","lke"
"union gap","wa","yakima air terminal","ykm"
"walla walla","wa","walla walla regional airport","alw"
"bluefield","wv","mercer county airport","NULL"
"bowes","wv","greenbrier valley airport","lwb"
"bridgeport","wv","benedum airport","ckb"
"ceredo","wv","tri state walker long field airport","hts"
"elmwood heights","wv","wood county airport-gill robb wilson field","pkb"
"etowah","wv","yeager airport","crw"
"glen morgan","wv","raleigh county memorial airport","bkw"
"midland","wv","elkins-randolph county airport","NULL"
"morgantown","wv","morgantown municipal airport-hart field","mgw"
"shannon","wv","wheeling ohio county airport","NULL"
"wiley ford","wv","greater cumberland regional airport","NULL"
"antigo","wi","langlade county airport","igg"
"arbor vitae","wi","lakelan-noble f. lee memerial field airport","NULL"
"ashwaubenon","wi","austin straubel international airport","grb"
"black river falls","wi","black river falls area airport","NULL"
"boulder junction","wi","boulder junction airport","NULL"
"burke","wi","dane county regional airport-truax field","msn"
"camp douglas","wi","volk field airport","NULL"
"eau claire","wi","eau claire county airport","eau"
"greenville","wi","outagamie county airport","atw"
"juneau","wi","dodge county airport","NULL"
"la crosse","wi","la crosse municipal airport","lse"
"little black","wi","taylor county airport","NULL"
"marshfield","wi","marshfield municipal airport","NULL"
"menomonie","wi","score field airport","NULL"
"milwaukee","wi","general mitchell international airport","mke"
"monroe","wi","monroe municipal airport","NULL"
"mosinee","wi","central wisconsin airport","cwa"
"necedah","wi","necedah airport","NULL"
"nekimi","wi","wittman regional airport","NULL"
"new richmond","wi","new richmond municipal airport","NULL"
"pewaukee","wi","waukesha county airport","NULL"
"phillips","wi","price county airport","NULL"
"rhinelander","wi","rhinelander-oneida county airport","rhi"
"rock","wi","rock county airport","NULL"
"shawano","wi","shawano municipal airport","NULL"
"shell lake","wi","shell lake municipal airport","NULL"
"somers","wi","kenosha regional airport","NULL"
"sparta","wi","sparta-fort mccoy airport","NULL"
"west baraboo","wi","baraboo-wisconsin dells airport","NULL"
"wisconsin rapids","wi","alexander field-south wood county airport","NULL"
"wrightstown","wi","birch creek airport","kbc"
"air base acres","wy","natrona county international airport","cpr"
"airport road","wy","worland municipal airport","wrl"
"cheyenne","wy","cheyenne airport","cys"
"cody","wy","yellowstone regional airport","cod"
"douglas","wy","converse county airport","NULL"
"gillette","wy","gillette campbell county airport","gcc"
"laramie","wy","laramie regional airport","NULL"
"marbleton","wy","big piney marbleton airport","NULL"
"moose","wy","jackson hole airport","jac"
"pinedale","wy","ralph wenz field airport","NULL"
"riverton","wy","riverton regional airport","riw"
"rock springs","wy","rock springs-sweetwater county airport","rks"
"sheridan","wy","sheridan county airport","shr"
"wheatland","wy","phifer airfield","NULL"
