"abeliophyllum                         distichum","schneeforsythie                         wei&szlig;e forsythie","oleaceae"
"caragana                         arborescens","gew&ouml;hnlicher                         erbsenstrauch","fabaceae"
"caralluma                         dioscoridis","fliegenblume","asclepiadaceae"
"caralluma rogersii                         = orbea                         rogersii","&nbsp;","&nbsp;"
"cardamine                         flexuosa","wald-schaumkraut","brassicaceae"
"cardamine                         hirsuta","vierm&auml;nniges                         schaumkraut","brassicaceae"
"cardamine                         pratensis","wiesen-schaumkraut","brassicaceae"
"cardamine                         trifolia","kleebl&auml;ttriges                         schaumkraut dreibl&auml;ttriges zahnwurz","brassicaceae"
"cardaminopsis                         arenosa","sand-schaumkresse","brassicaceae"
"cardiocrinum                         cathayanum","&nbsp;","liliaceae                         s.str."
"carduncellus                         rhaponticoides","&nbsp;","&nbsp;"
"carduus                         crispus","krause                         distel","asteraceae"
"carduus                         nutans","nickende                         distel","asteraceae"
"carduus                         personata","kletten-distel","asteraceae"
"carex                         grayi","morgenstern-segge","cyperaceae"
"carex                         hirta","behaarte                         segge","cyperaceae"
"carex                         ovalis","hasenfu&szlig;-segge","cyperaceae"
"carex                         pallescens","bleiche                         segge","cyperaceae"
"carex                         pendula","h&auml;nge-segge","cyperaceae"
"carex                         pilulifera","pillen-segge","cyperaceae"
"carex                         plantaginea","&nbsp;","cyperaceae"
"carex                         rostrata","schnabel-segge","cyperaceae"
"carex                         spicata","dicht&auml;hrige                         segge","cyperaceae"
"carica                         papaya","melonenbaum","caricaceae"
"carissa                         macrocarpa","wachsbaum","apocynaceae"
"carlina                         acaulis","silberdistel","asteraceae"
"carmichaelia                         petriei","&nbsp;","fabaceae"
"carpinus                         betulus","gew&ouml;hnliche                         hainbuche gew&ouml;hnliche wei&szlig;buche","betulaceae"
"carpinus                         caroliniana","amerikanische                         hainbuche","betulaceae"
"carpinus                         japonica","japanische                         hainbuche","betulaceae"
"carpinus                         orientalis","orientalische                         wei&szlig;buche","betulaceae"
"carpinus                         turczaninovii","&nbsp;","betulaceae"
"carruanthus                         ringens","&nbsp;","aizoaceae"
"carya                         cordiformis","bitternuss","juglandaceae"
"carya                         glabra","ferkelnuss","juglandaceae"
"carya                         illinoiensis","pekanuss","juglandaceae"
"carya                         laciniosa","k&ouml;nigsnuss","juglandaceae"
"carya                         ovata","schuppenrinden-hickory","juglandaceae"
"cassia artemisioides                         = senna                         artemisioides","&nbsp;","&nbsp;"
"cassia corymbosa                         = senna                         corymbosa","&nbsp;","&nbsp;"
"cassia didymobotrya                         = senna                         didymobotrya","&nbsp;","&nbsp;"
"cassia                         surattensis","&nbsp;","caesalpiniaceae"
"castanea                         sativa","{esskastanie|marone}","fagaceae"
"casuarina                         equisetifolia","kasuarine                         k&auml;ngurubaum","casuarinaceae"
"casuarina                         cunninghamiana","&nbsp;","casuarinaceae"
"catalpa                         bignonioides","trompetenbaum","bignoniaceae"
"catananche                         caerulea","blaue                         rasselblume","asteraceae"
"catasetum                         macrocarpum","&nbsp;","orchidaceae"
"catasetum                         maculatum","&nbsp;","orchidaceae"
"catha                         edulis","kathstrauch","celastraceae"
"catharanthus                         roseus","&nbsp;","apocynaceae"
"catopsis                         paniculata","&nbsp;","bromeliaceae"
"catopsis                         subulata","&nbsp;","bromeliaceae"
"cattleya                         acklandiae","&nbsp;","orchidaceae"
"cattleya                         bowringiana","&nbsp;","orchidaceae"
"cattleya                         schofeldiana","&nbsp;","orchidaceae"
"cattleya                         warscewiczii","&nbsp;","orchidaceae"
"caucalis                         platycarpos","acker-haftdolde","apiaceae"
"cavendishia                         callista","&nbsp;","ericaceae"
"ceanothus                         thyrsiflorus","s&auml;ckelblume","rhamnaceae"
"cecropia                         spec.","ameisenbaum","cecropiaceae"
"cedrus                         atlantica","atlas-zeder","pinaceae"
"cedrus                         atlantica 'aurea'","gold-atlas-zeder","pinaceae"
"cedrus                         atlantica 'glauca'","blaue                         atlas-zeder","pinaceae"
"cedrus                         atlantica pendula","h&auml;nge-atlas-zeder","pinaceae"
"cedrus                         deodara","himalaja-zeder","pinaceae"
"celastrus                         orbiculatus","rundbl&auml;ttriger                         baumw&uuml;rger","celastraceae"
"celtis                         australis","z&uuml;rgelbaum","ulmaceae"
"centaurea                         cyanus","kornblume","asteraceae"
"centaurea                         jacea agg.","artengruppe                         wiesen-flockenblume","asteraceae"
"centaurea                         montana","berg-flockenblume","asteraceae"
"centaurea                         scabiosa","skabiosen-flockenblume","asteraceae"
"centaurea                         solstitialis","sonnenwend-flockenblume","asteraceae"
"centaurium                         erythraea","echtes                         tausendg&uuml;ldenkraut","gentianaceae"
"centunculus                         minimus (= anagallis minima)","acker                         kleinling","primulaceae"
"cephalotaxus                         fortunei","fortunes                         kopfeibe","cephalotaxaceae                         taxaceae"
"cephalotaxus                         harringtonia","harringtons                         kopfeibe","cephalotaxaceae                         taxaceae"
"cephalotaxus                         wilsoniana","&nbsp;","cephalotaxaceae                         taxaceae"
"cephalotus                         follicularis","zwergkrug","cephalotaceae"
"ceraria                         namaquensis","&nbsp;","portulacaceae"
"cerastium                         arvense","acker-hornkraut","caryophyllaceae"
"cerastium                         glomeratum","kn&auml;ueliges                         hornkraut","caryophyllaceae"
"cerastium                         holosteoides","gew&ouml;hnliches                         hornkraut","caryophyllaceae"
"cerastium                         semidecandrum","sand-hornkraut","caryophyllaceae"
"ceratodon                         purpureus","hornzahnmoos","ditrichiaceae"
"ceratonia                         siliqua","johannisbrotbaum","caesalpiniaceae"
"ceratophyllum                         demersum","raues                         hornblatt","ceratophyllaceae"
"ceratostigma                         willmottianum","hornnarbe                         bleiwurz","plumbaginaceae"
"cercidiphyllum                         japonicum","japanischer                         kuchenbaum japanischer katsurabaum","cercidiphyllaceae"
"cercis                         chinensis","chinesischer                         judasbaum","caesalpiniaceae"
"cercis                         siliquastrum","gew&ouml;hnlicher                         judasbaum","caesalpiniaceae"
"cereus                         spegazzinii (= monvillea spegazzinii)","&nbsp;","cactaceae"
"cerinthe                         minor","kleine                         wachsblume","boraginaceae"
"ceropegia albisepta","&nbsp;","asclepiadaceae"
"ceropegia aristolochioides ssp. aristolochioides","&nbsp;","asclepiadaceae"
"ceropegia                         barklyi","&nbsp;","asclepiadaceae"
"ceropegia                         carnosa","&nbsp;","asclepiadaceae"
"ceropegia                         dichotoma","&nbsp;","asclepiadaceae"
"ceropegia                         radicans","&nbsp;","asclepiadaceae"
"ceropegia                         sandersonii","fallschirm-leuchterblume","asclepiadaceae"
"ceropegia                         simoneae","&nbsp;","asclepiadaceae"
"ceropegia                         stapeliiformis","&nbsp;","asclepiadaceae"
"cestrum                         tomentosum","&nbsp;","solanaceae"
"chaenomeles                         speciosa","chinesische                         zierquitte chinesische scheinquitte","rosaceae"
"chaenomeles                         x superba","&nbsp;","rosaceae"
"chaenorhinum                         minus","kleiner                         orant kleines leinkraut","plantaginaceae"
"chamaecereus silvestrii                         = echinopsis chamaecereus","&nbsp;","&nbsp;"
"chamaecyparis                         funebris = cupressus funebris","&nbsp;","&nbsp;"
"chamaecyparis                         lawsoniana","lawsons                         scheinzypresse","cupressaceae"
"chamaecyparis                         lawsoniana 'elwoodii'","&nbsp;","cupressaceae"
"chamaecyparis                         nootkatensis 'pendula' = cupressus                         nootkatensis 'pendula'","&nbsp;","&nbsp;"
"chamaecyparis                         obtusa var. obtusa","hinoki-scheinzypresse                         feuer-scheinzypresse","cupressaceae"
"chamaecyparis                         pisifera","sawara-scheinzypresse                         erbsenfr&uuml;chtige scheinzypresse","cupressaceae"
"chamaecyparis                         pisifera 'boulevard'","kleine                         silberzypresse","cupressaceae"
"chamaecyparis                         thyoides","wei&szlig;zeder","cupressaceae"
"chamaecytisus                         purpureus","purpur-zwergginster","fabaceae"
"chamaedaphne                         calyculata","torfgr&auml;nke","ericaceae"
"chamaerops                         humilis","zwergpalme","arecaceae"
"chamaesyce                         humifusa (= euphorbia humifusa)","niederliegende                         wolfsmilch","euphorbiaceae"
"chara                         delicatula","&nbsp;","characeae"
"chelidonium                         majus","sch&ouml;llkraut","papaveraceae"
"chelone                         obliqua","schlangenkopf","plantaginaceae"
"chenopodium                         album ssp. album","wei&szlig;er                         g&auml;nsefu&szlig;","chenopodiaceae"
"chenopodium                         polyspermum","vielsamiger                         g&auml;nsefu&szlig;","chenopodiaceae"
"chenopodium                         rubrum","roter                         g&auml;nsefu&szlig;","chenopodiaceae"
"chenopodium                         schraderianum","schraders                         g&auml;nsefu&szlig;","chenopodiaceae"
"chiloglottis                         formicifera","&nbsp;","orchidaceae"
"chimonanthus                         praecox","chinesische                         winterbl&uuml;te","calycanthaceae"
"chionodoxa                         forbesii (= scilla forbesii)","gro&szlig;e                         sternhyazinthe","hyacinthaceae                         liliaceae s.l."
"chionodoxa                         luciliae (= scilla luciliae)","schneestolz                         gew&ouml;hnliche sternhyazinthe","hyacinthaceae                         liliaceae s.l."
"chirita eberhardtii","&nbsp;","gesneriaceae"
"choisya ternata","mexikanische                         orangenblume","rutaceae"
"chrysanthemum                         arcticum = dendranthema arcticum","&nbsp;","&nbsp;"
"chrysanthemum                         haradjanii = tanacetum                         haradjanii","&nbsp;","&nbsp;"
"chrysanthemum                         segetum","saat-wucherblume","asteraceae"
"chrysosplenium                         alternifolium","wechselbl&auml;ttriges                         milzkraut","saxifragaceae"
"cicer                         arietinum","kichererbse","fabaceae"
"cichorium                         intybus","gew&ouml;hnliche                         wegwarte zichorie","asteraceae"
"cimicifuga                         racemosa var. cordifolia","lanzen-silberkerze","ranunculaceae"
"circaea                         lutetiana","gew&ouml;hnliches                         hexenkraut","onagraceae"
"cirrhopetalum                         medusae = bulbophyllum medusae","&nbsp;","&nbsp;"
"cirsium                         acaule","st&auml;ngellose                         kratzdistel","asteraceae"
"cirsium                         arvense","acker-kratzdistel","asteraceae"
"cirsium                         erisithales","klebrige                         kratzdistel","asteraceae"
"cirsium                         oleraceum","kohl-kratzdistel","asteraceae"
"cirsium                         palustre","sumpf-kratzdistel","asteraceae"
"cirsium                         vulgare","gew&ouml;hnliche                         kratzdistel lanzett-kratzdistel","asteraceae"
"cistus                         laurifolius","lorbeerbl&auml;ttrige                         zistrose","cistaceae"
"cistus                         incanus","&nbsp;","cistaceae"
"cistus                         parviflorus","&nbsp;","cistaceae"
"cistus                         salviifolius","salbeibl&auml;ttrige                         zistrose","cistaceae"
"citrus                         limon","echte                         zitrone","rutaceae"
"citrus                         myrtifolia","myrtenbl&auml;ttrige                         sauerzitrone","rutaceae"
"citrus                         sinensis 'arancio'","orange                         (sorte)","rutaceae"
"cladrastis                         sinensis","&nbsp;","fabaceae"
"cleistocactus                         hyalacanthus (= cleistocactus jujuyensis)","&nbsp;","cactaceae"
"cleistocactus                         micropetalus","&nbsp;","cactaceae"
"cleistocactus                         smaragdiflorus","&nbsp;","cactaceae"
"cleistocactus                         strausii","&nbsp;","cactaceae"
"clematis                         alpina","alpen-waldrebe","ranunculaceae"
"clematis                         vitalba","gew&ouml;hnliche                         waldrebe","ranunculaceae"
"cleome                         spinosa","&nbsp;","capparaceae"
"clerodendrum                         formicarum","&nbsp;","verbenaceae"
"clerodendron                         thomsoniae","&nbsp;","verbenaceae"
"clerodendron                         ugandense","&nbsp;","verbenaceae"
"clerodendrum                         wallichii","&nbsp;","verbenaceae"
"clethra                         acuminata","berg-zimterle                         scheineller","clethraceae"
"clethra                         alnifolia","erlenbl&auml;ttrige                         zimterle","clethraceae"
"clianthus                         puniceus 'albus'","&nbsp;","fabaceae"
"clinopodium                         vulgare","wirbeldost","lamiaceae"
"clitoria                         ternata","schmetterlingserbse                         schamblume","fabaceae"
"clivia                         miniata","&nbsp;","amaryllidaceae"
"cneorum                         triococcon","dreibeeriger                         zeiland","cneoraceae"
"cobaea                         scandens","glockenrebe","cobaeaceae"
"cochlearia                         danica","d&auml;nisches                         l&ouml;ffelkraut","brassicaceae"
"cochliostema                         jacobianum","&nbsp;","commelinaceae"
"cochliostema odoratissimum","&nbsp;","commelinaceae"
"coffea                         arabica","kaffeebaum","rubiaceae"
"{coix                         lacryma-jobi|subsp.                         ma-yuen}","hiobstr�ne","poaceae"
"cola                         caricifolia (= c. afzelii)","&nbsp;","sterculiaceae"
"colchicum                         autumnale","herbst-zeitlose","colchicaceae                         liliaceae s.l."
"colchicum                         boissieri","&nbsp;","colchicaceae                         liliaceae s.l."
"colchicum                         bornmuelleri","syrische                         herbst-zeitlose","colchicaceae                         liliaceae s.l."
"coleonema                         album","&nbsp;","rutaceae"
"colletia                         paradoxa","kreuzdornige                         colletie","rhamnaceae"
"columnea                         gloriosa","&nbsp;","gesneriaceae"
"columnea                         tulae 'flava'","&nbsp;","gesneriaceae"
"colutea                         arborescens","gew&ouml;hnlicher                         blasenstrauch","fabaceae"
"commelina                         tuberosa 'coelestis grp.' (= commelina coelestis)","&nbsp;","commelinaceae"
"commiphora                         abyssinica","&nbsp;","burseraceae"
"comptonia                         peregrina","farnmyrte","myricaceae"
"conium                         maculatum","gefleckter                         schierling","apiaceae"
"conophytum                         uviforme","&nbsp;","aizoaceae"
"conophytum                         wettsteinii","&nbsp;","aizoaceae"
"consolida                         ajacis","hyacinthenbl&uuml;tiger                         sommer-rittersporn","ranunculaceae"
"consolida                         regalis","acker-rittersporn","ranunculaceae"
"convallaria                         majalis","gew&ouml;hnliches                         maigl&ouml;ckchen","convallariaceae                         liliaceae s.l."
"convolvulus                         arvensis","acker-winde","convolvulaceae"
"convolvulus                         cneorum","&nbsp;","convolvulaceae"
"convolvulus                         sabatius","&nbsp;","convolvulaceae"
"conyza                         canadensis","kanadisches                         berufkraut","asteraceae"
"copiapoa                         humilis","&nbsp;","cactaceae"
"copiapoa                         hypogaea","&nbsp;","cactaceae"
"copiapoa                         hypogaea var. barquitensis","&nbsp;","cactaceae"
"copiapoa                         laui","&nbsp;","cactaceae"
"copiapoa                         tocopillana","&nbsp;","cactaceae"
"coriaria                         japonica","japanischer                         gerberstrauch","coriariaceae"
"cornus                         canadensis","kanadischer                         hartriegel","cornaceae"
"cornus                         florida","amerikanischer                         blumen-hartriegel","cornaceae"
"cornus                         kousa","japanischer                         blumen-hartriegel","cornaceae"
"cornus                         mas","kornelkirsche","cornaceae"
"cornus                         nuttalii","nuttals                         blumen-hartriegel","cornaceae"
"cornus                         sericea","westlicher                         wei&szlig;er hartriegel","cornaceae"
"corokia                         cotoneaster","&nbsp;","escalloniaceae                         saxifragaceae s.l."
"coronilla                         elegans","&nbsp;","fabaceae"
"coronilla                         juncea","kronwicke","fabaceae"
"coronilla                         valentina","&nbsp;","fabaceae"
"coronopus                         didymus","zweiknotiger                         g&auml;nsefu&szlig;","brassicaceae"
"correa                         'mannii'","&nbsp;","rutaceae"
"corrigiola                         litoralis","hirschsprung","molluginaceae"
"cortaderia                         selloana","pampasgras","poaceae"
"corydalis                         cava","hohler                         lerchensporn","fumariaceae"
"corydalis                         claviculata (= ceratocapnos claviculata)","rankender                         lerchensporn","fumariaceae"
"corydalis                         lutea (= pseudofumaria lutea)","gelber                         lerchensporn","fumariaceae"
"corydalis                         solida (l.) clariv.","gefingerter                         lerchensporn","fumariaceae"
"corylopsis                         glabrescens","kahle                         scheinhasel kahle blumenhasel","hamamelidaceae"
"corylopsis                         pauciflora","armbl&uuml;tige                         blumenhasel","hamamelidaceae"
"corylopsis                         spicata","&auml;hren-scheinhasel                         &auml;hren-blumenhasel","hamamelidaceae"
"corylus                         avellana","gew&ouml;hnliche                         hasel","betulaceae"
"corylus                         avellana 'contorta'","korkenzieher-hasel","betulaceae"
"corylus                         colurna","baum-hasel","betulaceae"
"corylus                         maxima","lambertnuss","betulaceae"
"corylus                         sieboldiana","japanische                         hasel","betulaceae"
"coryphantha hesteri                         = escobaria hesteri","&nbsp;","&nbsp;"
"coryphantha                         pallida","&nbsp;","cactaceae"
"cosmos                         bipinnatus","fiederbl&auml;ttribe                         schmuckblume","asteraceae"
"costus                         fissiligulatus","&nbsp;","costaceae"
"costus                         letestui","&nbsp;","costaceae"
"costus                         pictus","&nbsp;","costaceae"
"costus                         scaber","&nbsp;","costaceae"
"costus                         zingiberoides","&nbsp;","costaceae"
"cotinus                         coggygria","gew�hnlicher                         per�ckenstrauch","anacardiaceae"
"cotoneaster                         integerrimus","felsen-zwergmispel","rosaceae"
"cotyledon                         barbeyi","&nbsp;","crassulaceae"
"cotyledon                         ladysmithiensis","&nbsp;","crassulaceae"
"couroupita                         guianensis","kanonenkugelbaum","lecythidaceae"
"crambe                         maritima","k&uuml;sten-mehrkohl","brassicaceae"
"crassula                         arborescens","&nbsp;","crassulaceae"
"crassula                         deceptor","&nbsp;","crassulaceae"
"crassula                         multicava","&nbsp;","crassulaceae"
"crassula                         ovata","fette                         henne geldbaum","crassulaceae"
"crassula                         rupestris","&nbsp;","crassulaceae"
"crassula                         sarcocaulis","&nbsp;","crassulaceae"
"crassula                         socialis","&nbsp;","crassulaceae"
"crataegus                         laevigata","zweigriffliger                         wei&szlig;dorn","rosaceae"
"crataegus                         monogyna","eingriffliger                         wei&szlig;dorn","rosaceae"
"crataegus                         pedicellata","scharlach-wei&szlig;dorn","rosaceae"
"craterostigma                         pumilum","&nbsp;","scrophulariaceae"
"crepis                         biennis","wiesen-pippau","asteraceae"
"crinodendron                         hookerianum","&nbsp;","elaeocarpaceae"
"crinum                         x powellii (c. bulbispermum x c. moorei)","&nbsp;","amaryllidaceae"
"crinum                         purpurascens","&nbsp;","amaryllidaceae"
"crocosmia                         masonorum","&nbsp;","iridaceae"
"crocus                         goulimyi","&nbsp;","iridaceae"
"crocus                         mathewii","&nbsp;","iridaceae"
"crocus                         minimus","&nbsp;","iridaceae"
"crocus                         pulchellus","&nbsp;","iridaceae"
"crocus                         speciosus","&nbsp;","iridaceae"
"crocus                         tommasinianus","dalmatiner                         krokus elfen-krokus","iridaceae"
"crocus                         tournefortii","&nbsp;","iridaceae"
"crocus                         vernus","fr&uuml;hlings-krokus","iridaceae"
"crossandra                         massaica","&nbsp;","acanthaceae"
"crossandra                         nilotica","&nbsp;","acanthaceae"
"crucianella stylosa                         = phuopsis                         stylosa","&nbsp;","&nbsp;"
"cruciata                         laevipes","gew&ouml;hnliches                         kreuzlabkraut","rubiaceae"
"cryptanthus                         acaulis","&nbsp;","bromeliaceae"
"cryptanthus                         bivittatus","&nbsp;","bromeliaceae"
"cryptanthus                         bromelioides var. tricolor","&nbsp;","bromeliaceae"
"cryptanthus                         diversifolius","&nbsp;","bromeliaceae"
"cryptanthus                         maritimus","&nbsp;","bromeliaceae"
"cryptanthus                         praetextus","&nbsp;","bromeliaceae"
"cryptanthus                         zonatus","&nbsp;","bromeliaceae"
"cryptomeria                         japonica","japanische                         sicheltanne","{taxodiaceae|cupressaceae                         s.l.}"
"cubanola                         domingensis","&nbsp;","rubiaceae"
"cucubalus                         baccifer","taubenkropf                         h&uuml;hnerbiss","caryophyllaceae"
"cunninghamia                         lanceolata","chinesische                         spie&szlig;tanne","{taxodiaceae|cupressaceae                         s.l.}"
"cunonia                         capensis","&nbsp;","cunoniaceae"
"cuphea                         hyssopifolia","japanische                         scheinmyrthe","lythraceae"
"cuphea                         ignea","zigarettenbl&uuml;mchen","lythraceae"
"cuphea                         oreophila","&nbsp;","lythraceae"
"x                         cupressocyparis leylandii","baumzypresse","cupressaceae"
"cupressus                         arizonica 'fastigiata'","s&auml;ulen-arizona-zypresse","cupressaceae"
"cupressus                         funebris (= chamaecyparis funebris)","tr&auml;nen-zypresse                         trauer-zypresse","cupressaceae"
"cupressus                         duclouxiana","&nbsp;","cupressaceae"
"cupressus                         dupreziana","&nbsp;","cupressaceae"
"cupressus                         macrocarpa","monterey-zypresse","cupressaceae"
"cupressus                         macrocarpa 'goldcrest'","zimmer-zypresse","cupressaceae"
"cupressus                         nootkatensis 'pendula'","h&auml;nge-nootka-scheinzypresse","cupressaceae"
"cupressus                         sempervirens","mittelmeer-zypresse","cupressaceae"
"cupressus                         sempervirens 'stricta'","s&auml;ulen-zypresse                         toskana-zypresse","cupressaceae"
"curculigo capitulata","&nbsp;","hypoxidaceae                         liliaceae s.l."
"cuscuta                         europaea","europ&auml;ische                         nesselseide","cuscutaceae"
"cussonia                         paniculata","&nbsp;","araliaceae"
"cyanastrum                         cordifolium var. compactum","&nbsp;","cyanastraceae                         tecophilaeaceae s.l."
"cyathea                         australis","baumfarn","cyatheaceae"
"cycas                         revoluta","japanaischer                         palmfarn","cycadaceae"
"cyclamen                         africanum","afrikanisches                         alpenveilchen","primulaceae"
"cyclamen                         balearicum","balearen-alpenveilchen","primulaceae"
"cyclamen                         coum ssp. caucasicum","vorfr&uuml;hlings-alpenveilchen","primulaceae"
"cyclamen                         graecum","griechisches                         alpenveilchen","primulaceae"
"cyclamen                         hederifolium","efeubl&auml;ttriges                         alpenveilchen","primulaceae"
"cyclamen                         hederifolium 'album'","efeubl&auml;ttriges                         alpenveilchen","primulaceae"
"cyclamen                         libanoticum","&nbsp;","primulaceae"
"cyclamen                         persicum","zimmer-alpenveilchen","primulaceae"
"cyclamen                         pseudibericum","&nbsp;","primulaceae"
"cyclamen                         repandum","&nbsp;","primulaceae"
"cyclocarya                         paliurus","ringfl&uuml;gelnuss","juglandaceae"
"cydonia                         oblonga","echte                         quitte","rosaceae"
"cylindrophyllum                         comptonii","&nbsp;","aizoaceae"
"cymbalaria                         muralis","mauer-zimbelkraut","plantaginaceae"
"cynoglossum                         officinale","gew&ouml;hnliche                         hundszunge","boraginaceae"
"cynosurus                         cristatus","wiesen-kammgras","poaceae"
"cyperus                         papyrus","papyrus","poaceae"
"cyphostemma                         juttae (= cissus juttae)","&nbsp;","vitaceae"
"cypripedium                         yunnanense","&nbsp;","orchidaceae"
"cyrtomium falcatum                         = polystichum falcatum","&nbsp;","&nbsp;"
"cytisophyllum                         sessilifolius","kahler                         gei&szlig;klee meergr&uuml;ner gei&szlig;klee","fabaceae"
"cytisus                         canariensis (= telina canariensis)","&nbsp;","fabaceae"
"cytisus                         osyrioides (= teline osyrioides)","&nbsp;","fabaceae"
"cytisus                         scoparius (= sarothamnus scoparius)","besenginster","fabaceae"
"dacrydium                         dacrydioides","&nbsp;","podocarpaceae"
"dactylis                         glomerata","wiesen-kn&auml;uelgras","poaceae"
"dactylorhiza                         maculata","geflecktes                         knabenkraut","orchidaceae"
"dais                         cotinifolia","&nbsp;","thymelaeaceae"
"dalechampia                         dioscoreifolia","&nbsp;","euphorbiaceae"
"danthonia                         decumbens","dreizahn","poaceae"
"daphne                         cneorum","heider&ouml;schen                         rosmarin-seidelbast","thymelaeaceae"
"daphne                         laureola","lorbeer-seidelbast","thymelaeaceae"
"daphne                         mezereum","gew&ouml;hnlicher                         seidelbast kellerhals","thymelaeaceae"
"darlingtonia                         californica","kobrapflanze","sarraceniaceae"
"darmera                         peltata","schildblatt","saxifragaceae"
"dasiphora fruticosa","gew&ouml;hnlicher                         fingerstrauch","rosaceae"
"dasylirion                         glaucophyllum","&nbsp;","nolinaceae                         liliaceae s.l."
"datisca                         cannabina","scheinhanf","datiscaceae"
"datura arborea                         = brugmansia arborea","&nbsp;","&nbsp;"
"datura                         metel","duft-stechapfel","solanaceae"
"datura suaveolens                         = brugmansia suaveolens","&nbsp;","&nbsp;"
"daucus                         carota","wilde                         m&ouml;hre","apiaceae"
"davallia                         fejeensis","kaninchenpfotenfarn","davalliaceae"
"davidia                         involucrata","taschentuchbaum                         taubenbaum","davidiaceae"
"decaisnea                         fargesii","blauschote","lardizabalaceae"
"deherainia                         smaragdina","&nbsp;","theophrastaceae"
"delosperma                         annulare","&nbsp;","aizoaceae"
"delosperma                         caespitosum","&nbsp;","aizoaceae"
"delosperma                         carolinense","&nbsp;","aizoaceae"
"delosperma                         nubigenum","&nbsp;","aizoaceae"
"delosperma                         pruinosum","&nbsp;","aizoaceae"
"delosperma                         sutherlandii","&nbsp;","aizoaceae"
"delphinium                         elatum-hybride","hoher                         rittersporn","ranunculaceae"
"dendranthema                         arcticum (= chrysanthemum arcticum)","&nbsp;","asteraceae"
"dendriopoterium                         menendezii","&nbsp;","rosaceae"
"dendrobium                         aberrans","&nbsp;","orchidaceae"
"dendrobium                         delicatum","&nbsp;","orchidaceae"
"dendrocalamus                         giganteus","riesenbambus","poaceae"
"dentaria                         bulbifera (= cardamine bulbifera)","zwiebel-zahnwurz","brassicaceae"
"deschampsia                         cespitosa","rasen-schmiele","poaceae"
"desfontainia spinosa","&nbsp;","loganiaceae"
"deuterocohnia                         chrysantha","&nbsp;","bromeliaceae"
"dianella                         revoluta","&nbsp;","phormiaceae"
"dianella                         tasmanica","&nbsp;","phormiaceae"
"dianthus                         carthusianorum","karth&auml;user-nelke","caryophyllaceae"
"dianthus                         deltoides","heide-nelke","caryophyllaceae"
"dianthus                         monspessulanus","&nbsp;","caryophyllaceae"
"dicentra                         canadensis","&nbsp;","fumariaceae"
"dicentra                         spectabilis","tr�nendes                         herz","fumariaceae"
"dicranella                         heteromalla","sicheliges                         kleingabelmoos","dicranaceae"
"dicrocaulon                         spissum","&nbsp;","aizoaceae"
"dichorisandra                         thyrsiflora","&nbsp;","commelinaceae"
"dicksonia                         antarctica","&nbsp;","dicksoniaceae"
"dictamnus                         albus","diptam","rutaceae"
"didierea trollii","&nbsp;","didiereaceae"
"dietes                         bicolor","&nbsp;","iridaceae"
"dietes                         iridioides","&nbsp;","iridaceae"
"digitalis                         grandiflora","gro&szlig;bl&uuml;tiger                         fingerhut","plantaginaceae"
"digitalis                         lutea","gelber                         fingerhut","plantaginaceae"
"digitalis                         purpurea","roter                         fingerhut","plantaginaceae"
"digitaria ischaemum                         - faden-fingerhirse","&nbsp;","&nbsp;"
"digitaria                         sanguinalis","blut-fingerhirse","poaceae"
"dionaea                         muscipula","venusfliegenfalle","droseraceae"
"dionaea                         muscipula 'red burundy'","&nbsp;","droseraceae"
"dionysia                         curviflora","&nbsp;","primulaceae"
"dionysia                         involucrata","&nbsp;","primulaceae"
"dionysia                         tapetodes","&nbsp;","primulaceae"
"dioon                         edule","&nbsp;","zamiaceae"
"dioon                         spinulosum","&nbsp;","zamiaceae"
"dioscorea                         elephantipes","elefantenfu&szlig;","dioscoreaceae"
"dioscorea sansibarensis","&nbsp;","dioscoreaceae"
"diospyros                         lotus","lotus-pflaume","ebenaceae"
"dipcadi                         serotinum","&nbsp;","hyacinthaceae                         liliaceae s.l."
"dipelta                         ventricosa","ohr-doppelschild","linnaeaceae"
"diplarrhena                         moraea","&nbsp;","iridaceae"
"dipsacus                         fullonum (= dipsacus sylvestris)","wilde                         karde","dipsacaeae"
"dipsacus                         laciniatus","schlitzbl&auml;ttrige                         karde","dipsacaeae"
"disa                         uniflora","&nbsp;","orchidaceae"
"disanthus                         cercidifolius","doppelbl�te","hamamelidaceae"
"dischidia                         collyris","&nbsp;","asclepiadaceae"
"dischidia                         major (= dischidia rafflesiana)","urnenpflanze","asclepiadaceae"
"dischidia                         merrillii","&nbsp;","asclepiadaceae"
"dischidia                         ovata","&nbsp;","asclepiadaceae"
"diselma                         archeri","&nbsp;","cupressaceae"
"disocactus                         macranthus","&nbsp;","cactaceae"
"diuris                         longifolia","&nbsp;","orchidaceae"
"dodecatheon                         maedia","meads                         g&ouml;tterblume","primulaceae"
"dorstenia argentata","&nbsp;","moraceae"
"dorstenia                         barnemiana","&nbsp;","moraceae"
"dorstenia                         foetida","&nbsp;","moraceae"
"dorstenia                         nyungwensis","&nbsp;","moraceae"
"dorstenia                         psilurus","&nbsp;","moraceae"
"dovyalis                         caffra","&nbsp;","flacourtiaceae"
"draba                         aizoides","immergr&uuml;nes                         felsenbl&uuml;mchen","brassicaceae"
"draba                         longisiliqua","&nbsp;","brassicaceae"
"dracaena                         aubryana (= d. thalioides)","&nbsp;","dracaenaceae                         liliaceae s.l."
