"organizational identifier","state","pre_1988","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","total"
"california institute research foundation","ca","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16"
"georgia state university research foundation","ga","0","0","0","2","0","1","1","2","1","0","3","1","0","1","1","0","0","0","1","0","1","1","16"
"university of kentucky","ky","2","0","0","0","0","0","0","0","0","1","0","2","4","1","1","1","1","0","1","0","2","0","16"
"university of wyoming research corporation","wy","0","0","0","0","0","0","0","0","0","1","0","2","1","0","1","2","1","3","2","0","2","1","16"
"south dakota school of mines and technology","sd","1","0","0","0","0","1","0","2","0","1","0","0","1","1","2","0","0","1","0","2","1","2","15"
"university of houston system","tx","0","0","0","0","1","0","0","0","0","1","0","1","0","1","1","1","1","1","1","1","2","3","15"
"university of massachusetts at amherst","ma","0","0","0","0","1","2","1","2","1","0","0","0","3","1","1","0","0","0","0","1","2","0","15"
"brown university","ri","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","4","4","14"
"california polytechnic state university foundation","ca","3","0","0","0","0","0","0","0","1","1","0","1","0","2","1","0","0","0","1","0","4","0","14"
"drexel university college of medicine","pa","2","0","0","0","0","2","1","1","1","1","0","0","1","0","0","2","1","0","0","2","0","0","14"
"medical college of hampton roads","va","0","0","0","0","0","1","0","0","1","2","6","1","1","0","1","0","1","0","0","0","0","0","14"
"university of arkansas for medical sciences","ar","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","2","2","6","2","14"
"colorado school of mines research institute","co","6","0","2","2","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13"
"louisiana tech university foundation inc.","la","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","4","2","5","13"
"texas tech university health sciences center","tx","3","2","0","0","0","1","0","0","1","0","0","1","1","1","1","1","0","0","1","0","0","0","13"
"university of northern iowa foundation","ia","2","0","0","0","0","0","1","0","0","0","1","0","3","1","0","0","3","0","0","0","1","1","13"
"university of tulsa","ok","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","3","1","2","0","0","13"
"argonne national laboratories/university of chicago development corp.","il","0","0","0","0","0","0","1","0","2","1","3","0","0","0","0","2","2","1","0","0","0","0","12"
"duke university medical center","nc","1","0","0","0","0","1","0","0","0","0","0","2","3","1","2","1","0","0","0","0","1","0","12"
"howard university","dc","0","0","0","0","0","0","2","0","3","4","1","0","1","1","0","0","0","0","0","0","0","0","12"
"philadelphia health and education corporation","pa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","2","2","0","4","1","12"
"portland state university","or","3","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","1","3","2","12"
"university of north texas","tx","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","1","1","0","3","3","12"
"college of william and mary","va","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","2","1","0","4","1","11"
"marquette university","wi","1","0","0","0","0","0","0","0","2","0","1","1","0","1","1","0","0","1","0","1","2","0","11"
"university of louisville","ky","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","2","1","0","0","4","1","11"
"university of mississippi medical center","ms","0","0","0","0","0","0","0","0","1","0","0","0","0","2","1","1","3","0","2","0","0","1","11"
"university of north dakota energy and environment research center foundation","nd","0","0","0","0","0","0","2","1","1","1","0","0","2","1","0","1","1","0","0","0","0","1","11"
"auburn research foundation","al","7","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10"
"baylor research institute(formerly baylor research foundation)","tx","0","0","1","0","1","3","2","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","10"
"bowling green state university","oh","1","1","1","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","1","1","0","10"
"florida international university","fl","0","0","0","2","0","1","1","0","0","0","0","0","0","1","2","1","1","1","0","0","0","0","10"
"north carolina a&amp;t state university","nc","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","1","1","2","2","10"
"ohio university edison animal biotechnology institute","oh","0","0","0","0","2","2","0","0","0","0","1","2","1","0","0","0","1","1","0","0","0","0","10"
"oregon graduate institute of science &amp; technology","or","0","0","0","0","1","1","0","0","0","1","3","0","3","1","0","0","0","0","0","0","0","0","10"
"university of south carolina research foundation","sc","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","5","3","0","0","0","0","10"
"florida institute of technology","fl","1","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","1","1","0","3","0","9"
"gmi engineering &amp; management institute","mi","2","0","4","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"ohio agricultural research and development center","oh","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9"
"old dominion university","va","0","0","0","0","0","0","1","2","0","1","1","1","0","0","0","1","1","0","0","0","0","1","9"
"allegheny university of the health sciences","pa","0","0","0","0","0","0","0","0","0","0","0","3","2","2","1","0","0","0","0","0","0","0","8"
"new mexico state university","nm","6","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","8"
"oakland university","mi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","3","2","8"
"university of north dakota school of engineering &amp; mines foundation (und-sem foundation)","nd","0","0","0","3","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"university of north texas health science center","tx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","2","0","0","1","0","0","8"
"university of wisconsin-milwaukee","wi","0","0","0","0","1","1","2","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","8"
"ut sw medical ctr at dallas","tx","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","3","2","0","0","0","0","8"
"washington state university","wa","0","0","0","0","0","0","0","0","1","0","0","0","1","3","0","0","0","0","0","1","0","2","8"
"beloit college","wi","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"milwaukee school of engineering","wi","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","2","1","0","0","0","1","7"
"roanoke college","va","5","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"university of connecticut health center","ct","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","2","1","7"
"yeshiva university","ny","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7"
"ball state university","in","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","1","0","0","1","0","0","0","6"
"eastern michigan university","mi","0","0","0","0","0","0","0","0","0","3","2","0","0","1","0","0","0","0","0","0","0","0","6"
"james madison university","va","3","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","6"
"mississippi state university research and technology corporation (rtc)","ms","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","1","6"
"mount sinai research foundation inc.","ny","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"polytechnic institute of new york","ny","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"research and education institute inc.","ca","0","0","0","2","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"rutgers research and educational foundation","nj","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"university of health sciences/the chicago medical school","il","3","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"university of kansas center for research","ks","1","0","0","0","0","0","0","0","0","1","1","0","1","1","1","0","0","0","0","0","0","0","6"
"university of massachusetts worcester","ma","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","1","0","1","0","0","6"
"university of wisconsin","wi","0","0","0","0","0","3","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"villanova university","pa","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","6"
"western kentucky university","ky","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","6"
"ambassador college","ca","1","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"desert research institute","nv","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","2","0","5"
"georgia institute of technology","ga","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2","1","5"
"idaho state university","id","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","1","5"
"illinois state university","il","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5"
"jordan college","mi","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"los angeles biomedical research institute at harbor ucla medical center","ca","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","1","5"
"louisiana state univ. medical center foundation","la","0","0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","0","0","0","5"
"mayo foundation","mn","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"new york university school of medicine","ny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","1","5"
"old dominion university research foundation","va","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","1","5"
"pittsburg state university","ks","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","1","1","0","0","0","0","5"
"st. john s university","ny","3","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5"
"the cooper union for the advancement of science and art","ny","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","2","0","0","0","5"
"the corporation of mercer university","ga","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","1","0","1","5"
"universities space research association","md","1","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","5"
"university of iowa","ia","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","5"
"university of north dakota","nd","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","2","5"
"university of north florida","fl","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","0","1","5"
"university patents inc. of illinois","il","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"west virginia university research corporation","wv","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","2","1","0","0","0","0","5"
"bryn mawr college","pa","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","4"
"california state university fresno foundation","ca","0","0","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"california state university fullerton foundation","ca","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0","0","0","4"
"cornell university","ny","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","4"
"endowment and research foundation at montana state university","mt","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"indiana university","in","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","4"
"iowa state university","ia","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","1","0","0","0","0","0","4"
"jackson state university","ms","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","4"
"mississippi state university development foundation inc.","ms","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"mississippi state university: forest products laboratory","ms","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","4"
"north carolina central university","nc","1","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"oak ridge associated universities","tn","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"oakland community college","mi","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"oregon state board of higher education an agency of the state of oregon","or","1","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","4"
"rockhurst university","mo","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","4"
"saginaw valley state university","mi","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"texas christian university","tx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","1","4"
"tulane university","la","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","4"
"university of massachusetts medical school","ma","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4"
"university of portland","or","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","1","0","0","4"
"university of southwestern louisiana","la","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"university of tennessee","tn","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","4"
"university of the sciences in philadelphia","pa","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","4"
"university research foundation","md","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","4"
"wichita state university","ks","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","4"
"boise state university","id","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","3"
"central michigan university board of trustees","mi","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","3"
"clark university","ma","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","3"
"clarkson university","ny","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3"
"corporation of gonzaga university","wa","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"florida agricultural and mechanical university","fl","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3"
"florida atlantic university research corp.","fl","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"hampton university","va","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","3"
"harvey mudd college","ca","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3"
"indiana university advanced research &amp; technology institute","in","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","3"
"keck graduate institute","ca","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","3"
"marshall university research corporation","wv","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0","3"
"north dakota state university development foundation","nd","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"purdue research foundation office of technology transfer","in","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","3"
"purdue university","in","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3"
"rosalind franklin university of medicine and science","il","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","3"
"rose-hulman institute of technology","in","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","3"
"rush university medical center","il","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","3"
"salisbury university","md","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","3"
"san jose state university foundation","ca","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","3"
"seton hall university","nj","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","3"
"southwest missouri state university","mo","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","3"
"st. louis university health sciences center","mo","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","3"
"trinity university","tx","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"tufts university school of medicine","ma","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","1","3"
"ud technology corporation","de","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","3"
"univ. of tx md anderson cancer center","tx","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","3"
"university of denver","co","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3"
"university of denver colorado seminary","co","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","3"
"university of florida tissue bank inc.","fl","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","3"
"university of georgia","ga","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"university of hartford","ct","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","3"
"university of louisiana at lafayette","la","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","3"
"university of tennessee research center","tn","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","3"
"university of the pacific","ca","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"virginia polytechnic institute educational foundation inc.","va","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"wake forest university health science","nc","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","3"
"washington university school of medicine","mo","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","3"
"washington university technology associates inc.","wa","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"weber state university","ut","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","0","0","3"
"wellesley college","ma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","0","0","3"
"western washington university","wa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","3"
"appalachian state university","nc","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","2"
"arizona board of regents acting for and on behalf of northern arizona university","az","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2"
"arkansas state university","ar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2"
"board of overseers of goshen college","in","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"board of regents for education of the state of rhode island","ri","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"brooklyn college foundation","ny","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"creighton university office of technology licensing","ne","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"denver research institute","co","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"dowling college","ny","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","2"
"drexel institute of technology","pa","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"east tennessee state university","tn","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2"
"eastern washington university","wa","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","2"
"foundation at new jersey institute of technology","nj","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"humboldt state university foundation","ca","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","2"
"kansas university medical center research institute inc.","ks","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2"
"kresge eye institute of wayne state university","mi","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"lake forest college","il","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"lawrence technological university","mi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2"
"loma linda university adventist health sciences center","ca","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","2"
"long island university","ny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"manhattan college","ny","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"massachusetts college of pharmacy","ma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","2"
"medical college of georgia foundation inc.","ga","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2"
"meharry medical college","tn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2"
"memphis state university","tn","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2"
"montana tech of the university of montana","mt","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2"
"new mexico institute of mining and technology","nm","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"philadelphia college of textiles and science","pa","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"purdue research corporation","in","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2"
"south dakota state university","sd","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","2"
"southeastern illinois college foundation","il","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"spelman college","ga","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","2"
"stanford university medical center","ca","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2"
"tennessee technological university","tn","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","2"
"texas lutheran university","tx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","2"
"the college of n.j.","nj","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2"
"the foundation for the lsu health sciences center (louisiana state university)","la","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","2"
"the university foundation california state university","ca","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","2"
"the university of the state of new york state education department","ny","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","2"
"the university of utah technology transfer office","ut","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","2"
"trustees of amherst college","ma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","2"
"tulane university medical center","la","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2"
"tuskegee university","al","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"university of arkansas foundation","ar","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"university of cincinnati board of directors of","oh","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"university of connecticut research &amp; development corp.","ct","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"university of maryland school of medicine","md","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"university of memphis","tn","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","2"
"university of new orleans foundation","la","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","2"
"university of north dakota medical education research foundation","nd","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","2"
"university of pittsburgh medical center","pa","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","2"
"university of scranton","pa","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2"
"university of texas health science center houston","tx","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","2"
"university of texas medical branch at galveston","tx","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","2"
"university of west florida","fl","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","2"
"virginia commonwealth university medical college","va","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"virginia tech foundation inc.","va","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2"
"western university of health sciences","ca","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","2"
"wheeling jesuit university","wv","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","2"
"widener college","pa","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"a.t. still university of health sciences","az","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"alabama a and m university","al","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"alcorn state university","ms","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"all american university incorporated","ca","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"alverno college","wi","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"american technological university","tx","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"antioch college","oh","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"arkasas state university - research and development institute (asu-rdi)","ar","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"art center college of design","ca","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"auburn university research foundation","al","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"baylor research foundation a nonprofit corporation of the state of texas","tx","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"baylor university medical center","tx","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"board of trustees of western illinois university","il","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1"
"bob jones university","sc","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"boston university research foundation","ma","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
