"scientific name","common name","family","us status","state status","global rank","state rank","more information"
"phlox ovata(phlox latifolia)","wideflower phlox","polemoniaceae","NULL","e","g4","s1","{explorer}"
"pinguicula vulgaris","butterwort","lentibulariaceae","NULL","sc","g5","s3","{explorer|abstract}"
"piperia unalascensis(habenaria unalascensis)","alaska orchid","orchidaceae","NULL","sc","g5","s2s3","{explorer}"
"plantago cordata","heart-leaved plantain","plantaginaceae","NULL","e","g4","s1","{explorer|abstract}"
"platanthera ciliaris(habenaria ciliaris)","orange- or yellow-fringed orchid","orchidaceae","NULL","e","g5","s1s2","{explorer|abstract}"
"platanthera leucophaea(habenaria leucophaea)","prairie white-fringed orchid","orchidaceae","lt","e","g3","s1","{explorer|abstract}"
"poa alpina","alpine bluegrass","poaceae","NULL","t","g5","s1s2","{explorer|abstract}"
"poa canbyi(poa secunda)","canbyi's bluegrass","poaceae","NULL","e","g4g5","s1","{explorer}"
"poa paludigena","bog bluegrass","poaceae","NULL","t","g3","s2","{explorer}"
"polemonium reptans","jacob's ladder","polemoniaceae","NULL","t","g5","s2","{explorer|abstract}"
"polygala cruciata","cross-leaved milkwort","polygalaceae","NULL","sc","g5","s3","{explorer}"
"polygala incarnata","pink milkwort","polygalaceae","NULL","x","g5","sx","{explorer|abstract}"
"polygonum careyi(persicaria careyi)","carey's smartweed","polygonaceae","NULL","t","g4","s1s2","{explorer}"
"polygonum viviparum(bistorta vivipara)","alpine bistort","polygonaceae","NULL","t","g5","s1s2","{explorer|abstract}"
"polymnia uvedalia(smallanthus uvedalia)","yellow-flowered leafcup","asteraceae","NULL","t","g4g5","s1","{explorer|abstract}"
"polytaenia nuttallii","prairie parsley","apiaceae","NULL","x","g5","sx","{explorer}"
"populus heterophylla","swamp or black cottonwood","salicaceae","NULL","e","g5","s1","{explorer|abstract}"
"potamogeton bicupulatus(potamogeton capillaceus)","waterthread pondweed","potamogetonaceae","NULL","t","g4","s2","{explorer}"
"potamogeton confervoides","alga pondweed","potamogetonaceae","NULL","sc","g4","s3","{explorer|abstract}"
"potamogeton hillii","hill's pondweed","potamogetonaceae","NULL","t","g3","s2","{explorer|abstract}"
"potamogeton pulcher","spotted pondweed","potamogetonaceae","NULL","e","g5","s1","{explorer}"
"potamogeton vaseyi","vasey's pondweed","potamogetonaceae","NULL","t","g4","sh","{explorer}"
"potentilla paradoxa","sand cinquefoil","rosaceae","NULL","t","g5","su","{explorer}"
"potentilla pensylvanica","prairie cinquefoil","rosaceae","NULL","t","g5","s1","{explorer}"
"prenanthes crepidinea","nodding rattlesnake-root","asteraceae","NULL","t","g4","snr",""
"prosartes hookeri(disporum hookeri)","fairy bells","liliaceae","NULL","e","g5","s2","{explorer|abstract}"
"prosartes maculata(disporum maculatum)","nodding mandarin","liliaceae","NULL","x","g3g4","sx","{explorer}"
"prosartes trachycarpa(disporum trachycarpum)","northern fairy bells","liliaceae","NULL","t","g5","s1","{explorer}"
"proserpinaca pectinata","mermaid-weed","haloragaceae","NULL","e","g5","s1","{explorer|abstract}"
"{prunus alleghaniensis|davisii}","alleghany or sloe plum","rosaceae","NULL","sc","g4t3q","s3","{explorer|abstract}"
"pterospora andromedea","pine-drops","monotropaceae","NULL","t","g5","s2","{explorer|abstract}"
"pycnanthemum muticum","mountain mint","lamiaceae","NULL","t","g5","s1","{explorer}"
"pycnanthemum pilosum","hairy mountain mint","lamiaceae","NULL","t","g5t5","s2","{explorer}"
"pycnanthemum verticillatum","whorled mountain mint","lamiaceae","NULL","sc","g5","s2","{explorer|abstract}"
"quercus shumardii","shumard's oak","fagaceae","NULL","sc","g5","s2","{explorer}"
"ranunculus ambigens","spearwort","ranunculaceae","NULL","t","g4","sh","{explorer|abstract}"
"ranunculus cymbalaria","seaside crowfoot","ranunculaceae","NULL","t","g5","s1","{explorer}"
"ranunculus lapponicus","lapland buttercup","ranunculaceae","NULL","t","g5","s1s2","{explorer|abstract}"
"ranunculus macounii","macoun's buttercup","ranunculaceae","NULL","t","g5","s1","{explorer}"
"ranunculus rhomboideus","prairie buttercup","ranunculaceae","NULL","t","g5","s2","{explorer|abstract}"
"rhexia mariana(rhexia mariana var. mariana)","maryland meadow beauty","melastomataceae","NULL","t","g5t5","s1s2","{explorer}"
"rhexia virginica","meadow beauty","melastomataceae","NULL","sc","g5","s3","{explorer|abstract}"
"rhynchospora macrostachya","tall beakrush","cyperaceae","NULL","sc","g4","s3s4","{explorer}"
"rhynchospora nitens(psilocarya nitens)","short-beak beak-rush","cyperaceae","NULL","e","g4?","s1","{explorer}"
"rhynchospora recognita(rhynchospora globularis)","globe beak-rush","cyperaceae","NULL","e","g5?","s1","{explorer}"
"rhynchospora scirpoides(psilocarya scirpoides)","bald-rush","cyperaceae","NULL","t","g4","s2","{explorer}"
"ribes oxyacanthoides","northern gooseberry","grossulariaceae","NULL","sc","g5","s3","{explorer}"
"rubus acaulis(rubus arcticus ssp. acaulis)","dwarf raspberry","rosaceae","NULL","e","g5t5","s1","{explorer}"
"rudbeckia subtomentosa","sweet coneflower","asteraceae","NULL","x","g5","sx","{explorer}"
"ruellia humilis","hairy wild petunia","acanthaceae","NULL","t","g5","s1","{explorer}"
"ruellia strepens","smooth ruellia","acanthaceae","NULL","e","g4g5","s1","{explorer}"
"rumex occidentalis","western dock","polygonaceae","NULL","e","g5","s1","{explorer}"
"ruppia maritima(ruppia spiralis)","widgeon grass","ruppiaceae","NULL","t","g5","s1","{explorer}"
"sabatia angularis","rosepink","gentianaceae","NULL","t","g5","s2","{explorer|abstract}"
"sagina nodosa","pearlwort","caryophyllaceae","NULL","t","g5","s2","{explorer|abstract}"
"sagittaria montevidensis(sagittaria calycina lophotocarpus calycinus)","arrowhead","alismataceae","NULL","t","g4g5","s1s2","{explorer}"
"salix pellita","satiny willow","salicaceae","NULL","sc","g5","s2","{explorer}"
"salix planifolia","tea-leaved willow","salicaceae","NULL","t","g5","sh","{explorer}"
"sanguisorba canadensis","canadian burnet","rosaceae","NULL","e","g5","s1","{explorer}"
"sarracenia purpurea f. heterophylla","yellow pitcher plant","sarraceniaceae","NULL","t","g5t1t2q","s1","{explorer|abstract}"
"saxifraga paniculata","encrusted saxifrage","saxifragaceae","NULL","t","g5","s1","{explorer|abstract}"
"saxifraga tricuspidata","prickly saxifrage","saxifragaceae","NULL","t","g4g5","s2","{explorer|abstract}"
"schoenoplectus americanus(scirpus olneyi)","three-square bulrush","cyperaceae","NULL","e","g5","s1","{explorer}"
"schoenoplectus hallii(scirpus hallii)","hall's bulrush","cyperaceae","NULL","t","g2g3","s2","{explorer|abstract}"
"scirpus clintonii(trichophorum clintonii)","clinton's bulrush","cyperaceae","NULL","sc","g4","s3","{explorer}"
"scirpus torreyi(schoenoplectus torreyi)","torrey's bulrush","cyperaceae","NULL","sc","g5?","s2s3","{explorer}"
"scleria pauciflora","few-flowered nut rush","cyperaceae","NULL","e","g5","s1","{explorer|abstract}"
"scleria reticularis","netted nut rush","cyperaceae","NULL","t","g4","s2","{explorer}"
"scleria triglomerata","tall nut rush","cyperaceae","NULL","sc","g5","s3","{explorer}"
"scutellaria elliptica","hairy skullcap","lamiaceae","NULL","sc","g5","s3","{explorer}"
"scutellaria incana","skullcap","lamiaceae","NULL","x","g5","sx","{explorer}"
"scutellaria nervosa","skullcap","lamiaceae","NULL","e","g5","s1","{explorer}"
"scutellaria ovata","forest skullcap","lamiaceae","NULL","t","g5","sx","{explorer}"
"scutellaria parvula","small skullcap","lamiaceae","NULL","t","g4","s2","{explorer}"
"senecio congestus(tephroseris palustris)","marsh fleabane","asteraceae","NULL","x","g5","sx","{explorer}"
"senecio indecorus(packera indecora)","northern ragwort","asteraceae","NULL","t","g5","s1","{explorer|abstract}"
"silene nivea","evening campion","caryophyllaceae","NULL","t","g4?","snr","{explorer}"
"silene stellata","starry campion","caryophyllaceae","NULL","t","g5","s2","{explorer}"
"silene virginica","fire pink","caryophyllaceae","NULL","e","g5","s1","{explorer}"
"silphium integrifolium","rosinweed","asteraceae","NULL","t","g5","s2","{explorer}"
"silphium laciniatum","compass plant","asteraceae","NULL","t","g5","s1s2","{explorer|abstract}"
"silphium perfoliatum","cup plant","asteraceae","NULL","t","g5","s2","{explorer|abstract}"
"sisyrinchium atlanticum","atlantic blue-eyed-grass","iridaceae","NULL","t","g5","s2","{explorer}"
"sisyrinchium fuscatum(sisyrinchium farwellii)","farwell's blue-eyed-grass","iridaceae","NULL","x","g5?","sx",""
"sisyrinchium hastile(sisyrinchium albidum)","blue-eyed-grass","iridaceae","NULL","x","gughq","sx","{explorer|abstract}"
"sisyrinchium strictum","blue-eyed-grass","iridaceae","NULL","sc","g2q","s2","{explorer}"
"smilax herbacea","smooth carrion-flower","smilacaceae","NULL","sc","g5","s3","{explorer}"
"solidago bicolor","white goldenrod","asteraceae","NULL","e","g5","s1","{explorer}"
"solidago houghtonii","houghton's goldenrod","asteraceae","lt","t","g3","s3","{explorer|abstract}"
"solidago missouriensis","missouri goldenrod","asteraceae","NULL","t","g5","s2","{explorer}"
"spiranthes ovalis","lesser ladies'-tresses","orchidaceae","NULL","t","g5?","s1","{explorer}"
"sporobolus clandestinus","dropseed","poaceae","NULL","e","g5","s1","{explorer|abstract}"
"sporobolus heterolepis","prairie dropseed","poaceae","NULL","sc","g5","s3","{explorer|abstract}"
"stellaria crassifolia","fleshy stitchwort","caryophyllaceae","NULL","e","g5","s1","{explorer}"
"stellaria longipes","stitchwort","caryophyllaceae","NULL","sc","g5","s2","{explorer|abstract}"
"strophostyles helvula","trailing wild bean","fabaceae","NULL","sc","g5","s3","{explorer}"
"subularia aquatica","awlwort","brassicaceae","NULL","e","g5","s1","{explorer}"
"tanacetum huronense(tanacetum bipinnatum ssp. huronense)","lake huron tansy","asteraceae","NULL","t","g5t4t5","s3","{explorer|abstract}"
"tipularia discolor","cranefly orchid","orchidaceae","NULL","e","g4g5","s1","{explorer}"
"tofieldia pusilla","false asphodel","liliaceae","NULL","t","g5","s2","{explorer}"
"tomanthera auriculata(agalinis auriculata)","eared foxglove","scrophulariaceae","NULL","x","g3","sx","{explorer}"
"tradescantia bracteata","long-bracted spiderwort","commelinaceae","NULL","x","g5","sx","{explorer}"
"tradescantia virginiana","virginia spiderwort","commelinaceae","NULL","sc","g5","s2","{explorer}"
"trichostema brachiatum(isanthus brachiatus)","false pennyroyal","lamiaceae","NULL","t","g5","s1","{explorer}"
"trichostema dichotomum","bastard pennyroyal","lamiaceae","NULL","t","g5","s2","{explorer|abstract}"
"trillium nivale","snow trillium","liliaceae","NULL","t","g4","s2","{explorer}"
"trillium recurvatum","prairie trillium","liliaceae","NULL","t","g5","s2s3","{explorer|abstract}"
"trillium sessile","toadshade","liliaceae","NULL","t","g4g5","s2s3","{explorer}"
"trillium undulatum","painted trillium","liliaceae","NULL","e","g5","s1s2","{explorer|abstract}"
"triphora trianthophora","nodding pogonia or three birds orchid","orchidaceae","NULL","t","g3g4","s1","{explorer}"
"triplasis purpurea","sand grass","poaceae","NULL","sc","g4g5","s2","{explorer}"
"trisetum spicatum","downy oat-grass","poaceae","NULL","sc","g5","s2s3","{explorer|abstract}"
"utricularia inflata(utricularia radiata)","floating bladderwort","lentibulariaceae","NULL","e","g5","s1","{explorer}"
"utricularia subulata","bladderwort","lentibulariaceae","NULL","t","g5","s1","{explorer|abstract}"
"vaccinium cespitosum","dwarf bilberry","ericaceae","NULL","t","g5","s1s2","{explorer|abstract}"
"vaccinium uliginosum","alpine blueberry","ericaceae","NULL","t","g5","s2","{explorer}"
"vaccinium vitis-idaea","mountain cranberry","ericaceae","NULL","e","g5","s1","{explorer}"
"valeriana edulis var. ciliata(valeriana ciliata)","edible valerian","valerianaceae","NULL","t","g5t3","s2","{explorer}"
"valerianella chenopodiifolia","goosefoot corn salad","valerianaceae","NULL","t","g5","s1","{explorer}"
"valerianella umbilicata","corn salad","valerianaceae","NULL","t","g3g5","s2","{explorer}"
"viburnum edule","squashberry or mooseberry","caprifoliaceae","NULL","t","g5","s2s3","{explorer|abstract}"
"viburnum prunifolium","black haw","caprifoliaceae","NULL","sc","g5","s3","{explorer}"
"viola epipsila","northern marsh violet","violaceae","NULL","e","g4","sh","{explorer}"
"viola novae-angliae","new england violet","violaceae","NULL","t","g4q","s2","{explorer}"
"viola pedatifida","prairie birdfoot violet","violaceae","NULL","t","g5","s1","{explorer}"
"vitis vulpina","frost grape","vitaceae","NULL","t","g5","s1s2","{explorer}"
"wisteria frutescens","wisteria","fabaceae","NULL","t","g5","s1","{explorer}"
"wolffia papulifera(wolffia brasiliensis wolffia punctata)","watermeal","lemnaceae","NULL","t","g4","s1","{explorer|abstract}"
"woodsia alpina","northern woodsia","dryopteridaceae","NULL","e","g4","s1","{explorer}"
"woodsia obtusa","blunt-lobed woodsia","dryopteridaceae","NULL","t","g5","s1s2","{explorer}"
"woodwardia areolata","netted chain-fern","blechnaceae","NULL","x","g5","sx","{explorer}"
"{zizania aquatica|aquatica}","wild rice","poaceae","NULL","t","g5t5","s2s3","{explorer|abstract}"
"zizia aptera","prairie golden alexanders","apiaceae","NULL","t","g5","s1s2","{explorer}"
