"majorgroup","family","species","essexthreat"
"beetles","coccinellidae","hippodamia tredecimpunctata","&nbsp;"
"beetles","coccinellidae","hyperaspis pseudopustulata","&nbsp;"
"beetles","coccinellidae","platynaspis luteorubra","&nbsp;"
"beetles","coccinellidae","scymnus femoralis","&nbsp;"
"beetles","coccinellidae","scymnus limbatus","&nbsp;"
"beetles","coccinellidae","scymnus schmidti","&nbsp;"
"beetles","colydiidae","aulonium trisulcum","&nbsp;"
"beetles","colydiidae","cicones undatus","&nbsp;"
"beetles","colydiidae","cicones variegatus","&nbsp;"
"beetles","colydiidae","orthocerus clavicornis","&nbsp;"
"beetles","colydiidae","synchita humeralis","&nbsp;"
"beetles","corylophidae","orthoperus brunnipes","&nbsp;"
"beetles","cryptophagidae","atomaria atra","&nbsp;"
"beetles","cryptophagidae","atomaria barani","&nbsp;"
"beetles","cryptophagidae","atomaria fimetarii","&nbsp;"
"beetles","cryptophagidae","atomaria impressa","&nbsp;"
"beetles","cryptophagidae","atomaria nigriventris","&nbsp;"
"beetles","cryptophagidae","atomaria peltata","&nbsp;"
"beetles","cryptophagidae","atomaria puncticollis","&nbsp;"
"beetles","cryptophagidae","atomaria rubricollis","&nbsp;"
"beetles","cryptophagidae","atomaria strandi","&nbsp;"
"beetles","cryptophagidae","atomaria zetterstedti","&nbsp;"
"beetles","cryptophagidae","cryptophagus labilis","&nbsp;"
"beetles","cryptophagidae","cryptophagus populi","&nbsp;"
"beetles","cryptophagidae","telmatophilus schoenherri","&nbsp;"
"beetles","cucujidae","leptophloeus clematidis","&nbsp;"
"beetles","cucujidae","notolaemus unifasciatus","&nbsp;"
"beetles","cucujidae","pediacus depressus","&nbsp;"
"beetles","cucujidae","uleiota planata","&nbsp;"
"beetles","curculionidae","acalles ptinoides","&nbsp;"
"beetles","curculionidae","alophus triguttatus","&nbsp;"
"beetles","curculionidae","anthonomus chevrolati","&nbsp;"
"beetles","curculionidae","anthonomus humeralis","&nbsp;"
"beetles","curculionidae","anthonomus rufus","&nbsp;"
"beetles","curculionidae","anthonomus ulmi","&nbsp;"
"beetles","curculionidae","bagous argillaceus","&nbsp;"
"beetles","curculionidae","bagous limosus","&nbsp;"
"beetles","curculionidae","bagous subcarinatus","&nbsp;"
"beetles","curculionidae","bagous tempestivus","&nbsp;"
"beetles","curculionidae","bagous tubulus","&nbsp;"
"beetles","curculionidae","baris lepidii","&nbsp;"
"beetles","curculionidae","baris picicornis","&nbsp;"
"beetles","curculionidae","baris scolopacea","&nbsp;"
"beetles","curculionidae","brachysomus echinatus","&nbsp;"
"beetles","curculionidae","calosirus terminatus","&nbsp;"
"beetles","curculionidae","ceutorhynchus atomus","&nbsp;"
"beetles","curculionidae","ceutorhynchus constrictus","&nbsp;"
"beetles","curculionidae","ceutorhynchus hirtulus","&nbsp;"
"beetles","curculionidae","ceutorhynchus pectoralis","&nbsp;"
"beetles","curculionidae","chromoderus affinis","&nbsp;"
"beetles","curculionidae","cleonus pigra","&nbsp;"
"beetles","curculionidae","cneorhinus plumbeus","&nbsp;"
"beetles","curculionidae","coeliodes erythroleucos","&nbsp;"
"beetles","curculionidae","coeliodes ruber","&nbsp;"
"beetles","curculionidae","cossonus linearis","&nbsp;"
"beetles","curculionidae","cossonus parallelepipedus","&nbsp;"
"beetles","curculionidae","cryptorhynchus lapathi","&nbsp;"
"beetles","curculionidae","curculio betulae","&nbsp;"
"beetles","curculionidae","curculio rubidus","&nbsp;"
"beetles","curculionidae","curculio villosus","&nbsp;"
"beetles","curculionidae","datonychus arquatus","&nbsp;"
"beetles","curculionidae","dorytomus filirostris","&nbsp;"
"beetles","curculionidae","dorytomus hirtipennis","&nbsp;"
"beetles","curculionidae","dorytomus ictor","&nbsp;"
"beetles","curculionidae","dorytomus majalis","&nbsp;"
"beetles","curculionidae","dorytomus tremulae","&nbsp;"
"beetles","curculionidae","drupenatus nasturtii","&nbsp;"
"beetles","curculionidae","ethelcus verrucatus","&nbsp;"
"beetles","curculionidae","glocianus distinctus","&nbsp;"
"beetles","curculionidae","glocianus punctiger","&nbsp;"
"beetles","curculionidae","gronops lunatus","&nbsp;"
"beetles","curculionidae","gymnetron beccabungae","&nbsp;"
"beetles","curculionidae","gymnetron collinum","&nbsp;"
"beetles","curculionidae","gymnetron labile","&nbsp;"
"beetles","curculionidae","gymnetron linariae","&nbsp;"
"beetles","curculionidae","gymnetron melanarium","&nbsp;"
"beetles","curculionidae","gymnetron rostellum","&nbsp;"
"beetles","curculionidae","gymnetron veronicae","&nbsp;"
"beetles","curculionidae","gymnetron villosulum","&nbsp;"
"beetles","curculionidae","hydronomus alismatis","&nbsp;"
"beetles","curculionidae","hypera fuscocinerea","&nbsp;"
"beetles","curculionidae","leiosoma oblongulum","&nbsp;"
"beetles","curculionidae","liparus coronatus","&nbsp;"
"beetles","curculionidae","lixus scabricollis","&nbsp;"
"beetles","curculionidae","magdalis barbicornis","&nbsp;"
"beetles","curculionidae","magdalis carbonaria","&nbsp;"
"beetles","curculionidae","magdalis cerasi","&nbsp;"
"beetles","curculionidae","mecinus circulatus","&nbsp;"
"beetles","curculionidae","mecinus collaris","&nbsp;"
"beetles","curculionidae","mecinus janthinus","&nbsp;"
"beetles","curculionidae","miarus graminis","&nbsp;"
"beetles","curculionidae","miarus plantarum","&nbsp;"
"beetles","curculionidae","microplontus campestris","&nbsp;"
"beetles","curculionidae","microplontus triangulum","&nbsp;"
"beetles","curculionidae","mogulones geographicus","&nbsp;"
"beetles","curculionidae","neophytobius quadrinodosus","&nbsp;"
"beetles","curculionidae","orthochaetes setiger","&nbsp;"
"beetles","curculionidae","otiorhynchus ligneus","&nbsp;"
"beetles","curculionidae","otiorhynchus ligustici","&nbsp;"
"beetles","curculionidae","otiorhynchus raucus","&nbsp;"
"beetles","curculionidae","pelenomus canaliculatus","&nbsp;"
"beetles","curculionidae","pelenomus comari","&nbsp;"
"beetles","curculionidae","pelenomus olssoni","&nbsp;"
"beetles","curculionidae","pelenomus waltoni","&nbsp;"
"beetles","curculionidae","phyllobius vespertinus","&nbsp;"
"beetles","curculionidae","phytobius leucogaster","&nbsp;"
"beetles","curculionidae","pissodes castaneus","&nbsp;"
"beetles","curculionidae","polydrusus confluens","&nbsp;"
"beetles","curculionidae","polydrusus flavipes","&nbsp;"
"beetles","curculionidae","polydrusus mollis","&nbsp;"
"beetles","curculionidae","polydrusus pulchellus","&nbsp;"
"beetles","curculionidae","pselactus spadix","&nbsp;"
"beetles","curculionidae","pseudostyphlus pillumus","&nbsp;"
"beetles","curculionidae","rhynchaenus pratensis","&nbsp;"
"beetles","curculionidae","rutidosoma globulus","&nbsp;"
"beetles","curculionidae","sibinia arenariae","&nbsp;"
"beetles","curculionidae","sibinia primita","&nbsp;"
"beetles","curculionidae","sibinia pyrrhodactyla","&nbsp;"
"beetles","curculionidae","sirocalodes quercicola","&nbsp;"
"beetles","curculionidae","sitona cinerascens","&nbsp;"
"beetles","curculionidae","sitona macularius","&nbsp;"
"beetles","curculionidae","smicronyx reichi","&nbsp;"
"beetles","curculionidae","stenocarus ruficornis","&nbsp;"
"beetles","curculionidae","stereocorynes truncorum","&nbsp;"
"beetles","curculionidae","strophosoma faber","&nbsp;"
"beetles","curculionidae","tanymecus palliatus","&nbsp;"
"beetles","curculionidae","thamiocolus viduatus","&nbsp;"
"beetles","curculionidae","trachodes hispidus","&nbsp;"
"beetles","curculionidae","trachyphloeus alternans","&nbsp;"
"beetles","curculionidae","trachyphloeus aristatus","&nbsp;"
"beetles","curculionidae","trachyphloeus spinimanus","&nbsp;"
"beetles","curculionidae","trichosirocalus barnevillei","&nbsp;"
"beetles","curculionidae","trichosirocalus horridus","&nbsp;"
"beetles","curculionidae","tropiphorus elevatus","&nbsp;"
"beetles","curculionidae","tropiphorus obtusus","&nbsp;"
"beetles","curculionidae","tropiphorus terricola","&nbsp;"
"beetles","curculionidae","tychius lineatulus","&nbsp;"
"beetles","curculionidae","tychius parallelus","&nbsp;"
"beetles","curculionidae","tychius pusillus","&nbsp;"
"beetles","curculionidae","tychius tibialis","&nbsp;"
"beetles","curculionidae","zacladus exiguus","&nbsp;"
"beetles","dermestidae","ctesias serra","&nbsp;"
"beetles","dermestidae","megatoma undata","&nbsp;"
"beetles","dryopidae","dryops similaris","&nbsp;"
"beetles","dytiscidae","agabus biguttatus","&nbsp;"
"beetles","dytiscidae","agabus chalconatus","&nbsp;"
"beetles","dytiscidae","agabus conspersus","&nbsp;"
"beetles","dytiscidae","agabus labiatus","&nbsp;"
"beetles","dytiscidae","agabus uliginosus","&nbsp;"
"beetles","dytiscidae","agabus undulatus","&nbsp;"
"beetles","dytiscidae","dytiscus circumcinctus","&nbsp;"
"beetles","dytiscidae","dytiscus circumflexus","&nbsp;"
"beetles","dytiscidae","graphoderus cinereus","&nbsp;"
"beetles","dytiscidae","graptodytes bilineatus","&nbsp;"
"beetles","dytiscidae","graptodytes flavipes","&nbsp;"
"beetles","dytiscidae","graptodytes granularis","&nbsp;"
"beetles","dytiscidae","hydaticus seminiger","&nbsp;"
"beetles","dytiscidae","hydroglyphus geminus","&nbsp;"
"beetles","dytiscidae","hydroporus longulus","&nbsp;"
"beetles","dytiscidae","hydroporus marginatus","&nbsp;"
"beetles","dytiscidae","hydroporus neglectus","&nbsp;"
"beetles","dytiscidae","hydroporus rufifrons","&nbsp;"
"beetles","dytiscidae","hygrotus decoratus","&nbsp;"
"beetles","dytiscidae","hygrotus parallelogrammus","&nbsp;"
"beetles","dytiscidae","hygrotus quinquelineatus","&nbsp;"
"beetles","dytiscidae","ilybius fenestratus","&nbsp;"
"beetles","dytiscidae","ilybius guttiger","&nbsp;"
"beetles","dytiscidae","ilybius subaeneus","&nbsp;"
"beetles","dytiscidae","rhantus frontalis","&nbsp;"
"beetles","dytiscidae","rhantus grapii","&nbsp;"
"beetles","dytiscidae","rhantus suturalis","&nbsp;"
"beetles","dytiscidae","rhantus suturellus","&nbsp;"
"beetles","dytiscidae","scarodytes halensis","&nbsp;"
"beetles","dytiscidae","stictonectes lepidus","&nbsp;"
"beetles","elateridae","agriotes sordidus","&nbsp;"
"beetles","elateridae","ampedus cardinalis","&nbsp;"
"beetles","elateridae","ampedus cinnabarinus","&nbsp;"
"beetles","elateridae","ampedus nigerrimus","&nbsp;"
"beetles","elateridae","ampedus quercicola","&nbsp;"
"beetles","elateridae","ampedus sanguinolentus","&nbsp;"
"beetles","elateridae","athous campyloides","&nbsp;"
"beetles","elateridae","calambus bipustulatus","&nbsp;"
"beetles","elateridae","ctenicera pectinicornis","&nbsp;"
"beetles","elateridae","ischnodes sanguinicollis","&nbsp;"
"beetles","elateridae","megapenthes lugens","&nbsp;"
"beetles","elateridae","melanotus punctolineatus","&nbsp;"
"beetles","elateridae","oedostethus quadripustulatus","&nbsp;"
"beetles","elateridae","paraphotistus nigricornis","&nbsp;"
"beetles","elateridae","procraerus tibialis","&nbsp;"
"beetles","elmidae","riolus cupreus","&nbsp;"
"beetles","endomychidae","lycoperdina bovistae","&nbsp;"
"beetles","endomychidae","lycoperdina succincta","&nbsp;"
"beetles","endomychidae","symbiotes latus","&nbsp;"
"beetles","erirhinidae","grypus equiseti","&nbsp;"
"beetles","erirhinidae","notaris bimaculatus","&nbsp;"
"beetles","erirhinidae","notaris scirpi","&nbsp;"
"beetles","erirhinidae","procas armillatus","&nbsp;"
"beetles","erirhinidae","thryogenes scirrhosus","&nbsp;"
"beetles","erotylidae","triplax lacordairii","&nbsp;"
"beetles","erotylidae","tritoma bipustulata","&nbsp;"
"beetles","eucnemidae","melasis buprestoides","&nbsp;"
"beetles","geotrupidae","geotrupes mutator","&nbsp;"
"beetles","gyrinidae","gyrinus distinctus","&nbsp;"
"beetles","gyrinidae","gyrinus minutus","&nbsp;"
"beetles","gyrinidae","gyrinus natator","&nbsp;"
"beetles","gyrinidae","gyrinus paykulli","&nbsp;"
"beetles","gyrinidae","gyrinus suffriani","&nbsp;"
"beetles","gyrinidae","gyrinus urinator","&nbsp;"
"beetles","haliplidae","haliplus apicalis","&nbsp;"
"beetles","haliplidae","haliplus heydeni","&nbsp;"
"beetles","haliplidae","haliplus laminatus","&nbsp;"
"beetles","haliplidae","haliplus variegatus","&nbsp;"
"beetles","haliplidae","peltodytes caesus","&nbsp;"
"beetles","heteroceridae","heterocerus fusculus","&nbsp;"
"beetles","histeridae","abraeus granulum","&nbsp;"
"beetles","histeridae","acritus homoeopathicus","&nbsp;"
"beetles","histeridae","aeletes atomarius","&nbsp;"
"beetles","histeridae","gnathoncus buyssoni","&nbsp;"
"beetles","histeridae","hister bissexstriatus","&nbsp;"
"beetles","histeridae","hister quadrimaculatus","&nbsp;"
"beetles","histeridae","hypocaccus dimidiatus","&nbsp;"
"beetles","histeridae","hypocaccus rugifrons","&nbsp;"
"beetles","histeridae","margarinotus marginatus","&nbsp;"
"beetles","histeridae","myrmetes paykulli","&nbsp;"
"beetles","histeridae","onthophilus punctatus","&nbsp;"
"beetles","histeridae","plegaderus dissectus","&nbsp;"
"beetles","histeridae","saprinus immundus","&nbsp;"
"beetles","histeridae","saprinus virescens","&nbsp;"
"beetles","histeridae","teretrius fabricii","&nbsp;"
"beetles","hydraenidae","hydraena nigrita","&nbsp;"
"beetles","hydraenidae","hydraena testacea","&nbsp;"
"beetles","hydraenidae","limnebius nitidus","&nbsp;"
"beetles","hydraenidae","limnebius papposus","&nbsp;"
"beetles","hydraenidae","ochthebius aeneus","&nbsp;"
"beetles","hydraenidae","ochthebius auriculatus","&nbsp;"
"beetles","hydraenidae","ochthebius bicolon","&nbsp;"
"beetles","hydraenidae","ochthebius exaratus","&nbsp;"
"beetles","hydraenidae","ochthebius marinus","&nbsp;"
"beetles","hydraenidae","ochthebius nanus","&nbsp;"
"beetles","hydraenidae","ochthebius punctatus","&nbsp;"
"beetles","hydraenidae","ochthebius pusillus","&nbsp;"
"beetles","hydraenidae","ochthebius viridis","&nbsp;"
"beetles","hydrophilidae","anacaena bipustulata","&nbsp;"
"beetles","hydrophilidae","berosus affinis","&nbsp;"
"beetles","hydrophilidae","berosus fulvus","&nbsp;"
"beetles","hydrophilidae","berosus luridus","&nbsp;"
"beetles","hydrophilidae","berosus signaticollis","&nbsp;"
"beetles","hydrophilidae","cercyon atricapillus","&nbsp;"
"beetles","hydrophilidae","cercyon convexiusculus","&nbsp;"
"beetles","hydrophilidae","cercyon depressus","&nbsp;"
"beetles","hydrophilidae","cercyon obsoletus","&nbsp;"
"beetles","hydrophilidae","cercyon sternalis","&nbsp;"
"beetles","hydrophilidae","cercyon tristis","&nbsp;"
"beetles","hydrophilidae","cercyon ustulatus","&nbsp;"
"beetles","hydrophilidae","chaetarthria seminulum","&nbsp;"
"beetles","hydrophilidae","cryptopleurum crenatum","&nbsp;"
"beetles","hydrophilidae","enochrus affinis","&nbsp;"
"beetles","hydrophilidae","enochrus bicolor","&nbsp;"
"beetles","hydrophilidae","enochrus halophilus","&nbsp;"
"beetles","hydrophilidae","enochrus isotae","&nbsp;"
"beetles","hydrophilidae","enochrus melanocephalus","&nbsp;"
"beetles","hydrophilidae","enochrus ochropterus","&nbsp;"
"beetles","hydrophilidae","enochrus quadripunctatus","&nbsp;"
"beetles","hydrophilidae","helochares lividus","&nbsp;"
"beetles","hydrophilidae","helochares obscurus","&nbsp;"
"beetles","hydrophilidae","helochares punctatus","&nbsp;"
"beetles","hydrophilidae","helophorus alternans","&nbsp;"
"beetles","hydrophilidae","helophorus dorsalis","&nbsp;"
"beetles","hydrophilidae","helophorus fulgidicollis","&nbsp;"
"beetles","hydrophilidae","helophorus griseus","&nbsp;"
"beetles","hydrophilidae","helophorus longitarsis","&nbsp;"
"beetles","hydrophilidae","helophorus nanus","&nbsp;"
"beetles","hydrophilidae","helophorus strigifrons","&nbsp;"
"beetles","hydrophilidae","helophorus tuberculatus","&nbsp;"
"beetles","hydrophilidae","hydrochara caraboides","&nbsp;"
"beetles","hydrophilidae","hydrochus angustatus","&nbsp;"
"beetles","hydrophilidae","hydrochus elongatus","&nbsp;"
"beetles","hydrophilidae","hydrophilus piceus","&nbsp;"
"beetles","hydrophilidae","laccobius atratus","&nbsp;"
"beetles","hydrophilidae","laccobius sinuatus","&nbsp;"
"beetles","hydrophilidae","limnoxenus niger","&nbsp;"
"beetles","hydrophilidae","paracymus aeneus","&nbsp;"
"beetles","hydrophilidae","paracymus scutellaris","&nbsp;"
"beetles","hydrophilidae","spercheus emarginatus","&nbsp;"
"beetles","kateretidae","brachypterolus antirrhini","&nbsp;"
"beetles","lathridiidae","corticaria alleni","&nbsp;"
"beetles","lathridiidae","corticaria inconspicua","&nbsp;"
"beetles","lathridiidae","corticarina truncatella","&nbsp;"
"beetles","lathridiidae","enicmus brevicornis","&nbsp;"
"beetles","lathridiidae","enicmus rugosus","&nbsp;"
"beetles","lathridiidae","melanophthalma curticollis","&nbsp;"
"beetles","leiodidae","agathidium marginatum","&nbsp;"
"beetles","leiodidae","choleva glauca","&nbsp;"
"beetles","leiodidae","colon viennense","&nbsp;"
"beetles","leiodidae","hydnobius latifrons","&nbsp;"
"beetles","leiodidae","leiodes cinnamomea","&nbsp;"
"beetles","leiodidae","leiodes macropus","&nbsp;"
"beetles","leiodidae","leiodes oblonga","&nbsp;"
"beetles","leiodidae","leiodes rugosa","&nbsp;"
"beetles","leiodidae","leiodes strigipenne","&nbsp;"
"beetles","limnichidae","limnichus pygmaeus","&nbsp;"
"beetles","lucanidae","lucanus cervus","&nbsp;"
"beetles","lycidae","platycis minutus","&nbsp;"
"beetles","melandryidae","abdera biflexuosa","&nbsp;"
"beetles","melandryidae","abdera quadrifasciata","&nbsp;"
"beetles","melandryidae","anisoxya fuscula","&nbsp;"
"beetles","melandryidae","conopalpus testaceus","&nbsp;"
"beetles","melandryidae","hallomenus binotatus","&nbsp;"
"beetles","melandryidae","melandrya caraboides","&nbsp;"
"beetles","melandryidae","orchesia micans","&nbsp;"
"beetles","melandryidae","orchesia minor","&nbsp;"
"beetles","melandryidae","osphya bipunctata","&nbsp;"
"beetles","melandryidae","phloiotrya vaudoueri","&nbsp;"
"beetles","meloidae","meloe autumnalis","&nbsp;"
"beetles","meloidae","meloe cicatricosus","&nbsp;"
"beetles","meloidae","meloe mediterraneus","&nbsp;"
"beetles","meloidae","meloe rugosus","&nbsp;"
"beetles","meloidae","meloe violaceus","&nbsp;"
"beetles","melyridae","aplocnemus nigricornis","&nbsp;"
"beetles","melyridae","aplocnemus pini","&nbsp;"
"beetles","melyridae","axinotarsus pulicarius","&nbsp;"
"beetles","melyridae","dasytes plumbeus","&nbsp;"
"beetles","melyridae","dasytes virens","&nbsp;"
"beetles","melyridae","dolichosoma lineare","&nbsp;"
"beetles","melyridae","malachius aeneus","&nbsp;"
"beetles","melyridae","malachius marginellus","&nbsp;"
"beetles","melyridae","malachius vulneratus","&nbsp;"
"beetles","mordellidae","mordella holomelaena","&nbsp;"
"beetles","mordellidae","mordellistena acuticollis","&nbsp;"
"beetles","mordellidae","mordellistena brevicauda","&nbsp;"
"beetles","mordellidae","mordellistena humeralis","&nbsp;"
"beetles","mordellidae","mordellistena neuwaldeggiana","&nbsp;"
"beetles","mordellidae","mordellistena parvula","&nbsp;"
"beetles","mordellidae","mordellistena pseudoparvula","&nbsp;"
"beetles","mordellidae","mordellistena pseudopumila","&nbsp;"
"beetles","mordellidae","mordellistena sp.","&nbsp;"
"beetles","mordellidae","tomoxia bucephala","&nbsp;"
"beetles","mordellidae","variimorda villosa","&nbsp;"
"beetles","mycetophagidae","mycetophagus piceus","&nbsp;"
"beetles","mycetophagidae","mycetophagus populi","&nbsp;"
"beetles","mycetophagidae","mycetophagus quadriguttatus","&nbsp;"
"beetles","nitidulidae","amphotis marginata","&nbsp;"
"beetles","nitidulidae","cryptarcha strigata","&nbsp;"
"beetles","nitidulidae","cryptarcha undata","&nbsp;"
"beetles","nitidulidae","epuraea angustula","&nbsp;"
"beetles","nitidulidae","epuraea binotata","&nbsp;"
"beetles","nitidulidae","epuraea guttata","&nbsp;"
"beetles","nitidulidae","epuraea longula","&nbsp;"
"beetles","nitidulidae","epuraea terminalis","&nbsp;"
"beetles","nitidulidae","meligethes atramentarius","&nbsp;"
"beetles","nitidulidae","meligethes erichsoni","&nbsp;"
"beetles","nitidulidae","meligethes fulvipes","&nbsp;"
"beetles","nitidulidae","meligethes gagathinus","&nbsp;"
"beetles","nitidulidae","meligethes incanus","&nbsp;"
"beetles","nitidulidae","meligethes lugubris","&nbsp;"
"beetles","nitidulidae","meligethes ochropus","&nbsp;"
"beetles","nitidulidae","meligethes rotundicollis","&nbsp;"
"beetles","nitidulidae","meligethes umbrosus","&nbsp;"
"beetles","nitidulidae","thalycra fervida","&nbsp;"
"beetles","noteridae","noterus crassicornis","&nbsp;"
"beetles","oedemeridae","ischnomera cyanea","&nbsp;"
"beetles","phalacridae","olibrus flavicornis","&nbsp;"
"beetles","phalacridae","olibrus millefolii","&nbsp;"
"beetles","phalacridae","olibrus pygmaeus","&nbsp;"
"beetles","phalacridae","phalacrus brunnipes","&nbsp;"
"beetles","phloiophilidae","phloiophilus edwardsi","&nbsp;"
"beetles","platypodidae","platypus cylindrus","&nbsp;"
"beetles","ptiliidae","acrotrichis arnoldi","&nbsp;"
"beetles","ptiliidae","acrotrichis chevrolati","&nbsp;"
"beetles","ptiliidae","actidium coarctatum","&nbsp;"
"beetles","ptiliidae","actinopteryx fucicola","&nbsp;"
"beetles","ptiliidae","euryptilium saxonicum","&nbsp;"
"beetles","ptiliidae","nossidium pilosellum","&nbsp;"
"beetles","ptiliidae","oligella foveolata","&nbsp;"
"beetles","ptiliidae","ptenidium gressneri","&nbsp;"
"beetles","ptiliidae","ptenidium turgidum","&nbsp;"
"beetles","ptiliidae","ptilium exaratum","&nbsp;"
"beetles","ptiliidae","ptinella denticollis","&nbsp;"
"beetles","ptiliidae","smicrus filicornis","&nbsp;"
"beetles","ptinidae","ptinus lichenum","&nbsp;"
"beetles","ptinidae","ptinus palliatus","&nbsp;"
"beetles","ptinidae","ptinus sexpunctatus","&nbsp;"
"beetles","pyrochroidae","pyrochroa coccinea","&nbsp;"
"beetles","rhizophagidae","monotoma angusticollis","&nbsp;"
"beetles","rhizophagidae","rhizophagus nitidulus","&nbsp;"
"beetles","rhizophagidae","rhizophagus oblongicollis","&nbsp;"
"beetles","rhizophagidae","rhizophagus picipes","&nbsp;"
"beetles","salpingidae","lissodema cursor","&nbsp;"
"beetles","salpingidae","lissodema quadripustulata","&nbsp;"
"beetles","scarabaeidae","aphodius conspurcatus","&nbsp;"
"beetles","scarabaeidae","aphodius consputus","&nbsp;"
"beetles","scarabaeidae","aphodius distinctus","&nbsp;"
"beetles","scarabaeidae","aphodius lividus","&nbsp;"
"beetles","scarabaeidae","aphodius paykulli","&nbsp;"
"beetles","scarabaeidae","aphodius porcus","&nbsp;"
"beetles","scarabaeidae","aphodius sordidus","&nbsp;"
"beetles","scarabaeidae","aphodius subterraneus","&nbsp;"
"beetles","scarabaeidae","aphodius zenkeri","&nbsp;"
"beetles","scarabaeidae","gnorimus nobilis","&nbsp;"
"beetles","scarabaeidae","heptaulacus testudinarius","&nbsp;"
"beetles","scarabaeidae","hoplia philanthus","&nbsp;"
"beetles","scarabaeidae","onthophagus nuchicornis","&nbsp;"
"beetles","scarabaeidae","onthophagus nutans","&nbsp;"
"beetles","scarabaeidae","onthophagus vacca","&nbsp;"
"beetles","scirtidae","cyphon pubescens","&nbsp;"
"beetles","scirtidae","hydrocyphon deflexicollis","&nbsp;"
"beetles","scirtidae","prionocyphon serricornis","&nbsp;"
"beetles","scirtidae","scirtes orbicularis","&nbsp;"
"beetles","scolytidae","ernoporus fagi","&nbsp;"
"beetles","scolytidae","ernoporus tiliae","&nbsp;"
"beetles","scolytidae","lymantor coryli","&nbsp;"
"beetles","scolytidae","scolytus mali","&nbsp;"
"beetles","scolytidae","taphrorychus bicolor","&nbsp;"
"beetles","scolytidae","trypophloeus asperatus","&nbsp;"
"beetles","scolytidae","xyleborus dispar","&nbsp;"
"beetles","scolytidae","xyleborus dryographus","&nbsp;"
"beetles","scolytidae","xylocleptes bispinus","&nbsp;"
"beetles","scraptiidae","anaspis melanostoma","&nbsp;"
"beetles","scraptiidae","anaspis thoracica","&nbsp;"
"beetles","scraptiidae","scraptia testacea","&nbsp;"
"beetles","scydmaenidae","eutheia plicata","&nbsp;"
"beetles","scydmaenidae","eutheia schaumi","&nbsp;"
"beetles","scydmaenidae","eutheia scydmaenoides","&nbsp;"
"beetles","scydmaenidae","neuraphes praeteritus","&nbsp;"
"beetles","scydmaenidae","scydmaenus rufus","&nbsp;"
"beetles","scydmaenidae","scydmoraphes helvolus","&nbsp;"
"beetles","scydmaenidae","scydmoraphes sparshalli","&nbsp;"
"beetles","scydmaenidae","stenichnus godarti","&nbsp;"
"beetles","scydmaenidae","stenichnus poweri","&nbsp;"
"beetles","scydmaenidae","stenichnus pusillus","&nbsp;"
"beetles","silphidae","aclypea opaca","&nbsp;"
"beetles","silphidae","dendroxena quadrimaculata","&nbsp;"
"beetles","silphidae","nicrophorus interruptus","&nbsp;"
"beetles","silphidae","nicrophorus vestigator","&nbsp;"
"beetles","silphidae","silpha obscura","&nbsp;"
"beetles","silphidae","thanatophilus dispar","&nbsp;"
"beetles","silvanidae","silvanus bidentatus","&nbsp;"
"beetles","sphindidae","sphindus dubius","&nbsp;"
"beetles","staphylinidae","achenium humile","&nbsp;"
"beetles","staphylinidae","acidota cruentata","&nbsp;"
"beetles","staphylinidae","acrotona parens","&nbsp;"
"beetles","staphylinidae","aleochara brevipennis","&nbsp;"
"beetles","staphylinidae","aleochara fumata","&nbsp;"
"beetles","staphylinidae","aleochara funebris","&nbsp;"
"beetles","staphylinidae","aleochara lygaea","&nbsp;"
"beetles","staphylinidae","aleochara ruficornis","&nbsp;"
"beetles","staphylinidae","aleochara stichai","&nbsp;"
"beetles","staphylinidae","aleochara verna","&nbsp;"
"beetles","staphylinidae","aloconota longicollis","&nbsp;"
"beetles","staphylinidae","amarochara forticornis","&nbsp;"
"beetles","staphylinidae","amauronyx maerkelii","&nbsp;"
"beetles","staphylinidae","anotylus fairmairei","&nbsp;"
"beetles","staphylinidae","anotylus insecatus","&nbsp;"
"beetles","staphylinidae","anotylus mutator","&nbsp;"
"beetles","staphylinidae","anotylus saulcyi","&nbsp;"
"beetles","staphylinidae","arena tabida","&nbsp;"
"beetles","staphylinidae","astenus immaculatus","&nbsp;"
"beetles","staphylinidae","astenus procerus","&nbsp;"
"beetles","staphylinidae","atheta basicornis","&nbsp;"
"beetles","staphylinidae","atheta nigritula","&nbsp;"
"beetles","staphylinidae","atheta pilicornis","&nbsp;"
"beetles","staphylinidae","batrisodes adnexus","&nbsp;"
"beetles","staphylinidae","batrisodes venustus","&nbsp;"
"beetles","staphylinidae","bibloporus minutus","&nbsp;"
"beetles","staphylinidae","bisnius pseudoparcus","&nbsp;"
"beetles","staphylinidae","bledius diota","&nbsp;"
"beetles","staphylinidae","bledius femoralis","&nbsp;"
"beetles","staphylinidae","bledius tricornis","&nbsp;"
"beetles","staphylinidae","brachygluta waterhousei","&nbsp;"
"beetles","staphylinidae","brachyusa concolor","&nbsp;"
"beetles","staphylinidae","calodera nigrita","&nbsp;"
"beetles","staphylinidae","calodera protensa","&nbsp;"
"beetles","staphylinidae","calodera riparia","&nbsp;"
"beetles","staphylinidae","calodera rufescens","&nbsp;"
"beetles","staphylinidae","carpelimus foveolatus","&nbsp;"
"beetles","staphylinidae","carpelimus fuliginosus","&nbsp;"
"beetles","staphylinidae","carpelimus halophilus","&nbsp;"
"beetles","staphylinidae","cypha discoidea","&nbsp;"
"beetles","staphylinidae","dacrila fallax","&nbsp;"
