"rank","organization","total","main","extendedd","h-index","g-index"
"489","university of california riverside","1.00","&nbsp;","1.00","0","0"
"490","vpl research","1.00","1.00","&nbsp;","0","0"
"491","university of gothenburg","1.00","&nbsp;","1.00","0","0"
"492","university of patras","1.00","1.00","&nbsp;","0","0"
"493","glasgow school of art","1.00","&nbsp;","1.00","0","0"
"494","university of canberra","1.00","&nbsp;","1.00","0","0"
"495","heinrich-hertz-institut","1.00","&nbsp;","1.00","0","0"
"496","north carolina agricultural &amp; technical state university","1.00","&nbsp;","1.00","0","0"
"497","kyushu university","1.00","&nbsp;","1.00","0","0"
"498","university of east anglia","1.00","1.00","&nbsp;","0","0"
"499","universitat siegen","1.00","&nbsp;","1.00","0","0"
"500","technical research centre of finland","1.00","&nbsp;","1.00","0","0"
"501","yokohama national university","1.00","&nbsp;","1.00","0","0"
"502","university of tennessee knoxville","1.00","0.50","0.50","0","0"
"503","clark college","1.00","&nbsp;","1.00","0","0"
"504","cleveland clinic","1.00","1.00","&nbsp;","0","0"
"505","massey university","1.00","1.00","&nbsp;","0","0"
"506","university of cyprus","1.00","1.00","&nbsp;","0","0"
"507","saint petersburg state university","1.00","&nbsp;","1.00","0","0"
"508","free university of brussels vub","1.00","&nbsp;","1.00","0","0"
"509","university of vaasa","1.00","1.00","&nbsp;","0","0"
"510","friedrich alexander universitat erlangen nurnberg","1.00","&nbsp;","1.00","0","0"
"511","brock university","1.00","&nbsp;","1.00","0","0"
"512","bar ilan university","1.00","&nbsp;","1.00","0","0"
"513","mills college","1.00","1.00","&nbsp;","0","0"
"514","universitat der bundeswehr munchen","1.00","1.00","&nbsp;","0","0"
"515","university of dayton","1.00","1.00","&nbsp;","0","0"
"516","universitat freiburg","1.00","&nbsp;","1.00","0","0"
"517","universitat oberta de catalunya","1.00","&nbsp;","1.00","0","0"
"518","university of electro-communications chofu","1.00","&nbsp;","1.00","0","0"
"519","duke university","1.00","0.67","0.33","0","0"
"520","universita degli studi di pavia","1.00","&nbsp;","1.00","0","0"
"521","washington state university pullman","1.00","&nbsp;","1.00","0","0"
"522","biocad corporation","1.00","&nbsp;","1.00","0","0"
"523","gettysburg college","1.00","&nbsp;","1.00","0","0"
"524","universidad nacional autonoma de mexico","1.00","&nbsp;","1.00","0","0"
"525","university of leeds","1.00","&nbsp;","1.00","0","0"
"526","capital university","1.00","&nbsp;","1.00","0","0"
"527","university of joensuu","1.00","&nbsp;","1.00","0","0"
"528","conservatoire national des arts et metiers","1.00","&nbsp;","1.00","0","0"
"529","charles darwin university","1.00","&nbsp;","1.00","0","0"
"530","avaya labs","1.00","&nbsp;","1.00","0","0"
"531","budapest university of technology and economics","1.00","&nbsp;","1.00","0","0"
"532","california institute of technology","1.00","&nbsp;","1.00","0","0"
"533","california state university northridge","1.00","&nbsp;","1.00","0","0"
"534","calvin college","1.00","&nbsp;","1.00","0","0"
"535","chi systems","1.00","&nbsp;","1.00","0","0"
"536","electronics telecommunication research institute","1.00","&nbsp;","1.00","0","0"
"537","german research center for artificial intelligence","1.00","&nbsp;","1.00","0","0"
"538","hebrew university of jerusalem","1.00","&nbsp;","1.00","0","0"
"539","hochschule bremen","1.00","&nbsp;","1.00","0","0"
"540","institute for infocomm research","1.00","&nbsp;","1.00","0","0"
"541","interdisciplinary center herzliya","1.00","&nbsp;","1.00","0","0"
"542","korea institute of science and technology","1.00","&nbsp;","1.00","0","0"
"543","multimedia university","1.00","&nbsp;","1.00","0","0"
"544","nagoya university","1.00","&nbsp;","1.00","0","0"
"545","national cheng kung university","1.00","&nbsp;","1.00","0","0"
"546","siauliai university","1.00","&nbsp;","1.00","0","0"
"547","tama art university","1.00","&nbsp;","1.00","0","0"
"548","telcordia technologies","1.00","&nbsp;","1.00","0","0"
"549","umr5505 institut de recherche en informatique de toulouse","1.00","&nbsp;","1.00","0","0"
"550","universidad francisco marroquin","1.00","&nbsp;","1.00","0","0"
"551","universidad veracruzana","1.00","&nbsp;","1.00","0","0"
"552","universidade da madeira","1.00","&nbsp;","1.00","0","0"
"553","universidade federal de sao carlos","1.00","&nbsp;","1.00","0","0"
"554","universidade federal do rio grande do sul","1.00","&nbsp;","1.00","0","0"
"555","universita cattolica del sacro cuore","1.00","&nbsp;","1.00","0","0"
"556","universita degli studi di milano","1.00","&nbsp;","1.00","0","0"
"557","universita degli studi di padova","1.00","&nbsp;","1.00","0","0"
"558","universitat konstanz","1.00","&nbsp;","1.00","0","0"
"559","universitat rostock","1.00","&nbsp;","1.00","0","0"
"560","universitatea tehnica cluj-napoca","1.00","&nbsp;","1.00","0","0"
"561","university of antwerp","1.00","&nbsp;","1.00","0","0"
"562","university of delaware","1.00","&nbsp;","1.00","0","0"
"563","university of montana missoula","1.00","&nbsp;","1.00","0","0"
"564","university of reading","1.00","&nbsp;","1.00","0","0"
"565","university of south africa","1.00","&nbsp;","1.00","0","0"
"566","ural state university","1.00","&nbsp;","1.00","0","0"
"567","yamagata university","1.00","&nbsp;","1.00","0","0"
"568","idaho national laboratory","0.97","&nbsp;","0.97","0","0"
"569","interacta design","0.97","&nbsp;","0.97","0","0"
"570","nara institute of science &amp; technology","0.92","&nbsp;","0.92","0","0"
"571","portland state university","0.92","0.67","0.25","0","0"
"572","american institutes for research","0.92","&nbsp;","0.92","0","0"
"573","universitat munster","0.92","&nbsp;","0.92","0","0"
"574","hallym university","0.88","&nbsp;","0.88","0","0"
"575","american university washington dc","0.83","0.50","0.33","0","0"
"576","university of iceland","0.83","0.50","0.33","0","0"
"577","dartmouth college","0.83","&nbsp;","0.83","0","0"
"578","temple university","0.80","&nbsp;","0.80","0","0"
"579","centers for disease control and prevention","0.80","&nbsp;","0.80","0","0"
"580","trinity college","0.80","&nbsp;","0.80","0","0"
"581","university of florida","0.80","0.80","&nbsp;","0","0"
"582","university of exeter","0.75","0.75","&nbsp;","0","0"
"583","utrecht university","0.75","0.75","&nbsp;","0","0"
"584","california polytechnic state university","0.75","&nbsp;","0.75","0","0"
"585","lomonosov moscow state university","0.75","&nbsp;","0.75","0","0"
"586","universitat kassel","0.75","&nbsp;","0.75","0","0"
"587","bbc","0.71","0.71","&nbsp;","0","0"
"588","university of chicago","0.70","0.20","0.50","0","0"
"589","san jose state university","0.70","0.20","0.50","0","0"
"590","wright state university","0.67","0.33","0.33","0","0"
"591","kochi university","0.67","0.67","&nbsp;","0","0"
"592","creighton university","0.67","&nbsp;","0.67","0","0"
"593","hochschule fur gestaltung offenbach","0.67","&nbsp;","0.67","0","0"
"594","ball state university","0.67","&nbsp;","0.67","0","0"
"595","universidade federal do rio de janeiro","0.67","&nbsp;","0.67","0","0"
"596","universidade federal fluminense","0.67","&nbsp;","0.67","0","0"
"597","universite rene descartes paris 5","0.67","&nbsp;","0.67","0","0"
"598","bmw","0.60","0.60","&nbsp;","0","0"
"599","ryerson university","0.60","&nbsp;","0.60","0","0"
"600","goldsmiths college university of london","0.60","0.60","&nbsp;","0","0"
"601","carl von ossietzky universitat oldenburg","0.58","&nbsp;","0.58","0","0"
"602","idaho state university","0.58","&nbsp;","0.58","0","0"
"603","universitat hannover","0.58","0.25","0.33","0","0"
"604","universite de montreal","0.58","&nbsp;","0.58","0","0"
"605","universite toulouse 3 paul sabatier","0.58","&nbsp;","0.58","0","0"
"606","air force research laboratory","0.58","&nbsp;","0.58","0","0"
"607","beijing university","0.53","0.53","&nbsp;","0","0"
"608","emory university","0.53","&nbsp;","0.53","0","0"
"609","polytechnic university of new york","0.53","0.33","0.20","0","0"
"610","tamagawa university","0.53","&nbsp;","0.53","0","0"
"611","colgate university","0.50","&nbsp;","0.50","0","0"
"612","hiroshima university","0.50","&nbsp;","0.50","0","0"
"613","international computer science institute","0.50","&nbsp;","0.50","0","0"
"614","long island university","0.50","&nbsp;","0.50","0","0"
"615","university of science &amp; technology of china","0.50","&nbsp;","0.50","0","0"
"616","eastern michigan university","0.50","&nbsp;","0.50","0","0"
"617","university of medicine &amp; dentistry of new jersey","0.50","&nbsp;","0.50","0","0"
"618","queen margaret university","0.50","&nbsp;","0.50","0","0"
"619","stevens institute of technology","0.50","0.50","&nbsp;","0","0"
"620","bournemouth university","0.50","&nbsp;","0.50","0","0"
"621","swedish defence research agency","0.50","0.50","&nbsp;","0","0"
"622","swansea university","0.50","0.50","&nbsp;","0","0"
"623","universidad de granada","0.50","&nbsp;","0.50","0","0"
"624","university of crete","0.50","&nbsp;","0.50","0","0"
"625","san diego supercomputer center","0.50","0.50","&nbsp;","0","0"
"626","universitat trier","0.50","&nbsp;","0.50","0","0"
"627","riso national laboratory","0.50","0.33","0.17","0","0"
"628","boston college","0.50","&nbsp;","0.50","0","0"
"629","lehigh university","0.50","0.50","&nbsp;","0","0"
"630","it university of copenhagen","0.50","0.50","&nbsp;","0","0"
"631","norwegian computing center","0.50","0.50","&nbsp;","0","0"
"632","universite des sciences et technologies lille 1","0.50","0.50","&nbsp;","0","0"
"633","universite paul verlaine metz","0.50","0.50","&nbsp;","0","0"
"634","university college of boras","0.50","&nbsp;","0.50","0","0"
"635","university of technology sydney","0.50","&nbsp;","0.50","0","0"
"636","university of bedfordshire","0.50","&nbsp;","0.50","0","0"
"637","university of south australia","0.50","&nbsp;","0.50","0","0"
"638","world wide web consortium","0.50","&nbsp;","0.50","0","0"
"639","pace university","0.50","&nbsp;","0.50","0","0"
"640","london metropolitan university","0.50","&nbsp;","0.50","0","0"
"641","lulea university of technology","0.50","&nbsp;","0.50","0","0"
"642","malardalen university","0.50","&nbsp;","0.50","0","0"
"643","national chiao tung university","0.50","&nbsp;","0.50","0","0"
"644","national defense university","0.50","&nbsp;","0.50","0","0"
"645","newcastle university","0.50","&nbsp;","0.50","0","0"
"646","rowan university","0.50","&nbsp;","0.50","0","0"
"647","science applications international corporation","0.50","&nbsp;","0.50","0","0"
"648","shinshu university","0.50","&nbsp;","0.50","0","0"
"649","thames valley university","0.50","&nbsp;","0.50","0","0"
"650","universita degli studi di torino","0.50","&nbsp;","0.50","0","0"
"651","universita degli studi di trento","0.50","&nbsp;","0.50","0","0"
"652","university of bradford","0.50","&nbsp;","0.50","0","0"
"653","university of kansas","0.50","&nbsp;","0.50","0","0"
"654","university of wollongong","0.50","&nbsp;","0.50","0","0"
"655","universitat de valencia","0.49","&nbsp;","0.49","0","0"
"656","universidad politecnica de valencia","0.49","&nbsp;","0.49","0","0"
"657","renmin university of china","0.48","0.14","0.33","0","0"
"658","evergreen state college","0.45","&nbsp;","0.45","0","0"
"659","universita degli studi di firenze","0.44","&nbsp;","0.44","0","0"
"660","universita di bologna","0.44","&nbsp;","0.44","0","0"
"661","universitat jaume i","0.43","&nbsp;","0.43","0","0"
"662","university of oslo","0.42","&nbsp;","0.42","0","0"
"663","universitat des saarlandes","0.42","&nbsp;","0.42","0","0"
"664","university of oxford","0.38","&nbsp;","0.38","0","0"
"665","fred hutchinson cancer research center","0.38","0.38","&nbsp;","0","0"
"666","oxford brookes university","0.36","&nbsp;","0.36","0","0"
"667","universita iuav di venezia","0.34","&nbsp;","0.34","0","0"
"668","aston university","0.33","0.33","&nbsp;","0","0"
"669","university of louisiana lafayette","0.33","&nbsp;","0.33","0","0"
"670","drew university","0.33","0.33","&nbsp;","0","0"
"671","victoria university","0.33","0.33","&nbsp;","0","0"
"672","royal children's hospital","0.33","&nbsp;","0.33","0","0"
"673","universite joseph fourier grenoble 1","0.33","&nbsp;","0.33","0","0"
"674","university of professional education fontys","0.33","&nbsp;","0.33","0","0"
"675","sichuan university","0.33","&nbsp;","0.33","0","0"
"676","university of strathclyde","0.33","&nbsp;","0.33","0","0"
"677","sapporo city university","0.33","&nbsp;","0.33","0","0"
"678","london school of economics and political science","0.33","&nbsp;","0.33","0","0"
"679","universite de rennes 1","0.33","0.33","&nbsp;","0","0"
"680","university of arkansas little rock","0.33","0.33","&nbsp;","0","0"
"681","universita degli studi del sannio","0.33","&nbsp;","0.33","0","0"
"682","universite de poitiers","0.33","0.33","&nbsp;","0","0"
"683","universite de provence aix-marseille 1","0.33","0.33","&nbsp;","0","0"
"684","open university of israel","0.33","0.33","&nbsp;","0","0"
"685","universitat dortmund","0.33","0.33","&nbsp;","0","0"
"686","universidad catolica nuestra senora de la asuncion","0.33","&nbsp;","0.33","0","0"
"687","universitat innsbruck","0.33","0.33","&nbsp;","0","0"
"688","university of jyvaskyla","0.33","0.33","&nbsp;","0","0"
"689","university of nevada las vegas","0.33","0.33","&nbsp;","0","0"
"690","institut national polytechnique de grenoble","0.33","&nbsp;","0.33","0","0"
"691","acadia university","0.33","&nbsp;","0.33","0","0"
"692","hiroshima city university","0.33","&nbsp;","0.33","0","0"
"693","kaiser permanente","0.33","&nbsp;","0.33","0","0"
"694","seattle university","0.33","&nbsp;","0.33","0","0"
"695","universidade de sao paulo","0.33","&nbsp;","0.33","0","0"
"696","universidade federal de minas gerais","0.33","&nbsp;","0.33","0","0"
"697","university of saint andrews","0.33","&nbsp;","0.33","0","0"
"698","warsaw university","0.33","&nbsp;","0.33","0","0"
"699","louisiana state university","0.33","&nbsp;","0.33","0","0"
"700","east carolina university","0.29","0.29","&nbsp;","0","0"
"701","university of georgia","0.25","&nbsp;","0.25","0","0"
"702","open university of the netherlands","0.25","0.25","&nbsp;","0","0"
"703","university of architecture and urbanism ion mincu","0.25","&nbsp;","0.25","0","0"
"704","university of westminster","0.25","&nbsp;","0.25","0","0"
"705","university of rhode island","0.25","&nbsp;","0.25","0","0"
"706","tokai university","0.25","&nbsp;","0.25","0","0"
"707","universiteit gent","0.25","&nbsp;","0.25","0","0"
"708","wirtschaftsuniversitat wien","0.25","&nbsp;","0.25","0","0"
"709","wesleyan university","0.25","0.25","&nbsp;","0","0"
"710","missouri state university","0.25","&nbsp;","0.25","0","0"
"711","institut pasteur","0.25","0.25","&nbsp;","0","0"
"712","universite de bourgogne","0.25","0.25","&nbsp;","0","0"
"713","lappeenranta university of technology","0.25","&nbsp;","0.25","0","0"
"714","fernuniversitat in hagen","0.25","&nbsp;","0.25","0","0"
"715","korea national university of arts","0.25","&nbsp;","0.25","0","0"
"716","london business school","0.25","&nbsp;","0.25","0","0"
"717","scripps institution of oceanography","0.25","&nbsp;","0.25","0","0"
"718","universidade de fortaleza","0.25","&nbsp;","0.25","0","0"
"719","universita degli studi di milano bicocca","0.25","&nbsp;","0.25","0","0"
"720","universite de fribourg","0.25","&nbsp;","0.25","0","0"
"721","universite de moncton","0.25","&nbsp;","0.25","0","0"
"722","university of north texas","0.20","&nbsp;","0.20","0","0"
"723","griffith university","0.20","0.20","&nbsp;","0","0"
"724","whitman college","0.20","0.20","&nbsp;","0","0"
"725","national institute on aging","0.20","&nbsp;","0.20","0","0"
"726","shanghai jiao tong university","0.20","0.20","&nbsp;","0","0"
"727","university of memphis","0.20","&nbsp;","0.20","0","0"
"728","san diego state university","0.20","&nbsp;","0.20","0","0"
"729","universidad autonoma de baja california","0.20","&nbsp;","0.20","0","0"
"730","consiglio nazionale delle ricerche","0.20","0.20","&nbsp;","0","0"
"731","howard university","0.20","0.20","&nbsp;","0","0"
"732","medical college of georgia","0.20","0.20","&nbsp;","0","0"
"733","national aeronautics and space administration","0.20","0.20","&nbsp;","0","0"
"734","massachusetts general hospital","0.17","0.17","&nbsp;","0","0"
"735","university of toledo","0.17","0.17","&nbsp;","0","0"
"736","universitat zu lubeck","0.17","&nbsp;","0.17","0","0"
"737","american museum of natural history","0.17","&nbsp;","0.17","0","0"
"738","western kentucky university","0.17","0.17","&nbsp;","0","0"
"739","politecnico di milano","0.17","&nbsp;","0.17","0","0"
"740","universitat saint gallen","0.17","&nbsp;","0.17","0","0"
"741","wellesley college","0.17","&nbsp;","0.17","0","0"
"742","grand valley state university","0.17","&nbsp;","0.17","0","0"
"743","marshfield clinic","0.17","&nbsp;","0.17","0","0"
"744","university of moratuwa","0.17","&nbsp;","0.17","0","0"
"745","gonzaga university","0.14","0.14","&nbsp;","0","0"
"746","edinboro university","0.14","0.14","&nbsp;","0","0"
"747","defense advanced research projects agency","0.14","&nbsp;","0.14","0","0"
"748","university of kent","0.14","&nbsp;","0.14","0","0"
"749","lawrence livermore national laboratory","0.14","0.14","&nbsp;","0","0"
"750","fachhochschule oberosterreich","0.14","&nbsp;","0.14","0","0"
"751","university of stirling","0.14","&nbsp;","0.14","0","0"
"752","kanazawa university","0.13","&nbsp;","0.13","0","0"
"753","university of nairobi","0.13","&nbsp;","0.13","0","0"
"754","santa clara university","0.13","&nbsp;","0.13","0","0"
"755","charles sturt university","0.13","0.13","&nbsp;","0","0"
"756","university of alabama","0.11","&nbsp;","0.11","0","0"
"757","euskal herriko unibertsitatea","0.11","&nbsp;","0.11","0","0"
"758","kunstuniversitat graz","0.09","&nbsp;","0.09","0","0"
