"peak name","height m","height ft","mtn id"
"mount lyall","2950","9682","565"
"mount lyautey","3082","10112","566"
"lychnis mountain","2819","9249","567"
"mount lyell","3511","11520","568"
"mount lyne","2702","8866","1259"
"lynx mountain","3192","10473","569"
"lys ridge","2522","8274","1283"
"ma butte","2331","7648","570"
"mount maccarib","2749","9019","571"
"mount macdonnel","2636","8650","98"
"mount machray","2749","9019","574"
"mount mackenzie","2764","9069","575"
"mount maclaren","2850","9350","576"
"mount magog","3095","10155","577"
"mount mahaney","2391","7846","1546"
"mount mahood","2896","9502","578"
"majestic mountain","3086","10125","623"
"makwa ridge","2210","7250","1523"
"maligne mountain","3220","10565","624"
"mallard peak","2835","9302","625"
"mount malloch","3068","10066","626"
"mount mallory","3270","10729","1108"
"manganese mountain","2920","9581","1109"
"mount mangin","3057","10030","627"
"manitou mountain","2362","7750","1460"
"mount mann","1905","6250","1247"
"manx peak","3044","9987","628"
"marble mountain (james river)","1820","5971","629"
"marble mountain (jasper)","2962","9718","630"
"mount marconi","3105","10188","1110"
"mount marlborough","2973","9754","631"
"marmot mountain (banff)","2606","8550","632"
"marmot mountain (jasper)","2608","8557","633"
"mount marpole","2997","9833","1111"
"the marshall","3190","10466","1112"
"martin's peak","3027","9932","1113"
"marvel peak","2713","8901","634"
"mount mary vaux","3201","10502","635"
"mount massey","2940","9646","1114"
"massive mountain","2435","7889","636"
"mastodon mountain","2987","9800","637"
"mount mather","2966","9731","1115"
"mount matkin","2418","7933","638"
"mount maude","3042","9981","639"
"mount mawdsley","2134","7002","640"
"mount may","2450","8038","641"
"mount mcarthur","3015","9892","1105"
"mount mcbeath (bc)","2740","8990","1395"
"mount mcbeath (alberta)","2845","9334","642"
"mcbride peak","2269","7446","1420"
"mount mccarty","2358","7737","643"
"mount mcconnell","3109","10201","644"
"mount mccord","2511","8239","645"
"mount mccuaig","2884","9462","1106"
"mount mccullagh","2240","7350","1468"
"mount mcdonald","3151","10338","646"
"mcdonnell peak","3261","10700","647"
"mount mcdougall","2700","8859","312"
"mount mcgillivray","2454","8050","648"
"mcgillivray ridge","2697","8850","654"
"mount mcgladrey","2758","9050","649"
"mount mcguire","3030","9941","650"
"mount mcharg","2888","9476","651"
"mount mckean","2743","9000","652"
"mount mclaren","2301","7550","653"
"mclean peak","2499","8200","1538"
"mount mcnab","1690","5545","655"
"mount mcnaughton","2905","9531","1107"
"mount mcphail","2883","9459","656"
"mount mcqueen","2286","7500","657"
"meda mountain","2858","9377","658"
"melvin peak","2667","8750","97"
"mount mercer","2970","9745","659"
"merlin castle","2840","9318","579"
"mount merlin","2711","8894","580"
"merlin ridge","2362","7750","1403"
"messines mountain","3100","10171","581"
"michael peak","2696","8844","1116"
"michel head","2301","7550","1545"
"mount michener","2545","8350","582"
"middle sister","2769","9085","880"
"midway peak","2871","9420","583"
"roche miette","2316","7600","584"
"miette hill","2378","7802","1353"
"mount mike","3300","10827","1117"
"mount minnes","2423","7950","1445"
"minotaur peak","2780","9121","1135"
"minster mountain","3124","10250","585"
"mount minton","3050","10007","1136"
"misko mountain","2911","9350","1241"
"miskwasini peak","2594","8510","1294"
"missinglink mountain","1935","6350","586"
"mist mountain","3140","10302","587"
"mistaya mountain","3078","10099","588"
"mount mitchell","3040","9974","589"
"the mitre","2886","9469","590"
"moberly peak","2340","7678","1396"
"mount moffat","3090","10138","1137"
"molar mountain","3022","9915","591"
"mount mollison","2952","9685","1138"
"mount molson","2498","8196","1139"
"the monarch","2904","9528","1140"
"monarch ramparts","2393","7850","1245"
"monarch mountain","2777","9111","592"
"monchy mountain","3210","10532","593"
"monkhead mountain","3211","10535","594"
"mount monro","3092","10145","1141"
"mount monroe","2301","7550","1421"
"mons peak","3083","10115","595"
"monte cristo mountain","2954","9692","596"
"moonias mountain","2423","7950","1456"
"moose mountain","2437","7996","597"
"mount morden long","3040","9974","598"
"mount moren","2562","8406","599"
"mount morkill","2286","7500","600"
"mount morrison (alberta)","2896","9502","601"
"mount morrison (bc)","2880","9450","1118"
"morro peak","1678","5506","1119"
"mount morro","2912","9554","602"
"mount mowat","2843","9328","1120"
"muhigan mountain","2609","8560","603"
"mount muir","2758","9050","604"
"mumm peak","2962","9718","605"
"mount mummery","3328","10919","1056"
"mount murchison","3333","10936","606"
"mount murray","3024","9922","607"
"mushroom peak","3210","10532","608"
"naiset point","2820","9252","1121"
"nanga parbat mountain","3240","10630","609"
"narao peak","2974","9758","1413"
"nasswald peak","2995","9827","610"
"nechamus mountain","2880","9450","1467"
"needle peak","2970","9745","611"
"mount nelson","3150","10335","612"
"neptuak mountain","3233","10607","613"
"mount nestor","2972","9750","614"
"nestor peak","2972","9750","1249"
"netim mountain","2332","7650","1457"
"newman peak","2621","8600","615"
"mount ney","3060","10040","1148"
"mount niblock","2976","9764","616"
"mount nicholas","2822","9259","1149"
"nigel peak","3211","10535","617"
"nihahi ridge","2545","8350","618"
"nilah peak","2972","9750","1442"
"mount niles","2972","9750","1150"
"mount nivelle","3256","10683","1151"
"mount niverville","2963","9722","619"
"roche noir","2878","9443","620"
"mount nomad","2544","8350","705"
"noonday peak","2740","8990","621"
"nordic ridge","3011","9880","622"
"mount norman","2545","8350","1350"
"normandy peak","2454","8050","1367"
"mount norquay","2522","8275","660"
"north castle","2332","7650","1340"
"north twin peak","3730","12238","661"
"mount northover","3048","10000","662"
"mount norton","3060","10040","1152"
"noseeum mountain","3002","9850","573"
"mount noyes","3084","10119","663"
"nub peak","2755","9039","1166"
"numa mountain","2720","8924","1167"
"mount oates","3120","10237","666"
"o'beirne mountain","2637","8652","664"
"obelisk peak","2545","8350","1440"
"observation peak","3174","10414","667"
"obstruction mountain","3205","10516","668"
"ochakwin mountain","2027","6650","1459"
"octopus mountain","2932","9620","1168"
"odaray mountain","3159","10365","1169"
"mount odell","3150","10335","1581"
"odlum ridge","2469","8190","1567"
"mount odlum","2716","8911","669"
"og mountain","2874","9430","670"
"mount ogden","2695","8842","1170"
"ogre peak","2820","9252","1561"
"mount o'hagan","2445","8022","665"
"mount oke","2920","9581","1171"
"okotoks mountain","1762","5781","671"
"old baldy mountain","1540","5053","672"
"oldhorn mountain","3000","9843","673"
"mount olive","3130","10270","674"
"mount oliver (jasper)","2865","9400","675"
"mount oliver (banff)","2983","9787","676"
"mount olympus (83c/06)","3088","10132","677"
"mount olympus (83c/05)","2987","9800","1381"
"omega peak","3060","10040","678"
"o'neil peak","2813","9230","103"
"mount onslow","2790","9154","1153"
"opabin mountain","3097","10161","1154"
"opal peak","2800","9187","680"
"opal ridge","2575","8450","1496"
"oppy mountain","3335","10942","681"
"orient point","2636","8650","682"
"mount o'rourke","2880","9450","1155"
"mount osgood","3063","10050","1507"
"otuskwan peak","2530","8300","683"
"oubliette peak","3090","10138","1156"
"outlaw peak","2957","9701","1157"
"outpost peak","2880","9450","684"
"mount outram","3240","10630","685"
"oval peak","2900","9514","1589"
"overfold mountain","2484","8150","1528"
"overlander mountain","2687","8817","1408"
"overturn mountain","2560","8399","686"
"mount ovington","2941","9650","1470"
"mount owen","3087","10128","1486"
"oyster peak","2777","9111","687"
"mount packenham","3000","9843","688"
"packhorse peak","2411","7910","1263"
"paget peak","2560","8399","1243"
"pakakos mountain","2440","8006","689"
"the palisade","2130","6989","690"
"mount palmer","3150","10335","691"
"palu mountain","2929","9610","692"
"pangman peak","3173","10420","693"
"panorama ridge","2824","9266","694"
"panther mountain","2943","9656","695"
"paragon peak","3030","9941","696"
"parapet peak","3030","9941","1158"
"park mountain","2941","9650","1147"
"mount parnassus","2910","9548","1172"
"mount parrish","2530","8300","706"
"pasque mountain","2541","8337","707"
"mount patmore","2606","8550","1531"
"mount patterson","3197","10489","708"
"patterson's peak","2728","8950","1272"
"mount pattison","2316","7600","709"
"mount paul","2805","9203","521"
"mount pauline","2653","8704","710"
"pearson peak","2743","9000","1472"
"mount peary","3120","10237","1173"
"mount peck","2921","9584","1174"
"mount pedley","2545","8350","1539"
"mount peechee","2935","9630","711"
"mount pengelly","2560","8399","712"
"mount perce","2754","9036","713"
"roche a perdrix","2134","7002","714"
"mount perren (ten peaks)","3051","10010","715"
"mount perren (siffleur)","3297","10818","1366"
"perseverence mountain","2426","7960","716"
"mount peskett","3124","10250","717"
"mount petain","3183","10443","718"
"mount peters","2850","9350","719"
"mount petrie","2880","9450","1471"
"peveril peak","2650","8695","720"
"peyto peak","2970","9745","721"
"phantom crag","2332","7651","722"
"pharoah peaks","2711","8895","723"
"phillipps peak","2500","8203","724"
"mount phillips","3249","10660","725"
"phillips peak","2911","9550","1345"
"piaysoo ridge","2393","7850","1343"
"mount pierce","2848","9344","1175"
"pigeon mountain","2394","7855","726"
"piggy plus","2760","9056","1505"
"pig's tail","2822","9260","1383"
"pika peak","3053","10017","727"
"mount pilkington","3285","10778","728"
"pilot mountain","2935","9630","729"
"pincher ridge","2423","7950","1286"
"pink mountain","1787","5863","1586"
"pinnacle mountain","3067","10063","730"
"pinto mountain","2575","8450","1399"
"pipestone mountain","2971","9750","731"
"mount plaskett","2938","9640","1469"
"plateau mountain","2438","8000","732"
"poboktan mountain","3320","10893","733"
"pocaterra ridge","2667","8750","1484"
"mount pocaterra","2941","9650","1564"
"poker mountain","2819","9250","1583"
"mount poland","2840","9318","1122"
"mount pollinger","2816","9239","1123"
"pommel mountain","2850","9352","1444"
"pope's peak","3163","10378","734"
"porcupine peak","2740","8990","1357"
"portal peak","2911","9550","735"
"portcullis peak","2636","8650","1351"
"postern mountain","2963","9720","1412"
"mount potts","3002","9850","1124"
"powderface ridge","2210","7250","1384"
"prairie bluff","2254","7395","736"
"prairie mountain","2210","7250","737"
"prairie lookout","3185","10450","1497"
"the president","3138","10296","1125"
"mount prince albert","3209","10529","1126"
"mount prince edward","3200","10499","1127"
"mount prince george","2880","9450","1142"
"mount prince henry","3227","10588","1143"
"mount prince john","3236","10617","1144"
"princess margaret mountain","2515","8252","738"
"mount princess mary","3084","10119","1145"
"mount pringle","1692","5551","739"
"prior peak","3276","10750","740"
"privateer mountain","2332","7650","1270"
"mount procter","2393","7850","1524"
"profile mountain","2636","8650","1518"
"prospect mountain","2819","9249","741"
"protection mountain","2850","9350","742"
"prow mountain","2858","9377","743"
"ptarmigan peak","3035","9958","744"
"mount ptolemy","2815","9236","745"
"pulpit peak","2725","8941","746"
"pulsatilla mountain","3035","9958","747"
"purple mountain","2750","9023","1372"
"mount putnik","2940","9646","748"
"pyramid mountain","2766","9075","749"
"pyriform mountain","2621","8600","750"
"quadra mountain","3173","10411","751"
"quartz hill","2580","8464","1246"
"queant mountain","3120","10237","1146"
"mount queen elizabeth","2850","9350","752"
"mount queen mary","3245","10647","1160"
"mount quincy","3150","10335","753"
"mount quirk","1905","6250","754"
"the quoin","2454","8052","755"
"mount rae","3218","10558","756"
"rainy ridge","2454","8050","1279"
"the rajah","3018","9902","1162"
"the ranee","2939","9642","757"
"raspberry ridge","2362","7750","1543"
"razor peak","2667","8750","1311"
"razorback mountain","2605","8548","758"
"rearguard mountain","2720","8924","1161"
"recondite peak","3356","11011","759"
"red man mountain","2905","9531","201"
"redan mountain","2560","8399","202"
"redburn peak","2820","9252","1354"
"redcap mountain","2393","7850","203"
"redoubt mountain","2902","9521","204"
"redoubt peak","3115","10220","205"
"redstreak mountain","2118","6950","1558"
"mount remus","2688","8819","206"
"mount renshaw","2398","7867","1422"
"replica peak","2794","9167","208"
"resolute mountain","3150","10335","209"
"resplendent mountain","3425","11241","1163"
"resthaven mountain","3125","10253","210"
"reunion peak","2697","8850","766"
"revenant mountain","3065","10056","767"
"rhine peak","2545","8350","1370"
"mount rhodes","3063","10050","1164"
"mount rhondda","3015","9892","768"
"ribbon peak","2880","9450","703"
"mount richards","2377","7799","769"
"mount richardson","3086","10125","770"
"mount rider","2513","8244","1423"
"the rimwall","2700","8859","1556"
"ringrose peak","3278","10755","771"
"riverside mountain","2758","9050","1204"
"mount robertson","3194","10480","772"
"robertson peak","1905","6250","773"
"robinson peaks","2940","9646","1360"
"mount robson","3954","12973","1128"
"mount rockingham","2514","8250","1305"
"mount romulus","2832","9292","207"
"roche ronde","2138","7015","774"
"mount rose","2515","8252","775"
"mount rosita","3267","10720","1129"
"mount ross cox","3000","9843","776"
"rostrum peak","3300","10827","1130"
"rostrum hill","2350","7710","1334"
"mount roth","2606","8550","1131"
"mount rowand","2682","8800","760"
"mount rowe","2452","8045","761"
"mount rowley","2300","7546","99"
"mount ruault","2423","7950","1318"
"ruby ridge","2430","7973","1298"
"ruby mountain","2900","9515","762"
"rudolph peak","3507","11505","1132"
"rufus peak","2759","9052","1133"
"mount rundle","2949","9675","763"
"mount russell (willmore)","2362","7750","764"
"mount russell (nikanassin rg.)","2819","9249","765"
"russell peak","3065","10056","1134"
"mount ruth","2533","8310","1476"
"mount rutherford","2847","9341","199"
"mount sabine","1600","5250","1572"
"saddle mountain (bow)","2433","7983","200"
"saddle peak","2831","9289","777"
"saddle mountain (livingstone)","2240","7350","778"
"mount sadleir","2830","9825","1569"
"sage mountain","2368","7769","779"
"saghali mountain","2740","8990","780"
"salient mountain","2810","9220","786"
"mount salter","2541","8337","1349"
"mount sam","2871","9420","1176"
"samson peak","3081","10109","787"
"sanson peak","2256","7402","788"
"saracen head","2650","8695","789"
"mount sarbach","3155","10352","790"
"mount sarrail","3170","10401","791"
"mount saskatchewan","3342","10965","792"
"saskatoon mountain","1870","6135","793"
"mount sassenach","2900","9515","794"
"saurian mountain","3016","9895","795"
"sawtooth mountain","2933","9623","796"
"scarp mountain","3000","9843","797"
"scarpe mountain","2591","8501","798"
"mount schaffer","2692","8832","1177"
"mount schlee","2850","9350","1178"
"mount scott","3300","10827","799"
"mount scrimger","2755","9039","800"
"sea lion mountain","2914","9561","1179"
"sea shoal mountain","2728","8950","1355"
"mount secord","2667","8750","801"
"mount selkirk","2938","9640","171"
"sentinel mountain","2865","9400","802"
"sentinel peak","2373","7785","803"
"sentry mountain","2435","7989","804"
"sentry peak","3261","10700","237"
"serenity mountain","3216","10552","805"
"seven sisters mountain","2591","8501","806"
"mount shackleton","3330","10926","1180"
"mount shankland","2667","8750","1570"
"mount shanks","2844","9331","1183"
"mount shark","2786","9141","807"
"shark tooth mountain","2423","7950","1331"
"sharp mountain","3049","10004","1184"
"mount sharp","2910","9548","1185"
"shatch mountain","2884","9462","1186"
"sheep mountain (bc)","2454","8050","1260"
"sheep mountain (alberta)","2271","7450","1416"
"sheol mountain","2776","9108","808"
"mount sheppard","2636","8650","1231"
"ship's prow mountain","2636","8650","1388"
"mount shipton","3040","9974","1187"
"shunda mountain","2090","6857","809"
"siffleur mountain","3129","10266","810"
"signal mountain","2255","7400","811"
"silverhorn mountain","2911","9550","812"
"mount simla","2786","9141","813"
"simon peak","3322","10899","814"
"simpson peak (assiniboine)","2874","9430","1188"
"simpson peak (siffleur)","3275","10745","1508"
"mount sinclair","2667","8750","1397"
"mount sir alexander","3270","10720","1417"
"mount sir douglas","3406","11174","815"
"sir ernest peak","3150","10335","1189"
"mount sir harold mitchell","2514","8250","816"
"mount sir joseph","3030","9941","1190"
"sirdar mountain","2804","9200","817"
"sirius peak","2509","8232","818"
"mount skene","3060","10040","819"
"skoki mountain","2707","8882","820"
"sleeper mountain","2622","8604","1308"
"slide mountain","2393","7850","821"
"slump mountain","3090","10138","1191"
"smith peak","3097","10161","1192"
"mount smith-dorrien","3155","10352","822"
"smoky mountain","3133","10279","1193"
"mount smuts","2938","9640","823"
"mount smythe","3246","10650","1406"
"snake indian mountain","2929","9610","824"
"snaring mountain","2931","9617","825"
"mount sneath","2789","9150","1534"
"snow peak","2789","9150","701"
"snow dome","3456","11339","826"
"mount soderholm","2950","9682","1195"
"sofa mountain","2520","8268","827"
"solitaire mountain","3270","10729","828"
"solitude mountain","2941","9650","1364"
"mount solomon","1585","5200","829"
"mount somervell","3120","10237","1196"
"soowa mountain","2179","7150","1527"
"sophist mountain","2972","9750","1363"
"south east tower","3094","10150","1568"
"south twin peak","3640","11943","830"
"mount southesk","3125","10253","831"
"southesk cairn","2575","8450","1380"
"southfork mountain","2330","7645","832"
"spar mountain","2580","8465","142"
"mount sparrowhawk","3121","10240","833"
"sphinx mountain","2460","8071","834"
"spike peak","2918","9574","1197"
"spionkop ridge","2576","8453","835"
"mount splendid","2970","9745","1502"
"split peak","2929","9610","1198"
"mount sprague","2530","8300","836"
"spread eagle mountain","2484","8150","100"
"mount spring-rice","3275","10745","837"
"squaw's tit","2514","8250","1482"
"mount st. andrews","2606","8550","1448"
"mount st. bride","3315","10877","781"
"mount st. david","2636","8650","1449"
"st. eloi mountain","2504","8216","782"
"mount st. george","2789","9150","1450"
"st. julien mountain","3091","10142","783"
"st. nicholas peak","2970","9745","784"
"mount st. patrick","2911","9550","1451"
"mount st. piran","2649","8691","785"
"stairway peak","2999","9840","838"
"stan waters peak","2484","8150","1371"
"stanley peak","3155","10352","1199"
"mount stanley","3090","10138","1200"
"starvation peak","2841","9321","1201"
"mount stearn","2013","6605","839"
"the steeples","2641","8665","1323"
"mount stelfox","2627","8619","840"
"mount stephen","3199","10496","1202"
"mount stevens","2667","8750","1537"
"mount stewart","3312","10867","841"
"mount stiletto","2975","9761","1182"
"stoney squaw mountain","1868","6129","842"
"storelk mountain","2865","9400","843"
"storm mountain (kananaskis)","3095","10155","844"
"storm mountain (banff)","3100","10171","845"
"mount stornoway","2886","9469","846"
"stovepipe mountain","2850","9350","1365"
"mount strachan","2682","8800","847"
"mount strahan","3060","10040","848"
"mount strange","2887","9472","849"
"striped mountain","2807","9210","1203"
"mount strom","3023","9918","1205"
"stuart knob","2850","9350","850"
"mount stuart","2671","8763","1574"
"mount sturdee","3155","10352","1206"
"stutfield peak","3450","11319","851"
"sugarloaf mountain","2514","8250","1585"
"sullivan peak","3022","9915","852"
"sulphur mountain","2451","8042","853"
"sunburst peak","2830","9285","1207"
"sundance peak","2902","9250","1560"
"sundial mountain","3182","10440","854"
"sunkist ridge","2348","7705","1287"
"sunkist mountain","2348","7705","1289"
"sunset peak","3265","10712","855"
"sunwapta peak","3315","10875","856"
"surprise point","2400","7874","857"
"survey peak","2667","8750","858"
"swansea mountain","1733","5686","1516"
"swanson peak","2918","9574","1208"
"mount swensen","2347","7700","859"
"mount swiderski","3133","10279","1209"
"swoda mountain","3003","9853","860"
"mount swope","2514","8250","1547"
"syncline mountain","2441","8009","861"
"syncline ridge","1905","6250","1401"
"mount synge","2972","9750","862"
"table mountain","2232","7323","863"
"mount talbot","2373","7786","864"
"tallon peak","1844","6050","865"
"talon peak","2819","9250","1584"
"tangle peak","2787","9143","1398"
"tangle ridge","3001","9845","1378"
"tarpeian rock","2080","6824","1379"
"tatei ridge","2911","9550","1336"
"mount taylor","2250","7381","165"
"mount teare","2180","7150","1419"
"mount tecumseh","2549","8363","866"
"teepee mountain (hughes range)","2760","9055","1344"
"teepee mountain (kootenay park)","3118","10230","1221"
"mount tegart","2393","7850","173"
"mount tekarra","2694","8839","867"
"mount temple","3543","11625","868"
"tent mountain","2197","7208","869"
"tent ridge","2545","8350","700"
"mount termier","2850","9350","1222"
"terminal mountain","2835","9302","870"
"mount terra nova","3090","10138","1223"
"terrace mountain","2917","9571","871"
"terrapin mountain","2926","9600","872"
"mount terrion","2911","9550","94"
"mount terry fox","2651","8698","1224"
"tete roche","2418","7933","873"
"thistle mountain","2860","9384","874"
"mount thompson","3084","10119","875"
"thorington tower","3155","10352","876"
"mount thornton","2752","9029","877"
"the three brothers","3182","10440","1225"
"three lakes ridge","2430","7973","1280"
"three sisters (bc)","2789","9150","1324"
"the three sisters","2936","9634","878"
"threepoint mountain","2595","8514","882"
"throne mountain","3120","10237","883"
"thunder mountain","2335","7661","884"
"thunderbolt peak","2665","8744","885"
"tilted mountain","2591","8501","886"
"mount tipperary","2960","9712","1405"
"titkana peak","2804","9200","887"
"tocher ridge","2393","7850","1356"
"mount toma","2760","9056","888"
"tomahawk mountain","2919","9577","889"
"tombstone mountain (alberta)","3035","9958","890"
"tombstone mountain (bc)","2514","8250","1341"
"tonquin hill","2396","7861","891"
"tonsa","3057","10030","1226"
"pic tordu","3216","10552","1210"
"tornado mountain","3099","10167","892"
"mount torrens","2220","7284","893"
"mount tory","2831","9289","894"
"totem tower","3155","10352","1159"
"tower peak","2460","8071","1392"
"the tower","3124","10250","1480"
"the towers","2846","9338","897"
"trapper peak","2984","9791","898"
"treadmill ridge","2716","8911","1310"
"triad peak","3048","10000","899"
"trio mountain","2348","7704","292"
"tripoli mountain","2620","8596","900"
"trolltinder mountain","2917","9571","1211"
"mount trutch","3258","10689","901"
"tsar mountain","3424","11234","1212"
"tunnel mountain","1692","5551","902"
"mount turbulent","2840","9318","903"
"mount turnbull","2514","8250","1277"
"mount turner","2813","9229","904"
"the turret","2575","8450","905"
"turret mountain","3120","10237","1213"
"turret ridge","2454","8050","38"
"turtle mountain","2210","7250","906"
"tusk peak","3360","11024","1214"
"mount tuxford","2575","8450","1276"
"mount tuzo","3246","10650","907"
"twin peaks","2513","8245","908"
"twins tower","3627","11900","909"
"twintree mountain","2544","8347","910"
"mount tyrrell","2755","9039","911"
"mount tyrwhitt","2874","9430","912"
"mount unwin","3268","10722","913"
"upright mountain","2978","9771","914"
"utopia mountain","2602","8537","915"
"valad peak","3250","10663","916"
"valenciennes mountain","3150","10335","1215"
"valley head mountain","2607","8553","917"
"mount vanbuskirk","2820","9252","1216"
"vanguard peak","2454","8050","1244"
"mount vaux","3319","10890","1217"
"mount vavasour","2835","9302","918"
"vega peak","2491","9173","919"
"mount veits","2301","7550","1275"
"mount verendrye","3086","10125","1218"
"vermilion peak","2636","8650","920"
"vertebrae ridge","2880","9450","1219"
"vertex peak","2957","9702","921"
"vertical mountain","2362","7750","1326"
"the vice president","3066","10060","1220"
"victoria ridge","2530","8300","1285"
"mount victoria","3464","11365","922"
"victoria peak","2569","8430","923"
"vimy peak","2385","7825","924"
"vimy ridge","2423","7950","1489"
"vista peak","2795","9170","925"
"volcano ridge","2121","6959","1579"
"waddington peak","2630","8629","1227"
"mount waffl","2890","9482","1228"
"waitabit peak","3090","10138","926"
"waka nambe","2880","9450","699"
"walcott peak","2575","8450","1394"
"wales peak","3109","10201","927"
"mount walker","3303","10837","928"
"wallbridge mountain","2535","8317","1433"
"wallop mountain","2324","7626","1431"
"walrus mountain","2789","9150","1455"
"walter peak","3401","11160","929"
"wampum peak","2850","9350","931"
"wapiti mountain (alberta)","3033","9950","932"
"wapiti mountain (bc)","2393","7850","1434"
"wapta mountain","2778","9115","1229"
"waputik peak","2736","8977","933"
"mount ward","2530","8300","934"
"warden rock","2696","8846","935"
"mount warden robinson","3000","9843","1230"
"mount wardle","2810","9220","1233"
"mount ware","2118","6950","936"
"mount warre","2743","9000","937"
"mount warren","3362","11030","938"
"warrior mountain","2973","9754","939"
"the warship","2758","9050","1479"
"mount warspite","2850","9350","940"
"warwick mountain","2906","9535","941"
"mount washburn","3039","9971","1234"
"wastach mountain","2819","9250","1415"
"watch tower","2542","8340","1498"
"watchman peak","3009","9872","942"
"the watchtower","2791","9157","943"
"waterfall peaks","2960","9712","944"
"watermelon peak","3095","10155","1235"
"watin mountain","2317","7602","1461"
"mount watson","2970","9745","1236"
"the wedge","2652","8701","945"
"wedge mountain","1870","6135","946"
"wedgwood peak","3030","9941","1238"
"mount weed","3080","10105","947"
"mount weiss","3090","10138","948"
"wenkchemna peak","3170","10401","949"
"west castle mountain","2316","7600","950"
"whaleback mountain","2627","8619","1239"
"whirlpool mountain","2930","9613","1407"
"whistler mountain","2210","7250","951"
"the whistlers","2464","8084","952"
"mount white","2755","9039","953"
"white knight peak","2574","8445","1330"
"white man mountain","2977","9768","954"
"white pyramid","3275","10745","955"
"white tail peaks","2970","9745","1253"
"mount whiteaves","3150","10335","956"
"whitecap mountain","2865","9400","957"
"whitecrow mountain","2881","9453","958"
"whitegoat peaks","3215","10548","959"
"whitehorn","2637","8652","960"
"whitehorn mountain","3395","11139","1251"
"mount whiterose","3060","10040","1252"
"whiteshield mountain","2684","8806","961"
"mount whymper","2845","9334","1254"
"mount whyte","2983","9787","962"
"wilcox peak","2884","9462","963"
"mount willerval","3180","10434","1255"
"mount william booth","2728","8950","964"
"mount williams","2730","8957","965"
"mount willingdon","3373","11067","966"
"mount willis","3220","10564","1590"
"willowbank mountain","2332","7650","1393"
"mount wilson","3260","10696","967"
"wind mountain","3153","10250","968"
"wind ridge","2179","7150","1389"
"windfall mountain","2301","7550","93"
"window mountain","2514","8250","291"
"windsor ridge","2558","8394","1284"
"windsor mountain","2558","8394","969"
"windtower mountain","2688","8819","1256"
"windy peak","2240","7350","116"
"mount windy castle","2820","9252","1267"
"mount wintour","2700","8859","970"
"mount wirth","2758","9050","1536"
"wishaw mountain","2606","8550","1438"
"wiwaxy peaks","2703","8869","231"
"wolverine mountain","2777","9111","971"
"wonder peak","2852","9357","972"
"mount woolley","3405","11171","973"
"mount worthington","2972","9750","974"
"mount xerxes","2970","9745","232"
"yamnuska","2240","7349","1513"
"mount yarrell","2271","7450","1293"
"yellowhead mountain","2458","8064","975"
"yoho peak","2760","9056","233"
"younghusband ridge","3150","10335","234"
"mount yukness","2847","9341","235"
"zebra mountain","2558","8393","976"
"zeke's peak","2990","9810","1504"
"mount zengel","2630","8629","977"
"zillebeke mountain","3000","9843","236"
"zinc mountain","2990","9810","1237"
