"date","preferred_species_name","common name","wra score","wra designation"
"8/12/2004","argyreia nervosa","hawaiian baby woodrose","1","l"
"8/6/2004","alocasia sanderiana","kris plant","-2","l"
"8/6/2004","iresine herbstii","blood leaf","0","l"
"8/6/2004","crassula ovata","jade plant","-4","l"
"8/6/2004","anthurium holeri","birds nest anthurium","-6","l"
"8/6/2004","buchloe dactyloides","amer buffalo grass","4.5","l"
"8/6/2004","cuphea ignea","mexican cigar plant","3","l"
"8/6/2004","cyperus involucratus","umbrella sedge","17","h (hpwra)"
"6/25/2004","senecio madagascariensis","fireweed","23","h (hawai�i)"
"6/25/2004","prosopis juliflora","thorny kiawe","19","h (hpwra)"
"6/25/2004","pennisetum setaceum","fountain grass","26","h (hawai�i)"
"6/15/2004","acalypha godseffiana","acalypha","-7","l"
"6/15/2004","sanchezia speciosa","sanchezia","3","l"
"6/15/2004","rondeletia odorata","rondeletia","-4","l"
"6/15/2004","xanthosoma robustum","elephant ear","3","evaluate"
"6/15/2004","euphorbia milii","crown of thorns","1","l"
"6/15/2004","strelitzia reginae","bird of paradise","-3","l"
"6/1/2004","paederia foetida","maile pilau","21","h (hawai�i)"
"6/1/2004","citrus aurantifolia","lime","2","l"
"6/1/2004","citrus x paradisi","grapefruit","-8","l"
"6/1/2004","citrus maxima","pummelo","0","l"
"6/1/2004","adenium obesum","desert rose","-8","l"
"6/1/2004","abelia x grandiflora","glossy abelia","-13","l"
"6/1/2004","citrus reticulata","mandarin orange","-5","l"
"6/1/2004","melastoma candidum","indian rhododendron","13","h (hawai�i)"
"6/1/2004","pithecellobium dulce","madras thorn","14","h (hpwra)"
"5/28/2004","erythrina subumbrans","december tree","5","evaluate"
"5/28/2004","schefflera actinophylla","octopus tree","13","h (hawai�i)"
"5/28/2004","erythrina corallodendron","coral bean tree","6","evaluate"
"5/28/2004","calliandra surinamensis","pink powderpuff","-4","l"
"5/28/2004","hedychium gardnerianum","kahili ginger","16","h (hawai�i)"
"5/28/2004","pseudomussaenda flava","dwarf yellow mussaenda","-6","l"
"5/28/2004","mussaenda frondosa","flag bush","-4","l"
"5/28/2004","schinus terebinthifolius","christmas berry","19","h (hawai�i)"
"5/28/2004","rubus argutus","prickly florida blackberry","21.5","h (hawai�i)"
"5/21/2004","leucophyllum frutescens","texas ranger","-3","l"
"5/21/2004","eucalyptus salubris","gimlet","-3","l"
"5/21/2004","eucalyptus stoatei","scarlet pear gum","-2","l"
"5/21/2004","manihot esculenta","cassava","3","l"
"5/21/2004","kalanchoe beharensis","velvet leaf","4","evaluate"
"5/21/2004","calliandra calothyrsus","calliandra","1","l"
"5/21/2004","tibouchina urvilleana","glory bush","10","h (hpwra)"
"5/21/2004","broussonetia papyrifera (hawaiian seedless)","paper mulberry","3","l"
"5/21/2004","eucalyptus torquata","coral gum","-1","l"
"5/13/2004","mussaenda erythrophylla","red mussaenda","0","l"
"5/13/2004","ficus deltoidea","mistletoe fig","0","l"
"5/13/2004","hyophorbe lagenicaulis","bottle palm","-3","l"
"5/13/2004","lysiloma watsonii","lysiloma","-5","l"
"5/13/2004","mussaenda philippica","white mussaenda","-3","l"
"5/13/2004","leea guineensis","hawaiian holly","-1","l"
"5/13/2004","eranthemum pulchellum","blue sage","0","l"
"5/11/2004","dracaena fragrans","corn plant","0","l"
"5/11/2004","euphorbia leucocephala","pascuita","-2","l"
"5/11/2004","lantana montevidensis","trailing lantana","16","h (hpwra)"
"5/11/2004","chamaecrista nictitans","partridge pea","0","l"
"5/11/2004","hibiscus schizopetalus","coral hibiscus","-4","l"
"5/11/2004","grewia occidentalis","lavender star flower","-3","l"
"5/11/2004","pterocarpus dalbergioides","andaman redwood","-3","l"
"5/11/2004","sesbania punicea","rattlebox","9.5","h (hpwra)"
"5/4/2004","filicium decipiens","fern tree","1","evaluate"
"4/30/2004","clerodendrum buchananii","red clerodendrum","7","h (hpwra)"
"4/30/2004","lonicera japonica","japanese honeysuckle","12","h (hpwra)"
"4/30/2004","litchi chinensis","lychee","-6","l"
"4/30/2004","bauhinia monandra","pink orchid tree","7","h (hpwra)"
"4/30/2004","acacia crassicarpa","northern wattle","7","h (hpwra)"
"4/30/2004","acacia parramattensis","parrmatta green wattle","9","h (hpwra)"
"4/30/2004","eucalyptus platypus","round-leaved moort","0","l"
"4/30/2004","eucalyptus caesia","silver princess","0","l"
"4/30/2004","eucalyptus cinerea","silver dollar gum","4","l"
"4/30/2004","corymbia ficifolia","red-flowering gum","-7","l"
"4/30/2004","lotus berthelotti","parrot's beak","-1","l"
"4/30/2004","eucalyptus gardneri","blue mallet","0","l"
"4/30/2004","desmanthus virgatus","slender mimosa","12","h (hpwra)"
"4/30/2004","eucalyptus kruseana","kruse's mallee","0","l"
"4/30/2004","spartium junceum","spanish broom","12","h (hpwra)"
"4/27/2004","senna surattensis","kolomona","0","evaluate (revised 04/27/04; field reports from hawai�i indicate it may be a serious pest; hepec documentation in progress)"
"4/27/2004","grevillea robusta","silk oak","5","evaluate (revised 04/27/04; field reports from hawai�i indicate it may be a serious h; hepec documentation in progress)"
"4/27/2004","pinus radiata","monterey pine","5","evaluate (revised 04/27/04; field reports from hawai�i indicate it may be a serious pest; hepec documentation in progress)"
"3/19/2004","dalbergia retusa","nicaragua rosewood","0","l"
"3/19/2004","latania loddigesii","blue latan palm","-8","l"
"3/19/2004","dalbergia latifolia","east indian rosewood","5","evaluate"
"3/19/2004","dalbergia sissoo","indian rosewood","13","h (hpwra)"
"3/19/2004","livistona rotundifolia","footstool palm","-1","l"
"3/19/2004","livistona chinensis","chinese fan palm","5","evaluate"
"2/27/2004","hippeastrum puniceum","barbados lily","2","l"
"2/27/2004","callistemon rigidus","stiff bottlebrush","1","l"
"2/27/2004","bauhinia x blakeana","hong kong orchid tree","-7","l"
"2/27/2004","talipariti elatum","blue mahoe","5","l"
"2/27/2004","jasminum mesnyi","primrose jasmine","2.5","l"
"2/27/2004","hernandia ovigera","jack in the box tree","-4","l"
"2/27/2004","cerbera manghas","pink-eyed cerbera","1","l"
"2/27/2004","brugmansia x candida","angel's trumpet","2","l"
"2/20/2004","lagerstroemia indica","crape myrtle","6","l"
"2/20/2004","kigelia africana","sausage tree","0","l"
"2/19/2004","dissotis rotundifolia","dissotis","10","h (hpwra)"
"2/19/2004","pimenta racemosa","bay rum tree","4","evaluate"
"2/13/2004","tephrosia candida","white tephrosia","8","h (hpwra)"
"2/13/2004","ulex europaeus","gorse","20","h (hawai�i)"
"2/13/2004","alnus nepalensis","nepalese alder","-2","l"
"2/13/2004","inga edulis","ice cream bean","2","evaluate"
"2/13/2004","mimosa diplotricha","giant sensitive plant","24","h (hpwra)"
"2/13/2004","mimosa pigra","catclaw mimosa","25","h (hpwra)"
"2/13/2004","inocarpus fagifer","polynesian chestnut","-3","l"
"2/9/2004","diphysa americana","guachipel�n","0","l"
"2/9/2004","intsia bijuga","kwila","-6","l"
"2/9/2004","heritiera littoralis","loling-glass tree","-2","l"
"2/9/2004","eugenia uniflora","surinam cherry","12","h (hpwra)"
"2/9/2004","salix babylonica","babylon weeping willow","9","h (hpwra)"
"2/9/2004","alphitonia zizyphoides","toi","0","l"
"2/9/2004","cussonia paniculata","mountain cabbage tree","-7","l"
"2/9/2004","cussonia spicata","cabbage tree","-5","l"
"2/9/2004","schefflera elegantissima","false aralia","0","l"
"2/9/2004","aglaia odorata","chinese perfume plant","-4","l"
"2/9/2004","brexia madagascariensis","brexia","-6","l"
"1/30/2004","musa acuminata","cavendish banana","-11","l"
"1/30/2004","acacia longifolia","sidney goldern wattle","10","h (hpwra)"
"1/30/2004","acacia farnesiana","sweet acacia","14","h (hpwra)"
"1/30/2004","yucca guatemalensis","bluestem yucca","6","l"
"1/30/2004","podocarpus macrophyllus","japanese yew","-3","l"
"1/30/2004","bucida buceras","black olive","-3","l"
"1/30/2004","euphorbia cotinifolia","red spurge","-2","l"
"1/30/2004","michelia x alba","white champaca","-6","l"
"1/30/2004","punica granatum","pomegranate","3.5","l"
"1/30/2004","michelia figo","banana shrub","-5","l"
"1/30/2004","catalpa longissima","jamaica oak","2","l"
"1/23/2004","metroxylon amicarum","caroline ivory nut palm","0","l"
"1/23/2004","carpobrotus edulis","ice plant","9.5","h (hpwra)"
"1/23/2004","callistemon citrinus","crimson bottlebush","0","l"
"1/23/2004","tabebuia ochracea","golden trumpet tree","-3","l"
"1/23/2004","euphorbia pulcherrima","poinsettia","-7","l"
"1/23/2004","podocarpus gracilior","african fern pine","0","l"
"1/23/2004","coffea liberica","liberian coffee","1","evaluate"
"1/23/2004","elaeodendron orientale","false olive","-1","l"
"1/23/2004","dichrostachys cinerea","sickle bush","16","h (hpwra)"
"1/23/2004","michelia champaca","orange champaca","-5","l"
"1/19/2004","pachira aquatica","malabar chestnut","-6","l"
"1/19/2004","osteospermum fruticosum","trailing african daisy","3","l"
"1/19/2004","colvillea racemosa","colville's glory","-8","l"
"1/19/2004","plumeria obtusa","evergreen frangipani","-6","l"
"1/19/2004","noronhia emarginata","madagascar olive","5","evaluate"
"1/19/2004","syagrus romanzoffiana","queen palm","-2","l"
"1/19/2004","cassia bakeriana","pink shower tree","-2","l"
"1/19/2004","calophyllum inophyllum","kamani","6","evaluate"
"1/19/2004","callistemon viminalis","weeping bottlebrush","3","l"
"1/19/2004","asystasia gangetica","chinese violet","12","h (hpwra)"
"1/19/2004","brachychiton acerifolius","illawarra flame tree","-5","l"
"1/19/2004","bolusanthus speciosus","wisteria tree","-6","l"
"1/19/2004","tamarix gallica","saltcedar","8.5","h (hpwra)"
"12/12/2003","flindersia brayleyana","queensland maple","-3","l"
"12/12/2003","polyscias fruticosa","ming aralia","-1","l"
"12/12/2003","ficus lyrata","fiddleleaf fig","-5","l"
"12/12/2003","ficus macrophylla","moreton bay fig","3","evaluate"
"12/12/2003","dictyosperma album","hurricane palm","-3","l"
"12/12/2003","epipremnum pinnatum","pothos","9","h (hpwra)"
"12/12/2003","enterolobium cyclocarpum","ear tree","3","l"
"12/12/2003","ficus tikoua","waipahu fig","-3","l"
"12/12/2003","ficus religiosa","bodhi tree","-4","l"
"10/1/2003","aglaonema nitidum","aglaonema","0","l"
"10/1/2003","tillandsia usneoides","spanish moss","9","h (hpwra)"
"10/1/2003","artocarpus heterophyllus","jackfruit","1","l"
"10/1/2003","artocarpus odoratissimus","marang","-3","l"
"10/1/2003","araucaria heterophylla","norfolk island pine","-5","l"
"10/1/2003","caesalpinia major","yellow nicker","10","h (hpwra)"
"10/1/2003","ceratonia siliqua","carob tree","0","l"
"10/1/2003","aglaonema commutatum","aglaonema","1","l"
"10/1/2003","bucida molinetii","spiny black olive","-3","l"
"10/1/2003","caesalpinia bonduc","nickerbean","12","h (hpwra)"
"10/1/2003","caesalpinia decapetala","cat's claw","20","h (hawai�i)"
"10/1/2003","cajanus cajan","pigeon pea","0","l"
"10/1/2003","andira inermis","cabbage tree","-3","l"
"8/20/2003","salvinia molesta","giant salvinia","29","h (hawai�i)"
"8/20/2003","miconia calvescens","miconia","14","h (hawai�i)"
"8/20/2003","plumbago auriculata","cape leadwort","6","l"
"8/20/2003","platycladus orientalis","oriental arborvitae","-6","l"
"8/20/2003","malvaviscus penduliflorus","turk's cap","-9","l"
"8/20/2003","cordia subcordata","kou","-3","l"
"8/20/2003","berchemia zeyheri","pink ivory","-3","l"
"8/20/2003","curcuma longa","tumeric","-8","l"
"8/20/2003","eucalyptus tereticornis","forest red gum","5","l"
"8/20/2003","hedychium coronarium","white ginger","14","h (hawai�i)"
"8/11/2003","miscanthus floridulus","giant miscanthus","13","h (hpwra)"
"8/11/2003","jacaranda mimosifolia","jacaranda","1","l"
"8/11/2003","pittosporum tobira","japanese pittosporum","3.5","evaluate"
"8/11/2003","spathiphyllum cannifolium","spathe flower","-4","l"
"8/11/2003","psidium guineense","brazilian guava","7","h (hpwra)"
"8/11/2003","maesopsis eminii","umbrella tree","4","evaluate"
"8/11/2003","leonotis nepetifolia","annual lion's ear","19","h (hpwra)"
"8/11/2003","pyrostegia venusta","flame vine","7","h (hpwra)"
"8/11/2003","washingtonia robusta","mexican fan palm","15","h (hpwra)"
"8/11/2003","parkinsonia aculeata","jerusalum thorn","20","h (hpwra)"
"8/11/2003","spathiphyllum wallisii","peace lily","-4","l"
"8/11/2003","washingtonia filifera","california fan palm","11.5","h (hpwra)"
"8/11/2003","macfadyena unguis-cati","cat's claw vine","17","h (hpwra)"
"8/11/2003","murraya paniculata","mock orange","6","evaluate"
"8/1/2003","grevillea banksii","red silk oak","8","h (hpwra)"
"8/1/2003","cinnamomum verum","cinnamon tree","10","h (hpwra)"
"8/1/2003","calliandra haematocephala","red powderpuff","2","l"
"8/1/2003","cinchona pubescens","red cinchona","9","h (hawai�i)"
"8/1/2003","chorisia speciosa","floss-silk tree","-7","l"
"8/1/2003","clerodendrum paniculatum","pagoda flower","5","evaluate"
"8/1/2003","duranta erecta","golden dew drop","13","h (hpwra)"
"8/1/2003","eucalyptus crebra","ironbark","-1","l"
"8/1/2003","eucalyptus intermedia","bloodwood","1","l"
"8/1/2003","cecropia peltata","trumpet tree","9","h (hpwra)"
"8/1/2003","cinnamomum aromaticum","chinese cinnamon","-3","l"
"8/1/2003","adansonia digitata","baobab tree","-6","l"
"8/1/2003","jatropha gossypiifolia","belly-ache bush","18","h (hpwra)"
"8/1/2003","hemigraphis alternata","metallic plant","1","l"
"8/1/2003","jatropha integerrima","peregrina","0","l"
"7/15/2003","senna siamea","siamese cassia","5","l"
"7/15/2003","neonotonia wightii","perennial soybean","7","h (hpwra)"
"7/15/2003","allocasuarina verticillata","drooping she oak","-5","l"
"7/15/2003","paspalum conjugatum","hilograss","28","h (hawai�i)"
"7/15/2003","paspalum notatum","bahia grass","16","h (hpwra)"
"7/15/2003","pueraria phaseoloides","tropical kudzu","17","h (hpwra)"
"7/15/2003","phormium tenax","new zealand flax","8","h (hawai�i)"
"7/15/2003","indigofera suffruticosa","wild indigo","11","h (hpwra)"
"7/15/2003","piper aduncum","spiked pepper","18","h (hpwra)"
"7/15/2003","desmodium nicaraguense","shrubby desmodium","-2","l"
"7/15/2003","khaya senegalensis","dry zone mahogany","0","l"
"7/15/2003","lantana camara","lantana wildtype","21","h (hawai�i)"
"7/15/2003","potentilla verna","spring cinquefoil","-2","l"
"7/15/2003","toona ciliata","australian red cedar","2","evaluate"
"7/15/2003","hypericum perforatum","common st. johnswort","12","h (hpwra)"
"7/15/2003","hypericum canariense","canary island st. johnswort","9","h (hpwra)"
"7/15/2003","pelargonium peltatum","ivyleaf geranium","0","l"
"7/15/2003","melaleuca quinquenervia","paper bark tree","15","h (hpwra)"
"7/15/2003","hibiscus calyphyllus","lemonyellow rosemallow","1","l"
"7/15/2003","mucuna pruriens","cowitch","7","h (hpwra)"
"7/15/2003","ajuga reptans","common bugleweed","11","h (hpwra)"
"7/15/2003","stylosanthes scabra","shrubby stylo","1","l"
"4/14/2003","buddleja madagascariensis","smokebush","7","h (hawai�i)"
"4/14/2003","dillenia suffruticosa","shrubby dillenia","3","evaluate"
"4/14/2003","morella faya","firetree","8","h (hawai�i)"
"4/14/2003","asparagus densiflorus","asparagus fern","15","h (hpwra)"
"4/14/2003","ficus carica cv. brownturkey","common fig","2","l"
"4/14/2003","flemingia strobilifera","wild hops","3","evaluate"
"4/14/2003","eucalyptus microcorys","australian tallowwood","1","l"
"4/14/2003","buddleja davidii","orange eye butterflybush","13","h (hpwra)"
"4/14/2003","eucalyptus robusta","swamp mahogany","3","l"
"4/11/2003","bixa orellana","lipsticktree","1","l"
"4/11/2003","dracaena marginata","money tree","-1","l"
"4/11/2003","caesalpinia pulcherrima","dwarf poinciana","5","l"
"4/11/2003","gardenia taitensis","tahitian gardenia","-4","l"
"4/11/2003","citrus�citrofortunella mitis","calamondin","0","l"
"2/17/2003","roystonea regia","florida royal palm","0","l"
"2/17/2003","posoqueria latifolia","monkey apple","-2","l"
"2/17/2003","ptychosperma elegans","alexander palm","2","evaluate"
"2/17/2003","polygonum capitatum","pink knotweed","13","h (hpwra)"
"2/17/2003","ruellia caroliniensis","carolina wild petunia","1","l"
"2/17/2003","ptychosperma macarthurii","macarthur palm","1","h (hpwra)"
"2/17/2003","swietenia macrophylla","large-leaf mahogany","-2","l"
"2/11/2003","phyla nodiflora","matchweed","5","h (hpwra)"
"2/11/2003","macroptilium atropurpureum","siratro","7","h (hpwra)"
"2/11/2003","phoenix roebelenii","pygmy date palm","-5","l"
"2/11/2003","pinus elliottii","slash pine","2","evaluate"
"2/11/2003","acacia mearnsii","australian acacia","15","h (hawai�i)"
"2/11/2003","peperomia obtusifolia","baby rubberplant","-4","l"
"2/11/2003","peltophorum pterocarpum","yellow flame","-4","l"
"2/11/2003","pilea microphylla","rockweed","6","evaluate"
"2/11/2003","acacia nilotica","gum arabic tree","14","h (hpwra)"
"11/20/2002","bauhinia tomentosa","yellow tree bauhinia","-1","l"
"11/20/2002","veitchia joannis","joannis palm","-1","l"
"11/20/2002","liriope muscari","lilyturf","4.5","l"
"11/20/2002","thrinax parviflora","thatch palm","-6","l"
"11/20/2002","sophora tomentosa","yellow necklacepod","-3","l"
"11/20/2002","saxifraga sarmentosa","strawberry saxifrage","3","l"
"11/20/2002","schizostachyum glaucifolium","hawaiian bamboo","0","l"
"11/20/2002","desmodium umbellatum","horse bush","5","l"
"11/20/2002","aeschynomene americana","american joint vetch","12","h (hpwra)"
"11/20/2002","lolium multiflorum","annual ryegrass","9","h (hpwra)"
"11/20/2002","crinum asiaticum","crinum lily","-4","l"
"11/20/2002","saraca indica","ashla tree","-7","l"
"11/20/2002","arachis glabrata","perennial peanut","-1","l"
"11/20/2002","indigofera teysmannii","neel","0","l"
"11/20/2002","tephrosia purpurea","pila","7","h (hpwra)"
"11/20/2002","cupaniopsis anacardioides","carrotwood","6","evaluate"
"11/20/2002","chamelaucium uncinatum","geraldton wax","-2.5","l"
"11/20/2002","paulownia tomentosa","princess tree","9","h (hpwra)"
"11/20/2002","paulownia fortunei","empress diamond","1","l"
"11/20/2002","schotia brachypetala","elephant hedge bean tree","0","l"
"11/20/2002","lophostemon confertus","brisbane box","-3","l"
"11/20/2002","veitchia montgomeryana","montgomery palm","-1","l"
"11/20/2002","tacca leontopetaloides","polynesian arrowroot","0","l"
"11/20/2002","alpinia purpurata","red ginger","4","evaluate"
"11/20/2002","veitchia winin","winin palm","-4","l"
"11/20/2002","ficus rubiginosa","port jackson fig","7","h (hpwra)"
"10/8/2002","aspidistra elatior","cast iron plant","-1","l"
"10/8/2002","ficus microcarpa","chinese banyon","10","h (hpwra)"
"10/8/2002","cassia grandis","pink shower tree","-5","l"
"10/7/2002","zamia furfuracea","cardboard plant","-2","l"
"10/7/2002","acacia melanoxylon","australian blackwood","12","h (hpwra)"
"10/7/2002","veitchia merrillii","manila  palm","-2","l"
"10/7/2002","pyracantha angustifolia","narrowleaf firethorn","13","h (hpwra)"
"10/7/2002","zingiber zerumbet","shampoo ginger","-1","l"
"10/7/2002","zoysia japonica","korean lawngrass","6","l"
"10/7/2002","sphagneticola trilobata","wedelia","13","h (hpwra)"
"10/7/2002","tabebuia donnell-smithii","gold tree","-4","l"
"10/7/2002","syngonium podophyllum","arrowhead plant","15","h (hpwra)"
"10/7/2002","swietenia mahagoni","west indian mahogany","-6","l"
"10/7/2002","samanea saman","monkeypod tree","4","l"
"10/7/2002","stylosanthes guianensis","stylo","11","h (hpwra)"
"10/7/2002","stenotaphrum secundatum","st. augustine grass","15","h (hpwra)"
"10/7/2002","tetrazygia bicolor","florida clover ash","3","evaluate"
"10/7/2002","spondias dulcis","wi apple","-5","l"
"10/7/2002","tamarindus indica","tamarind","-3","l"
"10/7/2002","spathodea campanulata","african tulip tree","14","h (hpwra)"
"10/7/2002","solanum seaforthianum","brazilian nightshade","9","h (hpwra)"
"10/7/2002","solandra maxima","cup of gold","3","evaluate"
"10/7/2002","sesbania grandiflora","agati","2","l"
"10/7/2002","senna alata","candle bush","10","h (hpwra)"
"10/7/2002","schinus molle","peruvian pepper tree","10","h (hpwra)"
"10/7/2002","acalypha hispida","chenille plant","2","l"
"10/7/2002","theobroma cacao","cocoa","-5","l"
"10/7/2002","tipuana tipu","tipu tree","0","l"
"10/7/2002","acacia confusa","formosan koa","10","h (hawai�i)"
"10/7/2002","acacia auriculiformis","darwin black wattle","13","h (hpwra)"
"10/7/2002","thunbergia erecta","bush thunbergia","-2","l"
"10/7/2002","rhaphiolepis indica","indian hawthorn","3","l"
"10/7/2002","rhaphis excelsa","lady palm","0","l"
"10/7/2002","tabebuia heterophylla","pink trumpet-tree","1","l"
"10/7/2002","rhodomyrtus tomentosa","rose myrtle","8","h (hawai�i)"
"10/7/2002","russelia equisetiformis","fire cracker plant","-2","l"
"10/7/2002","stemmadenia litoralis","lecheso","-5","l"
"10/7/2002","terminalia catappa","tropical almond","4","l"
"10/7/2002","schefflera arboricola","dwarf umbrella-tree","3","evaluate"
"10/7/2002","tectona grandis","teak","-5","l"
"10/7/2002","tecoma stans","yellow bells","8","h (hpwra)"
"10/7/2002","tamarix aphylla","athel tamarisk","13","h (hpwra)"
"10/7/2002","tournefortia argentea","tree heliotrope","-1","l"
"10/7/2002","thevetia peruviana","be-still tree","9","h (hpwra)"
"10/7/2002","centrosema pubescens","centro","11","h (hpwra)"
"10/7/2002","leucaena leucocephala","leucaena","15","h (hpwra)"
"10/7/2002","cordia sebestena","geiger tree","-1","l"
"10/7/2002","coprosma repens","creeping mirrorplant","1","l"
"10/7/2002","conocarpus erectus","button mangrove","4","l"
"10/7/2002","coffea arabica","coffee","2","h (hpwra)"
"10/7/2002","codiaeum variegatum","croton","-4","l"
"10/7/2002","cochlospermum vitifolium","buttercup tree","-4","l"
"10/7/2002","coccoloba uvifera","sea grape","-5","l"
"10/7/2002","coccinia grandis","ivy gourd","21","h (hawai�i)"
"10/7/2002","clusia rosea","autograph tree","5","evaluate"
"10/7/2002","clerodendrum quadriloculare","bronze leaved clerodendrum","11","h (hpwra)"
"10/7/2002","citrus limon","lemon","-3","l"
"10/7/2002","citharexylum spinosum","fiddlewood","7","h (hpwra)"
"10/7/2002","cotoneaster pannosus","silverleaf cotoneaster","7","h (hpwra)"
"10/7/2002","carissa grandiflora","natal plum","-1","l"
"10/7/2002","brachiaria mutica","para grass","12","h (hawai�i)"
"10/7/2002","breynia disticha","snow bush","-5","l"
"10/7/2002","calopogonium mucunoides","calapo","6","l"
"10/7/2002","cananga odorata","perfume tree","3","l"
"10/7/2002","capsicum frutescens","wild pepper","5","l"
"10/7/2002","cinnamomum camphora","camphor tree","14","h (hpwra)"
"10/7/2002","carica papaya","papaya","2","l"
"10/7/2002","chrysophyllum oliviforme","satin leaf","7","h (hpwra)"
"10/7/2002","cassia fistula","golden shower tree","3","l"
"10/7/2002","cassia javanica","pink shower tree","-1","l"
"10/7/2002","cassia xnealiae","rainbow shower tree","-8","l"
"10/7/2002","casuarina cunninghamiana","cunninghamia beefwood","12","h (hpwra)"
"10/7/2002","catharanthus roseus","madagascar periwinkle","2","l"
"10/7/2002","crescentia cujete","calabash tree","-8","l"
"10/7/2002","cardiospermum halicacabum","baloon vine","12","h (hpwra)"
"10/7/2002","holmskioldia sanguinea","chinese hatplant","-1","l"
"10/7/2002","hibiscus rosa-sinensis","chinese hibiscus","-2","l"
"10/7/2002","hernandia sonora","toporite","-5","l"
"10/7/2002","heliconia caribaea","lobster claw","-1","l"
"10/7/2002","harpullia pendula","tulipwood","-4","l"
"10/7/2002","guaiacum officinale","lignum vitae","-6","l"
"10/7/2002","graptophyllum pictum","caricature-plant","-5","l"
"10/7/2002","gliricidia sepium","mother of cocoa","-3","l"
"10/7/2002","gardenia jasminoides","cape jasmine","0","l"
"10/7/2002","galphimia gracilis","slender goldshower","-2","l"
"10/7/2002","flemingia macrophylla","flemingia","4","l"
"10/7/2002","ficus elastica","indian rubberplant","-5","l"
"10/7/2002","ficus benjamina","weeping fig","4","evaluate"
"10/7/2002","ficus benghalensis","indian banyon","3","l"
"10/7/2002","zoysia tenuifolia","templegrass","-2","l"
"10/7/2002","impatiens balsamina","balsam impatens","5","evaluate"
"10/7/2002","cryptomeria japonica","japanese cedar","-3","l"
"10/7/2002","cuphea hyssopifolia","false heather","5","l"
"10/7/2002","delairea odorata","german ivy","14","h (hawai�i)"
"10/7/2002","delonix regia","royal poinciana","-1","l"
"10/7/2002","dracaena draco","dragon tree","-5","l"
"10/7/2002","fagraea berteroana","pua keni keni","-1","l"
"10/7/2002","elaeagnus umbellata","autumn olive","13","h (hpwra)"
"10/7/2002","evolvulus glomeratus","blue daze","0","l"
"10/7/2002","erigeron karvinskianus","mexican daisy","11","h (hawai�i)"
"10/7/2002","eriobotrya japonica","loquat","0.5","evaluate"
"10/7/2002","erythrina crista-galli","cockspur coral tree","6","l"
"10/7/2002","erythrina variegata","coral tree","-2","l"
"10/7/2002","eucalyptus deglupta","indonesian gum","2","l"
"10/7/2002","jasminum fluminense","brazilian jasmine","16","h (hpwra)"
"10/7/2002","impatiens wallerana","busy lizzy","6","l"
"10/7/2002","pimenta dioica","allspice tree","7","h (hpwra)"
"10/7/2002","moringa oleifera","horse-raddish tree","1","l"
"10/7/2002","muntingia calabura","jamaica cherry","12","h (hpwra)"
"10/7/2002","nolina recurvata","ponytail palm","-4","l"
"10/7/2002","olea europaea","olive tree","5","evaluate"
"10/7/2002","ophiopogon japonicus","mondo grass","3","l"
"10/7/2002","panicum maximum","guinea grass","17","h (hawai�i)"
"10/7/2002","paspalum dilatatum","dallis grass","12","h (hpwra)"
"10/7/2002","paspalum vaginatum","seashore paspalum","7","h (hpwra)"
"10/7/2002","passiflora edulis","passion fruit","6","l"
"10/7/2002","passiflora rubra","red passionfruit","9","h (hpwra)"
"10/7/2002","pennisetum clandestinum","kikuyu grass","18","h (hpwra)"
"10/7/2002","pennisetum purpureum","elephant grass","16","h (hpwra)"
"10/7/2002","persea americana","avocado","3","l"
"10/7/2002","bougainvillea glabra","paperflower","-1","l"
"10/7/2002","polyscias guilfoylei","panax","0","l"
"10/7/2002","adenanthera pavonina","peacock tree","7","h (hpwra)"
"10/7/2002","agathis robusta","queensland kauri","-5","l"
"10/7/2002","albizia lebbeck","woman's-tongue tree","7","h (hpwra)"
"10/7/2002","psidium guajava","common guava","21","h (hawai�i)"
"10/7/2002","psidium cattleianum","strawberry guava","18","h (hawai�i)"
"10/7/2002","petrea volubilis","sandpaper vine","-1","l"
"10/7/2002","pritchardia pacifica","fiji fan palm","-4","l"
"10/7/2002","photinia davidiana","photina","-2","l"
"10/7/2002","polyscias filicifolia","geranium aralia","0","l"
"10/7/2002","podocarpus elatus","plum pine","-2","l"
"10/7/2002","plumeria rubra","frangipani","-5","l"
"10/7/2002","pittosporum viridiflorum","cape cheesewood","3","evaluate"
"10/7/2002","pittosporum undulatum","australian cheesewood","7","h (hpwra)"
"10/7/2002","monstera deliciosa","swiss-cheese plant","1","l"
"10/7/2002","pseudobombax ellipticum","shavingbrush tree","-2","l"
"10/7/2002","artabotrys hexapetalus","climbing ylang-ylang","-1","l"
"10/7/2002","montezuma speciosissima","maga","-1","l"
"10/7/2002","aptenia cordifolia","hearts and flowers","5","l"
"10/7/2002","arachis pintoi","perenial peanut","-1","l"
"10/7/2002","araucaria columnaris","cols pine","-5","l"
"10/7/2002","jasminum multiflorum","star jasmine","2","l"
"10/7/2002","annona squamosa","sugar apple","-2","l"
"10/7/2002","areca catechu","betel nut palm","-4","l"
"10/7/2002","annona muricata","soursop","-3","l"
"10/7/2002","artocarpus altilis","breadfruit","-12","l"
"10/7/2002","averrhoa carambola","starfruit","-1","l"
"10/7/2002","axonopus compressus","broadleaf carpet grass","15","h (hpwra)"
"10/7/2002","bambusa vulgaris","common bamboo","5","l"
