"nom(s) scientifique(s)","tropical","non tropical","commentaires"
"lonchocarpus castilloi","x","s/o","s/o"
"lonchocarpus guaricensis","x","s/o","s/o"
"lophira alata","x","s/o","s/o"
"lophira procera","x","s/o","s/o"
"lophostemon confertus","s/o","x","s/o"
"lovoa trichilioides","x","s/o","s/o"
"loxopterygium lorentzii","s/o","x","s/o"
"lucuma campechiana","s/o","x","s/o"
"lucuma mammosa","s/o","x","s/o"
"lucuma nervosa","s/o","x","s/o"
"lucuma rivicoa","s/o","x","s/o"
"lucuma salicifolia","s/o","x","s/o"
"luehea seemanii","x","s/o","s/o"
"lysiloma bahamense","s/o","x","s/o"
"lysiloma latisiliquum","s/o","x","s/o"
"macarisia klaineana","x","s/o","s/o"
"machaerium scleroxylon","s/o","x","s/o"
"machaerium tipu","s/o","x","s/o"
"machaerium villosum","s/o","x","s/o"
"maclura tinctoria","s/o","x","s/o"
"macrolobium chrysophylloides","x","s/o","s/o"
"macrolobium fragrans","x","s/o","s/o"
"macrolobium pendulum","x","s/o","s/o"
"macrolobium racemigerum","x","s/o","s/o"
"maesopsis eminii","x","s/o","s/o"
"mammea africana","x","s/o","s/o"
"mangifera indica","s/o","x","s/o"
"manilkara achras","s/o","x","s/o"
"manilkara bidentata","x","s/o","s/o"
"manilkara chicle","x","s/o","s/o"
"manilkara huberi","x","s/o","s/o"
"manilkara surinamensis","x","s/o","s/o"
"manilkara zapota","s/o","x","s/o"
"manilkara zapotilla","s/o","x","s/o"
"mansonia altissima","x","s/o","s/o"
"martiodendron parviflorum","x","s/o","s/o"
"martiusia parviflora","x","s/o","s/o"
"melanoxylon brauna","x","s/o","s/o"
"&#167; melastomatrichotomum","x","s/o","s/o"
"melia americana","s/o","x","s/o"
"melicocca oliviformis","x","s/o","s/o"
"metasequoia glyptostroboides","s/o","x","s/o"
"metopium browneii","x","s/o","s/o"
"mezilaurus itauba","x","s/o","s/o"
"&#167; miconiaguianensis","x","s/o","s/o"
"&#167; miconiamirabilis","x","s/o","s/o"
"&#167; miconiatrichotoma","x","s/o","s/o"
"{microberlinia|spp.}","x","s/o","s/o"
"micropholis melinoniana","x","s/o","s/o"
"micropholis mexicana","x","s/o","s/o"
"micropholius gardnerianum","x","s/o","s/o"
"mildbraediodendron excelsum","x","s/o","s/o"
"milicia excelsa","x","s/o","s/o"
"milicia regia","x","s/o","s/o"
"millettia laurentii","x","s/o","s/o"
"millettia stuhlmannii","s/o","x","s/o"
"mimosa adstringens","s/o","x","s/o"
"mimosa arabica","s/o","x","s/o"
"mimosa buceragenia","x","s/o","s/o"
"mimosa dulcis","s/o","x","s/o"
"mimosa incurialis","s/o","x","s/o"
"&#167; mimosaingoides","x","s/o","s/o"
"mimosa latisiliqua","s/o","x","s/o"
"mimosa lebbeck","s/o","x","s/o"
"mimosa nilotica","s/o","x","s/o"
"mimosa rosea","x","s/o","s/o"
"mimosa scorpioides","s/o","x","s/o"
"mimosa sirissa","s/o","x","s/o"
"mimosa speciosa","s/o","x","s/o"
"mimosa wilsonii","x","s/o","s/o"
"mimusops djave","x","s/o","s/o"
"mimusops heckelii","x","s/o","s/o"
"mimusops huberi","x","s/o","s/o"
"mitragyna stipulosa","x","s/o","s/o"
"monopetalanthus heitzii","x","s/o","s/o"
"mora excelsa","x","s/o","s/o"
"mora gonggrijpii","x","s/o","s/o"
"{moringa|spp.}","s/o","x","s/o"
"moronobea esculenta","x","s/o","s/o"
"morus excelsa","x","s/o","s/o"
"{morus|spp.}","s/o","x","s/o"
"morus tinctoria","s/o","x","s/o"
"myristica castaneifolia","x","s/o","s/o"
"myristica chartacea","x","s/o","s/o"
"myristica fragrans","s/o","x","s/o"
"myristica gillespieana","x","s/o","s/o"
"myristica officinalis","s/o","x","s/o"
"myrocarpus fastigiatus","x","s/o","s/o"
"myrocarpus frondosus","s/o","x","s/o"
"myrospermum pereirae","s/o","x","s/o"
"myroxylon balsamum","s/o","x","s/o"
"myroxylon pereirae","s/o","x","s/o"
"myrtus dioica","s/o","x","s/o"
"myrtus pimenta","s/o","x","s/o"
"nageia vitiensis","x","s/o","s/o"
"nauclea diderrichii","x","s/o","s/o"
"nauclea stipulosa","x","s/o","s/o"
"nectandra elaiophora","x","s/o","s/o"
"nectandra grandis","x","s/o","s/o"
"nectandra mollis","s/o","x","s/o"
"nectandra pittieri","s/o","x","s/o"
"nectandra reticulata","s/o","x","s/o"
"nectandra rodiei","x","s/o","s/o"
"nectandra villosa","s/o","x","s/o"
"neorites kevediana","x","s/o","s/o"
"nephelium oleifolium","s/o","x","s/o"
"nesogordonia papaverifera","x","s/o","s/o"
"newtonia psilostachya","x","s/o","s/o"
"newtonia suaveolens","x","s/o","s/o"
"nothofagus betuloides","s/o","x","s/o"
"nothofagus cunninghamii","s/o","x","s/o"
"nothofagus pumilio","s/o","x","s/o"
"ochroma bicolor","s/o","x","s/o"
"ochroma concolor","s/o","x","s/o"
"ochroma lagopus","s/o","x","s/o"
"ochroma obtusum","s/o","x","s/o"
"ochroma pyramidale","s/o","x","s/o"
"ocotea cymbarum","x","s/o","s/o"
"ocotea glomerata","x","s/o","s/o"
"ocotea lenticellata","s/o","x","s/o"
"ocotea leucoxylon","s/o","x","s/o"
"ocotea mollis","s/o","x","s/o"
"ocotea porosa","s/o","x","s/o"
"ocotea rodiei","x","s/o","s/o"
"ocotea rubra","x","s/o","s/o"
"ocotea subsericea","s/o","x","s/o"
"ocotea venenosa","x","s/o","s/o"
"octomeles moluccana","x","s/o","s/o"
"octomeles sumatrana","x","s/o","s/o"
"octomeles sumatranum","x","s/o","s/o"
"oenocarpus bataua","x","s/o","s/o"
"olea africana","s/o","x","s/o"
"olea capensis","s/o","x","s/o"
"olea chrysophylla","s/o","x","s/o"
"olea cuspidata","s/o","x","s/o"
"olea europaea","s/o","x","s/o"
"olea ferruginea","s/o","x","s/o"
"olea maroccana","s/o","x","s/o"
"olea oleaster","s/o","x","s/o"
"{olea sativa|var.|verrucosa}","s/o","x","s/o"
"olea sylvestris","s/o","x","s/o"
"olea verrucosa","s/o","x","s/o"
"olneya tesota","s/o","x","s/o"
"oreodaphne glomerata","x","s/o","s/o"
"oreodaphne porosa","s/o","x","s/o"
"ormosia dasycarpa","x","s/o","s/o"
"ormosia macrocalyx","s/o","x","s/o"
"ormosia monosperma","x","s/o","s/o"
"ormosia nobilis","s/o","x","s/o"
"ormosia pacimonensis","x","s/o","s/o"
"oxystigma oxyphyllum","x","s/o","s/o"
"pachira aquatica","s/o","x","s/o"
"pachira macrocarpa","s/o","x","s/o"
"pachira quinata","x","s/o","s/o"
"pahudia attenuata","s/o","x","s/o"
"pahudia quanzensis","s/o","x","s/o"
"{palaquium|spp.}","x","s/o","sous r&#233;vision"
"panax morototoni","s/o","x","s/o"
"panzera falcata","x","s/o","s/o"
"paraberlinia bifoliolata","x","s/o","s/o"
"parahancornia amapa","x","s/o","s/o"
"parapiptadenia rigida","s/o","x","s/o"
"{paraserianthes|spp.}","x","s/o","sous r&#233;vision"
"{parashorea|spp.}","x","s/o","sous r&#233;vision"
"parinari excelsa","x","s/o","s/o"
"{peltogyne|spp.}","x","s/o","s/o"
"pentaptera tomentosa","s/o","x","s/o"
"pericopsis elata","x","s/o","cites"
"persea americana","s/o","x","s/o"
"persea drymifolia","s/o","x","s/o"
"persea floccosa","s/o","x","s/o"
"persea gigantea","s/o","x","s/o"
"persea gratissima","s/o","x","s/o"
"persea incana","s/o","x","s/o"
"persea leiogyna","s/o","x","s/o"
"persea lingue","s/o","x","s/o"
"persea mollis","s/o","x","s/o"
"persea nubigena","s/o","x","s/o"
"persea perglauca","s/o","x","s/o"
"persea persea","s/o","x","s/o"
"persea steyermarkii","s/o","x","s/o"
"persea tolimanensis","s/o","x","s/o"
"persea zentmyeri","s/o","x","s/o"
"persoonia guareoides","x","s/o","s/o"
"petersia africana","x","s/o","s/o"
"petersianthus macrocarpus","x","s/o","s/o"
"phoebe porosa","s/o","x","s/o"
"pholidia mitchellii","s/o","x","s/o"
"phyllostachys","s/o","x","s/o"
"phytelephas macrocarpa","x","s/o","s/o"
"pilgerodendron uviferum","s/o","x","s/o"
"pimenta dioica","s/o","x","s/o"
"pimenta officinalis","s/o","x","s/o"
"pimenta pimenta","s/o","x","s/o"
"pimenta vulgaris","s/o","x","s/o"
"pinus caribaea","s/o","x","s/o"
"pinus koraiensis","s/o","x","s/o"
"pinus lanceolata","s/o","x","s/o"
"pinus radiata","s/o","x","s/o"
"piptadenia africana","x","s/o","s/o"
"piptadenia cateniformis","x","s/o","s/o"
"piptadenia cebil","s/o","x","s/o"
"piptadenia flava","x","s/o","s/o"
"piptadenia leptocarpa","x","s/o","s/o"
"piptadenia macrocarpa","s/o","x","s/o"
"piptadenia psilostachya","x","s/o","s/o"
"piptadenia rigida","s/o","x","s/o"
"piptadenia suaveolens","x","s/o","s/o"
"piptadeniastrum africanum","x","s/o","s/o"
"piratinera guianensis","x","s/o","s/o"
"piscidia acuminata","x","s/o","s/o"
"piscidia americana","x","s/o","s/o"
"piscidia carthagenensis","x","s/o","s/o"
"piscidia communis","x","s/o","s/o"
"piscidia erythrina","s/o","x","s/o"
"piscidia guaricensis","x","s/o","s/o"
"piscidia piscipula","s/o","x","s/o"
"pistacia simaruba","s/o","x","s/o"
"pithecelobium dulce","s/o","x","s/o"
"pithecellobium guaricense","x","s/o","s/o"
"pithecellobium incuriale","s/o","x","s/o"
"pithecellobium longipedatum","x","s/o","s/o"
"pithecellobium martianum","s/o","x","s/o"
"pithecellobium pubescens","x","s/o","s/o"
"pithecellobium racemosum","x","s/o","s/o"
"pithecellobium roseum","x","s/o","s/o"
"pithecellobium schomburgkii","x","s/o","s/o"
"pithecellobium tortum","x","s/o","s/o"
"pityrocarpa flava","x","s/o","s/o"
"planchonia papuana","x","s/o","s/o"
"platanus hybrida","s/o","x","s/o"
"platanus x acerifolia","s/o","x","s/o"
"platonia esculenta","x","s/o","s/o"
"platonia insignis","x","s/o","s/o"
"platymiscium dimorphandrum","x","s/o","s/o"
"platymiscium duckei","x","s/o","s/o"
"platymiscium paraense","x","s/o","s/o"
"platymiscium pinnatum","x","s/o","s/o"
"platymiscium polystachyum","x","s/o","s/o"
"platymiscium trinitatis","x","s/o","s/o"
"platymiscium ulei","x","s/o","s/o"
"platymiscium yucatanum","x","s/o","s/o"
"podocarpus falcatus","s/o","x","s/o"
"podocarpus latifolius","s/o","x","s/o"
"poga oleosa","x","s/o","s/o"
"pometia pinnata","x","s/o","s/o"
"pometia tomentosa","x","s/o","s/o"
"pouteria campechiana","s/o","x","s/o"
"pouteria procera","x","s/o","s/o"
"prioria balsamiferum","x","s/o","s/o"
"prosopis nigra","s/o","x","s/o"
"{protium|spp.}","x","s/o","sous r&#233;vision"
"pseudocedrela cylindrica","x","s/o","s/o"
"pseudocedrela utilis","x","s/o","s/o"
"{pseudocinchona|spp.}","x","s/o","sous r&#233;vision"
"pseudocopaiva chodatiana","s/o","x","s/o"
"pseudocopaiva hymenaefolia","s/o","x","s/o"
"pseudopiptadenia psilostachya","x","s/o","s/o"
"pseudopiptadenia suaveolens","x","s/o","s/o"
"pseudosamanea guachapele","x","s/o","s/o"
"pseudosindora palustris","x","s/o","s/o"
"pterocarpus acapulcensis","x","s/o","s/o"
"pterocarpus angolensis","s/o","x","s/o"
"pterocarpus dalbergioides","s/o","x","s/o"
"pterocarpus dekindtianus","s/o","x","s/o"
"pterocarpus erinaceus","x","s/o","s/o"
"pterocarpus heterophyllus","x","s/o","s/o"
"pterocarpus indicus","s/o","x","s/o"
"pterocarpus macrocarpus","s/o","x","s/o"
"pterocarpus marsupium","s/o","x","s/o"
"pterocarpus minimus","x","s/o","s/o"
"pterocarpus podocarpus","x","s/o","s/o"
"pterocarpus rohrii","s/o","x","s/o"
"pterocarpus rupestris","x","s/o","s/o"
"pterocarpus santalinus","s/o","x","cites"
"pterocarpus soyauxii","x","s/o","s/o"
"pterocarpus vernalis","x","s/o","s/o"
"pterogyne nitens","s/o","x","s/o"
"pterygopodium balsamiferum","x","s/o","s/o"
"pterygopodium oxyphyllum","x","s/o","s/o"
"{pterygota|spp.}","x","s/o","sous r&#233;vision"
"pycnanthus angolensis","x","s/o","s/o"
"qualea albiflora","x","s/o","s/o"
"qualea coerulea","x","s/o","s/o"
"qualea paraensis","x","s/o","s/o"
"qualea rosea","x","s/o","s/o"
"quassia simarouba","x","s/o","s/o"
"quebrachia lorentzii","s/o","x","s/o"
"racosperma aneurum","s/o","x","s/o"
"racosperma cambagei","s/o","x","s/o"
"racosperma coriaceum","s/o","x","s/o"
"racosperma excelsum","s/o","x","s/o"
"racosperma harpophyllum","s/o","x","s/o"
"racosperma koa","s/o","x","s/o"
"racosperma melanoxylon","s/o","x","s/o"
"racosperma microspermum","s/o","x","s/o"
"racosperma omalophyllum","s/o","x","s/o"
"racosperma pendulum","s/o","x","s/o"
"racosperma salicinum","s/o","x","s/o"
"racosperma shirleyi","s/o","x","s/o"
"racosperma tephrina","s/o","x","s/o"
"recordoxylon","x","s/o","s/o"
"rhodostemonodaphne grandis","x","s/o","s/o"
"&#167; richeriagrandis","s/o","x","s/o"
"ricinodendron heudelotii","x","s/o","s/o"
"rinorea paniculata","x","s/o","s/o"
"roseodendron donnell-smithii","s/o","x","s/o"
"roupala brasiliensis","s/o","x","s/o"
"roupala cataractarum","s/o","x","s/o"
"{roupala gardneri|var.|integrifolia}","s/o","x","s/o"
"roupala montana","s/o","x","s/o"
"roupala pinnata","x","s/o","s/o"
"roupala pohlii","s/o","x","s/o"
"ruizterania albiflora","x","s/o","s/o"
"{sabal|spp.}","x","s/o","sous r&#233;vision"
"salvadora persica","s/o","x","s/o"
"samanea saman","s/o","x","s/o"
"santalum album","s/o","x","s/o"
"santalum spicatum","s/o","x","s/o"
"saouari villosa","x","s/o","s/o"
"&#167; sapiumaucuparium","s/o","x","s/o"
"&#167; sapiumcaribaeum","s/o","x","s/o"
"sapium ellipticum","x","s/o","s/o"
"&#167; sapiumglandulosum","s/o","x","s/o"
"sapota zapotilla","s/o","x","s/o"
"sarcocephalus diderrichii","x","s/o","s/o"
"saxegothaea conspicua","s/o","x","s/o"
"schefflera morototoni","s/o","x","s/o"
"schinopsis lorentzii","s/o","x","s/o"
"schinopsis quebracho-colorado","s/o","x","s/o"
"schizolobium amazonicum","s/o","x","s/o"
"schizolobium excelsum","s/o","x","s/o"
"schizolobium parahyba","s/o","x","s/o"
"schrebera arborea","x","s/o","s/o"
"sclerolobium micropetalum","x","s/o","s/o"
"scorodocarpus borneensis","x","s/o","s/o"
"scyphocephalium ochocoa","x","s/o","s/o"
"{serenoa|spp.}","x","s/o","sous r&#233;vision"
"seretoberlinia seretii","x","s/o","s/o"
"serianthes melanesica","x","s/o","s/o"
"serianthes myriadenia sensu","x","s/o","s/o"
"sextonia pubescens","x","s/o","s/o"
"sextonia rubra","x","s/o","s/o"
"{shorea|spp.}","x","s/o","sous r&#233;vision"
"sickingia salvadorensis","x","s/o","s/o"
"sideroxylon gardnerianum","x","s/o","s/o"
"simarouba amara","x","s/o","s/o"
"simarouba versicolor","x","s/o","s/o"
"simira salvadorensis","x","s/o","s/o"
"siphonia brasiliensis","s/o","x","s/o"
"&#167; sloaneacaribaea","x","s/o","s/o"
"sophora monosperma","x","s/o","s/o"
"spirostachys africana","s/o","x","s/o"
"spondias lutea","s/o","x","s/o"
"spondias mombin","s/o","x","s/o"
"staudtia kamerunensis","x","s/o","s/o"
"stemmadenia donnell-smithii","x","s/o","s/o"
"sterculia apetala","x","s/o","s/o"
"sterculia caribaea","x","s/o","s/o"
"sterculia oblonga","x","s/o","s/o"
"sterculia pruriens","x","s/o","s/o"
"sterculia rhinopetala","x","s/o","s/o"
"sterculia rugosa","x","s/o","s/o"
"sterculia tragacantha","s/o","x","s/o"
"{swartzia|spp.}","x","s/o","s/o"
"sweetia panamensis","x","s/o","s/o"
"swietenia candollei","s/o","x","cites"
"swietenia chloroxylon","x","s/o","s/o"
"swietenia macrophylla","s/o","x","cites"
"swietenia senegalensis","x","s/o","s/o"
"symphonia globulifera","x","s/o","s/o"
"{syzygium|spp.}","s/o","x","s/o"
"{tabebuia|spp.}","x","s/o","s/o"
"tabernaemontana donnell-smithii","x","s/o","s/o"
"tachigali micropetala","x","s/o","s/o"
"tachigali purpurea","x","s/o","s/o"
"tachigalia purpurea","x","s/o","s/o"
"talisia oliviformis","x","s/o","s/o"
"tamarindus indica","s/o","x","s/o"
"&#167; tamoneaguianensis","x","s/o","s/o"
"&#167; tapuralatifolia","x","s/o","s/o"
"tarrietia utilis","x","s/o","s/o"
"taxodium mexicanum","s/o","x","s/o"
"taxodium mucronatum","s/o","x","s/o"
"tecoma guayacan","s/o","x","s/o"
"tecoma impetiginosa","s/o","x","s/o"
"tecoma ipe","s/o","x","s/o"
"tecoma rosea","s/o","x","s/o"
"tecoma serratifolia","s/o","x","s/o"
"tectona grandis","s/o","x","s/o"
"terminalia alata","s/o","x","s/o"
"terminalia amazonia","x","s/o","s/o"
"terminalia eliptica","s/o","x","s/o"
"terminalia hayesii","x","s/o","s/o"
"terminalia ivorensis","x","s/o","s/o"
"terminalia obovata","s/o","x","s/o"
"terminalia pterocarpa","x","s/o","s/o"
"terminalia superba","s/o","x","s/o"
"terminalia tomentosa","s/o","x","s/o"
"tessmannia africana","x","s/o","s/o"
"testulea gabonensis","x","s/o","s/o"
"tetraclinis articula","s/o","x","s/o"
"thespesia macrophylla","s/o","x","s/o"
"thespesia populnea","s/o","x","s/o"
"thouinia hemiglauca","s/o","x","s/o"
"thuja chilensis","s/o","x","s/o"
"thuja gigantea","s/o","x","s/o"
"thuja plicata","s/o","x","s/o"
"tieghemella africana","x","s/o","s/o"
"tieghemella heckelii","x","s/o","s/o"
"tipuana speciosa","s/o","x","s/o"
"tipuana tipu","s/o","x","s/o"
"toluifera balsamum","s/o","x","s/o"
"tolyifera pereirae","s/o","x","s/o"
"toona australis","s/o","x","s/o"
"toona ciliata","s/o","x","s/o"
"toona microcarpa","s/o","x","s/o"
"toona ternatensis","s/o","x","s/o"
"torresea cearensis","x","s/o","s/o"
"{trattinickia|spp.}","x","s/o","s/o"
"trema guineensis","s/o","x","s/o"
"trema orientalis","s/o","x","s/o"
"trichilia albiflora","s/o","x","s/o"
"trichilia americana","s/o","x","s/o"
"trichilia anisopleura","s/o","x","s/o"
"trichilia colimana","s/o","x","s/o"
"trichilia langlassei","s/o","x","s/o"
"trichilia minutiflora","s/o","x","s/o"
"trichilia pavoniana","s/o","x","s/o"
"trichilia pringlei","s/o","x","s/o"
"trichilia procera","x","s/o","s/o"
"trichilia spondiodes","s/o","x","s/o"
"triplaris surinamensis","s/o","x","s/o"
"triplaris weigeltiana","s/o","x","s/o"
"triplochiton scleroxylon","x","s/o","s/o"
"triplochiton utile","x","s/o","s/o"
"tristania conferta","s/o","x","s/o"
"turreanthus africanus","x","s/o","s/o"
"uapaca guineensis","x","s/o","s/o"
"vatairea guianensis","x","s/o","s/o"
"vatairea lundellii","x","s/o","s/o"
"vatairea surinamensis","x","s/o","s/o"
"{virola|spp.}","x","s/o","s/o"
"vitex vitiensis","x","s/o","s/o"
"vochysia guianensis","x","s/o","s/o"
"{vochysia|spp.}","x","s/o","s/o"
"vochysia tomentosa","x","s/o","s/o"
"vouacapoua americana","x","s/o","s/o"
"vouapa pendula","x","s/o","s/o"
"vouapa racemigera","x","s/o","s/o"
"vuacapua amazonum","x","s/o","s/o"
"weinmannia trichosperma","s/o","x","s/o"
"ximenia borneensis","x","s/o","s/o"
"xylia xylocarpa","x","s/o","s/o"
"xylocarpus carapa","x","s/o","s/o"
"zanthoxylum flavum","s/o","x","s/o"
"zanthoxylum heitzii","x","s/o","s/o"
"zygia racemosa","x","s/o","s/o"
