"name","latest version","description"
"file-fetch-pm586","0.32-1","generic access to files of various uri types"
"file-fetch-pm588","0.32-1","generic access to files of various uri types"
"file-find-rule-filesys-virtual-pm","1.22-1","file::find::rule adapted to filesys::virtual"
"file-find-rule-perl-pm5100","1.10-2","common rules for searching for perl things"
"file-find-rule-perl-pm586","1.10-2","common rules for searching for perl things"
"file-find-rule-perl-pm588","1.10-2","common rules for searching for perl things"
"file-find-rule-pm","0.33-1","alternative interface to file::find"
"file-finder-pm","0.53-1","wrapper for file::find"
"file-flat-pm5100","1.04-2","implements a flat filesystem"
"file-flat-pm586","1.04-2","implements a flat filesystem"
"file-flat-pm588","1.04-2","implements a flat filesystem"
"file-homedir-pm5100","0.99-1","find your home and other directories"
"file-homedir-pm588","0.99-1","find your home and other directories"
"file-listing-pm5100","6.02-1","parse directory listing"
"file-listing-pm588","6.02-1","parse directory listing"
"file-mimeinfo-pm","0.15-3","perl module to determine file type"
"file-mmagic-pm","1.27-1","guess file type from filename contents"
"file-modified-pm","0.07-1022","intelligently check for file modification"
"file-next-pm","1.06-1","file-finding iterator"
"file-path-pm5100","2.08-1","create or remove directory trees"
"file-path-pm588","2.08-1","create or remove directory trees"
"file-pushd-pm","1.00-1","change dir temporarily for a limited scope"
"file-py25","5.07-1","determine file type (magic)"
"file-py26","5.07-1","determine file type (magic)"
"file-py27","5.07-1","determine file type (magic)"
"file-readbackwards-pm","1.05-1","read line-by-line starting at end of file"
"file-remove-pm5100","1.50-1","remove files and directories"
"file-remove-pm586","1.50-1","remove files and directories"
"file-remove-pm588","1.50-1","remove files and directories"
"file-roller","2.6.1-1010","gnome archive manager"
"file-sharedir-pm5100","1.03-1","locate per-dist and per-module shared files"
"file-sharedir-pm588","1.03-1","locate per-dist and per-module shared files"
"file-shlibs","5.07-1","shared libraries for file magic"
"file-slurp-pm","9999.19-2","efficient reading/writing of complete files"
"file-sync-pm5100","0.09-12","perl fsync and sync implementation"
"file-sync-pm586","0.09-12","perl fsync and sync implementation"
"file-sync-pm588","0.09-12","perl fsync and sync implementation"
"file-tail-pm","0.99.3-1","perl extension for tail"
"file-temp-pm5100","0.22-1","safe temporary files"
"file-temp-pm586","0.22-1","safe temporary files"
"file-temp-pm588","0.22-1","safe temporary files"
"file-type-pm","0.22-1","perl module for getting file type using magic"
"file-which-pm","0.05-3","portable pure-perl implementation of `which`"
"file-which-pm5100","1.09-4","portable pure-perl implementation of `which`"
"file-which-pm586","1.09-4","portable pure-perl implementation of `which`"
"file-which-pm588","1.09-4","portable pure-perl implementation of `which`"
"filehandle-fmode-pm5100","0.11-1","is a filehandle open for reading/writing"
"filehandle-fmode-pm586","0.11-1","is a filehandle open for reading/writing"
"filehandle-fmode-pm588","0.11-1","is a filehandle open for reading/writing"
"filelight","1.9-rc3-1004","prettier graphical disk usage utility"
"filelight-kde4-mac","1.9-rc3-1005","kde4 - disk space usage tool"
"filelight-kde4-x11","1.9-rc3-1005","kde4 - disk space usage tool"
"files-py26","1.1.1-1","python file and path manipulation"
"files-py27","1.1.1-1","python file and path manipulation"
"files-py31","1.1.1-1","python file and path manipulation"
"files-py32","1.1.1-1","python file and path manipulation"
"filesharing4-mac","4.4.1-2","kde4 - network filesharing configuration"
"filesharing4-x11","4.4.1-2","kde4 - network filesharing configuration"
"filesys-diskfree-pm","0.06-1","perform the unix command 'df'"
"filesys-notify-simple-pm5100","0.07-2","simple and dumb file system watcher"
"filesys-notify-simple-pm588","0.07-2","simple and dumb file system watcher"
"filesys-virtual-plain-pm","0.10-1","plain virtual filesystem"
"filesys-virtual-pm","0.06-1","framework for a virtual filesystem"
"fileutils","8.12-1","placeholder to help migration coreutils"
"filezilla","3.5.3-2","gui sftp/ftp client"
"fillets-ng","0.9.3-1005","puzzle game clone of fish fillets"
"filter-pm5100","1.43-1","source filters for perl code"
"filter-pm586","1.43-1","source filters for perl code"
"filter-pm588","1.43-1","source filters for perl code"
"finance-quote-pm5100","1.17-1","perl module to get stock quotes"
"finance-quote-pm586","1.17-1","perl module to get stock quotes"
"finance-quote-pm588","1.17-1","perl module to get stock quotes"
"finance-quotehist-pm5100","1.19-1","perl module to get old financial quotes"
"finance-quotehist-pm586","1.19-1","perl module to get old financial quotes"
"finance-quotehist-pm588","1.19-1","perl module to get old financial quotes"
"financial-oct305","0.4.0-1","financial functions for octave"
"financial-oct324","0.4.0-1","financial functions for octave"
"financial-oct343","0.4.0-1","financial functions for octave"
"financial-oct360","0.4.0-1","financial functions for octave"
"financial-oct361","0.4.0-1","financial functions for octave"
"finch","2.10.4-2","text-only instant messenger client from pidgin."
"finch-dev","2.10.4-2","development headers for finch and gnt."
"finch-pm586","0.03-2","perl interface to libfinch dependency engine"
"finch-pm588","0.03-2","perl interface to libfinch dependency engine"
"finch-shlibs","2.10.4-2","shared libraries for finch text-only instant messenger."
"findbugs","1.3.9-1","bug pattern detector for java"
"findutils","4.4.2-2","tools for searching for files"
"fink","0.32.6-51","open-source software package manager"
"fink-mirrors","0.31.4.1-1","mirror infrastructure"
"fink-obsolete-packages","0.1-1","base package for obsolete packages"
"fink-package-precedence","0.13-1","check fink masking of system libs"
"finkinfofile","1.6-1","spotlight importer for fink .info files"
"firefox","3.6.28-1","lightweight browser from mozilla.org (main user files)"
"firefox2","2.0.0.20-4","lightweight browser from mozilla.org"
"firefox2-dev","2.0.0.20-4","lightweight browser from mozilla.org"
"firefox2-shlibs","2.0.0.20-4","lightweight browser from mozilla.org"
"firefox3","3.6.28-1","lightweight browser from mozilla.org"
"firefox3-dev","3.6.28-1","lightweight browser from mozilla.org (development files)"
"firefox3-shlibs","3.6.28-1","lightweight browser from mozilla.org (shared libraries)"
"fish","1.23.1-3","friendly interactive shell"
"fits-oct305","1.0.0-4","fits interface for octave"
"fits-oct324","1.0.0-4","fits interface for octave"
"fits-oct343","1.0.1-4","fits interface for octave"
"fits-oct360","1.0.1-4","fits interface for octave"
"fits-oct361","1.0.1-4","fits interface for octave"
"fitsverify","1.0-2","fits file format checker"
"fityk-cli","0.3.2-1005","curve fitting and data analysis software"
"fitz","0.4-1004","kde - window decoration style"
"fl-core-oct324","1.0.0-4","basic fuzzy logic functions for octave"
"fl-core-oct343","1.0.0-4","basic fuzzy logic functions for octave"
"fl-core-oct360","1.0.0-4","basic fuzzy logic functions for octave"
"fl-core-oct361","1.0.0-4","basic fuzzy logic functions for octave"
"flac","1.2.1-1001","free lossless audio codec"
"flac-bin","1.1.1-1012","free lossless audio codec - encoder/decoder"
"flac-doc","1.2.1-1001","html format docs for flac and libflac."
"flac-nox","1.1.1-1012","free lossless audio codec - no x11"
"flac-nox-bin","1.1.1-1012","free lossless audio codec - encoder/decoder"
"flac-nox-shlibs","1.1.1-1012","free lossless audio codec - shared libs"
"flac-shlibs","1.1.1-1012","free lossless audio codec - shared libs"
"flac-xmms","1.2.1-1000","xmms plugin: free lossless audio codec (flac)"
"flag-dedup","0.2-1","remove duplicate compiler flags"
"flag-sort","0.4-1","wrapper that sorts compiler flags"
"flam3","2.7.18-2","cosmic recursive fractal flames"
"flask-py25","0.6.1-1","web development microframework"
"flask-py26","0.6.1-1","web development microframework"
"flask-py27","0.6.1-1","web development microframework"
"flatzebra","0.1.5-1002","game support library"
"flatzebra-shlibs","0.1.5-1002","game support library"
"flawfinder","1.21-2","examines c/c++ source code for security flaws"
"flex","2.5.4a-4","fast lexical analyser generator"
"flex-devel","2.5.35-2","fast lexical analyser generator"
"flexget","1.0r2238-1","multipurpose download automation tool"
"flexmock-rb18","0.8.0-2","flexible mocking library for ruby"
"flight-of-the-amazon-queen","1.0.0-2","fantasy adventure game"
"flim","1.14.9-1","faithful library about internet message"
"flite","1.3-1","small fast run-time voice synthesis engine"
"floppy","7.0-4","fortran source code analyzer"
"flow","3.0-4","fortran source code analyzer"
"flowerattack","0.3-1004","kde - opengl screensaver"
"fltk-aqua","1.1.9-3","gui toolkit (aqua graphics)--ide and headers"
"fltk-aqua-shlibs","1.1.9-3","gui toolkit (aqua graphics)--shared libs"
"fltk-backend-aqua-oct324","3.2.4-3","obsolete: functionality now in octave324"
"fltk-backend-x11-oct324","3.2.4-3","obsolete: functionality now in octave324"
"fltk-x11","1.1.7-1004","gui toolkit"
"fltk-x11-shlibs","1.1.7-1004","runtime code for fltk-x11"
"fltk13-aqua","1.3.0-2","gui toolkit (aqua graphics)"
"fltk13-aqua-shlibs","1.3.0-2","gui toolkit (aqua graphics)"
"fluidsynth","1.1.3-379","software synthesizer with soundfont 2 specs"
"fluidsynth-dev","1.1.3-379","software synthesizer with soundfont 2 specs"
"fluidsynth-shlibs","1.1.3-379","software synthesizer with soundfont 2 specs"
"fluidsynth1","1.1.3-379","software synthesizer with soundfont 2 specs"
"fluidsynth1-dev","1.1.3-379","software synthesizer with soundfont 2 specs"
"fluidsynth1-shlibs","1.1.3-379","software synthesizer with soundfont 2 specs"
"fluxbox","1.3.1-1","another window manager not unlike blackbox"
"fluxbox-menu-editor","1.1.2-1003","editor for fluxbox menu files"
"fluxconf","0.9.9-4","configuration gui for fluxbox"
"fnlib","0.5-6","font rendering library for x11"
"fnlib-fonts","0.5-6","font rendering library for x11"
"fnlib-shlibs","0.5-6","font rendering library for x11"
"focuswriter-x11","1.2.0-1004","distraction-free word processor uses qt4-x11"
"foiltex","2.1.4b-1","system for generating foils/transparencies/slides using tex"
"fondu","060102-1","convert between mac and unix font formats"
"font-afm-pm","1.20-1","perl interface to adobe font metrics files"
"font-manager","0.4.4-3","desktop fonts manager for x11 (gnome etc)"
"font-ttf-pm","0.48-1","ttf font support for perl"
"fontconfig-config","2.8.0-8","configuration files for fontconfig"
"fontconfig-path","20081230-3","add custom directories to fontconfig search"
"fontconfig2-dev","2.8.0-8","font configuration library"
"fontconfig2-shlibs","2.8.0-8","fontconfig 2 shared libs"
"fontforge","20110222-1","outline font editor"
"fonttools","2.2-0.1","library and tools for manipulating fonts"
"fonttools-py26","2.3-1","library for manipulating fonts"
"fonttools-py27","2.3-1","library for manipulating fonts"
"foolscap-py24","0.4.2-1","rewrite of perspective broker"
"foolscap-py25","0.4.2-1","rewrite of perspective broker"
"foolscap-py26","0.4.2-1","rewrite of perspective broker"
"foomatic-filters","3.0.2-1","universal printer filter script"
"fop","0.20.5-13","formatting objects (fo) processor"
"fop-offo","0.20.5-2","fop hyphenation files for various languages"
"formencode-py25","1.2.4-1","html form validation generation conversion"
"formencode-py26","1.2.4-1","html form validation generation conversion"
"formencode-py27","1.2.4-1","html form validation generation conversion"
"fort77","1.18-19","wrapper for the f2c fortran to c converter"
"forttopas","1.01-3","semi-automatic fortran to pascal converter"
"fortune-mod","1.99.1-2","fortune cookies on demand"
"fortunes","1.99.1-2","data files containing fortune cookies"
"fortunes-b5","20060905-1","babylon 5 quotes for fortune-mod"
"fortunes-de","0.19-1","fortune-mod: german data files for fortune"
"fortunes-min","1.99.1-2","data files containing a basic fortune cookie set"
"fortunes-off","1.99.1-2","data files containing offensive fortune cookies"
"fossil","20111213135356-1","distributed version control system"
"fotowall-mac","0.9-1004","creative simple picture arranger"
"fox16","1.6.37-1004","c++ gui toolkit v. 1.6.x"
"fox16-shlibs","1.6.37-1004","c++ gui toolkit v. 1.6.x"
"fpc","2.6.0-1","free pascal (aka fpk pascal) compiler"
"fpc-config","2.6.0-2","free pascal compiler configuration"
"fpc-cross-arm-gba","2.6.0-1","fpc cross-compiler arm-gba"
"fpc-cross-arm-linux","2.6.0-1","fpc cross-compiler arm-linux"
"fpc-cross-arm-wince","2.6.0-1","fpc cross-compiler arm-wince"
"fpc-cross-common","2.6.0-1","fpc common cross-compiler binaries"
"fpc-cross-i386-darwin","2.6.0-1","fpc cross-compiler i386-darwin"
"fpc-cross-i386-freebsd","2.6.0-1","fpc cross-compiler i386-freebsd"
"fpc-cross-i386-go32v2","2.6.0-1","fpc cross-compiler i386-go32v2"
"fpc-cross-i386-linux","2.6.0-1","fpc cross-compiler i386-linux"
"fpc-cross-i386-win32","2.6.0-1","fpc cross-compiler i386-win32"
"fpc-cross-i386-wince","2.6.0-1","fpc cross-compiler i386-wince"
"fpc-cross-powerpc-darwin","2.6.0-1","fpc cross-compiler ppc-darwin"
"fpc-cross-powerpc-linux","2.6.0-1","fpc cross-compiler ppc-linux"
"fpc-cross-sparc-linux","2.6.0-1","fpc cross-compiler sparc-linux"
"fpc-cross-x86-64-darwin","2.6.0-1","fpc cross-compiler x86_64-darwin"
"fpc-cross-x86-64-freebsd","2.6.0-1","fpc cross-compiler x86_64-freebsd"
"fpc-cross-x86-64-linux","2.6.0-1","fpc cross-compiler x86_64-linux"
"fpc-cross-x86-64-win64","2.6.0-1","fpc cross-compiler x86_64-win64"
"fpc-doc","2.6.0-1","free pascal compiler documentataion"
"fpc-sources","2.6.0-1","sources of the freepascal compiler"
"fpc-xcode3-integration","1.0-2","freepascal templates for xcode 3"
"fping","2.4b2-1011","pings a number of hosts at one time"
"fpl-oct305","1.2.0-2","save octave data in graphical formats"
"fpl-oct324","1.2.0-2","save octave data in graphical formats"
"fpl-oct343","1.2.0-2","save octave data in graphical formats"
"fpl-oct360","1.2.0-2","save octave data in graphical formats"
"fpl-oct361","1.2.0-2","save octave data in graphical formats"
"fpprofiler","20110108-3","profiler for the freepascal compiler"
"fpprofiler-cross","20110108-2","profiler for the freepascal cross compiler"
"fprobe","1.1-1","netflow probe"
"fracplanet","0.3.2-2","interactive tool for creating fractal planets"
"framemaker-miftree-pm","0.075-51","parser for adobe framemaker mif files"
"fraqtive","0.4.5-1003","kde - versatile fractal generator"
"freeciv","2.2.7-11","multiplayer strategy game"
"freedroid","1.0.2-3","clone of the game &quot;paradroid&quot;"
"freedroidrpg","0.13rls-2","isometric roleplaying game"
"freefem++","2.20-5","finite element program"
"freeglut","2.8.0-1","opengl utility toolkit"
"freeglut-shlibs","2.8.0-1","opengl utility toolkit"
"freehelix","98-12","nucleic acid helix analysis program"
"freeipmi","0.7.15-3","free ipmi software"
"freeipmi-shlibs","0.7.15-3","free ipmi software"
"freesolid","2.1.1-1002","library for 3d collidion detection"
"freesolid-shlibs","2.1.1-1002","library for 3d collidion detection"
"freetts","1.2.2-1","speech synthesizer written entirely in java"
"freetype","1.3.1-12","truetype font rendering library version 1"
"freetype-bin","1.3.1-12","truetype font rendering library version 1"
"freetype-hinting","1.3.1-12","truetype font rendering library version 1 hinting enabled"
"freetype-hinting-bin","1.3.1-12","truetype font rendering library version 1 hinting enabled"
"freetype-hinting-shlibs","1.3.1-12","truetype font rendering library version 1 hinting enabled"
"freetype-shlibs","1.3.1-12","truetype font rendering library version 1"
"freetype2","2.1.4-12","truetype font rendering library (dummy)"
"freetype2-dev","2.1.4-12","truetype font rendering library headers"
"freetype2-hinting","2.1.4-12","truetype font rendering library (dummy)"
"freetype2-hinting-dev","2.1.4-12","truetype font rendering library headers"
"freetype2-hinting-shlibs","2.1.4-12","truetype font rendering library shared libs"
"freetype2-shlibs","2.1.4-12","truetype font rendering library shared libs"
"freetype219","2.4.6-2","truetype font rendering library headers"
"freetype219-32bit","2.4.4-4","truetype font rendering library headers"
"freetype219-32bit-shlibs","2.4.4-4","truetype font rendering library shared libs"
"freetype219-shlibs","2.4.6-2","truetype font rendering library shared libs"
"freezethaw-pm","0.5001-1","file database module"
"fribidi","0.19.2-2","unicode bidirectional (bidi) algorithm lib"
"fribidi-dev","0.19.2-2","developer files for fribidi package"
"fribidi-shlibs","0.19.2-2","shared libraries for fribidi package"
"frontline","0.5.4-1020","gui frontend for autotrace"
"frontline-gimp-plugin","0.5.4-1020","autotrace plugin for the gimp"
"frotz","2.43-1012","interpreter for all infocom-type games"
"frox","0.7.18-1004","caching ftp proxy server"
"fs-fonts","0.1test3-3","japanese ttf &quot;fs-font&quot;"
"fsh","1.2-1005","fast remote command execution"
"fslogger","2.1-2","displays all filesystem changes"
"fsv","1.0.1-13","3d file system visualizer"
"fte","20020324-1002","fte text editor"
"ftidy","7.2-1","fortran code formatter"
"ftnchek","3.3.1-2","fortran source code analyzer"
"ftp-tls","20020906-1006","ssl/tls enabled replacement ftp tool"
"ftpfiles","20030406-1","some required system files"
"funionfs","0.4.3-4","user-space directory concatenation"
"funny-manpages","1.3-2","funny manpages"
"funny-manpages-extra","1.3-2","funny manpages which overlap normal pages"
"fuse","2.0.3.2-2","file system in user space (macfuse)"
"fuse-dev","2.0.3.2-2","filesystem in userspace (development resources)"
"fuse-py24","0.2.1-2","fuse python bindings"
"fuse-py25","0.2.1-2","fuse python bindings"
"fuse-py26","0.2.1-2","fuse python bindings"
"fuse-py27","0.2.1-2","fuse python bindings"
"fuse-shlibs","2.0.3.2-2","file system in user space (macfuse)"
"fuse-zip","0.2.8-1","fuse filesystem for zip archives"
"fusepod","0.5.2-4","fuse ipod filesystem"
"futures-py26","2.1.2-1","backport of the concurrent.futures package"
"futures-py27","2.1.2-1","backport of the concurrent.futures package"
"futures-py31","2.1.2-1","backport of the concurrent.futures package"
"fuzz","0.6-3","stress-test programs with random input"
"fuzzy-logic-toolkit-oct324","0.3.0-1","fuzzy logic toolkit for octave"
"fuzzy-logic-toolkit-oct343","0.3.0-1","fuzzy logic toolkit for octave"
"fuzzy-logic-toolkit-oct360","0.3.0-1","fuzzy logic toolkit for octave"
"fuzzy-logic-toolkit-oct361","0.3.0-1","fuzzy logic toolkit for octave"
"fvwm","1.24r-6","x11 window manager with large virtual desktop (version 1)"
"fvwm-common","2.6.1-3","common files for versions 1 and 2.xx of fvwm"
"fvwm-common-no-gnome","2.6.1-3","common files for versions 1 and 2.xx of fvwm"
"fvwm-icons","2.4.0-5","icons for fvwm"
"fvwm2","2.6.1-3","x11 window manager with large virtual desktop"
"fvwm2-no-gnome","2.6.1-3","x11 window manager with large virtual desktop"
"fwbuilder","2.1.14-1005","firewall builder ui and policy compilers"
"fwipe","0.35-2","deletes files irrecoverably"
"g-wrap","1.3.4-1030","generates scheme bindings for c"
"g-wrap-dev","1.3.4-1030","development package for g-wrap"
"g-wrap-shlibs","1.3.4-1030","shared libraries for g-wrap"
"g-wrap19","1.9.11-1","generates scheme bindings for c"
"g-wrap19-shlibs","1.9.11-1","shared libraries for g-wrap"
"g3data","1.5.1-5","extracts data from graphs"
"g3dviewer","0.2.99.4-5","viewer for 3d object files"
"g77","3.4.3-107","gnu fortran compiler"
"g95","0.91-1002","another gnu fortran 95 compiler"
"ga-oct305","0.9.8-2","genetic optimization for octave"
"ga-oct343","0.10.0-1","genetic optimization for octave"
"ga-oct360","0.10.0-1","genetic optimization for octave"
"ga-oct361","0.10.0-1","genetic optimization for octave"
"gaa","1.6.6-1","c function checker &quot;gaa argument analyser&quot;"
"gai","0.5.5-1014","general applet interface library"
"gai-shlibs","0.5.5-1014","general applet interface library"
"gaia","0.1-1003","kde - extra window decoration style"
"gail17","1.6.6-1007","gnome accessibility implementation library"
"gail17-dev","1.6.6-1007","gnome accessibility implementation library"
"gail17-shlibs","1.6.6-1007","gnome accessibility implementation library"
"gail18","1.24.0-4","gnome accessibility implementation library"
"gail18-shlibs","1.24.0-4","gnome accessibility implementation library"
"gaim","2.0-3","obsolete use package 'pidgin' instead"
"gaim-ssl","2.0-3","obsolete use package 'pidgin' instead"
"gaiw","0.2.0pre1-1013","ascii data import front-end for grace"
"gal19","0.19.2-1040","gnome application library"
"gal19-shlibs","0.19.2-1040","gnome application library"
"gal199","2.1.13-1025","the gnome accessibility library"
"gal199-dev","2.1.13-1025","the gnome accessibility library"
"gal199-shlibs","2.1.13-1025","the gnome accessibility library"
"gal2.4.0","2.4.3-1003","the gnome application library"
"gal2.4.0-dev","2.4.3-1003","the gnome application library"
"gal2.4.0-shlibs","2.4.3-1003","the gnome application library"
"gal21","0.22-1017","gnome application library"
"gal21-shlibs","0.22-1017","gnome application library"
"galago-daemon","0.5.1-3","galago presence daemon"
"galculator","1.3.4-2","scientific calculator based on gtk+2"
"galeon","2.0.5-3","light-weight gnome web browser"
"gamgi","0.14.4-2","general atomistic modeling graphic interface"
"gamin","0.1.9-5","file alteration monitor (fam) implementation"
"gamin-dev","0.1.9-5","file alteration monitor (fam) implementation"
"gamin-shlibs","0.1.9-5","file alteration monitor (fam) implementation"
"garlic","1.6-2","visualization program for biomolecules"
"gauche","0.8.14-2002","embedable scheme interpreter"
"gawk","4.0.1-1","the awk processing language gnu edition"
"gbemol","0.3.1-3","gui frontend for music player daemon (mpd)"
"gc","7.1-1002","generic garbage-collecting storage allocator"
"gc-64bit","7.1-1002","generic garbage-collecting storage allocator"
"gc-64bit-shlibs","7.1-1002","shared libraries for gc package"
"gc-shlibs","7.1-1002","shared libraries for gc package"
"gc-static","6.2-5","static libraries for gc package"
"gcalctool","5.8.25-1","gnome calculator widget"
"gcc42","4.2.4-1002","gnu compiler collection version 4.2"
"gcc42-shlibs","4.2.4-1002","shared libraries for gcc4"
"gcc43","4.3.5-1001","gnu compiler collection version 4.3"
"gcc43-compiler","4.3.5-1001","compiler binaries for gcc43."
"gcc43-shlibs","4.3.5-1001","shared libraries for gcc4"
"gcc44","4.4.6-1001","gnu compiler collection version 4.4"
"gcc44-compiler","4.4.6-1001","compiler binaries for gcc44."
"gcc44-shlibs","4.4.6-1001","shared libraries for gcc4"
"gcc45","4.5.3-1001","gnu compiler collection version 4.5"
"gcc45-compiler","4.5.3-1001","compiler binaries for gcc45."
"gcc45-shlibs","4.5.3-1001","shared libraries for gcc4"
"gcc46","4.6.3-1000","gnu compiler collection version 4.6"
"gcc46-compiler","4.6.3-1000","compiler binaries for gcc46."
"gcc46-shlibs","4.6.3-1000","shared libraries for gcc4"
"gcc47","4.7.0-1001","gnu compiler collection version 4.7"
"gcc47-compiler","4.7.0-1001","compiler binaries for gcc47."
"gcc47-shlibs","4.7.0-1001","shared libraries for gcc4"
"gcdmaster","1.2.3-1","gtk interface for cdrdao"
"gcin","1.3.4-4","gtk+ based input method platform"
"gclasspath","0.97.2-1","essential libraries for java"
"gcolor2","0.4-3","gtk+2 color selector"
"gcompris","8.3.1-5","educational games for children below 10"
"gconf","1.0.9-1055","configuration database system"
"gconf-dev","1.0.9-1055","configuration database system"
"gconf-editor","2.6.2-1019","editor for the gconf configuration system"
"gconf-shlibs","1.0.9-1055","configuration database system"
"gconf2","2.28.0-5","gnome configuration database system"
"gconf2-dev","2.28.0-5","gnome configuration database system"
"gconf2-shlibs","2.28.0-5","gnome configuration database system"
"gconfmm2.6","2.28.0-1","c++ interface to gconf"
"gconfmm2.6-shlibs","2.28.0-1","shared libraries for gconf--"
"gcursor","0.061-2","gnome cursor theme managing software"
"gcutils","0.2.3-1","scripts to keep git repo synced with cvs"
"gd-barcode-pm5100","1.15-1","create barcode images with gd"
"gd-barcode-pm586","1.15-1","create barcode images with gd"
"gd-barcode-pm588","1.15-1","create barcode images with gd"
"gd-graph-pm5100","1.44-1","perl package to generate charts using gd"
"gd-graph-pm586","1.44-1","perl package to generate charts using gd"
"gd-graph-pm588","1.44-1","perl package to generate charts using gd"
"gd-graph3d-pm5100","0.63-4","perl package that provides 3d graphs"
"gd-graph3d-pm586","0.63-4","perl package that provides 3d graphs"
"gd-graph3d-pm588","0.63-4","perl package that provides 3d graphs"
"gd-pm5100","2.46-3","perl interface to the gd graphics library"
"gd-pm586","2.46-3","perl interface to the gd graphics library"
"gd-pm588","2.46-3","perl interface to the gd graphics library"
"gd-rb18","0.7.4-2","gd library interface for ruby"
"gd-svg-pm5100","0.33-1","perl module to create svg output from gd"
"gd-svg-pm586","0.33-1","perl module to create svg output from gd"
"gd-svg-pm588","0.33-1","perl module to create svg output from gd"
"gd-textutil-pm5100","0.86-13","perl package for text utilities of gd"
"gd-textutil-pm586","0.86-13","perl package for text utilities of gd"
"gd-textutil-pm588","0.86-13","perl package for text utilities of gd"
"gd2","2.0.35-11","graphics generation library"
"gd2-bin","2.0.35-11","executables for gd2 package"
"gd2-nox","2.0.35-10","graphics generation library (no x11 support)"
"gd2-nox-bin","2.0.35-10","executables for gd2 package (no x11)"
"gd2-shlibs","2.0.35-11","shared libraries for gd2 package"
"gdal","1.7.2-5","raster/vector geospatial format translator"
"gdal-dev","1.7.2-5","gdal/ogr development headers"
"gdal-grass","1.4.3-2","grass plug-in for gdal/ogr"
"gdal-mysql","1.7.2-5","raster/vector geospatial format translator"
"gdal-mysql-dev","1.7.2-5","gdal/ogr development headers"
"gdal-mysql-shlibs","1.7.2-5","gdal/ogr shared libraries"
"gdal-pgsql","1.7.2-5","raster/vector geospatial format translator"
"gdal-pgsql-dev","1.7.2-5","gdal/ogr development headers"
"gdal-pgsql-mysql","1.7.2-5","raster/vector geospatial format translator"
"gdal-pgsql-mysql-dev","1.7.2-5","gdal/ogr development headers"
"gdal-pgsql-mysql-shlibs","1.7.2-5","gdal/ogr shared libraries"
"gdal-pgsql-shlibs","1.7.2-5","gdal/ogr shared libraries"
"gdal-py25","1.7.2-2","raster/vector geospatial format translator"
"gdal-py26","1.7.2-2","raster/vector geospatial format translator"
"gdal-py27","1.7.2-2","raster/vector geospatial format translator"
"gdal-shlibs","1.7.2-5","gdal/ogr shared libraries"
"gdata-py25","2.0.11-1","python client library for google data apis"
"gdata-py26","2.0.11-1","python client library for google data apis"
"gdata-py27","2.0.11-1","python client library for google data apis"
"gdb","7.4.1-1","the gnu project debugger"
"gdbm","1.8.0-8","gnu dbm library"
"gdbm-shlibs","1.8.0-8","shared libraries for gdbm package"
"gdbm3","1.8.3-4","gnu dbm library"
"gdbm3-64bit","1.8.3-4","gnu dbm library"
"gdbm3-64bit-shlibs","1.8.3-4","shared libraries for gdbm3 package"
"gdbm3-shlibs","1.8.3-4","shared libraries for gdbm3 package"
"gdbm4","1.9.1-1","gnu dbm library"
"gdbm4-shlibs","1.9.1-1","shared libraries for gdbm3 package"
"gdbmexport","1.9.1-1","gnu dbm data exporter/updater"
"gdcm","2.2.0-1","grassroots dicom library"
"gdcm-dev","2.2.0-1","grassroots dicom library"
"gdcm-java","2.2.0-1","grassroots dicom library"
"gdcm-shlibs","2.2.0-1","grassroots dicom library"
"gdis","0.89-2","molecular and lattice graphics system"
"gdisk","0.6.8-1002","gpt fdisk for macos x"
"gdk-pixbuf","0.22.0-14","image loading and manipulation library"
"gdk-pixbuf-psd","20081217-7","gdkpixbuf loader for adobe photoshop (psd)"
"gdk-pixbuf-shlibs","0.22.0-14","image loading and manipulation library"
"gdl","0.9.2-2","gnu data language"
"gdm","2.6.0.3-1023","gnome desktop manager"
"geant4.8","4.8.3-64","simulation of particle-matter interaction"
"geant4.8-cernlib-g77","4.8.3-64","simulation of particle-matter interaction"
"geant4.8-cernlib-g77-shlibs","4.8.3-64","shared libraries for geant4 8.3"
"geant4.8-cernlib-gfortran","4.8.3-64","simulation of particle-matter interaction"
"geant4.8-cernlib-gfortran-shlibs","4.8.3-64","shared libraries for geant4 8.3"
"geant4.8-data","4.8.3-11","optional datafiles for geant4 8"
"geant4.8-shlibs","4.8.3-64","shared libraries for geant4 8.3"
"geant4.9","4.9.4-13","simulation of particle-matter interaction"
"geant4.9-cernlib","4.9.4-13","simulation of particle-matter interaction"
"geant4.9-cernlib-g77","4.9.4-13","simulation of particle-matter interaction"
"geant4.9-cernlib-g77-shlibs","4.9.4-13","shared libraries for geant4 9.2"
"geant4.9-cernlib-gfortran","4.9.4-13","simulation of particle-matter interaction"
"geant4.9-cernlib-gfortran-shlibs","4.9.4-13","shared libraries for geant4 9.2"
"geant4.9-cernlib-shlibs","4.9.4-13","shared libraries for geant4 9.2"
"geant4.9-data","4.9.4-11","optional datafiles for geant4 9"
"geant4.9-shlibs","4.9.4-13","shared libraries for geant4 9.2"
"geany","0.20-1","fast and lightweight gtk+ ide"
"gecko-sharp","2.0-1044","mozilla browser c# bindings: bundle"
