"goran","m","-","jugoslawisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","georg"
"goswin","m","-","althochdeutsch","gos=gote; wini=freund"
"gottfried","m","gotfrid g&ouml;tschi frieder friedel jeffrey","althochdeutsch","got=gott; fridu=friede"
"gottlieb","m","-","althochdeutsch","got=gott; leip=erbe"
"grace","w","-","enlisch und franz&ouml;sisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","gratia"
"graciano","m","graziano gratian gratianus","span.-lateinisch","gnade dank"
"graham","m","-","englisch","(nach einem schottischen clan)"
"gratia","w","grazia grace gracy graziella","lateinisch","gnade dank"
"gregor","m","grigor gorius joris gregory gregorio","lateinisch","der wachsame"
"greta","w","grete gretchen gretel","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","margareta"
"gudrun","w","gudrune gudula","althochdeutsch","gund=kampf runa=geheimnis zauber"
"gunter","m","gunther g&uuml;nther g&uuml;nter gunar gunnar gunner","althochdeutsch","gund=kampf; heri=heer"
"g&uuml;nter","m","g&uuml;nther","-","nebenform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","gunter"
"gustav","m","gustaf gustl","altschwedisch","g&ouml;t=bote; staf=stab st&uuml;tze"
"gustava","w","gustave","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","gustav"
"gwendolin","w","gwendolyn gwendoline gwendolina gwenda","keltisch-englisch","gwyn=wei&szlig;"
"hadrian","m","hadrianus adrianus","lateinisch","bewohner der stadt hadrian"
"hagen","m","hakon haio heio hajo hayo","althochdeutsch","hagan=einfriedung"
"hanna","w","johanna hannah hanni hanne","hebr&auml;isch","die begnatete anmutige"
"hannes","m","-","-","kurzform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","johannes"
"hans","m","johann hansi h&auml;nsel hannecke","hebr&auml;isch","gott ist g&uuml;tig"
"harald","m","harold","nordisch und englisch","heri=heer; waltan=walten herrschen"
"harry","m","harri","englisch","koseform von henry ("
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","heinrich"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;",")"
"hartmut","m","hardmod hartmod mutz","althochdeutsch","harti=stark; muot=mut geist gesinnung"
"havel","m","-","tschechisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","gallus"
"hedwig","w","hedi hedda jadwiga","althochdeutsch","hadu=kampf; wig=kampf"
"heike","w","-","niederdeutsch","koseform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","henrike"
"heiko","m","haiko","niederdeutsch","koseform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","heinrich"
"heidrun","w","-","althochdeutsch","heid=wesen; runa=geheimnis zauber"
"heinrich","m","heiner heini hein heinz heiko heino henno henrik hendrik        henning henricus henry harry enrico jendrich","althochdeutsch","hagan=einfriedung schutz; rihi=reich m&auml;chtig"
"heinz","m","-","-","koseform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","heinrich"
"hektor","m","hector","griechisch","schirmer herrscher"
"helene","w","helen helena lena lene leni nella nelli elena elina lenka        jelena ilka","griechisch","die leuchtende"
"helga","w","ilga olga","schwedisch","hailac=gesund"
"helge","m","helgo oleg","skandinavisch","heil gesund"
"helmut","m","helmuth hellmut","althochdeutsch","helm=helm; muot=mut geist gesinnung"
"hendrik","m","-","niederdeutsch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","heinrich"
"henry","m","henri","englisch","form vun"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","heinrich"
"henriette","w","-","franz&ouml;sisch","weibl. verkleinerungungsform von henri ("
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","heinrich"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;",")"
"henrike","w","heinrike henrika rike henni heike","-","eine weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","heinrich"
"hera","w","-","-","heldin"
"herbert","m","-","althochdeutsch","heri=heer beraht=gl&auml;nzend"
"hermann","m","herrmann herman harman armando german","althochdeutsch","heri=heer man=mann"
"hermine","w","herma minna","-","gebildet nach"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","hermann"
"hieronymus","m","jeronimus geronimo gerome jerome","griechisch","heiliger name"
"hildegard","w","hilde hilda","althochdeutsch","hiltja=kampf; gard=zaun schutz"
"hippokrates","m","-","griechisch","hippos=pferd; kratos=kraft st&auml;rke"
"holger","m","holdger holge","nordisch","holm=insel; geirr=speer"
"horst","m","-","althochdeutsch","hurst=gh&ouml;lz geb&uuml;sch"
"hubert","m","hubertus brecht huprecht bert hugbert","althochdeutsch","hugu=gedanke verstand; beraht=gl&auml;nzend"
"huberta","w","hubertina hubertine","-","weibl. form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","hubert"
"ida","w","idda ita iken","althochdeutsch","die seherin"
"ignatia","w","-","lateinisch","ignis=feuer"
"ignatius","m","ignace egnatius ignazignatz ignazio","lateinisch","ignis=feuer"
"igor","m","ingwar","althochdt.-russisch","ingwio=germanischer stammesgott; heri=heer"
"ilja","m","-","russisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","elia"
"iljana","w","-","russisch","weibl. form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","ilja"
"ilona","w","ilonka","ungarisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","helene"
"ilse","w","-","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","elisabeth"
"immakulata","w","immaculata","lateinisch","die reine unbefleckte"
"immanuel","m","emanuel emmanuel","hebr&auml;isch","gott mit uns"
"indira","w","-","indisch","? ? ?"
"indra","w","-","ital.-sanskritisch","indh=funkeln"
"ingmar","m","ingomar","althochdt.","ingwio=germanischer stammesgott; mari=ber&uuml;hmt"
"ingrid","w","-","althochdt.","ingwio=german. stammesgott; fridr=sch&ouml;n"
"inka","w","inken inke ineke","niederdt.","? ? ?"
"innozentia","w","innocentia","lateinisch","die unschuldige"
"innozenz","m","innocentius","lateinisch","der unschuldige"
"iphigenie","w","-","griechisch","die kraftgeborene"
"iram","m","-","hebr&auml;isch","der wachsame"
"irene","w","irina ira irinka irena","griechisch","eirene=friede"
"iris","w","-","griechisch","iris=regenbogen"
"irmgard","w","irmengard irma irmina emma gerda","althochdt.","irmin=welt; gard=einfriedung schutz"
"irvin","m","irwin","engl.-angels&auml;chs.","der seefreund"
"isaak","m","isaac","hebr&auml;isch","gott ist gn&auml;dig"
"isabella","w","isabelle isabel elisabeth isa bella","hebr.-ital. und span.","die unber&uuml;hrte"
"isai","m","jesse","hebr&auml;isch","form von jesaja"
"isidor","m","isidorius","griechisch","isi=g&ouml;ttin isis; doron=geschenk"
"ismael","m","-","hebr&auml;isch","gott h&ouml;rt"
"isolde","w","isolda isalda isotta","keltisch","isan=eisen; waltan=walten herrschen"
"isreal","m","-","hebr&auml;isch","gott k&auml;mpft"
"ivana","w","iwana ivanka iwanka iwanna","russisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","johanna"
"iwan","m","ivan ywan wanja wanko","russisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","johann"
"jack","m","jacky jakie","-","koseform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","john"
"jacqueline","w","jackie jacky","-","weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","jacques"
"jacques","m","-","franz&ouml;sisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","jakob"
"jakob","m","jacob jacobus jakobus james jimmy giacomo diego jascha","hebr&auml;isch","nachgeborener"
"jan","m","janus","niederdeutsch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","johannes"
"jana","w","jane janika janina janine","-","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","johanna"
"janosch","m","-","-","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","johannes"
"jaromir","m","jaro jaromil mirek","russisch","fester friede"
"jasmin","w","jasmina jasmine yasmin yasmina yasmine","persisch","nach dem bl&uuml;tenstrauch jasmin"
"jean","m","yannick yannic jean-baptiste jean-christophe jean-claude . . .","franz&ouml;sisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","johannes"
"jeanne","w","jeannette jeannine","-","weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","jean"
"jelena","w","jelenka jelika","russisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","helene"
"jendrick","m","jendrik jendrich","slawisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","heinrich"
"jennifer","w","-","kelt.-engl.","? ? ?"
"jenny","w","jenni","engl.","koseform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","johanna"
"jens","m","-","d&auml;nisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","johannes"
"jeremias","m","jeremy jerry jeremia jeroma","hebr&auml;isch","jahwe verwirft"
"jesaja","m","jesajas isaias","hebr&auml;isch","heil jahwes"
"jessica","w","jessika","hebr.-engl.","gott sieht"
"joachim","m","jochen jochim achim akim","hebr&auml;isch","von gott aufgerichtet"
"joel","m","-","hebr&auml;isch","jahwe ist gott"
"johann","m","-","-","kurzform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","johannes"
"johanna","w","joanna hanna jonna hanna janina jana ivana ivanka janet        joan jenny jeanne jeannette giovanna gianna janka","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","johannes"
"johannes","m","johann hans hannes henning jahn jan jens hasko john        johnny jack jean giovanni gianni nino juan juanito jenik ivo        janus iwan","hebr&auml;isch","gott ist gn&auml;dig"
"john","m","johnny jack","englisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","johannes"
"jolanda","w","jolanthe jolantha jolanta jolande yolanda jola yola","griechisch","veilchenbl&uuml;te"
"jonas","m","jona jonko","hebr&auml;isch","taube"
"jonathan","m","-","hebr&auml;isch","geschenk jahwes"
"j&ouml;rg","m","jorg","-","kurzform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","georg"
"josef","m","joseph joe jo giuseppe jussuf jupp sepp beppo","hebr&auml;isch","jahwe (gott) f&uuml;gt hinzu"
"josefine","w","josefa josefina josepha jos&eacute;phine giuseppa","-","weibliche form f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","josef"
"joshua","m","josua","hebr&auml;isch-engl.","jahwe (gott) hilft"
"jovita","w","jowita","s&uuml;dslawisch","koseform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","johanna"
"juan","m","-","spanisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","johannes"
"juana","w","juanita","-","weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","juan"
"judith","w","judit juditha jutta judy","hebr&auml;isch","frau aus jehud"
"julia","w","julie j","-","weibliche form zu"
"&nbsp;","&nbsp;","uliana juliane juliet giulia giuliana giulietta julika jule        julchen","&nbsp;","julius"
"&nbsp;","&nbsp;","lili","&nbsp;","&nbsp;"
"julian","m","jul julien giuliano","-","weiterbildung von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","julius"
"julius","m","julian julianus jules giulio luglio","lateinisch","aus dem geschlecht der julier"
"j&uuml;rgen","m","-","-","nebenform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","georg"
"justin","m","-","-","weiterbildung zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","justus"
"justina","w","justine giustina","-","weibl. form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","justin"
"justus","m","justinus justinianus justin justinian jobst","lateinisch","der gerechte"
"jutta","w","jutte","-","koseform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","judith"
"kai","m","kay kei caio","keltisch-friesisch","? ? ?"
"kain","m","cain","hebr&auml;isch","der erworbene"
"kallistus","m","kallist callixtus kallixtus calliste","griechisch","der sch&ouml;nste"
"karin","w","carin","schwedisch","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","katharina"
"karl","m","carl kalle carlo carlos carel charles charlie karol","althochdeutsch","der freie"
"karla","w","carla","-","weibl. form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","karl"
"karoline","w","karolina karla charlotte","-","weiterbildung von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","carola"
"karsten","m","-","-","nebenform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","carsten"
"kasimir","m","casimir","slawisch","stifter des friedens"
"kaspar","m","kasper caspar gaspard","persisch","schatzmeister"
"kassandra","w","cassandra","griechisch","die frau die m&auml;nner f&auml;ngt (?)"
"kastor","m","castor","griechisch","der ausgezeichnete"
"katharina","w","katharine catharina kathrin katrin kathi cathrin karin        katinka katja","griechisch","die reine"
"kathrin","w","katrin","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","katharina"
"katja","w","-","russisch","koseform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","katharina"
"kemal","m","-","t&uuml;rkisch","? ? ?"
"ken","m","-","-","kurzform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","kenneth"
"kenneth","m","ken","keltisch-englisch","h&uuml;bsch t&uuml;chtig"
"kerstin","w","kersten","niederdeutsch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","christiane"
"kevin","m","-","irisch-englisch","sch&ouml;n von geburt"
"kim","m","-","irisch-englisch","? ? ?"
"kim","w","-","amerikan.","weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","kim"
"klara","w","clara clare klarissa clarissa chiara klarina klarinda","lateinisch","hell leuchtend ber&uuml;hmt"
"klaus","m","claus","-","kurzform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","nikolaus"
"klemens","m","klement","-","nebenform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","clemens"
"kleopas","m","klopas cleopas kleophas","griechisch","? ? ?"
"kleopatra","w","-","griechisch","kleos=ruhm pater=vater"
"klothilde","w","klothild chlothilde","althochdeutsch","hlut=ber&uuml;hmt; hiltja=kampf"
"knut","m","-","d&auml;nisch-althochdeutsch","chnot=adelig frei"
"kolja","m","kolas","russisch","kurzform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","nikolaus"
"konrad","m","conrad kuno kurt konradin conny","althochdeutsch","kuoni=k&uuml;hn tapfer; rat=berater beratung"
"konstantin","m","constantin constantinus kosta kostja kostis","lateinisch","best&auml;ndig standhaft"
"konstanze","w","konstantia constance konstanza conny connie","lateinisch","best&auml;ndig standhaft"
"kora","w","cordula cordelia cornelia korinna corinna","griechisch","m&auml;dchen jungfrau"
"korbinian","m","corbinian","keltisch","sorgenfrei"
"kriemhild","w","kriemhilde krimhild krimhilde","althochdeutsch","grima=helm; hiltja=kampf"
"kunibert","m","kurt","althochdeutsch","kunni=sippe beraht=gl&auml;nzend"
"kunigunde","w","kunigunda kunissa gunda gunde gundel","althochdeutsch","kunni=sippe; gund=kampf"
"kurt","m","-","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","konrad"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","und"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","kunibert"
"laila","w","leila","finn.-lappl&auml;ndisch","die weise"
"lamprecht","m","lampert lambrecht lando","althochdeutsch","lant=land; beraht=gl&auml;nzend"
"larissa","w","lara","altgriechisch","nach der stadt larissa"
"lars","m","lasse","schwedisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","laurentius"
"laslo","m","von ladislaus (wladislaw)","slawisch","wladeti=herrschen; slawa=ruhm"
"l&auml;tizia","w","laetitia tizia","lateinisch","freude"
"laura","w","lauretta","italienisch","kurzform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","laurentia"
"laurentia","w","laurenzia laura lorenza laurina laurine","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","laurentius"
"laurentius","m","lorenz laurenz lorenzo lars lasse","lateinisch","mann aus laurentium"
"lazarus","m","-","hebr&auml;isch","gott hilft"
"lea","w","-","hebr&auml;isch","die erm&uuml;dete (?)"
"lena","w","lene leni","-","kurzform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","helene"
"leo","m","leon lionel leone","lateinisch","der l&ouml;we"
"leona","w","-","-","weibl. form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","leo"
"leonhard","m","leonard leonardo leonid","althochdeutsch","liuti=leute volk; harti=stark"
"leopold","m","luitpold libold","althochdeutsch","liuti=volk leute; bald=k&uuml;hn"
"lester","m","-","englisch","? ? ?"
"levi","m","leva","hebr&auml;isch","anh&auml;nglich"
"lia","w","-","-","koseform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","julia"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","und"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","elisabeth"
"liane","w","liana","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","juliana"
"liborius","m","borris","griech.-lat.","gott opfern"
"(","w","lilli","-","freundin von"
"lili","&nbsp;","&nbsp;","&nbsp;","tabaluga"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;",")"
"linus","m","-","griechisch","der betrauerte"
"lioba","w","leoba","westgotisch","die liebe liebende"
"lion","m","l&eacute;on lionel lionello","-","nebenform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","leo"
"lisa","w","lisschen (!) lise","italienisch","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","elisabeth"
"lorenz","m","lorenzo","deutsch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","laurentius"
"loretta","w","lorette","italienisch","nach dem wallfahrtsort loreto"
"lothar","m","-","althochdeutsch","hluth=ber&uuml;hmt; hari=heer"
"louis","m","-","franz&ouml;sisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","ludwig"
"lucia","w","luzia lucy lucie luciana luciane lucilla","lateinisch","die leuchtende"
"ludmilla","w","milina milena lulu ludmila","slawisch","ljud=volk leute; milyj=lieb"
"ludovico","m","ludovicus","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","ludwig"
"ludwig","m","ludovicus lutz lewis louis ludovico luigi gino lajos","althochdeutsch","hluth=ber&uuml;hmt; wig=kampf krieg"
"luise","w","luisa","-","weibl. form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","ludwig"
"lukas","m","lucas laux","griechisch","aus lukanien stammend"
"lydia","w","-","griech.-lat.","lydierin"
"lyonel","m","-","amerikanisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","ludwig"
"madeleine","w","madlen","franz&ouml;sisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","magdalena"
"magda","w","-","-","kurzform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","magdalena"
"magdalena","w","magdalen magda lena lene leni madeleine malina maggy","hebr&auml;isch-griechisch","aus magdala stammende"
"magnus","m","-","lateinisch","gro&szlig; angesehen"
"maike","w","maika meika meike","niederdeutsch-friesisch","koseform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","maria"
"maja","w","-","-","nach der griechischen g&ouml;ttin maja"
"malwin","m","melvin","althochdeutsch","mahal=gerichtsplatz; wini=freund"
"manfred","m","fred mani many","althochdeutsch","man=mann; fridu=friede"
"manja","w","mania manjana","slawisch","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","maria"
"manolito","m","-","spanisch","verkleinerungsform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","manolo"
"manolo","m","manolito","italienisch und spanisch","koseform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","emanuel"
"manuel","m","-","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","emanuel"
"manuela","w","manuella","italienisch und spanisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","emanuela"
"marcel","m","-","franz&ouml;sisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","marcellus"
"marcella","w","marcellina marcelin marcelina cellina","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","marcellus"
"marcellus","m","marzellus marcello marcellinus marcel","-","weiterbildung von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","markus"
"marco","m","marko","italienisch und spanisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","markus"
"mareike","w","-","-","koseform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","maria"
"marek","m","-","polnisch und tschechisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","markus"
"maren","w","mareen marene","friesisch","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","maria"
"margareta","w","margarete margarita margret margit margot marga greta","orientalisch-griechisch","die perle"
"maria","w","marei maja maika maike meika meike mary molly may maureen        marilyn mariemariele marion mia mariella marietta marinka        maschinka marika mariam","aram&auml;isch","die sch&ouml;ne"
"marie","w","-","deutsch","nebenform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","maria"
"marina","w","-","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","marinus"
"marinus","m","marin marino","lateinisch","von der see stammend"
"mario","m","mariolino","italienisch","form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","marius"
"marion","w","mariona marionna","franz&ouml;sisch","koseform zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","maria"
"marius","m","mario","lateinisch","vom altr&ouml;mischen geschlecht der marier stammend"
"mark","m","marc","-","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","markus"
"markus","m","marcus mark marc marko marco marek","lateinisch","sohn des kriegsgottes mars"
"martha","w","marta","hebr&auml;isch","herrin"
"martin","m","marti mertin mart martino marten","lateinisch","sohn des altr&ouml;mischen kriegsgottes mars"
"martina","w","martine","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","martin"
"marvin","m","marwin merwin","althochdt.-engl.","mari=ber&uuml;hmt; wini=freund"
"mathilde","w","mechthild mathilda matilde mafalda","althochdeutsch","mahti=macht kraft; hiltja=kampf"
"matthias","m","mattias matth&auml;us mattes mathew matty mathieu","hebr.-griech.","geschenk gottes"
"maura","w","maureen mairin","lateinisch","die mohrin"
"maurice","m","-","englisch und franz&ouml;sisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","mauritius"
"mauritius","m","moritz maurizio morris maurice","-","weiterbildung zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","maurus"
"maurus","m","mauritius","lateinisch","der mohr (maure)"
"max","m","-","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","maximilian"
"maximilian","m","max","lateinisch","der gr&ouml;&szlig;te und aus dem geschlecht der &auml;milier        stammend"
"mechthild","w","mathilde mechthilde mechtild","althochdeutsch","maht= macht kraft; hiltja=kampf"
"meinhard","m","maginhart meinert","althochdeutsch","magan=kraft; harti=stark"
"melanie","w","melania meline mela malenka","griechisch","die schwarze dunkle"
"melchior","m","-","hebr&auml;isch","melek=k&ouml;nig; or=licht"
"melina","w","meline","griechisch","von der insel melos"
"melitta","w","melissa","griechisch","die biene"
"menachem","m","-","j&uuml;disch-hebr&auml;isch","der tr&ouml;ter"
"michael","m","michel michele miguel mike michail","hebr&auml;isch","wer ist wie gott?"
"michaela","w","micaela michelle","-","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","michael"
"milva","w","-","italienisch","taubenfalke"
"minerva","w","-","griechisch-lateinisch","geist"
"minna","w","minne mine minette","althochdeutsch","liebe"
"mirabella","w","mirabell mirabelle mira mirella mireille","italienisch-lateinisch","mira=wunderbar bella=sch&ouml;n"
"mirjam","w","miriam maria","hebr&auml;isch-aram&auml;isch","? ? ?"
"monika","w","mona monica moni mone monique","lateinisch","ermahnen"
"moritz","m","moriz maurice morris","deutsch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","mauritius"
"muriel","w","meriel","englisch-irisch","muir=meer; geal=gl&auml;nzend"
"nadjeschda","w","nadja nadine nadinka nadia nadina nada","slawisch","hoffnung"
"naomi","w","noemi","hebr&auml;isch","die liebliche"
"napoleon","m","-","romanisch","tal- oder waldl&ouml;we"
"natalie","w","natalia nathalie","romanisch","geburtstag christi"
"nathan","m","natan nathanael","hebr&auml;isch","gott hat gegeben"
"nero","m","-","sabinisch-lateinisch","stark und streng"
"nico","m","-","-","kurzform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","nikolaus"
"nicole","w","nicolle nicoletta nikoletta nicolette nicoline nikoline","franz.","weibliche form zu"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","nikolaus"
"niels","m","-","-","kurz- und koseform f&uuml;r"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","nikolaus"
"nikodemus","m","nicodemo","griechisch","nike=sieg; demos=volk"
"nikolai","m","nikita","russisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","nikolaus"
"nikolaus","m","nicolaus nikolas niklas nikol nick niko nico klaus claus        nils nikolai","griechisch","nike=sieg; laos=volk"
"noah","m","-","hebr&auml;isch","der ruhe bringt"
"norbert","m","nordbert","germanisch","northo=kraft; beraht=gl&auml;nzend"
"norman","m","-","engl.-amerikan.","starker mann"
"odin","m","oden","nordisch","der rasende"
"odysseus","m","ulixes ulysses","griechisch","odyssesthai=z&uuml;rnen grollen"
"olaf","m","ole","schwedisch","ahnenspro&szlig;"
"olga","w","-","russisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","helga"
"oleg","m","helge helgo","russisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","helge"
"oliver","m","olivier oli","englisch-nordisch","? ? ?"
"olivia","w","-","-","weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","oliver"
"ophelia","w","-","griechisch","hilfe nutzen"
"orania","w","orane ornella","lateinisch","die oranierin"
"orlando","m","-","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","roland"
"ornella","w","-","itlaienisch","verkleinerungsform von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","orania"
"orsola","w","orla orsina orsine orsolya","italienisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","ursula"
"orson","m","-","englisch-amerikanisch","? ? ?"
"oskar","m","ansgar oscar","althochdeutsch","unter gottes schutz"
"oswald","m","answald","althochdeutsch","ans=gott; waltan=walten herrschen"
"otmar","m","othmar edmar","althochdeutsch","ot=erbgut besitz; mari=ber&uuml;hmt"
"ottilie","w","ottilia odilia","althochdeutsch","ot=erbgut besitz"
"otto","m","udo othello","althochdeutsch","ot=erbgut besitz"
"pablo","m","-","spanisch","form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","paul"
"palmira","w","-","-","weibliche form von"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","palmiro"
"palmiro","m","-","italienisch","von palmsonntag abgeleitet"
"paloma","w","-","spanisch","die taube"
"pamela","w","pamelina","englisch","? ? ?"
"pandora","w","-","griechisch","pan=alles; doron=geschenk"
"pankratz","m","pancratius","griechisch","allherrscher"
"paola","w","-","italienisch","form von"
