"bird","location","date","photo"
"pelagic cormorant","bodega bay ca","01/15/04","NULL"
"peregrine falcon","bodega bay ca","01/15/04","NULL"
"common loon","bodega bay ca","01/15/04","NULL"
"red-necked grebe","bodega bay ca","01/15/04","NULL"
"fox sparrow","muir woods ca","01/14/04","NULL"
"common goldeneye","bolinas lagoon ca","01/14/04","NULL"
"steller's jay","mt. tamalpais state park ca","01/14/04","NULL"
"chestnut-backed chickadee","mt. tamalpais state park ca","01/14/04","NULL"
"greater scaup","san francisco bay ca","01/14/04","NULL"
"black oystercatcher","ballona creek ca","01/13/04","NULL"
"wandering tattler","ballona creek ca","01/13/04","NULL"
"surfbird","ballona creek ca","01/13/04","NULL"
"redhead","patagonia lake state park az","01/12/04","NULL"
"harris's hawk","green valley az","01/12/04","NULL"
"white-winged dove","patagonia lake state park az","01/12/04","NULL"
"orange-crowned warbler","patagonia lake state park az","01/12/04","NULL"
"curve-billed thrasher","patagonia lake state park az","01/12/04","NULL"
"pyrrhuloxia","patagonia lake state park az","01/12/04","NULL"
"lark sparrow","tumacacori national historic park az","01/12/04","NULL"
"inca dove","patagonia lake state park az","01/12/04","NULL"
"ash-throated flycatcher","patagonia lake state park az","01/12/04","NULL"
"plumbeous vireo","tumacacori national historic park az","01/12/04","NULL"
"hepatic tanager","patagonia nature preserve az","01/11/04","NULL"
"gila woodpecker","patagonia nature preserve az","01/11/04","NULL"
"mexican jay","patagonia nature preserve az","01/11/04","NULL"
"chipping sparrow","patagonia nature preserve az","01/11/04","NULL"
"greater roadrunner","patagonia nature preserve az","01/11/04","NULL"
"common merganser","patagonia lake state park az","01/11/04","NULL"
"white-breasted nuthatch","patagonia nature preserve az","01/11/04","NULL"
"gray flycatcher","patagonia lake state park az","01/11/04","NULL"
"canyon towhee","patagonia nature preserve az","01/11/04","NULL"
"ladder-backed woodpecker","patagonia nature preserve az","01/11/04","NULL"
"bridled titmouse","patagonia nature preserve az","01/11/04","NULL"
"green-tailed towhee","patagonia nature preserve az","01/11/04","NULL"
"elegant trogon","patagonia lake state park az","01/11/04","NULL"
"rufous-backed robin","patagonia lake state park az","01/11/04","view"
"sage sparrow","lancaster ca","01/10/04","NULL"
"burrowing owl","lancaster ca","01/10/04","NULL"
"merlin","lancaster ca","01/10/04","NULL"
"long-eared owl","lancaster ca","01/10/04","view"
"golden eagle","lancaster ca","01/10/04","NULL"
"le conte's thrasher","lancaster ca","01/10/04","NULL"
"ferruginous hawk","lancaster ca","01/10/04","NULL"
"mountain bluebird","lancaster ca","01/10/04","NULL"
"mountain plover","lancaster ca","01/10/04","NULL"
"pileated woodpecker","creve coeur lake park mo","01/09/04","NULL"
"american goldfinch","creve coeur lake park mo","01/09/04","NULL"
"cooper's hawk","creve coeur lake park mo","01/09/04","NULL"
"carolina wren","creve coeur lake park mo","01/08/04","NULL"
"tufted titmouse","creve coeur lake park mo","01/08/04","NULL"
"blue jay","creve coeur lake park mo","01/08/04","NULL"
"eurasian tree sparrow","creve coeur lake park mo","01/08/04","NULL"
"red-bellied woodpecker","creve coeur lake park mo","01/08/04","NULL"
"white-throated sparrow","creve coeur lake park mo","01/08/04","NULL"
"northern cardinal","creve coeur lake park mo","01/08/04","NULL"
"downy woodpecker","creve coeur lake park mo","01/08/04","NULL"
"american tree sparrow","creve coeur lake park mo","01/08/04","NULL"
"black-capped chickadee","creve coeur lake park mo","01/08/04","NULL"
"dunlin","bolsa chica wildlife preserve ca","01/06/04","NULL"
"long-billed curlew","bolsa chica wildlife preserve ca","01/06/04","view"
"surf scoter","bolsa chica wildlife preserve ca","01/06/04","NULL"
"forster's tern","bolsa chica wildlife preserve ca","01/06/04","NULL"
"american avocet","bolsa chica wildlife preserve ca","01/06/04","NULL"
"western sandpiper","bolsa chica wildlife preserve ca","01/06/04","NULL"
"semipalmated plover","bolsa chica wildlife preserve ca","01/06/04","NULL"
"blue-winged teal","bolsa chica wildlife preserve ca","01/06/04","NULL"
"short-billed dowitcher","bolsa chica wildlife preserve ca","01/06/04","NULL"
"nuttall's woodpecker","malibu creek state park ca","01/05/04","NULL"
"phainopepla","malibu creek state park ca","01/05/04","NULL"
"western bluebird","malibu creek state park ca","01/05/04","NULL"
"sharp-shinned hawk","lincoln ave culver city ca","01/05/04","NULL"
"golden-crowned sparrow","malibu creek state park ca","01/05/04","NULL"
"acorn woodpecker","topanga state park ca","01/04/04","NULL"
"turkey vulture","topanga state park ca","01/04/04","NULL"
"eurasian wigeon","woodley golf course ca","01/04/04","view"
"red-shouldered hawk","topanga state park ca","01/04/04","NULL"
"wrentit","topanga state park ca","01/04/04","NULL"
"hooded merganser","woodley golf course ca","01/04/04","view"
"oak titmouse","topanga state park ca","01/04/04","NULL"
"canada goose","woodley golf course ca","01/04/04","NULL"
"bewick's wren","topanga state park ca","01/04/04","NULL"
"california thrasher","topanga state park ca","01/04/04","NULL"
"hutton's vireo","topanga state park ca","01/04/04","NULL"
"loggerhead shrike","lancaster ca","01/03/04","NULL"
"mountain chickadee","mill creek summit station ca","01/03/04","NULL"
"killdeer","lancaster ca","01/03/04","NULL"
"northern harrier","lancaster ca","01/03/04","NULL"
"verdin","lancaster ca","01/03/04","NULL"
"horned lark","lancaster ca","01/03/04","NULL"
"savannah sparrow","lancaster ca","01/03/04","NULL"
"prairie falcon","lancaster ca","01/03/04","NULL"
"common raven","lancaster ca","01/03/04","NULL"
"california quail","lancaster ca","01/03/04","NULL"
"dark-eyed junco","hansen dam ca","01/03/04","NULL"
"cactus wren","lancaster ca","01/03/04","NULL"
"northern shoveler","ballona fresh water marsh ca","01/02/04","NULL"
"common snipe","ballona fresh water marsh ca","01/02/04","NULL"
"black-necked stilt","ballona fresh water marsh ca","01/02/04","NULL"
"great-tailed grackle","ballona fresh water marsh ca","01/02/04","NULL"
"mourning dove","culver city park ca","01/01/04","NULL"
"great blue heron","ballona creek ca","01/01/04","NULL"
"green heron","ballona fresh water marsh ca","01/01/04","NULL"
"lesser goldfinch","culver city park ca","01/01/04","NULL"
"lesser scaup","playa del rey lagoon ca","01/01/04","NULL"
"green-winged teal","ballona creek ca","01/01/04","NULL"
"black turnstone","ballona creek ca","01/01/04","NULL"
"sanderling","ballona creek ca","01/01/04","NULL"
"black phoebe","culver city park ca","01/01/04","NULL"
"double-crested cormorant","ballona creek ca","01/01/04","NULL"
"willet","ballona creek ca","01/01/04","NULL"
"eared grebe","ballona creek ca","01/01/04","NULL"
"belted kingfisher","ballona creek ca","01/01/04","NULL"
"least sandpiper","ballona creek ca","01/01/04","NULL"
"anna's hummingbird","culver city park ca","01/01/04","NULL"
"ruddy duck","ballona fresh water marsh ca","01/01/04","NULL"
"american crow","culver city park ca","01/01/04","NULL"
"american coot","ballona creek ca","01/01/04","NULL"
"ruddy turnstone","ballona creek ca","01/01/04","NULL"
"red-winged blackbird","ballona fresh water marsh ca","01/01/04","NULL"
"red-tailed hawk","culver city park ca","01/01/04","NULL"
"marbled godwit","playa del rey lagoon ca","01/01/04","NULL"
"yellow-rumped warbler","culver city park ca","01/01/04","NULL"
"allen's hummingbird","culver city park ca","01/01/04","NULL"
"red-breasted merganser","ballona creek ca","01/01/04","NULL"
"ring-billed gull","ballona creek ca","01/01/04","NULL"
"ring-necked duck","ballona fresh water marsh ca","01/01/04","NULL"
"american wigeon","ballona creek ca","01/01/04","NULL"
"ruby-crowned kinglet","culver city park ca","01/01/04","NULL"
"european starling","culver city park ca","01/01/04","NULL"
"gadwall","ballona creek ca","01/01/04","NULL"
"american robin","culver city park ca","01/01/04","NULL"
"greater yellowlegs","ballona creek ca","01/01/04","NULL"
"rock dove","culver city park ca","01/01/04","NULL"
"american kestrel","culver city park ca","01/01/04","NULL"
"great egret","ballona creek ca","01/01/04","NULL"
"northern flicker","culver city park ca","01/01/04","NULL"
"blue-gray gnatcatcher","culver city park ca","01/01/04","NULL"
"western gull","ballona creek ca","01/01/04","NULL"
"western grebe","dockweiler beach ca","01/01/04","NULL"
"sora","ballona fresh water marsh ca","01/01/04","NULL"
"horned grebe","ballona creek ca","01/01/04","NULL"
"cedar waxwing","culver city park ca","01/01/04","NULL"
"bonaparte's gull","ballona creek ca","01/01/04","NULL"
"spotted towhee","culver city park ca","01/01/04","NULL"
"cassin's kingbird","culver city park ca","01/01/04","NULL"
"snowy plover","dockweiler beach ca","01/01/04","NULL"
"california towhee","culver city park ca","01/01/04","NULL"
"brewer's blackbird","playa del rey lagoon ca","01/01/04","NULL"
"california gull","ballona creek ca","01/01/04","NULL"
"house sparrow","culver city park ca","01/01/04","NULL"
"bushtit","culver city park ca","01/01/04","NULL"
"house wren","culver city park ca","01/01/04","NULL"
"bufflehead","ballona creek ca","01/01/04","NULL"
"western meadowlark","culver city park ca","01/01/04","NULL"
"cinnamon teal","ballona fresh water marsh ca","01/01/04","NULL"
"song sparrow","culver city park ca","01/01/04","NULL"
"white-throated swift","ballona fresh water marsh ca","01/01/04","NULL"
"mallard","ballona creek ca","01/01/04","NULL"
"house finch","culver city park ca","01/01/04","NULL"
"white-tailed kite","ballona fresh water marsh ca","01/01/04","NULL"
"northern mockingbird","culver city park ca","01/01/04","NULL"
"black-bellied plover","ballona creek ca","01/01/04","NULL"
"say's phoebe","culver city park ca","01/01/04","NULL"
"northern pintail","ballona fresh water marsh ca","01/01/04","NULL"
"heermann's gull","ballona creek ca","01/01/04","NULL"
"white-crowned sparrow","culver city park ca","01/01/04","NULL"
"common yellowthroat","culver city park ca","01/01/04","NULL"
"hermit thrush","culver city park ca","01/01/04","NULL"
"common moorhen","ballona fresh water marsh ca","01/01/04","NULL"
"whimbrel","ballona creek ca","01/01/04","NULL"
"pied-billed grebe","ballona fresh water marsh ca","01/01/04","NULL"
"snowy egret","ballona creek ca","01/01/04","NULL"
"western scrub-jay","culver city park ca","01/01/04","NULL"
"brown pelican","ballona creek ca","01/01/04","NULL"
