" ","abundancee","bo","bp","cb","di","ep","ff","hnb","mp","ph","qw","sw","tw","tt","ty","wl"
"yellow-breasted chat","uw"," "," "," "," ","x"," "," "," "," "," ","x"," "," "," "," "
"hooded warbler","uw"," "," "," "," ","x"," "," "," ","x"," ","x"," "," "," "," "
"wilson's warbler","um"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
"canada warbler","um"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
"american redstart","cm"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"weavers"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"house sparrow","cr"," "," "," ","x","x","x"," ","x","x","x","x","x","x","x","x"
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"blackbirds and allies"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"bobolink","cm"," "," "," "," ","x"," "," ","x"," "," "," "," "," "," "," "
"eastern meadowlark","cr"," "," "," "," "," "," "," ","x","x"," "," ","x","x"," "," "
"yellow-headed blackbird","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"red-winged blackbird","cr"," "," ","x","x","x","x"," ","x","x","x","x","x","x"," ","x"
"orchard oriole","um"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"spot-breasted oriole","cr"," "," "," "," ","x","x"," "," ","x"," ","x","x"," ","sp","cr"
"baltimore oriole","cw"," "," "," "," ","x"," "," "," ","x"," ","x"," "," "," "," "
"boat-tailed grackle","cr"," ","x","x","x","x","x","x","x","x","x","x","x","x","x"," "
"common grackle","cr ranches park"," ","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"shiny cowbird","ro"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"bronzed cowbird","ro"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"brown-headed cowbird","uw"," "," "," "," "," "," "," ","x","x"," "," "," "," "," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"tanagers"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"bananaquit","ro"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"western spindalis","ro"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
"western tanager","rm"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
"scarlet tanager","um"," "," "," "," ","x","x"," "," "," "," ","x","x"," "," "," "
"summer tanager","rs"," "," "," "," ","x","x"," "," ","x"," ","x"," ","x"," "," "
" "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"finches and allies"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"northern cardinal","cr"," ","x"," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"rose-breasted grosbeak","cm"," "," "," ","x","x"," "," "," ","x"," ","x"," "," "," "," "
"blue grosbeak","um"," "," "," "," ","x"," "," "," "," "," "," "," "," "," "," "
"indigo bunting","cw"," "," "," "," ","x","x"," "," ","x"," ","x","x","x"," "," "
"painted bunting","cw"," "," "," "," ","x","x"," "," ","x"," ","x","x","x"," "," "
"dickcissel","rm"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"american goldfinch","cw"," "," "," ","x","x","x"," ","x","x","x","x","x","x"," ","x"
"eastern towhee","ur"," "," "," "," ","x"," "," ","x","x"," "," ","x","x"," "," "
"savannah sparrow","cw"," "," "," "," ","x","x"," ","x","x"," "," "," "," "," "," "
"grasshopper sparrow","ur"," "," "," "," "," ","x"," ","x","x"," "," "," "," "," "," "
"saltmarsh sharp-tailed sparrow","cw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"seaside sparrow","rr"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"vesper sparrow","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"lark sparrow","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"bachman's sparrow","ur"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"chipping sparrow","rw"," "," "," "," "," "," "," ","x"," "," "," "," "," "," "," "
"clay-colored sparrow","ro"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"field sparrow","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"lincoln's sparrow","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"swamp sparrow","cr"," "," "," "," ","x"," "," ","x"," "," "," "," "," "," "," "
"{song sparrow| }","rw"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"java sparrow"," "," "," "," "," "," "," "," "," ","x"," "," "," "," "," "," "
