"red-breasted nuthatch","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"brown creeper","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"house wren","x","x","20","x","x","x","x","8","x","x","20","x","x","x","x","&nbsp;","NULL"
"carolina wren","x","6","x","x","x","x","x","9","x","1","2","x","x","x","x","&nbsp;","NULL"
"long-billed marsh wren","x","x","4","x","x","x","x","2","1","&nbsp;","12","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","NULL"
"short-billed marsh         wren","4","x","6","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"mockingbird","x","x","8","1","1","&nbsp;","x","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","NULL"
"catbird","x","x","10","x","x","x","x","15","x","x","30","x","x","x","x","&nbsp;","NULL"
"brown thrasher","x","x","10","x","x","x","x","8","x","2","10","x","x","x","x","&nbsp;","NULL"
"robin","x","x","100","x","x","x","x","60","x","x","200","x","x","x","x","x","NULL"
"wood thrush","x","x","20","x","x","x","x","25","x","x","25","x","x","x","x","&nbsp;","NULL"
"hermit thrush","&nbsp;","&nbsp;","1","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","2","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"olive-backed thrush","3","2","&nbsp;","x","1","1","&nbsp;","1","&nbsp;","1","15","x","x","x","x","&nbsp;","NULL"
"gray-cheeked thrush","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","5","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","NULL"
"veery","5","x","&nbsp;","x","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","2","5","&nbsp;","x","&nbsp;","x","&nbsp;","NULL"
"bluebird","x","x","10","x","x","&nbsp;","x","6","1","1","1","x","&nbsp;","x","x","&nbsp;","NULL"
"blue-gray gnatcatcher","x","x","10","x","x","&nbsp;","2","x","2","&nbsp;","1","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;","NULL"
"golden-crowned kinglet","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"ruby-crowned kinglet","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"pipit","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","1","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"cedar waxwing","&nbsp;","5","15","x","&nbsp;","4","&nbsp;","5","1","8","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","NULL"
"migrant shrike","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"starling","x","x","x","x","x","x","x","100","x","x","200","x","x","x","x","x","NULL"
"white-eyed vireo","15","x","10","x","x","5","x","15","12","x","10","x","x","x","x","&nbsp;","NULL"
"yellow-throated vireo","3","x","8","x","x","1","x","3","4","10","3","x","2","x","&nbsp;","&nbsp;","NULL"
"blue-headed vireo","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","1","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"red-eyed vireo","20","x","15","x","x","x","x","30","x","x","30","x","x","x","x","&nbsp;","NULL"
"warbling vireo","&nbsp;","1","3","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","x","1","&nbsp;","&nbsp;","&nbsp;","NULL"
"black and white warbler","8","x","15","x","x","6","x","5","15","x","x","10","x","x","x","&nbsp;","NULL"
"prothonotary warbler","6","x","10","&nbsp;","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","1","&nbsp;","x","x","&nbsp;","&nbsp;","&nbsp;","NULL"
"worm-eating warbler","2","1","1","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"golden-winged warbler","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","NULL"
"blue-winged warbler","1","1","&nbsp;","x","&nbsp;","2","&nbsp;","3","&nbsp;","10","1","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","NULL"
"tennessee warbler","&nbsp;","2","&nbsp;","x","3","&nbsp;","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"nashville warbler","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","1","x","1","&nbsp;","&nbsp;","&nbsp;","NULL"
"parula warbler","20","x","15","x","x","12","x","12","2","10","25","x","x","x","&nbsp;","&nbsp;","NULL"
"myrtle warbler","130","x","4","x","x","x","x","30","8","x","100","x","x","x","x","&nbsp;","NULL"
"yellow warbler","5","x","5","x","x","x","x","30","x","4","100","x","x","x","&nbsp;","&nbsp;","NULL"
"magnolia warbler","&nbsp;","&nbsp;","1","x","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","6","5","x","1","&nbsp;","&nbsp;","&nbsp;","NULL"
"cape may warbler","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"black-throated blue         warbler","2","2","1","x","x","2","&nbsp;","8","3","4","5","x","x","x","&nbsp;","&nbsp;","NULL"
"black-throated greeen         warbler","15","5","1","x","x","2","x","&nbsp;","2","8","5","x","x","x","&nbsp;","&nbsp;","NULL"
"cerulean warbler","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;","&nbsp;","NULL"
"blackburnian warbler","&nbsp;","&nbsp;","&nbsp;","x","1","2","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","x","1","x","&nbsp;","&nbsp;","NULL"
"yellow-throated warbler","4","x","3","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"chestnut-sided warbler","2","&nbsp;","&nbsp;","x","x","6","&nbsp;","3","&nbsp;","x","20","x","x","x","x","&nbsp;","NULL"
"bay-breasted warbler","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","x","x","&nbsp;","&nbsp;","&nbsp;","NULL"
"blackpoll warbler","10","x","4","x","x","8","x","15","6","2","20","x","x","x","&nbsp;","&nbsp;","NULL"
"pine warbler","2","x","20","&nbsp;","1","4","x","4","6","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"prairie warbler","15","x","25","x","x","12","x","11","1","2","10","&nbsp;","1","x","&nbsp;","&nbsp;","NULL"
"palm warbler","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"ovenbird","x","x","5","x","x","4","x","15","x","x","30","x","x","x","x","&nbsp;","NULL"
"northern waterthrush","2","x","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","3","1","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","NULL"
"louisiana waterthrush","x","2","8","x","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","x","x","&nbsp;","&nbsp;","&nbsp;","NULL"
"kentucky warbler","6","x","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","1","15","15","x","x","&nbsp;","&nbsp;","&nbsp;","NULL"
"mourning warbler","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"yellow-throat","x","x","35","x","x","x","x","20","x","x","30","x","x","x","x","&nbsp;","NULL"
"yellow-breasted chat","x","x","10","x","x","4","x","6","6","x","8","x","x","x","x","&nbsp;","NULL"
"hooded warbler","10","x","8","&nbsp;","x","3","x","7","10","1","&nbsp;","&nbsp;","1","x","&nbsp;","&nbsp;","NULL"
"wilson's warbler","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"canada warbler","1","&nbsp;","&nbsp;","x","1","1","x","1","&nbsp;","&nbsp;","11","x","x","x","&nbsp;","&nbsp;","NULL"
"redstart","13","x","10","x","x","20","x","30","15","6","20","x","x","x","x","&nbsp;","NULL"
"english sparrow","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","NULL"
"bobolink","10","10","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","2","10","2","&nbsp;","&nbsp;","x","&nbsp;","x","&nbsp;","NULL"
"meadowlark","x","x","20","x","x","x","x","25","x","x","10","x","x","x","x","&nbsp;","NULL"
"red-wing","x","x","500","x","x","x","200","x","x","x","100","x","x","x","x","&nbsp;","NULL"
"orchard oriole","3","4","2","x","1","&nbsp;","x","3","1","2","&nbsp;","&nbsp;","1","x","&nbsp;","&nbsp;","NULL"
"baltimore oriole","2","&nbsp;","5","x","x","6","x","1","4","x","10","x","x","x","x","&nbsp;","NULL"
"rusty blackbird","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"boat-tailed grackle","120","10","15","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"purple grackle","x","x","130","x","x","x","x","75","x","x","50","x","x","x","x","&nbsp;","NULL"
"cowbird","x","x","15","x","x","x","x","35","x","x","75","x","x","x","x","&nbsp;","NULL"
"scarlet tanager","8","x","10","x","x","6","x","8","6","25","20","x","x","x","&nbsp;","&nbsp;","NULL"
"cardinal","x","x","20","x","x","x","x","25","x","x","15","x","x","x","x","&nbsp;","NULL"
"rose-breasted grosbeak","1","&nbsp;","&nbsp;","&nbsp;","15","6","x","3","&nbsp;","6","5","x","x","x","&nbsp;","&nbsp;","NULL"
"blue grosbeak","&nbsp;","1","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"evening grosbeak","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"indigo bunting","x","x","8","x","x","2","x","7","8","x","20","x","x","x","x","x","NULL"
"purple finch","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","1","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","NULL"
"goldfinch","x","x","15","x","x","x","x","15","12","x","30","x","x","x","x","&nbsp;","NULL"
"towhead","x","x","40","x","x","x","x","25","x","x","20","x","x","x","x","&nbsp;","NULL"
"savannah sparrow","x","5","2","x","1","1","x","8","&nbsp;","1","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","NULL"
"grasshopper sparrow","2","2","4","x","x","6","x","6","1","6","&nbsp;","x","1","x","&nbsp;","&nbsp;","NULL"
"henslow's sparrow","5","15","2","&nbsp;","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"sharp-tailed sparrow","2","&nbsp;","6","&nbsp;","&nbsp;","4","x","5","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"seaside sparrow","4","10","3","&nbsp;","x","20","x","3","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"vesper sparrow","1","2","2","&nbsp;","x","2","2","7","1","20","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"chipping sparrow","x","x","30","x","x","x","x","10","4","x","20","x","x","x","x","&nbsp;","NULL"
"field sparrow","x","x","30","x","x","x","x","8","x","x","30","x","x","x","x","&nbsp;","NULL"
"white-crowned sparrow","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"white-throated sparrow","x","x","25","x","x","x","&nbsp;","3","15","x","80","x","x","x","x","&nbsp;","NULL"
"swamp sparrow","x","25","10","x","x","x","x","10","x","8","20","&nbsp;","&nbsp;","x","x","&nbsp;","NULL"
"song sparrow","x","x","130","x","x","x","x","26","x","x","130","x","x","x","x","&nbsp;","NULL"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"additional species:","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NULL","#1","#2","#3","#4","#5","#6","#7","#8","#9","#10","#11","#12","#13","#14","#15","#16","NULL"
"red head","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"canvasback","3","2","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"swainson's warbler","2","2","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"gull billed tern","4","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"royal tern","2","1","4","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"summer tanager","3","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"junco","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","NULL"
"orange-crowned warbler","&nbsp;","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"baird's sparrow","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","2","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"pine siskin","4","2","&nbsp;","x","1","100","&nbsp;","5","&nbsp;","&nbsp;","18","&nbsp;","&nbsp;","x","&nbsp;","&nbsp;","NULL"
"lincoln sparrow","&nbsp;","&nbsp;","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"hooded merganser","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","3","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","NULL"
"total:","178","136","143","142","141","140","130","125","106","106","104","90","88","83","62","4","NULL"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NULL","NULL","NULL","NULL","NULL","NULL","total species:","total species:","total species:","total species:","total species:","NULL","230","NULL","NULL","NULL","NULL","NULL"
"NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
