"&nbsp;","species","scientific       name","days       /17","high       count","total       count"
"453","olive-backed       euphonia","euphonia       gouldi","5","3","13"
"454","white-vented       euphonia","euphonia       minuta","1","2","2"
"455","tawny-capped       euphonia","euphonia       anneae","2","1","2"
"456","golden-browed       chlorophonia","chlorophonia       callophrys","2","2","4"
"457","plain-coloured       tanager","tangara       inornata","1","1","1"
"458","emerald       tanager","tangara florida","3","3","6"
"459","silver-throated       tanager","tangara       icterocephala","9","50","93"
"460","speckled       tanager","tangara       guttata","2","6","9"
"461","bay-headed       tanager","tangara       gyrola","5","6","16"
"462","golden-hooded       tanager","tangara       larvata","10","6","28"
"463","spangle-cheeked       tanager","tangara       dowii","1","30","30"
"464","scarlet-thighed       dacnis","dacnis       venusta","1","1","1"
"465","blue       dacnis","dacnis       cayana","2","1","2"
"466","green       honeycreeper","chlorophanes       spiza","4","12","18"
"467","shining       honeycreeper","cyanerpes       lucidus","2","4","5"
"468","red-legged       honeycreeper","cyanerpes       cyaneus","4","8","19"
"469","blue-black       grassquit","volatinia       jacarina","11","c","c"
"470","variable       seedeater","sporophila       aurita","9","c","c"
"471","white-collared       seedeater","sporophila       torqueola","4","4","9"
"472","yellow-bellied       seedeater","sporophila       nigricollis","1","20","20"
"473","ruddy-breasted       seedeater","sporophila       minuta","1","1","1"
"474","nicaraguan       seed-finch","oryzoborus       nuttingi","1","25","25"
"475","thick-billed       seed-finch","oryzoborus       funereus","4","2","6"
"476","yellow-faced       grassquit","tiaris       olivacea","5","8","20"
"477","slaty       flowerpiercer","diglossa       plumbea","2","4","7"
"478","sooty-faced       finch","lysurus       crassirostris","1","1","1"
"479","yellow-thighed       finch","pselliophorus       tibialis","2","4","7"
"480","large-footed       finch","pezopetes       capitalis","2","6","10"
"481","chestnut-capped       brush-finch","atlapetes       brunneinucha","1","2","2"
"482","orange-billed       sparrow","arremmon       aurantiirostris","6","2","10"
"483","olive       sparrow","arremon       rufivirgatus","1","2","2"
"484","black-striped       sparrow","arremonops       conirostris","7","6","19"
"485","prevost�s       ground-sparrow","melozone       biarcuatum","1","1","1"
"486","white-eared       ground-sparrow","melozone       leucotis","1","3","3"
"487","stripe-headed       sparrow","aimophila       ruficauda","3","3","6"
"488","rufous-collared       sparrow","zonothrichia       capensis","7","c","c"
"489","volcano       junco","junco       vulcani","1","4","4"
"490","streaked       saltator","saltator       striatipectus","2","1","2"
"491","greyish       saltator","saltator       coerulescens","1","3","3"
"492","buff-throated       saltator","saltator       maximus","11","c","c"
"493","black-headed       saltator","saltator       atriceps&nbsp;","1","3","3"
"494","black-faced       grosbeak","caryothraustes       poliogaster","3","20","40"
"495","rose-breasted       grosbeak","pheuticus       ludovicanus","5","8","16"
"496","blue-black       grosbeak","cyanocompsa       cyanoides","2","1","2"
"497","indigo       bunting","passerina       cyanea","1","1","1"
"498","painted       bunting","passerina       ciris","1","2","2"
"499","red-winged       blackbird","agelaius       phoeniceus","4","15","18"
"500","red-breasted       blackbird","sturnella       militaris","4","15","24"
"501","eastern       meadowlark","sturnella       magna","2","5","7"
"502","melodious       blackbird","dives       dives","1","10","10"
"503","great-tailed       grackle","quiscalus       mexicanus","16","c","c"
"504","bronzed       cowbird","molothrus       aeneus","6","100","155"
"505","giant       cowbird","scaphidura       oryzivora","1","1","1"
"506","yellow-tailed       oriole","icterus       mesomelas","1","1","1"
"507","spot-breasted       oriole","icterus       pectoralis","1","3","3"
"508","streak-backed       oriole","icterus       pustulatus","1","4","4"
"509","baltimore       oriole","icterus       galbula","16","c","c"
"510","black-cowled       oriole","icterus       prosthemelas","2","2","3"
"511","yellow-billed       cacique","amblycercus       holosericeus","1","2","2"
"512","crested       oropendola","psarocolius       decumanus","2","4","5"
"513","chestnut-headed       oropendola","psarocolius       wagleri","1","1","1"
"514","montezuma       oropendola","psarocolius       montezuma","7","c","c"
