"tree  number","botanical name","afrikaanse naam","english name","origin"
"x125","livistona saribus","oos-indiese koolpalm","east indian cabbage palm","indon"
"x606","lovoa swynnertonii","bastersapele","false sapele","trop afr"
"x354","macadamia integrifolia","makadamianeut","macadamia nut","aust"
"x329","maclura pomifera","indiaanse soetlemoen","osage orange","n amer"
"x680","maesopsis eminii","basterbruinivoor","false brown ivory","trop afr"
"x376","magnolia acuminata","komkommermagnolia","cucumber magnolia","n amer"
"x377","magnolia campbellii","indiese magnolia","indian magnolia","india"
"x378","magnolia delavayi","chinese immergroen magnolia","chinese evergreen magnolia","china"
"x379","magnolia grandiflora","louriermagnolia","laurel magnolia","n amer"
"x380","magnolia heptapeta","joelanmagnolia","yulan magnolia","china"
"x381","magnolia hypoleuca","silwermagnolia","silver magnolia","japan"
"x382","magnolia kobus","kobusmagnolia","kobus magnolia","japan"
"x383","magnolia macrophylla","grootblaarmagnolia","large-leaved magnolia","n amer"
"x384","magnolia salicifolia","smalblaarmagnolia","narrow-leaved magnolia","japan"
"x385","magnolia sargentiana","roosmagnolia","rose magnolia","china"
"x387","magnolia stellata","stermagnolia","star magnolia","japan"
"x388","magnolia tripetala","sambreelmagnolia","umbrella magnolia","n amer"
"x386","magnolia x soulangiana","persmagnolia","purple magnolia","china"
"x435","malus floribunda","japanse blomappel","japanese crabapple","japan"
"x436","malus halliana","hall-se-blomappel","hall's crabapple","japan china"
"x437","malus hupehensis","himalajablomappel","himalayan crabapple","himal"
"x438","malus ioensis","wildeblomappel","wild crabapple","n amer"
"x439","malus spectabilis","chinese blomappel","chinese crabapple","china"
"x440","malus sylvestris","gewone appel","common apple","eur asia"
"x632","mangifera indica","mango","mango","india mal"
"x620","manihot dulcis","soetkassawe","sweet cassava","s amer"
"x621","manihot esculenta","bitter kassawe","bitter cassava","braz"
"x656","maytenus boaria","maytenboom","mayten tree","chile"
"x857","melaleuca armillaris","armbandheuningmirt","bracelet honey myrtle","aust"
"x858","melaleuca ericifolia","heidemirt","heath myrtle","aust"
"x860","melaleuca linariifolia","vlasblaarmirt","flax-leaved myrtle","aust"
"x861","melaleuca nesophila","teemirt","tea myrtle","aust"
"x859","melaleuca quinquenervia","kajapoetboom","cajeput tree","aust mal"
"x862","melaleuca styphelioides","papierbasmirt","paperbark myrtle","aust"
"x604","melia azedarach","maksering","seringa","asia"
"x873","meryta sinclairii","poeka","puka","n.z"
"x67","metasequoia glyptostroboides","oerrooihout","dawn redwood","china"
"x788","metrosideros excelsus","nieu-seelandse perdestert","new zealand bottlebrush","n.z"
"x390","michelia champaca","laventelmagnolia","champac magnolia","himal"
"x391","michelia doltsopa","geurmagnolia","fragrant magnolia","china himal"
"x392","michelia figo","piesangmagnolia","banana magnolia","china"
"x405","moringa pterygosperma","peperwortelboom","horse-radish tree","india"
"x326","morus alba","witmoerbei","white mulberry","china"
"x327","morus nigra","swartmoerbei","black mulberry","w.asia"
"x580","murraya paniculata","oranjejasmyn","orange jessamine","se.asia"
"x242","musa x paradisiaca","egte piesang","real banana","india"
"x990","myoporum laetum","nieu-seelandse manatoka","new zealand manatoka","n.z"
"x991","myoporum serratum","manatoka","manatoka","aust"
"x172","neodypsis decaryi","bruinbamboespalm","brown bamboo palm","madag"
"x870","neopanax arboreus","nieu-seelandse kiepersol","new zealand cabbage tree","n.z"
"x871","neopanax laetus","rooiaarkiepersol","red-ribbed cabbage tree","n.z"
"x942","nerium oleander","selonsroos","oleander","medit asia"
"x967","nicotiana glauca","wildetabak","wild tabacco","bol arg"
"x285","nothofagus antarctica","chileense beuk","chilean beech","chile arg"
"x286","nothofagus cunninghamii","tasmanbeuk","tasmanian beech","aust"
"x287","nothofagus fusca","nieu-seelandse beuk","new zealand beech","n.z"
"x288","nothofagus obliqua","robelbeuk","roble beech","chile arg"
"x289","nothofagus procera","basterbeuk","false beech","chile arg"
"x290","nothofagus solandri","swartbeuk","black beech","n.z"
"x881","nyssa sylvatica","tupeloboom","tupelo tree","n amer"
"x189","oenocarpus distichus","brasiliaanse veerpalm","brazilian feather palm","braz"
"x923","olea europaea","olyfboom","olive","medit"
"x187","opsiandra maya","majapalm","maya palm","c.amer"
"x759","opuntia ficus-indica","boereturksvy","sweet prickly pear","s amer"
"x760","opuntia imbricata","kabelturksvy","chain-link cactus","c amer"
"x761","opuntia vulgaris","suurturksvy","sour prickly pear","braz arg"
"x211","orbignya cohune","kohoenoliepalm","cohune palm","c.amer"
"x357","oreocallis pinnata","varingblaar boom-waratah","fern-leaved tree waratah","aust"
"x897","oxydendrum arboreum","suringboom","sorrel tree","n amer"
"x716","pachira aquatica","waterkastaiing","water chestnut","c amer"
"x717","pachira insignis","basterkastaiing","false chestnut","braz"
"x102","pandanus utilis","gewone skroefpalm","common screw-pine","madag."
"x542","parkinsonia aculeata","mexikaanse groenhaarboom","jerusalem thorn","trop amer"
"x417","parrotia persica","persiese towerhaselaar","persian witch-hazel","iran"
"x969","paulownia tomentosa","keiserinboom","empress tree","china"
"x549","peltophorum pterocarpum","maleise huilboom","malayan weeping wattle","mal. aust"
"x397","persea americana","avokadopeer","avocado pear","trop amer"
"x105","phoenix canariensis","kanariese dadelboom","canary date palm","can.is"
"x106","phoenix dactylifera","egte dadelboom","real date palm","w. asia"
"x107","phoenix paludosa","moerasdadelboom","swamp date palm","india"
"x109","phoenix roebelenii","dwergdadelboom","dwarf date palm","laos"
"x110","phoenix rupicola","oos-indiese wynpalm","east indian wine palm","india"
"x111","phoenix sylvestris","indiese dadelboom","indian date palm","india"
"x450","photinia serrulata","chinese haagdoring","chinese hawthorn","china"
"x230","phytelephas macrocarpa","ivoorpalm","ivory palm","c.amer"
"x372","phytolacca dioica","bobbejaandruifboom","belhambra","s.amer"
"x51","picea abies","fynspar","norway spruce","eur."
"x52","picea glauca","witspar","white spruce","n.amer"
"x53","picea omorika","serwiese spar","serbian spruce","eur."
"x54","picea orientalis","oosterse spar","oriental spruce","asia"
"x55","picea pungens","koloradospar","colorado spruce","n.amer"
"x56","picea smithiana","himalajaspar","himalayan spruce","himal"
"x23","pinus attenuata","knoppieske&euml;lden","knobcone pine","n.amer"
"x24","pinus canariensis","kanariese den","canary pine","can.is"
"x25","pinus caribaea","karibiese den","carribean pine","w. ind. c.amer."
"x26","pinus cembroides","mexikaanse steenden","mexican stone pine","mex"
"x27","pinus contorta","strandden","shore pine","n.amer"
"x28","pinus densiflora","japanse den","japanese pine","japan"
"x29","pinus elliottii","basden","slash pine","n.amer"
"x30","pinus engelmannii","apacheden","apache pine","ariz. mex"
"x31","pinus halepensis","aleppoden","aleppo pine","medit"
"x32","pinus michoacana","michoacaden","michoacan pine","mex"
"x33","pinus montezumae","montezumaden","montezuma pine","mex"
"x34","pinus palustris","langblaarden","longleaf pine","n.amer"
"x35","pinus patula","treurden","patula pine","mex"
"x36","pinus pinaster","trosden","cluster pine","medit"
"x37","pinus pinea","sambreelden","umbrella pine","medit"
"x38","pinus pseudostrobus","basterweymouthden","false weymouth pine","mex"
"x39","pinus radiata","radiataden","radiata pine","n.amer"
"x40","pinus roxburghii","tjirden","chir pine","himal"
"x41","pinus sabiniana","delwerden","digger pine","calif"
"x42","pinus taeda","loblollyden","loblolly pine","n.amer"
"x43","pinus thunbergii","japanse swartden","japanese black pine","japan"
"x635","pistacia chinensis","chinese pimperneut","chinese pistachio","china"
"x636","pistacia vera","egte pimperneut","real pistachio","asia"
"x478","pithecellobium grandiflorum","kantblommeboom","lace-flower tree","aust"
"x407","pittosporum crassifolium","styweblaarkasuur","stiff-leaved cheesewood","n.z"
"x408","pittosporum eugenioides","taratakasuur","tarata cheeswood","n.z"
"x409","pittosporum phillyraeoides","wilgerkasuur","willow cheeswood","aust"
"x410","pittosporum rhombifolium","queenslandse kasuur","queensland cheesewood","aust"
"x411","pittosporum tenuifolium","gevlekte kasuur","spot-leaved cheesewood","n.z"
"x412","pittosporum tobira","japanse kasuur","japenese cheesewood","japan china"
"x413","pittosporum undulatum","australiese kasuur","australian cheesewood","aust"
"x420","platanus occidentalis","amerikaanse plataan","american plane","n amer"
"x421","platanus orientalis","oosterse plataan","oriental plane","eur w asia"
"x422","platanus racemosa","kaliforniese plataan","californian plane","calif"
"x423","platanus wrightii","arizonaplataan","arizona plane","ariz mex"
"x419","platanus x acerifolia","gewone plataan","london plane","eur"
"x83","platycladus orientalis","chinese lewensboom","chinese arborvitae","china korea"
"x939","plumeria alba","witfrangipani","white frangipani","c amer"
"x940","plumeria rubra","rooifrangipani","red frangipani","c amer"
"x6","podocarpus andinus","chileense geelhout","chilean yellowwood","chile"
"x7","podocarpus dacrydioides","kahikageelhout","kahika yellowwood","n.z"
"x8","podocarpus ferrugineus","mirogeelhout","miro yellowwood","n.z"
"x9","podocarpus gracilior","oos-afrikaanse geelhout","east african yellowwood","e.afr"
"x10","podocarpus macrophyllus","japanse geelhout","japanese yellowwood","japan"
"x11","podocarpus totara","totarageelhout","totara yellowwood","n.z"
"x249","populus alba","witpopulier","white poplar","eur asia"
"x250","populus canescens","vaalpopulier","grey poplar","eur asia"
"x251","populus deltoides","vuurhoutjiepopulier","match poplar","n amer"
"x252","populus lasiocarpa","chinese populier","chinese poplar","china"
"x253","populus nigra","italiaanse populier","lombardy poplar","eur asia"
"x255","populus tremuloides","amerikaanse esp","american aspen","n amer"
"x256","populus wislizenii","valleipopulier","valley match poplar","n amer"
"x254","populus x canadensis","hibriedvuurhoutjiepopulier","hybrid match poplar","n amer"
"x127","pritchardia pacifica","fidjiwaaierpalm","fiji fan palm","fiji is"
"x503","prosopis glandulosa","suidwesdoring","mesquite","tex mex"
"x504","prosopis pubescens","skroefboontjie","screw-bean","tex mex"
"x505","prosopis velutina","fluweelboontjie","velvet mesquite","c.amer"
"x460","prunus armeniaca","gewone appelkoos","common apricot","china"
"x461","prunus avium","soetkersie","sweet cherry","eur asia"
"x462","prunus cerasifera","kersiepruim","cherry plum","asia"
"x463","prunus cerasus","suurkersie","sour cherry","se.eur"
"x464","prunus domestica","gewone pruim","common plum","eur"
"x465","prunus dulcis","amandel","almond","asia"
"x466","prunus ilicifolia","hulsblaarkersie","holly-leaved cherry","calif"
"x467","prunus laurocerasus","kersielourier","cherry laurel","eur"
"x468","prunus lusitanica","portugese lourier","portuguese laurel","sw.eur"
"x469","prunus mume","japanse appelkoos","japanese apricot","china japan"
"x470","prunus munsoniana","ganspruim","goose plum","n amer"
"x471","prunus persica","perske","peach","china"
"x472","prunus serotina","swartkersie","black cherry","n amer"
"x473","prunus serrulata","japanse blomkersie","japanese flowering cherry","e.asia"
"x474","prunus triloba","blomamandel","flowering almond","china"
"x475","prunus yedoensis","joshinokersie","yoshino cherry","japan"
"x715","pseudobombax ellipticum","skeerkwasboom","shaving-brush tree","c amer"
"x169","pseudophoenix vinifera","kersiepalm","cherry palm","w.ind"
"x779","psidium cattleianum","aarbeikoejawel","strawberry guava","braz"
"x778","psidium guajava","koejawel","guava","s amer"
"x267","pterocarya fraxinifolia","kaukasiese vleuelneut","caucasian wing-nut","cauc iran"
"x268","pterocarya stenoptera","chinese vleuelneut","chinese wing-nut","china"
"x198","ptychosperma elegans","solit&ecirc;rpalm","solitaire palm","aust"
"x199","ptychosperma macarthurii","stormpalm","hurricane palm","new guinea"
"x200","ptychosperma salomonense","salomons-eilandpalm","solomon island palm","sol.is"
"x770","punica granatum","granaatappel","pomegranate","se eur s asia"
"x425","pyracantha angustifolia","geelbranddoring","yellow fire-thorn","china"
"x426","pyracantha coccinea var coccinea","rooibranddoring","red fire-thorn","china"
"x427","pyracantha coccinea var lalandei","oranjebranddoring","orange fire-thorn","china"
"x431","pyrus calleryana","chinese peer","chinese pear","china"
"x432","pyrus communis","gewone peer","common pear","eur asia"
"x433","pyrus nivalis","sneeuper","snow pear","e.eur"
"x434","pyrus salicifolia","wilgerblaarpeer","willow-leaved pear","se. eur cauc"
"x295","quercus acuta","japanse eik","japanese oak","japan china"
"x296","quercus acutissima","stekeleik","bristle oak","japan china"
"x297","quercus agrifolia","kaliforniese lewenseik","californian life-oak","calif"
"x298","quercus canariensis","algeriese eik","algerian oak","n.afr sw eur"
"x299","quercus castaneifolia","kastaiingblaareik","chestnut-leaved oak","cauc iran"
"x300","quercus cerris","moseik","turkey oak","s eur. w.asia"
"x301","quercus coccinea","skarlakeneik","scarlet oak","n amer"
"x302","quercus douglasii","kaliforniese blou-eik","californian blue oak","calif"
"x303","quercus ilex","steeneik","holly oak","medit"
"x304","quercus incana","harige eik","hairy oak","n amer"
"x305","quercus kellogii","kaliforniese swarteik","californian black oak","calif"
"x306","quercus libani","lebanese eik","lebanon oak","e.medit"
"x307","quercus mexicana","mexikaanse eik","mexican oak","mex"
"x308","quercus nigra","watereik","water oak","n amer"
"x309","quercus palustris","moeraseik","pin oak","n amer"
"x310","quercus phellos","wilgereik","willow oak","n amer"
"x311","quercus reticulata","immergroen eik","evergreen oak","mex"
"x312","quercus robur","steeleik","english oak","eur n afr"
"x313","quercus rubra","rooi-eik","red oak","n amer"
"x314","quercus suber","kurkeik","cork oak","n. eur sib"
"x315","quercus virginiana","lewenseik","live oak","n.amer mex"
"x149","raphia farinifera","raffiapalm","raffia palm","trop. afr"
"x447","raphiolepis indica","indiese haagdoring","indian hawthorn","china"
"x448","raphiolepis umbellata","jeddahaagdoring","yedda hawthorn","japan"
"x243","ravenala madagascariensis","waaierpiesang","traveller's tree","madag"
"x174","ravenea robustior","madagaskarverestofferpalm","madagascar feather-duster palm","madag"
"x682","rhamnus alaternus","italiaanse blinkblaar","italian dogwood","s eur"
"x894","rhododendron arboreum","boombergroos","tree rosebay","himal"
"x895","rhododendron barbatum","baardbergroos","bearded rosebay","nepal"
"x192","rhopalostylis sapida","nikaupalm","nikau palm","n.z"
"x644","rhus glabra","gladde sumak","smooth sumach","n amer"
"x645","rhus succedanea","wasboom","wax tree","se asia"
"x646","rhus typhina","fluweelboom","staghorn sumach","n amer"
"x647","rhus verniciflua","vernisboom","varnish tree","e asia"
"x612","ricinus communis","kasterolieboom","castor bean","trop afr"
"x562","robinia pseudo-acacia","witakasia","black locust","n amer"
"x176","roystonea elata","florida-rojaalpalm","florida royal palm","flor"
"x177","roystonea regia","kubaanse rojaalpalm","cuban royal palm","cuba"
"x133","sabal causiarum","porto-ricaanse hutpalm","puerto rican hut palm","p.r."
"x134","sabal domingensis","reusepalmetto","giant palmetto","w.ind"
"x135","sabal etonia","boskasiepalm","scrub palm","n amer"
"x136","sabal mexicana","mexikaanse palmetto","mexican palmetto","tex mex"
"x137","sabal minor","dwergpalmetto","dwarf palmetto","n amer"
"x138","sabal palmetto","gewone palmetto","common palmetto","n. amer w.ind"
"x257","salix alba","witwilger","white willow","eur asia"
"x258","salix babylonica","treurwilger","weeping willow","china"
"x259","salix caprea","bokwilger","goat willow","eur."
"x260","salix chilensis","immergroen wilger","evergreen willow","c &amp; s amer"
"x261","salix daphnoides","violetwilger","violet willow","eur asia"
"x262","salix magnifica","grootblaarwilger","large-leaved willow","china"
"x263","salix matsudana","pekingwilger","peking willow","china"
"x264","salix purpurea","rooimandjiewilger","purple basket willow","eur asia"
"x265","salix viminalis","gewone mandjiewilger","common basket willow","eur asia"
"x997","sambucus nigra","europese vlier","european elder","eur w asia"
"x626","sapium sebiferum","chinese kersvetboom","chinese tallow tree","china japan"
"x638","schinus molle","peperboom","pepper tree","peru"
"x639","schinus polygamus","chileense peperboom","chilean pepper tree","chile"
"x640","schinus terebinthifolius","brasiliaanse peperboom","brazilian pepper tree","braz"
"x541","schizolobium parahybum","verestofferboom","feather-duster tree","trop amer"
"x63","sciadopitys vertivillata","japanese sambreelden","japanese umbrella den","japan"
"x65","sequoia sempervirens","kaliforniese rooihout","californian redwood","calif"
"x66","sequoiadendron giganteum","mammoetboom","mammoth tree","calif"
"x139","serenoa repens","saagblaarpalmetto","saw palmetto","n amer"
"x564","sesbania punicea","brasiliaanse glorie-ertjie","brazilian glory pea","braz arg"
"x960","solanum macranthum","aartappelboom","potato tree","braz"
"x961","solanum mauritianum","luisboom","bug tree","trop asia"
"x552","sophora japonica","japanse pagodeboom","japanese pagoda tree","china"
"x553","sophora tetraptera","nieu-seelandse laburnum","new zealand laburnum","n.z"
"x441","sorbus alnifolia","japanse lysterbes","japanese mountain ash","e.asia"
"x442","sorbus americana","amerikaanse lysterbes","american mountain ash","n amer"
"x443","sorbus aria","italiaanse haakappel","whitebeam tree","eur"
"x444","sorbus aucuparia","lysterbes","rowan","eur"
"x445","sorbus commixta","pilaarlysterbes","columnar mountain ash","japan. e.asia"
"x446","sorbus discolor","sneeubessie","snowberry","china"
"x985","spathodea campanulata","afrikaanse vlamboom","african flame tree","e afr"
"x935","stemmadenia galeottiana","witklokkiesboom","white-bell tree","c amer"
"x363","stenocarpus sinuatus","vuurwielboom","firewheel tree","aust"
"x987","stereospermum kunthianum","pienk jakaranda","pink jacaranda","trop afr"
"x732","stewartia pseudocamellia","japanse basterkamelia","japanese false camellia","japan"
"x733","stewartia sinensis","chinese basterkamelia","chinese false camellia","china"
"x910","styrax japonicus","japanse sneeuklokkiesboom","japanese snowdrop tree","japan china"
"x600","swietenia mahagoni","spaanse mahonie","spanish mahogany","w ind"
"x218","syagrus coronata","likoeriepalm","licuri palm","braz"
"x790","syncarpia glomulifera","terpentynboom","turpentine tree","aust"
"x919","syringa vulgaris","gewone sering","common lilac","se eur"
"x783","syzygium cumini","jambolaan","jambolan","india mal"
"x784","syzygium paniculatum","australiese waterpeer","australian water pear","aust"
"x975","tabebuia argentea","silwertrompetboom","silver trumpet tree","par arg"
"x976","tabebuia avellanedae","pienktrompetboom","pink trumpet tree","par arg"
"x977","tabebuia chrysotricha","geeltrompetboom","yellow trumpet tree","colom braz"
"x978","tabebuia heptaphylla","perstrompetboom","mauve trumpet tree","braz"
"x979","tabebuia pallida","seringtrompetboom","lilac trumpet tree","w ind"
"x980","tabebuia rosea","roostrompetboom","rose trumpet tree","c amer"
"x510","tamarindus indica","tamarinde","tamarind","india"
"x740","tamarix aphylla","woestyntamarisk","desert tamarisk","medit"
"x741","tamarix chinensis","chinese tamarisk","chinese tamarisk","e asia"
"x742","tamarix gallica","franse tamarisk","french tamarisk","s eur"
"x743","tamarix ramosissima","pers tamarisk","pink tamarisk","e eur asia"
"x70","taxodium distichum","moerassipres","swamp cypress","n.amer"
"x14","taxuz baccata","gewone taksisboom","common yew","eur n afr w.asia"
"x981","tecoma stans","geelklokkies","yellow bells","c &amp; s amer"
"x951","tectona grandis","indiese kiaat","indian teak","india mal"
"x358","telopea oreades","victoria-waratah","victorian waratah","aust"
"x359","telopea speciosissima","gewone waratah","common waratah","aust"
"x774","terminalia catappa","ketapboom","indian almond","mal."
"x868","tetrapanax papyriferus","ryspapierboom","rice-paper tree","china"
"x710","thespesia populnea","portiaboom","portia tree","pantrop"
"x937","thevetia peruviana","geel oleander","yellow oleander","s amer"
"x114","thrinax excelsa","jamaikaanse rietpalm","jamaican thatch palm","jam."
"x81","thuja occidentalis","amerikaanse lewensboom","american arborvitae","n.amer"
"x82","thuja plicata","reuse lewensboom","giant arborvitae","n.amer"
"x77","thujopsis dolabrata","valslewensboom","false arborvitae","japan"
"x864","tibouchina granulosa","gloriebosboom","glory bush tree","braz"
"x693","tilia americana","amerikaanse lindeboom","american linden","n amer"
"x694","tilia cordata","kleinblaarlindeboom","small-leaved linden","eur"
"x696","tilia oliveri","chinese lindeboom","chinese linden","china"
"x697","tilia petiolaris","treursilwerlinde","weeping silver linden","se eur w asia"
"x698","tilia platyphyllos","grootblaarlinde","large-leaved linden","eur"
"x699","tilia tomentosa","silwerlinde","silver linden","se eur w asia"
"x695","tilia x europaea","europese lindeboom","european linden","eur"
"x567","tipuana tipu","tipoeboom","tipu tree","braz bol"
"x113","trachycarpus fortunei","houtpalm","windmill palm","china"
"x792","tristania conferta","australiese buksboom","australian box","aust"
"x317","ulmus americana","amerikaanse olm","american elm","n amer"
"x318","ulmus glabra","bergolm","scotch elm","n.eur sib"
"x319","ulmus parvifolia","fynblaarolm","chinese elm","china japan"
"x320","ulmus procera","skurwe-olm","english elm","eur"
"x321","ulmus pumila","siberiese olm","siberian elm","sib china"
"x398","umbellularia californica","kaliforniese lourier","californian laurel","calif"
"x194","veitchia arecina","bastermanillapalm","false manila palm","new hebrides"
"x195","veitchia joannis","reusemanillapalm","giant manila palm","fiji is"
"x196","veitchia merrillii","egte manillapalm","true manila palm","phillip"
"x998","viburnum lantana","wollerige sneeubal","wayfaring tree","eur w asia"
"x999","viburnum odoratissimum","soetsneeubal","sweet snowball","himal japan"
"x953","vitex lucens","nieu-seelandse vingerblaar","new zealand finger-leaf","n.z"
"x159","wallichia disticha","bastersuikerpalm","false sugar palm","india burma"
"x128","washingtonia filifera","katoenpalm","cotton palm","n amer"
"x129","washingtonia robusta","garingpalm","thread palm","mex"
"x233","yucca aloifolia","spaanse bajonet","spanish bayonet","w ind mex"
"x234","yucca gloriosa","spaanse dolk","spanish dagger","n amer"
"x324","zelkova serrata","kersie-olm","cherry elm","japan china"
"x678","ziziphus jujuba","gewone jujube","common jujube","se eur asia"
