"reel no.","title","year of issue","file","file no."
"5444","san diego wild animal park","NULL","packet","NULL"
"5445","san francisco tour&#xa0;#3","1991","packet","NULL"
"5446","apollo moon landing","NULL","packet","NULL"
"5447","america's first steps into space","1990","packet","NULL"
"5448","universal studios florida&#xa0;#1","NULL","packet","NULL"
"5449","universal studios florida&#xa0;#2","NULL","packet","NULL"
"5450","1992 national stereoscopic association national convention","NULL","packet","NULL"
"5451","los angeles zoo","1992","packet","NULL"
"5452","street rods&#xa0;#1","NULL","packet","NULL"
"5453","street rods&#xa0;#2","NULL","packet","NULL"
"5454","san antonio missions","1990","packet","NULL"
"5455","sea world california","NULL","packet","NULL"
"5456","universal studios&#xa0;#1","NULL","packet","NULL"
"5459","mount st.&#xa0;helens","NULL","packet","NULL"
"5460","six flags magic mountain","NULL","packet","NULL"
"5463","the restored ford's theater &amp; lincoln museum","NULL","packet","NULL"
"5465","intrepid sea-air-space museum","NULL","packet","NULL"
"5469","branson","NULL","packet","NULL"
"5470","graceland mansion memphis","NULL","packet","NULL"
"5472","air force museum wright-patterson afb dayton&#xa0;#1","NULL","packet","NULL"
"5473","air force museum wright-patterson afb dayton&#xa0;#2","NULL","packet","NULL"
"5475","universal studios&#xa0;#2","NULL","packet","NULL"
"5476","spaceport u.s.a.","NULL","packet","NULL"
"5477","across the sea of time","NULL","packet","NULL"
"5486","hoover dam &amp; lake mead","NULL","packet","NULL"
"5487","las vegas","1997","packet","NULL"
"5488","portland city of roses","NULL","packet","NULL"
"5489","gateway arch jefferson national expansion memorial st.&#xa0;louis","NULL","packet","NULL"
"5490","grand tour of europe","NULL","packet","NULL"
"5492","yaeyama","NULL","packet","NULL"
"5493","okinawa","NULL","packet","NULL"
"5494","oregon coast aquarium","NULL","packet","NULL"
"5495","the civil war","NULL","packet","NULL"
"7000","garfield","NULL","packet","NULL"
"7042","batman","NULL","packet","NULL"
"7043","more scenes from e.t. the extraterrestrial","NULL","packet","NULL"
"7048","pebbles &amp; bamm-bamm","NULL","packet","NULL"
"7053","bugs bunny","NULL","packet","NULL"
"7089","super heroes","NULL","packet","NULL"
"7091","bugs bunny/road runner","NULL","packet","NULL"
"7100","the fox &amp; the hound","NULL","packet","NULL"
"7102","the amazing spider-man&#xa0;#2","NULL","packet","NULL"
"7105","e.t. the extraterrestrial","NULL","packet","NULL"
"7114","jaws 3-d","NULL","packet","NULL"
"7115","superman&#xa0;iii","NULL","packet","NULL"
"7119","sesame street visits the farm","NULL","packet","NULL"
"7127","knight rider","NULL","packet","NULL"
"7130","inspector gadget","NULL","packet","NULL"
"7134","the last starfighter","NULL","packet","NULL"
"7138","rainbow brite","NULL","packet","NULL"
"7140","masters of the universe&#xa0;#2","NULL","packet","NULL"
"7141","transformers","NULL","packet","NULL"
"7148","hugga bunch","NULL","packet","NULL"
"7149","mask","NULL","packet","NULL"
"7151","centurions","NULL","packet","NULL"
"7152","barbie &amp; the rockers","1986","packet","NULL"
"7170","dennis the menace","NULL","packet","NULL"
"7171","the wind in the willows","NULL","packet","NULL"
"7172","who framed roger rabbit","NULL","packet","NULL"
"7177","beetlejuice","NULL","packet","NULL"
"7180","indiana jones","NULL","packet","NULL"
"7181","star trek: the next generation","NULL","packet","NULL"
"7192","super mario brothers","NULL","packet","NULL"
"7195","teenage mutant ninja turtles","NULL","packet","NULL"
"7196","dick tracy","NULL","packet","NULL"
"7197","fraggle rock","NULL","packet","NULL"
"7198","minnie 'n me","NULL","packet","NULL"
"7199","bugs bunny","NULL","packet","NULL"
"7200","chip 'n dale in rescue rangers","NULL","packet","NULL"
"7201","mickey mouse fantasy","NULL","packet","NULL"
"7203","sesame street visits the zoo","NULL","packet","NULL"
"7204","teenage mutant ninja turtles","NULL","packet","NULL"
"7205","tiny toon adventures","NULL","packet","NULL"
"7206","the little mermaid","NULL","packet","NULL"
"7207","teenage mutant ninja turtles&#xa0;ii","NULL","packet","NULL"
"7208","mickey's world tour","NULL","packet","NULL"
"7209","sesame street green earth &amp; blue skies","NULL","packet","NULL"
"7211","beauty &amp; the beast","NULL","packet","NULL"
"7212","family matters","NULL","packet","NULL"
"7214","hammerman","NULL","packet","NULL"
"7215","the young indiana jones chronicles","NULL","packet","NULL"
"8000","mission san juan capistrano","1987","packet","NULL"
"8001","meteor crater","NULL","packet","NULL"
"8002","bandelier national monument taos - santa fe","NULL","packet","NULL"
"8003","california's historic capitol sacramento","NULL","packet","NULL"
"8004","george c. page museum of la brea discoveries los angeles","1988","packet","NULL"
"8005","calico ghost town","NULL","packet","NULL"
"8007","white sands national monument","NULL","packet","NULL"
"8008","ponderosa ranch home of bonanza tv lake tahoe","NULL","packet","NULL"
"8009","pikes peak auto &amp; rail tours","1987","packet","NULL"
"8010","shenandoah caverns","1987","packet","NULL"
"b 7887","the civil war authentic stereographs 1861-1865","2003","packet","NULL"
"ba 240","disneyland","NULL","packet","NULL"
"ba 689","new york","NULL","packet","NULL"
"ba 997","u.s.a.","NULL","packet","NULL"
"bb 001","mexico","NULL","NULL","NULL"
"bb 228","makkah mukarrama holy city of islam","NULL","NULL","NULL"
"bb 315","pinocchio/lady and the tramp/snow white","NULL","NULL","NULL"
"bb 3164","merlin und mim","NULL","NULL","NULL"
"bb 318","cinderella (aschenbr&#xf6;del)","NULL","NULL","NULL"
"bb 342","robin hood","NULL","NULL","NULL"
"bb 364","alice in wonderland","NULL","NULL","NULL"
"bb 369","winnie the pooh and tigger too","NULL","NULL","NULL"
"bb 370","20000 leagues under the sea","1978","packet","NULL"
"bb 372","peter pan","NULL","NULL","NULL"
"bb 374","gullivers reisen","NULL","NULL","NULL"
"bb 376","mary poppins","NULL","NULL","NULL"
"bb 3804","a christmas carol","NULL","NULL","NULL"
"bb 393","james bond 007 in live and let die","NULL","NULL","NULL"
"bb 4194","babar","NULL","NULL","NULL"
"bb 420","rotk&#xe4;ppchen","NULL","NULL","NULL"
"bb 425","heidi","NULL","NULL","NULL"
"bb 432","treasure island","NULL","NULL","NULL"
"bb 4434","winnetou &amp; old surehand","NULL","NULL","NULL"
"bb 450","mannix","NULL","NULL","NULL"
"bb 451","space: 1999","NULL","NULL","NULL"
"bb 452","the rookies","NULL","NULL","NULL"
"bb 453","s.w.a.t.","NULL","NULL","NULL"
"bb 454","joe forrester","NULL","NULL","NULL"
"bb 485","flipper","NULL","NULL","NULL"
"bb 487","bonanza","NULL","NULL","NULL"
"bb 489","lassie","NULL","NULL","NULL"
"bb 492#1","batman i","1978","NULL","NULL"
"bb 498","daktari","NULL","NULL","NULL"
"bb 511","tom &amp; jerry","NULL","NULL","NULL"
"bb 512","huckleberry hound","NULL","NULL","NULL"
"bb 523","walt disney figuren","NULL","NULL","NULL"
"bb 525","donald duck","NULL","NULL","NULL"
"bb 526","mighty mouse","NULL","NULL","NULL"
"bb 527","popeye","NULL","NULL","NULL"
"bb 5271","popeye","NULL","NULL","NULL"
"bb 529","pluto","NULL","NULL","NULL"
"bb 532","pongo &amp; perdita","NULL","NULL","NULL"
"bb 544","snoopy &amp; the red baron","NULL","NULL","NULL"
"bb 549","bugs bunny in big top bunny","NULL","NULL","NULL"
"bb 551","donald duck/mickey mouse/goofy","NULL","NULL","NULL"
"bb 553","scooby doo","NULL","NULL","NULL"
"bb 559","the six million dollar man","NULL","NULL","NULL"
"bb 584","superman","NULL","NULL","NULL"
"bb 586","happy days","NULL","NULL","NULL"
"bb 5924","the partridge family","NULL","NULL","NULL"
"bb 594","hond op de vlucht","NULL","NULL","NULL"
"bb 7284","winnetou","NULL","NULL","NULL"
"bb 7704","circus","NULL","NULL","NULL"
"bb 901","the seven wonders of the world","NULL","NULL","NULL"
"bc 002","athens","NULL","NULL","NULL"
"bc 020","greece","NULL","NULL","NULL"
"bc 115","monaco","NULL","NULL","NULL"
"bc 179","les vosges","NULL","NULL","NULL"
"bc 182","les pelerins lourdes","NULL","NULL","NULL"
"bc 184","les environs de lourdes","NULL","NULL","NULL"
"bc 199","lourdes le calvaire","NULL","NULL","NULL"
"bc 203","lisieux","NULL","NULL","NULL"
"bc 212","tour eiffel","NULL","NULL","NULL"
"bc 220","grottes de betharram","NULL","NULL","NULL"
"bc 227","les ch&#xe2;teaux de la loire","NULL","NULL","NULL"
"bc 230","france","NULL","NULL","NULL"
"bc 231","paris monuments","NULL","NULL","NULL"
"bc 2365","la vie de bernadette - les apparitions","1975","NULL","NULL"
"bc 237","souvenir de versailles","NULL","NULL","NULL"
"bc 265","lisboa","NULL","NULL","NULL"
"bc 270","portugal","NULL","NULL","NULL"
"bc 271","madeira","NULL","NULL","NULL"
"bc 277#5","famous buildings of london","NULL","NULL","NULL"
"bc 309","the british isles","NULL","NULL","NULL"
"bc 320","great britain","NULL","NULL","NULL"
"bc 343","ireland","NULL","NULL","NULL"
"bc 352#4","vall&#xe9;e de la semois","NULL","NULL","NULL"
"bc 358","brussels","NULL","NULL","NULL"
"bc 361","brugge","NULL","NULL","NULL"
"bc 363","grottes de hans-sur-lesse","NULL","NULL","NULL"
"bc 365","vall&#xe9;e de la meuse","NULL","NULL","NULL"
"bc 366#4","gent","NULL","NULL","NULL"
"bc 367#4","antwerpen","NULL","NULL","NULL"
"bc 368","les ardennes","NULL","NULL","NULL"
"bc 369","meli","NULL","NULL","NULL"
"bc 3695","oostende","NULL","NULL","NULL"
"bc 3786","bobbejaanland indian museum cowboy","NULL","NULL","NULL"
"bc 3787","bobbejaanland cowboy town 1880","NULL","NULL","NULL"
"bc 380","echternach &amp; sure valley","NULL","NULL","NULL"
"bc 381","luxemburg","NULL","NULL","NULL"
"bc 382","vianden to clervaux","NULL","NULL","NULL"
"bc 386","traditional costumes of holland","NULL","NULL","NULL"
"bc 388","amsterdam","NULL","NULL","NULL"
"bc 396","de efteling","NULL","NULL","NULL"
"bc 400","holland","NULL","NULL","NULL"
"bc 4155","d&#xfc;sseldorf","NULL","NULL","NULL"
"bc 4156","bonn","NULL","NULL","NULL"
"bc 4224","linderhof","NULL","NULL","NULL"
"bc 4226","neuschwanstein","NULL","NULL","NULL"
"bc 4364","r&#xfc;desheim am rein","1977","NULL","NULL"
"bc 4381","phantasialand","NULL","NULL","NULL"
"bc 470","deutschland","NULL","NULL","NULL"
"bc 530","sweden","NULL","NULL","NULL"
"bc 532","jordan","NULL","NULL","NULL"
"bc 5321","jordan","NULL","NULL","NULL"
"bc 570","antwerpse&#xa0;zoo","NULL","NULL","NULL"
"bc 571","planckendael","NULL","NULL","NULL"
"bc 680","yugoslavia","NULL","NULL","NULL"
"bc 705","egypt","NULL","NULL","NULL"
"bc 713","tunisie","NULL","NULL","NULL"
"bc 719","maroc","NULL","NULL","NULL"
"bc 733","sahara","NULL","NULL","NULL"
"bc 734","algerie","NULL","NULL","NULL"
"bc 758","queen elizabeth visits nigeria","NULL","NULL","NULL"
"bc 758","c&#xf4;te d'ivoire","NULL","NULL","NULL"
"bc 771","ghana","NULL","NULL","NULL"
"bc 772","niger","NULL","NULL","NULL"
"bc 773","mali","NULL","NULL","NULL"
"bc 774","togo","NULL","NULL","NULL"
"bc 805","turkey","NULL","NULL","NULL"
"bc 806","istanbul","NULL","NULL","NULL"
"bc 815","le liban","NULL","NULL","NULL"
"bc 827","bayt al muqaddas","NULL","NULL","NULL"
"bc 839","oman","NULL","NULL","NULL"
"bc 841","el madina","NULL","NULL","NULL"
"bc 843","hajj &amp; ziarah","NULL","NULL","NULL"
"bc 845","karbala","NULL","NULL","NULL"
"bc 849","bahrain","NULL","NULL","NULL"
"bc 850","iraq","NULL","NULL","NULL"
"bc 940","cyprus","NULL","NULL","NULL"
"bc 980","japan","NULL","NULL","NULL"
"bd 105","laurel &amp; hardy","NULL","packet","NULL"
"bd 1161","tweety &amp; sylvester","NULL","NULL","NULL"
"bd 117","butterflies","NULL","packet","NULL"
"bd 118","secrets of the sea","NULL","packet","NULL"
"bd 123","der kleine d&#xe4;umling","NULL","packet","NULL"
"bd 127","safari in africa","NULL","packet","NULL"
"bd 130","aladdin","NULL","packet","NULL"
"bd 131","womblerne","NULL","packet","NULL"
"bd 135","black beauty","NULL","packet","NULL"
"bd 1414","motor bikes","NULL","NULL","NULL"
"bd 1434","bobo","NULL","NULL","NULL"
"bd 1464","parrots","NULL","NULL","NULL"
"bd 1474","dumbo","NULL","NULL","NULL"
"bd 148","bozo","NULL","packet","NULL"
"bd 1484","bozo","NULL","NULL","NULL"
"bd 150","mondbasis alpha","NULL","packet","NULL"
"bd 151","birds","NULL","packet","NULL"
"bd 1514","birds of europe","NULL","NULL","NULL"
"bd 1524","baby animals","NULL","NULL","NULL"
"bd 1554","woogly het oerwoudjong","NULL","NULL","NULL"
"bd 1564","donald duck goes gardening","NULL","NULL","NULL"
"bd 1574","suske en wiske de gouden locomotif","NULL","NULL","NULL"
"bd 1575","suske en wiske de minilotten","NULL","NULL","NULL"
"bd 1576","suske en wiske de zingende kaars","NULL","NULL","NULL"
"bd 1577","suske en wiske de regenboogprinses","NULL","NULL","NULL"
"bd 1614","hugo the hippo","NULL","NULL","NULL"
"bd 162","mr. man","1977","packet","NULL"
"bd 162#4","mr. funny","1976","NULL","NULL"
"bd 1644","bugs bunny","NULL","NULL","NULL"
"bd 165","casimir d&#xe9;tective","NULL","packet","NULL"
"bd 166","gedeon","NULL","packet","NULL"
"bd 167","nounours","NULL","packet","NULL"
"bd 168","paddington bear","NULL","packet","NULL"
"bd 169","die beertjieboot","NULL","packet","NULL"
"bd 170","suske en wiske","NULL","packet","NULL"
"bd 171","casimir comme couturier","NULL","packet","NULL"
"bd 174","the famous five","NULL","packet","NULL"
"bd 175","goldorak","NULL","packet","NULL"
"bd 178","dusty","NULL","packet","NULL"
"bd 179","kenny everett's captain kremmen","NULL","packet","NULL"
"bd 181","the water babies","NULL","packet","NULL"
"bd 183","dr. snuggles","NULL","packet","NULL"
"bd 184","the perishers","NULL","packet","NULL"
"bd 185","worzel gummidge","NULL","packet","NULL"
"bd 186","battle of the planets","1979","packet","NULL"
"bd 187","doctor who - full circle","1980","packet","NULL"
"bd 188","dick turpin","NULL","packet","NULL"
"bd 189","the flying kiwi","NULL","packet","NULL"
"bd 190","larry the lamb","1980","packet","NULL"
"bd 191","sooty","NULL","packet","NULL"
"bd 194","smuggler","1981","packet","NULL"
"bd 195","pelle svanslos","NULL","packet","NULL"
"bd 196","royal family","1981","packet","NULL"
"bd 197","the munch bunch","NULL","packet","NULL"
"bd 198","ulysse 31","NULL","packet","NULL"
"bd 199","adam &amp; the ants","1982","packet","NULL"
"bd 201","candy-candy","NULL","packet","NULL"
"bd 203","les m&#xe2;itre du temps","NULL","packet","NULL"
"bd 205","morph","NULL","packet","NULL"
"bd 206","tiswas","NULL","packet","NULL"
"bd 208","le vall&#xe9;e secr&#xe9;te","NULL","packet","NULL"
"bd 210","the royal wedding london july 29 1981","NULL","packet","NULL"
"bd 211","le village dans les nuages","NULL","packet","NULL"
"bd 212","button moon","NULL","packet","NULL"
"bd 214","danger mouse trip to america","1982","packet","NULL"
"bd 215","willo the wisp","NULL","packet","NULL"
"bd 216","dr. who in castrovalva","NULL","packet","NULL"
"bd 217","metal mickey","NULL","packet","NULL"
"bd 218","postman pat","NULL","packet","NULL"
"bd 222","british animals of field &amp; woodland","1983","packet","NULL"
"bd 247","steam trains railway museum at york","NULL","packet","NULL"
"bd 3825","vianden grand duche de luxemburg","NULL","NULL","NULL"
"bh 011","the amazing spider-man","NULL","packet","NULL"
"bh 026","the rescuers","NULL","packet","NULL"
"bj 011","m*a*s*h","1979","packet","NULL"
"bj 012","pink panther","1978","packet","NULL"
"bj 013","the fonz","NULL","packet","NULL"
"bj 029","mickey mouse","NULL","packet","NULL"
"bj 078","superman: the motion picture","NULL","packet","NULL"
"bk 026","superman: the motion picture","NULL","packet","NULL"
"bk 027","the muppet movie","NULL","packet","NULL"
"bk 035","the black hole","1979","packet","NULL"
"bk 036","the fantastic four","NULL","packet","NULL"
"bk 057","star treck - the motion picture","1979","packet","NULL"
"bk 067","mork &amp; mindy","NULL","packet","NULL"
"bk 068","moonraker","NULL","packet","NULL"
"bl 014","chips","1980","packet","NULL"
"bl 015","buck rodgers","1980","packet","NULL"
"bl 029","the fox &amp; the hound","NULL","packet","NULL"
"bm 007","the fox &amp; the hound","NULL","packet","NULL"
"bm 009","dark crystal","NULL","packet","NULL"
"bm 037","tron","NULL","packet","NULL"
"bn 001","de vliegende smurf","NULL","packet","NULL"
"bn 003","annie","NULL","packet","NULL"
"bn 007","e.t. the extra-terrestrial","1982","packet","NULL"
"c 3524","vall&#xe9;e de la semois","NULL","packet","NULL"
"c 3584","brussels the grand-place","NULL","packet","NULL"
"c 3664","gent","NULL","packet","NULL"
"c 3674","antwerpen","NULL","packet","NULL"
"c 3695","oostende","NULL","packet","NULL"
"c 3786","bobbejaanland indian cowboy museum","NULL","packet","NULL"
"c 4224","linderhof","NULL","packet","NULL"
"cr 395","holland - souvenir expo '92 sevilla","1992","packet","NULL"
"d 001","mickey mouse","NULL","packet","NULL"
"d 002","mickey mouse","NULL","packet","NULL"
"d 003","donald duck","NULL","packet","NULL"
"d 004","pluto","NULL","packet","NULL"
"d 005","snow white","NULL","packet","NULL"
"d 006","cinderella","NULL","packet","NULL"
"d 007","sleeping beauty","NULL","packet","NULL"
"d 008","bambi","NULL","packet","NULL"
"d 009","dumbo","NULL","packet","NULL"
"d 010","peter pan","NULL","packet","NULL"
"d 011","winnie the pooh","NULL","packet","NULL"
"d 012","101 dalmations","NULL","packet","NULL"
"d 013","pinocchio","NULL","packet","NULL"
"d 014","disney on parade","NULL","packet","NULL"
"d 015&#xf7;8","disneyland","NULL","packet","NULL"
"d 1614","hugo the hippo","NULL","NULL","NULL"
"l 1687","historic people","2006","packet","NULL"
"l 1688","old time cars","NULL","packet","NULL"
"m 01","alice in wonderland","NULL","packet","NULL"
"m 02","wizard of oz","NULL","packet","NULL"
"m 03","humpty dumpty/jack &amp; jill","NULL","packet","NULL"
"m 1956","unseen ellis island","2007","packet","NULL"
"rp-b 0012","mexico","NULL","packet","NULL"
"rp-b 0963","africa - cairo to cape town","NULL","packet","NULL"
"rp-b 2263","the holy land","NULL","packet","NULL"
"t-1&#xf7;3","tokyo disneyland","NULL","packet","NULL"
"tk 53-a","super friends","1979","packet","NULL"
