"api","description","category","updated"
"amiando","events organizing and ticketing services","events","2008-12-20"
"artbeat","nyc/tokyo art events information","events","2008-10-22"
"attendstar","online event ticketing and promotion service","events","2012-01-16"
"avacaster","event management for avacaster webservice","events","2011-01-05"
"boomloop","local events and community","events","2009-03-14"
"brown paper tickets","events listing and ticketing service","events","2011-08-29"
"bullseyehub","event promotion service","events","2011-11-29"
"burning man","event database","events","2009-08-30"
"codebits","codebits conference information tools","events","2011-02-23"
"community megaphone","event listing service","events","2009-11-29"
"cs50 harvardevents","harvard events calendar","events","2011-09-13"
"daum events","movie and festival search service","events","2011-07-12"
"dostuffmedia","music festival data lookup service","events","2011-05-13"
"eventbrite","event registration marketing and promotion services","events","2008-08-02"
"eventfinder","new zealand events calendar","events","2007-04-02"
"eventful","local events discovery and demand","events","2005-10-31"
"eventification","social event site","events","2011-02-28"
"fansnap","ticket search service","events","2009-07-19"
"festivalslab","event information service","events","2011-07-14"
"fizber events","local events search services","events","2010-10-25"
"gatekrash","uk event listings service","events","2011-04-26"
"happenr","events database","events","2008-08-31"
"happenstand","bay area events listing service","events","2011-06-16"
"hubspot events","marketing events information service","events","2011-12-19"
"ignyte movies and showtimes","local movie showtime service","events","2010-12-29"
"killertours.com","band and concert search tool","events","2011-01-04"
"learningsource","online events platform","events","2011-09-02"
"live matrix","internet event listing service","events","2011-02-28"
"livekick","concert and events recommendation service","events","2009-03-14"
"malmöfestivalen","malmö festival schedule and information","events","2011-11-25"
"memory reel","event marketing service and event mobile application provider","events","2011-09-13"
"new york times events","event listing service","events","2011-12-19"
"plakatt","searchable events database","events","2011-02-23"
"sched*","social scheduling for events","events","2011-04-01"
"seattle 2.0","seattle upcoming tech events","events","2008-10-09"
"showclix","ticket search service","events","2011-08-16"
"skiddle","uk events guide","events","2011-03-08"
"socializr","event listing service","events","2011-07-05"
"speakerrate","event online community service","events","2011-08-02"
"spraci","events and clubs database","events","2006-02-14"
"ticket evolution","secondary ticket sales software","events","2011-06-24"
"ticketfly","music events and ticketing service","events","2010-06-28"
"ticketleap","ticket information service","events","2011-11-19"
"ticketstumbler","ticket search service","events","2009-03-23"
"tweetvite","tweetup and event creation service","events","2011-08-12"
"upcoming.org","collaborative event calendar","events","2005-11-19"
"venteria","social event calendar","events","2009-04-16"
"venuecost","event and venue pricing database","events","2011-09-22"
"wots-on","event promotion service","events","2011-06-24"
"zvents","local events search and community","events","2006-02-14"
"fax desk","online faxing service","fax","2011-10-25"
"faxage","internet based fax service","fax","2011-08-22"
"innoport fax","fax services","fax","2009-10-20"
"interfax","fax services","fax","2006-08-31"
"oneoutbox","internet based fax service","fax","2011-08-30"
"pamfax","internet fax services","fax","2011-08-16"
"phaxio","fax delivery service","fax","2011-04-14"
"popfax","internet fax service","fax","2010-05-06"
"ringcentral fax","internet fax services","fax","2008-12-27"
"sfax","cloud-based secure faxing service","fax","2011-11-01"
"venali fax web service","enterprise fax messaging service","fax","2010-03-31"
"westfax","online faxing service","fax","2012-01-05"
"adobe feeds","integrate adobe feeds","feeds","2011-01-18"
"aiderss","rss feed management and filtering service","feeds","2008-06-11"
"betasignal","news aggregator","feeds","2011-08-30"
"blastcasta feed","rss feed management and filtering service","feeds","2009-01-04"
"blipscape","mobile location based content feed service","feeds","2010-01-08"
"bloglines","online feed aggregator","feeds","2005-09-04"
"cquery","online content parsing and extraction service","feeds","2010-03-24"
"fav.or.it","rss reader and blog platform","feeds","2008-02-10"
"feedoor","feed aggregator services","feeds","2008-07-06"
"feedzilla","news feed aggregator","feeds","2010-10-21"
"feedzz","rss feed management and filtering service","feeds","2008-08-16"
"google ajax feeds","access rss and atom feeds with javascript","feeds","2007-04-20"
"guzzle ayup!","pubsubhubbub hub","feeds","2011-05-17"
"junar.com","community data publishing","feeds","2011-09-26"
"newsblur","rss feed reader","feeds","2011-04-29"
"newsfeed lab","news feed and activity stream service","feeds","2011-09-22"
"newsgator","feed aggregation","feeds","2005-09-04"
"newsmonster.org","rss feed aggregator service","feeds","2011-07-14"
"pheedo ping","rapid publishing service","feeds","2011-07-12"
"phreadz","information feed creation service","feeds","2011-07-28"
"postrank","social engagement data analysis service","feeds","2008-07-19"
"q-sensei feedbooster","webfeed search service","feeds","2011-12-01"
"rssmeme","rss feed management and filtering service","feeds","2008-06-15"
"schedules direct","television program listing feeds","feeds","2011-09-09"
"simplepie live","access rss and atom feeds with javascript","feeds","2008-01-29"
"superfeedr","realtime feed parsing service","feeds","2010-02-09"
"syndic8","news feed aggregation services","feeds","2005-11-03"
"yandex podpiski","rss feed subscription service","feeds","2011-02-28"
"4shared","file sharing service","file sharing","2011-04-07"
"bitsmash","bittorrent statistics service","file sharing","2008-12-19"
"blinksend","online document sharing service","file sharing","2011-02-22"
"brickftp","hosted ftp/file sharing service","file sharing","2011-11-08"
"crocko","file hosting and sharing service","file sharing","2011-08-08"
"drop.io","content sharing service","file sharing","2008-11-22"
"fenopy","torrent sharing service","file sharing","2011-10-07"
"fileslap","file sharing service","file sharing","2011-08-22"
"filesocial","twitter file sharing service","file sharing","2009-07-09"
"filestube","search engine for files","file sharing","2007-12-23"
"foldier","personal online file sharing and mangement","file sharing","2009-09-21"
"ge.tt","file sharing and publishing service","file sharing","2011-12-23"
"gobox","cloud file storage and sharing service","file sharing","2011-03-22"
"issuu search","online publication service","file sharing","2009-08-07"
"let&#039;s crate","file sharing service","file sharing","2011-09-20"
"muecs","media file sharing service","file sharing","2009-09-19"
"pando","file delivery and management services","file sharing","2008-02-03"
"prodigem","file sharing via bittorrent","file sharing","2005-10-30"
"rapidshare","file sharing and hosting site","file sharing","2010-12-29"
"seedpeer","file sharing via bittorrent","file sharing","2008-10-22"
"sendspace","file sharing service","file sharing","2011-08-09"
"smartfile","file sharing and ftp service","file sharing","2011-11-15"
"yousendit","file storage/sharing service","file sharing","2011-11-08"
"3scale billing","api management services","financial","2011-10-06"
"aiddata","development finance data","financial","2011-06-07"
"amazon devpay license service","amazon web services licensing","financial","2008-01-01"
"ameritrade","stock trading and data services","financial","2008-09-03"
"amex open forum","access small business content","financial","2011-11-15"
"awardwallet","loyalty program management service","financial","2012-01-06"
"bank account checker","bank account verification service","financial","2011-09-08"
"bankcheck","online bank account validation","financial","2009-12-17"
"bankval international","iban and swift validation services","financial","2008-08-16"
"bemac paygate","payment processing service","financial","2011-07-05"
"bill.com","store approve and pay bills online","financial","2010-05-21"
"billflo seller","invoice management service","financial","2011-02-15"
"billomat","online billing service","financial","2010-03-31"
"bittrust","internet commodity trading service","financial","2011-07-14"
"blesta","billing service","financial","2011-05-31"
"blinksale","online invoicing services","financial","2006-11-01"
"blockchain block explorer","bitcoin and block chain information service","financial","2012-01-20"
"bundle","money managing community and service","financial","2011-08-29"
"buxfer","personal finance service","financial","2008-05-18"
"c24 validation","swift message validation service","financial","2011-12-13"
"clarity accounting","online accounting service","financial","2010-02-11"
"clear books","online accounting service","financial","2010-02-11"
"collective2","stock trading system automator","financial","2011-08-19"
"cortera credit pulse","credit check of businesses","financial","2008-05-11"
"curdbee","online billing software","financial","2010-10-04"
"currencies exchange rates","currency exchange rates service","financial","2009-03-14"
"currency rates","currency rates for 115 countries","financial","2006-10-15"
"dun and bradstreet credit check","credit quick check web service","financial","2006-12-13"
"e*trade","access to e*trade services for applications","financial","2010-07-17"
"e-conomic","online accounting software","financial","2011-03-21"
"empire avenue","virtual investment service","financial","2010-08-05"
"esignal market data","stock market data service","financial","2011-10-02"
"etapestry","online fundraising platform","financial","2010-12-09"
"exchange rate","simple currency api","financial","2010-03-26"
"exchangery trading","commodities exchange resource service and platform","financial","2011-09-13"
"expensify web services","expense report management service","financial","2010-12-02"
"financial content javascript quote","market data and stock quotes service","financial","2009-11-29"
"financial content snapshot quote","stock quote service","financial","2010-10-15"
"financial content xml quote","stock and market price data service","financial","2009-11-29"
"fincrn","u.s. sec edgar filings","financial","2008-10-23"
"finser","financial tracking service","financial","2011-08-19"
"forex","foreign exchange retail trading service","financial","2011-08-12"
"foxrate","currency exchange rates","financial","2009-01-27"
"freshbooks","online invoicing and time tracking","financial","2006-09-19"
"ft press","financial and business information resource","financial","2011-08-17"
"gastus","expense tracking","financial","2008-01-06"
"german bank code service","german banking code lookup service","financial","2010-04-22"
"global currents pipeline","online donation processing service","financial","2011-05-31"
"google finance portfolio","investing portfolio services","financial","2008-07-01"
"greendizer","invoicing service","financial","2011-01-20"
"greenlight data","bankruptcy records service","financial","2012-01-17"
"iban and bic conversion","iban and bic code calculation and validation","financial","2010-11-10"
"ice trading & technology","futures exchange","financial","2012-02-02"
"idescat catalan and spanish indicators","economic indicator service","financial","2010-05-17"
"inkling","prediction market platform","financial","2005-06-02"
"invested.in","customizable crowdfunding platform service","financial","2012-01-17"
"invoice machine","invoice management service","financial","2009-04-09"
"invoiceclarity","invoice management service","financial","2009-11-29"
"ireland revenue customs and excise","irish tax collection office data","financial","2012-01-18"
"iron money","personal financial management service","financial","2009-03-14"
"junotrade","online stock trading service","financial","2011-10-02"
"kaching","social investment service","financial","2009-02-22"
"kashflow","online accounting software","financial","2007-07-25"
"kashoo","online accounting software for small businesses","financial","2011-01-18"
"kiva","person-to-person micro-lending service","financial","2009-02-03"
"ledgerble","online accounting software for small businesses","financial","2010-03-26"
"less accounting","online accounting service","financial","2010-02-11"
"marketiva streamster","online trading service","financial","2011-07-14"
"maventa e-invoicing","electronic invoicing services","financial","2010-10-28"
"merchant&#039;s mirror","accounting software","financial","2011-11-29"
"mergent annual reports","business information service","financial","2010-08-13"
"mergent company fundamentals","business information service","financial","2010-08-10"
"mergent corporate actions and dividends","business information service","financial","2010-12-14"
"mergent executives","business information service","financial","2010-08-13"
"mergent historical securities data","historical stock service","financial","2010-12-14"
"micropledge","social micropledging for software development","financial","2011-04-01"
"moneytrackin","expense tracking","financial","2007-04-02"
"mt gox","internet commodity trading service","financial","2011-07-05"
"myazimia","microfinance database search","financial","2011-01-05"
"myfxbook","forex trading service","financial","2011-07-05"
"nasdaq data-on-demand","nasdaq historical stock quote data servcie","financial","2011-09-15"
"netaccounts","online accounting service","financial","2006-03-27"
"nexus6studio stockquote","access to stock quotes","financial","2010-12-07"
"nolapro","accounting software","financial","2011-01-25"
"oanda fxtrade","foreign exchange online trading services","financial","2008-11-01"
"offerpal","virtual currency monetization service","financial","2010-03-31"
"on deck capital","small business loan service","financial","2012-01-13"
"open source currency","virtual currency platform","financial","2010-10-08"
"open source exchange rates","currency exchange rates service","financial","2011-11-01"
"outright","finance income and expense tracking","financial","2010-03-13"
"paypal invoicing","paypal invoicing apis","financial","2011-10-19"
"piryx","the social giving platform for non-profits","financial","2011-04-26"
"privatbank","ukraine banking and payment service","financial","2010-03-31"
"prosper","peer-to-peer lending network","financial","2007-05-07"
"quick file","online accounting service","financial","2011-06-20"
"quoqu","microblogging service for finance traders","financial","2009-06-17"
"receipt bank","receipt conversion service","financial","2012-02-03"
"saasu","online accounting service","financial","2010-01-29"
"sec watch","corporate filings service","financial","2009-02-25"
"simple sales tracking","sales tracking service","financial","2010-10-08"
"skyclerk","online accounting service","financial","2011-10-25"
"snapbill","online billing service","financial","2011-03-07"
"stealthmodewatch","business information service","financial","2010-09-17"
"stock market data","stock market data service","financial","2011-10-02"
"stocklytics company data","company data lookup service","financial","2011-05-17"
"stocklytics historical stock prices","historical stock price lookup service","financial","2011-05-31"
"stocklytics intraday historical stock prices","daily stock price lookup service","financial","2011-05-31"
"stocklytics stock news","stock news service","financial","2011-06-07"
"stocklytics stock tweets","realtime tweets about stocks","financial","2011-05-25"
"stocktwits","investing ideas social serivce","financial","2011-08-22"
"super rewards","virtual currency monetization platform","financial","2010-03-29"
"swivel","business data visualization and analysis","financial","2008-07-31"
"taxcloud","sales tax calculation service","financial","2011-11-18"
"td ameritrade veo","financial advisor platform","financial","2011-02-01"
"tipjoy","aggregator monetization services","financial","2008-07-26"
"tradehill","internet commodity trading service","financial","2011-07-05"
"tradeking","stock trading and investment service","financial","2011-05-20"
"unified software bankval uk","bank and card validation services","financial","2008-10-03"
"vies vat","tax information verification service","financial","2012-01-18"
"vindicia","online billing service","financial","2009-02-24"
"virwox","virtual world currency exchange services","financial","2008-11-25"
"wave accounting","free online accounting service","financial","2011-10-18"
"webequity","financial services","financial","2009-04-13"
"wesabe","personal finance management and community","financial","2007-07-12"
"xavier finance exchange rates","exchange rates and charts","financial","2008-10-15"
"xero","online accounting service for smbs","financial","2010-01-29"
"xignite batslastsale","stock price data service","financial","2010-02-25"
"xignite calendar","global economic calendars","financial","2008-03-23"
"xignite global historical","historical stock quotes from global stock exchanges","financial","2008-03-29"
"xignite index components","stock index information service","financial","2010-10-15"
"xignite realtime","real-time stock quotes for u.s. stocks","financial","2007-10-01"
"xigniteanalysts","analysts ratings on u.s. stocks","financial","2008-03-29"
"xignitecharts","stock chart creation service","financial","2009-01-25"
"xignitecompensation","u.s. executive pay listings","financial","2009-01-25"
"xignitecurrencies","real-time currency exchange rates","financial","2008-01-26"
"xigniteedgar","u.s. sec edgar filings","financial","2008-02-21"
"xigniteemerging","track government bond prices and yields","financial","2009-02-25"
"xigniteenergy","energy futures quotes service","financial","2009-02-28"
"xigniteestimates","analyst earnings estimates for u.s. stocks","financial","2008-03-23"
"xigniteexchanges","provides operating hours for world securities exchanges","financial","2009-02-08"
"xignitefinancials","u.s. company financial statements","financial","2008-08-04"
"xignitefundamentals","u.s. company stock information","financial","2008-08-04"
"xignitefunddata","u.s. mutual fund facts and performances","financial","2008-03-29"
"xignitefundholdings","mutual fund holdings disclosure service","financial","2009-02-01"
"xignitefunds","u.s. mutual fund daily navs","financial","2008-02-21"
"xignitefutures","futures market quotes","financial","2008-03-27"
"xigniteglobalquotes","global delayed stock quotes","financial","2008-09-22"
"xignitehistorical","closing prices for u.s. equities","financial","2009-02-01"
"xigniteholdings","securities holdings database service","financial","2009-01-10"
"xignitehousing","u.s. housing market statistics","financial","2009-01-24"
"xigniteindices","closing index values for u.s. and world indices","financial","2009-01-31"
"xigniteinsider","real-time corporate insider transactions","financial","2009-01-25"
"xigniteinterbanks","global interbank interest rates","financial","2008-08-04"
"xignitelogos","company logo service","financial","2009-02-28"
"xignitemaster","global securities information","financial","2009-01-24"
"xignitemetals","real-time precious metals prices","financial","2008-08-04"
"xignitemoneymarkets","u.s. treasury and libor swap rates","financial","2008-08-04"
"xignitenasdaqlastsale","stock price service for nasdaq listings","financial","2009-06-27"
"xignitenews","u.s. financial economic and business news","financial","2009-01-24"
"xigniteofac","office of foreign assets control search","financial","2010-11-10"
"xigniteoptions","market quotes for options","financial","2008-08-04"
"xigniteoutlook","us financial market daily news updates","financial","2009-02-08"
"xignitequotes","market quotes for u.s. equities and etfs","financial","2009-01-31"
"xigniterates","global interest rates and government bond yields","financial","2008-01-26"
"xignitereleases","company news releases","financial","2009-02-01"
"xignitesecurity","global securities master listing","financial","2009-02-14"
"xignitesecurity","stock exchanges master company lists","financial","2009-04-18"
"xignitestatistics","u.s. economic statistics service","financial","2009-01-26"
"xignitevwap","volume-weighted average stock price tracking","financial","2009-06-27"
"xpenser","mobile expense tracking","financial","2009-12-05"
"xurrency","currency exchange rates","financial","2008-09-03"
"xweb financial","rdfi lookup and validation service","financial","2012-01-20"
"yendo accounts","online accounting software","financial","2010-11-02"
"yodlee finapp store","money management platform","financial","2010-10-25"
"zacks financial data","investment research service","financial","2011-06-20"
"zoho crm","customer relationship management services","financial","2009-01-27"
"zoho invoice","online invoicing service","financial","2010-04-21"
"zuora","subscription billing service","financial","2009-02-24"
"ordr.in","restaurant e-commerce system","food","2011-10-02"
"avin","wine tracking number repository","food","2011-07-05"
"beer mapping","brewery data and mapping services","food","2008-08-14"
"bigoven recipe","recipes grocery list and nutrition api","food","2009-10-07"
"ers/usda per capita food availability data","food availability data","food","2011-09-20"
"esha nutrition database","food product nutrition information service","food","2011-12-07"
"fatsecret","food nutrition and recipe database and diet tools","food","2009-08-16"
"food candy","social site for foodies","food","2006-08-07"
"food genius","restaurant and food data","food","2012-01-11"
"foodspotting","food review and sharing service","food","2011-09-12"
"grocery server","grocery search engine","food","2011-10-26"
"kidseatfor","restaurant deal search service","food","2011-08-09"
"livebookings","restaurant reservations and information service","food","2011-11-22"
"local food advisor","uk food market search service","food","2010-05-11"
"menu mania","restaurant search and review service","food","2009-12-05"
"open dining network food ordering","online restaurant menus and ordering service","food","2010-09-08"
"openmenu","restaurant menu sharing service","food","2011-11-15"
"pizza-rat restaurant health","restaurant health inspection scores","food","2010-10-29"
"punchfork recipe","realtime recipe aggregator service","food","2011-07-12"
"ratepubs","pub and bar reviews services","food","2008-11-26"
"recipe puppy","recipe database","food","2010-05-11"
"singleplatform","restaurant menu and local business storefront api","food","2012-01-30"
"subway subcard","subway purchase tracking and reward service","food","2012-01-05"
"supermarket","grocery item and supermarket information service","food","2011-10-13"
"untappd","social beer discovery app","food","2010-12-21"
"wine-searcher","wine search service","food","2011-06-24"
"zomato","india restaurant and lifestyle guide","food","2011-09-16"
"360voice","xbox gamer profile data","games","2010-11-11"
"3darmory","world of warcraft armory database","games","2009-08-07"
"aevum obscurum","online multiplayer strategy game","games","2007-11-28"
"aonaware countcheatservice","solutions to anagram problems","games","2011-05-17"
"battlefield 3 stats","battlefield 3 statistic reporting service","games","2011-11-21"
"battlefield bad company stats","player data and statistics","games","2011-06-07"
"bf2s","battlefield 2 gamers services","games","2008-10-25"
"blizzard community platform","world of warcraft community","games","2012-01-18"
"bunchball","multiplayer game platform","games","2006-02-03"
"buzzgame","search based game","games","2006-02-02"
"casualcafe","flash games provider","games","2011-07-07"
"cubiculus","lego instruction reference service","games","2009-08-07"
"digimi gizmo","3d avatar creation service","games","2011-01-10"
"dominions dice","dice throwing service","games","2006-08-15"
"erepublik","strategy game","games","2011-01-25"
"eve online","massively multiplayer online science fiction games","games","2007-07-15"
"fairluck","random number generator for casino software","games","2009-11-06"
"fupa games","flash games provider","games","2009-04-16"
"game jolt","independent video game directory","games","2011-09-22"
"gamepro","gaming review service","games","2009-08-07"
"gamerdna helix","warhammer game character service","games","2008-10-27"
"gamerid","gaming identity authenticater","games","2011-08-29"
"gamesradar","video game cheats and guides services","games","2008-07-02"
"gameyola","online gaming community","games","2011-07-05"
"gbanga puppetmaster","location-based gaming platform","games","2011-05-12"
"giant bomb","database of game information","games","2009-06-12"
"glitch","online massively multiplayer game","games","2011-10-02"
"goozex","video game trading services","games","2008-08-02"
"greengoose","wireless motion sensor game service","games","2012-01-11"
"halo:reach stats","access halo:reach game and player information","games","2011-06-10"
"heyzap","gaming service for flash games","games","2009-03-04"
"heyzap server","game user information service","games","2010-12-14"
"iactionable","gamification and analytics platform","games","2011-04-23"
"java game tome","java game listing services","games","2008-08-17"
"joyrack games","flash games directory","games","2010-03-29"
"kongregate","game data integration service","games","2011-12-02"
"landgrab","gaming platform","games","2010-10-18"
"mochi media flash games","game database listing service","games","2010-12-03"
"nabaztag","robotic rabbit controller service","games","2009-07-28"
"newhaze","flash games directory","games","2010-04-28"
"nonoba","flash based multiplayer gaming services","games","2008-05-25"
"onewinner.me","lottery number selection service","games","2011-12-16"
"orion&#039;s belt","battle game","games","2009-02-28"
"poszkole.pl","game statistics service","games","2011-04-23"
"pwned.com","online community for gamers","games","2011-08-15"
"pygame","video game development modules","games","2011-02-08"
"roar engine","social game mechanics game platform","games","2011-10-14"
"rubets","russian gambling site","games","2011-02-09"
"secondlife","virtual world","games","2006-01-29"
"shtoss","online gaming portal","games","2011-05-20"
"social gaming network","developer platform for social games","games","2008-02-14"
"spil games","online gaming portal","games","2011-05-12"
"spore","spore game database and content","games","2009-01-11"
"steam web","game data retrieval service","games","2011-07-18"
"texas holdem","poker game creation service","games","2011-11-04"
"this arcade","high score display tool","games","2011-09-02"
"wazap!","gaming information service","games","2009-05-26"
"weewar","access weewar.com game stats or create a bot","games","2008-10-03"
"world of warcraft","world of warcraft data service","games","2011-08-23"
"zynga","developer platform for social games","games","2008-02-14"
"43things","social goal setting","goal setting","2005-10-30"
"manybots server","personal information tracking service","goal setting","2011-09-08"
"quantter","activity and goal tracking application","goal setting","2011-10-04"
"skinnyr","weight loss tracking service","goal setting","2011-08-08"
"aadhaar uidai authentication","online authentication for indian citizens","government","2011-06-28"
"actblue","democratic fundraising service","government","2011-01-04"
"aes weblink","shipment submission and inquiry services","government","2008-09-14"
"alameda county service provider","listings for social services in alameda county (oakland) ca","government","2011-11-08"
"api.leipzig","leipzig city data","government","2011-12-06"
"australian business number lookup","australian business number refernece service","government","2008-07-02"
"örebro kommun","örebro kommun information","government","2011-11-25"
"baltimore open311","neighborhood public issue reporting tool","government","2011-12-13"
"berlin open data","berlin data and information","government","2011-12-06"
"brazil ckan","brazil open government data","government","2011-12-23"
"brazilian election candidates","brazilian election candidate information service","government","2010-12-08"
"business.gov","us government small business resources","government","2010-02-02"
"california race and ethnic population projections","california race and ethnic population projection data","government","2010-03-25"
"canada&#039;s economic action plan","information of canadian government eap","government","2009-12-18"
"capitol words","track words used by us government representatives","government","2011-12-12"
"challenge.gov","government challenge/solution platform","government","2011-10-31"
"chicago metropulse","chicago quality of life data","government","2011-09-23"
"cicero","address-based legislative district matching and elected official lookup service","government","2007-04-10"
"city of boston citizen&#039;s connect","boston residents reporting service","government","2011-09-27"
"city of chicago data portal","chicago datasets","government","2011-11-15"
"city of edmonton open data catalogue","city of edmonton datasets","government","2011-11-15"
"city of nanaimo","nanaimo b.c. datasets","government","2011-11-15"
"city of new orleans","new orleans city data","government","2011-10-04"
"city of rennes","city of rennes france datasets","government","2011-11-15"
"city of st. louis","city of st. louis data","government","2011-09-27"
"city of toronto: 311","toronto city government services","government","2011-10-25"
"citysourced","mobile civic engagment tool","government","2010-05-12"
"civic commons marketplace","open government data database and sharing platform","government","2012-01-20"
"civic footprint","political geography lookup for illinois","government","2006-05-19"
"ckan czech republic","czech republic open government data","government","2012-01-05"
"ckan ireland","ireland open government data","government","2011-12-23"
"ckan italy","italian open government data","government","2012-01-05"
"ckan norway","norway open government data","government","2012-01-05"
"data greater manchester","manchester england open government data","government","2011-12-23"
"data.cookcountyil.gov","cook county il government data","government","2011-10-03"
"data.gov.au","australia government data","government","2011-11-11"
"data.gov.sg","singapore government data","government","2011-11-21"
"data.gov.uk","public government database","government","2010-01-20"
"data.illinois.gov","illinois government data","government","2011-10-11"
"data.ok.gov","oklahoma state government data","government","2011-10-03"
"data.oregon.gov","oregon state government data","government","2011-09-27"
"data.seattle.gov","seattle city government data","government","2011-09-27"
"data.washington","washington state data","government","2011-11-15"
"datadotgc.ca","canadian open government data","government","2012-01-05"
"datagov.ru","russian open government data","government","2011-12-23"
"datahotell","norway open government data","government","2011-10-25"
"datanest fair-play alliance","slovakia government data","government","2011-12-06"
"dea number","u.s. dea controlled substance validation service","government","2012-01-31"
"democracy in action","eadvocacy services for nonprofits","government","2007-03-05"
"directgov syndication service","uk government content syndication service","government","2011-10-28"
"drumbone","us political data aggregated from multiple sources","government","2010-06-28"
"empire 2.0 tech talk","government technology discussion platform","government","2011-06-14"
"european union legislation","european union legislative data service","government","2011-07-12"
"fcc","u.s. communications data service","government","2010-09-14"
"federalregister.gov","open source government data","government","2011-08-12"
"fedspending.org","database of us government spending","government","2007-04-26"
"find your mp- uk parliament","uk mp search tool","government","2011-11-11"
"follow the money","database of us campaign contributions","government","2006-11-02"
"fred","us federal reserve economic data","government","2009-03-26"
"freedomspeaks","united states political data lookup","government","2008-10-08"
"gipuzkoa","spanish province government data","government","2011-08-30"
"gop.gov","us congressional republicans data","government","2009-02-03"
"goslyudi.ru","public ratings of russian government bloggers","government","2010-05-06"
"govtrack.us","us congress database service","government","2008-07-03"
"govtracker","rhode island state data services","government","2006-07-19"
"granicus open platform","government open data service","government","2011-07-18"
"granicus training management suite","government employee training service","government","2011-07-18"
"guardian politics","uk government and political resources","government","2010-03-01"
"hm revenue & customs","uk tax document submission service","government","2011-10-31"
"home energy saver","energy calculator tool","government","2011-10-04"
"how&#039;d they vote?","canadian parliament voting records","government","2011-11-21"
"idescat municipality in figures","statistical information on catalan municipalities","government","2010-12-02"
"ikregeer.nl","dutch parliament documents","government","2009-07-15"
"influence explorer text","textual analysis tool","government","2011-08-01"
"international aid transparency initiative","aid spending index","government","2012-01-05"
"kenya open data","kenya datasets","government","2011-11-15"
"king county open data","king county wa datasets","government","2011-11-15"
"la loter�a del ni�o","spanish lottery information lookup","government","2011-07-26"
"larimer county public records databases","larimer county property and property tax information service","government","2012-01-24"
"legislation.gov.uk","uk legislation information service","government","2011-10-31"
"littlesis","database for tracking political and business relationships","government","2010-01-28"
"london datastore","london government data","government","2011-11-01"
"louis","us federal documents database","government","2007-06-29"
"managemyrequests","information request tracking and reporting service","government","2012-01-24"
"maplight","government database linking contributions and votes","government","2007-11-04"
"maplight.org bill positions","campaign donation and vote tracking service","government","2010-01-31"
"mobile commons legislative lookup","legislative representative information service","government","2011-12-09"
"mybikelane","read-only api for mybikelane and uncivilservants database","government","2011-01-05"
"nantes open data","nantes france city data","government","2011-12-09"
"national broadband map","us broadband information","government","2011-11-15"
"new york times campaign finance","u.s. campaign finance data","government","2008-10-14"
"new york times congress","us congress historical data","government","2009-01-08"
"new york times districts","political districts service","government","2010-09-17"
"new york times ny state legislature","ny state legislative member information","government","2009-03-31"
"nos données (our data)","government data","government","2011-12-13"
"ny senate","new york state senate data access","government","2009-08-13"
"nyc 311 online","new york city government data","government","2011-09-27"
"nyc open data","new york city data collection","government","2011-10-17"
"oakland crime reports","crime reports service","government","2011-11-08"
"oakland crimespotting","oakland calif. crime information service","government","2012-01-26"
"offenedaten","germany open government data","government","2012-01-05"
"office for national statistics","uk neighborhood and census data","government","2008-07-03"
"open data badalona","badalona city data services","government","2011-06-30"
"open data catalogue austria","austria open data","government","2011-12-06"
"open data euskadi","basque country government data","government","2011-11-21"
"open data gencat","catalonia government data","government","2011-11-21"
"open government data initiative","government data resource from microsoft","government","2009-09-30"
"open kent","kent england county data","government","2011-12-06"
"open patent services","european patent office web services","government","2007-06-26"
"open state project","provides state legislative information","government","2010-12-20"
"open stockholm","stockholm city data","government","2011-12-06"
"open311","neighborhood public issue-tracking service","government","2011-12-13"
"openaustralia","australian government information service","government","2009-05-31"
"openbaltimore","baltimore city data","government","2011-09-27"
"opencolorado","colorado data sharing service","government","2011-11-15"
"opencongress","us government data","government","2009-10-20"
"opendataphilly","city of philadelphia data","government","2011-10-18"
"opengov.es","spain open government data","government","2011-12-23"
"opengov.fi","finland open government data","government","2011-12-23"
"opengovernment","state and local government data","government","2011-12-06"
"openly local","government information tracking service","government","2010-04-21"
"openparliament.ca","canadian parliament hansards","government","2011-11-15"
"opensecrets","u.s. political data lookup","government","2008-08-21"
"pdx","portland geographic and real-time information","government","2011-09-09"
"pdxcouncilconnect","portland (oregon) city council voting service","government","2011-08-01"
"poligraft","political entity extraction service","government","2010-08-26"
"postcode anywhere government data","uk government data service","government","2011-03-09"
"project vote smart","u.s. political data lookup","government","2008-07-13"
"publicdata.eu","european government open data aggregator","government","2011-12-06"
"realsearch tin reverse","tax id verficiation service","government","2011-05-25"
"recovery.gov","recovery act 2009 data","government","2011-09-23"
"redbridge datashare","uk government data","government","2011-11-01"
"reportit","uk government trouble report service","government","2011-11-01"
"ri.gov open data","rhode island government information","government","2011-10-03"
"richmond sunlight","virginia general assembly information aggregator","government","2010-12-21"
"samhsa","substance abuse and mental health services","government","2011-09-27"
"san francisco crimespotting","crimespotting data for san francisco california","government","2009-08-27"
"san francisco ethics commission lobbyist","san francisco lobbyist information database","government","2012-01-23"
"san francisco open311","neighborhood public issue reporting tool","government","2011-12-13"
"sao paolo open government","sao paolo state government portal","government","2011-12-06"
"seeclickfix","share non-emergency problems in your neighborhood","government","2010-04-12"
