"{|page}","{|order}","{|family}","{|genus &amp; species}","{|common name}","{|bna no.}"
"323.1","coraciiformes","alcedinidae","megaceryle torquata","ringed kingfisher","718 online only"
"323.2","coraciiformes","alcedinidae","ceryle alcyon","belted kingfisher","84"
"324.1","coraciiformes","alcedinidae","chloroceryle      americana","green      kingfisher","621"
"332.2","piciformes","picidae","melanerpes lewis","lewis' woodpecker","284"
"333.3","piciformes","picidae","melanerpes erythrocephalus","red-headed      woodpecker","518"
"333.4","piciformes","picidae","melanerpes formicivorus","acorn woodpecker","194"
"335.3","piciformes","picidae","melanerpes uropygialis","gila      woodpecker","532"
"335.5","piciformes","picidae","melanerpes    aurifrons","golden-fronted    woodpecker","373"
"336.1","piciformes","picidae","melanerpes      carolinus","red-bellied      woodpecker","500"
"336.3","piciformes","picidae","sphyrapicus thyroideus","williamson's sapsucker","285"
"337.1","piciformes","picidae","sphyrapicus varius","yellow-bellied sapsucker","662"
"337.2","piciformes","picidae","sphyrapicus ruber","red-naped sapsucker","663"
"338.1","piciformes","picidae","sphyrapicus ruber","red-breasted sapsucker","663"
"339.1","piciformes","picidae","picoides scalaris","ladder-backed      woodpecker","565"
"339.2","piciformes","picidae","picoides nuttallii","nuttall's      woodpecker","555"
"339.3","piciformes","picidae","picoides      pubescens","downy      woodpecker","613"
"339.4","piciformes","picidae","picoides      villosus","hairy      woodpecker","702"
"340.1","piciformes","picidae","picoides stricklandi","strickland's      woodpecker","474"
"340.2","piciformes","picidae","picoides borealis","red-cockaded woodpecker","85"
"340.3","piciformes","picidae","picoides albolarvatus","white-headed woodpecker","252"
"341.1","piciformes","picidae","picoides tridactylus","three-toed      woodpecker","588"
"341.2","piciformes","picidae","picoides arcticus","black-backed      woodpecker","509"
"344.1","piciformes","picidae","colaptes auratus","northern    flicker","166"
"346.1","piciformes","picidae","dryocopus pileatus","pileated    woodpecker","148"
"347.2","piciformes","picidae","campephilus      principalis","ivory-billed      woodpecker","711"
"373.3","passeriformes","tyrannidae","camptostoma imberbe","northern      beardless-tyrannulet","519"
"390.1","passeriformes","tyrannidae","contopus cooperi","olive-sided      flycatcher","502"
"390.2","passeriformes","tyrannidae","contopus pertinax","greater      pewee","450"
"391.3","passeriformes","tyrannidae","contopus sordidulus","western      wood-pewee","451"
"392.1","passeriformes","tyrannidae","contopus virens","eastern wood-pewee","245"
"393.4","passeriformes","tyrannidae","empidonax flaviventris","yellow-bellied      flycatcher","566"
"394.1","passeriformes","tyrannidae","empidonax      virescens","acadian      flycatcher","614"
"394.2","passeriformes","tyrannidae","empidonax alnorum","alder      flycatcher","446"
"395.1","passeriformes","tyrannidae","empidonax trailii","willow      flycatcher","533"
"395.3","passeriformes","tyrannidae","empidonax minimus","least flycatcher","99"
"396.1","passeriformes","tyrannidae","empidonax hammondii","hammond's flycatcher","109"
"396.2","passeriformes","tyrannidae","empidonax wrightii","gray flycatcher","458"
"397.1","passeriformes","tyrannidae","empidonax oberholseri","dusky flycatcher","78"
"397.3","passeriformes","tyrannidae","empidonax difficilis","pacific-slope      flycatcher","556"
"398.1","passeriformes","tyrannidae","empidonax occidentalis","cordilleran      flycatcher","556"
"398.3","passeriformes","tyrannidae","empidonax fulvifrons","buff-breasted flycatcher","125"
"399.1","passeriformes","tyrannidae","sayornis nigricans","black phoebe","268"
"399.2","passeriformes","tyrannidae","sayornis phoebe","eastern phoebe","94"
"400.1","passeriformes","tyrannidae","sayornis saya","say's phoebe","374"
"400.2","passeriformes","tyrannidae","pyrocephalus      rubinus","vermilion      flycatcher","484"
"403.4","passeriformes","tyrannidae","myiarchus      tuberculifer","dusky-capped      flycatcher","631"
"404.2","passeriformes","tyrannidae","myiarchus cinerascens","ash-throated flycatcher","664"
"405.1","passeriformes","tyrannidae","myiarchus crinitus","great crested flycatcher","300"
"405.2","passeriformes","tyrannidae","myiarchus tyrannulus","brown-crested flycatcher","496"
"407.3","passeriformes","tyrannidae","pitangus      sulphuratus","great      kiskadee","622"
"410.2","passeriformes","tyrannidae","nyiodynastes      luteiventris","sulphur-bellied      flycatcher","475"
"411.2","passeriformes","tyrannidae","tyrannus melancholicus","tropical kingbird","358"
"412.1","passeriformes","tyrannidae","tyrannus couchii","couch's      kingbird","437"
"412.2","passeriformes","tyrannidae","tyrannus vociferans","cassin's      kingbird","534"
"412.3","passeriformes","tyrannidae","tyrannus      crassirostris","thick-billed      kingbird","604"
"413.1","passeriformes","tyrannidae","tyrannus verticalis","western kingbird","227"
"413.2","passeriformes","tyrannidae","tyrannus tyrannus","eastern    kingbird","253"
"414.1","passeriformes","tyrannidae","tyrannus dominicensis","gray kingbird","668"
"414.4","passeriformes","tyrannidae","tyrannus forficatus","scissor-tailed flycatcher","342"
"427.2","passeriformes","meliphagidae","moho braccatus","kauai      'o'o","535"
"427.3","passeriformes","meliphagidae","moho apicalis","o'ahu      'o'o","535"
"427.4","passeriformes","meliphagidae","moho bishopi","bishop's      'o'o","535"
"428.1","passeriformes","meliphagidae","moho nobilis","hawai'i      'o'o","535"
"428.2","passeriformes","meliphagidae","chaetoptila angustipluma","kioea","535"
"428.4","passeriformes","laniidae","lanius ludovicianus","loggerhead    shrike","231"
"429.1","passeriformes","laniidae","lanius excubitor","northern shrike","671"
"430.2","passeriformes","vireonidae","vireo griseus","white-eyed vireo","168"
"432.4","passeriformes","vireonidae","vireo bellii","bell's vireo","35"
"432.5","passeriformes","vireonidae","vireo atricapillus","black-capped vireo","181"
"433.2","passeriformes","vireonidae","vireo      vicinior","gray      vireo","447"
"433.4","passeriformes","vireonidae","vireo flavifrons","yellow-throated vireo","247"
"434.1","passeriformes","vireonidae","vireo plumbeus","plumbeous vireo","366"
"434.2","passeriformes","vireonidae","vireo      cassinii","cassin's      vireo","615"
"435.1","passeriformes","vireonidae","vireo salitarius","blue-headed vireo","379"
"435.3","passeriformes","vireonidae","vireo huttoni","hutton's vireo","189"
"436.2","passeriformes","vireonidae","vireo gilvus","warbling      vireo","551"
"437.1","passeriformes","vireonidae","vireo philadelphicus","philadelphia vireo","214"
"438.2","passeriformes","vireonidae","vireo      altiloquus","black-whiskered      vireo","607"
"437.2","passeriformes","vireonidae","vireo olivaceus","red-eyed      vireo","527"
"441.2","passeriformes","corvidae","perisoreus canadensis","gray jay","40"
"442.1","passeriformes","corvidae","cyanocitta stelleri","steller's jay","343"
"442.2","passeriformes","corvidae","cyanocitta cristata","blue      jay","469"
"443.5","passeriformes","corvidae","cyanocorax yncas","green    jay","187"
"446.2","passeriformes","corvidae","aphelocoma coerulescens","florida scrub-jay","228"
"446.3","passeriformes","corvidae","aphelocoma      insularis","island      scrub-jay","713"
"446.4","passeriformes","corvidae","aphelocoma      californica","western      scrub-jay","712"
"447.1","passeriformes","corvidae","aphelocoma ultramarina","mexican jay","118"
"447.3","passeriformes","corvidae","gymnorhinus      cyanocephalus","pinyon      jay","605"
"448.1","passeriformes","corvidae","nucifraga columbiana","clark's    nutcracker","331"
"448.2","passeriformes","corvidae","pica pica","black-billed magpie","389"
"449.1","passeriformes","corvidae","pica nuttalli","yellow-billed magpie","180"
"449.3","passeriformes","corvidae","corvus brachyrhynchos","american crow","647"
"450.1","passeriformes","corvidae","corvus caurinus","northwestern crow","407"
"451.4","passeriformes","corvidae","corvus      ossifragus","fish      crow","589"
"451.5","passeriformes","corvidae","corus hawaiiensis","hawaiian crow","648"
"452.1","passeriformes","corvidae","corvus      cryptoleucus","chihuahuan      raven","606"
"452.2","passeriformes","corvidae","corvus      corax","common      raven","476"
"452.3","passeriformes","monarchidae","chasiempis sandwichensis","'elepaio","344"
"453.1","passeriformes","alaudidae","alauda arvensis","sky lark","286"
"454.1","passeriformes","alaudidae","eremophila alpestris","horned lark","195"
"454.2","passeriformes","hirundinidae","progne subis","purple martin","287"
"457.1","passeriformes","hirundinidae","tachycineta bicolor","tree swallow","11"
"458.2","passeriformes","hirundinidae","tachycineta thalassina","violet-green swallow","14"
"459.3","passeriformes","hirundinidae","stelgidopteryx serripennis","northern rough-winged swallow","234"
"460.2","passeriformes","hirundinidae","riparia riparia","bank swallow","414"
"461.1","passeriformes","hirundinidae","{|petrochelidon pyrrhonota          &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;    genus on cover: hirundo}","cliff swallow","149"
"461.2","passeriformes","hirundinidae","petrochelidon fulva      genus on cover: hirundo","cave swallow","141"
"462.1","passeriformes","hirundinidae","hirundo      rustica","barn      swallow","452"
"463.2","passeriformes","paridae","poecile      carolinensis","carolina      chickadee","636"
"463.3","passeriformes","paridae","poecile atricapillus      &nbsp; genus on cover: parus","black-capped chickadee","39"
"464.1","passeriformes","paridae","poecile gambeli","mountain      chickadee","453"
"464.2","passeriformes","paridae","poecile sclateri&nbsp;      genus on cover: parus","mexican chickadee","8"
"465.1","passeriformes","paridae","poecile      rufescens","chestnut-backed      chickadee","689"
"465.2","passeriformes","paridae","poecile hudsonicus&nbsp;      genus on cover: parus","boreal    chickadee","254"
"465.3","passeriformes","paridae","poecile cinctus&nbsp;&nbsp;      genus on cover: parus","siberian tit&nbsp;&nbsp; aou: grey-headed chickadee","196"
"466.1","passeriformes","paridae","baeolophus    wollweberi","bridled titmouse","375"
"466.2","passeriformes","paridae","baeolophus      inornatus","oak      titmouse","485"
"466.3","passeriformes","paridae","baeolophus      ridgwayi","juniper      titmouse","485"
"466.4","passeriformes","paridae","{|baeolophus bicolor}","tufted titmouse","86"
"467.1","passeriformes","paridae","baeolophus atricristatus","black-crested titmouse","717 online only"
"467.1","passeriformes","remizidae","auriparus      flaviceps","verdin","470"
"467.2","passeriformes","aegithalidae","psaltriparus      minimus","bushtit","598"
"468.1","passeriformes","sittidae","sitta canadensis","red-breasted nuthatch","459"
"469.1","passeriformes","sittidae","sitta carolinensis","white-breasted nuthatch","54"
"469.2","passeriformes","sittidae","sitta pygmaea","pygmy      nuthatch","567"
"469.3","passeriformes","sittidae","sitta pusilla","brown-headed nuthatch","349"
"470.1","passeriformes","certhidae","certhia americana","brown creeper","669"
"473.3","passeriformes","troglodytidae","campylorhynchus      brunneicapillus","cactus      wren","558"
"473.4","passeriformes","troglodytidae","salpinctes      obsoletus","rock      wren","486"
"474.1","passeriformes","troglodytidae","catherpes mexicanus","canyon wren","197"
"478.1","passeriformes","troglodytidae","thryothorus ludovicianus","carolina wren","188"
"479.2","passeriformes","troglodytidae","thryomanes bewickii","bewick's wren","315"
"480.2","passeriformes","troglodytidae","troglodytes    aedon","house wren","380"
"482.1","passeriformes","troglodytidae","troglodytes      troglodytes","winter      wren","623"
"482.2","passeriformes","troglodytidae","cistothorus platensis","sedge      wren","582"
"483.1","passeriformes","troglodytidae","cistothorus palustris","marsh wren","308"
"486.2","passeriformes","cinclidae","cinclus mexicanus","american dipper","229"
"487.1","passeriformes","pycnonotidae","pycnonotus      cafer","red-vented      bulbul","520"
"487.2","passeriformes","pycnonotidae","pycnonotus      jocosus","red-whiskered      bulbul","520"
"487.3","passeriformes","regulidae","regulus satrapa","golden-crowned kinglet","301"
"488.1","passeriformes","regulidae","regulus calendula","ruby-crowned kinglet","119"
"490.1","passeriformes","sylviidae","acrocephalus familiaris","laysan and nihoa millerbird","302"
"490.4","passeriformes","sylviidae","phylloscopus      borealis","arctic      warbler","590"
"492.1","passeriformes","sylviidae","polioptila caerulea","blue-gray gnatcatcher","23"
"492.3","passeriformes","sylviidae","polioptila californica","california gnatcatcher","574"
"492.4","passeriformes","sylviidae","polioptila      melanura","black-tailed      gnatcatcher","690"
"496.1","passeriformes","turdidae","luscinia svecica","bluethroat","670"
"497.1","passeriformes","turdidae&nbsp; on    cover:&nbsp; muscicapidae","copsychus malabaricus","white-rumped shama","378"
"497.2","passeriformes","turdidae","oenanthe oenanthe","northern wheatear","316"
"498.2","passeriformes","turdidae","sialia sialis","eastern bluebird","381"
"498.3","passeriformes","turdidae","sialia      mexicana","western      bluebird","510"
"499.1","passeriformes","turdidae","sialia currucoides","mountain bluebird","222"
"499.2","passeriformes","turdidae","myadestes townsendi","townsend's solitaire","269"
"501.3","passeriformes","turdidae","myadestes myadestinus","kama'o","460"
"501.4","passeriformes","turdidae","myadestes woahensis","'amaui","460"
"501.5","passeriformes","turdidae","myadestes lanaiensis","oloma'o","460"
"501.6","passeriformes","turdidae","myadestes obscurus","'oma'o","460"
"502.1","passeriformes","turdidae","myadestes palmeri","puaiohi","461"
"503.5","passeriformes","turdidae","catharus fuscescens","veery","142"
"504.1","passeriformes","turdidae","catharus minimus","gray-cheeked      thrush","591"
"505.1","passeriformes","turdidae","catharus bicknelli","bicknell's      thrush","592"
"505.2","passeriformes","turdidae","catharus ustulatus","swainson's      thrush","540"
"505.3","passeriformes","turdidae","catharus guttatus","hermit thrush","261"
"506.1","passeriformes","turdidae","hylocichla mustelina","wood    thrush","246"
"511.3","passeriformes","turdidae","turdus      migratorius","american      robin","462"
"513.1","passeriformes","turdidae","ixoreus      naevius","varied      thrush","541"
"514.3","passeriformes","timaliidae","leiothreix lutea","red-billed leiothrix","359"
"514.4","passeriformes","timaliidae","chamaea fasciata","wrentit","654"
"515.1","passeriformes","zosteropidae","zosterops      japonicus","japanese      white-eye","487"
"515.2","passeriformes","mimidae","dumetella carolinensis","gray catbird","167"
"516.2","passeriformes","mimidae","mimus polyglottos","northern mockingbird","7"
"517.3","passeriformes","mimidae","oreoscoptes      montanus","sage      thrasher","463"
"518.2","passeriformes","mimidae","toxostoma      rufum","brown      thrasher","557"
"519.1","passeriformes","mimidae","toxostoma longirostre","long-billed thrasher","317"
"519.4","passeriformes","mimidae","toxostoma bendirei","bendire's thrasher","71"
"520.2","passeriformes","mimidae","toxostoma curvirostre","curve-billed thrasher","235"
"520.3","passeriformes","mimidae","toxostoma redivivum","california    thrasher","323"
"520.4","passeriformes","mimidae","toxostoma crissale","crissal      thrasher","419"
"521.1","passeriformes","mimidae","toxostoma lecontei","le conte's thrasher","230"
"523.2","passeriformes","sturnidae","sturnus vulgaris","european starling","48"
"524.1","passeriformes","sturnidae","acridotheres tristis","common      myna","583"
"524.2","passeriformes","sturnidae","acridotheres cristatellus","crested myna","157"
"525.2","passeriformes","motacillidae","motacilla flava","yellow wagtail","382"
"526.2","passeriformes","motacillidae","motacilla alba","white wagtail","236"
"527.1","passeriformes","motacillidae","motacilla lugens","black-backed wagtail","237"
"528.2","passeriformes","motacillidae","anthus rubescens","american pipit","95"
"529.1","passeriformes","motacillidae","anthus spragueii","spragues's      pipit","439"
"530.1","passeriformes","bombycillidae","bombycilla      garrulus","bohemian      waxwing","714"
"530.2","passeriformes","bombycillidae","bombycilla cedrorum","cedar waxwing","309"
"531.4","passeriformes","ptilogonatidae","phainopepla    nitens","phainopepla","415"
"532.2","passeriformes","parulidae&nbsp; on cover: peucedramidae","peucedramus taeniatus","olive warbler","310"
"533.1","passeriformes","parulidae","vermivora bachmanii","bachman's warbler","150"
"533.2","passeriformes","parulidae","vermivora pinus","blue-winged      warbler","584"
"534.1","passeriformes","parulidae","vermivora chrysoptera","golden-winged warbler","20"
"534.2","passeriformes","parulidae","vermivora peregrina","tennessee warbler","350"
"535.1","passeriformes","parulidae","vermivora celata","orange-crowned warbler","101"
"535.2","passeriformes","parulidae","vermivora ruficapilla","nashville    warbler","205"
"536.1","passeriformes","parulidae","vermivora virginiae","virginia's      warbler","477"
"536.2","passeriformes","parulidae","vermivora    crissalis","colima warbler","383"
"537.1","passeriformes","parulidae","vermivora luciae","lucy's warbler","318"
"538.1","passeriformes","parulidae","parula americana","northern parula","215"
"538.2","passeriformes","parulidae","parula pitiayumi","tropical parula","293"
"539.1","passeriformes","parulidae","dendroica petechia","yellow      warbler","454"
"540.1","passeriformes","parulidae","dendroica pensylvanica","chestnut-sided warbler","190"
"540.2","passeriformes","parulidae","dendroica magnolia","magnolia warbler","136"
"541.1","passeriformes","parulidae","dendroica tigrina","cape    may warbler","332"
"541.2","passeriformes","parulidae","dendroica caerulescens","black-throated blue warbler","87"
"542.1","passeriformes","parulidae","dendroica    coronata","yellow-rumpted    warbler","376"
"543.2","passeriformes","parulidae","dendroica      chrysoparia","golden-cheeked      warbler","420"
"543.1","passeriformes","parulidae","dendroica nigrescens","black-throated gray warbler","319"
"543.3","passeriformes","parulidae","dendroica virens","black-throated green warbler","55"
"544.1","passeriformes","parulidae","dendroica townsendi","townsend's warbler","333"
"545.1","passeriformes","parulidae","dendroica occidentalis","hermit warbler","303"
"545.2","passeriformes","parulidae","dendroica fusca","blackburnian warbler","102"
"546.1","passeriformes","parulidae","dendroica dominica","yellow-throated warbler","223"
"546.2","passeriformes","parulidae","dendroica graciae","grace's warbler","677"
"547.2","passeriformes","parulidae","dendroica pinus","pine warbler","438"
"547.3","passeriformes","parulidae","dendroica kirtlandii","kirtland's warbler","19"
"548.1","passeriformes","parulidae","dendroica discolor","prairie      warbler","455"
"548.3","passeriformes","parulidae","dendroica palmarum","palm warbler","238"
"549.1","passeriformes","parulidae","dendroica castanea","bay-breasted warbler","206"
"549.2","passeriformes","parulidae","dendroica striata","blackpoll warbler","431"
"550.1","passeriformes","parulidae","dendroica cerulea","cerulean      warbler","511"
"551.5","passeriformes","parulidae","mniotilta varia","black-and-white warbler","158"
"552.1","passeriformes","parulidae","setophaga ruticilla","american redstart","277"
"553.1","passeriformes","parulidae","protonotaria    citrea","prothonotary warbler","408"
"553.2","passeriformes","parulidae","helmitheros vermivorus","worm-eating warbler","367"
"554.1","passeriformes","parulidae","limnothlypis swainsonii","swainson's warbler","126"
"554.2","passeriformes","parulidae","seiurus aurocapillus","ovenbird","88"
"555.1","passeriformes","parulidae","seiurus noveboracensis","northern waterthrush","182"
"555.2","passeriformes","parulidae","seiurus motacilla","louisiana waterthrush","151"
"556.1","passeriformes","parulidae","oporornis formosus","kentucky warbler","324"
"556.2","passeriformes","parulidae","oporornis agilis","connecticut warbler","320"
"557.1","passeriformes","parulidae","oporornis philadelphia","mourning warbler","72"
"557.2","passeriformes","parulidae","oporornis tolmiei","macgillivray's warbler","159"
"558.1","passeriformes","parulidae","geothlypis      trichas","common      yellowthroat","448"
"561.3","passeriformes","parulidae","wilsonia citrina","hooded warbler","110"
"562.1","passeriformes","parulidae","wilsonia pusilla","wilson's      warbler","478"
"562.2","passeriformes","parulidae","wilsonia      canadensis","canada      warbler","421"
"563.1","passeriformes","parulidae","cardellina rubrifrons","red-faced warbler","152"
"564.1","passeriformes","parulidae","myioborus      pictus","painted      redstart","528"
"567.3","passeriformes","parulidae","icteria      virens","yellow-breasted      chat","575"
"577.3","passeriformes","thraupidae","piranga flava","hepatic tanager","655"
"578.1","passeriformes","thraupidae","piranga rubra","summer tanager","248"
"578.2","passeriformes","thraupidae","piranga      olivacea","scarlet      tanager","479"
"579.1","passeriformes","thraupidae","piranga      ludoviciana","western      tanager","432"
"592.3","passeriformes","emberizidae","sporophila torqueola","white-collared seedeater","278"
"602.4","passeriformes","emberizidae","arremonops rufivirigatus","olive sparrow","325"
"604.3","passeriformes","emberizidae","pipilo chlorurus","green-tailed towhee","368"
"605.2","passeriformes","emberizidae","pipilo maculatus","spotted    towhee","263"
"605.3","passeriformes","emberizidae","pipilo erythrophthalmus","eastern towhee","262"
"606.2","passeriformes","emberizidae","pipilo fuscus","canyon towhee","264"
"606.3","passeriformes","emberizidae","pipilo      crissalis","california      towhee","632"
"606.4","passeriformes","emberizidae","pipilo aberti","abert's towhee","111"
"607.5","passeriformes","emberizidae","aimophila      carpalis","rufous-winged      sparrow","422"
"607.6","passeriformes","emberizidae","aimophila      cassinii","cassin's      sparrow","471"
"608.1","passeriformes","emberizidae","aimophila aestivalis","bachman's sparrow","38"
"608.2","passeriformes","emberizidae","aimophila botterii","botteri's sparrow","216"
"608.3","passeriformes","emberizidae","aimophila      ruficeps","rufous-crowned      sparrow","472"
"609.3","passeriformes","emberizidae","aimophila quinquestriata","five-striped sparrow","21"
"610.3","passeriformes","emberizidae","spizella arborea","american tree sparrow","37"
"610.4","passeriformes","emberizidae","spizella passerina","chipping    sparrow","334"
"611.1","passeriformes","emberizidae","spizella pallida","clay-colored sparrow","120"
"611.2","passeriformes","emberizidae","spizella breweri","brewer's sparrow","390"
"612.1","passeriformes","emberizidae","spizella pusilla","field sparrow","103"
"612.3","passeriformes","emberizidae","spizella atrogularis","black-chinned sparrow","270"
"613.1","passeriformes","emberizidae","pooecetes      gramineus","vesper      sparrow","624"
"613.2","passeriformes","emberizidae","chondestes      grammacus","lark      sparrow","488"
"614.1","passeriformes","emberizidae","amphispiza      bilineata","black-throated      sparrow","637"
"614.2","passeriformes","emberizidae","amphispiza belli","sage sparrow","326"
"615.1","passeriformes","emberizidae","calamospiza      melanocorys","lark      bunting","542"
"615.2","passeriformes","emberizidae","passerculus sandwichensis","savannah sparrow","45"
"616.1","passeriformes","emberizidae","ammodramus savannarum","grasshopper    sparrow","239"
"617.1","passeriformes","emberizidae","ammodramus      bairdii","baird's      sparrow","638"
"617.2","passeriformes","emberizidae","ammodramus henslowii","henslow's sparrow","672"
"618.1","passeriformes","emberizidae","ammodramus leconteii","le conte's sparrow","224"
"618.2","passeriformes","emberizidae","ammodramus nelsoni","nelson's sparrow","719"
"619.1","passeriformes","emberizidae","ammodramus caudacutus","sharp-tailed sparrow","112"
"619.2","passeriformes","emberizidae","ammodramus maritimus","seaside sparrow","127"
"620.1","passeriformes","emberizidae","passerella      itiaca","fox      sparrow","715"
"621.1","passeriformes","emberizidae","melospiza      melodia","song      sparrow","704"
"621.2","passeriformes","emberizidae","melospiza lincolnii","lincoln's sparrow","191"
"622.1","passeriformes","emberizidae","melospiza georgiana","swamp sparrow","279"
"622.3","passeriformes","emberizidae","zonotrichia albicollis","white-throated sparrow","128"
"623.1","passeriformes","emberizidae","zonotrichia querula","harris' sparrow","64"
"623.2","passeriformes","emberizidae","zonotrichia leucophrys","white-crowned sparrow","183"
"624.1","passeriformes","emberizidae","zonotrichia atricapilla","golden-crowned sparrow","352"
"625.1","passeriformes","emberizidae","junco      hyemalis","dark-eyed      junco","716"
"626.1","passeriformes","emberizidae","junco      phaeonotus","yellow-eyed      junco","464"
"626.2","passeriformes","emberizidae","calcarius mccownii","mccown's longspur","96"
"627.1","passeriformes","emberizidae","calcarius lapponicus","lapland longspur","656"
"627.2","passeriformes","emberizidae","calcarius pictus","smith's longspur","34"
"627.3","passeriformes","emberizidae","calcarius ornatus","chestnut-collared longspur","288"
"630.1","passeriformes","emberizidae","plectrophenax nivalis","snow bunting","198"
"630.2","passeriformes","emberizidae","plectrophenax hyperboreus","mckay's bunting","199"
"633.3","passeriformes","cardinalidae","cardinalis      cardinalis&nbsp;","northern      cardinal","440"
"634.1","passeriformes","cardinalidae","cardinalis    sinuatus","pyrrhuloxia","391"
"635.1","passeriformes","cardinalidae","pheucticus      ludovicianus","rose-breasted      grosbeak","692"
"635.2","passeriformes","cardinalidae","pheucticus melanocephalus","black-headed grosbeak","143"
"636.3","passeriformes","cardinalidae","guiraca caerulea","blue grosbeak","79"
"637.2","passeriformes","cardinalidae","passerina amoena","lazuli bunting","232"
"637.3","passeriformes","cardinalidae (on cover: emberizidae)","passerina cyanea","indigo bunting","4"
"638.1","passeriformes","cardinalidae","passerina versicolor","varied bunting","351"
"638.3","passeriformes","cardinalidae","passerina ciris","painted bunting","398"
"639.1","passeriformes","cardinalidae","spiza      americana","dickcissel","703"
"640.1","passeriformes","icteridae","dolichonyx oryzivorus","bobolink","176"
"640.2","passeriformes","icteridae","agelaius phoeniceus","red-winged    blackbird","184"
"641.2","passeriformes","icteridae","agelaius      tricolor","tricolored      blackbird","423"
"642.3","passeriformes","icteridae","sturnella magna","eastern    meadowlark","160"
"643.1","passeriformes","icteridae","sturnella neglecta","western meadowlark","104"
"643.2","passeriformes","icteridae","xanthocephalus xanthocephalus","yellow-headed blackbird","192"
"645.1","passeriformes","icteridae","euphagus carolinus","rusty blackbird","200"
"645.2","passeriformes","icteridae","euphagus      cyanocephalus","brewer's      blackbird","616"
"646.1","passeriformes","icteridae","quiscalus quiscula","common grackle","271"
"646.2","passeriformes","icteridae","quiscalus major","boat-tailed grackle","207"
"646.3","passeriformes","icteridae","quiscalus mexicanus","great-tailed      grackle","576"
"648.1","passeriformes","icteridae","molothrus    bonariensis","shiny cowbird","399"
"648.2","passeriformes","icteridae","molothrus aeneus","bronzed cowbird","144"
"648.3","passeriformes","icteridae","molothrus ater","brown-headed cowbird","47"
"650.5","passeriformes","icteridae","icterus spurius","orchard oriole","255"
"651.1","passeriformes","icteridae","icterus cucullatus","hooded      oriole","568"
"653.4","passeriformes","icteridae","icterus gularis","altamira oriole","56"
"654.1","passeriformes","icteridae","icterus      graduacauda","audubon's      oriole","691"
"654.2","passeriformes","icteridae","icterus galbula","baltimore oriole","384"
"655.1","passeriformes","icteridae","icterus    bullockii","bullock's oriole","416"
"655.3","passeriformes","icteridae","icterus      parisorum","scott's      oriole","608"
"659.1","passeriformes","fringillidae","leucosticte      tephrocotis","gray-crowned      rosy-finch","559"
"659.2","passeriformes","fringillidae","leucosticte atrata","black rosy-finch","678"
"660.1","passeriformes","fringillidae","leucosticte      australis","brown-capped      rosy-finch","536"
"660.2","passeriformes","fringillidae","pinicola      enucleator","pine      grosbeak","456"
"661.2","passeriformes","fringillidae","carpodacus purpureus","purple finch","208"
"661.3","passeriformes","fringillidae","carpodacus cassinii","cassin's finch","240"
"662.1","passeriformes","fringillidae","carpodacus mexicanus","house finch","46"
"662.2","passeriformes","fringillidae","loxia curvirostra","red    crossbill","256"
"663.1","passeriformes","fringillidae","loxia leucoptera","white-winged crossbill","27"
"664.1","passeriformes","fringillidae","carduelis      flammea","common      redpoll","543"
"664.2","passeriformes","fringillidae","carduelis      hornemanni","hoary      redpoll","544"
"665.2","passeriformes","fringillidae","carduelis pinus","pine siskin","280"
"667.3","passeriformes","fringillidae","carduelis    psaltria","lesser goldfinch","392"
"667.4","passeriformes","fringillidae","carduelis      lawrencei","lawrence's      gold finch","480"
"668.1","passeriformes","fringillidae","carduelis tristis","american goldfinch","80"
"670.2","passeriformes","fringillidae","coccothraustes      vespertinus","evening      grosbeak","599"
"671.1","passeriformes","fringillidae","telespiza      cantans","laysan      finch","639"
"671.2","passeriformes","fringillidae","telespiza      ultima","nihoa      finch","639"
"671.3","passeriformes","fringillidae","psittirostra psittacea","'o'u","335"
"672.1","passeriformes","fringillidae","dysmorodrepanis munroi","lana'i hookbill","336"
"672.2","passeriformes","fringillidae","loxioides bailleui","palila","679"
"672.3","passeriformes","fringillidae","rhodacanthis      flaviceps","lesser      koa-finch","424"
"672.4","passeriformes","fringillidae","rhodacanthis      palmeri","greater      koa-finch","424"
"673.1","passeriformes","fringillidae","chloridops      kona","kona      grosbeak","424"
"673.2","passeriformes","fringillidae","pseudonestor xanthophrys","maui parrotbill","311"
"673.3","passeriformes","fringillidae","hemignathus virens","hawai'i      'amakihi","360"
"674.1","passeriformes","fringillidae","hemignathus flavus species on cover: chloris","o'ahu      'amakihi","360"
"674.2","passeriformes","fringillidae","hemignathus kauaiensis","kaua'i      'amakihi","360"
"674.3","passeriformes","fringillidae","hemignathus parvus","'anianiau","312"
"674.4","passeriformes","fringillidae","hemignathus sagittirostris","greater      'amakihi","360"
"674.5","passeriformes","fringillidae","hemignathus obscurus","lesser      'akialoa","512"
"675.1","passeriformes","fringillidae","hemignathus ellisianus","greater      'akialoa","512"
"675.2","passeriformes","fringillidae","hemignathus lucidus","nukupu'u","600"
"675.3","passeriformes","fringillidae","hemignathus munroi","'akiapola'au","600"
"676.1","passeriformes","fringillidae","oreomystis      bairde","'akikiki","552"
"676.2","passeriformes","fringillidae","oreomystis mana","hawai'i creeper","680"
"676.3","passeriformes","fringillidae","paroreomysa      maculata","oahu      alauahio","503"
