"scientific name","common name","state rank","global rank"
"ostrya virginiana","eastern hop-hornbeam","s2","g5"
"oxypolis canbyi","canby's dropwort","sx","g2"
"panax quinquefolius","american ginseng","s2","g4"
"panicum hemitomon","maidencane","s2","g5?"
"panicum philadelphicum","philadelphia panic grass","s1.1","g5"
"paronychia canadensis","forked nail-wort","s3","g5"
"paronychia fastigiata","cluster-stemmed nail-wort","s2","g5t5"
"(includes variety paleacea)","NULL","NULL","NULL"
"paspalum dissectum","walter's paspalum","s3","g4?"
"passiflora lutea","yellow passion-flower","s3","g5"
"pedicularis canadensis","early wood lousewort","s2","g5"
"pedicularis lanceolata","swamp lousewort","sh","g5"
"pellaea atropurpurea","purple-stem cliff-brake","s1","g5"
"penstemon hirsutus","hairy beardtongue","sh","g4"
"penstemon laevigatus","smooth beardtongue","sh","g5"
"penthorum sedoides","ditch-stonecrop","s3","g5"
"persea palustris","red bay","sh","g5"
"phacelia dubia","small-flower scorpionweed","sh","g5"
"phaseolus polystachios","wild kidney bean","sh","g4"
"phlox maculata","spotted phlox","s1","g5t?"
"phlox pilosa","downy phlox","sx","g5t5"
"phyla lanceolata","fog-fruit","s1","g5"
"physalis angulata","cutleaf ground-cherry","sh","g5"
"physalis virginiana","virginia ground-cherry","sh","g5"
"physocarpus opulifolius","eastern ninebark","sh","g5t?"
"pinus echinata","shortleaf pine","s3","g5"
"pinus serotina","pond pine","s3","g5"
"piptochaetium avenaceum","blackseed needlegrass","s3","g5"
"(stipa avenacea)","NULL","NULL","NULL"
"pityopsis graminifolia var. latifolia","grassleaf golden aster","sh","g5"
"platanthera blephariglottis","white-fringe orchis","s1","g4g5t3t4"
"platanthera ciliaris","yellow-fringe orchid","sh","g5"
"platanthera cristata","yellow-crested orchis","s3","g5"
"platanthera flava var. herbiola","southern rein-orchid","s1","g4t4q"
"platanthera grandiflora","large purple-fringe orchis","sx","g5"
"platanthera lacera","green-fringe orchis","s3","g5"
"platanthera nivea","snowy orchis","sh","g5"
"platanthera peramoena","purple fringeless orchid","s1.1","g5"
"platanthera psycodes","small purple-fringe orchis","sh","g5"
"pleopeltis polypodioides ssp. michauxiana","resurrection fern","sx","g5t5"
"{(polypodium polypodioides|var. michauxianum)}","NULL","NULL","NULL"
"pluchea camphorata","marsh fleabane","sh","g5"
"poa chapmaniana","chapman's bluegrass","sh","g5"
"poa cuspidata","bluegrass","s2","g5"
"poa palustris","fowl bluegrass","s1.1","g5"
"podostemum ceratophyllum","threadfoot","s1.1","g5"
"pogonia ophioglossoides","rose pogonia","s2","g5"
"polygala ambigua","ambiguous milkwort","sh","g5t?"
"(polygala verticillata var. ambigua)","NULL","NULL","NULL"
"polygala cruciata var. aquilonia","crossleaf milkwort","s3","g5t4"
"polygala cymosa","tall pine-barren milkwort","sx","g5"
"polygala incarnata","pink milkwort","s1","g5"
"polygala paucifolia","gay-wing milkwort","sx","g5"
"polygala ramosa","low pinebarren milkwort","sx","g5"
"polygala senega","seneca snakeroot","sx","g4g5"
"polygonatum biflorum var. commutatum","giant solomon's seal","s2","g5t4?"
"(polygonatum canaliculatum)","NULL","NULL","NULL"
"polygonum careyi","carey's smartweed","sh","g4"
"polygonum densiflorum","dense-flower knotweed","s3","g5"
"polygonum glaucum","seabeach knotweed","s1.1","g3"
"polygonum ramosissimum","bushy knotweed","s1","g5"
"(includes variety prolificum)","NULL","NULL","NULL"
"polygonum tenue","slender knotweed","sh","g5"
"polypodium virginianum","rock polypody","s3","g5"
"porteranthus trifoliatus","bowman's-root","sh","g4g5"
"potamogeton foliosus","leafy pondweed","s3","g5"
"potamogeton natans","floating pondweed","sh","g5"
"potamogeton perfoliatus","clasping-leaf pondweed","sh","g5"
"potamogeton pusillus","slender pondweed","s1","g5"
"potamogeton robbinsii","flatleaf pondweed","sx","g5"
"potamogeton spirillus","spiral pondweed","sx","g5"
"prenanthes alba","white rattlesnake-root","sh","g5"
"prenanthes autumnalis","slender rattlesnake-root","sh","g4g5"
"prenanthes serpentaria","lion's-foot","s3","g5"
"prunus americana","american plum","s3","g5"
"prunus maritima","beach plum","s3","g4"
"prunus virginiana","choke cherry","s1.1","g5"
"puccinellia fasciculata","saltmarsh goosegrass","sh","gu"
"pycnanthemum clinopodioides","basil mountain-mint","sh","g2"
"pycnanthemum incanum","hoary mountain-mint","s1","g5t5"
"pycnanthemum muticum","blunt mountain mint","s3","g5"
"pycnanthemum setosum","awned mountain-mint","s3","g3?"
"pycnanthemum torrei","torrey's mountain mint","s1","g2"
"pycnanthemum verticillatum","whorled mountain-mint","s2","g5t5?"
"pyrola americana","american wintergreen","s2","g5"
"(pyrola rotundifolia var. americana)","NULL","NULL","NULL"
"pyrola chlorantha","greenish-flowered wintergreen","sh","g5"
"pyrola elliptica","shinleaf","s2","g5"
"pyrrhopappus carolinianus","carolina false-dandelion","s3","g5"
"quercus bicolor","swamp white oak","s3","g5"
"quercus ilicifolia","scrub oak","sh","g5"
"quercus lyrata","overcup oak","s3","g5"
"quercus marilandica","blackjack oak","s3","g5"
"quercus prinoides","dwarf chinquapin oak","s1","g5"
"ranunculus ambigens","water-plantain spearwort","s1.1","g4"
"ranunculus caricetorum","hispid buttercup","s1.1","g5t5"
"(ranunculus septentrionalis)","NULL","NULL","NULL"
"ranunculus flabellaris","yellow water-crowfoot","s1.1","g5"
"ranunculus hispidus","bristly buttercup","s1.1","g5t5"
"ranunculus laxicaulis","mississippi buttercup","s1.1","g5?"
"ranunculus longirostris","eastern white water-crowfoot","sx","g5"
"ranunculus pensylvanicus","bristly crowfoot","s1.1","g5"
"ranunculus pusillus","pursh's buttercup","s3","g5"
"rhexia aristosa","awned meadow beauty","s1","g3"
"rhododendron atlanticum","dwarf azalea","s3","g5"
"rhododendron canescens","hoary azalea","sh","g5"
"rhynchosia tomentosa","hairy snoutbean","s1","g5t?"
"rhynchospora alba","white beakrush","s2","g5"
"NULL","NULL","NULL","NULL"
"rhynchospora cephalantha","capitate beak-rush","s3","g5t?"
"(includes the variety microcephala)","NULL","NULL","NULL"
"rhynchospora chalarocephala","loose-head beak-rush","s3","g5"
"rhynchospora corniculata","short-bristle horn-rush","s2","g5"
"rhynchospora filifolia","thread-leaved beak-rush","s1.1","g5"
"rhynchospora fusca","brown beak-rush","s2","g4g5"
"rhynchospora globularis","globe beak-rush","s2","g5t5?"
"(includes variety recognita)","NULL","NULL","NULL"
"rhynchospora glomerata","clustered beak-rush","s2","g5t?"
"rhynchospora harperi","harper's beak-rush","s1","g4?"
"rhynchospora inexpansa","nodding beak-rush","s1.1","g5"
"rhynchospora inundata","drowned horn-rush","s1","g4"
"rhynchospora knieskernii","knieskern's beak-rush","sx","g1"
"rhynchospora macrostachya var. colpophila","tall tidal beaked-rush","s1.1","g4t3t4"
"rhynchospora nitens","short-beaked bald-rush","s1","g4"
"(psilocarya nitens)","NULL","NULL","NULL"
"rhynchospora oligantha","few-flowered beak-rush","sh","g4"
"rhynchospora pallida","pale beak-rush","sh","g3"
"rhynchospora scirpoides","long-beaked bald-rush","s2","g4"
"(psilocarya scirpoides)","NULL","NULL","NULL"
"rhynchospora torreyana","torrey's beak-rush","s2","g4"
"ribes americanum","wild black currant","sh","g5"
"rosa carolina","carolina rose","sh","g5"
"rosa virginiana","virginia rose","sh","g5"
"rotala ramosior","toothcup","s3","g5"
"rubus odoratus","purple flowering raspberry","s1","g5"
"rudbeckia fulgida var. fulgida","orange coneflower","s1","g5t?"
"rudbeckia fulgida var. speciosa","orange coneflower","sh","g5t3t4"
"ruellia caroliniensis","carolina petunia","s1","g5"
"ruellia strepens","smooth petunia","sh","g4g5"
"rumex altissimus","pale dock","s1","g5"
"sabatia campanulata","slender marsh pink","s1","g5"
"sabatia difformis","two-formed pink","s1","g4g5"
"sabatia dodecandra","large marsh pink","s1","g5?t?"
"saccharum brevibarbe var. contortum","bent-awn plume grass","s3","g5"
"(erianthus contortus)","NULL","NULL","NULL"
"saccharum coarctatum","bunched plume grass","s3","g?"
"{(erianthus coarctatus; e. brevibarbis|misapplied)}","NULL","NULL","NULL"
"sacciolepis striata","gibbous grass","s1","g5"
"sagittaria calycina","spongy arrowhead","s2","g5t4"
"(lophotocarpus spongiosus)","NULL","NULL","NULL"
"sagittaria engelmanniana","engelmann's arrowhead","s2","g5?"
"sagittaria graminea","grassleaf arrowhead","s2","g5t5"
"sagittaria lancifolia","bull-tongue arrowhead","s1.1","g5?"
"(sagittaria falcata)","NULL","NULL","NULL"
"sagittaria rigida","sessile-fruited arrowhead","sh","g5"
"sagittaria subulata","strap-leaf arrowhead","s3","g4"
"salicornia bigelovii","dwarf glasswort","s1","g5q"
"salicornia virginica","virginia glasswort","s1","g5"
"salix caroliniana","carolina willow","sh","g5"
"salix discolor","pussy willow","sh","g5"
"salix eriocephala","heart-leaved willow","sh","g5"
"(salix cordata)","NULL","NULL","NULL"
"salix exigua","sandbar willow","sh","g5"
"(salix interior)","NULL","NULL","NULL"
"salix humilis var. humilis","tall prairie willow","s3","g5"
"salix humilis var. tristis","dwarf willow","sh","g5t?"
"(salix tristis)","NULL","NULL","NULL"
"salix lucida","shining willow","sh","g5t?"
"salix sericea","silky willow","s1","g5"
"sanguisorba canadensis","canada burnet","sh","g5"
"sanicula marilandica","black snake-root","s1.1","g5"
"sanicula trifoliata","large-fruited sanicle","s1.1","g4"
"sarracenia purpurea","purple pitcher-plant","s3","g5t5"
"saxifraga pensylvanica","swamp saxifrage","s1.1","g5"
"schizachyrium littorale","keeled little bluestem","sh","g5t?"
"(andropogon littoralis)","NULL","NULL","NULL"
"schizaea pusilla","curly-grass fern","s1.1","g3"
"schoenoplectus etuberculatus","canby's bulrush","s1","g3g4"
"(scirpus etuberculatus)","NULL","NULL","NULL"
"schoenoplectus novae-angliae","brackish bulrush","s1","g5"
"(scirpus cylindricus)","NULL","NULL","NULL"
"schoenoplectus purshianus","weakstalk bulrush","s3","g4g5"
"(scirpus purshianus)","NULL","NULL","NULL"
"schoenoplectus smithii","smith's bulrush","s1.1","g5?"
"(scirpus smithii)","NULL","NULL","NULL"
"schoenoplectus subterminalis","water bulrush","s2","g4g5"
"(scirpus subterminalis)","NULL","NULL","NULL"
"schwalbea americana","american chaffseed","sx","g2"
"scirpus atrovirens","woolgrass bulrush","s1","g5?"
"scirpus expansus","red-stem bulrush","s2","g4"
"scirpus hattorianus","bulrush","s3","g5"
"scirpus pendulus","pendulous bulrush","s1","g5"
"scirpus polyphyllus","leafy bulrush","s3","g5"
"scleria muehlenbergii","muhlenberg's nutrush","s1","g5"
"scleria pauciflora","few-flowered nutrush","s1","g5"
"scleria reticularis","reticulated nutrush","s2","g3g4"
"scleria triglomerata","whip nutrush","s1","g5"
"sclerolepis uniflora","one-flower sclerolepis","s2","g4"
"scrophularia lanceolata","hare's figwort","sh","g5"
"scutellaria galericulata","hooded skullcap","s1","g5"
"scutellaria nervosa","veined skullcap","sh","g5"
"scutellaria parvula var. leonardii","small skullcap","sh","g4t4"
"scutellaria saxatilis","rock skullcap","sh","g3g4"
"sedum ternatum","wood stonecrop","s3","g5"
"selaginella rupestris","ledge spike-moss","sx","g5"
"senecio anonymus","small's ragwort","s1.1","g5"
"senecio pauperculus","balsam ragweed","s1","g5"
"senna hebecarpa","wild senna","s3","g5"
"(cassia hebecarpa)","NULL","NULL","NULL"
"senna marilandica","maryland senna","sh","g5"
"(cassia marilandica)","NULL","NULL","NULL"
"sesuvium maritimum","puerto rico sea-purslane","sh","g5"
"setaria magna","giant foxtail","s3","g5"
"sideroxylon lycioides","buckthorn bumelia","s1.1","g5"
"(bumelia lycioides)","NULL","NULL","NULL"
"silene caroliniana ssp. pensylvanica","cardina pink","s1","g5t4"
"silene virginica","fire pink","s1","g5"
"sisyrinchium atlanticum","eastern blue-eyed-grass","s3","g5"
"sisyrinchium mucronatum","michaux's blue-eyed-grass","s1.1","g5"
"smallanthus uvedalius","yellow-flowered leafcup","s3","g4g5"
"(polymnia uvedalia)","NULL","NULL","NULL"
"smilax bona-nox","saw greenbrier","s1","g5"
"smilax pseudochina","long-stalk greenbrier","s2","g4g5"
"smilax tamnoides","halberd-leaf greenbrier","s1","g5"
"(smilax hispida)","NULL","NULL","NULL"
"smilax walteri","walter's greenbrier","s3","g5"
"solidago arguta","cutleaf goldenrod","s1","g5t4"
"solidago latissimifolia","elliott's goldenrod","s1","g5"
"(solidago elliottii)","NULL","NULL","NULL"
"solidago patula","roundleaf goldenrod","s3","g5"
"solidago squarrosa","squarrose goldenrod","sx","g4?q"
"solidago stricta","wandlike goldenrod","sx","g5"
"solidago tarda","late goldenrod","s1.1","g4?q"
"solidago uliginosa","bog goldenrod","s1.1","g4g5t?"
"solidago ulmifolia","elm-leaf goldenrod","s1","g5t?"
"spartina pectinata","fresh water cordgrass","s1.1","g5"
"sphenopholis obtusata","prairie wedgegrass","sh","g5"
"sphenopholis pensylvanica","swamp wedgescale","s1","g4"
"spiraea alba","narrow-leaf meadow-sweet","s1","g5t5"
"(includes variety latifolia)","NULL","NULL","NULL"
"spiranthes lacera var. gracilis","southern slender ladies'-tresses","s3","g5"
"spiranthes lucida","shining ladies'-tresses","sh","g5"
"spiranthes praecox","grassleaf ladies'-tresses","sh","g5"
"spiranthes tuberosa","little ladies'-tresses","sh","g5"
"spiranthes vernalis","twisted ladies'-tresses","s2","g5"
"spirodela punctata","dotted water-flaxseed","s3","g5"
"sporobolus clandestinus","rough dropseed","s1","g5"
"sporobolus compositus","longleaf dropseed","sh","g5"
"(sporobolus asper)","NULL","NULL","NULL"
"stachys aspera","rough hedge-nettle","sh","g5t4?"
"(stachys hyssopifolia var. ambigua)","NULL","NULL","NULL"
"stachys hyssopifolia","hyssop-leaf hedge-nettle","s1","g5"
"stachys tenuifolia","smooth hedge-nettle","s1.1","g5"
"stellaria alsine","trailing stitchwort","s2","g5"
"suaeda linearis","narrow-leaf seepweed","s3","g5"
"taenidia integerrima","yellow pimpernell","s1.1","g5"
"talinum teretifolium","round-leaved fame-flower","sx","g4"
"tephrosia spicata","spiked hoary-pea","sh","g4g5"
"thalictrum dioicum","early meadow-rue","s1","g5"
"thalictrum revolutum","waxleaf meadow-rue","s1","g5"
"thaspium barbinode","hairy-jointed meadow-parsnip","s1","g5"
"thelypteris simulata","bog fern","s1","g4g5"
"tofieldia racemosa","coastal false-asphodel","sx","g5"
"torreyochloa pallida","pale manna grass","s3","g5"
"(glyceria pallida)","NULL","NULL","NULL"
"toxicodendron pubescens","poison oak","s3","g5"
"toxicodendron vernix","poison sumac","s3","g5"
"trachelospermum difforme","climbing dogbane","s1.1","g4g5"
"tradescantia virginiana","virginia spiderwort","s3","g5"
"triadenum fraseri","northern marsh st. john's-wort","sh","g4g5"
"trichophorum planifolium","bashful bulrush","s2","g5?"
"(scirpus verecundus)","NULL","NULL","NULL"
"trichostema setaceum","narrow-leavf blue-curls","s1","g5"
"trientalis borealis","northern starflower","s1","g5t?"
"trifolium carolinianum","carolina clover","sh","g5"
"triglochin striata","three-ribbed arrowgrass","sh","g5"
"trillium cernuum","nodding trillium","s2","g5"
"trillium erectum","ill-scented trillium","s1.1","g5"
"triosteum angustifolium","yellow-leaf tinker's-weed","s1","g5"
"triosteum aurantiacum","coffee tinker's-weed","s1","g5t?"
"triosteum perfoliatum","perfoliate tinker's-weed","s1.1","g5"
"triphora trianthophora","nodding pogonia","s1.1","g4"
"typha domingensis","southern cattail","s1.1","g4g5"
"utricularia biflora","two-flower bladderwort","s2","g5"
"utricularia cornuta","horned bladderwort","sh","g5"
"utricularia fibrosa","fibrous bladderwort","s2","g4g5"
"utricularia geminiscapa","hidden-fruited bladderwort","s3","g5"
"utricularia gibba","humped bladderwort","s3","g5"
"utricularia inflata","swollen bladderwort","s1","g5"
"utricularia juncea","southern bladderwort","s2","g5"
"utricularia minor","lesser bladderwort","sx","g5"
"utricularia purpurea","purple bladderwort","s1","g5"
"utricularia radiata","small swollen bladderwort","s3","g4"
"utricularia resupinata","northeastern bladderwort","s1","g4"
"utricularia subulata","zigzag bladderwort","s3","g5"
"vaccinium angustifolium","late lowbush blueberry","sh","g5"
"vaccinium fuscatum   (vaccinium atrococcum)","black-berried highbush blueberry","s3","g5"
"vaccinium macrocarpon","large cranberry","s3","g5"
"veratrum viride","american false-hellebore","s3","g5"
"verbena simplex","narrow-leaf vervain","sh","g5"
"verbesina alternifolia","wingstem","sh","g5"
"vernonia glauca","broadleaf ironweed","s1","g5"
"veronica americana","american speedwell","s1","g5"
"veronicastrum virginicum","culver's-root","s1","g5"
"viburnum cassinoides","withe-rod","sh","g5"
"viburnum rafinesquianum","downy arrow-wood","sh","g5"
"viola blanda","white violet","s3","g4g5"
"viola brittoniana","coast violet","s3","g5"
"viola macloskeyi ssp. pallens","smooth white violet","s1","g5t5"
"(viola pallens)","NULL","NULL","NULL"
"viola palmata","palmate-leaved violet","s3","g5"
"viola pedata","bird's-foot violet","s1","g5"
"viola pubescens","downy yellow violet","s3","g5t?"
"viola rotundifolia","roundleaf violet","s2","g5"
"viola sagittata var. ovata","fringed violet","s1","g5t4?q"
"(viola fimbriatula)","NULL","NULL","NULL"
"viola sagittata var. sagittata","arrow-leaved violet","s3","g5"
"viola striata","striped violet","s3","g5"
"wolffia brasiliensis","pointed watermeal","s3","g5"
"(wolffia punctata)","NULL","NULL","NULL"
"wolffia columbiana","columbia watermeal","s3","g5"
"wolffiella gladiata","sword bogmat","sh","g5"
"(wolffiella floridana)","NULL","NULL","NULL"
"woodsia obtusa","blunt-lobe woodsia","s2","g5t?"
"xerophyllum asphodeloides","eastern turkeybeard","sx","g4"
"xyris fimbriata","fringed yellow-eyed grass","s1","g5"
"xyris smalliana","small's yellow-eyed-grass","s2","g5"
"xyris torta","twisted yellow-eyed-grass","s3","g5"
"zannichellia palustris","horned pondweed","s1","g5"
"zanthoxylum americanum","northern prickley ash","sh","g5"
"zigadenus leimanthoides","death-camus","sh","g4q"
"zizia aptera","golden alexander","s1","g5"
"zizia aurea","common alexander's","s2","g5"
"zostera marina","eel-grass","sx","g5"
