"code","airport","town / city","distance"
"grn","gordon municipal airport","gordon","n/a"
"gcn","grand canyon national park airport","grand canyon village","n/a"
"gcw","grand canyon west airport","NULL","n/a"
"gfk","grand forks international airport","grand forks","n/a"
"grm","grand marais-cook county airport","grand marais","n/a"
"gpz","grand rapids-itasca county/gordon newstrom field","country acres mobile home park","n/a"
"cre","grand strand airport","north myrtle beach","n/a"
"mwh","grant county airport","moses lake north","n/a"
"gnt","grants-milan municipal airport","grants","n/a"
"gtg","grantsburg municipal airport","grantsburg","n/a"
"amn","gratiot community airport","eugene","n/a"
"kgx","grayling airport","grayling","n/a"
"gyi","grayson county airport","pottsboro","n/a"
"gbd","great bend municipal airport","great bend","n/a"
"gtf","great falls international airport","great falls","n/a"
"buf","greater buffalo international airport","buffalo","n/a"
"ikk","greater kankakee airport","kankakee","n/a"
"pia","greater peoria regional airport","peoria","n/a"
"pmh","greater portsmouth regional airport","portsmouth","n/a"
"roc","greater rochester international airport","rochester","n/a"
"gxy","greeley-weld county airport","greeley","n/a"
"lwb","greenbrier valley airport","lewisburg","n/a"
"gcy","greeneville municipal airport","bradburn hill","n/a"
"cft","greenlee county airport","three way","n/a"
"gre","greenville airport","greenville","n/a"
"gmu","greenville downtown airport","greenville","n/a"
"glh","greenville international airport","greenville","n/a"
"gsp","greenville-spartanburg airport","greenville","n/a"
"grd","greenwood county airport","greenwood","n/a"
"gwo","greenwood-leflore airport","greenwood","n/a"
"ggg","gregg county airport","longview","n/a"
"pbf","grider field","pine bluff","n/a"
"sky","griffing sandusky airport","sandusky","n/a"
"gus","grissom air force base / peru","grissom air force base","n/a"
"gon","groton-new london airport","midway","n/a"
"gpt","gulfport-biloxi regional airport","gulfport","n/a"
"gkn","gulkana airport","gulkana","n/a"
"guc","gunnison county airport","gunnison","n/a"
"gst","gustavus airport","gustavus","n/a"
"guy","guymon municipal airport","guymon","n/a"
"gwr","gwinner-roger melroe field airport","gwinner","n/a"
"hns","haines airport","haines","n/a"
"pvw","hale county airport","plainview","n/a"
"haf","half moon bay airport","half moon bay","n/a"
"duc","halliburton field","duncan","n/a"
"bab","hammonton air strip","hammonton","n/a"
"hnm","hana airport","hāna","n/a"
"bhb","hancock county-bar harbor airport","bar harbor","n/a"
"hjo","hanford municipal airport","hanford","n/a"
"hez","hardy-anders field natchez-adams county airport","natchez","n/a"
"cdh","harrell field","camden","n/a"
"slt","harriet alexander field","salida","n/a"
"aqw","harriman and west airport","north adams","n/a"
"mdt","harrisburg international airport","harrisburg","n/a"
"asl","harrison county airport","marshall","n/a"
"ptn","harry p williams memorial airport","patterson","n/a"
"hfd","hartford-brainard airport","hartford","n/a"
"vsf","hartness state airport (springfield)","springfield","n/a"
"atl","hartsfield - jackson atlanta international airport","atlanta","n/a"
"hsi","hastings municipal airport","hastings","n/a"
"hax","hatbox field","muskogee","n/a"
"hbg","hattiesburg municipal airport","mars hill","n/a"
"hvr","havre city/county airport","havre","n/a"
"hks","hawkins field","jackson","n/a"
"hhr","hawthorne municipal airport","cypave","n/a"
"hth","hawthorne municipal airport","babbitt","n/a"
"hys","hays municipal airport","toulon","n/a"
"hwd","hayward air terminal airport","russell city","n/a"
"hzl","hazleton municipal airport","hazleton","n/a"
"hrr","healy river airport","healy","n/a"
"lhb","hearne municipal airport","hearne","n/a"
"hjh","hebron municipal airport","hebron","n/a"
"far","hector international airport","fargo","n/a"
"hln","helena regional airport","helena","n/a"
"hmt","hemet-ryan airport","hemet","n/a"
"ehr","henderson city-county airport","henderson","n/a"
"hnz","henderson-oxford airport","oxford","n/a"
"pht","henry county airport","paris","n/a"
"tma","henry tift myers airport","tifton","n/a"
"hri","hermiston municipal airport","hermiston","n/a"
"bkv","hernando county airport","brooksville","n/a"
"lul","hesler-noble field","laurel","n/a"
"hky","hickory municipal airport","longview","n/a"
"hlc","hill city municipal airport","hill city","n/a"
"ito","hilo international airport","hilo","n/a"
"hxd","hilton head airport","hilton head","n/a"
"hbr","hobart municipal airport","babbs","n/a"
"hob","hobbs airport","hobbs","n/a"
"hli","hollister municipal airport","hollister","n/a"
"hcr","holy cross airport","holy cross","n/a"
"hom","homer airport","homer","n/a"
"hdo","hondo municipal airport","hondo","n/a"
"hnl","honolulu international airport","honolulu","n/a"
"mhn","hooker county airport","mullen","n/a"
"hnh","hoonah airport","hoonah","n/a"
"hpb","hooper bay airport","hooper bay","n/a"
"m18","hope municipal airport","hope","n/a"
"1b6","hopedale industrial park airport","hopedale","n/a"
"cmx","houghton county memorial airport","hancock","n/a"
"hul","houlton international airport","houlton","n/a"
"hum","houma-terrebonne airport","houma","n/a"
"hus","hughes airport","hughes","n/a"
"hud","humboldt municipal airport","humboldt","n/a"
"lnd","hunt field","lander","n/a"
"svn","hunter u. s. army airfield","southside mobile estates","n/a"
"uts","huntsville municipal airport","huntsville","n/a"
"hsv","huntsville-madison co jetport-carl t jones","huntsville","n/a"
"hon","huron regional airport","huron","n/a"
"hsl","huslia airport","huslia","n/a"
"bgd","hutchinson county airport","borger","n/a"
"hut","hutchinson municipal airport","hutchinson","n/a"
"hcd","hutchinson municipal airport","heatwole","n/a"
"hyg","hydaburg seaplane base","hydaburg","n/a"
"whd","hyder seaplane base","hyder","n/a"
"icy","icy bay airport","NULL","n/a"
"igg","igiugig airport","igiugig","n/a"
"bdr","igor i sikorsky memorial airport","bridgeport","n/a"
"ili","iliamna airport","iliamna","n/a"
"vys","illinois valley regional airport","dalzell","n/a"
"imm","immokalee airport","immokalee","n/a"
"ipl","imperial county airport","imperial","n/a"
"iml","imperial municipal airport","imperial","n/a"
"idp","independence municipal airport","independence","n/a"
"uto","indian mountain lrrs airport","NULL","n/a"
"idi","indiana county/jimmy stewart field","indiana","n/a"
"ind","indianapolis international airport","indianapolis","n/a"
"iyk","inyokern airport","inyokern","n/a"
"iow","iowa city municipal airport","iowa city","n/a"
"ith","ithaca tompkins regional airport","ithaca","n/a"
"deq","j lynn helms airport","chapel hill","n/a"
"guf","jack edwards airport","gulf shores","n/a"
"cec","jack mcnamara field","crescent city","n/a"
"jac","jackson hole airport","jackson","n/a"
"jan","jackson international airport","jackson","n/a"
"jax","jacksonville international airport","jacksonville","n/a"
"nzc","jacksonville cecil field airport","jacksonville","n/a"
"nip","jacksonville naval air station","jacksonville","n/a"
"afn","jaffrey municipal-silver ranch airport","jaffrey","n/a"
"day","james m cox dayton international airport","dayton","n/a"
"jms","jamestown municipal airport","jamestown","n/a"
"rnz","jasper county airport","rensselaer","n/a"
"bjc","jeffco airport","countryside","n/a"
"jef","jefferson city memorial airport","jefferson city","n/a"
"bpt","jefferson county airport","beauxart gardens","n/a"
"twd","jefferson county international airport","port townsend","n/a"
"ekn","jennings randolph field","arnold hill","n/a"
"lxn","jim kelly field","lexington","n/a"
"fsd","joe foss field","sioux falls","n/a"
"jda","john day state airport","john day","n/a"
"jfk","john f kennedy international airport","new york","n/a"
"asx","john f kennedy memorial airport","ashland","n/a"
"rac","john h batten field","racine","n/a"
"sna","john wayne airport","santa ana","n/a"
"byg","johnson county airport","buffalo","n/a"
"ojc","johnson county executive airport","olathe","n/a"
"jci","johnson county industrial airport","clare","n/a"
"jst","johnstown-cambria county airport","johnstown","n/a"
"f00","jones field","bonham","n/a"
"jbr","jonesboro municipal airport","jonesboro","n/a"
"jvm","jonesville mine airport","sutton","n/a"
"jln","joplin regional airport","joplin","n/a"
"jdn","jordan airport","jordan","n/a"
"jnu","juneau international airport","juneau city and borough","n/a"
"ogg","kahului airport","kahului","n/a"
"afe","kake airport","kake","n/a"
"jrf","kalaeloa airport-john rodgers field","kapolei","n/a"
"azo","kalamazoo-battle creek international airport","kalamazoo","n/a"
"lup","kalaupapa airport","kalaupapa","n/a"
"klg","kalskag airport","kalskag","n/a"
"kal","kaltag airport","kaltag","n/a"
"knb","kanab municipal airport","kanab","n/a"
"mci","kansas city international airport","kansas city","n/a"
"mkc","kansas city kansas city downtown airport","kansas city","n/a"
"jhm","kapalua airport","lahaina","n/a"
"ofk","karl stefan memorial airport","norfolk","n/a"
"kyk","karluk airport","karluk","n/a"
"kuk","kasigluk airport","kasigluk","n/a"
"1b2","katama airpark airport","edgartown","n/a"
"ear","kearney municipal airport","kearney","n/a"
"bkh","kekaha pacific missile test facility barking sands","waieli","n/a"
"kls","kelso-longview airport","longview junction","n/a"
"emm","kemmerer municipal airport","kemmerer","n/a"
"ena","kenai municipal airport","kenai","n/a"
"tmb","kendall-tamiami executive airport","miami","n/a"
"knt","kennett memorial airport","kennett","n/a"
"enw","kenosha regional airport","kenosha","n/a"
"eok","keokuk municipal airport","keokuk","n/a"
"wfb","ketchikan harbor seaplane base","ketchikan","n/a"
"ktn","ketchikan international airport","ketchikan","n/a"
"mei","key field","meridian","n/a"
"eyw","key west international airport","key west","n/a"
"kip","kickapoo downtown airport","wichita falls","n/a"
"ibm","kimball municipal airport-robert e arraj field","kimball","n/a"
"kvc","king cove airport","king cove","n/a"
"akn","king salmon airport","king salmon","n/a"
"igm","kingman airport","kingman","n/a"
"lmt","kingsley field","klamath falls","n/a"
"nqi","kingsville naval air station","kingsville","n/a"
"iik","kipnuk airport","kipnuk","n/a"
"itr","kit carson county airport","burlington","n/a"
"kkb","kitoi bay seaplane base","NULL","n/a"
"kvl","kivalina airport","kivalina","n/a"
"akw","klawock airport","klawock","n/a"
"rkd","knox county regional airport","rockland","n/a"
"dkx","knoxville downtown island airport","knoxville","n/a"
"obu","kobuk airport","kobuk","n/a"
"adq","kodiak airport","kodiak","n/a"
"kdk","kodiak municipal airport","kodiak","n/a"
"okk","kokomo municipal airport","kokomo","n/a"
"koa","kona international airport","kailua-kona","n/a"
"kkh","kongiganak airport","kongiganak","n/a"
"kot","kotlik airport","kotlik","n/a"
"kka","koyuk airport","koyuk","n/a"
"kyu","koyukuk airport","koyukuk","n/a"
"kwt","kwethluk airport","kwethluk","n/a"
"kwk","kwigillingok airport","kwigillingok","n/a"
"lse","la crosse municipal airport","north la crosse","n/a"
"lgd","la grande municipal airport","hot lake","n/a"
"lga","la guardia airport","new york","n/a"
"lhx","la junta municipal airport","la junta","n/a"
"lpo","la porte municipal airport","south laporte","n/a"
"lci","laconia municipal airport","laconia","n/a"
"lft","lafayette regional airport","lafayette","n/a"
"lch","lake charles regional airport","lake charles","n/a"
"lcq","lake city municipal airport","lake city","n/a"
"lxv","lake county airport","leadville","n/a"
"lkv","lake county-lakeview airport","lakeview","n/a"
"hii","lake havasu city airport","lake havasu city","n/a"
"lhd","lake hood seaplane base","anchorage","n/a"
"lkp","lake placid airport","lake placid","n/a"
"tvl","lake tahoe airport","south lake tahoe","n/a"
"new","lakefront airport","new orleans","n/a"
"lal","lakeland linder regional airport","lakeland","n/a"
"arv","lakeland-noble f lee memorial field","woodruff","n/a"
"laa","lamar municipal airport","lamar","n/a"
"stl","lambert-saint louis international airport","st. louis","n/a"
"lny","lanai airport","lanai","n/a"
"lns","lancaster airport","lancaster","n/a"
"lan","lansing capital city airport","lansing","n/a"
"lar","laramie regional airport","laramie","n/a"
"lrd","laredo international airport","nuevo laredo","n/a"
"kln","larsen bay airport","larsen bay","n/a"
"lru","las cruces international airport","las cruces","n/a"
"lsv","las vegas city hall helispot","north las vegas","n/a"
"lvs","las vegas municipal airport","las vegas","n/a"
"hsh","las vegas-henderson sky harbor","sloan","n/a"
"ifp","laughlin/bullhead city airport","bullhead city","n/a"
"mxe","laurinburg-maxton airport","maxton","n/a"
"htw","lawrence county airpark","sybene","n/a"
"bed","lawrence g hanscom field","bedford","n/a"
"mwc","lawrence j timmerman airport","milwaukee","n/a"
"lwc","lawrence municipal airport","lawrence","n/a"
"lwm","lawrence municipal airport","lawrence","n/a"
"lwv","lawrenceville-vincennes international airport","lawrenceville","n/a"
"now","lawson airpark","port angeles","n/a"
"law","lawton municipal airport","lawton","n/a"
"lrj","le mars municipal airport","le mars","n/a"
"leb","lebanon municipal airport","lebanon","n/a"
"anp","lee airport","annapolis","n/a"
"aiz","lee c fine memorial airport","passover","n/a"
"gvl","lee gilmer memorial airport","gainesville","n/a"
"jyo","leesburg executive airport","leesburg","n/a"
"lee","leesburg municipal airport","silver lake","n/a"
"abe","lehigh valley international airport","allentown","n/a"
"smn","lemhi county airport","salmon","n/a"
"adg","lenawee county airport","adrian","n/a"
"lot","lewis university airport","nottingham ridge","n/a"
"lws","lewiston airport","lewiston orchards","n/a"
"lwt","lewistown municipal airport","lewistown","n/a"
"exx","lexington municipal airport","green needles","n/a"
"lbl","liberal municipal airport","liberal","n/a"
"lih","lihue airport","lihue","n/a"
"aoh","lima allen county airport","lima","n/a"
"lic","limon municipal airport","limon","n/a"
"lnk","lincoln municipal airport","lincoln","n/a"
"ldj","linden airport","linden","n/a"
"luf","litchfield airport","litchfield park","n/a"
"lvk","livermore municipal airport","livermore","n/a"
"aqo","llano municipal airport","llano","n/a"
"bil","logan international airport","billings","n/a"
"lgu","logan-cache airport","logan","n/a"
"lpc","lompoc airport","lompoc","n/a"
"lnp","lonesome pine airport","wise","n/a"
"lgb","long beach airport","long beach","n/a"
"isp","long island macarthur airport","islip","n/a"
"xvg","longville municipal airport","longville","n/a"
"lps","lopez island airport","lopez","n/a"
"lpr","lorain county regional airport","twin lakes homes","n/a"
"lam","los alamos airport","los alamos","n/a"
"lax","los angeles international airport","los angeles","n/a"
"lsn","los banos municipal airport","los banos","n/a"
"lfn","louisburg franklin county airport","louisburg","n/a"
"cha","lovell field","chattanooga","n/a"
"lbb","lubbock international airport","lubbock","n/a"
"ery","luce county airport","newberry","n/a"
"lbt","lumberton municipal airport","lumberton","n/a"
"olf","lyman clayton airport","pleasant valley (historical)","n/a"
"lyh","lynchburg regional airport-preston glenn field","city farm","n/a"
"mcf","macdill air force base fl.","port tampa communities","n/a"
"mcd","mackinac island airport","mackinac island","n/a"
"mqb","macomb municipal airport","macomb","n/a"
"mae","madera municipal airport","madera","n/a"
"mdn","madison municipal airport","madison","n/a"
"xmd","madison municipal airport","madison","n/a"
"dxx","madison-lac qui parle county airport","madison","n/a"
"ago","magnolia municipal airport","magnolia","n/a"
"eug","mahlon sweet field","eugene","n/a"
"gvt","majors airport","greenville","n/a"
"ssi","malcolm mc kinnon airport","brunswick","n/a"
"mmh","mammoth lakes airport","whitmore hot springs","n/a"
"mht","manchester airport","manchester","n/a"
"mhk","manhattan municipal airport","manhattan","n/a"
"mbl","manistee county-blacker airport","newland","n/a"
"mkt","mankato regional airport","mankato","n/a"
"mly","manley hot springs airport","manley hot springs","n/a"
"kmo","manokotak airport","manokotak","n/a"
"mfd","mansfield mansfield lahm municipal airport","amoy","n/a"
"mrk","marco island airport","marco island","n/a"
"mrf","marfa municipal airport","marfa","n/a"
"oar","marina municipal airport","marina","n/a"
"flp","marion county regional airport","flippin","n/a"
"9b1","marlboro airport","marlborough","n/a"
"fri","marshall airfield","fort riley-camp whiteside","n/a"
"mfi","marshfield municipal airport","marshfield","n/a"
"mtn","martin state airport","baltimore","n/a"
"faf","mary immaculate hospital heliport","newport news","n/a"
"mcw","mason city municipal airport","mason city","n/a"
"ldm","mason county airport","ludington","n/a"
"mss","massena international airport-richards field","massena","n/a"
"mhr","mather aiport","mather field","n/a"
"sjt","mathis field","negro crossing","n/a"
"egp","maverick county memorial international airport","eagle pass","n/a"
"mxf","maxwell air force base / montgomery","montgomery","n/a"
"myk","may creek airport","may creek","n/a"
"mlc","mcalester regional airport","frink","n/a"
"mfe","mcallen miller international airport","francis addition colonia","n/a"
"myl","mccall airport","mccall","n/a"
"las","mccarran international airport","las vegas","n/a"
"mxy","mccarthy airport","mccarthy","n/a"
"mcc","mcclellan airfield","sacramento","n/a"
"cld","mcclellan-palomar airport","carlsbad","n/a"
"mcb","mccomb-pike county airport-john e lewis field","fernwood","n/a"
"mck","mccook municipal airport","wilcox trailer court","n/a"
"tys","mcghee tyson airport","knoxville","n/a"
"mcg","mcgrath airport","mcgrath","n/a"
"mkl","mckellar field","oak grove","n/a"
"inr","mckinley national park airport","mckinley park","n/a"
"tki","mckinney municipal airport","mckinney","n/a"
"mmi","mcminn county airport","athens","n/a"
"mmv","mcminnville municipal airport","eola village","n/a"
"sle","mcnary field","four corners","n/a"
"bfl","meadows field","bakersfield","n/a"
"avc","mecklenburg-brunswick regional airport","south hill","n/a"
"mdr","medfra airport","medfra","n/a"
"eeo","meeker airport","meeker","n/a"
"tlr","mefford field","tulare","n/a"
"myu","mekoryuk airport","mekoryuk","n/a"
"mlb","melbourne international airport","melbourne","n/a"
"hot","memorial field","hot springs","n/a"
"mem","memphis international airport","memphis","n/a"
"mce","merced municipal airport","merced","n/a"
"blf","mercer county airport","bluefield","n/a"
"cdv","merle k 'mudhole' smith airport","cordova","n/a"
"mri","merrill field","anchorage","n/a"
"coi","merritt island airport","merritt island","n/a"
"kic","mesa del rey airport","king city","n/a"
"tdz","metcalf field","toledo","n/a"
"mtm","metlakatla seaplane base","metlakatla","n/a"
"oak","metropolitan oakland international airport","oakland","n/a"
"mia","miami international airport","miami","n/a"
"mio","miami municipal airport","miami","n/a"
"oxd","miami university airport","oxford","n/a"
"mgc","michigan city municipal airport","waterford","n/a"
"mcn","middle georgia regional airport","macon","n/a"
"fyj","middle peninsula regional airport","west point","n/a"
"gzh","middleton field","evergreen","n/a"
"mwo","middletown regional/hook field airport","harlan park","n/a"
"mdd","midland airpark","midland","n/a"
"maf","midland international airport","midland","n/a"
"red","mifflin county airport","reedsville","n/a"
"mlf","milford municipal airport","yellow banks","n/a"
"miq","millard airport","omaha","n/a"
"vtn","miller field","valentine","n/a"
"mlt","millinocket municipal airport","millinocket","n/a"
"miv","millville municipal airport","millville","n/a"
"mhm","minchumina airport","lake minchumina","n/a"
"mwl","mineral wells airport","mineral wells","n/a"
"msp","minneapolis-saint paul international airport","minneapolis","n/a"
"mot","minot international airport","minot","n/a"
"mnt","minto airport","minto","n/a"
"lvm","mission field","livingston","n/a"
"mso","missoula international airport","missoula","n/a"
"mhe","mitchell municipal airport","mitchell","n/a"
"mbg","mobridge municipal airport","mobridge","n/a"
"mod","modesto city-county airport","modesto","n/a"
"mhv","mojave airport","mojave","n/a"
"mkk","molokai airport","kaunakakai","n/a"
"blm","monmouth executive airport","carmerville","n/a"
"eqy","monroe airport","bakers","n/a"
"mvc","monroe county airport","monroeville","n/a"
"bmg","monroe county airport","bloomington","n/a"
"eft","monroe municipal airport","monroe","n/a"
"mlu","monroe regional airport","monroe","n/a"
"rkc","montague-yreka rohrer field","montague","n/a"
"mtp","montauk airport","montauk","n/a"
"mry","monterey peninsula airport","monterey","n/a"
"gai","montgomery county airpark","gaithersburg","n/a"
"cxo","montgomery county airport","beach","n/a"
"myf","montgomery field","san diego","n/a"
"llq","monticello municipal airport","killin","n/a"
"mtj","montrose regional airport","montrose","n/a"
"3m5","moontown airport","huntsville","n/a"
"sop","moore county airport","warrior woods","n/a"
"dux","moore county airport","dumas","n/a"
"mor","moore-murrell airport","morristown","n/a"
"mgw","morgantown municipal airport","morgantown","n/a"
"mmu","morristown municipal airport","morristown","n/a"
"mvl","morrisville-stowe state airport","morrisville","n/a"
"kmy","moser bay seaplane base","akhiok","n/a"
"mgr","moultrie municipal airport","moultrie","n/a"
"ajg","mount carmel municipal airport","mount carmel","n/a"
"mpz","mount pleasant municipal airport","mount pleasant","n/a"
"mop","mount pleasant municipal airport","mount pleasant","n/a"
"hie","mount washington regional airport","whitefield","n/a"
"mou","mountain village airport","mountain village","n/a"
"mie","muncie delaware county-johnson field","muncie","n/a"
"mut","muscatine municipal airport","muscatine","n/a"
"msl","muscle shoals regional airport","muscle shoals","n/a"
"mkg","muskegon county airport","muskegon","n/a"
"aex","myers number 2 landing strip","rapides","n/a"
"1m8","myricks airport","berkley","n/a"
"myr","myrtle beach international airport","myrtle beach","n/a"
"ack","nantucket memorial airport","nantucket","n/a"
"apc","napa county airport","napa","n/a"
"wna","napakiak airport","napakiak","n/a"
"apf","naples municipal airport","naples","n/a"
"rct","nartron field","reed city","n/a"
"bna","nashville international airport","nashville","n/a"
"cpr","natrona county international airport","casper","n/a"
"afk","nebraska city municipal airport","nebraska city","n/a"
"eed","needles airport","needles","n/a"
"enn","nenana municipal airport","nenana","n/a"
"ewb","new bedford regional airport","new bedford","n/a"
"ilg","new castle airport","wilmington","n/a"
"msy","new orleans international airport","new orleans","n/a"
"psk","new river valley airport","dublin","n/a"
"pbv","new saint george airport","saint george","n/a"
"evb","new smyrna beach municipal airport","new smyrna beach","n/a"
"knw","new stuyahok airport","new stuyahok","n/a"
"ulm","new ulm municipal airport","new ulm","n/a"
"iys","new wasilla airport","wasilla","n/a"
"ewr","newark international airport","newark","n/a"
"onp","newport municipal airport","newport","n/a"
"phf","newport news-williamsburg international airport","newport news","n/a"
"npt","newport state airport","newport","n/a"
"efk","newport state airport","newport","n/a"
"wwt","newtok airport","newtok","n/a"
"ewk","newton city-county airport","newton","n/a"
"tnu","newton municipal airport","newton","n/a"
"iag","niagara falls international airport","niagara falls","n/a"
"igt","nightmute airport","nightmute","n/a"
"nib","nikolai airport","nikolai","n/a"
"wtk","noatak airport","noatak","n/a"
"ols","nogales international airport","nogales","n/a"
"ome","nome airport","nome","n/a"
"nnl","nondalton airport","nondalton","n/a"
"orf","norfolk international airport","norfolk","n/a"
"sfz","north central state airport","pawtucket","n/a"
"ckb","north central west virginia airport","clarksburg","n/a"
"vgt","north las vegas air terminal","las vegas","n/a"
"hwo","north perry airport","hollywood","n/a"
"pne","north philadelphia airport","ashton wooden bridge","n/a"
"lbf","north platte regional airport","north platte","n/a"
"wwp","north whale seaplane base","whale pass","n/a"
"fve","northern aroostook regional airport","frenchville","n/a"
"pqi","northern maine regional airport at presque isle","presque isle","n/a"
"ort","northway airport","northway","n/a"
"xna","northwest arkansas regional airport","castleville (historical)","n/a"
"ecp","northwest florida beaches international airport","panama city beach","n/a"
"52f","northwest regional airport","roanoke","n/a"
"owd","norwood memorial airport","norwood","n/a"
"aqt","nuiqsut airport","nuiqsut","n/a"
"nul","nulato airport","nulato","n/a"
"nup","nunapitchuk airport","nunapitchuk","n/a"
"vcb","nut tree airport","vacaville","n/a"
"znc","nyac airport","nyac","n/a"
"oce","ocean city airport","morris mobile home park","n/a"
"oca","ocean reef club airport","key largo","n/a"
"ocn","oceanside municipal airport","oceanside","n/a"
"ogd","ogden municipal airport","lawndale addition","n/a"
"ogs","ogdensburg international airport","ogdensburg","n/a"
"osu","ohio state university airport","columbus","n/a"
"eso","ohkay owingeh airport","espanola","n/a"
"obe","okeechobee county airport","okeechobee","n/a"
"olh","old harbor airport","old harbor","n/a"
"old","old town / dewitt field","milford","n/a"
"koy","olga bay seaplane base","NULL","n/a"
"oli","oliktok lrrs airport","NULL","n/a"
"olv","olive branch airport","olive branch","n/a"
"olm","olympia regional airport","olympia","n/a"
"omk","omak airport","omak","n/a"
"onh","oneonta municipal airport","oneonta","n/a"
"ont","ontario international airport","ontario","n/a"
"ono","ontario municipal airport","ontario","n/a"
"opf","opa locka airport","opa-locka north  (historical)","n/a"
"mgj","orange county airport","montgomery","n/a"
"ogb","orangeburg municipal airport","orangeburg","n/a"
"ors","orcas island airport","eastsound","n/a"
"mco","orlando international airport","orlando","n/a"
"sfb","orlando sanford international airport","orlando","n/a"
"ove","oroville municipal airport","oroville","n/a"
"osc","oscoda-wurtsmith airport","oscoda","n/a"
"fzy","oswego county airport","fulton","n/a"
"otm","ottumwa industrial airport","ottumwa","n/a"
"atw","outagamie county airport","appleton","n/a"
"ckv","outlaw field","clarksville","n/a"
"koz","ouzinkie airport","ouzinkie","n/a"
"oxr","oxnard airport","oxnard","n/a"
"pfc","pacific city state airport","pacific city","n/a"
"35d","padgham field","allegan","n/a"
"fmy","page field","fort myers","n/a"
"pga","page municipal airport","page","n/a"
"psx","palacios municipal airport","palacios","n/a"
"phk","palm beach county glades airport","pelican river mobile home park","n/a"
"lna","palm beach county park airport","west palm beach","n/a"
"pbi","palm beach international","west palm beach","n/a"
"psp","palm springs international airport","palm springs","n/a"
"ppd","palmas del mar airstrip","palmas del mar","n/a"
"paq","palmer municipal airport","palmer","n/a"
"pao","palo alto airport of santa clara county","palo alto","n/a"
"pfn","panama city-bay county international airport","panama city","n/a"
"eat","pangborn field","malaga","n/a"
"nhk","park hall-lexington park airport","park hall estates","n/a"
"hlm","park township airport","holland","n/a"
"nwh","parlin field","newport","n/a"
"prb","paso robles municipal airport","paso robles","n/a"
"kph","pauloff harbor seaplane base","sanak","n/a"
"pxk","paxson airport","paxson","n/a"
"pjb","payson airport","payson","n/a"
"ffc","peachtree city-falcon field","atlanta","n/a"
"vuo","pearson airpark","officers row","n/a"
"peq","pecos municipal airport","pecos","n/a"
"pdb","pedro bay airport","pedro bay","n/a"
"pec","pelican seaplane base","pelican","n/a"
"pln","pellston regional airport of emmet county","pellston","n/a"
"pdt","pendleton municipal airport","pendair heights","n/a"
"seg","penn valley airport","selinsgrove","n/a"
"pns","pensacola regional airport","pensacola","n/a"
"npa","pensacola naval air station","pleasant grove","n/a"
"laf","perdue university airport","lafayette","n/a"
"pro","perry municipal airport","perry","n/a"
"tad","perry stokes airport","trinidad","n/a"
"fpy","perry-foley airport","perry","n/a"
"psg","petersburg seaplane base","petersburg","n/a"
"phl","philadelphia international airport","philadelphia","n/a"
"top","philip billard municipal airport","topeka","n/a"
"php","philip municipal airport","philip","n/a"
"gyr","phoenix goodyear airport","goodyear","n/a"
"phx","phoenix sky harbor international airport","phoenix","n/a"
"dvt","phoenix-deer valley municipal airport","phoenix","n/a"
"lqk","pickens county airport","pickens","n/a"
"gso","piedmont triad international airport","greensboro","n/a"
"pir","pierre municipal airport","pierre","n/a"
"pqs","pilot station airport","pilot station","n/a"
"mzj","pinal airpark","marana","n/a"
"pib","pine belt regional airport","shelton","n/a"
"pgv","pitt-greenville airport","greenville","n/a"
"pit","pittsburgh international airport","moon","n/a"
"psf","pittsfield municipal airport","pittsfield","n/a"
"pvf","placerville airport","placerville","n/a"
"ptu","platinum airport","platinum","n/a"
"pym","plymouth municipal airport","plymouth","n/a"
"pih","pocatello regional airport","pocatello","n/a"
"mpo","pocono mountains municipal airport","mount pocono","n/a"
"kpb","point baker seaplane base","point baker","n/a"
"pho","point hope airport","point hope","n/a"
"piz","point lay airport","point lay","n/a"
"ppm","pompano beach airpark","pompano beach","n/a"
"ptk","pontiac oakland county international airport","pontiac","n/a"
"gfd","pope field","greenfield","n/a"
"ahp","port alexander seaplane base","port alexander","n/a"
"pak","port allen airport","hanapēpē","n/a"
"pta","port alsworth airport","port alsworth","n/a"
"kpy","port bailey seaplane base","NULL","n/a"
"kpc","port clarence coast guard station","port clarence","n/a"
"cmh","port columbus international airport","columbus","n/a"
"pgm","port graham airport","port graham","n/a"
"pth","port heiden airport","port heiden","n/a"
"ori","port lions airport","port lions","n/a"
"gkj","port meadville airport","meadville","n/a"
"ppv","port protection seaplane base","port protection","n/a"
"kpr","port williams seaplane base","port william","n/a"
"vpz","porter county municipal airport","valparaiso","n/a"
"ptv","porterville municipal airport","porterville","n/a"
"pdx","portland international airport","portland","n/a"
"pwm","portland international jetport","portland","n/a"
"hio","portland-hillsboro airport","portland","n/a"
"ttd","portland-troutdale airport","portland","n/a"
"psm","portsmouth international airport at pease","portsmouth","n/a"
"ptw","pottstown limerick airport","pottstown","n/a"
"pcd","prairie du chien municipal airport","prairie du chien","n/a"
"ptt","pratt municipal airport","iuka","n/a"
"pnn","princeton municipal airport","princeton","n/a"
"hpv","princeville airport","hanalei","n/a"
"prz","prineville airport","prineville","n/a"
"ppc","prospect creek airport","NULL","n/a"
"pvc","provincetown municipal airport","provincetown","n/a"
"pvu","provo municipal airport","provo","n/a"
"dcu","pryor field","irvington","n/a"
"pub","pueblo memorial airport","pueblo","n/a"
