"species","last recorded","status","&nbsp;&nbsp;       2004 -2010","2011","notes"
"conopodium majus (pignut)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"convallaria majalis (lily-of-the-valley)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"convolvulus arvensis (field bindweed)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"conyza canadensis (canadian fleabane)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"coriandrum sativum (coriander)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"cornus sanguinea (dogwood)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"cornus sericea (red-osier dogwood)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"coronilla valentina (shrubby scorpion-vetch)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"coronopus didymus (lesser swine-cress)","pre-1970","alien","2008 only","&nbsp;","&nbsp;"
"coronopus squamatus (swine-cress)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"corylus avellana (hazel)","1987-1999","native","&nbsp;     yes","a","&nbsp;"
"cotoneaster dielsianus (diel's cotoneaster)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"cotoneaster frigidus (tree cotoneaster)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"cotoneaster microphyllus agg. (small-leaved cotoneasters)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"cotoneaster simonsii (himalayan cotoneaster)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"crassula helmsii (new zealand pigmyweed)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"crataegus monogyna (hawthorn)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"crepis biennis (rough hawk's-beard)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"crepis capillaris (smooth hawk's-beard)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"crepis foetida (stinking hawk's-beard)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"crepis paludosa (marsh hawk's-beard)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"crocosmia aurea x c. pottsii (montbretia)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"crocus vernus (spring crocus)","pre-1970","alien","&nbsp;yes","&nbsp;","&nbsp;several established clumps 1988-2004"
"cruciata laevipes (crosswort)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"cryptogramma crispa (parsley fern)","pre-1970","native","extinct","extinct","&nbsp;"
"cryptomeria japonica (japanese red-cedar)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"cuminum cyminum (cumin)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"cymbalaria muralis (ivy-leaved toadflax)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"cynodon dactylon (bermuda-grass)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"cynoglossum officinale (hound's-tongue)","pre-1970","native","extinct","extinct","&nbsp;"
"cynosurus cristatus (crested dog's-tail)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"cynosurus echinatus (rough dog's-tail)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"cystopteris fragilis (brittle bladder-fern)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;1 extant site"
"cytisus scoparius (broom)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"dactylis glomerata (cock's-foot)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"dactylorhiza fuchsii (common spotted-orchid)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"dactylorhiza fuchsii x d. purpurella","1987-1999","native","yes","&nbsp;","&nbsp;"
"dactylorhiza incarnata (early marsh-orchid)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"dactylorhiza maculata (heath spotted-orchid)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"dactylorhiza maculata x d. purpurella","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"dactylorhiza praetermissa (southern marsh-orchid)","not in atlas","native","extinct","extinct","&nbsp;last seen 2001 extinct?&nbsp;"
"dactylorhiza praetermissa x d. purpurella","not in atlas","native","extinct","extinct","&nbsp;last seen 2003 extinct?&nbsp;"
"dactylorhiza purpurella (northern marsh-orchid)","1987-1999","native","yes","a","&nbsp;"
"danthonia decumbens (heath-grass)","1987-1999","native","&nbsp;","a","&nbsp;"
"daphne laureola (spurge-laurel)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"daucus carota (wild carrot)","1987-1999","native","yes","&nbsp;","&nbsp;"
"deschampsia cespitosa (tufted hair-grass)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"deschampsia flexuosa (wavy hair-grass)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"descurainia sophia (flixweed)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;old railway track at shibdon pond"
"dianthus deltoides (maiden pink)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"dicentra eximia (turkey-corn)","recorded since 1999","alien","2008","&nbsp;","naturalised in chopwell woods"
"digitalis purpurea (foxglove)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"diplotaxis muralis (annual wall-rocket)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"diplotaxis tenuifolia (perennial wall-rocket)","1987-1999","alien","&nbsp;     yes","&nbsp;","&nbsp;"
"dipsacus fullonum (wild teasel)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"doronicum pardalianches (leopard's-bane)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"dryopteris affinis (scaly male-fern)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"dryopteris affinis x d. filix-mas (von tavel's       male fern)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;chopwell house 1973"
"dryopteris carthusiana (narrow buckler-fern)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"dryopteris carthusiana x d. dilatata","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"dryopteris dilatata (broad buckler-fern)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"dryopteris filix-mas (male-fern)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"echinops sphaerocephalus (glandular globe-thistle)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;friar's goose tip 1973"
"echium vulgare (viper's-bugloss)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"eleocharis acicularis (needle spike-rush)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"eleocharis multicaulis (many-stalked spike-rush)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"eleocharis palustris (common spike-rush)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"eleocharis quinqueflora (few-flowered spike-rush)","pre-1970","native","extinct","extinct","&nbsp;"
"eleocharis uniglumis (slender spike-rush)","pre-1970","native","extinct","extinct","&nbsp;"
"eleogiton fluitans (floating club-rush)","pre-1970","native","extinct","extinct","&nbsp;"
"elodea canadensis (canadian waterweed)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"elymus caninus (bearded couch)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"elytrigia atherica (sea couch)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"elytrigia juncea (sand couch)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"elytrigia juncea x e. repens&nbsp;&nbsp;","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"elytrigia repens (common couch)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"empetrum nigrum (crowberry)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"epilobium brunnescens (new zealand willowherb)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"epilobium ciliatum (american willowherb)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"epilobium ciliatum x e. montanum&nbsp;","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"epilobium hirsutum (great willowherb)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"epilobium montanum (broad-leaved willowherb)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"epilobium obscurum (short-fruited willowherb)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"epilobium palustre (marsh willowherb)","1987-1999","native","yes","&nbsp;","&nbsp;"
"epilobium parviflorum (hoary willowherb)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"epilobium tetragonum (square-stalked willowherb)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"epipactis helleborine (broad-leaved helleborine)","1987-1999","native","yes","&nbsp;","&nbsp;"
"epipactis leptochila (narrow-lipped helleborine)","1987-1999","native","&nbsp;","&nbsp;","NULL"
"epipactis youngiana (young's helleborine)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"equisetum arvense (field horsetail)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"equisetum arvense x e. fluviatile (shore horsetail)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"equisetum fluviatile (water horsetail)","1987-1999","native","yes","a","&nbsp;"
"equisetum hyemale (rough horsetail)","1987-1999","native","&nbsp;&nbsp;yes","&nbsp;","the best site in the county is the derwent walk country park."
"equisetum palustre (marsh horsetail)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"equisetum sylvaticum (wood horsetail)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"equisetum telmateia (great horsetail)","1987-1999","native","yes","&nbsp;","&nbsp;"
"erica cinerea (bell heather)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"erica tetralix (cross-leaved heath)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"erigeron acer (blue fleabane)","1987-1999","native","yes","&nbsp;","&nbsp;"
"erinus alpinus (fairy foxglove)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"eriophorum angustifolium (common cottongrass)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"eriophorum vaginatum (hare's-tail cottongrass)","1987-1999","native","&nbsp;","a","&nbsp;"
"erodium cicutarium agg. (common stork's-bill)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"erodium maritimum (sea stork's-bill)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"erophila glabrescens (glabrous whitlowgrass)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"erophila verna (common whitlowgrass)","1987-1999","native","&nbsp;&nbsp;yes","a","NULL"
"eryngium campestre (field eryngo)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"eryngium maritimum (sea-holly)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"erysimum cheiranthoides (treacle-mustard)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"eschscholzia californica (californian poppy)","recorded since 1999","alien","2008 only","&nbsp;","shibdon in 2008"
"euonymus europaeus (spindle)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"eupatorium cannabinum (hemp-agrimony)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"euphorbia cyparissias (cypress spurge)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"euphorbia esula x e. waldsteinii (twiggy spurge)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"euphorbia exigua (dwarf spurge)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"euphorbia helioscopia (sun spurge)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"euphorbia lathyris (caper spurge)","not in atlas","alien","2008 -     2010&nbsp;","&nbsp;","shibdon in 2008-2009 (1 plant)"
"euphorbia peplus (petty spurge)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"euphorbia platyphyllos (broad-leaved spurge)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"euphrasia arctica subsp. borealis&nbsp;","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"euphrasia confusa&nbsp;&nbsp;","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"euphrasia nemorosa&nbsp;&nbsp;","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"fagopyrum esculentum (buckwheat)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"fagus sylvatica (beech)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"fallopia baldschuanica (russian-vine)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"fallopia convolvulus (black-bindweed)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"fallopia japonica (japanese knotweed)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"fallopia japonica x f. sachalinensis&nbsp;","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"fallopia sachalinensis (giant knotweed)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"ferula communis (giant fennel)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"festuca altissima (wood fescue)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"festuca arundinacea (tall fescue)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"festuca filiformis (fine-leaved sheep's-fescue)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"festuca gigantea (giant fescue)","1987-1999","native","yes","&nbsp;","&nbsp;"
"festuca ovina (sheep's-fescue)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"festuca pratensis (meadow fescue)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"festuca pratensis x lolium perenne (hybrid fescue)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"festuca rubra sens. lat. (red fescues)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"ficus carica (fig)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"filago minima (small cudweed)","1970-1986","native","yes","&nbsp;","&nbsp;"
"filipendula ulmaria (meadowsweet)","1987-1999","native","yes","&nbsp;","&nbsp;"
"filipendula vulgaris (dropwort)","pre-1970","native","extinct","extinct","&nbsp;"
"foeniculum vulgare (fennel)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"fragaria vesca (wild strawberry)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"fragaria x ananassa (garden strawberry)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"fraxinus excelsior (ash)","1987-1999","native","yes","a","&nbsp;"
"fumaria bastardii (tall ramping-fumitory)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"fumaria capreolata (white ramping-fumitory)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"fumaria muralis (common ramping-fumitory)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"fumaria officinalis (common fumitory)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"fumaria purpurea (purple ramping-fumitory)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"galanthus nivalis (snowdrop)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"galeopsis angustifolia (red hemp-nettle)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"galeopsis bifida (bifid hemp-nettle)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"galeopsis segetum (downy hemp-nettle)","pre-1970","alien","extinct","extinct","&nbsp;winlaton - ryton and birtley. last seen      1917."
"galeopsis speciosa (large-flowered hemp-nettle)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"galeopsis tetrahit (common hemp-nettle)","1987-1999","native","yes","&nbsp;","&nbsp;"
"galinsoga parviflora (gallant-soldier)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"galinsoga quadriradiata (shaggy-soldier)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"galium aparine (cleavers)","1987-1999","native","yes","&nbsp;","&nbsp;"
"galium boreale (northern bedstraw)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"galium mollugo (hedge bedstraw)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"galium odoratum (woodruff)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"galium palustre (common marsh-bedstraw)","1987-1999","native","yes","&nbsp;","&nbsp;"
"galium saxatile (heath bedstraw)","1987-1999","native","yes","a","&nbsp;"
"galium tricornutum (corn cleavers)","pre-1970","alien","extinct","extinct","&nbsp;"
"galium uliginosum (fen bedstraw)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"galium verum (lady's bedstraw)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"genista anglica (petty whin)","1970-1986","native","yes","&nbsp;","&nbsp;"
"genista tinctoria (dyer's greenweed)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"gentianella amarella subsp. septentri.","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"geranium columbinum (long-stalked crane's-bill)","pre-1970","native","yes","&nbsp;","&nbsp;"
"geranium dissectum (cut-leaved crane's-bill)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"geranium ibericum x g. platypetalum (purple crane's-bill)","1970-1986","alien","yes","&nbsp;","&nbsp;"
"geranium lucidum (shining crane's-bill)","pre-1970","native","refound 2006","&nbsp;","&nbsp;timber beach dunston"
"geranium molle (dove's-foot crane's-bill)","1987-1999","native","yes","a","&nbsp;"
"geranium phaeum (dusky crane's-bill)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"geranium pratense (meadow crane's-bill)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"geranium pusillum (small-flowered crane's-bill)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"geranium pyrenaicum (hedgerow crane's-bill)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"geranium robertianum (herb-robert)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"geranium rotundifolium (round-leaved crane's-bill)","pre-1970","alien","&nbsp;yes","&nbsp;","&nbsp;ryton golf course in 2003"
"geranium sanguineum (bloody crane's-bill)","pre-1970","native","&nbsp;yes","&nbsp;","&nbsp;"
"geranium sylvaticum (wood crane's-bill)","1987-1999","native","&nbsp;&nbsp;yes","a","&nbsp;"
"geum rivale (water avens)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"geum rivale x g. urbanum (hybrid avens)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"geum urbanum (wood avens)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"glaux maritima (sea-milkwort)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"glechoma hederacea (ground-ivy)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"glyceria declinata (small sweet-grass)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"glyceria fluitans (floating sweet-grass)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"glyceria fluitans x g. notata (hybrid sweet-grass)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"glyceria maxima (reed sweet-grass)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"glyceria notata (plicate sweet-grass)","1987-1999","native","&nbsp;     yes","&nbsp;","&nbsp;"
"gnaphalium sylvaticum (heath cudweed)","1987-1999","native","2004 only","&nbsp;","&nbsp;thornley woods in 1980s"
"gnaphalium uliginosum (marsh cudweed)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"groenlandia densa (opposite-leaved pondweed)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"gymnadenia conopsea (fragrant orchid)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"gymnocarpium dryopteris (oak fern)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"hedera helix subsp. helix (common ivy)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"hedera helix subsp. hibernica (atlantic ivy)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"helianthemum nummularium (common rock-rose)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"helianthus tuberosus (jerusalem artichoke)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"helictotrichon pratense (meadow oat-grass)","1987-1999","native","yes","&nbsp;","NULL"
"helictotrichon pubescens (downy oat-grass)","1987-1999","native","yes","&nbsp;","&nbsp;"
"heracleum mantegazzianum (giant hogweed)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"heracleum sphondylium (hogweed)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"hesperis matronalis (dame's-violet)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"hieracium agg. (hawkweeds)","1987-1999","native","&nbsp;yes","a","&nbsp;h. vagum &amp; h.vulgatum recorded 2004"
"hippophae rhamnoides (sea-buckthorn)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"hippuris vulgaris (mare's-tail)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"holcus lanatus (yorkshire-fog)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"holcus mollis (creeping soft-grass)","1987-1999","native","&nbsp;     yes","a","&nbsp;"
"honckenya peploides (sea sandwort)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"hordelymus europaeus (wood barley)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"hordeum distichon sens. lat. (barley)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"hordeum jubatum (foxtail barley)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"hordeum murinum (wall barley)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"hordeum secalinum (meadow barley)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"hottonia palustris (water-violet)","pre-1970","native","extinct","extinct","NULL"
"humulus lupulus (hop)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"hyacinthoides hispanica (spanish bluebell)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"hyacinthoides hispanica x h.non-scripta (hybrid      bluebell)","1987-1999","alien","&nbsp;     yes","a","&nbsp;"
"hyacinthoides non-scripta (bluebell)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"hydrocharis morsus-ranae (frogbit)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;pond near ryton only county site"
"hydrocotyle vulgaris (marsh pennywort)","pre-1970","native","&nbsp;","&nbsp;","&nbsp;"
"hyoscyamus niger (henbane)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"hypericum androsaemum (tutsan)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"hypericum calycinum (rose-of-sharon)","1970-1986","alien","extinct","extinct","&nbsp;last seen 1990 - watergate pit - now destroyed."
"hypericum hirsutum (hairy st john's-wort)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"hypericum humifusum (trailing st john's-wort)","1970-1986","native","yes","&nbsp;","&nbsp;"
"hypericum maculatum subsp.obtusiusculum&nbsp;","1987-1999","native","yes","&nbsp;","&nbsp;"
"hypericum maculatum x h. perforatum (des etangs'       st john's-wort)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"hypericum perforatum (perforate st john's-wort)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"hypericum pulchrum (slender st john's-wort)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"hypericum tetrapterum (square-stalked st john's-wort)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"hypochaeris radicata (cat's-ear)","1987-1999","native","yes","a","&nbsp;"
"iberis amara (wild candytuft)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"iberis umbellata (garden candytuft)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"ilex aquifolium (holly)","1987-1999","native","yes","a","&nbsp;"
"impatiens glandulifera (indian balsam)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"impatiens parviflora (small balsam)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"inula conyzae (ploughman's-spikenard)","1970-1986","native","&nbsp;","&nbsp;","&nbsp;"
"inula helenium (elecampane)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"iris foetidissima (stinking iris)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"iris germanica (bearded iris)","1970-1986","alien","&nbsp;","&nbsp;","&nbsp;"
"iris pseudacorus (yellow iris)","1987-1999","native","yes","a","&nbsp;"
"isatis tinctoria (woad)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"isolepis setacea (bristle club-rush)","1987-1999","native","yes","&nbsp;","&nbsp;"
"jasione montana (sheep's-bit)","1987-1999","native","&nbsp;","&nbsp;","burn hills above blaydon burn - still      present?"
"juglans regia (walnut)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"juncus acutiflorus (sharp-flowered rush)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"juncus articulatus (jointed rush)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"juncus bufonius sens. str. (toad rush)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"juncus bulbosus (bulbous rush)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"juncus conglomeratus (compact rush)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"juncus effusus (soft-rush)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"juncus effusus x j. inflexus","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"juncus gerardii (saltmarsh rush)","1987-1999","native","yes","&nbsp;","team/tyne confluence"
"juncus inflexus (hard rush)","1987-1999","native","&nbsp;yes","a","&nbsp;"
"juncus squarrosus (heath rush)","1987-1999","native","&nbsp;","&nbsp;","&nbsp;"
"juncus tenuis (slender rush)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"juniperus communis (common juniper)","pre-1970","native","extinct","extinct","&nbsp;"
"kickxia elatine (sharp-leaved fluellen)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"kickxia spuria (round-leaved fluellen)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"knautia arvensis (field scabious)","1987-1999","native","&nbsp;yes","&nbsp;","&nbsp;"
"kniphofia uvaria (red-hot-poker)","recorded since 1999","alien","yes","&nbsp;","&nbsp;dunston riverside 2003 burdon moor 2     patches&nbsp; (2008)"
"koeleria macrantha (crested hair-grass)","1987-1999","native","yes","&nbsp;","&nbsp;"
"laburnum anagyroides (laburnum)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"lactuca serriola (prickly lettuce)","pre-1970","alien","yes","&nbsp;","recorded in 2003 &amp; 2006"
"lamiastrum galeobdolon subsp. argentatus","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"lamiastrum galeobdolon subsp. montanum (yellow       archangel )","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
"lamium album (white dead-nettle)","1987-1999","alien","&nbsp;yes","a","&nbsp;"
"lamium amplexicaule (henbit dead-nettle)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"lamium confertum (northern dead-nettle)","pre-1970","alien","&nbsp;","&nbsp;","&nbsp;"
"lamium hybridum (cut-leaved dead-nettle)","1970-1986","alien","yes","&nbsp;","&nbsp;norwood coke works 1974&nbsp;: shibdon 2007/2008"
"lamium maculatum (spotted dead-nettle)","1987-1999","alien","yes","&nbsp;","&nbsp;"
"lamium purpureum (red dead-nettle)","1987-1999","alien","&nbsp;&nbsp;yes","a","&nbsp;"
"lapsana communis (nipplewort)","1987-1999","native","&nbsp;     yes","a","&nbsp;"
"larix decidua (european larch)","1987-1999","alien","&nbsp;yes","&nbsp;","&nbsp;"
"larix decidua x l. kaempferi (hybrid larch)","1987-1999","alien","&nbsp;","&nbsp;","&nbsp;"
