"family","preferred_species_name","common name","wra score","wra designation"
"fabaceae","stylosanthes scabra","shrubby stylo","1","l"
"fabaceae","tamarindus indica","tamarind","-3","l"
"fabaceae","tephrosia candida","white tephrosia","8","h (hpwra)"
"fabaceae","tephrosia purpurea","pila","7","h (hpwra)"
"fabaceae","tipuana tipu","tipu tree","0","l"
"fabaceae","ulex europaeus","gorse","20","h (hawai�i)"
"fabaceae","wallaceodendron celebicum","banuyo","0","l (hpwra)"
"geraniaceae","pelargonium peltatum","ivyleaf geranium","0","l"
"gesneriaceae","episcia cupreata","flame violet","3","l"
"gesneriaceae","episcia dianthiflora","lace flower vine","-2","l"
"grossulariaceae","brexia madagascariensis","brexia","-6","l"
"grossulariaceae","escallonia rubra var. macrantha","redclaws","4","evaluate"
"heliconiaceae","heliconia caribaea","lobster claw","-1","l"
"heliconiaceae","heliconia psittacorum","parrot's beak","11","h (hpwra)"
"heliconiaceae","heliconia stricta","small lobster claw","6","l"
"hernandiaceae","hernandia ovigera","jack in the box tree","-4","l"
"hernandiaceae","hernandia sonora","toporite","-5","l"
"hippocastanaceae","aesculus californica","california buckeye","0","l"
"juncaceae","luzula nivea","snowy wood rush","4","l"
"juncaceae","luzula sylvactica","greater woodrush","7","h (hpwra)"
"lamiaceae","ajuga reptans","common bugleweed","11","h (hpwra)"
"lamiaceae","leonotis nepetifolia","annual lion's ear","19","h (hpwra)"
"lamiaceae","plectranthus prostratus","pillow plant","5","l"
"lamiaceae","thymus vulgaris","thyme","4","l"
"lauraceae","cinnamomum aromaticum","chinese cinnamon","-3","l"
"lauraceae","cinnamomum camphora","camphor tree","14","h (hpwra)"
"lauraceae","cinnamomum verum","cinnamon tree","10","h (hpwra)"
"lauraceae","persea americana","avocado","3","l"
"lecythidaceae","barringtonia asiatica","sea putat","-8","l"
"leeaceae","leea guineensis","hawaiian holly","-1","l"
"liliaceae","agapanthus africanus","lily of the nile","2.5","l"
"liliaceae","agapanthus praecox","common agapanthus","12","h (hpwra)"
"liliaceae","allium sativum","garlic","-4","l"
"liliaceae","asparagus densiflorus","asparagus fern","15","h (hpwra)"
"liliaceae","asparagus falcatus","sicklethorn","11","h (hpwra)"
"liliaceae","asparagus setaceus","common asparagus fern","13","h (hpwra)"
"liliaceae","aspidistra elatior","cast iron plant","-1","l"
"liliaceae","chlorophytum comosum","spiderplant","8","l (hawai�i)"
"liliaceae","crinum asiaticum","crinum lily","-4","l"
"liliaceae","dianella caerulea","cerulean flaxlily","5","evaluate"
"liliaceae","dianella revoluta","spreading flax lily","2","l"
"liliaceae","dianella tasmanica","tasman flax lily","0","l"
"liliaceae","hippeastrum puniceum","barbados lily","2","l"
"liliaceae","liriope muscari","lilyturf","4.5","l"
"liliaceae","liriope spicata","creeping lilyturf","7.5","h (hpwra)"
"liliaceae","ophiopogon japonicus","mondo grass","3","l"
"linaceae","linum usitatissimum","flax","9.5","h (hpwra)"
"loganiaceae","fagraea berteroana","pua keni keni","-1","l"
"lythraceae","cuphea hyssopifolia","false heather","5","l"
"lythraceae","cuphea ignea","mexican cigar plant","3","l"
"lythraceae","cuphea subuligera","mauve cuphea","1","l"
"lythraceae","lagerstroemia indica","crape myrtle","6","l"
"lythraceae","lagerstroemia indica l. x l. fauriei","crepe myrtle hybrid","4","l"
"lythraceae","lagerstroemia speciosa","queen's crape myrtle","-4","l"
"lythraceae","lagerstroemia tomentosa","leza wood","-2","l"
"magnoliaceae","magnolia grandiflora","southern magnolia","0","l"
"magnoliaceae","michelia champaca","orange champaca","-5","l"
"magnoliaceae","michelia figo","banana shrub","-5","l"
"magnoliaceae","michelia x alba","white champaca","-6","l"
"malphigiaceae","galphimia gracilis","slender goldshower","-2","l"
"malphigiaceae","mascagnia macroptera","yellow butterfly vine","6","evaluate"
"malpighiaceae","bunchosia argentea","peanut butter fruit","-3","l"
"malpighiaceae","malpighia glabra","wild crapemyrtle","-5","l (hpwra)"
"malpigiaceae","hiptage benghalensis","hiptage","8","h (hpwra)"
"malpigiaceae","stigmaphyllon floribundum","woolly amazonvine","-6","l"
"malpigiaceae","tristellateia australasiae","galphimia vine","-3","l"
"malvaceae","alyogyne huegelii","lilac hibiscus","0","l"
"malvaceae","hibiscus calyphyllus","lemonyellow rosemallow","1","l"
"malvaceae","hibiscus immaculatus","koki'o ke'oke'o","-3","l"
"malvaceae","hibiscus insularis","philip island hibiscus","-3","l"
"malvaceae","hibiscus rosa-sinensis","chinese hibiscus","-2","l"
"malvaceae","hibiscus sabdariffa","roselle","-3","l"
"malvaceae","hibiscus schizopetalus","coral hibiscus","-4","l"
"malvaceae","lavatera maritima","tree mallow","-6","l"
"malvaceae","malvaviscus penduliflorus","turk's cap","-9","l"
"malvaceae","montezuma speciosissima","maga","-1","l"
"malvaceae","talipariti elatum","blue mahoe","5","l"
"malvaceae","thespesia populnea","milo","9","h (hpwra)"
"marantaceae","calathea majestica","","-1","l"
"marantaceae","pleiostachya pruinosa","prayer plant","2","l"
"marantaceae","stromanthe macrochlamys","stromanthe","0","l"
"marantaceae","stromanthe tonckat","stromanthe","1","l"
"marattiaceae","angiopteris evecta","giant fern","8","h (hpwra) [revised 07/03/08]"
"melastomataceae","dissotis rotundifolia","dissotis","10","h (hpwra)"
"melastomataceae","medinilla cummingii","chandelier tree","6","evaluate"
"melastomataceae","medinilla magnifica","malaysian orchid","8","h (hpwra) [revised 5/12/08]"
"melastomataceae","medinilla scortechinii","medinilla","5","evaluate"
"melastomataceae","melastoma candidum","indian rhododendron","13","h (hawai�i)"
"melastomataceae","miconia calvescens","miconia","14","h (hawai�i)"
"melastomataceae","tetrazygia bicolor","florida clover ash","3","evaluate"
"melastomataceae","tibouchina granulosa","purple glory bush","1","l"
"melastomataceae","tibouchina herbacea","cane tibouchina","24","h (hpwra)"
"melastomataceae","tibouchina multiflora","today-tomorrow tibouchina","-4","l"
"melastomataceae","tibouchina urvilleana","glory bush","10","h (hpwra)"
"melastomataceae","topobea parasitica","topobea","3","h (hpwra)"
"melastomatceae","medinilla heterophylla","","9","h (hpwra)"
"meliaceae","aglaia odorata","chinese perfume plant","-4","l"
"meliaceae","azadirachta indica","neem","10","h (hpwra) [updated 2july 2009]"
"meliaceae","cedrela odorata","spanish cedar","2","evaluate"
"meliaceae","khaya nyasica","east african mahogany","-1","l"
"meliaceae","khaya senegalensis","dry zone mahogany","0","l"
"meliaceae","melia azedarach","chinaberry tree","14","h (hpwra)"
"meliaceae","swietenia macrophylla","large-leaf mahogany","-2","l"
"meliaceae","swietenia mahagoni","west indian mahogany","-6","l"
"meliaceae","toona ciliata","australian red cedar","2","evaluate"
"moraceae","artocarpus altilis","breadfruit","-12","l"
"moraceae","artocarpus heterophyllus","jackfruit","1","l"
"moraceae","artocarpus odoratissimus","marang","-3","l"
"moraceae","broussonetia papyrifera (hawaiian seedless)","paper mulberry","3","l"
"moraceae","ficus benghalensis","indian banyon","3","l"
"moraceae","ficus benjamina","weeping fig","4","evaluate"
"moraceae","ficus carica cv. brownturkey","common fig","2","l"
"moraceae","ficus deltoidea","mistletoe fig","0","l"
"moraceae","ficus elastica","indian rubberplant","-5","l"
"moraceae","ficus lyrata","fiddleleaf fig","-5","l"
"moraceae","ficus macrophylla","moreton bay fig","3","evaluate"
"moraceae","ficus microcarpa","chinese banyon","10","h (hpwra)"
"moraceae","ficus natalensis","natal fig","1","evaluate"
"moraceae","ficus pumila","creeping fig","2","l"
"moraceae","ficus religiosa","bodhi tree","-4","l"
"moraceae","ficus rubiginosa","port jackson fig","7","h (hpwra)"
"moraceae","ficus tikoua","waipahu fig","-3","l"
"moringaceae","moringa oleifera","horse-raddish tree","1","l"
"musaceae","musa acuminata","cavendish banana","-11","l"
"musaceae","musa balbisiana","japanese fiber banana","-2","l"
"myoporaceae","myoporum laetum","ngaio","6","evaluate"
"myricaceae","morella faya","firetree","8","h (hawai�i)"
"myrsinaceae","ardisia crenata","coral ardisia","10","h (hpwra) [revised 07/03/08]"
"myrsinaceae","ardisia elliptica","shoebutton ardisia","11","h (hawai'i)"
"myrtaceae","callistemon citrinus","crimson bottlebush","0","l"
"myrtaceae","callistemon rigidus","stiff bottlebrush","1","l"
"myrtaceae","callistemon viminalis","weeping bottlebrush","3","l"
"myrtaceae","corymbia citriodora","lemon-scented gum","9","h (hpwra)"
"myrtaceae","corymbia ficifolia","red-flowering gum","-7","l"
"myrtaceae","eucalyptus caesia","silver princess","0","l"
"myrtaceae","eucalyptus cinerea","silver dollar gum","4","l"
"myrtaceae","eucalyptus crebra","ironbark","-1","l"
"myrtaceae","eucalyptus deglupta","indonesian gum","2","l"
"myrtaceae","eucalyptus gardneri","blue mallet","0","l"
"myrtaceae","eucalyptus globulus","blue gum","10","h (hpwra)"
"myrtaceae","eucalyptus grandis","rose gum","11","h (hpwra)"
"myrtaceae","eucalyptus intermedia","bloodwood","1","l"
"myrtaceae","eucalyptus kruseana","kruse's mallee","0","l"
"myrtaceae","eucalyptus microcorys","australian tallowwood","1","l"
"myrtaceae","eucalyptus paniculata","grey ironbark","11","h (hpwra)"
"myrtaceae","eucalyptus platypus","round-leaved moort","0","l"
"myrtaceae","eucalyptus robusta","swamp mahogany","3","l"
"myrtaceae","eucalyptus salubris","gimlet","-3","l"
"myrtaceae","eucalyptus sideroxylon","black ironbark","2","l"
"myrtaceae","eucalyptus stoatei","scarlet pear gum","-2","l"
"myrtaceae","eucalyptus tereticornis","forest red gum","5","l"
"myrtaceae","eucalyptus torelliana","blood-leaf gum","4","evaluate"
"myrtaceae","eucalyptus torquata","coral gum","-1","l"
"myrtaceae","eucalyptus urophylla","timor mountain gum","4","l"
"myrtaceae","eucalyptus yarraensis","yarra gum","1","l"
"myrtaceae","eugenia uniflora","surinam cherry","12","h (hpwra)"
"myrtaceae","leptospermum scoparium","broom teatree","3","h (hpwra)"
"myrtaceae","lophostemon confertus","brisbane box","-3","l"
"myrtaceae","melaleuca bracteata","river tea-tree","10","h (hpwra)"
"myrtaceae","melaleuca incana var. prostrata","prostrate gray honey myrtle","0","l"
"myrtaceae","melaleuca leucadendra","broadleaved paperback","-1","l (hpwra)"
"myrtaceae","melaleuca nesophila","mauve honey-myrtle","8","h (hpwra)"
"myrtaceae","melaleuca quinquenervia","paper bark tree","15","h (hpwra)"
"myrtaceae","melaleuca styphelioides","prickly-leaf teatree","-2","l (hpwra)"
"myrtaceae","metrosideros excelsa","new zealand christmas tree","5","evaluate"
"myrtaceae","metrosideros kermadecensis","kermadec pohutukawa","3","evaluate"
"myrtaceae","myrcianthes fragrans","simpson stopper","0","l"
"myrtaceae","myrciaria cauliflora","jaboticaba","-2","l"
"myrtaceae","pimenta dioica","allspice tree","7","h (hpwra)"
"myrtaceae","pimenta racemosa","bay rum tree","4","evaluate"
"myrtaceae","psidium cattleianum","strawberry guava","18","h (hawai�i)"
"myrtaceae","psidium guajava","common guava","21","h (hawai�i)"
"myrtaceae","psidium guineense","brazilian guava","7","h (hpwra)"
"myrtaceae","rhodomyrtus tomentosa","rose myrtle","8","h (hawai�i)"
"myrtaceae","syzygium malaccense","mountain apple","0","l"
"myrtaceae","syzygium polyanthum","indian bayleaf","7","h (hpwra)"
"myrtaceae.","eucalyptus cloeziana","queensland messmate","-1","l"
"myrtaceae.","eucalyptus dunnii","dunn's white gum","0","l"
"myrtaceae.","eucalyptus pellita","red mahogany","3","l"
"myrtaceae.","eucalyptus saligna","sydney blue gum","7","h (hpwra)"
"nyctaginaceae","bougainvillea glabra","paperflower","-1","l"
"ochnaceae","ochna serrulata","mickey mouse plant","11","h (hpwra)"
"ochnaceae","ochna thomasiana","mickey-mouse bush","8","h (hpwra)"
"oleaceae","fraxinus uhdei","tropical ash","11","h (hpwra) [revised 5/12/08]"
"oleaceae","jasminum fluminense","brazilian jasmine","16","h (hpwra)"
"oleaceae","jasminum mesnyi","primrose jasmine","2.5","l"
"oleaceae","jasminum multiflorum","star jasmine","2","l"
"oleaceae","jasminum polyanthum","winter jasmine","10","h (hpwra)"
"oleaceae","ligustrum japonicum","japanese privet","6","evaluate"
"oleaceae","ligustrum lucidum","glossy privet","6","evaluate"
"oleaceae","ligustrum sinense","chinese privet","11","h (hpwra)"
"oleaceae","noronhia emarginata","madagascar olive","5","evaluate"
"oleaceae","olea europaea","olive tree","5","evaluate"
"onagraceae","gaura lindheimeri","gaura","6","l"
"oxalidaceae","averrhoa carambola","starfruit","-1","l"
"palmae","areca catechu","betel nut palm","-4","l"
"palmae","pritchardia pacifica","fiji fan palm","-4","l"
"palmae","rhaphis excelsa","lady palm","0","l"
"pandanaceae","pandanus pygmaeus","small screwpine","0","l"
"passifloraceae","passiflora edulis","passion fruit","6","l"
"passifloraceae","passiflora quadrangularis","giant granadilla","11","h (hpwra)"
"passifloraceae","passiflora rubra","red passionfruit","9","h (hpwra)"
"passifloraceae","passiflora tarminiana","banana poka","24","h (hawai`i)"
"passifloraceae","passiflora vitifolia","crimson passion flower","-1","l"
"phytolaccaeae","phytolacca dioica","ombu","9","h (hpwra)"
"pinaceae","pinus elliottii","slash pine","2","evaluate"
"pinaceae","pinus radiata","monterey pine","5","evaluate (revised 04/27/04; field reports from hawai�i indicate it may be a serious pest; hepec documentation in progress)"
"piperaceae","peperomia obtusifolia","baby rubberplant","-4","l"
"piperaceae","piper aduncum","spiked pepper","18","h (hpwra)"
"piperaceae","piper methysticum","kava","-4","l"
"pittosporaceae","pittosporum resiniferum","petroleum nut","6","evaluate"
"pittosporaceae","pittosporum tobira","japanese pittosporum","3.5","evaluate"
"pittosporaceae","pittosporum undulatum","australian cheesewood","7","h (hpwra)"
"pittosporaceae","pittosporum viridiflorum","cape cheesewood","3","evaluate"
"plumbaginaceae","plumbago auriculata","cape leadwort","6","l"
"poaceae","agrostis stolonifera","carpet bentgrass","19","h (hpwra)"
"poaceae","andropogon glomeratus","bushy bluestem","14","h (hpwra)"
"poaceae","anthoxanthum odoratum","sweet vernalgrass","11","h (hpwra)"
"poaceae","arundo donax","arundo","12","h (hpwra)"
"poaceae","axonopus compressus","broadleaf carpet grass","15","h (hpwra)"
"poaceae","axonopus fissifolius.","carpet grass","16","h (hpwra)"
"poaceae","bambusa chungii","emporer's blue bamboo","-1","l"
"poaceae","bambusa glaucophylla","malay dwarf bamboo","-3","l"
"poaceae","bambusa lako","timor black bamboo","-1","l (hpwra)"
"poaceae","bambusa oldhamii","oldham's bamboo","1","evaluate"
"poaceae","bambusa textilis","weaver's bamboo","-3","l"
"poaceae","bambusa vulgaris","common bamboo","5","l"
"poaceae","bothriochloa bladhii","caucasian bluestem","19","h (hpwra)"
"poaceae","bouteloua aristidoides","needle grama","9","h"
"poaceae","brachiaria mutica","para grass","12","h (hawai�i)"
"poaceae","buchloe dactyloides","amer buffalo grass","4.5","l"
"poaceae","chasmanthium latifolium","northern sea oats","8.5","h (hpwra)"
"poaceae","chrysopogon zizanioides (fertile)","vetiver grass wild type","9","h (hpwra)"
"poaceae","chrysopogon zizanioides 'sunshine'","vetiver grass sunshine","-8","l"
"poaceae","cortaderia jubata","andean pampas grass","26","h (hpwra)"
"poaceae","cortaderia selloana","pampas grass","24","h (hpwra)"
"poaceae","cymbopogon citratus","lemongrass","-2","l"
"poaceae","echinochloa esculenta","japanese millet","8","h (hpwra)"
"poaceae","eleusine coracana","finger millet","2","evaluate"
"poaceae","eragrostis elliottii","blue lovegrass","12","h (hpwra)"
"poaceae","eremochloa ophiuroides","centipede grass","8","l (hawai�i)"
"poaceae","festuca arundinacea","tall fescue","17.5","h (hpwra)"
"poaceae","imperata cylindrica","cogon grass","22","h (hpwra)"
"poaceae","lagurus ovatus","hare's tail grass","7","h (hpwra)"
"poaceae","lolium multiflorum","annual ryegrass","9","h (hpwra)"
"poaceae","melica transsilvanica","red spire","7","h (hpwra)"
"poaceae","melinis nerviglumis","pink crystals","7","h (hpwra)"
"poaceae","miscanthus floridulus","giant miscanthus","13","h (hpwra)"
"poaceae","nassella tenuissima","mexican feather grass","24","h (hpwra)"
"poaceae","nastus elatus","new guinea edible bamboo","2","l"
"poaceae","otatea aztecorum","mexican weeping bamboo","4","l"
"poaceae","panicum maximum","guinea grass","17","h (hawai�i)"
"poaceae","panicum virgatum","switchgrass","11","h (hpwra)"
"poaceae","paspalum conjugatum","hilograss","28","h (hawai�i)"
"poaceae","paspalum dilatatum","dallis grass","12","h (hpwra)"
"poaceae","paspalum notatum","bahia grass","16","h (hpwra)"
"poaceae","paspalum vaginatum","seashore paspalum","7","h (hpwra)"
"poaceae","pennisetum clandestinum","kikuyu grass","18","h (hpwra)"
"poaceae","pennisetum glaucum variety 'purple majesty'","ornamental pearl millet","3","l"
"poaceae","pennisetum petiolare","petioled fountaingrass","7","h (hpwra)"
"poaceae","pennisetum purpureum","elephant grass","16","h (hpwra)"
"poaceae","pennisetum setaceum","fountain grass","26","h (hawai�i)"
"poaceae","pennisetum villosum","feathertop","24","h (hpwra)"
"poaceae","poa pratensis","kentucky bluegrass","14","h (hpwra)"
"poaceae","polypogon monspeliensis","rabbitfoot grass","18","h (hpwra)"
"poaceae","saccharum officinarum","sugar cane","-2","l"
"poaceae","saccharum spontaneum","wild sugarcane","17","h (hpwra)"
"poaceae","schizachyrium condensatum","bush beardgrass","8","h (hpwra)"
"poaceae","schizostachyum brachycladum","sacred bali bamboo","-1","l"
"poaceae","schizostachyum glaucifolium","hawaiian bamboo","0","l"
"poaceae","sorghum bicolor ssp. drummondii","shattercane","17.5","h (hpwra)"
"poaceae","stenotaphrum secundatum","st. augustine grass","15","h (hpwra)"
"poaceae","zoysia japonica","korean lawngrass","6","l"
"poaceae","zoysia tenuifolia","templegrass","-2","l"
"podocarpaceae","afrocarpus falcatus","bastard yellow wood","0","l"
"podocarpaceae","podocarpus chinensis","maki","-4","l"
"podocarpaceae","podocarpus elatus","plum pine","-2","l"
"podocarpaceae","podocarpus gracilior","african fern pine","0","l"
"podocarpaceae","podocarpus macrophyllus","japanese yew","-3","l"
"polygonaceae","antigonon leptopus","mexican creeper","19","h (hpwra)"
"polygonaceae","coccoloba uvifera","sea grape","-5","l"
"polygonaceae","fagopyrum esculentum","buckwheat","-6","l"
"polygonaceae","persicaria chinensis","chinese knotweed","14","h (hpwra)"
"polygonaceae","polygonum capitatum","pink knotweed","13","h (hpwra)"
"polypodiaceae","microsorum musifolium","crocodile fern","5","l"
"polypodiaceae","pyrrosia piloselloides","dragons scale fern","6","h (hpwra)"
"primulaceae","lysimachia fortunei  variety super snow","lysimachia","8","h (hpwra)"
"proteaceae","grevillea banksii","red silk oak","8","h (hpwra)"
"proteaceae","grevillea robusta","silk oak","5","evaluate (revised 04/27/04; field reports from hawai�i indicate it may be a serious h; hepec documentation in progress)"
"proteaceae","leucospermum bolusii","gordon's bay pincushion","-4","l"
"proteaceae","macadamia integrifolia","macadamia","-1","l"
"proteaceae","stenocarpus sinuatus","wheel-of-fire","-4","l (hpwra)"
"punicaceae","punica granatum","pomegranate","3.5","l"
"rhamnaceae","alphitonia zizyphoides","toi","0","l"
"rhamnaceae","berchemia zeyheri","pink ivory","-3","l"
"rhamnaceae","frangula californica ssp. californica","coffeeberry","5","h (hpwra)"
"rhamnaceae","maesopsis eminii","umbrella tree","4","evaluate"
"rhamnaceae","zizyphus mauritiana","indian jujube","9.5","h (hpwra)"
"rhizophoraceae","carallia brachiata","corkwood","3","evaluate"
"rosaceae","cotoneaster pannosus","silverleaf cotoneaster","7","h (hpwra)"
"rosaceae","eriobotrya japonica","loquat","0.5","evaluate"
"rosaceae","photinia davidiana","photina","-2","l"
"rosaceae","potentilla verna","spring cinquefoil","-2","l"
"rosaceae","prunus cerasifera","cherry plum","8","h (hpwra)"
"rosaceae","pyracantha angustifolia","narrowleaf firethorn","13","h (hpwra)"
"rosaceae","rhaphiolepis indica","indian hawthorn","3","l"
"rosaceae","rosa laevigata","cherokee rose","16","h (hpwra)"
"rosaceae","rosa multiflora","multiflora rose","12","h (hpwra)"
"rosaceae","rubus argutus","prickly florida blackberry","21.5","h (hawai�i)"
"rosaceae","rubus discolor","himalayan blackberry","24","h (hpwra)"
"rosaceae","rubus ellipticus","yellow himalayan raspberry","18","h (hpwra)"
"rosaceae","rubus rosifolius","thimbleberry","10","h (hpwra)"
"rubiaceae","atractocarpus fitzalanii","randia","3","h (hpwra)"
"rubiaceae","cinchona pubescens","red cinchona","9","h (hawai�i)"
"rubiaceae","coffea arabica","coffee","2","h (hpwra)"
"rubiaceae","coffea liberica","liberian coffee","1","evaluate"
"rubiaceae","coprosma repens","creeping mirrorplant","1","l"
"rubiaceae","gardenia jasminoides","cape jasmine","0","l"
"rubiaceae","gardenia taitensis","tahitian gardenia","-4","l"
"rubiaceae","hamelia patens","firebush","7","h (hpwra)"
"rubiaceae","ixora chinensis","chinese ixora","-2","l"
"rubiaceae","ixora coccinea","jungle flame","4","evaluate"
"rubiaceae","morinda citrifolia","noni","10","h (hpwra)"
"rubiaceae","mussaenda erythrophylla","red mussaenda","0","l"
"rubiaceae","mussaenda frondosa","flag bush","-4","l"
"rubiaceae","mussaenda philippica","white mussaenda","-3","l"
"rubiaceae","paederia foetida","maile pilau","21","h (hawai�i)"
"rubiaceae","posoqueria latifolia","monkey apple","-2","l"
"rubiaceae","pseudomussaenda flava","dwarf yellow mussaenda","-6","l"
"rubiaceae","rondeletia amoena","rondeletia","-2","l"
"rubiaceae","rondeletia odorata","rondeletia","-4","l"
"rubiaceae","serissa japonica","serissa","-10","l"
"rutaceae","citrus aurantifolia","lime","2","l"
"rutaceae","citrus limon","lemon","-3","l"
"rutaceae","citrus maxima","pummelo","0","l"
"rutaceae","citrus reticulata","mandarin orange","-5","l"
"rutaceae","citrus sinensis","sweet orange","-2","l"
"rutaceae","citrus x paradisi","grapefruit","-8","l"
"rutaceae","citrus�citrofortunella mitis","calamondin","0","l"
"rutaceae","flindersia brayleyana","queensland maple","-3","l"
"rutaceae","murraya paniculata","mock orange","6","evaluate"
"salicaceae","salix babylonica","babylon weeping willow","9","h (hpwra)"
"salviniaceae","salvinia molesta","giant salvinia","29","h (hawai�i)"
"santalaceae","santalum album","indian sandalwood","-3","l"
"sapindaceae","cardiospermum grandiflorum","showy balloonvine","18","h (hpwra)"
"sapindaceae","cardiospermum halicacabum","baloon vine","12","h (hpwra)"
"sapindaceae","cupaniopsis anacardioides","carrotwood","6","evaluate"
"sapindaceae","filicium decipiens","fern tree","1","evaluate"
"sapindaceae","harpullia pendula","tulipwood","-4","l"
"sapindaceae","koelreuteria elegans","chinese flame tree","8","h (hpwra) [revised]"
"sapindaceae","litchi chinensis","lychee","-6","l"
"sapindaceae","majidea zanguebarica","black pearl tree","-2","l"
"sapotaceae","chrysophyllum oliviforme","satin leaf","7","h (hpwra)"
"sapotaceae","mimusops caffra","coastal red milkwood","-1","l"
"saxifragaceae","saxifraga sarmentosa","strawberry saxifrage","3","l"
"scrophulariaceae","digitalis purpurea","foxglove","7.5","h (hpwra)"
"scrophulariaceae","leucophyllum frutescens","texas ranger","-3","l"
"scrophulariaceae","lophospermum erubescens","creeping gloxinia","5","l"
"scrophulariaceae","lophospermum scandens","twining snapdragon","-2","l"
"scrophulariaceae","mecardonia procumbens 'goldflake'","baby jump-up","7","h (hpwra)"
"scrophulariaceae","otacanthus caeruleus","brazilian snapdragon","-4","l"
"scrophulariaceae","paulownia elongata","paulownia","-1","l"
"scrophulariaceae","paulownia fortunei","empress diamond","1","l"
"scrophulariaceae","paulownia tomentosa","princess tree","9","h (hpwra)"
"scrophulariaceae","russelia equisetiformis","fire cracker plant","-2","l"
"simaroubaceae","ailanthus altissima","tree of heaven","21","h (hpwra)"
"simmondsiaceae","simmondsia chinensis","jojoba","-3","l"
"solanaceae","brugmansia x candida","angel's trumpet","2","l"
"solanaceae","brunfelsia densifolia","serpentine hill raintree","-4","l"
"solanaceae","capsicum frutescens","wild pepper","5","l"
"solanaceae","cestrum elegans","crimson cestrum","18","h (hpwra)"
"solanaceae","cestrum nocturnum","night-blooming jasmine","17","h (hpwra)"
"solanaceae","lycium chinense","chinese desert-thorn","8","h (hpwra)"
"solanaceae","nicotiana glauca","tree tobacco","15","h (hpwra)"
"solanaceae","solandra maxima","cup of gold","3","evaluate"
"solanaceae","solanum capsicoides","cockroach berry","15","h (hpwra)"
"solanaceae","solanum muricatum","melon pear","5","l"
"solanaceae","solanum seaforthianum","brazilian nightshade","9","h (hpwra)"
"solanaceae","streptosolen jamesonii","marmalade bush","2","l"
"sphagnaceae","sphagnum palustre","peat moss","12.5","h (hpwra)"
"sterculiaceae","brachychiton acerifolius","illawarra flame tree","-5","l"
"sterculiaceae","fremontodendron californicum","flannelbush","3","l"
"sterculiaceae","heritiera littoralis","loling-glass tree","-2","l"
"sterculiaceae","sterculia apetala","panama tree","4","evaluate"
"sterculiaceae","sterculia foetida","java olive","3","l"
"sterculiaceae","theobroma cacao","cocoa","-5","l"
"strelitziaceae","ravenala madagascariensis","traveller's palm","5","l (hawai�i)"
"strelitziaceae","strelitzia nicolai","bird-of-paradise-tree","-1","l"
"strelitziaceae","strelitzia reginae","bird of paradise","-3","l"
"taccaceae","tacca leontopetaloides","polynesian arrowroot","0","l"
"tamaricaceae","tamarix aphylla","athel tamarisk","13","h (hpwra)"
"tamaricaceae","tamarix gallica","saltcedar","8.5","h (hpwra)"
"taxodiaceae","cryptomeria japonica","japanese cedar","-3","l"
"theaceae","camellia sinensis","tea","-4","l"
"tiliaceae","grewia occidentalis","lavender star flower","-3","l"
"tiliaceae","heliocarpus popayanensis","moho","7","h (hpwra)"
"tiliaceae","muntingia calabura","jamaica cherry","12","h (hpwra)"
"turneraceae","erblichia odorata","butterfly tree","0","l"
"turneraceae","turnera ulmifolia","yellow alder","10","h (hpwra)"
"typhaceae","typha latifolia","common cattail","26","h (hpwra)"
"ulmaceae","ulmus pumila","siberian elm","9","h (hpwra)"
"urticaceae","pilea cadierei","aluminum plant","-5","l"
"urticaceae","pilea microphylla","rockweed","6","evaluate"
"urticaceae","pilea nummulariifolia","creeping charlie","0","l"
"verbenaceae","callicarpa japonica","japanese beautyberry","5","evaluate"
"verbenaceae","citharexylum spinosum","fiddlewood","7","h (hpwra)"
"verbenaceae","clerodendrum buchananii","red clerodendrum","7","h (hpwra)"
"verbenaceae","clerodendrum glabrum","natal glorybower","-1","l"
"verbenaceae","clerodendrum macrostegium","velvetleaf glorybower","8","h (hpwra)"
"verbenaceae","clerodendrum paniculatum","pagoda flower","5","evaluate"
"verbenaceae","clerodendrum quadriloculare","bronze leaved clerodendrum","11","h (hpwra)"
"verbenaceae","duranta erecta","golden dew drop","13","h (hpwra)"
"verbenaceae","gmelina arborea","gmelina","2","l"
"verbenaceae","holmskioldia sanguinea","chinese hatplant","-1","l"
"verbenaceae","holmskioldia tettensis","purple chinese hatplant","-5","l"
"verbenaceae","lantana camara","lantana wildtype","21","h (hawai�i)"
"verbenaceae","lantana montevidensis","trailing lantana","16","h (hpwra)"
"verbenaceae","oxera pulchella","royal vine","-1","l"
"verbenaceae","petrea volubilis","sandpaper vine","-1","l"
"verbenaceae","phyla nodiflora","matchweed","5","h (hpwra)"
"verbenaceae","tectona grandis","teak","-5","l"
"vitaceae","cissus discolor","rex begonia vine","1","evaluate"
"vitaceae","cissus nodosa","javanese treebine","8","h (hpwra)"
"vitaceae","cissus repens","cissus","7","h (hpwra)"
"vitaceae","cissus rotundifolia","venezuelan treebine","9","h (hpwra)"
"vitaceae","tetrastigma pubinerve","tetrastigma","8","h (hpwra)"
"vitaceae","tetrastigma voinierianum","lizard plant","8","h (hpwra)"
"zamiaceae","zamia furfuracea","cardboard plant","-2","l"
"zingiberaceae","alpinia purpurata","red ginger","4","evaluate"
"zingiberaceae","alpinia zerumbet","shell ginger","10","h (hpwra)"
