"table name","table type","rating","# of ratings","historic era","author(s)","download"
"central park","electro-mechanical","4.0","1","1966 gottlieb","robair","NULL"
"challenge2","original","","","2004","tony381","NULL"
"champ","electro-mechanical","6.3","3","1973 bally manufacturing corporation","ash","NULL"
"champion pub the","vpinmame","8.0","1","1998 midway mfg. co. a subsidiary of wms industries inc.","unclereamus destruk tomb scapino","aj"
"charlie's angels","solid state","6.5","2","1978 gottlieb","kingzap","NULL"
"checkpoint","vpinmame","8.0","4","1991 data east usa inc.","destruk (bezeen mod)","aj"
"cheesy","original","","","2003","wrenchien","NULL"
"cheetah","vpinmame","6.5","4","1980 stern electronics inc.","satch & destruk","aj"
"chessmaster the","original","","","2003","andrew mortimer","NULL"
"chicago cubs triple play","vpinmame","7.0","1","1985 gottlieb / premier","destruk","aj"
"chickenshift","non pinball game","3.0","1","2002","bad_crc","NULL"
"chinatown","electro-mechanical","6.7","3","1952 gottlieb","duglis","NULL"
"christmas tree","original","","","2003","dizzidi","NULL"
"chuck-a-luck","vpinmame","","","1978 game plan inc.","destruk tab skalar","aj"
"chupacabra jazz","original","4.0","1","2002","wrenchien","NULL"
"chupacabra samba","original","3.0","1","2002","wrenchien","NULL"
"chupacabra tango","original","","","2003","wrenchien","NULL"
"chupacabra waltz","original","4.0","1","2002","wrenchien","NULL"
"circus (1957)","electro-mechanical","","","1957 bally manufacturing corporation","leon spalding","NULL"
"circus (1973)","electro-mechanical","5.3","3","1973 bally manufacturing corporation","ash","NULL"
"circus (1977)","electro-mechanical","5.8","4","1977 zaccaria (italy)","duglis & eala dubh","NULL"
"circus (1980)","vpinmame","","","1980 gottlieb","luvthatapex & destruk","aj"
"circus world","original","","","2001","steve (pinman)","NULL"
"cirqus voltaire","vpinmame","8.5","14","1997 midway mfg. co. a subsidiary of wms industries inc.","NULL","aj"
"citadel","original","9.0","1","2001","sphere","NULL"
"city slicker","vpinmame","","","1987 bally midway mfg. co.","destruk/tab","aj"
"clasikal pinball","original","","","2002","makin","NULL"
"class of 1812","vpinmame","8.0","2","1991 gottlieb / premier","destruk / luvthatapex","aj"
"classy bowler","electro-mechanical","4.7","3","1956 gottlieb","robair","NULL"
"clear out","original","","","2003","paul e l","NULL"
"cleopatra","solid state","7.0","4","1977 gottlieb","spike","NULL"
"clock tower","original","","","2002","andrew mortimer","NULL"
"clock the","original","4.5","2","2001","spike","NULL"
"close encounters of the third kind","solid state","8.6","10","1978 gottlieb","kurt herman aka scapino","NULL"
"cloverleaf","flipperless","7.0","1","1931 gottlieb","w. degelmann / druadic","pinball nirvana"
"clown (inder)","vpinmame","","","1988 inder of spain","destruk gaston tab","aj"
"clown (zaccaria)","vpinmame","","","1985 zaccaria (italy)","luvthatapex eala dubh sidhe destruk","aj"
"clownpin","original","","","2002","tii","NULL"
"coconuts","historic","","","1932 amusement coin machine manufacturing company","druadic / w. degelmann","irpinball"
"cold shower","original","3.0","1","2002","wrenchien","NULL"
"colossal power","original","","","2002","jeff block","NULL"
"coltinator","original","","","2002","zach hunter & eric helser","NULL"
"combat","electro-mechanical","","","1977 zaccaria (italy)","luvthatapex","NULL"
"comedy central south park pinball","computer game remake","7.0","1","2002","cold1","NULL"
"comet","vpinmame","6.5","4","1985 williams_electronic games inc.","andre","aj"
"commando pinball","original","","","2001","brian smith","NULL"
"compact touring","original","","","2003","martin mortimer (aka anthias)","NULL"
"computer mania","original","","","2001","koi morris","NULL"
"conan","solid state","4.5","2","1983 rowamet (brasil)","dox & maloti","NULL"
"concave ceiling fan","tutorial","","","2003","?","NULL"
"concave","tutorial","","","2003","?","NULL"
"coney island","flipperless","5.7","3","1951 bally manufacturing corporation","haza & snakeeyes","pinball nirvana"
"congo","vpinmame","7.8","10","1995 williams_electronic games inc.","aurian","aj"
"connect4","non pinball game","","","2003 original","proginoskes","NULL"
"contact","flipperless","","","1939 exhibit supply company","w.degelmann / druadic","pinball nirvana"
"contact","vpinmame","","","1978 williams electronics inc.","destruk & kristian","aj"
"contest","electro-mechanical","7.0","1","1958 gottlieb","leon spalding","NULL"
"continental cafe","electro-mechanical","6.0","1","1957 gottlieb","redswal","NULL"
"converse","original","","","2002","wrenchien","NULL"
"cool shower","original","4.0","1","2002","wrenchien","NULL"
"coquette","electro-mechanical","7.5","2","1962 williams electronic manufacturing co.","robair","NULL"
"coronation","electro-mechanical","","","1952 gottlieb","furio","NULL"
"corral","electro-mechanical","6.0","2","1961 gottlieb","robair","NULL"
"corsario","vpinmame","","","1989 inder of spain","destruk gaston tab","aj"
"corvette","vpinmame","7.9","9","1994 midway mfg. co. a subsidiary of wms industries inc.","destruk","aj"
"cosmic gunfight","vpinmame","6.2","5","1982 williams electronics inc.","apocalypse","aj"
"cosmic pinball bowling skeeball","original","","","2003","tii","NULL"
"cosmic princess","solid state","","","1979 stern electronics inc.","eala dubh sidhe destruk inkochnito","NULL"
"cosmic princess","vpinmame","6.3","3","1979 stern electronics inc.","eala dubh sidhe destruk inkochnito","aj"
"cosmic","solid state","","","1980 taito do brasil","dox & maloti","NULL"
"cosmic","vpinmame","","","1980 taito do brasil","dox maloti destruk","aj"
"cosmik debris","original","","","2003","will power (w.jacobs)","NULL"
"count-down","solid state","8.8","5","1979 gottlieb","kurt herman aka scapino","NULL"
"counterforce","vpinmame","7.5","2","1980 gottlieb","luvthatapex & moonchild (grafix)","aj"
"country carnival","original","6.0","1","2003","terry briggs and tiltjlp","NULL"
"cover girl","electro-mechanical","5.3","3","1962 gottlieb","leon spalding","NULL"
"cow poke","electro-mechanical","","","1965 gottlieb","robair","NULL"
"crabbin'","original","","","2002","wrenchien","NULL"
"creature from the black lagoon","vpinmame","8.5","13","1992 midway mfg. co. a subsidiary of wms industries inc.","bluetex & destruk","aj"
"crescendo","electro-mechanical","6.5","2","1970 gottlieb","jay phillips","NULL"
"criss cross","electro-mechanical","6.0","1","1958 gottlieb","robair","NULL"
"criterium 75","electro-mechanical","7.0","1","1975 recel-petaco","eala dubh sidhe","NULL"
"criterium 80","electro-mechanical","6.3","3","1975 recel-petaco","eala dubh sidhe","NULL"
"criterium","electro-mechanical","7.0","1","1976 taito do brasil","dox & maloti","NULL"
"cross town","electro-mechanical","7.0","2","1966 gottlieb","robair","NULL"
"crossroads","electro-mechanical","","","1952 gottlieb","furio","NULL"
"crossword","electro-mechanical","6.0","1","1959 williams electronic manufacturing co.","redswal","NULL"
"crusader","original","9.0","2","2002","destruk","NULL"
"crystal miner","original","","","2003","dizzydi","NULL"
"cue ball wizard","vpinmame","7.8","4","1992 gottlieb / premier","mikepin74","aj"
"cybernaut","vpinmame","9.0","1","1985 bally midway mfg. co.","vpm extreme","aj"
"cyborgirl 2","computer game remake","","","1994 epic megagames","arumco (steampump)","NULL"
"cyclone","solid state","","","1988 williams_electronic games inc.","mikepin74","NULL"
"cyclone","vpinmame","7.8","9","1988 williams_electronic games inc.","sweetser aj destruk cat-mando","aj"
"cyclopes","solid state","","","1985 game plan inc.","eala dubh sidhe & destruk","NULL"
"cyclopes","vpinmame","6.0","1","1985 game plan inc.","eala dubh sidhe & destruk","aj"
"dabba don","original","5.0","1","2002","wrenchien","NULL"
"daff o dill","original","","","2002","wrenchien","NULL"
"daffie","electro-mechanical","7.5","4","1968 williams electronics inc.","gottlieb (jay phillips)","NULL"
"daffy derby","electro-mechanical","7.8","4","1954 williams  manufacturing company","jay phillips","NULL"
"daisy","flipperless","7.0","1","1932 peo mfg.","w. degelmann / aka druadic","pinball nirvana"
"dakar","vpinmame","","","1988 mr. game","destruk tab tomb","aj"
"dance dance revolution","non pinball game","","","2002","taren","NULL"
"dancing dolls","electro-mechanical","","","1960 gottlieb","leon spalding (leo wanker)","NULL"
"dancing lady","electro-mechanical","","","1966 gottlieb","patrick","NULL"
"daredevil","original","3.0","1","2003","bob5453","NULL"
"darius","original","7.0","3","2003","dave sanders","NULL"
"dark rider","vpinmame","","","1985 komplett flipper (germany)","tab/destruk","aj"
"dark side of the moon","original","","","2001","sphere","NULL"
"dark","original","","","2002","tii","NULL"
"darling","electro-mechanical","","","1973 williams electronics inc.","patrick","NULL"
"day of the giants","original","","","2003","anthias","NULL"
"dead planet","original","","","2003","tii","NULL"
"deader","original","","","2003","wrenchien","NULL"
"deadly weapon","vpinmame","2.0","1","1990 gottlieb / premier","kingzap and joep","aj"
"dead","original","5.0","1","2002","wrenchien","NULL"
"dealer","electro-mechanical","7.0","1","1953 williams  manufacturing company","robair","NULL"
"dealers choice","electro-mechanical","6.0","1","1974 williams electronics inc.","leon spalding (leo wanker)","NULL"
"deep blue sea","original","5.5","2","2001","wayne phillips","NULL"
"deep funk","original","","","2003","wrenchien","NULL"
"deep sea treasure slots","original","8.0","1","2002","aussie34","NULL"
"defender","vpinmame","6.7","3","1982 williams electronics inc.","gaston","aj"
"delta queen","electro-mechanical","4.5","2","1973 bally manufacturing corporation","ash","NULL"
"demolition man","vpinmame","8.1","8","1994 williams_electronic games inc.","jamin","aj"
"demon sumo","original","3.0","1","2002","wrenchien","NULL"
"demons and wizards","original","","","2001","sphere","NULL"
"derby day","electro-mechanical","","","1956 gottlieb","robair","NULL"
"desktoy","non pinball game","","","2003","?","NULL"
"deuce is wild the","flipperless","5.3","3","1931 peo manufacturing","druadic","pinball nirvana"
"devil riders","vpinmame","","","1984 zaccaria (italy)","luvthatapex & destruk","aj"
"devil's dare","vpinmame","5.0","3","1982 gottlieb","patatrox","aj"
"diamond jack","electro-mechanical","7.0","4","1967 gottlieb","leon spalding","NULL"
"diamond lady","vpinmame","7.5","2","1988 gottlieb / premier","tab & destruk","aj"
"dimension","electro-mechanical","6.0","2","1971 gottlieb","furio","NULL"
"diner","vpinmame","8.4","7","1990 williams_electronic games inc.","joep","aj"
"ding dong","electro-mechanical","5.5","2","1968 williams electronics inc.","robair","NULL"
"dinosaur eggs","vpinmame","","","1993 alvin g & company","destruk/tab","aj"
"dirty harry","vpinmame","7.9","10","1995 williams_electronic games inc.","aurian","aj"
"disasteroids 3d","original","","","2002","thom wetzel","NULL"
"disco fever","solid state","","","1978 williams electronics inc.","?","NULL"
"disco fever","vpinmame","7.0","1","1978 williams electronics inc.","","aj"
"disco","electro-mechanical","5.0","2","1977 stern electronics inc.","wrenchien","NULL"
"discotek","electro-mechanical","","","1965 bally manufacturing corporation","okkioi (oscar)","NULL"
"dixieland","electro-mechanical","7.0","1","1967 bally manufacturing corporation","luvthatapex","NULL"
"dj erik","original","","","2002","?","NULL"
"dmd editor small","tutorial","","","2002","-","NULL"
"dmddemo","tutorial","","","2003","?","NULL"
"doctor who","vpinmame","8.1","11","1992 midway mfg. co. a subsidiary of wms industries inc.","kid charlemagne","aj"
"dodge city","electro-mechanical","4.5","2","1965 gottlieb","robair","NULL"
"dolly parton","solid state","","","1979 bally manufacturing corporation","jompa","NULL"
"dolly parton","vpinmame","4.5","2","1979 bally manufacturing corporation","cutter","aj"
"domino","electro-mechanical","5.0","1","1968 gottlieb","jay phillips","NULL"
"donkey kong country","original","","","2002","zebo62","NULL"
"donkey kong","original","6.5","4","2001","rhys","NULL"
"don't hurt me","original","","","2002","toni","NULL"
"don't lose your marbles","original","6.0","2","2002","sheltiemom & tiltjlp","NULL"
"doodle bug","electro-mechanical","","","1971 williams electronics inc.","bendigo","NULL"
"doom 1","original","","","2001","lars t. boye","NULL"
"doom 2","original","8.7","3","2001","lars t. boye","NULL"
"door into summer the","original","7.0","1","2003","anthias (aka martin motimer)","NULL"
"doozie","electro-mechanical","5.5","2","1968 williams electronics inc.","leon spalding (leo wanker)","NULL"
"dord","original","","","2002","makin","NULL"
"dos mambas","original","","","2002","wrenchien","NULL"
"double poosh m up","flipperless","7.0","1","193? northwestern","nissananimal & tiltjlp","pinball nirvana"
"double trouble","original","5.0","1","2002","wrenchien","NULL"
"double vision","original","6.0","1","2002","jeff block","NULL"
"down under","original","","","2003","wrenchien","NULL"
"dr rollovers laboratory","original","5.0","1","2002","martin","NULL"
"dr. dude","vpinmame","8.3","4","1990 midway mfg. co. a subsidiary of wms industries inc.","mungo j & aurian","aj"
"dracula","vpinmame","6.0","1","1979 stern electronics inc.","brian smith","aj"
"dragon (interflip) (1977)","electro-mechanical","","","1977 interflip s. a. (germany)","steveir leon hugh duglis","NULL"
"dragon ball pinball","original","","","2001","?","NULL"
"dragon ball z pinball","original","","","2002","david lora","NULL"
"dragon ball z","original","","","2002","angeleyeuk + vpforum crew","NULL"
"dragon blood 2","original","6.0","1","2003","martin mortimer","NULL"
"dragon magic","original","10.0","1","2001","eala dubh sidhe","NULL"
"dragonette","electro-mechanical","7.0","3","1954 gottlieb","leon spalding","NULL"
"dragonfist","vpinmame","6.0","2","1982 stern electronics inc.","luvthatapex destruk","aj"
"dragon's castle","original","8.0","2","2001","shep","NULL"
"dragon","solid state","6.8","4","1978 gottlieb","luvthatapex","NULL"
"drakor","solid state","","","1979 taito do brasil","dox","NULL"
"drakor","vpinmame","","","1979 taito do brasil","dorival demasi destruk","aj"
"droopy","original","","","2003","rockinghorse","NULL"
"drop a card","electro-mechanical","6.0","4","1971 gottlieb","jonathan bovard (jonpurplehaze)","NULL"
"drums","original","","","2003","tii","NULL"
"drunken master","original","","","2002","hans a plast","NULL"
"dune2","original","9.0","1","2004","erwin","NULL"
"dune","original","","","2003","erwin","NULL"
"dungeon master","original","8.7","3","2002","dan lasala","NULL"
"dungeons & dragons","solid state","","","1987 bally midway mfg. co.","?","NULL"
"dungeons & dragons","vpinmame","7.3","3","1987 bally midway mfg. co.","?","aj"
"dust bunnies","original","","","2002","?","NULL"
"e.t.","original","","","2002","ripleyyy and joe entropy","NULL"
"eager beaver","electro-mechanical","5.3","3","1965 williams electronic manufacturing co.","duglis","NULL"
"earth wind fire","vpinmame","7.0","1","1981 zaccaria (italy)","luvthatapex destruk tab","aj"
"earthball","original","","","2004","wrenchien","NULL"
"earthbumper","original","","","2002","tii","NULL"
"earthquake!","original","","","2003","andy h","NULL"
"earthshaker","vpinmame","7.2","5","1989 williams_electronic games inc.","andre","aj"
"easy aces","electro-mechanical","5.0","1","1955 gottlieb","robair","NULL"
"eclipse","vpinmame","5.0","2","1982 gottlieb","destruk luvthatapex inkochnito","aj"
"efnballs","original","","","2003","del","NULL"
"egg head","electro-mechanical","6.0","3","1961 gottlieb","desangel and gottlieb","NULL"
"egypt","original","","","2002","tii","NULL"
"eight ball champ","solid state","","","1985 bally midway mfg. co.","kurt herman aka scapino","NULL"
"eight ball champ","vpinmame","6.4","5","1985 bally midway mfg. co.","kurt herman aka scapino","aj"
"eight ball deluxe limited edition","vpinmame","","","1982 bally manufacturing corporation","johnnyhk joes entropy destruk guittar","aj"
"eight ball deluxe","solid state","","","1980 bally manufacturing corporation","johnnyhk","NULL"
"eight ball deluxe","vpinmame","8.3","9","1980 bally manufacturing corporation","johnnyhk","aj"
"eight ball pool","solid state","7.5","2","1977 bally manufacturing corporation","gerson agena","NULL"
"eight ball","solid state","","","1977 bally manufacturing corporation","gaston & eala dubh","NULL"
"eight ball","vpinmame","6.5","6","1977 bally manufacturing corporation","NULL","aj"
"el dorado (original)","original","","","2002","terry briggs","NULL"
"el dorado city of gold","vpinmame","","","1984 gottlieb / premier","juaney patch destruk","aj"
"el dorado","electro-mechanical","5.5","2","1975 gottlieb","juaney & patch","NULL"
"el toro","electro-mechanical","3.5","2","1970 bally manufacturing corporation","ash","NULL"
"electric cyclone","flipperless","5.0","1","1930 schneider inc.","druadic","pinball nirvana"
"electric","original","5.0","1","2002","andrew mortimer","NULL"
"elektra","vpinmame","7.7","6","1981 bally manufacturing corporation","patatrox","aj"
"elements - earth (sanaoi) (test version 2)","original","","","2003","sanaoi","NULL"
"elements - earth","original","","","2003","sanaoi","NULL"
"elements - water","original","","","2003","sanoi","NULL"
"elephantile","original","","","2004","wrenchien","NULL"
"elephantime","original","","","2002","wrenchien","NULL"
"elephantine","original","4.0","1","2002","wrenchien","NULL"
"elvira and the party monsters","vpinmame","9.0","2","1989 midway mfg. co. a subsidiary of wms industries inc.","neurokinetik/boris","aj"
"elvis presley","original","","","2001","pinman","NULL"
"embryon","solid state","","","1980 bally manufacturing corporation","gerhard & crew","NULL"
"embryon","vpinmame","7.4","5","1980 bally manufacturing corporation","gaston","aj"
"emerald altar","original","9.0","2","2001","sphere","NULL"
"empire strikes back the","solid state","8.0","1","1980 a. hankin & co.","NULL","NULL"
"empire strikes back the","vpinmame","","","1980 a. hankin & co.","aussie34 & destruk","aj"
"emu christ the pinball","original","","","2001","paratech","NULL"
"encore","original","5.0","1","2002","sphere","NULL"
"enterprise (evil elder)","original","","","2002","evil elder","NULL"
"enterprise","original","","","2003","tii","NULL"
"eros one","solid state","8.0","1","1979 fascination inc.","gottlieb and apocalypse","NULL"
"escape from new york","original","","","2001","mikepin74","NULL"
"escape from the lost world","vpinmame","","","1987 bally midway mfg. co.","destruk","aj"
"escape","solid state","","","1987 jac van ham/royal","gerhard s","NULL"
"escher waterfall","original","","","2002","bill hughes","NULL"
"esepinball zero","original","","","2003","wrenchien","NULL"
"esepinball","original","4.0","1","2002","wrenchien","NULL"
"essais2","original","","","2004","armuco (steampump)","NULL"
"evd","original","","","2002","eelco van djik","NULL"
"evel knievel","solid state","","","1976 bally manufacturing corporation","ripleyyy and joe entropy","NULL"
"evel knievel","vpinmame","10.0","1","1976 bally manufacturing corporation","kurt herman aka scapino","aj"
"evolution","original","","","2003","wrenchien","NULL"
"excalibur","computer game remake","","","1995 epic megagames","warrior","NULL"
"excalibur","vpinmame","8.5","4","1988 gottlieb / premier","destruk","aj"
"expressway","electro-mechanical","3.0","2","1970 bally manufacturing corporation","wrenchien","NULL"
"extra inning","electro-mechanical","8.0","2","1962 williams electronic manufacturing co.","marc sagovac","NULL"
"eye of the tiger","electro-mechanical","6.5","2","1978 gottlieb","satch head djinn and joe entropy","NULL"
"eyeliens","original","5.0","1","2002","tii","NULL"
"f1 grand prix","solid state","","","1987 nuova bell games (italy)","eala dubh sidhe","NULL"
"f-14 tomcat 2: revenge of yagov","original","","","2003","pinwizkid","NULL"
"f-14 tomcat","vpinmame","8.1","8","1987 williams_electronic games inc.","zaphod/nico","aj"
"faces of zaxxon","original","6.0","1","2003","tii","NULL"
"falstaff","electro-mechanical","5.5","2","1957 gottlieb","duglis","NULL"
"family fun","vpinmame","2.5","2","1979 game plan inc.","destruk skalar","aj"
"fancy and free","original","","","2003","wrenchien","NULL"
"fantastic four","original","6.0","1","2002","roberto hernandez","NULL"
"fan-tas-tic","electro-mechanical","","","1972 williams electronics inc.","rolf verhaaf","NULL"
"fantasy city","original","9.0","1","2002","sphere","NULL"
"far out","electro-mechanical","","","1974 gottlieb","patrick (liberty)","NULL"
"farfalla","solid state","","","1983 zaccaria (italy)","erwin","NULL"
"farfalla","vpinmame","","","1983 zaccaria (italy)","erwin & spalmer","aj"
"fartman","original","","","2003","tii","NULL"
"fathom","solid state","","","1980 bally manufacturing corporation","nico","NULL"
"fathom","vpinmame","8.3","3","1980 bally manufacturing corporation","nico","aj"
"faye valentine","original","","","2003","anthias (martin mortimer)","NULL"
"fever the king dx","non pinball game","","","2003 sankyo","patrick (liberty)","NULL"
"fiery 30's the","electro-mechanical","9.0","1","1974 recel-petaco","eala dubh sidhe","NULL"
"fiery","original","","","2004","wrenchien","NULL"
"fiesta","electro-mechanical","","","1959 williams electronic manufacturing co.","marc bouchard","NULL"
"fight night","original","8.8","13","2002","chris la mantia","NULL"
"finagle 5000","original","","","2003","-bj-","NULL"
"final fantasy 1","original","","","2001","imperical","NULL"
"final fantasy 7","original","","","2002","angeleyeuk & chris smout","NULL"
"fire action deluxe","vpinmame","","","1983 taito do brasil","cutter & destruk","aj"
"fire action","solid state","","","1980 taito do brasil","dox & maloti","NULL"
"fire action","vpinmame","","","1980 taito do brasil","dox maloti destruk","aj"
"fire mountain","vpinmame","6.5","2","1980 zaccaria (italy)","luvthatapex & destruk","aj"
"fire rescue","original","","","2001","pinman","NULL"
"fire!","vpinmame","7.0","5","1987 williams_electronic games inc.","destruk & luvthatapex","aj"
"fireball classic","vpinmame","4.0","4","1985 bally midway mfg. co.","destruk & apocalypse","aj"
"fireball ii","vpinmame","7.5","2","1981 bally manufacturing corporation","destruk & satch","aj"
"fireball","electro-mechanical","8.5","4","1971 bally manufacturing corporation","(unofficial) modified by anonymous","NULL"
"firebirds","original","7.0","2","2002","lander","NULL"
"firecracker","electro-mechanical","","","1970 bally manufacturing corporation","wrenchien","NULL"
"firepower 3","original","7.0","1","2004","pinwizkid","NULL"
"firepower ii","vpinmame","7.0","3","1983 williams electronics inc.","cutter","aj"
"firepower","vpinmame","8.7","7","1980 williams electronics inc.","cutter","aj"
"firgamica","original","","","2002","wrenchien","NULL"
"fish frenzy","original","6.0","1","2001","rocket & black","NULL"
"fish tales","vpinmame","8.6","19","1992 williams_electronic games inc.","pe#668/rev063/aj","aj"
"fishing","original","","","2003","dizzidi","NULL"
"five iron","original","4.0","1","2002","wrenchien","NULL"
"five star final","flipperless","6.3","3","1932 gottlieb","druadic","pinball nirvana"
"fj holden","vpinmame","5.0","1","1978 a. hankin & co.","aussie34","aj"
"flash gordon","solid state","","","1980 bally manufacturing corporation","gerhard & crew","NULL"
"flash gordon","vpinmame","9.0","4","1980 bally manufacturing corporation","nicky special & gaston","aj"
"flash","solid state","","","1979 williams electronics inc.","stein","NULL"
"flash","vpinmame","7.5","2","1979 williams electronics inc.","stein","aj"
"flicker (em)","electro-mechanical","","","1974 bally manufacturing corporation","ash","NULL"
"flicker (ss)","vpinmame","","","1974 bally manufacturing corporation","ash","aj"
"flight 2000","vpinmame","6.0","3","1980 stern electronics inc.","gerhard & germax","aj"
"flintstones","vpinmame","7.7","10","1994 williams_electronic games inc.","aurian/aj","aj"
"flip a card","electro-mechanical","4.5","2","1970 gottlieb","robair","NULL"
"flip flop","electro-mechanical","5.0","2","1974 bally manufacturing corporation","ash","NULL"
"flip/flop","original","6.0","1","2001","nashua and wayne","NULL"
"flipper clown","electro-mechanical","6.5","2","1962 gottlieb","duglis","NULL"
"flipper cowboy","electro-mechanical","","","1962 gottlieb","duglis","NULL"
"flipper fair deluxe","electro-mechanical","","","1961 gottlieb","robair  furio","NULL"
"flipper fair","electro-mechanical","6.3","3","1961 gottlieb","robair","NULL"
"flipper football","vpinmame","2.0","1","1996 capcom coin-op inc.","joep","aj"
"flipper parade","electro-mechanical","5.0","2","1961 gottlieb","duglis","NULL"
"flipper pool","electro-mechanical","8.0","1","1965 gottlieb","leon and duglis","NULL"
"flipper","electro-mechanical","5.8","4","1960 gottlieb","jay phillips","NULL"
"flipperless fantasy","original","10.0","1","2002","will power (w.jacobs)","NULL"
"flipperless frogger","original","9.0","1","2003","martin mortimer","NULL"
"flipperless insane","original","","","2003","anthias","NULL"
"flipperless pro golf","original","6.0","1","2003","andy","NULL"
"flipperless pro","original","","","2003","andy","NULL"
"flipperless revenge","original","10.0","1","2003","will power","NULL"
"flipperless typing tutor","original","5.0","1","2003","bob5453","NULL"
"floors","original","","","2003","paul e l","NULL"
"flophouse pinball","original","","","2001","kinsey hines","NULL"
"flumper encounter the","original","","","2003","tii","NULL"
"flying carpet","electro-mechanical","7.0","2","1972 gottlieb","robair","NULL"
"flying chariots","electro-mechanical","7.3","3","1963 gottlieb","bendigo","NULL"
"flying circus","electro-mechanical","6.5","2","1961 gottlieb","hugh janus & duglis","NULL"
"flying high","electro-mechanical","7.0","1","1953 gottlieb","furio","NULL"
"flying saucers","electro-mechanical","","","1950 genco mfg. co.","redswal","NULL"
"flying v","original","","","2002","martin mortimer","NULL"
"flyonoid","original","","","2004","tii","NULL"
"follies of 1940","flipperless","","","1939 genco mfg. co.","redswal","pinball nirvana"
"forbidden planet","original","","","2003","tii","NULL"
"force ii","vpinmame","7.0","1","1981 gottlieb","destruk","aj"
"force majeure","original","10.0","1","2001","sphere","NULL"
"formula 1","original","8.2","5","2002","erwin","NULL"
"formula 2099","original","","","2001","marcos r. hedges","NULL"
"forum follies","original","","","2004","panda55","NULL"
"four million bc","electro-mechanical","7.0","3","1970 bally manufacturing corporation","leon & duglis","NULL"
"four stars","electro-mechanical","8.0","1","1952 gottlieb","furio","NULL"
"fox park","original","","","2002","johnson earls","NULL"
"foxy lady","vpinmame","","","1978 game plan inc.","destruk & skalar","aj"
"fractured 3","original","","","2002","?","NULL"
"frankenstein (original)","original","","","2001","paul ciulla","NULL"
"freddy a nightmare on elm street","vpinmame","7.0","1","1994 gottlieb / premier","?","aj"
"freedom eastern","electro-mechanical","4.0","1","1975 bally manufacturing corporation","cold1","NULL"
"freedom western","electro-mechanical","","","1975 bally manufacturing corporation","cold1","NULL"
"freedom western","vpinmame","","","1975 bally manufacturing corporation","cold1 destruk tab","aj"
"freedom","electro-mechanical","7.0","1","1975 bally manufacturing corporation","cold1","NULL"
"freefall","vpinmame","6.0","2","1981 stern electronics inc.","tab destruk luvthatapex","aj"
"freerunningdemo","original","","","2004","?","NULL"
"friendship 7","electro-mechanical","","","1962 williams electronic manufacturing co.","robair","NULL"
"frog mouth","original","6.0","1","2002","wrenchien","NULL"
"frog pond","original","","","2003","dizzidi","NULL"
"frontiersman","electro-mechanical","6.5","2","1955 gottlieb","robair","NULL"
"frontier","solid state","6.0","1","1980 bally manufacturing corporation","joe entropy & ripleyyy","NULL"
"frontier","vpinmame","7.0","1","1980 bally manufacturing corporation","joe entropy & ripleyyy","aj"
"frosty the snowman","original","","","2001","rhyswynne","NULL"
"fruit frenzy slots!","original","","","2003","douglas r.","NULL"
"fun cruise","electro-mechanical","5.5","2","1965 bally manufacturing corporation","druadic","NULL"
"fun land","electro-mechanical","","","1968 gottlieb","marc bouchard","NULL"
"fun of the fair","original","5.0","1","2002","rockinghorse","NULL"
"fun park","electro-mechanical","6.0","1","1968 gottlieb","duglis","NULL"
"fun-fair","electro-mechanical","","","1958 genco mfg. co.","eala dubh","NULL"
"funhouse","vpinmame","8.7","15","1990 williams_electronic games inc.","aj & anon & xtremediver","aj"
"fusion","original","","","2002","?","NULL"
"futurama","original","","","2001","sniperviperstyle","NULL"
"future spa","solid state","8.0","1","1979 bally manufacturing corporation","eala dubh sidhe","NULL"
"future spa","vpinmame","8.5","4","1979 bally manufacturing corporation","kurt herman aka scapino","aj"
"future world","vpinmame","","","1978 zaccaria (italy)","luvthatapex destruk","aj"
"galactic lucifer & smokin fidel","original","","","2004","tii","NULL"
"galaga","original","7.0","2","2002","luxor","NULL"
"galaxian 2","original","7.0","2","2001","jay phillips","NULL"
"galaxian","original","7.5","2","2001","ripleyyy","NULL"
"galaxy at war","original","6.0","2","2001","fuzzy logic","NULL"
"galaxy ball","original","","","2003","andy","NULL"
"galaxy","solid state","","","1980 stern electronics inc.","gerhard & crew","NULL"
"galaxy","vpinmame","4.0","1","1980 stern electronics inc.","germax & krellan","aj"
"gamatron","vpinmame","","","1985 pinstar","tab / destruk","aj"
"game show","vpinmame","8.2","12","1990 midway mfg. co. a subsidiary of wms industries inc.","cutter","aj"
"garfield & friends","original","8.3","4","2002","pinman","NULL"
"garmental","original","","","2003","wrenchien","NULL"
"gateway","flipperless","","","1935 exhibit supply co.","will degelmann / druadic","pinball nirvana"
"gator eyes at bear creek","original","","","2002","makin","NULL"
"gaucho","electro-mechanical","","","1963 gottlieb","patrick (liberty) (akite3d)","NULL"
"gayety","electro-mechanical","6.7","3","1955 bally manufacturing corporation","redswal","NULL"
"gem hunt","original","7.3","3","2002","kinsey","NULL"
"gemini 2000","solid state","","","1982 taito do brazil","dox & maloti","NULL"
"gemini 2000","vpinmame","","","1982 taito do brazil","dox maloti destruk","aj"
"genco's 400","electro-mechanical","6.5","2","1952 genco manufacturing company","druadic","NULL"
"generic girl spanish edition","original","","","2003","wrenchien","NULL"
