"collegesort","citysort","representativesort","statesort","district","zip codesort"
"baptist college of florida (the)","graceville","allen boyd","fl","2","32440"
"florida agricultural & mechanical university","tallahassee","allen boyd","fl","2","32307"
"gooding institute of nurse anesthesia bay medical center","panama city","allen boyd","fl","2","32401"
"florida state university","tallahassee","allen boyd","fl","2","32306"
"chipola college","marianna","allen boyd","fl","2","32446"
"gulf coast community college","panama city","allen boyd","fl","2","32401"
"tallahassee community college","tallahassee","allen boyd","fl","2","32304"
"jones college","jacksonville","corrine brown","fl","3","32211"
"saint johns river community college","palatka","corrine brown","fl","3","32177"
"florida college of integrative medicine","orlando","corrine brown","fl","3","32809"
"edward waters college","jacksonville","corrine brown","fl","3","32209"
"jacksonville university","jacksonville","corrine brown","fl","3","32211"
"florida community college at jacksonville","jacksonville","corrine brown","fl","3","32202"
"university of north florida","jacksonville","ander crenshaw","fl","4","32224"
"lake city community college","lake city","ander crenshaw","fl","4","32025"
"florida coastal school of law","jacksonville","ander crenshaw","fl","4","32216"
"north florida community college","madison","ander crenshaw","fl","4","32340"
"florida technical college of jacksonville","jacksonville","ander crenshaw","fl","4","32211"
"pasco - hernando community college","dade city","ginny brown-waite","fl","5","34654"
"saint leo university","saint leo","ginny brown-waite","fl","5","33574"
"lake sumter community college","leesburg","ginny brown-waite","fl","5","34788"
"central florida community college","ocala","cliff stearns","fl","6","34474"
"trinity baptist college","jacksonville","cliff stearns","fl","6","32221"
"beacon college","leesburg","cliff stearns","fl","6","34748"
"university of florida","gainesville","cliff stearns","fl","6","32611"
"north florida institute","orange park","cliff stearns","fl","6","32073"
"webster college","ocala","cliff stearns","fl","6","34474"
"santa fe community college","gainesville","cliff stearns","fl","6","32606"
"seminole community college","sanford","john l. mica","fl","7","32773"
"embry-riddle aeronautical university","daytona beach","john l. mica","fl","7","32114"
"flagler college","saint augustine","john l. mica","fl","7","32085"
"stetson university","deland","john l. mica","fl","7","32723"
"bethune cookman college","daytona beach","john l. mica","fl","7","32114"
"city college","casselberry","john l. mica","fl","7","32707"
"daytona beach community college","daytona beach","john l. mica","fl","7","32114"
"valencia community college","orlando","ric keller","fl","8","32802"
"florida metropolitan university","orlando","ric keller","fl","8","32810"
"rollins college","winter park","ric keller","fl","8","32789"
"florida technical college","orlando","ric keller","fl","8","32826"
"florida hospital college of health sciences","orlando","ric keller","fl","8","32803"
"central florida  college","winter park","ric keller","fl","8","32789"
"audio recording technology institute","orlando","ric keller","fl","8","32811"
"edutech centers","clearwater","michael bilirakis","fl","9","33764"
"university of south florida","tampa","michael bilirakis","fl","9","33620"
"central florida institute","palm harbor","michael bilirakis","fl","9","34684"
"florida metropolitan university","clearwater","michael bilirakis","fl","9","33759"
"trinity college of florida","new port richey","michael bilirakis","fl","9","34655"
"clearwater christian college","clearwater","michael bilirakis","fl","9","33759"
"schiller international university","dunedin","c. w. bill young","fl","10","34698"
"saint petersburg theological seminary","saint petersburg","c. w. bill young","fl","10","33708"
"national aviation academy of mississippi","clearwater","c. w. bill young","fl","10","33760"
"eckerd college","saint petersburg","c. w. bill young","fl","10","33711"
"itt technical institute","tampa","jim davis","fl","11","33634"
"remington college - tampa campus","tampa","jim davis","fl","11","33612"
"st. petersburg college","pinellas park","jim davis","fl","11","33733"
"webster college","tampa","jim davis","fl","11","33619"
"university of tampa","tampa","jim davis","fl","11","33606"
"international academy of design and technology","tampa","jim davis","fl","11","33634"
"florida metropolitan university","tampa","jim davis","fl","11","33614"
"hillsborough community college","tampa","jim davis","fl","11","33606"
"webber international university","babson park","adam h. putnam","fl","12","33827"
"florida college","temple terrace","adam h. putnam","fl","12","33617"
"polk community college","winter haven","adam h. putnam","fl","12","33881"
"florida southern college","lakeland","adam h. putnam","fl","12","33801"
"warner southern college","lake wales","adam h. putnam","fl","12","33853"
"southeastern college of the assemblies of god","lakeland","adam h. putnam","fl","12","33801"
"manatee community college","bradenton","katherine harris","fl","13","34207"
"east west college of natural medicine","sarasota","katherine harris","fl","13","34234"
"ringling school of art & design","sarasota","katherine harris","fl","13","34234"
"southwest florida college","fort myers","connie mack","fl","14","33907"
"florida gulf coast university","fort myers","connie mack","fl","14","33965"
"edison community college","fort myers","connie mack","fl","14","33919"
"international college","naples","connie mack","fl","14","34119"
"keiser career college","west palm beach","dave weldon","fl","15","33411"
"florida institute of technology","melbourne","dave weldon","fl","15","32901"
"florida christian college","kissimmee","dave weldon","fl","15","34744"
"south florida community college","avon park","mark foley","fl","16","33825"
"hobe sound bible college","hobe sound","mark foley","fl","16","33455"
"barry university","miami shores","kendrick b. meek","fl","17","33161"
"ati health education center","miami","kendrick b. meek","fl","17","33169"
"florida memorial college","miami","kendrick b. meek","fl","17","33054"
"national school of technology","miami","kendrick b. meek","fl","17","33169"
"saint thomas university","miami","kendrick b. meek","fl","17","33054"
"yeshiva gedolah rabbinical college","miami beach","ileana ros-lehtinen","fl","18","33139"
"florida keys community college","key west","ileana ros-lehtinen","fl","18","33040"
"miami international university of art & design","miami","ileana ros-lehtinen","fl","18","33132"
"st. john vianney college seminary","miami","ileana ros-lehtinen","fl","18","33165"
"miami-dade college","miami","ileana ros-lehtinen","fl","18","33132"
"regional seminary of saint vincent de paul in florida","boynton beach","robert wexler","fl","19","33436"
"university of miami","coral gables","robert wexler","fl","19","33146"
"lynn university","boca raton","robert wexler","fl","19","33431"
"florida college of natural health","pompano beach","robert wexler","fl","19","33064"
"florida atlantic university","boca raton","robert wexler","fl","19","33431"
"broward community college","fort lauderdale","debbie wasserman schultz","fl","20","33301"
"talmudic college of florida","miami beach","debbie wasserman schultz","fl","20","33139"
"nova southeastern university","fort lauderdale","debbie wasserman schultz","fl","20","33314"
"academy for five element acupuncture","hallandale","debbie wasserman schultz","fl","20","33009"
"florida career college","miami","lincoln diaz-balart","fl","21","33174"
"florida national college","hialeah","lincoln diaz-balart","fl","21","33012"
"florida international university","miami","lincoln diaz-balart","fl","21","33199"
"atlantic institute of oriental medicine","fort lauderdale","e. clay shaw jr.","fl","22","33301"
"palm beach atlantic university","west palm beach","e. clay shaw jr.","fl","22","33401"
"florida metropolitan university","pompano beach","e. clay shaw jr.","fl","22","33062"
"art institute of fort lauderdale (the)","fort lauderdale","e. clay shaw jr.","fl","22","33316"
"palm beach community college","lake worth","e. clay shaw jr.","fl","22","33461"
"indian river community college","fort pierce","alcee l. hastings","fl","23","34981"
"city college","fort lauderdale","alcee l. hastings","fl","23","33309"
"everglades university","boca raton","alcee l. hastings","fl","23","33431"
"keiser college","fort lauderdale","alcee l. hastings","fl","23","33309"
"new england institute of technology at palm beach","west palm beach","alcee l. hastings","fl","23","33407"
"university of central florida","orlando","tom feeney","fl","24","32816"
"full sail real world education","winter park","tom feeney","fl","24","32792"
"brevard community college","cocoa","tom feeney","fl","24","32922"
"itt technical institute","lake mary","tom feeney","fl","24","32746"
"national school of technology","miami","mario diaz-balart","fl","25","33186"
"college of business & technology","miami","mario diaz-balart","fl","25","33176"
"east central technical college","fitzgerald","jack kingston","ga","1","31750"
"south georgia college","douglas","jack kingston","ga","1","31533"
"okefenokee technical college","waycross","jack kingston","ga","1","31501"
"valdosta state university","valdosta","jack kingston","ga","1","31698"
"coastal georgia community college","brunswick","jack kingston","ga","1","31520"
"armstrong atlantic state university","savannah","jack kingston","ga","1","31419"
"altamaha technical college","jesup","jack kingston","ga","1","31545"
"waycross college","waycross","jack kingston","ga","1","31503"
"middle georgia technical college","warner robins","jack kingston","ga","1","31088"
"thomas university","thomasville","sanford d. bishop jr.","ga","2","31792"
"georgia southwestern state university","americus","sanford d. bishop jr.","ga","2","31709"
"albany state university","albany","sanford d. bishop jr.","ga","2","31705"
"bainbridge college","bainbridge","sanford d. bishop jr.","ga","2","39819"
"southwest georgia technical college","thomasville","sanford d. bishop jr.","ga","2","31792"
"south georgia technical college","americus","sanford d. bishop jr.","ga","2","31709"
"albany technical college","albany","sanford d. bishop jr.","ga","2","31701"
"abraham baldwin agricultural college","tifton","sanford d. bishop jr.","ga","2","31793"
"moultrie technical college","moultrie","sanford d. bishop jr.","ga","2","31788"
"darton college","albany","sanford d. bishop jr.","ga","2","31707"
"valdosta technical college","valdosta","sanford d. bishop jr.","ga","2","31603"
"andrew college","cuthbert","sanford d. bishop jr.","ga","2","39840"
"mercer university","macon","jim marshall","ga","3","31207"
"sandersville technical college","sandersville","jim marshall","ga","3","31082"
"fort valley state university","fort valley","jim marshall","ga","3","31030"
"middle georgia college","cochran","jim marshall","ga","3","31014"
"east georgia college","swainsboro","jim marshall","ga","3","30401"
"macon state college","macon","jim marshall","ga","3","31206"
"georgia college & state university","milledgeville","jim marshall","ga","3","31061"
"georgia aviation and technical college","eastman","jim marshall","ga","3","31023"
"southeastern technical college","vidalia","jim marshall","ga","3","30474"
"swainsboro technical college (formerly swainsboro technical","swainsboro","jim marshall","ga","3","30401"
"central georgia technical college","macon","jim marshall","ga","3","31206"
"georgia military college","milledgeville","jim marshall","ga","3","31061"
"heart of georgia technical college","dublin","jim marshall","ga","3","31021"
"brewton parker college","mount vernon","jim marshall","ga","3","30445"
"interactive college of technology","chamblee","cynthia mckinney","ga","4","30341"
"luther rice seminary","lithonia","cynthia mckinney","ga","4","30038"
"columbia theological seminary","decatur","cynthia mckinney","ga","4","30031"
"emory university","atlanta","cynthia mckinney","ga","4","30322"
"gupton - jones college","decatur","cynthia mckinney","ga","4","30035"
"agnes scott college","decatur","cynthia mckinney","ga","4","30030"
"oglethorpe university","atlanta","cynthia mckinney","ga","4","30319"
"georgia perimeter college","decatur","cynthia mckinney","ga","4","30034"
"dekalb technical college","clarkston","cynthia mckinney","ga","4","30021"
"atlanta metropolitan college","atlanta","john lewis","ga","5","30310"
"brown college of court reporting","atlanta","john lewis","ga","5","30309"
"atlanta christian college","east point","john lewis","ga","5","30344"
"american intercontinental university (the)","atlanta","john lewis","ga","5","30326"
"interdenominational theological center","atlanta","john lewis","ga","5","30314"
"morehouse college","atlanta","john lewis","ga","5","30314"
"atlanta technical college","atlanta","john lewis","ga","5","30310"
"georgia state university","atlanta","john lewis","ga","5","30303"
"georgia institute of technology","atlanta","john lewis","ga","5","30332"
"herzing college","atlanta","john lewis","ga","5","30326"
"clark atlanta university","atlanta","john lewis","ga","5","30314"
"morehouse school of medicine","atlanta","john lewis","ga","5","30310"
"atlanta college of art","atlanta","john lewis","ga","5","30309"
"bauder college","atlanta","john lewis","ga","5","30303"
"art institute of atlanta (the)","atlanta","john lewis","ga","5","30328"
"beulah heights bible college","atlanta","john lewis","ga","5","30316"
"spelman college","atlanta","john lewis","ga","5","30314"
"kennesaw state university","kennesaw","tom price","ga","6","30144"
"north metro technical college","acworth","john linder","ga","7","30102"
"gwinnett technical college","lawrenceville","john linder","ga","7","30043"
"reinhardt college","waleska","john linder","ga","7","30183"
"wesleyan college","macon","lynn a. westmoreland","ga","8","31210"
"gordon college","barnesville","lynn a. westmoreland","ga","8","30204"
"beacon university","columbus","lynn a. westmoreland","ga","8","31909"
"flint river technical college","thomaston","lynn a. westmoreland","ga","8","30286"
"state university of west georgia","carrollton","lynn a. westmoreland","ga","8","30118"
"columbus state university","columbus","lynn a. westmoreland","ga","8","31907"
"lagrange college","lagrange","lynn a. westmoreland","ga","8","30240"
"emmanuel college","franklin springs","charlie norwood","ga","9","30639"
"young harris college","young harris","charlie norwood","ga","9","30582"
"north georgia technical college","clarkesville","charlie norwood","ga","9","30523"
"toccoa falls college","toccoa falls","charlie norwood","ga","9","30598"
"piedmont college","demorest","charlie norwood","ga","9","30535"
"north georgia college & state university","dahlonega","charlie norwood","ga","9","30597"
"truett mcconnell college","cleveland","charlie norwood","ga","9","30528"
"gainesville college","oakwood","nathan deal","ga","10","30566"
"dalton state college","dalton","nathan deal","ga","10","30720"
"brenau university","gainesville","nathan deal","ga","10","30501"
"covenant college","lookout mountain","nathan deal","ga","10","30750"
"lanier technical college","oakwood","nathan deal","ga","10","30566"
"appalachian technical college","jasper","nathan deal","ga","10","30143"
"northwestern technical college","rock spring","nathan deal","ga","10","30739"
"columbus technical college","columbus","phil gingrey","ga","11","31904"
"shorter college","rome","phil gingrey","ga","11","30165"
"berry college","mount berry","phil gingrey","ga","11","30149"
"chattahoochee technical college","marietta","phil gingrey","ga","11","30060"
"west georgia technical college","la grange","phil gingrey","ga","11","30240"
"floyd college","rome","phil gingrey","ga","11","30162"
"life university","marietta","phil gingrey","ga","11","30060"
"west central technical college","waco","phil gingrey","ga","11","30182"
"coosa valley technical college","rome","phil gingrey","ga","11","30161"
"southern polytechnic state university","marietta","phil gingrey","ga","11","30060"
"savannah technical institute","savannah","john barrow","ga","12","31405"
"medical college of georgia","augusta","john barrow","ga","12","30912"
"augusta area dietetic internship university hospital","augusta","john barrow","ga","12","30901"
"athens technical college","athens","john barrow","ga","12","30601"
"savannah state university","savannah","john barrow","ga","12","31404"
"augusta technical college","augusta","john barrow","ga","12","30906"
"paine college","augusta","john barrow","ga","12","30901"
"georgia southern university","statesboro","john barrow","ga","12","30460"
"south university","savannah","john barrow","ga","12","31406"
"savannah college of art & design","savannah","john barrow","ga","12","31401"
"augusta state university","augusta","john barrow","ga","12","30904"
"university of georgia","athens","john barrow","ga","12","30602"
"ogeechee technical college","statesboro","john barrow","ga","12","30458"
"griffin technical college","griffin","david scott","ga","13","30223"
"gwinnett college","lilburn","david scott","ga","13","30047"
"clayton college & state university","morrow","david scott","ga","13","30260"
"university of hawaii - west oahu","pearl city","neil abercrombie","hi","1","96782"
"honolulu community college","honolulu","neil abercrombie","hi","1","96817"
"hawaii pacific university","honolulu","neil abercrombie","hi","1","96813"
"leeward community college","pearl city","neil abercrombie","hi","1","96782"
"university of hawaii at manoa","honolulu","neil abercrombie","hi","1","96822"
"chaminade university of honolulu","honolulu","neil abercrombie","hi","1","96816"
"hawaii business college","honolulu","neil abercrombie","hi","1","96813"
"international college & graduate school","honolulu","neil abercrombie","hi","1","96817"
"kapiolani community college","honolulu","neil abercrombie","hi","1","96816"
"windward community college","kaneohe","ed case","hi","2","96744"
"hawaii community college","hilo","ed case","hi","2","96720"
"kauai community college","lihue","ed case","hi","2","96766"
"maui community college","kahului","ed case","hi","2","96732"
"brigham young university - hawaii campus","laie","ed case","hi","2","96762"
"university of hawaii at hilo","hilo","ed case","hi","2","96720"
"hamilton technical college","davenport","jim nussle","ia","1","52807"
"saint ambrose university","davenport","jim nussle","ia","1","52803"
"upper iowa university","fayette","jim nussle","ia","1","52142"
"loras college","dubuque","jim nussle","ia","1","52004"
"emmaus bible college","dubuque","jim nussle","ia","1","52001"
"wartburg college","waverly","jim nussle","ia","1","50677"
"kaplan college","davenport","jim nussle","ia","1","52807"
"eastern iowa community college district","davenport","jim nussle","ia","1","52801"
"divine word college","epworth","jim nussle","ia","1","52045"
"university of dubuque","dubuque","jim nussle","ia","1","52001"
"allen college","waterloo","jim nussle","ia","1","50703"
"palmer college of chiropractic","davenport","jim nussle","ia","1","52803"
"franciscan university (the)","clinton","jim nussle","ia","1","52732"
"wartburg theological seminary","dubuque","jim nussle","ia","1","52004"
"clarke college","dubuque","jim nussle","ia","1","52001"
"hawkeye community college","waterloo","jim nussle","ia","1","50701"
"cornell college","mount vernon","james a. leach","ia","2","52314"
"iowa wesleyan college","mount pleasant","james a. leach","ia","2","52641"
"indian hills community college","ottumwa","james a. leach","ia","2","52501"
"coe college","cedar rapids","james a. leach","ia","2","52402"
"university of iowa","iowa city","james a. leach","ia","2","52242"
"vennard college","university park","james a. leach","ia","2","52595"
"kirkwood community college","cedar rapids","james a. leach","ia","2","52406"
"mount mercy college","cedar rapids","james a. leach","ia","2","52402"
"university of northern iowa","cedar falls","james a. leach","ia","2","50614"
"southeastern community college","west burlington","james a. leach","ia","2","52655"
"maharishi university of management","fairfield","james a. leach","ia","2","52557"
"hamilton college","cedar rapids","james a. leach","ia","2","52404"
"william penn university","oskaloosa","leonard l. boswell","ia","3","52577"
"grand view college","des moines","leonard l. boswell","ia","3","50316"
"mercy college of health sciences","des moines","leonard l. boswell","ia","3","50309"
"faith baptist bible college & theological seminary","ankeny","leonard l. boswell","ia","3","50021"
"vatterott college","des moines","leonard l. boswell","ia","3","50321"
"des moines university - osteopathic medical center","des moines","leonard l. boswell","ia","3","50312"
"central college","pella","leonard l. boswell","ia","3","50219"
"des moines area community college","ankeny","leonard l. boswell","ia","3","50021"
"american institute of business dba aib college of business","des moines","leonard l. boswell","ia","3","50321"
"drake university","des moines","leonard l. boswell","ia","3","50311"
"grinnell college","grinnell","leonard l. boswell","ia","3","50112"
"luther college","decorah","tom latham","ia","4","52101"
"waldorf college","forest city","tom latham","ia","4","50436"
"ellsworth community college","iowa falls","tom latham","ia","4","50126"
"iowa lakes community college","estherville","tom latham","ia","4","51334"
"north iowa area community college","mason city","tom latham","ia","4","50401"
"simpson college","indianola","tom latham","ia","4","50125"
"northeast iowa community college","calmar","tom latham","ia","4","52132"
"iowa central community college","fort dodge","tom latham","ia","4","50501"
"marshalltown community college","marshalltown","tom latham","ia","4","50158"
"iowa state university of science & technology","ames","tom latham","ia","4","50011"
"buena vista university","storm lake","steve king","ia","5","50588"
"dordt college","sioux center","steve king","ia","5","51250"
"western iowa tech community college","sioux city","steve king","ia","5","51106"
"northwestern college","orange city","steve king","ia","5","51041"
"graceland university","lamoni","steve king","ia","5","50140"
"northwest iowa community college","sheldon","steve king","ia","5","51201"
"briar cliff university","sioux city","steve king","ia","5","51104"
"southwestern community college","creston","steve king","ia","5","50801"
"iowa western community college","council bluffs","steve king","ia","5","51503"
"morningside college","sioux city","steve king","ia","5","51106"
"st. lukes college","sioux city","steve king","ia","5","51104"
"boise bible college","boise","c. l. ``butch'' otter","id","1","83714"
"albertson college of idaho","caldwell","c. l. ``butch'' otter","id","1","83605"
"university of idaho","moscow","c. l. ``butch'' otter","id","1","83844"
"itt technical institute","boise","c. l. ``butch'' otter","id","1","83713"
"lewis-clark state college","lewiston","c. l. ``butch'' otter","id","1","83501"
"north idaho college","coeur d'alene","c. l. ``butch'' otter","id","1","83814"
"northwest nazarene university","nampa","c. l. ``butch'' otter","id","1","83686"
"brigham young university-idaho","rexburg","michael k. simpson","id","2","83460"
"idaho state university","pocatello","michael k. simpson","id","2","83209"
"boise state university","boise","michael k. simpson","id","2","83725"
"eastern idaho technical college","idaho falls","michael k. simpson","id","2","83404"
"american institute of health technology","boise","michael k. simpson","id","2","83704"
"college of southern idaho","twin falls","michael k. simpson","id","2","83303"
"university of chicago (the)","chicago","bobby l. rush","il","1","60637"
"city colleges of chicago - kennedy king college","chicago","bobby l. rush","il","1","60621"
"catholic theological union at chicago","chicago","bobby l. rush","il","1","60615"
"trinity christian college","palos heights","bobby l. rush","il","1","60463"
"meadville theological school of lombard college","chicago","bobby l. rush","il","1","60637"
"vandercook college of music","chicago","bobby l. rush","il","1","60616"
"mccormick theological seminary","chicago","bobby l. rush","il","1","60615"
"chicago theological seminary","chicago","bobby l. rush","il","1","60637"
"illinois college of optometry","chicago","bobby l. rush","il","1","60616"
"lutheran school of theology at chicago","chicago","bobby l. rush","il","1","60615"
"olive harvey college","chicago","jesse l. jackson jr.","il","2","60628"
"ingalls memorial hospital","harvey","jesse l. jackson jr.","il","2","60426"
"south suburban college of cook county","south holland","jesse l. jackson jr.","il","2","60473"
"prairie state college","chicago heights","jesse l. jackson jr.","il","2","60411"
"chicago state university","chicago","jesse l. jackson jr.","il","2","60628"
"governors state university","university park","jesse l. jackson jr.","il","2","60466"
"morton college","cicero","daniel lipinski","il","3","60804"
"moraine valley community college","palos hills","daniel lipinski","il","3","60465"
"saint xavier university","chicago","daniel lipinski","il","3","60655"
"fox college","oak lawn","daniel lipinski","il","3","60453"
"richard j daley college-city colleges of chicago","chicago","daniel lipinski","il","3","60652"
"naes college","chicago","rahm emanuel","il","5","60659"
"north park university","chicago","rahm emanuel","il","5","60625"
"devry university","chicago","rahm emanuel","il","5","60618"
"wilbur wright college","chicago","rahm emanuel","il","5","60634"
"northeastern illinois university","chicago","rahm emanuel","il","5","60625"
"westwood college - o'hare airport","schiller park","rahm emanuel","il","5","60176"
"northwestern business college","chicago","rahm emanuel","il","5","60630"
"telshe yeshiva-chicago","chicago","rahm emanuel","il","5","60625"
"triton college","river grove","rahm emanuel","il","5","60171"
"west suburban college of nursing","oak park","henry j. hyde","il","6","60302"
"national university of health sciences (the)","lombard","henry j. hyde","il","6","60148"
"wheaton college","wheaton","henry j. hyde","il","6","60187"
"college of du page","glen ellyn","henry j. hyde","il","6","60137"
"midwestern university","downers grove","henry j. hyde","il","6","60515"
"keller graduate school of management","oakbrook terrace","henry j. hyde","il","6","60181"
"elmhurst college","elmhurst","henry j. hyde","il","6","60126"
"adler school of professional psychology","chicago","danny k. davis","il","7","60601"
"dominican university","river forest","danny k. davis","il","7","60305"
"college of office technology (the)","chicago","danny k. davis","il","7","60622"
"erikson institute","chicago","danny k. davis","il","7","60611"
"cooking & hospitality institute of chicago (the)","chicago","danny k. davis","il","7","60610"
"harrington college of design","chicago","danny k. davis","il","7","60606"
"roosevelt university","chicago","danny k. davis","il","7","60605"
"east west university","chicago","danny k. davis","il","7","60605"
"depaul university","chicago","danny k. davis","il","7","60604"
"school of the art institute of chicago","chicago","danny k. davis","il","7","60603"
"maccormac college","chicago","danny k. davis","il","7","60602"
"taylor business institute","chicago","danny k. davis","il","7","60601"
"concordia university","river forest","danny k. davis","il","7","60305"
"illinois institute of technology","chicago","danny k. davis","il","7","60661"
"rush university","chicago","danny k. davis","il","7","60612"
"loyola university chicago","chicago","danny k. davis","il","7","60611"
"university of illinois at chicago","chicago","danny k. davis","il","7","60607"
"city colleges of chicago system office","chicago","danny k. davis","il","7","60606"
"columbia college","chicago","danny k. davis","il","7","60605"
"robert morris college","chicago","danny k. davis","il","7","60605"
"american academy of art","chicago","danny k. davis","il","7","60604"
"career colleges of chicago","chicago","danny k. davis","il","7","60603"
"institute for clinical social work","chicago","danny k. davis","il","7","60601"
"harold washington college","chicago","danny k. davis","il","7","60601"
"illinois institute of art (the)","chicago","danny k. davis","il","7","60654"
"city colleges of chicago - malcolm x college","chicago","danny k. davis","il","7","60612"
"dr william m scholl college of podiatric medicine at finch u","chicago","danny k. davis","il","7","60610"
"lexington college","chicago","danny k. davis","il","7","60607"
"chicago school of professional psychology","chicago","danny k. davis","il","7","60605"
"spertus institute of jewish studies","chicago","danny k. davis","il","7","60605"
"john marshall law school (the)","chicago","danny k. davis","il","7","60604"
"argosy university","chicago","danny k. davis","il","7","60603"
"international academy of design and technology","chicago","danny k. davis","il","7","60602"
"mchenry county college","crystal lake","melissa l. bean","il","8","60012"
"university of saint mary of the lake","mundelein","melissa l. bean","il","8","60060"
"college of lake county","grayslake","melissa l. bean","il","8","60030"
"oakton community college","des plaines","janice d. schakowsky","il","9","60016"
"city colleges of chicago harry s truman college","chicago","janice d. schakowsky","il","9","60640"
"national-louis university","evanston","janice d. schakowsky","il","9","60201"
"hebrew theological college","skokie","janice d. schakowsky","il","9","60077"
"northwestern university","evanston","janice d. schakowsky","il","9","60208"
"garrett - evangelical theological seminary","evanston","janice d. schakowsky","il","9","60201"
"knowledge systems institute","skokie","janice d. schakowsky","il","9","60076"
"saint augustine college","chicago","janice d. schakowsky","il","9","60640"
"seabury-western theological seminary","evanston","janice d. schakowsky","il","9","60201"
"kendall college","evanston","janice d. schakowsky","il","9","60201"
"shimer college","waukegan","mark steven kirk","il","10","60085"
"christian life college","mount prospect","mark steven kirk","il","10","60056"
"barat college","lake forest","mark steven kirk","il","10","60045"
"william rainey harper college","palatine","mark steven kirk","il","10","60067"
"lake forest graduate school of management","lake forest","mark steven kirk","il","10","60045"
"trinity international university","deerfield","mark steven kirk","il","10","60015"
"worsham college of mortuary science","wheeling","mark steven kirk","il","10","60090"
"herman m finch university of health sciences/ chicago medica","north chicago","mark steven kirk","il","10","60064"
"lake forest college","lake forest","mark steven kirk","il","10","60045"
"illinois state university","normal","jerry weller","il","11","61790"
"illinois valley community college","oglesby","jerry weller","il","11","61348"
"university of saint francis","joliet","jerry weller","il","11","60435"
"heartland community college","normal","jerry weller","il","11","61761"
"olivet nazarene university","bourbonnais","jerry weller","il","11","60914"
"joliet junior college","joliet","jerry weller","il","11","60431"
"illinois wesleyan university","bloomington","jerry weller","il","11","61701"
"kankakee community college","kankakee","jerry weller","il","11","60901"
"southern illinois university at carbondale","carbondale","jerry f. costello","il","12","62901"
"shawnee community college","ullin","jerry f. costello","il","12","62992"
"mckendree college","lebanon","jerry f. costello","il","12","62254"
"john a. logan college","carterville","jerry f. costello","il","12","62918"
"southwestern illinois college","belleville","jerry f. costello","il","12","62221"
"lewis university","romeoville","judy biggert","il","13","60446"
"benedictine university","lisle","judy biggert","il","13","60532"
"westwood college - dupage","woodridge","judy biggert","il","13","60517"
"north central college","naperville","judy biggert","il","13","60540"
"waubonsee community college","sugar grove","j. dennis hastert","il","14","60554"
"elgin community college","elgin","j. dennis hastert","il","14","60123"
"aurora university","aurora","j. dennis hastert","il","14","60506"
"northern illinois university","dekalb","j. dennis hastert","il","14","60115"
"sauk valley community college","dixon","j. dennis hastert","il","14","61021"
"judson college","elgin","j. dennis hastert","il","14","60123"
"illinois eastern community colleges - wabash valley college","mount carmel","timothy v. johnson","il","15","62863"
"eastern illinois university","charleston","timothy v. johnson","il","15","61920"
"parkland college","champaign","timothy v. johnson","il","15","61821"
"illinois eastern community colleges - lincoln trail college","robinson","timothy v. johnson","il","15","62454"
"lakeview college of nursing","danville","timothy v. johnson","il","15","61832"
"university of illinois at urbana - champaign","champaign","timothy v. johnson","il","15","61820"
"lake land college","mattoon","timothy v. johnson","il","15","61938"
"danville area community college","danville","timothy v. johnson","il","15","61832"
"rock valley college","rockford","donald a. manzullo","il","16","61114"
"rockford business college","rockford","donald a. manzullo","il","16","61103"
"rockford college","rockford","donald a. manzullo","il","16","61108"
"highland community college","freeport","donald a. manzullo","il","16","61032"
"morrison institute of technology","morrison","donald a. manzullo","il","16","61270"
"saint anthony college of nursing","rockford","donald a. manzullo","il","16","61108"
"kishwaukee college","malta","donald a. manzullo","il","16","60150"
"spoon river college","canton","lane evans","il","17","61520"
"knox college","galesburg","lane evans","il","17","61401"
"trinity college of nursing and health sciences schools","rock island","lane evans","il","17","61201"
"john wood community college","quincy","lane evans","il","17","62305"
"vatterott college","quincy","lane evans","il","17","62301"
"monmouth college","monmouth","lane evans","il","17","61462"
"carl sandburg college","galesburg","lane evans","il","17","61401"
"augustana college","rock island","lane evans","il","17","61201"
"blackburn university","carlinville","lane evans","il","17","62626"
"quincy university","quincy","lane evans","il","17","62301"
"gem city college","quincy","lane evans","il","17","62301"
"western illinois university","macomb","lane evans","il","17","61455"
"black hawk college","moline","lane evans","il","17","61265"
"millikin university","decatur","lane evans","il","17","62522"
"blessing hospital","quincy","lane evans","il","17","62301"
"saint john's college","springfield","ray lahood","il","18","62702"
"lincoln college","lincoln","ray lahood","il","18","62656"
"richland community college","decatur","ray lahood","il","18","62521"
"bradley university","peoria","ray lahood","il","18","61625"
"eureka college","eureka","ray lahood","il","18","61530"
"springfield college illinois","springfield","ray lahood","il","18","62702"
"macmurray college","jacksonville","ray lahood","il","18","62650"
"methodist medical center of illinois school of nursing","peoria","ray lahood","il","18","61636"
"midstate college","peoria","ray lahood","il","18","61614"
"lincoln christian college & seminary","lincoln","ray lahood","il","18","62656"
"illinois college","jacksonville","ray lahood","il","18","62650"
"illinois central college","east peoria","ray lahood","il","18","61635"
"saint francis medical center college of nursing","peoria","ray lahood","il","18","61603"
"illinois eastern community colleges - frontier community col","fairfield","john shimkus","il","19","62837"
"lincoln land community college","springfield","john shimkus","il","19","62703"
"greenville college","greenville","john shimkus","il","19","62246"
"southeastern illinois college","harrisburg","john shimkus","il","19","62946"
